Year,SPOL,Entity,UNIT_MEASURE,Value
2005,Ž,BiH,Broj,100
2006,Ž,BiH,Broj,97
2007,Ž,BiH,Broj,99
2008,Ž,BiH,Broj,104
2009,Ž,BiH,Broj,108
2010,Ž,BiH,Broj,91
2011,Ž,BiH,Broj,73
2012,Ž,BiH,Broj,66
2013,Ž,BiH,Broj,72
2014,Ž,BiH,Broj,82
2015,Ž,BiH,Broj,88
2016,Ž,BiH,Broj,67
2017,Ž,BiH,Broj,91
2018,Ž,BiH,Broj,92
2019,Ž,BiH,Broj,88
1997,Oba spola,FBIH,Broj,445
1998,Oba spola,FBIH,Broj,382
1999,Oba spola,FBIH,Broj,312
2000,Oba spola,FBIH,Broj,280
2001,Oba spola,FBIH,Broj,214
2002,Oba spola,FBIH,Broj,245
2003,Oba spola,FBIH,Broj,202
2004,Oba spola,FBIH,Broj,190
2005,Oba spola,FBIH,Broj,194
2006,Oba spola,FBIH,Broj,205
2007,Oba spola,FBIH,Broj,193
2008,Oba spola,FBIH,Broj,194
2009,Oba spola,FBIH,Broj,173
2010,Oba spola,FBIH,Broj,172
2011,Oba spola,FBIH,Broj,141
2012,Oba spola,FBIH,Broj,139
2013,Oba spola,FBIH,Broj,148
2014,Oba spola,FBIH,Broj,127
2015,Oba spola,FBIH,Broj,154
2016,Oba spola,FBIH,Broj,147
2017,Oba spola,FBIH,Broj,162
2018,Oba spola,FBIH,Broj,158
2019,Oba spola,FBIH,Broj,167
1997,M,FBIH,Broj,276
1998,M,FBIH,Broj,235
1999,M,FBIH,Broj,174
2000,M,FBIH,Broj,163
2001,M,FBIH,Broj,118
2002,M,FBIH,Broj,138
2003,M,FBIH,Broj,122
2004,M,FBIH,Broj,107
2005,M,FBIH,Broj,113
2006,M,FBIH,Broj,127
2007,M,FBIH,Broj,114
2008,M,FBIH,Broj,110
2009,M,FBIH,Broj,87
2010,M,FBIH,Broj,105
2011,M,FBIH,Broj,85
2012,M,FBIH,Broj,85
2013,M,FBIH,Broj,88
2014,M,FBIH,Broj,63
2015,M,FBIH,Broj,84
2016,M,FBIH,Broj,87
2017,M,FBIH,Broj,87
2018,M,FBIH,Broj,81
2019,M,FBIH,Broj,89
1997,Ž,FBIH,Broj,169
1998,Ž,FBIH,Broj,147
1999,Ž,FBIH,Broj,138
2000,Ž,FBIH,Broj,117
2001,Ž,FBIH,Broj,96
2002,Ž,FBIH,Broj,107
2003,Ž,FBIH,Broj,80
2004,Ž,FBIH,Broj,83
2005,Ž,FBIH,Broj,81
2006,Ž,FBIH,Broj,78
2007,Ž,FBIH,Broj,79
2008,Ž,FBIH,Broj,84
2009,Ž,FBIH,Broj,86
2010,Ž,FBIH,Broj,67
2011,Ž,FBIH,Broj,56
2012,Ž,FBIH,Broj,54
2013,Ž,FBIH,Broj,60
2014,Ž,FBIH,Broj,64
2015,Ž,FBIH,Broj,70
2016,Ž,FBIH,Broj,60
2017,Ž,FBIH,Broj,75
2018,Ž,FBIH,Broj,77
2019,Ž,FBIH,Broj,78
1996,Oba spola,RS,Broj,179
1997,Oba spola,RS,Broj,156
1998,Oba spola,RS,Broj,112
1999,Oba spola,RS,Broj,119
2000,Oba spola,RS,Broj,103
2001,Oba spola,RS,Broj,73
2002,Oba spola,RS,Broj,89
2003,Oba spola,RS,Broj,64
2004,Oba spola,RS,Broj,61
2005,Oba spola,RS,Broj,37
2006,Oba spola,RS,Broj,50
2007,Oba spola,RS,Broj,38
2008,Oba spola,RS,Broj,40
2009,Oba spola,RS,Broj,51
2010,Oba spola,RS,Broj,44
2011,Oba spola,RS,Broj,43
2012,Oba spola,RS,Broj,37
2013,Oba spola,RS,Broj,33
2014,Oba spola,RS,Broj,29
2015,Oba spola,RS,Broj,26
2016,Oba spola,RS,Broj,23
2017,Oba spola,RS,Broj,26
2018,Oba spola,RS,Broj,17
2019,Oba spola,RS,Broj,15
1996,M,RS,Broj,99
1997,M,RS,Broj,93
1998,M,RS,Broj,67
1999,M,RS,Broj,68
2000,M,RS,Broj,57
2001,M,RS,Broj,41
2002,M,RS,Broj,53
2003,M,RS,Broj,32
2004,M,RS,Broj,43
2005,M,RS,Broj,20
2006,M,RS,Broj,31
2007,M,RS,Broj,18
2008,M,RS,Broj,20
2009,M,RS,Broj,29
2010,M,RS,Broj,20
2011,M,RS,Broj,26
2012,M,RS,Broj,25
2013,M,RS,Broj,21
2014,M,RS,Broj,11
2015,M,RS,Broj,9
2016,M,RS,Broj,17
2017,M,RS,Broj,13
2018,M,RS,Broj,7
2019,M,RS,Broj,7
1996,Ž,RS,Broj,80
1997,Ž,RS,Broj,63
1998,Ž,RS,Broj,45
1999,Ž,RS,Broj,51
2000,Ž,RS,Broj,46
2001,Ž,RS,Broj,32
2002,Ž,RS,Broj,36
2003,Ž,RS,Broj,32
2004,Ž,RS,Broj,18
2005,Ž,RS,Broj,17
2006,Ž,RS,Broj,19
2007,Ž,RS,Broj,20
2008,Ž,RS,Broj,20
2009,Ž,RS,Broj,22
2010,Ž,RS,Broj,24
2011,Ž,RS,Broj,17
2012,Ž,RS,Broj,12
2013,Ž,RS,Broj,12
2014,Ž,RS,Broj,18
2015,Ž,RS,Broj,17
2016,Ž,RS,Broj,6
2017,Ž,RS,Broj,13
2018,Ž,RS,Broj,10
2019,Ž,RS,Broj,8
2004,Oba spola,BD,Broj,0
2005,Oba spola,BD,Broj,0
2006,Oba spola,BD,Broj,0
2007,Oba spola,BD,Broj,0
2008,Oba spola,BD,Broj,0
2009,Oba spola,BD,Broj,0
2010,Oba spola,BD,Broj,0
2011,Oba spola,BD,Broj,0
2012,Oba spola,BD,Broj,0
2013,Oba spola,BD,Broj,0
2014,Oba spola,BD,Broj,0
2015,Oba spola,BD,Broj,0
2016,Oba spola,BD,Broj,0
2017,Oba spola,BD,Broj,0
2018,Oba spola,BD,Broj,0
2019,Oba spola,BD,Broj,0
2004,M,BD,Broj,0
2005,M,BD,Broj,0
2006,M,BD,Broj,0
2007,M,BD,Broj,0
2008,M,BD,Broj,0
2009,M,BD,Broj,0
2010,M,BD,Broj,0
2011,M,BD,Broj,0
2012,M,BD,Broj,0
2013,M,BD,Broj,0
2014,M,BD,Broj,0
2015,M,BD,Broj,0
2016,M,BD,Broj,0
2017,M,BD,Broj,0
2018,M,BD,Broj,0
2019,M,BD,Broj,0
2004,Ž,BD,Broj,0
2005,Ž,BD,Broj,0
2006,Ž,BD,Broj,0
2007,Ž,BD,Broj,0
2008,Ž,BD,Broj,0
2009,Ž,BD,Broj,0
2010,Ž,BD,Broj,0
2011,Ž,BD,Broj,0
2012,Ž,BD,Broj,0
2013,Ž,BD,Broj,0
2014,Ž,BD,Broj,0
2015,Ž,BD,Broj,0
2016,Ž,BD,Broj,0
2017,Ž,BD,Broj,0
2018,Ž,BD,Broj,0
2019,Ž,BD,Broj,0
