Year,Пол,Административно подручје,UNIT_MEASURE,Value
2015,M,Федерација БиХ,Старосна доб,69.6
2016,M,Федерација БиХ,Старосна доб,69.7
2017,M,Федерација БиХ,Старосна доб,70.1
2018,M,Федерација БиХ,Старосна доб,70.5
2019,M,Федерација БиХ,Старосна доб,70.5
1997,Ж,Федерација БиХ,Старосна доб,67.5
1998,Ж,Федерација БиХ,Старосна доб,66.8
1999,Ж,Федерација БиХ,Старосна доб,68.5
2000,Ж,Федерација БиХ,Старосна доб,69.3
2001,Ж,Федерација БиХ,Старосна доб,69.9
2002,Ж,Федерација БиХ,Старосна доб,70.3
2003,Ж,Федерација БиХ,Старосна доб,71.1
2004,Ж,Федерација БиХ,Старосна доб,71.3
2005,Ж,Федерација БиХ,Старосна доб,72.0
2006,Ж,Федерација БиХ,Старосна доб,71.7
2007,Ж,Федерација БиХ,Старосна доб,72.0
2008,Ж,Федерација БиХ,Старосна доб,72.5
2009,Ж,Федерација БиХ,Старосна доб,73.0
2010,Ж,Федерација БиХ,Старосна доб,73.3
2011,Ж,Федерација БиХ,Старосна доб,73.7
2012,Ж,Федерација БиХ,Старосна доб,74.1
2013,Ж,Федерација БиХ,Старосна доб,74.3
2014,Ж,Федерација БиХ,Старосна доб,74.7
2015,Ж,Федерација БиХ,Старосна доб,75.0
2016,Ж,Федерација БиХ,Старосна доб,74.9
2017,Ж,Федерација БиХ,Старосна доб,75.0
2018,Ж,Федерација БиХ,Старосна доб,75.5
2019,Ж,Федерација БиХ,Старосна доб,75.6
2010,Оба пола,Република Српска,Старосна доб,72.1
2011,Оба пола,Република Српска,Старосна доб,72.5
2012,Оба пола,Република Српска,Старосна доб,73.0
2013,Оба пола,Република Српска,Старосна доб,73.0
2014,Оба пола,Република Српска,Старосна доб,73.0
2015,Оба пола,Република Српска,Старосна доб,73.7
2016,Оба пола,Република Српска,Старосна доб,73.8
2017,Оба пола,Република Српска,Старосна доб,74.5
2018,Оба пола,Република Српска,Старосна доб,74.5
2019,Оба пола,Република Српска,Старосна доб,74.5
1998,M,Република Српска,Старосна доб,64.9
2000,M,Република Српска,Старосна доб,65.2
2001,M,Република Српска,Старосна доб,66.5
2002,M,Република Српска,Старосна доб,66.3
2003,M,Република Српска,Старосна доб,67.0
2004,M,Република Српска,Старосна доб,67.0
2005,M,Република Српска,Старосна доб,67.3
2006,M,Република Српска,Старосна доб,67.6
2007,M,Република Српска,Старосна доб,68.2
2008,M,Република Српска,Старосна доб,68.3
2009,M,Република Српска,Старосна доб,68.9
2010,M,Република Српска,Старосна доб,69.4
2011,M,Република Српска,Старосна доб,69.6
2012,M,Република Српска,Старосна доб,70.1
2013,M,Република Српска,Старосна доб,70.1
2014,M,Република Српска,Старосна доб,70.5
2015,M,Република Српска,Старосна доб,71.0
2016,M,Република Српска,Старосна доб,71.0
2017,M,Република Српска,Старосна доб,71.6
2018,M,Република Српска,Старосна доб,71.6
2019,Ж,Република Српска,Старосна доб,71.7
1998,Ж,Република Српска,Старосна доб,70.8
2000,Ж,Република Српска,Старосна доб,71.2
2001,Ж,Република Српска,Старосна доб,71.3
2002,Ж,Република Српска,Старосна доб,72.0
2003,Ж,Република Српска,Старосна доб,72.0
2004,Ж,Република Српска,Старосна доб,72.0
2005,Ж,Република Српска,Старосна доб,72.5
2006,Ж,Република Српска,Старосна доб,73.1
2007,Ж,Република Српска,Старосна доб,74.0
2008,Ж,Република Српска,Старосна доб,74.3
2009,Ж,Република Српска,Старосна доб,74.4
2010,Ж,Република Српска,Старосна доб,74.9
2011,Ж,Република Српска,Старосна доб,75.5
2012,Ж,Република Српска,Старосна доб,76.1
2013,Ж,Република Српска,Старосна доб,76.0
2014,Ж,Република Српска,Старосна доб,76.1
2015,Ж,Република Српска,Старосна доб,76.5
2016,Ж,Република Српска,Старосна доб,76.9
2017,Ж,Република Српска,Старосна доб,77.4
2018,Ж,Република Српска,Старосна доб,77.4
2019,Ж,Република Српска,Старосна доб,77.4
2004,Оба пола,Брчко дистрикт БиХ,Старосна доб,70.6
2005,Оба пола,Брчко дистрикт БиХ,Старосна доб,71.2
2006,Оба пола,Брчко дистрикт БиХ,Старосна доб,71.5
2007,Оба пола,Брчко дистрикт БиХ,Старосна доб,70.3
2008,Оба пола,Брчко дистрикт БиХ,Старосна доб,70.7
2009,Оба пола,Брчко дистрикт БиХ,Старосна доб,71.5
2010,Оба пола,Брчко дистрикт БиХ,Старосна доб,72.1
2011,Оба пола,Брчко дистрикт БиХ,Старосна доб,73.3
2012,Оба пола,Брчко дистрикт БиХ,Старосна доб,70.9
2013,Оба пола,Брчко дистрикт БиХ,Старосна доб,73.2
2014,Оба пола,Брчко дистрикт БиХ,Старосна доб,71.7
2015,Оба пола,Брчко дистрикт БиХ,Старосна доб,76.2
2016,Оба пола,Брчко дистрикт БиХ,Старосна доб,75.3
2017,Оба пола,Брчко дистрикт БиХ,Старосна доб,75.5
2018,Оба пола,Брчко дистрикт БиХ,Старосна доб,75.2
2019,Оба пола,Брчко дистрикт БиХ,Старосна доб,75.8
2004,M,Брчко дистрикт БиХ,Старосна доб,68.1
2005,M,Брчко дистрикт БиХ,Старосна доб,68.4
2006,M,Брчко дистрикт БиХ,Старосна доб,68.5
2007,M,Брчко дистрикт БиХ,Старосна доб,67.7
2008,M,Брчко дистрикт БиХ,Старосна доб,67.1
2009,M,Брчко дистрикт БиХ,Старосна доб,70.6
2010,M,Брчко дистрикт БиХ,Старосна доб,69.8
2011,M,Брчко дистрикт БиХ,Старосна доб,69.9
2012,M,Брчко дистрикт БиХ,Старосна доб,69.1
2013,M,Брчко дистрикт БиХ,Старосна доб,70.8
2014,M,Брчко дистрикт БиХ,Старосна доб,69.1
2015,M,Брчко дистрикт БиХ,Старосна доб,74.8
2016,M,Брчко дистрикт БиХ,Старосна доб,72.9
2017,M,Брчко дистрикт БиХ,Старосна доб,73.5
2018,M,Брчко дистрикт БиХ,Старосна доб,71.1
2019,M,Брчко дистрикт БиХ,Старосна доб,74.0
2004,Ж,Брчко дистрикт БиХ,Старосна доб,73.2
2005,Ж,Брчко дистрикт БиХ,Старосна доб,74.1
2006,Ж,Брчко дистрикт БиХ,Старосна доб,74.8
2007,Ж,Брчко дистрикт БиХ,Старосна доб,73.0
2008,Ж,Брчко дистрикт БиХ,Старосна доб,74.7
2009,Ж,Брчко дистрикт БиХ,Старосна доб,74.3
2010,Ж,Брчко дистрикт БиХ,Старосна доб,75.0
2011,Ж,Брчко дистрикт БиХ,Старосна доб,75.7
2012,Ж,Брчко дистрикт БиХ,Старосна доб,72.6
2013,Ж,Брчко дистрикт БиХ,Старосна доб,75.7
2014,Ж,Брчко дистрикт БиХ,Старосна доб,74.4
2015,Ж,Брчко дистрикт БиХ,Старосна доб,77.7
2016,Ж,Брчко дистрикт БиХ,Старосна доб,78.1
2017,Ж,Брчко дистрикт БиХ,Старосна доб,77.5
2018,Ж,Брчко дистрикт БиХ,Старосна доб,77.3
2019,Ж,Брчко дистрикт БиХ,Старосна доб,77.6
