Year,UNIT_MEASURE,Пол,UNIT_MEASUREMENT,Value
2020,%,Жене,total_support_ratio,47.11
2025,%,Жене,total_support_ratio,53.97
2030,%,Жене,total_support_ratio,62.1
2035,%,Жене,total_support_ratio,68.98
2040,%,Жене,total_support_ratio,76.0
2045,%,Жене,total_support_ratio,84.34
2050,%,Жене,total_support_ratio,94.16
2055,%,Жене,total_support_ratio,103.66
2060,%,Жене,total_support_ratio,110.44
2065,%,Жене,total_support_ratio,115.81
2070,%,Жене,total_support_ratio,116.18
2018,%,Жене,young_age_support_ratio,20.55
2020,%,Жене,young_age_support_ratio,20.65
2025,%,Жене,young_age_support_ratio,20.34
2030,%,Жене,young_age_support_ratio,20.29
2035,%,Жене,young_age_support_ratio,19.98
2040,%,Жене,young_age_support_ratio,19.66
2045,%,Жене,young_age_support_ratio,19.82
2050,%,Жене,young_age_support_ratio,20.49
2055,%,Жене,young_age_support_ratio,21.3
2060,%,Жене,young_age_support_ratio,21.85
2065,%,Жене,young_age_support_ratio,22.23
2070,%,Жене,young_age_support_ratio,22.13
2018,%,Жене,old_age_support_ratio,23.78
2020,%,Жене,old_age_support_ratio,26.46
2025,%,Жене,old_age_support_ratio,33.64
2030,%,Жене,old_age_support_ratio,41.81
2035,%,Жене,old_age_support_ratio,49.0
2040,%,Жене,old_age_support_ratio,56.34
2045,%,Жене,old_age_support_ratio,64.52
2050,%,Жене,old_age_support_ratio,73.67
2055,%,Жене,old_age_support_ratio,82.36
2060,%,Жене,old_age_support_ratio,88.59
2065,%,Жене,old_age_support_ratio,93.58
2070,%,Жене,old_age_support_ratio,94.04
2018,%,Жене,older_persons_to_youth_ratio,115.71
2020,%,Жене,older_persons_to_youth_ratio,128.11
2025,%,Жене,older_persons_to_youth_ratio,165.41
2030,%,Жене,older_persons_to_youth_ratio,206.01
2035,%,Жене,older_persons_to_youth_ratio,245.28
2040,%,Жене,older_persons_to_youth_ratio,286.61
2045,%,Жене,older_persons_to_youth_ratio,325.51
2050,%,Жене,older_persons_to_youth_ratio,359.64
2055,%,Жене,older_persons_to_youth_ratio,386.67
2060,%,Жене,older_persons_to_youth_ratio,405.45
2065,%,Жене,older_persons_to_youth_ratio,420.87
2070,%,Жене,older_persons_to_youth_ratio,424.86
