Year,CAUSE_OF_DEATH,UNIT_MEASURE,Value
2011,diseases_of_the_nervous,Number,11.0
2011,diseases_of_the_circulatory,Number,481.0
2011,diseases_of_the_respiratory,Number,33.36
2011,diseases_of_the_digestive,Number,23.0
2011,diseases_of_the_skin,Number,0.31
2011,diseases_of_the_musculoskeletal,Number,1.0
2011,diseases_of_the_genitourinary,Number,14.35
2011,certain_conditions_originating,Number,3.07
2011,congenital_malformations_deformations,Number,1.51
2011,symptoms_signs_and_abnormal,Number,43.36
2011,injuries_poisoning_and_consequences,Number,30.26
2011,external_causes_of_mortality,Number,0.36
2011,factors_influencing_health_status,Number,0.03
2011,unknown,Number,18.1
2012,infectious_and_parasitic,Number,8.97
2012,neoplasms,Number,198.0
2012,diseases_of_the_blood,Number,1.23
2012,endocrine_metabolic_and_nutritional,Number,50.0
2012,mental_and_behavioural_disorders,Number,4.17
2012,diseases_of_the_nervous,Number,11.0
2012,diseases_of_the_eye,Number,0.03
2012,diseases_of_the_circulatory,Number,502.0
2012,diseases_of_the_respiratory,Number,33.0
2012,diseases_of_the_digestive,Number,25.0
2012,diseases_of_the_skin,Number,0.34
2012,diseases_of_the_musculoskeletal,Number,1.0
2012,diseases_of_the_genitourinary,Number,15.67
2012,certain_conditions_originating,Number,2.89
2012,congenital_malformations_deformations,Number,1.04
2012,symptoms_signs_and_abnormal,Number,31.47
2012,injuries_poisoning_and_consequences,Number,27.82
2012,unknown,Number,19.29
2013,infectious_and_parasitic,Number,7.59
2013,neoplasms,Number,213.0
2013,diseases_of_the_blood,Number,1.42
2013,endocrine_metabolic_and_nutritional,Number,56.0
2013,mental_and_behavioural_disorders,Number,5.44
2013,diseases_of_the_nervous,Number,11.0
2013,diseases_of_the_circulatory,Number,515.0
2013,diseases_of_the_respiratory,Number,40.44
2013,diseases_of_the_digestive,Number,27.0
2013,diseases_of_the_skin,Number,0.88
2013,diseases_of_the_musculoskeletal,Number,2.0
2013,diseases_of_the_genitourinary,Number,16.45
2013,certain_conditions_originating,Number,2.86
2013,congenital_malformations_deformations,Number,1.08
2013,symptoms_signs_and_abnormal,Number,59.67
2013,injuries_poisoning_and_consequences,Number,29.0
2013,external_causes_of_mortality,Number,0.11
2013,unknown,Number,22.15
2014,infectious_and_parasitic,Number,8.25
2014,neoplasms,Number,222.0
2014,diseases_of_the_blood,Number,1.19
2014,endocrine_metabolic_and_nutritional,Number,64.0
2014,mental_and_behavioural_disorders,Number,6.38
2014,diseases_of_the_nervous,Number,11.0
2014,diseases_of_the_eye,Number,0.17
2014,diseases_of_the_circulatory,Number,509.0
2014,diseases_of_the_respiratory,Number,39.96
2014,diseases_of_the_digestive,Number,27.0
2014,diseases_of_the_skin,Number,0.91
2014,diseases_of_the_musculoskeletal,Number,2.0
2014,diseases_of_the_genitourinary,Number,15.2
2014,certain_conditions_originating,Number,2.41
2014,congenital_malformations_deformations,Number,1.39
2014,symptoms_signs_and_abnormal,Number,63.56
2014,injuries_poisoning_and_consequences,Number,29.27
2014,external_causes_of_mortality,Number,0.48
2014,factors_influencing_health_status,Number,0.03
2014,unknown,Number,16.73
2015,infectious_and_parasitic,Number,10.52
2015,neoplasms,Number,226.0
2015,diseases_of_the_blood,Number,1.56
2015,endocrine_metabolic_and_nutritional,Number,58.0
2015,mental_and_behavioural_disorders,Number,5.34
2015,diseases_of_the_nervous,Number,13.0
2015,diseases_of_the_eye,Number,0.03
2015,diseases_of_the_circulatory,Number,560.0
2015,diseases_of_the_respiratory,Number,48.83
2015,diseases_of_the_digestive,Number,28.0
2015,diseases_of_the_skin,Number,1.19
2015,diseases_of_the_musculoskeletal,Number,2.0
2015,diseases_of_the_genitourinary,Number,19.44
2015,certain_conditions_originating,Number,3.58
2015,congenital_malformations_deformations,Number,0.88
2015,symptoms_signs_and_abnormal,Number,59.64
2015,injuries_poisoning_and_consequences,Number,31.35
2015,external_causes_of_mortality,Number,0.23
2015,unknown,Number,15.38
2016,infectious_and_parasitic,Number,11.73
2016,neoplasms,Number,221.0
2016,diseases_of_the_blood,Number,1.54
2016,endocrine_metabolic_and_nutritional,Number,56.0
2016,mental_and_behavioural_disorders,Number,6.44
2016,diseases_of_the_nervous,Number,11.0
2016,diseases_of_the_eye,Number,0.23
2016,diseases_of_the_circulatory,Number,540.0
2016,diseases_of_the_respiratory,Number,42.35
2016,diseases_of_the_digestive,Number,31.0
2016,diseases_of_the_skin,Number,1.0
2016,diseases_of_the_musculoskeletal,Number,1.0
2016,diseases_of_the_genitourinary,Number,19.82
2016,certain_conditions_originating,Number,3.33
2016,congenital_malformations_deformations,Number,0.46
2016,symptoms_signs_and_abnormal,Number,49.27
2016,injuries_poisoning_and_consequences,Number,29.62
2016,external_causes_of_mortality,Number,0.4
2016,unknown,Number,15.52
2017,infectious_and_parasitic,Number,11.27
2017,neoplasms,Number,232.0
2017,diseases_of_the_blood,Number,1.97
2017,endocrine_metabolic_and_nutritional,Number,62.0
2017,mental_and_behavioural_disorders,Number,7.56
2017,diseases_of_the_nervous,Number,11.0
2017,diseases_of_the_eye,Number,0.14
2017,diseases_of_the_circulatory,Number,548.0
2017,diseases_of_the_respiratory,Number,45.06
2017,diseases_of_the_digestive,Number,29.0
2017,diseases_of_the_skin,Number,1.26
2017,diseases_of_the_musculoskeletal,Number,1.0
2017,diseases_of_the_genitourinary,Number,16.75
2017,certain_conditions_originating,Number,3.88
2017,congenital_malformations_deformations,Number,0.77
2017,symptoms_signs_and_abnormal,Number,65.47
2017,injuries_poisoning_and_consequences,Number,30.45
2017,external_causes_of_mortality,Number,0.43
2017,unknown,Number,15.7
2018,infectious_and_parasitic,Number,12.67
2018,neoplasms,Number,225.0
2018,diseases_of_the_blood,Number,2.06
2018,endocrine_metabolic_and_nutritional,Number,60.0
2018,mental_and_behavioural_disorders,Number,6.75
2018,diseases_of_the_nervous,Number,10.0
2018,diseases_of_the_circulatory,Number,538.0
2018,diseases_of_the_respiratory,Number,53.09
2018,diseases_of_the_digestive,Number,30.0
2018,diseases_of_the_skin,Number,1.14
2018,diseases_of_the_musculoskeletal,Number,2.0
2018,diseases_of_the_genitourinary,Number,18.05
2018,certain_conditions_originating,Number,3.83
2018,congenital_malformations_deformations,Number,0.74
2018,symptoms_signs_and_abnormal,Number,73.83
2018,injuries_poisoning_and_consequences,Number,29.03
2018,external_causes_of_mortality,Number,0.31
2018,factors_influencing_health_status,Number,0.03
2018,unknown,Number,13.44
2001,pregnancy_childbirth_and_the,Number,0.03
2002,pregnancy_childbirth_and_the,Number,0.08
2004,pregnancy_childbirth_and_the,Number,0.03
2006,pregnancy_childbirth_and_the,Number,0.08
2007,pregnancy_childbirth_and_the,Number,0.03
2008,pregnancy_childbirth_and_the,Number,0.1
2009,pregnancy_childbirth_and_the,Number,0.03
2010,pregnancy_childbirth_and_the,Number,0.03
2011,pregnancy_childbirth_and_the,Number,0.05
2012,pregnancy_childbirth_and_the,Number,0.08
2015,pregnancy_childbirth_and_the,Number,0.03
2016,pregnancy_childbirth_and_the,Number,0.03
2018,pregnancy_childbirth_and_the,Number,0.03
