Year,UNIT_MEASURE,Age,Sex,Activity rates,Value
2007,% of total,50 - 64,F,Active (Labour Force) as % of working age population,23.7
2007,% of total,65+,F,Active (Labour Force) as % of working age population,3.6
2007,% of total,15 - 64,F,Active (Labour Force) as % of working age population,37.8
2008,% of total,15+,Both sexes,Active (Labour Force) as % of working age population,43.9
2008,% of total,15 - 24,Both sexes,Active (Labour Force) as % of working age population,33.2
2008,% of total,25 - 49,Both sexes,Active (Labour Force) as % of working age population,68.6
2008,% of total,50 - 64,Both sexes,Active (Labour Force) as % of working age population,40.5
2008,% of total,65+,Both sexes,Active (Labour Force) as % of working age population,5.4
2008,% of total,15 - 64,Both sexes,Active (Labour Force) as % of working age population,53.5
2008,% of total,15+,M,Active (Labour Force) as % of working age population,57.1
2008,% of total,15 - 24,M,Active (Labour Force) as % of working age population,40.0
2008,% of total,25 - 49,M,Active (Labour Force) as % of working age population,85.1
2008,% of total,50 - 64,M,Active (Labour Force) as % of working age population,57.2
2008,% of total,65+,M,Active (Labour Force) as % of working age population,8.3
2008,% of total,15 - 64,M,Active (Labour Force) as % of working age population,67.7
2008,% of total,15+,F,Active (Labour Force) as % of working age population,31.6
2008,% of total,15 - 24,F,Active (Labour Force) as % of working age population,25.6
2008,% of total,25 - 49,F,Active (Labour Force) as % of working age population,52.4
2008,% of total,50 - 64,F,Active (Labour Force) as % of working age population,25.7
2008,% of total,65+,F,Active (Labour Force) as % of working age population,3.2
2008,% of total,15 - 64,F,Active (Labour Force) as % of working age population,39.5
2009,% of total,15+,Both sexes,Active (Labour Force) as % of working age population,43.6
2009,% of total,15 - 24,Both sexes,Active (Labour Force) as % of working age population,32.6
2009,% of total,25 - 49,Both sexes,Active (Labour Force) as % of working age population,69.1
2009,% of total,50 - 64,Both sexes,Active (Labour Force) as % of working age population,40.8
2009,% of total,65+,Both sexes,Active (Labour Force) as % of working age population,4.2
2009,% of total,15 - 64,Both sexes,Active (Labour Force) as % of working age population,53.2
2009,% of total,15+,M,Active (Labour Force) as % of working age population,56.2
2009,% of total,15 - 24,M,Active (Labour Force) as % of working age population,40.4
2009,% of total,25 - 49,M,Active (Labour Force) as % of working age population,85.2
2009,% of total,50 - 64,M,Active (Labour Force) as % of working age population,55.3
2009,% of total,65+,M,Active (Labour Force) as % of working age population,5.6
2009,% of total,15 - 64,M,Active (Labour Force) as % of working age population,67.0
2009,% of total,15+,F,Active (Labour Force) as % of working age population,31.9
2009,% of total,15 - 24,F,Active (Labour Force) as % of working age population,24.3
2009,% of total,25 - 49,F,Active (Labour Force) as % of working age population,53.2
2009,% of total,50 - 64,F,Active (Labour Force) as % of working age population,27.6
2009,% of total,65+,F,Active (Labour Force) as % of working age population,3.1
2009,% of total,15 - 64,F,Active (Labour Force) as % of working age population,39.7
2010,% of total,15+,Both sexes,Active (Labour Force) as % of working age population,44.6
2010,% of total,15 - 24,Both sexes,Active (Labour Force) as % of working age population,33.0
2010,% of total,25 - 49,Both sexes,Active (Labour Force) as % of working age population,70.6
2010,% of total,50 - 64,Both sexes,Active (Labour Force) as % of working age population,40.5
2010,% of total,65+,Both sexes,Active (Labour Force) as % of working age population,4.6
2010,% of total,15 - 64,Both sexes,Active (Labour Force) as % of working age population,54.0
2010,% of total,15+,M,Active (Labour Force) as % of working age population,56.7
2010,% of total,15 - 24,M,Active (Labour Force) as % of working age population,39.7
2010,% of total,25 - 49,M,Active (Labour Force) as % of working age population,85.3
2010,% of total,50 - 64,M,Active (Labour Force) as % of working age population,54.5
2010,% of total,65+,M,Active (Labour Force) as % of working age population,6.3
2010,% of total,15 - 64,M,Active (Labour Force) as % of working age population,67.1
2010,% of total,15+,F,Active (Labour Force) as % of working age population,33.2
2010,% of total,15 - 24,F,Active (Labour Force) as % of working age population,25.9
2010,% of total,25 - 49,F,Active (Labour Force) as % of working age population,55.6
2010,% of total,50 - 64,F,Active (Labour Force) as % of working age population,28.0
2010,% of total,65+,F,Active (Labour Force) as % of working age population,3.3
2010,% of total,15 - 64,F,Active (Labour Force) as % of working age population,41.1
2011,% of total,15+,Both sexes,Active (Labour Force) as % of working age population,44.0
2011,% of total,15 - 24,Both sexes,Active (Labour Force) as % of working age population,31.4
2011,% of total,25 - 49,Both sexes,Active (Labour Force) as % of working age population,70.6
2011,% of total,50 - 64,Both sexes,Active (Labour Force) as % of working age population,41.2
2011,% of total,65+,Both sexes,Active (Labour Force) as % of working age population,3.6
2011,% of total,15 - 64,Both sexes,Active (Labour Force) as % of working age population,53.8
2011,% of total,15+,M,Active (Labour Force) as % of working age population,55.9
2011,% of total,15 - 24,M,Active (Labour Force) as % of working age population,38.8
2011,% of total,25 - 49,M,Active (Labour Force) as % of working age population,84.5
2011,% of total,50 - 64,M,Active (Labour Force) as % of working age population,54.1
2011,% of total,65+,M,Active (Labour Force) as % of working age population,4.9
2011,% of total,15 - 64,M,Active (Labour Force) as % of working age population,66.3
2011,% of total,15+,F,Active (Labour Force) as % of working age population,32.8
2011,% of total,15 - 24,F,Active (Labour Force) as % of working age population,23.3
2011,% of total,25 - 49,F,Active (Labour Force) as % of working age population,55.9
2011,% of total,50 - 64,F,Active (Labour Force) as % of working age population,29.8
2011,% of total,65+,F,Active (Labour Force) as % of working age population,2.7
2011,% of total,15 - 64,F,Active (Labour Force) as % of working age population,41.2
2012,% of total,15+,Both sexes,Active (Labour Force) as % of working age population,44.0
2012,% of total,15 - 24,Both sexes,Active (Labour Force) as % of working age population,29.4
2012,% of total,25 - 49,Both sexes,Active (Labour Force) as % of working age population,71.6
2012,% of total,50 - 64,Both sexes,Active (Labour Force) as % of working age population,42.1
2012,% of total,65+,Both sexes,Active (Labour Force) as % of working age population,5.0
2012,% of total,15 - 64,Both sexes,Active (Labour Force) as % of working age population,53.9
2012,% of total,15+,M,Active (Labour Force) as % of working age population,56.4
2012,% of total,15 - 24,M,Active (Labour Force) as % of working age population,37.7
2012,% of total,25 - 49,M,Active (Labour Force) as % of working age population,85.5
2012,% of total,50 - 64,M,Active (Labour Force) as % of working age population,56.2
2012,% of total,65+,M,Active (Labour Force) as % of working age population,7.0
2012,% of total,15 - 64,M,Active (Labour Force) as % of working age population,67.0
2012,% of total,15+,F,Active (Labour Force) as % of working age population,32.6
2012,% of total,15 - 24,F,Active (Labour Force) as % of working age population,20.9
2012,% of total,25 - 49,F,Active (Labour Force) as % of working age population,57.3
2012,% of total,50 - 64,F,Active (Labour Force) as % of working age population,29.2
2012,% of total,65+,F,Active (Labour Force) as % of working age population,3.4
2012,% of total,15 - 64,F,Active (Labour Force) as % of working age population,41.0
2013,% of total,15+,Both sexes,Active (Labour Force) as % of working age population,43.6
2013,% of total,15 - 24,Both sexes,Active (Labour Force) as % of working age population,28.3
2013,% of total,25 - 49,Both sexes,Active (Labour Force) as % of working age population,71.9
2013,% of total,50 - 64,Both sexes,Active (Labour Force) as % of working age population,42.1
2013,% of total,65+,Both sexes,Active (Labour Force) as % of working age population,4.2
2013,% of total,15 - 64,Both sexes,Active (Labour Force) as % of working age population,53.5
2013,% of total,15+,M,Active (Labour Force) as % of working age population,55.3
2013,% of total,15 - 24,M,Active (Labour Force) as % of working age population,36.3
2013,% of total,25 - 49,M,Active (Labour Force) as % of working age population,85.3
2013,% of total,50 - 64,M,Active (Labour Force) as % of working age population,55.5
2013,% of total,65+,M,Active (Labour Force) as % of working age population,6.2
2013,% of total,15 - 64,M,Active (Labour Force) as % of working age population,65.7
2013,% of total,15+,F,Active (Labour Force) as % of working age population,32.5
2013,% of total,15 - 24,F,Active (Labour Force) as % of working age population,19.4
2013,% of total,25 - 49,F,Active (Labour Force) as % of working age population,58.1
2013,% of total,50 - 64,F,Active (Labour Force) as % of working age population,29.6
2013,% of total,65+,F,Active (Labour Force) as % of working age population,2.7
2013,% of total,15 - 64,F,Active (Labour Force) as % of working age population,41.0
2014,% of total,15+,Both sexes,Active (Labour Force) as % of working age population,43.7
2014,% of total,15 - 24,Both sexes,Active (Labour Force) as % of working age population,29.3
2014,% of total,25 - 49,Both sexes,Active (Labour Force) as % of working age population,73.2
2014,% of total,50 - 64,Both sexes,Active (Labour Force) as % of working age population,42.1
2014,% of total,65+,Both sexes,Active (Labour Force) as % of working age population,4.7
2014,% of total,15 - 64,Both sexes,Active (Labour Force) as % of working age population,54.2
2014,% of total,15+,M,Active (Labour Force) as % of working age population,55.0
2014,% of total,15 - 24,M,Active (Labour Force) as % of working age population,34.6
2014,% of total,25 - 49,M,Active (Labour Force) as % of working age population,85.9
2014,% of total,50 - 64,M,Active (Labour Force) as % of working age population,56.1
2014,% of total,65+,M,Active (Labour Force) as % of working age population,6.8
2014,% of total,15 - 64,M,Active (Labour Force) as % of working age population,65.9
2014,% of total,15+,F,Active (Labour Force) as % of working age population,33.0
2014,% of total,15 - 24,F,Active (Labour Force) as % of working age population,23.3
2014,% of total,25 - 49,F,Active (Labour Force) as % of working age population,60.0
2014,% of total,50 - 64,F,Active (Labour Force) as % of working age population,29.5
2014,% of total,65+,F,Active (Labour Force) as % of working age population,3.1
2014,% of total,15 - 64,F,Active (Labour Force) as % of working age population,42.4
2015,% of total,15+,Both sexes,Active (Labour Force) as % of working age population,44.1
2015,% of total,15 - 24,Both sexes,Active (Labour Force) as % of working age population,32.2
2015,% of total,25 - 49,Both sexes,Active (Labour Force) as % of working age population,73.6
2015,% of total,50 - 64,Both sexes,Active (Labour Force) as % of working age population,41.7
2015,% of total,65+,Both sexes,Active (Labour Force) as % of working age population,4.3
2015,% of total,15 - 64,Both sexes,Active (Labour Force) as % of working age population,54.6
2015,% of total,15+,M,Active (Labour Force) as % of working age population,55.1
2015,% of total,15 - 24,M,Active (Labour Force) as % of working age population,38.9
2015,% of total,25 - 49,M,Active (Labour Force) as % of working age population,87.1
2015,% of total,50 - 64,M,Active (Labour Force) as % of working age population,53.7
2015,% of total,65+,M,Active (Labour Force) as % of working age population,6.0
2015,% of total,15 - 64,M,Active (Labour Force) as % of working age population,66.2
2015,% of total,15+,F,Active (Labour Force) as % of working age population,33.5
2015,% of total,15 - 24,F,Active (Labour Force) as % of working age population,24.5
2015,% of total,25 - 49,F,Active (Labour Force) as % of working age population,59.8
2015,% of total,50 - 64,F,Active (Labour Force) as % of working age population,30.5
2015,% of total,65+,F,Active (Labour Force) as % of working age population,3.0
2015,% of total,15 - 64,F,Active (Labour Force) as % of working age population,42.9
2016,% of total,15+,Both sexes,Active (Labour Force) as % of working age population,43.1
2016,% of total,15 - 24,Both sexes,Active (Labour Force) as % of working age population,30.2
2016,% of total,25 - 49,Both sexes,Active (Labour Force) as % of working age population,73.2
2016,% of total,50 - 64,Both sexes,Active (Labour Force) as % of working age population,43.7
2016,% of total,65+,Both sexes,Active (Labour Force) as % of working age population,4.1
2016,% of total,15 - 64,Both sexes,Active (Labour Force) as % of working age population,54.2
2016,% of total,15+,M,Active (Labour Force) as % of working age population,54.9
2016,% of total,15 - 24,M,Active (Labour Force) as % of working age population,38.1
2016,% of total,25 - 49,M,Active (Labour Force) as % of working age population,86.0
2016,% of total,50 - 64,M,Active (Labour Force) as % of working age population,57.4
2016,% of total,65+,M,Active (Labour Force) as % of working age population,6.0
2016,% of total,15 - 64,M,Active (Labour Force) as % of working age population,66.2
2016,% of total,15+,F,Active (Labour Force) as % of working age population,32.1
2016,% of total,15 - 24,F,Active (Labour Force) as % of working age population,21.3
2016,% of total,25 - 49,F,Active (Labour Force) as % of working age population,60.0
2016,% of total,50 - 64,F,Active (Labour Force) as % of working age population,30.6
2016,% of total,65+,F,Active (Labour Force) as % of working age population,2.7
2016,% of total,15 - 64,F,Active (Labour Force) as % of working age population,41.9
2017,% of total,15+,Both sexes,Active (Labour Force) as % of working age population,42.6
2017,% of total,15 - 24,Both sexes,Active (Labour Force) as % of working age population,32.5
2017,% of total,25 - 49,Both sexes,Active (Labour Force) as % of working age population,73.5
2017,% of total,50 - 64,Both sexes,Active (Labour Force) as % of working age population,43.6
2017,% of total,65+,Both sexes,Active (Labour Force) as % of working age population,5.2
2017,% of total,15 - 64,Both sexes,Active (Labour Force) as % of working age population,54.5
2017,% of total,15+,M,Active (Labour Force) as % of working age population,53.3
2017,% of total,15 - 24,M,Active (Labour Force) as % of working age population,40.2
2017,% of total,25 - 49,M,Active (Labour Force) as % of working age population,86.5
2017,% of total,50 - 64,M,Active (Labour Force) as % of working age population,56.4
2017,% of total,65+,M,Active (Labour Force) as % of working age population,6.9
2017,% of total,15 - 64,M,Active (Labour Force) as % of working age population,66.1
2017,% of total,15+,F,Active (Labour Force) as % of working age population,32.4
2017,% of total,15 - 24,F,Active (Labour Force) as % of working age population,23.4
2017,% of total,25 - 49,F,Active (Labour Force) as % of working age population,60.3
2017,% of total,50 - 64,F,Active (Labour Force) as % of working age population,31.6
2017,% of total,65+,F,Active (Labour Force) as % of working age population,3.9
2017,% of total,15 - 64,F,Active (Labour Force) as % of working age population,42.7
2018,% of total,15+,Both sexes,Active (Labour Force) as % of working age population,42.1
2018,% of total,15 - 24,Both sexes,Active (Labour Force) as % of working age population,32.3
2018,% of total,25 - 49,Both sexes,Active (Labour Force) as % of working age population,73.0
2018,% of total,50 - 64,Both sexes,Active (Labour Force) as % of working age population,44.6
2018,% of total,65+,Both sexes,Active (Labour Force) as % of working age population,4.7
2018,% of total,15 - 64,Both sexes,Active (Labour Force) as % of working age population,54.2
2018,% of total,15+,M,Active (Labour Force) as % of working age population,53.2
2018,% of total,15 - 24,M,Active (Labour Force) as % of working age population,40.4
2018,% of total,25 - 49,M,Active (Labour Force) as % of working age population,86.8
2018,% of total,50 - 64,M,Active (Labour Force) as % of working age population,57.3
2018,% of total,65+,M,Active (Labour Force) as % of working age population,6.2
2018,% of total,15 - 64,M,Active (Labour Force) as % of working age population,66.4
2018,% of total,15+,F,Active (Labour Force) as % of working age population,31.4
2018,% of total,15 - 24,F,Active (Labour Force) as % of working age population,23.1
2018,% of total,25 - 49,F,Active (Labour Force) as % of working age population,58.9
2018,% of total,50 - 64,F,Active (Labour Force) as % of working age population,32.3
2018,% of total,65+,F,Active (Labour Force) as % of working age population,3.6
2018,% of total,15 - 64,F,Active (Labour Force) as % of working age population,41.8
2019,% of total,15+,Both sexes,Active (Labour Force) as % of working age population,42.1
2019,% of total,15 - 24,Both sexes,Active (Labour Force) as % of working age population,35.4
2019,% of total,25 - 49,Both sexes,Active (Labour Force) as % of working age population,73.4
2019,% of total,50 - 64,Both sexes,Active (Labour Force) as % of working age population,46.7
2019,% of total,65+,Both sexes,Active (Labour Force) as % of working age population,6.9
2019,% of total,15 - 64,Both sexes,Active (Labour Force) as % of working age population,55.5
2019,% of total,15+,M,Active (Labour Force) as % of working age population,51.7
2019,% of total,15 - 24,M,Active (Labour Force) as % of working age population,39.8
2019,% of total,25 - 49,M,Active (Labour Force) as % of working age population,85.6
2019,% of total,50 - 64,M,Active (Labour Force) as % of working age population,60.1
2019,% of total,65+,M,Active (Labour Force) as % of working age population,8.8
2019,% of total,15 - 64,M,Active (Labour Force) as % of working age population,66.4
2019,% of total,15+,F,Active (Labour Force) as % of working age population,32.9
2019,% of total,15 - 24,F,Active (Labour Force) as % of working age population,29.9
2019,% of total,25 - 49,F,Active (Labour Force) as % of working age population,61.1
2019,% of total,50 - 64,F,Active (Labour Force) as % of working age population,34.1
2019,% of total,65+,F,Active (Labour Force) as % of working age population,5.3
2019,% of total,15 - 64,F,Active (Labour Force) as % of working age population,44.4
