Year,UNIT_MEASURE,Type_of_institution,Пол,Value
2019,Број,social_welfare_institutions_for_adults_with_disabilities,M,168
2019,Број,social_welfare_institutions_for_adults_with_disabilities,Ж,115
2019,Број,social_welfare_institutions_for_adults,Оба пола,7453
2019,Број,social_welfare_institutions_for_adults,M,2655
2019,Број,social_welfare_institutions_for_adults,Ж,4798
2020,Број,_T,Оба пола,10902
2020,Број,_T,M,4687
2020,Број,_T,Ж,6215
2020,Број,homes_for_children_and_youth_without_parental_care,Оба пола,1103
2020,Број,homes_for_children_and_youth_without_parental_care,M,590
2020,Број,homes_for_children_and_youth_without_parental_care,Ж,513
2020,Број,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,Оба пола,2434
2020,Број,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,M,1448
2020,Број,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,Ж,986
2020,Број,social_welfare_institutions_for_adults_with_disabilities,Оба пола,282
2020,Број,social_welfare_institutions_for_adults_with_disabilities,M,182
2020,Број,social_welfare_institutions_for_adults_with_disabilities,Ж,100
2020,Број,social_welfare_institutions_for_adults,Оба пола,7083
2020,Број,social_welfare_institutions_for_adults,M,2467
2020,Број,social_welfare_institutions_for_adults,Ж,4616
