Year,Ентитет,UNIT_MEASURE,Пол,Value
1999,Федерација БиХ,Старост,Оба пола,65.7
2000,Федерација БиХ,Старост,Оба пола,66.5
2001,Федерација БиХ,Старост,Оба пола,67.1
2002,Федерација БиХ,Старост,Оба пола,67.3
2003,Федерација БиХ,Старост,Оба пола,68.2
2004,Федерација БиХ,Старост,Оба пола,68.6
2005,Федерација БиХ,Старост,Оба пола,69.1
2006,Федерација БиХ,Старост,Оба пола,69.0
2007,Федерација БиХ,Старост,Оба пола,69.3
2008,Федерација БиХ,Старост,Оба пола,69.5
2009,Федерација БиХ,Старост,Оба пола,70.2
2010,Федерација БиХ,Старост,Оба пола,70.5
2011,Федерација БиХ,Старост,Оба пола,70.8
2012,Федерација БиХ,Старост,Оба пола,71.3
2013,Федерација БиХ,Старост,Оба пола,71.6
2014,Федерација БиХ,Старост,Оба пола,72.0
2015,Федерација БиХ,Старост,Оба пола,72.3
2016,Федерација БиХ,Старост,Оба пола,72.3
2017,Федерација БиХ,Старост,Оба пола,72.5
2018,Федерација БиХ,Старост,Оба пола,73.0
2019,Федерација БиХ,Старост,Оба пола,73.0
2008,Федерација БиХ,Старост,Мушкарци,61.6
2009,Федерација БиХ,Старост,Мушкарци,61.3
2010,Федерација БиХ,Старост,Мушкарци,63.2
2011,Федерација БиХ,Старост,Мушкарци,64.1
2012,Федерација БиХ,Старост,Мушкарци,64.5
2013,Федерација БиХ,Старост,Мушкарци,64.6
2014,Федерација БиХ,Старост,Мушкарци,65.5
2015,Федерација БиХ,Старост,Мушкарци,66.0
2016,Федерација БиХ,Старост,Мушкарци,66.4
2017,Федерација БиХ,Старост,Мушкарци,66.5
2018,Федерација БиХ,Старост,Мушкарци,66.8
2019,Федерација БиХ,Старост,Мушкарци,66.7
1961,Федерација БиХ,Старост,Мушкарци,67.5
1971,Федерација БиХ,Старост,Мушкарци,67.7
1981,Федерација БиХ,Старост,Мушкарци,68.2
1991,Федерација БиХ,Старост,Мушкарци,68.9
1996,Федерација БиХ,Старост,Мушкарци,69.0
1997,Федерација БиХ,Старост,Мушкарци,69.4
1998,Федерација БиХ,Старост,Мушкарци,69.6
1999,Федерација БиХ,Старост,Мушкарци,69.7
2000,Федерација БиХ,Старост,Мушкарци,70.1
2001,Федерација БиХ,Старост,Мушкарци,70.5
2002,Федерација БиХ,Старост,Мушкарци,70.5
2008,Федерација БиХ,Старост,Жене,67.5
2009,Федерација БиХ,Старост,Жене,66.8
2010,Федерација БиХ,Старост,Жене,68.5
2011,Федерација БиХ,Старост,Жене,69.3
2012,Федерација БиХ,Старост,Жене,69.9
2013,Федерација БиХ,Старост,Жене,70.3
2014,Федерација БиХ,Старост,Жене,71.1
2015,Федерација БиХ,Старост,Жене,71.3
2016,Федерација БиХ,Старост,Жене,72.0
2017,Федерација БиХ,Старост,Жене,71.7
2018,Федерација БиХ,Старост,Жене,72.0
2019,Федерација БиХ,Старост,Жене,72.5
2003,Федерација БиХ,Старост,Жене,73.0
2004,Федерација БиХ,Старост,Жене,73.3
2005,Федерација БиХ,Старост,Жене,73.7
2006,Федерација БиХ,Старост,Жене,74.1
2007,Федерација БиХ,Старост,Жене,74.3
2008,Федерација БиХ,Старост,Жене,74.7
2009,Федерација БиХ,Старост,Жене,75.0
2010,Федерација БиХ,Старост,Жене,74.9
2011,Федерација БиХ,Старост,Жене,75.0
2012,Федерација БиХ,Старост,Жене,75.5
2013,Федерација БиХ,Старост,Жене,75.6
2010,Република Српска,Старост,Оба пола,72.1
2011,Република Српска,Старост,Оба пола,72.5
2012,Република Српска,Старост,Оба пола,73.0
2013,Република Српска,Старост,Оба пола,73.0
2014,Република Српска,Старост,Оба пола,73.0
2015,Република Српска,Старост,Оба пола,73.7
2016,Република Српска,Старост,Оба пола,73.8
2017,Република Српска,Старост,Оба пола,74.5
2018,Република Српска,Старост,Оба пола,74.5
2019,Република Српска,Старост,Оба пола,74.5
2009,Република Српска,Старост,Мушкарци,64.9
2011,Република Српска,Старост,Мушкарци,65.2
2012,Република Српска,Старост,Мушкарци,66.5
2013,Република Српска,Старост,Мушкарци,66.3
2014,Република Српска,Старост,Мушкарци,67.0
2015,Република Српска,Старост,Мушкарци,67.0
2016,Република Српска,Старост,Мушкарци,67.3
2017,Република Српска,Старост,Мушкарци,67.6
2018,Република Српска,Старост,Мушкарци,68.2
2019,Република Српска,Старост,Мушкарци,68.3
1961,Република Српска,Старост,Мушкарци,68.9
1971,Република Српска,Старост,Мушкарци,69.4
1981,Република Српска,Старост,Мушкарци,69.6
1991,Република Српска,Старост,Мушкарци,70.1
1996,Република Српска,Старост,Мушкарци,70.1
1997,Република Српска,Старост,Мушкарци,70.5
1998,Република Српска,Старост,Мушкарци,71.0
1999,Република Српска,Старост,Мушкарци,71.0
2000,Република Српска,Старост,Мушкарци,71.6
2001,Република Српска,Старост,Мушкарци,71.6
2002,Република Српска,Старост,Мушкарци,71.7
2009,Република Српска,Старост,Жене,70.8
2011,Република Српска,Старост,Жене,71.2
2012,Република Српска,Старост,Жене,71.3
2013,Република Српска,Старост,Жене,72.0
2014,Република Српска,Старост,Жене,72.0
2015,Република Српска,Старост,Жене,72.0
2016,Република Српска,Старост,Жене,72.5
2017,Република Српска,Старост,Жене,73.1
2018,Република Српска,Старост,Жене,74.0
2019,Република Српска,Старост,Жене,74.3
2003,Република Српска,Старост,Жене,74.4
2004,Република Српска,Старост,Жене,74.9
2005,Република Српска,Старост,Жене,75.5
2006,Република Српска,Старост,Жене,76.1
2007,Република Српска,Старост,Жене,76.0
2008,Република Српска,Старост,Жене,76.1
2009,Република Српска,Старост,Жене,76.5
2010,Република Српска,Старост,Жене,76.9
2011,Република Српска,Старост,Жене,77.4
2012,Република Српска,Старост,Жене,77.4
2013,Република Српска,Старост,Жене,77.4
2004,Брчко Дистрикт БиХ,Старост,Оба пола,70.6
2005,Брчко Дистрикт БиХ,Старост,Оба пола,71.2
2006,Брчко Дистрикт БиХ,Старост,Оба пола,71.5
2007,Брчко Дистрикт БиХ,Старост,Оба пола,70.3
2008,Брчко Дистрикт БиХ,Старост,Оба пола,70.7
2009,Брчко Дистрикт БиХ,Старост,Оба пола,71.5
2010,Брчко Дистрикт БиХ,Старост,Оба пола,72.1
2011,Брчко Дистрикт БиХ,Старост,Оба пола,73.3
2012,Брчко Дистрикт БиХ,Старост,Оба пола,70.9
2013,Брчко Дистрикт БиХ,Старост,Оба пола,73.2
2014,Брчко Дистрикт БиХ,Старост,Оба пола,71.7
2015,Брчко Дистрикт БиХ,Старост,Оба пола,76.2
2016,Брчко Дистрикт БиХ,Старост,Оба пола,75.3
2017,Брчко Дистрикт БиХ,Старост,Оба пола,75.5
2018,Брчко Дистрикт БиХ,Старост,Оба пола,75.2
2019,Брчко Дистрикт БиХ,Старост,Оба пола,75.8
2015,Брчко Дистрикт БиХ,Старост,Мушкарци,68.1
2016,Брчко Дистрикт БиХ,Старост,Мушкарци,68.4
2017,Брчко Дистрикт БиХ,Старост,Мушкарци,68.5
2018,Брчко Дистрикт БиХ,Старост,Мушкарци,67.7
2019,Брчко Дистрикт БиХ,Старост,Мушкарци,67.1
1961,Брчко Дистрикт БиХ,Старост,Мушкарци,70.6
1971,Брчко Дистрикт БиХ,Старост,Мушкарци,69.8
1981,Брчко Дистрикт БиХ,Старост,Мушкарци,69.9
1991,Брчко Дистрикт БиХ,Старост,Мушкарци,69.1
1996,Брчко Дистрикт БиХ,Старост,Мушкарци,70.8
1997,Брчко Дистрикт БиХ,Старост,Мушкарци,69.1
1998,Брчко Дистрикт БиХ,Старост,Мушкарци,74.8
1999,Брчко Дистрикт БиХ,Старост,Мушкарци,72.9
2000,Брчко Дистрикт БиХ,Старост,Мушкарци,73.5
2001,Брчко Дистрикт БиХ,Старост,Мушкарци,71.1
2002,Брчко Дистрикт БиХ,Старост,Мушкарци,74.0
2015,Брчко Дистрикт БиХ,Старост,Жене,73.2
2016,Брчко Дистрикт БиХ,Старост,Жене,74.1
2017,Брчко Дистрикт БиХ,Старост,Жене,74.8
2018,Брчко Дистрикт БиХ,Старост,Жене,73.0
2019,Брчко Дистрикт БиХ,Старост,Жене,74.7
2003,Брчко Дистрикт БиХ,Старост,Жене,74.3
2004,Брчко Дистрикт БиХ,Старост,Жене,75.0
2005,Брчко Дистрикт БиХ,Старост,Жене,75.7
2006,Брчко Дистрикт БиХ,Старост,Жене,72.6
2007,Брчко Дистрикт БиХ,Старост,Жене,75.7
2008,Брчко Дистрикт БиХ,Старост,Жене,74.4
2009,Брчко Дистрикт БиХ,Старост,Жене,77.7
2010,Брчко Дистрикт БиХ,Старост,Жене,78.1
2011,Брчко Дистрикт БиХ,Старост,Жене,77.5
2012,Брчко Дистрикт БиХ,Старост,Жене,77.3
2013,Брчко Дистрикт БиХ,Старост,Жене,77.6
