Year,Пол,Административно подручје,UNIT_MEASURE,Value
2008,M,BiH,Број на 1000 живорођених,7.4
2009,M,BiH,Број на 1000 живорођених,6.4
2010,M,BiH,Број на 1000 живорођених,7.2
2011,M,BiH,Број на 1000 живорођених,6.7
2012,M,BiH,Број на 1000 живорођених,6.6
2013,M,BiH,Број на 1000 живорођених,6.9
2014,M,BiH,Број на 1000 живорођених,4.7
2015,M,BiH,Број на 1000 живорођених,6.1
2016,M,BiH,Број на 1000 живорођених,7.1
2017,M,BiH,Број на 1000 живорођених,6.7
2018,M,BiH,Број на 1000 живорођених,6.0
2019,M,BiH,Број на 1000 живорођених,6.9
1996,Ж,BiH,Број на 1000 живорођених,13.2
1997,Ж,BiH,Број на 1000 живорођених,10.0
1998,Ж,BiH,Број на 1000 живорођених,8.9
1999,Ж,BiH,Број на 1000 живорођених,9.1
2000,Ж,BiH,Број на 1000 живорођених,8.5
2001,Ж,BiH,Број на 1000 живорођених,7.0
2002,Ж,BiH,Број на 1000 живорођених,8.3
2003,Ж,BiH,Број на 1000 живорођених,6.7
2004,Ж,BiH,Број на 1000 живорођених,6.0
2005,Ж,BiH,Број на 1000 живорођених,5.9
2006,Ж,BiH,Број на 1000 живорођених,5.9
2007,Ж,BiH,Број на 1000 живорођених,6.1
2008,Ж,BiH,Број на 1000 живорођених,6.3
2009,Ж,BiH,Број на 1000 живорођених,6.5
2010,Ж,BiH,Број на 1000 живорођених,5.6
2011,Ж,BiH,Број на 1000 живорођених,4.8
2012,Ж,BiH,Број на 1000 живорођених,4.2
2013,Ж,BiH,Број на 1000 живорођених,4.8
2014,Ж,BiH,Број на 1000 живорођених,5.6
2015,Ж,BiH,Број на 1000 живорођених,6.1
2016,Ж,BiH,Број на 1000 живорођених,4.6
2017,Ж,BiH,Број на 1000 живорођених,6.3
2018,Ж,BiH,Број на 1000 живорођених,6.5
2019,Ж,BiH,Број на 1000 живорођених,6.5
1996,Оба пола,Федерација БиХ,Број на 1000 живорођених,13.8
1997,Оба пола,Федерација БиХ,Број на 1000 живорођених,13.0
1998,Оба пола,Федерација БиХ,Број на 1000 живорођених,12.1
1999,Оба пола,Федерација БиХ,Број на 1000 живорођених,11.2
2000,Оба пола,Федерација БиХ,Број на 1000 живорођених,11.0
2001,Оба пола,Федерација БиХ,Број на 1000 живорођених,8.9
2002,Оба пола,Федерација БиХ,Број на 1000 живорођених,10.5
2003,Оба пола,Федерација БиХ,Број на 1000 живорођених,8.7
2004,Оба пола,Федерација БиХ,Број на 1000 живорођених,8.5
2005,Оба пола,Федерација БиХ,Број на 1000 живорођених,8.8
2006,Оба пола,Федерација БиХ,Број на 1000 живорођених,9.5
2007,Оба пола,Федерација БиХ,Број на 1000 живорођених,8.9
2008,Оба пола,Федерација БиХ,Број на 1000 живорођених,8.5
2009,Оба пола,Федерација БиХ,Број на 1000 живорођених,7.6
2010,Оба пола,Федерација БиХ,Број на 1000 живорођених,7.7
2011,Оба пола,Федерација БиХ,Број на 1000 живорођених,6.6
2012,Оба пола,Федерација БиХ,Број на 1000 живорођених,6.5
2013,Оба пола,Федерација БиХ,Број на 1000 живорођених,7.3
2014,Оба пола,Федерација БиХ,Број на 1000 живорођених,6.4
2015,Оба пола,Федерација БиХ,Број на 1000 живорођених,8.0
2016,Оба пола,Федерација БиХ,Број на 1000 живорођених,7.5
2017,Оба пола,Федерација БиХ,Број на 1000 живорођених,8.2
2018,Оба пола,Федерација БиХ,Број на 1000 живорођених,8.4
2019,Оба пола,Федерација БиХ,Број на 1000 живорођених,9.3
1997,M,Федерација БиХ,Број на 1000 живорођених,15.4
1998,M,Федерација БиХ,Број на 1000 живорођених,14.4
1999,M,Федерација БиХ,Број на 1000 живорођених,12.2
2000,M,Федерација БиХ,Број на 1000 живорођених,12.5
2001,M,Федерација БиХ,Број на 1000 живорођених,9.6
2002,M,Федерација БиХ,Број на 1000 живорођених,11.6
2003,M,Федерација БиХ,Број на 1000 живорођених,10.1
2004,M,Федерација БиХ,Број на 1000 живорођених,9.3
2005,M,Федерација БиХ,Број на 1000 живорођених,10.0
2006,M,Федерација БиХ,Број на 1000 живорођених,11.3
2007,M,Федерација БиХ,Број на 1000 живорођених,10.1
2008,M,Федерација БиХ,Број на 1000 живорођених,9.4
2009,M,Федерација БиХ,Број на 1000 живорођених,7.3
2010,M,Федерација БиХ,Број на 1000 живорођених,9.1
2011,M,Федерација БиХ,Број на 1000 живорођених,7.7
2012,M,Федерација БиХ,Број на 1000 живорођених,7.6
2013,M,Федерација БиХ,Број на 1000 живорођених,8.5
2014,M,Федерација БиХ,Број на 1000 живорођених,6.2
2015,M,Федерација БиХ,Број на 1000 живорођених,8.5
2016,M,Федерација БиХ,Број на 1000 живорођених,8.5
2017,M,Федерација БиХ,Број на 1000 живорођених,8.5
2018,M,Федерација БиХ,Број на 1000 живорођених,8.3
2019,M,Федерација БиХ,Број на 1000 живорођених,9.5
1997,Ж,Федерација БиХ,Број на 1000 живорођених,10.3
1998,Ж,Федерација БиХ,Број на 1000 живорођених,9.7
1999,Ж,Федерација БиХ,Број на 1000 живорођених,10.1
2000,Ж,Федерација БиХ,Број на 1000 живорођених,9.5
2001,Ж,Федерација БиХ,Број на 1000 живорођених,8.2
2002,Ж,Федерација БиХ,Број на 1000 живорођених,9.5
2003,Ж,Федерација БиХ,Број на 1000 живорођених,7.2
2004,Ж,Федерација БиХ,Број на 1000 живорођених,7.7
2005,Ж,Федерација БиХ,Број на 1000 живорођених,7.6
2006,Ж,Федерација БиХ,Број на 1000 живорођених,7.5
2007,Ж,Федерација БиХ,Број на 1000 живорођених,7.6
2008,Ж,Федерација БиХ,Број на 1000 живорођених,7.5
2009,Ж,Федерација БиХ,Број на 1000 живорођених,7.8
2010,Ж,Федерација БиХ,Број на 1000 живорођених,6.2
2011,Ж,Федерација БиХ,Број на 1000 живорођених,5.5
2012,Ж,Федерација БиХ,Број на 1000 живорођених,5.2
2013,Ж,Федерација БиХ,Број на 1000 живорођених,6.2
2014,Ж,Федерација БиХ,Број на 1000 живорођених,6.6
2015,Ж,Федерација БиХ,Број на 1000 живорођених,7.4
2016,Ж,Федерација БиХ,Број на 1000 живорођених,6.4
2017,Ж,Федерација БиХ,Број на 1000 живорођених,7.8
2018,Ж,Федерација БиХ,Број на 1000 живорођених,8.4
2019,Ж,Федерација БиХ,Број на 1000 живорођених,9.0
1996,Оба пола,Република Српска,Број на 1000 живорођених,14.6
1997,Оба пола,Република Српска,Број на 1000 живорођених,11.3
1998,Оба пола,Република Српска,Број на 1000 живорођених,8.3
1999,Оба пола,Република Српска,Број на 1000 живорођених,8.2
2000,Оба пола,Република Српска,Број на 1000 живорођених,7.3
2001,Оба пола,Република Српска,Број на 1000 живорођених,5.3
2002,Оба пола,Република Српска,Број на 1000 живорођених,7.2
2003,Оба пола,Република Српска,Број на 1000 живорођених,6.1
2004,Оба пола,Република Српска,Број на 1000 живорођених,5.7
2005,Оба пола,Република Српска,Број на 1000 живорођених,3.6
2006,Оба пола,Република Српска,Број на 1000 живорођених,4.8
2007,Оба пола,Република Српска,Број на 1000 живорођених,3.8
2008,Оба пола,Република Српска,Број на 1000 живорођених,3.9
2009,Оба пола,Република Српска,Број на 1000 живорођених,4.8
2010,Оба пола,Република Српска,Број на 1000 живорођених,4.3
2011,Оба пола,Република Српска,Број на 1000 живорођених,4.5
2012,Оба пола,Република Српска,Број на 1000 живорођених,3.7
2013,Оба пола,Република Српска,Број на 1000 живорођених,3.5
2014,Оба пола,Република Српска,Број на 1000 живорођених,3.1
2015,Оба пола,Република Српска,Број на 1000 живорођених,2.8
2016,Оба пола,Република Српска,Број на 1000 живорођених,2.4
2017,Оба пола,Република Српска,Број на 1000 живорођених,2.8
2018,Оба пола,Република Српска,Број на 1000 живорођених,1.8
2019,Оба пола,Република Српска,Број на 1000 живорођених,1.6
1996,M,Република Српска,Број на 1000 живорођених,15.5
1997,M,Република Српска,Број на 1000 живорођених,13.0
1998,M,Република Српска,Број на 1000 живорођених,9.5
1999,M,Република Српска,Број на 1000 живорођених,9.2
2000,M,Република Српска,Број на 1000 живорођених,7.8
2001,M,Република Српска,Број на 1000 живорођених,5.8
2002,M,Република Српска,Број на 1000 живорођених,8.3
2003,M,Република Српска,Број на 1000 живорођених,5.9
2004,M,Република Српска,Број на 1000 живорођених,7.8
2005,M,Република Српска,Број на 1000 живорођених,3.8
2006,M,Република Српска,Број на 1000 живорођених,5.8
2007,M,Република Српска,Број на 1000 живорођених,3.5
2008,M,Република Српска,Број на 1000 живорођених,3.8
2009,M,Република Српска,Број на 1000 живорођених,5.2
2010,M,Република Српска,Број на 1000 живорођених,3.9
2011,M,Република Српска,Број на 1000 живорођених,5.2
2012,M,Република Српска,Број на 1000 живорођених,4.9
2013,M,Република Српска,Број на 1000 живорођених,4.3
2014,M,Република Српска,Број на 1000 живорођених,2.3
2015,M,Република Српска,Број на 1000 живорођених,1.9
2016,M,Република Српска,Број на 1000 живорођених,3.4
2017,M,Република Српска,Број на 1000 живорођених,2.7
2018,M,Република Српска,Број на 1000 живорођених,1.4
2019,M,Република Српска,Број на 1000 живорођених,1.4
1996,Ж,Република Српска,Број на 1000 живорођених,13.6
1997,Ж,Република Српска,Број на 1000 живорођених,9.6
1998,Ж,Република Српска,Број на 1000 живорођених,7.0
1999,Ж,Република Српска,Број на 1000 живорођених,7.2
2000,Ж,Република Српска,Број на 1000 живорођених,6.7
2001,Ж,Република Српска,Број на 1000 живорођених,4.8
2002,Ж,Република Српска,Број на 1000 живорођених,6.0
2003,Ж,Република Српска,Број на 1000 живорођених,6.3
2004,Ж,Република Српска,Број на 1000 живорођених,3.5
2005,Ж,Република Српска,Број на 1000 живорођених,3.4
2006,Ж,Република Српска,Број на 1000 живорођених,3.7
2007,Ж,Република Српска,Број на 1000 живорођених,4.1
2008,Ж,Република Српска,Број на 1000 живорођених,4.1
2009,Ж,Република Српска,Број на 1000 живорођених,4.4
2010,Ж,Република Српска,Број на 1000 живорођених,4.8
2011,Ж,Република Српска,Број на 1000 живорођених,3.7
2012,Ж,Република Српска,Број на 1000 живорођених,2.5
2013,Ж,Република Српска,Број на 1000 живорођених,2.6
2014,Ж,Република Српска,Број на 1000 живорођених,4.0
2015,Ж,Република Српска,Број на 1000 живорођених,3.8
2016,Ж,Република Српска,Број на 1000 живорођених,1.3
2017,Ж,Република Српска,Број на 1000 живорођених,2.9
2018,Ж,Република Српска,Број на 1000 живорођених,2.2
2019,Ж,Република Српска,Број на 1000 живорођених,1.8
2004,Оба пола,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2005,Оба пола,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2006,Оба пола,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2007,Оба пола,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2008,Оба пола,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2009,Оба пола,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2010,Оба пола,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2011,Оба пола,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2012,Оба пола,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2013,Оба пола,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2014,Оба пола,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2015,Оба пола,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2016,Оба пола,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2017,Оба пола,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2018,Оба пола,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2019,Оба пола,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2004,M,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2005,M,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2006,M,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2007,M,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2008,M,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2009,M,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2010,M,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2011,M,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2012,M,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2013,M,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2014,M,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2015,M,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2016,M,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2017,M,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2018,M,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2019,M,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2004,Ж,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2005,Ж,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2006,Ж,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2007,Ж,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2008,Ж,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2009,Ж,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2010,Ж,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2011,Ж,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2012,Ж,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2013,Ж,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2014,Ж,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2015,Ж,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2016,Ж,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2017,Ж,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2018,Ж,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
2019,Ж,Брчко дистрикт БиХ,Број на 1000 живорођених,0.0
