Year,UNIT_MEASURE,FORM_OF_VIOLENCE,Ентитет,SURVEY_IMPLEMENTED_BY,Value
2013,_%,women_who_have_experienced_physical_violence_after_the_age_of_15_(past_12_months),Федерација БиХ,UN Women & UNFPA,2.7
2013,_%,women_who_have_experienced_physical_violence_by_intimate_partner_(current_or_former_partner)_(ever),Федерација БиХ,UN Women & UNFPA,18.1
2013,_%,women_who_have_experienced_physical_violence_by_relatives_or_family_(other_than_intimate_partner)_(ever),Федерација БиХ,UN Women & UNFPA,16.6
2013,_%,women_who_have_experienced_physical_violence_in_broader_community_(not_relatives_or_intimate_partner)_(ever),Федерација БиХ,UN Women & UNFPA,4.5
2013,_%,women_who_have_experienced_sexual_violence_after_the_age_of_15_(ever),Федерација БиХ,UN Women & UNFPA,5.8
2013,_%,women_who_have_experienced_sexual_violence_after_the_age_of_15_(past_12_months),Федерација БиХ,UN Women & UNFPA,1.5
2013,_%,women_who_have_experienced_sexual_violence_by_intimate_partner_(current_or_former_partner)_(ever),Федерација БиХ,UN Women & UNFPA,5.0
2013,_%,women_who_have_experienced_sexual_violence_in_broader_community_(not_intimate_partner)_(ever),Федерација БиХ,UN Women & UNFPA,1.1
2013,_%,women_who_have_experienced_economic_violence_after_the_age_of_15_(ever),Федерација БиХ,UN Women & UNFPA,3.8
2013,_%,women_who_have_experienced_economic_violence_after_the_age_of_15_(past_12_months),Федерација БиХ,UN Women & UNFPA,1.0
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),Република Српска,UN Women & UNFPA,47.3
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(past_12_months),Република Српска,UN Women & UNFPA,10.6
2013,_%,women_who_have_experienced_any_form_of_partner_violence_after_the_age_of_15_(ever),Република Српска,UN Women & UNFPA,39.6
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_18-24_years_of_age,Република Српска,UN Women & UNFPA,63.2
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_25-34_years_of_age,Република Српска,UN Women & UNFPA,60.2
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_35-44_years_of_age,Република Српска,UN Women & UNFPA,47.6
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_45-54_years_of_age,Република Српска,UN Women & UNFPA,48.4
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_55-64_years_of_age,Република Српска,UN Women & UNFPA,45.1
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_65+_years_of_age,Република Српска,UN Women & UNFPA,41.2
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_urban_areas,Република Српска,UN Women & UNFPA,42.5
2013,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever)_-_rural_areas,Република Српска,UN Women & UNFPA,50.3
2013,_%,women_who_have_experienced_psychological_violence_after_the_age_of_15_(ever),Република Српска,UN Women & UNFPA,39.1
2013,_%,women_who_have_experienced_psychological_violence_after_the_age_of_15_(past_12_months),Република Српска,UN Women & UNFPA,8.9
2013,_%,women_who_have_experienced_psychological_violence_by_intimate_partner_(current_or_former_partner)_(ever),Република Српска,UN Women & UNFPA,40.5
2013,_%,women_who_have_experienced_psychological_violence_by_relatives_or_family_(other_than_intimate_partner)_(ever),Република Српска,UN Women & UNFPA,8.8
2013,_%,women_who_have_experienced_psychological_violence_in_broader_community_(not_relatives_or_intimate_partner)_(ever),Република Српска,UN Women & UNFPA,10.3
2013,_%,women_who_have_experienced_physical_violence_after_the_age_of_15_(ever),Република Српска,UN Women & UNFPA,26.5
2013,_%,women_who_have_experienced_physical_violence_after_the_age_of_15_(past_12_months),Република Српска,UN Women & UNFPA,1.9
2013,_%,women_who_have_experienced_physical_violence_by_intimate_partner_(current_or_former_partner)_(ever),Република Српска,UN Women & UNFPA,25.2
2013,_%,women_who_have_experienced_physical_violence_by_relatives_or_family_(other_than_intimate_partner)_(ever),Република Српска,UN Women & UNFPA,22.6
2013,_%,women_who_have_experienced_physical_violence_in_broader_community_(not_relatives_or_intimate_partner)_(ever),Република Српска,UN Women & UNFPA,3.5
2013,_%,women_who_have_experienced_sexual_violence_after_the_age_of_15_(ever),Република Српска,UN Women & UNFPA,6.4
2013,_%,women_who_have_experienced_sexual_violence_after_the_age_of_15_(past_12_months),Република Српска,UN Women & UNFPA,0.9
2013,_%,women_who_have_experienced_sexual_violence_by_intimate_partner_(current_or_former_partner)_(ever),Република Српска,UN Women & UNFPA,5.2
2013,_%,women_who_have_experienced_sexual_violence_in_broader_community_(not_intimate_partner)_(ever),Република Српска,UN Women & UNFPA,1.7
2013,_%,women_who_have_experienced_economic_violence_after_the_age_of_15_(ever),Република Српска,UN Women & UNFPA,6.6
2013,_%,women_who_have_experienced_economic_violence_after_the_age_of_15_(past_12_months),Република Српска,UN Women & UNFPA,2.1
2019,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(ever),BiH,OSCE,48.0
2019,_%,women_who_have_experienced_any_form_of_violence_after_the_age_of_15_(past_12_months),BiH,OSCE,19.0
2019,_%,women_who_have_experienced_any_form_of_partner_violence_after_the_age_of_15_(ever),BiH,OSCE,36.0
2019,_%,women_who_have_experienced_any_form_of_partner_violence_after_the_age_of_15_(past_12_months),BiH,OSCE,10.0
2019,_%,women_who_have_experienced_psychological_violence_by_intimate_partner_(current_or_former_partner)_(ever),BiH,OSCE,35.0
2019,_%,women_who_have_experienced_psychological_violence_by_intimate_partner_(current_or_former_partner)_(past_12_months),BiH,OSCE,10.0
2019,_%,women_who_have_experienced_physical_violence_by_intimate_partner_(current_or_former_partner)_(ever),BiH,OSCE,10.0
2019,_%,women_who_have_experienced_physical_violence_by_intimate_partner_(current_or_former_partner)_(past_12_months),BiH,OSCE,3.0
2019,_%,women_who_have_experienced_physical_violence_by_relatives_or_family_(other_than_intimate_partner)_(ever),BiH,OSCE,18.0
2019,_%,women_who_have_experienced_physical_violence_in_broader_community_(not_intimate_partner)_(ever),BiH,OSCE,7.0
2019,_%,women_who_have_experienced_physical_violence_in_broader_community_(not_intimate_partner)_(past_12_months),BiH,OSCE,1.0
2019,_%,women_who_have_experienced_sexual_violence_by_intimate_partner_(current_or_former_partner)_(ever),BiH,OSCE,4.0
2019,_%,women_who_have_experienced_sexual_violence_by_intimate_partner_(current_or_former_partner)_(past_12_months),BiH,OSCE,1.0
2019,_%,women_who_have_experienced_sexual_violence_in_broader_community_(not_intimate_partner)_(ever),BiH,OSCE,1.0
2019,_%,women_who_have_experienced_sexual_violence_in_broader_community_(not_intimate_partner)_(past_12_months),BiH,OSCE,0.4
2019,_%,women_who_have_experienced_sexual_harassment_after_the_age_of_15_(ever),BiH,OSCE,28.0
2019,_%,women_who_have_experienced_sexual_harassment_after_the_age_of_15_(past_12_months),BiH,OSCE,10.0
2019,_%,women_who_have_experienced_economic_violence_after_the_age_of_15_(ever),BiH,OSCE,12.0
2019,_%,women_who_have_experienced_any_form_of_partner_violence_after_the_age_of_15_(ever),Федерација БиХ,OSCE,36.0
2019,_%,women_who_have_experienced_any_form_of_partner_violence_after_the_age_of_15_(past_12_months),Федерација БиХ,OSCE,11.0
2019,_%,women_who_have_experienced_psychological_violence_by_intimate_partner_(current_or_former_partner)_(ever),Федерација БиХ,OSCE,36.0
2019,_%,women_who_have_experienced_psychological_violence_by_intimate_partner_(current_or_former_partner)_(past_12_months),Федерација БиХ,OSCE,10.0
2019,_%,women_who_have_experienced_physical_violence_by_intimate_partner_(current_or_former_partner)_(ever),Федерација БиХ,OSCE,10.0
2019,_%,women_who_have_experienced_physical_violence_by_intimate_partner_(current_or_former_partner)_(past_12_months),Федерација БиХ,OSCE,3.0
2019,_%,women_who_have_experienced_physical_violence_by_relatives_or_family_(other_than_intimate_partner)_(ever),Федерација БиХ,OSCE,23.0
2019,_%,women_who_have_experienced_physical_violence_in_broader_community_(not_intimate_partner)_(ever),Федерација БиХ,OSCE,7.0
2019,_%,women_who_have_experienced_physical_violence_in_broader_community_(not_intimate_partner)_(past_12_months),Федерација БиХ,OSCE,1.0
2019,_%,women_who_have_experienced_sexual_violence_by_intimate_partner_(current_or_former_partner)_(ever),Федерација БиХ,OSCE,4.0
2019,_%,women_who_have_experienced_sexual_violence_by_intimate_partner_(current_or_former_partner)_(past_12_months),Федерација БиХ,OSCE,2.0
2019,_%,women_who_have_experienced_sexual_violence_in_broader_community_(not_intimate_partner)_(ever),Федерација БиХ,OSCE,1.0
2019,_%,women_who_have_experienced_sexual_violence_in_broader_community_(not_intimate_partner)_(past_12_months),Федерација БиХ,OSCE,0.5
2019,_%,women_who_have_experienced_sexual_harassment_after_the_age_of_15_(ever),Федерација БиХ,OSCE,26.0
2019,_%,women_who_have_experienced_sexual_harassment_after_the_age_of_15_(past_12_months),Федерација БиХ,OSCE,9.0
2019,_%,women_who_have_experienced_any_form_of_partner_violence_after_the_age_of_15_(ever),Република Српска,OSCE,37.0
2019,_%,women_who_have_experienced_any_form_of_partner_violence_after_the_age_of_15_(past_12_months),Република Српска,OSCE,9.0
2019,_%,women_who_have_experienced_psychological_violence_by_intimate_partner_(current_or_former_partner)_(ever),Република Српска,OSCE,36.0
2019,_%,women_who_have_experienced_psychological_violence_by_intimate_partner_(current_or_former_partner)_(past_12_months),Република Српска,OSCE,9.0
2019,_%,women_who_have_experienced_physical_violence_by_intimate_partner_(current_or_former_partner)_(ever),Република Српска,OSCE,11.0
2019,_%,women_who_have_experienced_physical_violence_by_intimate_partner_(current_or_former_partner)_(past_12_months),Република Српска,OSCE,3.0
2019,_%,women_who_have_experienced_physical_violence_by_relatives_or_family_(other_than_intimate_partner)_(ever),Република Српска,OSCE,7.0
2019,_%,women_who_have_experienced_physical_violence_in_broader_community_(not_intimate_partner)_(ever),Република Српска,OSCE,7.0
2019,_%,women_who_have_experienced_physical_violence_in_broader_community_(not_intimate_partner)_(past_12_months),Република Српска,OSCE,2.0
2019,_%,women_who_have_experienced_sexual_violence_by_intimate_partner_(current_or_former_partner)_(ever),Република Српска,OSCE,3.0
2019,_%,women_who_have_experienced_sexual_violence_in_broader_community_(not_intimate_partner)_(ever),Република Српска,OSCE,2.0
2019,_%,women_who_have_experienced_sexual_violence_in_broader_community_(not_intimate_partner)_(past_12_months),Република Српска,OSCE,0.2
2019,_%,women_who_have_experienced_sexual_harassment_after_the_age_of_15_(ever),Република Српска,OSCE,31.0
2019,_%,women_who_have_experienced_sexual_harassment_after_the_age_of_15_(past_12_months),Република Српска,OSCE,14.0
2019,_%,women_who_have_experienced_any_form_of_partner_violence_after_the_age_of_15_(ever),Брчко Дистрикт БиХ,OSCE,45.0
2019,_%,women_who_have_experienced_psychological_violence_by_intimate_partner_(current_or_former_partner)_(ever),Брчко Дистрикт БиХ,OSCE,43.0
2019,_%,women_who_have_experienced_physical_violence_by_intimate_partner_(current_or_former_partner)_(ever),Брчко Дистрикт БиХ,OSCE,10.0
2019,_%,women_who_have_experienced_physical_violence_in_broader_community_(not_intimate_partner)_(ever),Брчко Дистрикт БиХ,OSCE,5.0
2019,_%,women_who_have_experienced_sexual_violence_by_intimate_partner_(current_or_former_partner)_(ever),Брчко Дистрикт БиХ,OSCE,5.0
2019,_%,women_who_have_experienced_sexual_violence_in_broader_community_(not_intimate_partner)_(ever),Брчко Дистрикт БиХ,OSCE,1.0
2019,_%,women_who_have_experienced_sexual_harassment_after_the_age_of_15_(ever),Брчко Дистрикт БиХ,OSCE,25.0
