Year,UNIT_MEASURE,TYPE_OF_DEPENDENCY_RATIO,Пол,Value
2060,%,Омјер економске подршке старијим лицима,M,88.59
2065,%,Омјер економске подршке старијим лицима,M,93.58
2070,%,Омјер економске подршке старијим лицима,M,94.04
2018,%,Омјер старијих и младих,M,115.71
2020,%,Омјер старијих и младих,M,128.11
2025,%,Омјер старијих и младих,M,165.41
2030,%,Омјер старијих и младих,M,206.01
2035,%,Омјер старијих и младих,M,245.28
2040,%,Омјер старијих и младих,M,286.61
2045,%,Омјер старијих и младих,M,325.51
2050,%,Омјер старијих и младих,M,359.64
2055,%,Омјер старијих и младих,M,386.67
2060,%,Омјер старијих и младих,M,405.45
2065,%,Омјер старијих и младих,M,420.87
2070,%,Омјер старијих и младих,M,424.86
2018,%,Укупан омјер економске подршке,Ж,44.32
2020,%,Укупан омјер економске подршке,Ж,47.11
2025,%,Укупан омјер економске подршке,Ж,53.97
2030,%,Укупан омјер економске подршке,Ж,62.1
2035,%,Укупан омјер економске подршке,Ж,68.98
2040,%,Укупан омјер економске подршке,Ж,76.0
2045,%,Укупан омјер економске подршке,Ж,84.34
2050,%,Укупан омјер економске подршке,Ж,94.16
2055,%,Укупан омјер економске подршке,Ж,103.66
2060,%,Укупан омјер економске подршке,Ж,110.44
2065,%,Укупан омјер економске подршке,Ж,115.81
2070,%,Укупан омјер економске подршке,Ж,116.18
2018,%,Омјер економске подршке младима,Ж,20.55
2020,%,Омјер економске подршке младима,Ж,20.65
2025,%,Омјер економске подршке младима,Ж,20.34
2030,%,Омјер економске подршке младима,Ж,20.29
2035,%,Омјер економске подршке младима,Ж,19.98
2040,%,Омјер економске подршке младима,Ж,19.66
2045,%,Омјер економске подршке младима,Ж,19.82
2050,%,Омјер економске подршке младима,Ж,20.49
2055,%,Омјер економске подршке младима,Ж,21.3
2060,%,Омјер економске подршке младима,Ж,21.85
2065,%,Омјер економске подршке младима,Ж,22.23
2070,%,Омјер економске подршке младима,Ж,22.13
2018,%,Омјер економске подршке старијим лицима,Ж,23.78
2020,%,Омјер економске подршке старијим лицима,Ж,26.46
2025,%,Омјер економске подршке старијим лицима,Ж,33.64
2030,%,Омјер економске подршке старијим лицима,Ж,41.81
2035,%,Омјер економске подршке старијим лицима,Ж,49.0
2040,%,Омјер економске подршке старијим лицима,Ж,56.34
2045,%,Омјер економске подршке старијим лицима,Ж,64.52
2050,%,Омјер економске подршке старијим лицима,Ж,73.67
2055,%,Омјер економске подршке старијим лицима,Ж,82.36
2060,%,Омјер економске подршке старијим лицима,Ж,88.59
2065,%,Омјер економске подршке старијим лицима,Ж,93.58
2070,%,Омјер економске подршке старијим лицима,Ж,94.04
2018,%,Омјер старијих и младих,Ж,115.71
2020,%,Омјер старијих и младих,Ж,128.11
2025,%,Омјер старијих и младих,Ж,165.41
2030,%,Омјер старијих и младих,Ж,206.01
2035,%,Омјер старијих и младих,Ж,245.28
2040,%,Омјер старијих и младих,Ж,286.61
2045,%,Омјер старијих и младих,Ж,325.51
2050,%,Омјер старијих и младих,Ж,359.64
2055,%,Омјер старијих и младих,Ж,386.67
2060,%,Омјер старијих и младих,Ж,405.45
2065,%,Омјер старијих и младих,Ж,420.87
2070,%,Омјер старијих и младих,Ж,424.86
