Year,Пол,CAUSE_OF_DEATH,UNIT_MEASURE,Value
2001,Жене,infectious_and_parasitic,Број,100
2001,Жене,neoplasms,Број,2059
2001,Жене,diseases_of_the_blood,Број,13
2001,Жене,endocrine_metabolic_and_nutritional,Број,427
2001,Жене,mental_and_behavioural_disorders,Број,11
2001,Жене,diseases_of_the_nervous,Број,82
2001,Жене,diseases_of_the_circulatory,Број,8385
2001,Жене,diseases_of_the_respiratory,Број,311
2001,Жене,diseases_of_the_digestive,Број,287
2001,Жене,diseases_of_the_skin,Број,12
2001,Жене,diseases_of_the_musculoskeletal,Број,8
2001,Жене,diseases_of_the_genitourinary,Број,197
2001,Жене,pregnancy_childbirth_and_the,Број,1
2001,Жене,certain_conditions_originating,Број,79
2001,Жене,congenital_malformations_deformations,Број,25
2001,Жене,symptoms_signs_and_abnormal,Број,1394
2001,Жене,injuries_poisoning_and_consequences,Број,249
2001,Жене,external_causes_of_mortality,Број,55
2001,Жене,factors_influencing_health_status,Број,1
2001,Жене,unknown,Број,427
2001,Жене,Укупно,Број,14123
2002,Оба пола,infectious_and_parasitic,Број,263
2002,Оба пола,neoplasms,Број,5288
2002,Оба пола,diseases_of_the_blood,Број,19
2002,Оба пола,endocrine_metabolic_and_nutritional,Број,862
2002,Оба пола,mental_and_behavioural_disorders,Број,66
2002,Оба пола,diseases_of_the_nervous,Број,157
2002,Оба пола,diseases_of_the_eye,Број,1
2002,Оба пола,diseases_of_the_circulatory,Број,16007
2002,Оба пола,diseases_of_the_respiratory,Број,817
2002,Оба пола,diseases_of_the_digestive,Број,820
2002,Оба пола,diseases_of_the_skin,Број,17
2002,Оба пола,diseases_of_the_musculoskeletal,Број,10
2002,Оба пола,diseases_of_the_genitourinary,Број,219
2002,Оба пола,pregnancy_childbirth_and_the,Број,3
2002,Оба пола,certain_conditions_originating,Број,226
2002,Оба пола,congenital_malformations_deformations,Број,56
2002,Оба пола,symptoms_signs_and_abnormal,Број,2983
2002,Оба пола,injuries_poisoning_and_consequences,Број,984
2002,Оба пола,external_causes_of_mortality,Број,242
2002,Оба пола,factors_influencing_health_status,Број,1
2002,Оба пола,unknown,Број,1790
2002,Оба пола,Укупно,Број,30831
2002,Мушкарци,infectious_and_parasitic,Број,160
2002,Мушкарци,neoplasms,Број,3201
2002,Мушкарци,diseases_of_the_blood,Број,11
2002,Мушкарци,endocrine_metabolic_and_nutritional,Број,300
2002,Мушкарци,mental_and_behavioural_disorders,Број,39
2002,Мушкарци,diseases_of_the_nervous,Број,87
2002,Мушкарци,diseases_of_the_eye,Број,1
2002,Мушкарци,diseases_of_the_circulatory,Број,7544
2002,Мушкарци,diseases_of_the_respiratory,Број,478
2002,Мушкарци,diseases_of_the_digestive,Број,495
2002,Мушкарци,diseases_of_the_skin,Број,3
2002,Мушкарци,diseases_of_the_musculoskeletal,Број,2
2002,Мушкарци,diseases_of_the_genitourinary,Број,120
2002,Мушкарци,certain_conditions_originating,Број,128
2002,Мушкарци,congenital_malformations_deformations,Број,32
2002,Мушкарци,symptoms_signs_and_abnormal,Број,1535
2002,Мушкарци,injuries_poisoning_and_consequences,Број,751
2002,Мушкарци,external_causes_of_mortality,Број,180
2002,Мушкарци,factors_influencing_health_status,Број,1
2002,Мушкарци,unknown,Број,965
2002,Мушкарци,Укупно,Број,16033
2002,Жене,infectious_and_parasitic,Број,103
2002,Жене,neoplasms,Број,2087
2002,Жене,diseases_of_the_blood,Број,8
2002,Жене,endocrine_metabolic_and_nutritional,Број,562
2002,Жене,mental_and_behavioural_disorders,Број,27
2002,Жене,diseases_of_the_nervous,Број,70
2002,Жене,diseases_of_the_circulatory,Број,8463
2002,Жене,diseases_of_the_respiratory,Број,339
2002,Жене,diseases_of_the_digestive,Број,325
2002,Жене,diseases_of_the_skin,Број,14
2002,Жене,diseases_of_the_musculoskeletal,Број,8
2002,Жене,diseases_of_the_genitourinary,Број,99
2002,Жене,pregnancy_childbirth_and_the,Број,3
2002,Жене,certain_conditions_originating,Број,98
2002,Жене,congenital_malformations_deformations,Број,24
2002,Жене,symptoms_signs_and_abnormal,Број,1448
2002,Жене,injuries_poisoning_and_consequences,Број,233
2002,Жене,external_causes_of_mortality,Број,62
2002,Жене,unknown,Број,825
2002,Жене,Укупно,Број,14798
2003,Оба пола,neoplasms,Број,5771
2003,Оба пола,diseases_of_the_circulatory,Број,16990
2003,Оба пола,diseases_of_the_respiratory,Број,876
2003,Оба пола,diseases_of_the_digestive,Број,810
2003,Оба пола,symptoms_signs_and_abnormal,Број,3166
2003,Оба пола,injuries_poisoning_and_consequences,Број,950
2003,Оба пола,unknown,Број,770
2003,Оба пола,Укупно,Број,29333
2003,Мушкарци,neoplasms,Број,3499
2003,Мушкарци,diseases_of_the_circulatory,Број,8001
2003,Мушкарци,diseases_of_the_respiratory,Број,542
2003,Мушкарци,diseases_of_the_digestive,Број,499
2003,Мушкарци,symptoms_signs_and_abnormal,Број,1612
2003,Мушкарци,injuries_poisoning_and_consequences,Број,706
2003,Мушкарци,unknown,Број,424
2003,Мушкарци,Укупно,Број,15283
2003,Жене,neoplasms,Број,2272
2003,Жене,diseases_of_the_circulatory,Број,8989
2003,Жене,diseases_of_the_respiratory,Број,334
2003,Жене,diseases_of_the_digestive,Број,311
2003,Жене,symptoms_signs_and_abnormal,Број,1554
2003,Жене,injuries_poisoning_and_consequences,Број,244
2003,Жене,unknown,Број,346
2003,Жене,Укупно,Број,14050
2004,Оба пола,infectious_and_parasitic,Број,255
2004,Оба пола,neoplasms,Број,5709
2004,Оба пола,diseases_of_the_blood,Број,31
2004,Оба пола,endocrine_metabolic_and_nutritional,Број,993
2004,Оба пола,mental_and_behavioural_disorders,Број,104
2004,Оба пола,diseases_of_the_nervous,Број,251
2004,Оба пола,diseases_of_the_circulatory,Број,17700
2004,Оба пола,diseases_of_the_respiratory,Број,907
2004,Оба пола,diseases_of_the_digestive,Број,839
2004,Оба пола,diseases_of_the_skin,Број,11
2004,Оба пола,diseases_of_the_musculoskeletal,Број,16
2004,Оба пола,diseases_of_the_genitourinary,Број,467
2004,Оба пола,pregnancy_childbirth_and_the,Број,1
2004,Оба пола,certain_conditions_originating,Број,163
2004,Оба пола,congenital_malformations_deformations,Број,42
2004,Оба пола,symptoms_signs_and_abnormal,Број,2723
2004,Оба пола,injuries_poisoning_and_consequences,Број,920
2004,Оба пола,external_causes_of_mortality,Број,273
2004,Оба пола,factors_influencing_health_status,Број,1
2004,Оба пола,unknown,Број,1210
2004,Оба пола,Укупно,Број,32616
2004,Мушкарци,infectious_and_parasitic,Број,152
2004,Мушкарци,neoplasms,Број,3398
2004,Мушкарци,diseases_of_the_blood,Број,10
2004,Мушкарци,endocrine_metabolic_and_nutritional,Број,377
2004,Мушкарци,mental_and_behavioural_disorders,Број,80
2004,Мушкарци,diseases_of_the_nervous,Број,126
2004,Мушкарци,diseases_of_the_circulatory,Број,8262
2004,Мушкарци,diseases_of_the_respiratory,Број,551
2004,Мушкарци,diseases_of_the_digestive,Број,498
2004,Мушкарци,diseases_of_the_skin,Број,2
2004,Мушкарци,diseases_of_the_musculoskeletal,Број,9
2004,Мушкарци,diseases_of_the_genitourinary,Број,248
2004,Мушкарци,certain_conditions_originating,Број,101
2004,Мушкарци,congenital_malformations_deformations,Број,26
2004,Мушкарци,symptoms_signs_and_abnormal,Број,1399
2004,Мушкарци,injuries_poisoning_and_consequences,Број,691
2004,Мушкарци,external_causes_of_mortality,Број,198
2004,Мушкарци,factors_influencing_health_status,Број,1
2004,Мушкарци,unknown,Број,651
2004,Мушкарци,Укупно,Број,16780
2004,Жене,infectious_and_parasitic,Број,103
2004,Жене,neoplasms,Број,2311
2004,Жене,diseases_of_the_blood,Број,21
2004,Жене,endocrine_metabolic_and_nutritional,Број,616
2004,Жене,mental_and_behavioural_disorders,Број,24
2004,Жене,diseases_of_the_nervous,Број,125
2004,Жене,diseases_of_the_circulatory,Број,9438
2004,Жене,diseases_of_the_respiratory,Број,356
2004,Жене,diseases_of_the_digestive,Број,341
2004,Жене,diseases_of_the_skin,Број,9
2004,Жене,diseases_of_the_musculoskeletal,Број,7
2004,Жене,diseases_of_the_genitourinary,Број,219
2004,Жене,pregnancy_childbirth_and_the,Број,1
2004,Жене,certain_conditions_originating,Број,62
2004,Жене,congenital_malformations_deformations,Број,16
2004,Жене,symptoms_signs_and_abnormal,Број,1324
2004,Жене,injuries_poisoning_and_consequences,Број,229
2004,Жене,external_causes_of_mortality,Број,75
2004,Жене,unknown,Број,559
2004,Жене,Укупно,Број,15836
2005,Оба пола,neoplasms,Број,6255
2005,Оба пола,diseases_of_the_circulatory,Број,17915
2005,Оба пола,diseases_of_the_respiratory,Број,1242
2005,Оба пола,diseases_of_the_digestive,Број,818
2005,Оба пола,symptoms_signs_and_abnormal,Број,2394
2005,Оба пола,injuries_poisoning_and_consequences,Број,952
2005,Оба пола,Укупно,Број,29576
2005,Мушкарци,neoplasms,Број,3766
2005,Мушкарци,diseases_of_the_circulatory,Број,8559
2005,Мушкарци,diseases_of_the_respiratory,Број,726
2005,Мушкарци,diseases_of_the_digestive,Број,491
2005,Мушкарци,symptoms_signs_and_abnormal,Број,1312
2005,Мушкарци,injuries_poisoning_and_consequences,Број,718
2005,Мушкарци,Укупно,Број,15572
2005,Жене,neoplasms,Број,2489
2005,Жене,diseases_of_the_circulatory,Број,9356
2005,Жене,diseases_of_the_respiratory,Број,516
2005,Жене,diseases_of_the_digestive,Број,327
2005,Жене,symptoms_signs_and_abnormal,Број,1082
2005,Жене,injuries_poisoning_and_consequences,Број,234
2005,Жене,Укупно,Број,14004
2006,Оба пола,infectious_and_parasitic,Број,237
2006,Оба пола,neoplasms,Број,6252
2006,Оба пола,diseases_of_the_blood,Број,20
2006,Оба пола,endocrine_metabolic_and_nutritional,Број,1537
2006,Оба пола,mental_and_behavioural_disorders,Број,118
2006,Оба пола,diseases_of_the_nervous,Број,298
2006,Оба пола,diseases_of_the_eye,Број,1
2006,Оба пола,diseases_of_the_circulatory,Број,16967
2006,Оба пола,diseases_of_the_respiratory,Број,1132
2006,Оба пола,diseases_of_the_digestive,Број,826
2006,Оба пола,diseases_of_the_skin,Број,11
2006,Оба пола,diseases_of_the_musculoskeletal,Број,16
2006,Оба пола,diseases_of_the_genitourinary,Број,547
2006,Оба пола,pregnancy_childbirth_and_the,Број,3
2006,Оба пола,certain_conditions_originating,Број,185
2006,Оба пола,congenital_malformations_deformations,Број,56
2006,Оба пола,symptoms_signs_and_abnormal,Број,2744
2006,Оба пола,injuries_poisoning_and_consequences,Број,1017
2006,Оба пола,external_causes_of_mortality,Број,212
2006,Оба пола,factors_influencing_health_status,Број,1
2006,Оба пола,unknown,Број,1041
2006,Оба пола,Укупно,Број,33221
2006,Мушкарци,infectious_and_parasitic,Број,147
2006,Мушкарци,neoplasms,Број,3697
2006,Мушкарци,diseases_of_the_blood,Број,9
2006,Мушкарци,endocrine_metabolic_and_nutritional,Број,598
2006,Мушкарци,mental_and_behavioural_disorders,Број,88
2006,Мушкарци,diseases_of_the_nervous,Број,174
2006,Мушкарци,diseases_of_the_circulatory,Број,7941
2006,Мушкарци,diseases_of_the_respiratory,Број,677
2006,Мушкарци,diseases_of_the_digestive,Број,493
2006,Мушкарци,diseases_of_the_skin,Број,6
2006,Мушкарци,diseases_of_the_musculoskeletal,Број,3
2006,Мушкарци,diseases_of_the_genitourinary,Број,293
2006,Мушкарци,certain_conditions_originating,Број,118
2006,Мушкарци,congenital_malformations_deformations,Број,32
2006,Мушкарци,symptoms_signs_and_abnormal,Број,1527
2006,Мушкарци,injuries_poisoning_and_consequences,Број,775
2006,Мушкарци,external_causes_of_mortality,Број,152
2006,Мушкарци,unknown,Број,578
2006,Мушкарци,Укупно,Број,17308
2006,Жене,infectious_and_parasitic,Број,90
2006,Жене,neoplasms,Број,2555
2006,Жене,diseases_of_the_blood,Број,11
2006,Жене,endocrine_metabolic_and_nutritional,Број,939
2006,Жене,mental_and_behavioural_disorders,Број,30
2006,Жене,diseases_of_the_nervous,Број,124
2006,Жене,diseases_of_the_eye,Број,1
2006,Жене,diseases_of_the_circulatory,Број,9026
2006,Жене,diseases_of_the_respiratory,Број,455
2006,Жене,diseases_of_the_digestive,Број,333
2006,Жене,diseases_of_the_skin,Број,5
2006,Жене,diseases_of_the_musculoskeletal,Број,13
2006,Жене,diseases_of_the_genitourinary,Број,254
2006,Жене,pregnancy_childbirth_and_the,Број,3
2006,Жене,certain_conditions_originating,Број,67
2006,Жене,congenital_malformations_deformations,Број,24
2006,Жене,symptoms_signs_and_abnormal,Број,1217
2006,Жене,injuries_poisoning_and_consequences,Број,242
2006,Жене,external_causes_of_mortality,Број,60
2006,Жене,factors_influencing_health_status,Број,1
2006,Жене,unknown,Број,463
2006,Жене,Укупно,Број,15913
2007,Оба пола,infectious_and_parasitic,Број,250
2007,Оба пола,neoplasms,Број,6713
2007,Оба пола,diseases_of_the_blood,Број,54
2007,Оба пола,endocrine_metabolic_and_nutritional,Број,1582
2007,Оба пола,mental_and_behavioural_disorders,Број,162
2007,Оба пола,diseases_of_the_nervous,Број,317
2007,Оба пола,diseases_of_the_eye,Број,1
2007,Оба пола,diseases_of_the_circulatory,Број,18516
2007,Оба пола,diseases_of_the_respiratory,Број,1145
2007,Оба пола,diseases_of_the_digestive,Број,924
2007,Оба пола,diseases_of_the_skin,Број,10
2007,Оба пола,diseases_of_the_musculoskeletal,Број,32
2007,Оба пола,diseases_of_the_genitourinary,Број,558
2007,Оба пола,pregnancy_childbirth_and_the,Број,1
2007,Оба пола,certain_conditions_originating,Број,133
2007,Оба пола,congenital_malformations_deformations,Број,54
2007,Оба пола,symptoms_signs_and_abnormal,Број,2219
2007,Оба пола,injuries_poisoning_and_consequences,Број,1030
2007,Оба пола,external_causes_of_mortality,Број,267
2007,Оба пола,unknown,Број,1076
2007,Оба пола,Укупно,Број,35044
2007,Мушкарци,infectious_and_parasitic,Број,164
2007,Мушкарци,neoplasms,Број,3983
2007,Мушкарци,diseases_of_the_blood,Број,22
2007,Мушкарци,endocrine_metabolic_and_nutritional,Број,609
2007,Мушкарци,mental_and_behavioural_disorders,Број,113
2007,Мушкарци,diseases_of_the_nervous,Број,161
2007,Мушкарци,diseases_of_the_eye,Број,1
2007,Мушкарци,diseases_of_the_circulatory,Број,8697
2007,Мушкарци,diseases_of_the_respiratory,Број,664
2007,Мушкарци,diseases_of_the_digestive,Број,570
2007,Мушкарци,diseases_of_the_skin,Број,4
2007,Мушкарци,diseases_of_the_musculoskeletal,Број,9
2007,Мушкарци,diseases_of_the_genitourinary,Број,320
2007,Мушкарци,certain_conditions_originating,Број,79
2007,Мушкарци,congenital_malformations_deformations,Број,28
2007,Мушкарци,symptoms_signs_and_abnormal,Број,1143
2007,Мушкарци,injuries_poisoning_and_consequences,Број,766
2007,Мушкарци,external_causes_of_mortality,Број,199
2007,Мушкарци,unknown,Број,622
2007,Мушкарци,Укупно,Број,18154
2007,Жене,infectious_and_parasitic,Број,86
2007,Жене,neoplasms,Број,2730
2007,Жене,diseases_of_the_blood,Број,32
2007,Жене,endocrine_metabolic_and_nutritional,Број,973
2007,Жене,mental_and_behavioural_disorders,Број,49
2007,Жене,diseases_of_the_nervous,Број,156
2007,Жене,diseases_of_the_circulatory,Број,9819
2007,Жене,diseases_of_the_respiratory,Број,481
2007,Жене,diseases_of_the_digestive,Број,354
2007,Жене,diseases_of_the_skin,Број,6
2007,Жене,diseases_of_the_musculoskeletal,Број,23
2007,Жене,diseases_of_the_genitourinary,Број,238
2007,Жене,pregnancy_childbirth_and_the,Број,1
2007,Жене,certain_conditions_originating,Број,54
2007,Жене,congenital_malformations_deformations,Број,26
2007,Жене,symptoms_signs_and_abnormal,Број,1076
2007,Жене,injuries_poisoning_and_consequences,Број,264
2007,Жене,external_causes_of_mortality,Број,68
2007,Жене,unknown,Број,454
2007,Жене,Укупно,Број,16890
2008,Оба пола,infectious_and_parasitic,Број,275
2008,Оба пола,neoplasms,Број,6734
2008,Оба пола,diseases_of_the_blood,Број,37
2008,Оба пола,endocrine_metabolic_and_nutritional,Број,1563
2008,Оба пола,mental_and_behavioural_disorders,Број,169
2008,Оба пола,diseases_of_the_nervous,Број,287
2008,Оба пола,diseases_of_the_eye,Број,1
2008,Оба пола,diseases_of_the_circulatory,Број,17988
2008,Оба пола,diseases_of_the_respiratory,Број,1035
2008,Оба пола,diseases_of_the_digestive,Број,846
2008,Оба пола,diseases_of_the_skin,Број,10
2008,Оба пола,diseases_of_the_musculoskeletal,Број,40
2008,Оба пола,diseases_of_the_genitourinary,Број,571
2008,Оба пола,pregnancy_childbirth_and_the,Број,4
2008,Оба пола,certain_conditions_originating,Број,136
2008,Оба пола,congenital_malformations_deformations,Број,61
2008,Оба пола,symptoms_signs_and_abnormal,Број,2028
2008,Оба пола,injuries_poisoning_and_consequences,Број,1200
2008,Оба пола,external_causes_of_mortality,Број,2
2008,Оба пола,unknown,Број,1039
2008,Оба пола,Укупно,Број,34026
2008,Мушкарци,infectious_and_parasitic,Број,170
2008,Мушкарци,neoplasms,Број,4053
2008,Мушкарци,diseases_of_the_blood,Број,16
2008,Мушкарци,endocrine_metabolic_and_nutritional,Број,618
2008,Мушкарци,mental_and_behavioural_disorders,Број,127
2008,Мушкарци,diseases_of_the_nervous,Број,167
2008,Мушкарци,diseases_of_the_circulatory,Број,8385
2008,Мушкарци,diseases_of_the_respiratory,Број,627
2008,Мушкарци,diseases_of_the_digestive,Број,512
2008,Мушкарци,diseases_of_the_skin,Број,3
2008,Мушкарци,diseases_of_the_musculoskeletal,Број,14
2008,Мушкарци,diseases_of_the_genitourinary,Број,306
2008,Мушкарци,certain_conditions_originating,Број,75
2008,Мушкарци,congenital_malformations_deformations,Број,32
2008,Мушкарци,symptoms_signs_and_abnormal,Број,1052
2008,Мушкарци,injuries_poisoning_and_consequences,Број,942
2008,Мушкарци,external_causes_of_mortality,Број,2
2008,Мушкарци,unknown,Број,586
2008,Мушкарци,Укупно,Број,17687
2008,Жене,infectious_and_parasitic,Број,105
2008,Жене,neoplasms,Број,2681
2008,Жене,diseases_of_the_blood,Број,21
2008,Жене,endocrine_metabolic_and_nutritional,Број,945
2008,Жене,mental_and_behavioural_disorders,Број,42
2008,Жене,diseases_of_the_nervous,Број,120
2008,Жене,diseases_of_the_eye,Број,1
2008,Жене,diseases_of_the_circulatory,Број,9603
2008,Жене,diseases_of_the_respiratory,Број,408
2008,Жене,diseases_of_the_digestive,Број,334
2008,Жене,diseases_of_the_skin,Број,7
2008,Жене,diseases_of_the_musculoskeletal,Број,26
2008,Жене,diseases_of_the_genitourinary,Број,265
2008,Жене,pregnancy_childbirth_and_the,Број,4
2008,Жене,certain_conditions_originating,Број,61
2008,Жене,congenital_malformations_deformations,Број,29
2008,Жене,symptoms_signs_and_abnormal,Број,976
2008,Жене,injuries_poisoning_and_consequences,Број,258
2008,Жене,unknown,Број,453
2008,Жене,Укупно,Број,16339
2009,Оба пола,infectious_and_parasitic,Број,287
2009,Оба пола,neoplasms,Број,6970
2009,Оба пола,diseases_of_the_blood,Број,41
2009,Оба пола,endocrine_metabolic_and_nutritional,Број,1999
2009,Оба пола,mental_and_behavioural_disorders,Број,191
2009,Оба пола,diseases_of_the_nervous,Број,319
2009,Оба пола,diseases_of_the_circulatory,Број,18295
2009,Оба пола,diseases_of_the_respiratory,Број,1133
2009,Оба пола,diseases_of_the_digestive,Број,936
2009,Оба пола,diseases_of_the_skin,Број,9
2009,Оба пола,diseases_of_the_musculoskeletal,Број,35
2009,Оба пола,diseases_of_the_genitourinary,Број,588
2009,Оба пола,pregnancy_childbirth_and_the,Број,1
2009,Оба пола,certain_conditions_originating,Број,144
2009,Оба пола,congenital_malformations_deformations,Број,61
2009,Оба пола,symptoms_signs_and_abnormal,Број,1985
2009,Оба пола,injuries_poisoning_and_consequences,Број,1256
2009,Оба пола,external_causes_of_mortality,Број,2
2009,Оба пола,factors_influencing_health_status,Број,2
2009,Оба пола,unknown,Број,650
2009,Оба пола,Укупно,Број,34904
2009,Мушкарци,infectious_and_parasitic,Број,180
2009,Мушкарци,neoplasms,Број,4118
2009,Мушкарци,diseases_of_the_blood,Број,17
2009,Мушкарци,endocrine_metabolic_and_nutritional,Број,766
2009,Мушкарци,mental_and_behavioural_disorders,Број,127
2009,Мушкарци,diseases_of_the_nervous,Број,167
2009,Мушкарци,diseases_of_the_circulatory,Број,8586
2009,Мушкарци,diseases_of_the_respiratory,Број,644
2009,Мушкарци,diseases_of_the_digestive,Број,559
2009,Мушкарци,diseases_of_the_skin,Број,4
2009,Мушкарци,diseases_of_the_musculoskeletal,Број,8
2009,Мушкарци,diseases_of_the_genitourinary,Број,299
2009,Мушкарци,certain_conditions_originating,Број,76
2009,Мушкарци,congenital_malformations_deformations,Број,31
2009,Мушкарци,symptoms_signs_and_abnormal,Број,1012
2009,Мушкарци,injuries_poisoning_and_consequences,Број,941
2009,Мушкарци,external_causes_of_mortality,Број,2
2009,Мушкарци,factors_influencing_health_status,Број,1
2009,Мушкарци,unknown,Број,346
2009,Мушкарци,Укупно,Број,17884
2009,Жене,infectious_and_parasitic,Број,107
2009,Жене,neoplasms,Број,2852
2009,Жене,diseases_of_the_blood,Број,24
2009,Жене,endocrine_metabolic_and_nutritional,Број,1233
2009,Жене,mental_and_behavioural_disorders,Број,64
2009,Жене,diseases_of_the_nervous,Број,152
2009,Жене,diseases_of_the_circulatory,Број,9709
2009,Жене,diseases_of_the_respiratory,Број,489
2009,Жене,diseases_of_the_digestive,Број,377
2009,Жене,diseases_of_the_skin,Број,5
2009,Жене,diseases_of_the_musculoskeletal,Број,27
2009,Жене,diseases_of_the_genitourinary,Број,289
2009,Жене,pregnancy_childbirth_and_the,Број,1
2009,Жене,certain_conditions_originating,Број,68
2009,Жене,congenital_malformations_deformations,Број,30
2009,Жене,symptoms_signs_and_abnormal,Број,973
2009,Жене,injuries_poisoning_and_consequences,Број,315
2009,Жене,factors_influencing_health_status,Број,1
2009,Жене,unknown,Број,304
2009,Жене,Укупно,Број,17020
2010,Оба пола,infectious_and_parasitic,Број,285
2010,Оба пола,neoplasms,Број,6973
2010,Оба пола,diseases_of_the_blood,Број,45
2010,Оба пола,endocrine_metabolic_and_nutritional,Број,1903
2010,Оба пола,mental_and_behavioural_disorders,Број,171
2010,Оба пола,diseases_of_the_nervous,Број,350
2010,Оба пола,diseases_of_the_eye,Број,2
2010,Оба пола,diseases_of_the_circulatory,Број,18805
2010,Оба пола,diseases_of_the_respiratory,Број,1145
2010,Оба пола,diseases_of_the_digestive,Број,918
2010,Оба пола,diseases_of_the_skin,Број,14
2010,Оба пола,diseases_of_the_musculoskeletal,Број,42
2010,Оба пола,diseases_of_the_genitourinary,Број,577
2010,Оба пола,pregnancy_childbirth_and_the,Број,1
2010,Оба пола,certain_conditions_originating,Број,138
2010,Оба пола,congenital_malformations_deformations,Број,63
2010,Оба пола,symptoms_signs_and_abnormal,Број,1916
2010,Оба пола,injuries_poisoning_and_consequences,Број,1117
2010,Оба пола,external_causes_of_mortality,Број,15
2010,Оба пола,unknown,Број,638
2010,Оба пола,Укупно,Број,35118
2010,Мушкарци,infectious_and_parasitic,Број,183
2010,Мушкарци,neoplasms,Број,4059
2010,Мушкарци,diseases_of_the_blood,Број,17
