Year,Пол,Ентитет,UNIT_MEASURE,Value
2003,Жене,Федерација БиХ,Број,7.216959856
2004,Жене,Федерација БиХ,Број,7.703731205
2005,Жене,Федерација БиХ,Број,7.607776839
2006,Жене,Федерација БиХ,Број,7.503607504
2007,Жене,Федерација БиХ,Број,7.580118979
2008,Жене,Федерација БиХ,Број,7.506702413
2009,Жене,Федерација БиХ,Број,7.791972456
2010,Жене,Федерација БиХ,Број,6.191664356
2011,Жене,Федерација БиХ,Број,5.482670844
2012,Жене,Федерација БиХ,Број,5.233572398
2013,Жене,Федерација БиХ,Број,6.151322534
2014,Жене,Федерација БиХ,Број,6.601340897
2015,Жене,Федерација БиХ,Број,7.388642601
2016,Жене,Федерација БиХ,Број,6.355258977
2017,Жене,Федерација БиХ,Број,7.831262399
2018,Жене,Федерација БиХ,Број,8.408867533
2019,Жене,Федерација БиХ,Број,8.98928201
1996,Оба пола,Република Српска,Број,14.59675446
1997,Оба пола,Република Српска,Број,11.33968162
1998,Оба пола,Република Српска,Број,8.279736823
1999,Оба пола,Република Српска,Број,8.206896552
2000,Оба пола,Република Српска,Број,7.258121345
2001,Оба пола,Република Српска,Број,5.328856121
2002,Оба пола,Република Српска,Број,7.214656291
2003,Оба пола,Република Српска,Број,6.073835057
2004,Оба пола,Република Српска,Број,5.73955589
2005,Оба пола,Република Српска,Број,3.584576632
2006,Оба пола,Република Српска,Број,4.75104523
2007,Оба пола,Република Српска,Број,3.758654797
2008,Оба пола,Република Српска,Број,3.922337713
2009,Оба пола,Република Српска,Број,4.809959445
2010,Оба пола,Република Српска,Број,4.336257022
2011,Оба пола,Република Српска,Број,4.497437507
2012,Оба пола,Република Српска,Број,3.708157947
2013,Оба пола,Република Српска,Број,3.470031546
2014,Оба пола,Република Српска,Број,3.106588109
2015,Оба пола,Република Српска,Број,2.778668377
2016,Оба пола,Република Српска,Број,2.43334744
2017,Оба пола,Република Српска,Број,2.784023985
2018,Оба пола,Република Српска,Број,1.776755853
2019,Оба пола,Република Српска,Број,1.617425059
1996,Мушкарци,Република Српска,Број,15.54648241
1997,Мушкарци,Република Српска,Број,12.95986622
1998,Мушкарци,Република Српска,Број,9.461940404
1999,Мушкарци,Република Српска,Број,9.196645929
2000,Мушкарци,Република Српска,Број,7.787949173
2001,Мушкарци,Република Српска,Број,5.813129165
2002,Мушкарци,Република Српска,Број,8.326787117
2003,Мушкарци,Република Српска,Број,5.871559633
2004,Мушкарци,Република Српска,Број,7.796917498
2005,Мушкарци,Република Српска,Број,3.772161449
2006,Мушкарци,Република Српска,Број,5.793309662
2007,Мушкарци,Република Српска,Број,3.459542572
2008,Мушкарци,Република Српска,Број,3.800836184
2009,Мушкарци,Република Српска,Број,5.199928277
2010,Мушкарци,Република Српска,Број,3.858024691
2011,Мушкарци,Република Српска,Број,5.191693291
2012,Мушкарци,Република Српска,Број,4.912556494
2013,Мушкарци,Република Српска,Број,4.279600571
2014,Мушкарци,Република Српска,Број,2.269913331
2015,Мушкарци,Република Српска,Број,1.858736059
2016,Мушкарци,Република Српска,Број,3.447576556
2017,Мушкарци,Република Српска,Број,2.660663119
2018,Мушкарци,Република Српска,Број,1.399720056
2019,Мушкарци,Република Српска,Број,1.426533524
1996,Жене,Република Српска,Број,13.57082273
1997,Жене,Република Српска,Број,9.57301322
1998,Жене,Република Српска,Број,6.981073534
1999,Жене,Република Српска,Број,7.177033493
2000,Жене,Република Српска,Број,6.693830035
2001,Жене,Република Српска,Број,4.814926271
2002,Жене,Република Српска,Број,6.029140847
2003,Жене,Република Српска,Број,6.290544525
2004,Жене,Република Српска,Број,3.520438099
2005,Жене,Република Српска,Број,3.386454183
2006,Жене,Република Српска,Број,3.672917069
2007,Жене,Република Српска,Број,4.075810067
2008,Жене,Република Српска,Број,4.051863857
2009,Жене,Република Српска,Број,4.377238361
2010,Жене,Република Српска,Број,4.835784808
2011,Жене,Република Српска,Број,3.733801889
2012,Жене,Република Српска,Број,2.454489671
2013,Жене,Република Српска,Број,2.606995438
2014,Жене,Република Српска,Број,4.009801738
2015,Жене,Република Српска,Број,3.765227021
2016,Жене,Република Српска,Број,1.327140013
2017,Жене,Република Српска,Број,2.919380193
2018,Жене,Република Српска,Број,2.189621196
2019,Жене,Република Српска,Број,1.831921227
1996,Оба пола,Република Српска,Број,179.0
1997,Оба пола,Република Српска,Број,156.0
1998,Оба пола,Република Српска,Број,112.0
1999,Оба пола,Република Српска,Број,119.0
2000,Оба пола,Република Српска,Број,103.0
2001,Оба пола,Република Српска,Број,73.0
2002,Оба пола,Република Српска,Број,89.0
2003,Оба пола,Република Српска,Број,64.0
2004,Оба пола,Република Српска,Број,61.0
2005,Оба пола,Република Српска,Број,37.0
2006,Оба пола,Република Српска,Број,50.0
2007,Оба пола,Република Српска,Број,38.0
2008,Оба пола,Република Српска,Број,40.0
2009,Оба пола,Република Српска,Број,51.0
2010,Оба пола,Република Српска,Број,44.0
2011,Оба пола,Република Српска,Број,43.0
2012,Оба пола,Република Српска,Број,37.0
2013,Оба пола,Република Српска,Број,33.0
2014,Оба пола,Република Српска,Број,29.0
2015,Оба пола,Република Српска,Број,26.0
2016,Оба пола,Република Српска,Број,23.0
2017,Оба пола,Република Српска,Број,26.0
2018,Оба пола,Република Српска,Број,17.0
2019,Оба пола,Република Српска,Број,15.0
1996,Мушкарци,Република Српска,Број,99.0
1997,Мушкарци,Република Српска,Број,93.0
1998,Мушкарци,Република Српска,Број,67.0
1999,Мушкарци,Република Српска,Број,68.0
2000,Мушкарци,Република Српска,Број,57.0
2001,Мушкарци,Република Српска,Број,41.0
2002,Мушкарци,Република Српска,Број,53.0
2003,Мушкарци,Република Српска,Број,32.0
2004,Мушкарци,Република Српска,Број,43.0
2005,Мушкарци,Република Српска,Број,20.0
2006,Мушкарци,Република Српска,Број,31.0
2007,Мушкарци,Република Српска,Број,18.0
2008,Мушкарци,Република Српска,Број,20.0
2009,Мушкарци,Република Српска,Број,29.0
2010,Мушкарци,Република Српска,Број,20.0
2011,Мушкарци,Република Српска,Број,26.0
2012,Мушкарци,Република Српска,Број,25.0
2013,Мушкарци,Република Српска,Број,21.0
2014,Мушкарци,Република Српска,Број,11.0
2015,Мушкарци,Република Српска,Број,9.0
2016,Мушкарци,Република Српска,Број,17.0
2017,Мушкарци,Република Српска,Број,13.0
2018,Мушкарци,Република Српска,Број,7.0
2019,Мушкарци,Република Српска,Број,7.0
1996,Жене,Република Српска,Број,80.0
1997,Жене,Република Српска,Број,63.0
1998,Жене,Република Српска,Број,45.0
1999,Жене,Република Српска,Број,51.0
2000,Жене,Република Српска,Број,46.0
2001,Жене,Република Српска,Број,32.0
2002,Жене,Република Српска,Број,36.0
2003,Жене,Република Српска,Број,32.0
2004,Жене,Република Српска,Број,18.0
2005,Жене,Република Српска,Број,17.0
2006,Жене,Република Српска,Број,19.0
2007,Жене,Република Српска,Број,20.0
2008,Жене,Република Српска,Број,20.0
2009,Жене,Република Српска,Број,22.0
2010,Жене,Република Српска,Број,24.0
2011,Жене,Република Српска,Број,17.0
2012,Жене,Република Српска,Број,12.0
2013,Жене,Република Српска,Број,12.0
2014,Жене,Република Српска,Број,18.0
2015,Жене,Република Српска,Број,17.0
2016,Жене,Република Српска,Број,6.0
2017,Жене,Република Српска,Број,13.0
2018,Жене,Република Српска,Број,10.0
2019,Жене,Република Српска,Број,8.0
