Year,Ентитет,Године,UNIT_MEASURE,Year.1,Value
2003,Брчко Дистрикт БиХ,13 - 14,Број,2003,0
2003,Брчко Дистрикт БиХ,15 - 19,Број,2003,0
2003,BiH,13 - 14,Број,2003,9
2003,BiH,15 - 19,Број,2003,2145
2004,Федерација БиХ,13 - 14,Број,2004,7
2004,Федерација БиХ,15 - 19,Број,2004,1396
2004,Република Српска,13 - 14,Број,2004,4
2004,Република Српска,15 - 19,Број,2004,697
2004,Брчко Дистрикт БиХ,13 - 14,Број,2004,1
2004,Брчко Дистрикт БиХ,15 - 19,Број,2004,43
2004,BiH,13 - 14,Број,2004,12
2004,BiH,15 - 19,Број,2004,2136
2005,Федерација БиХ,13 - 14,Број,2005,2
2005,Федерација БиХ,15 - 19,Број,2005,1296
2005,Република Српска,13 - 14,Број,2005,3
2005,Република Српска,15 - 19,Број,2005,659
2005,Брчко Дистрикт БиХ,13 - 14,Број,2005,1
2005,Брчко Дистрикт БиХ,15 - 19,Број,2005,52
2005,BiH,13 - 14,Број,2005,6
2005,BiH,15 - 19,Број,2005,2007
2006,Федерација БиХ,13 - 14,Број,2006,4
2006,Федерација БиХ,15 - 19,Број,2006,1399
2006,Република Српска,13 - 14,Број,2006,3
2006,Република Српска,15 - 19,Број,2006,586
2006,Брчко Дистрикт БиХ,13 - 14,Број,2006,1
2006,Брчко Дистрикт БиХ,15 - 19,Број,2006,57
2006,BiH,13 - 14,Број,2006,8
2006,BiH,15 - 19,Број,2006,2042
2007,Федерација БиХ,13 - 14,Број,2007,2
2007,Федерација БиХ,15 - 19,Број,2007,1357
2007,Република Српска,13 - 14,Број,2007,3
2007,Република Српска,15 - 19,Број,2007,557
2007,Брчко Дистрикт БиХ,13 - 14,Број,2007,2
2007,Брчко Дистрикт БиХ,15 - 19,Број,2007,57
2007,BiH,13 - 14,Број,2007,7
2007,BiH,15 - 19,Број,2007,1971
2008,Федерација БиХ,13 - 14,Број,2008,2
2008,Федерација БиХ,15 - 19,Број,2008,1507
2008,Република Српска,13 - 14,Број,2008,4
2008,Република Српска,15 - 19,Број,2008,536
2008,Брчко Дистрикт БиХ,13 - 14,Број,2008,7
2008,Брчко Дистрикт БиХ,15 - 19,Број,2008,53
2008,BiH,13 - 14,Број,2008,13
2008,BiH,15 - 19,Број,2008,2096
2009,Федерација БиХ,13 - 14,Број,2009,4
2009,Федерација БиХ,15 - 19,Број,2009,1411
2009,Република Српска,13 - 14,Број,2009,3
2009,Република Српска,15 - 19,Број,2009,499
2009,Брчко Дистрикт БиХ,13 - 14,Број,2009,5
2009,Брчко Дистрикт БиХ,15 - 19,Број,2009,58
2009,BiH,13 - 14,Број,2009,12
2009,BiH,15 - 19,Број,2009,1968
2010,Федерација БиХ,13 - 14,Број,2010,5
2010,Федерација БиХ,15 - 19,Број,2010,1285
2010,Република Српска,13 - 14,Број,2010,0
2010,Република Српска,15 - 19,Број,2010,436
2010,Брчко Дистрикт БиХ,13 - 14,Број,2010,3
2010,Брчко Дистрикт БиХ,15 - 19,Број,2010,64
2010,BiH,13 - 14,Број,2010,8
2010,BiH,15 - 19,Број,2010,1785
2011,Федерација БиХ,13 - 14,Број,2011,5
2011,Федерација БиХ,15 - 19,Број,2011,1136
2011,Република Српска,13 - 14,Број,2011,0
2011,Република Српска,15 - 19,Број,2011,407
2011,Брчко Дистрикт БиХ,13 - 14,Број,2011,4
2011,Брчко Дистрикт БиХ,15 - 19,Број,2011,71
2011,BiH,13 - 14,Број,2011,9
2011,BiH,15 - 19,Број,2011,1614
2012,Федерација БиХ,13 - 14,Број,2012,2
2012,Федерација БиХ,15 - 19,Број,2012,1040
2012,Република Српска,13 - 14,Број,2012,1
2012,Република Српска,15 - 19,Број,2012,452
2012,Брчко Дистрикт БиХ,13 - 14,Број,2012,2
2012,Брчко Дистрикт БиХ,15 - 19,Број,2012,54
2012,BiH,13 - 14,Број,2012,5
2012,BiH,15 - 19,Број,2012,1546
2013,Федерација БиХ,13 - 14,Број,2013,4
2013,Федерација БиХ,15 - 19,Број,2013,950
2013,Република Српска,13 - 14,Број,2013,0
2013,Република Српска,15 - 19,Број,2013,376
2013,Брчко Дистрикт БиХ,13 - 14,Број,2013,1
2013,Брчко Дистрикт БиХ,15 - 19,Број,2013,56
2013,BiH,13 - 14,Број,2013,5
2013,BiH,15 - 19,Број,2013,1382
2014,Федерација БиХ,13 - 14,Број,2014,3
2014,Федерација БиХ,15 - 19,Број,2014,932
2014,Република Српска,13 - 14,Број,2014,0
2014,Република Српска,15 - 19,Број,2014,362
2014,Брчко Дистрикт БиХ,13 - 14,Број,2014,1
2014,Брчко Дистрикт БиХ,15 - 19,Број,2014,48
2014,BiH,13 - 14,Број,2014,4
2014,BiH,15 - 19,Број,2014,1342
2015,Федерација БиХ,13 - 14,Број,2015,3
2015,Федерација БиХ,15 - 19,Број,2015,948
2015,Република Српска,13 - 14,Број,2015,1
2015,Република Српска,15 - 19,Број,2015,311
2015,Брчко Дистрикт БиХ,13 - 14,Број,2015,1
2015,Брчко Дистрикт БиХ,15 - 19,Број,2015,55
2015,BiH,13 - 14,Број,2015,5
2015,BiH,15 - 19,Број,2015,1314
2016,Федерација БиХ,13 - 14,Број,2016,3
2016,Федерација БиХ,15 - 19,Број,2016,906
2016,Република Српска,13 - 14,Број,2016,1
2016,Република Српска,15 - 19,Број,2016,337
2016,Брчко Дистрикт БиХ,13 - 14,Број,2016,0
2016,Брчко Дистрикт БиХ,15 - 19,Број,2016,45
2016,BiH,13 - 14,Број,2016,4
2016,BiH,15 - 19,Број,2016,1288
2017,Федерација БиХ,13 - 14,Број,2017,6
2017,Федерација БиХ,15 - 19,Број,2017,734
2017,Република Српска,13 - 14,Број,2017,0
2017,Република Српска,15 - 19,Број,2017,280
2017,Брчко Дистрикт БиХ,13 - 14,Број,2017,4
2017,Брчко Дистрикт БиХ,15 - 19,Број,2017,50
2017,BiH,13 - 14,Број,2017,10
2017,BiH,15 - 19,Број,2017,1064
2018,Федерација БиХ,13 - 14,Број,2018,4
2018,Федерација БиХ,15 - 19,Број,2018,643
2018,Република Српска,13 - 14,Број,2018,1
2018,Република Српска,15 - 19,Број,2018,219
2018,Брчко Дистрикт БиХ,13 - 14,Број,2018,0
2018,Брчко Дистрикт БиХ,15 - 19,Број,2018,35
2018,BiH,13 - 14,Број,2018,5
2018,BiH,15 - 19,Број,2018,897
2019,Федерација БиХ,13 - 14,Број,2019,1
2019,Федерација БиХ,15 - 19,Број,2019,580
2019,Република Српска,13 - 14,Број,2019,1
2019,Република Српска,15 - 19,Број,2019,223
2019,Брчко Дистрикт БиХ,13 - 14,Број,2019,2
2019,Брчко Дистрикт БиХ,15 - 19,Број,2019,42
2019,BiH,13 - 14,Број,2019,4
2019,BiH,15 - 19,Број,2019,845
Година,Ентитет,Године,Мјерна јединица,Година,Вриједност
1997,Федерација БиХ,13 - 14,Број,1997,11
1997,Федерација БиХ,15 - 19,Број,1997,3128
1997,Република Српска,13 - 14,Број,1997,0
1997,Република Српска,15 - 19,Број,1997,0
1997,Брчко Дистрикт БиХ,13 - 14,Број,1997,0
1997,Брчко Дистрикт БиХ,15 - 19,Број,1997,0
1997,BiH,13 - 14,Број,1997,11
1997,BiH,15 - 19,Број,1997,3128
1998,Федерација БиХ,13 - 14,Број,1998,2
1998,Федерација БиХ,15 - 19,Број,1998,2395
1998,Република Српска,13 - 14,Број,1998,0
1998,Република Српска,15 - 19,Број,1998,796
1998,Брчко Дистрикт БиХ,13 - 14,Број,1998,0
1998,Брчко Дистрикт БиХ,15 - 19,Број,1998,0
1998,BiH,13 - 14,Број,1998,2
1998,BiH,15 - 19,Број,1998,3191
1999,Федерација БиХ,13 - 14,Број,1999,0
1999,Федерација БиХ,15 - 19,Број,1999,2073
1999,Република Српска,13 - 14,Број,1999,1
1999,Република Српска,15 - 19,Број,1999,907
1999,Брчко Дистрикт БиХ,13 - 14,Број,1999,0
1999,Брчко Дистрикт БиХ,15 - 19,Број,1999,0
1999,BiH,13 - 14,Број,1999,1
1999,BiH,15 - 19,Број,1999,2980
2000,Федерација БиХ,13 - 14,Број,2000,3
2000,Федерација БиХ,15 - 19,Број,2000,1806
2000,Република Српска,13 - 14,Број,2000,1
2000,Република Српска,15 - 19,Број,2000,722
2000,Брчко Дистрикт БиХ,13 - 14,Број,2000,0
2000,Брчко Дистрикт БиХ,15 - 19,Број,2000,0
2000,BiH,13 - 14,Број,2000,4
2000,BiH,15 - 19,Број,2000,2528
2001,Федерација БиХ,13 - 14,Број,2001,13
2001,Федерација БиХ,15 - 19,Број,2001,1679
2001,Република Српска,13 - 14,Број,2001,2
2001,Република Српска,15 - 19,Број,2001,938
2001,Брчко Дистрикт БиХ,13 - 14,Број,2001,0
2001,Брчко Дистрикт БиХ,15 - 19,Број,2001,0
2001,BiH,13 - 14,Број,2001,15
2001,BiH,15 - 19,Број,2001,2617
2002,Федерација БиХ,13 - 14,Број,2002,10
2002,Федерација БиХ,15 - 19,Број,2002,1561
2002,Република Српска,13 - 14,Број,2002,4
2002,Република Српска,15 - 19,Број,2002,787
2002,Брчко Дистрикт БиХ,13 - 14,Број,2002,0
2002,Брчко Дистрикт БиХ,15 - 19,Број,2002,0
2002,BiH,13 - 14,Број,2002,14
2002,BiH,15 - 19,Број,2002,2348
2003,Федерација БиХ,13 - 14,Број,2003,9
2003,Федерација БиХ,15 - 19,Број,2003,1457
2003,Република Српска,13 - 14,Број,2003,0
2003,Република Српска,15 - 19,Број,2003,688
2003,Брчко Дистрикт БиХ,13 - 14,Број,2003,0
2003,Брчко Дистрикт БиХ,15 - 19,Број,2003,0
2003,BiH,13 - 14,Број,2003,9
2003,BiH,15 - 19,Број,2003,2145
2004,Федерација БиХ,13 - 14,Број,2004,7
2004,Федерација БиХ,15 - 19,Број,2004,1396
2004,Република Српска,13 - 14,Број,2004,4
2004,Република Српска,15 - 19,Број,2004,697
2004,Брчко Дистрикт БиХ,13 - 14,Број,2004,1
2004,Брчко Дистрикт БиХ,15 - 19,Број,2004,43
2004,BiH,13 - 14,Број,2004,12
2004,BiH,15 - 19,Број,2004,2136
2005,Федерација БиХ,13 - 14,Број,2005,2
2005,Федерација БиХ,15 - 19,Број,2005,1296
2005,Република Српска,13 - 14,Број,2005,3
2005,Република Српска,15 - 19,Број,2005,659
2005,Брчко Дистрикт БиХ,13 - 14,Број,2005,1
2005,Брчко Дистрикт БиХ,15 - 19,Број,2005,52
2005,BiH,13 - 14,Број,2005,6
2005,BiH,15 - 19,Број,2005,2007
2006,Федерација БиХ,13 - 14,Број,2006,4
2006,Федерација БиХ,15 - 19,Број,2006,1399
2006,Република Српска,13 - 14,Број,2006,3
2006,Република Српска,15 - 19,Број,2006,586
2006,Брчко Дистрикт БиХ,13 - 14,Број,2006,1
2006,Брчко Дистрикт БиХ,15 - 19,Број,2006,57
2006,BiH,13 - 14,Број,2006,8
2006,BiH,15 - 19,Број,2006,2042
2007,Федерација БиХ,13 - 14,Број,2007,2
2007,Федерација БиХ,15 - 19,Број,2007,1357
2007,Република Српска,13 - 14,Број,2007,3
2007,Република Српска,15 - 19,Број,2007,557
2007,Брчко Дистрикт БиХ,13 - 14,Број,2007,2
2007,Брчко Дистрикт БиХ,15 - 19,Број,2007,57
2007,BiH,13 - 14,Број,2007,7
2007,BiH,15 - 19,Број,2007,1971
2008,Федерација БиХ,13 - 14,Број,2008,2
2008,Федерација БиХ,15 - 19,Број,2008,1507
2008,Република Српска,13 - 14,Број,2008,4
2008,Република Српска,15 - 19,Број,2008,536
2008,Брчко Дистрикт БиХ,13 - 14,Број,2008,7
2008,Брчко Дистрикт БиХ,15 - 19,Број,2008,53
2008,BiH,13 - 14,Број,2008,13
2008,BiH,15 - 19,Број,2008,2096
2009,Федерација БиХ,13 - 14,Број,2009,4
2009,Федерација БиХ,15 - 19,Број,2009,1411
2009,Република Српска,13 - 14,Број,2009,3
2009,Република Српска,15 - 19,Број,2009,499
2009,Брчко Дистрикт БиХ,13 - 14,Број,2009,5
2009,Брчко Дистрикт БиХ,15 - 19,Број,2009,58
2009,BiH,13 - 14,Број,2009,12
2009,BiH,15 - 19,Број,2009,1968
2010,Федерација БиХ,13 - 14,Број,2010,5
2010,Федерација БиХ,15 - 19,Број,2010,1285
2010,Република Српска,13 - 14,Број,2010,0
2010,Република Српска,15 - 19,Број,2010,436
2010,Брчко Дистрикт БиХ,13 - 14,Број,2010,3
2010,Брчко Дистрикт БиХ,15 - 19,Број,2010,64
2010,BiH,13 - 14,Број,2010,8
2010,BiH,15 - 19,Број,2010,1785
2011,Федерација БиХ,13 - 14,Број,2011,5
2011,Федерација БиХ,15 - 19,Број,2011,1136
2011,Република Српска,13 - 14,Број,2011,0
2011,Република Српска,15 - 19,Број,2011,407
2011,Брчко Дистрикт БиХ,13 - 14,Број,2011,4
2011,Брчко Дистрикт БиХ,15 - 19,Број,2011,71
2011,BiH,13 - 14,Број,2011,9
2011,BiH,15 - 19,Број,2011,1614
2012,Федерација БиХ,13 - 14,Број,2012,2
2012,Федерација БиХ,15 - 19,Број,2012,1040
2012,Република Српска,13 - 14,Број,2012,1
2012,Република Српска,15 - 19,Број,2012,452
2012,Брчко Дистрикт БиХ,13 - 14,Број,2012,2
2012,Брчко Дистрикт БиХ,15 - 19,Број,2012,54
2012,BiH,13 - 14,Број,2012,5
2012,BiH,15 - 19,Број,2012,1546
2013,Федерација БиХ,13 - 14,Број,2013,4
2013,Федерација БиХ,15 - 19,Број,2013,950
2013,Република Српска,13 - 14,Број,2013,0
2013,Република Српска,15 - 19,Број,2013,376
2013,Брчко Дистрикт БиХ,13 - 14,Број,2013,1
2013,Брчко Дистрикт БиХ,15 - 19,Број,2013,56
2013,BiH,13 - 14,Број,2013,5
2013,BiH,15 - 19,Број,2013,1382
2014,Федерација БиХ,13 - 14,Број,2014,3
2014,Федерација БиХ,15 - 19,Број,2014,932
2014,Република Српска,13 - 14,Број,2014,0
2014,Република Српска,15 - 19,Број,2014,362
2014,Брчко Дистрикт БиХ,13 - 14,Број,2014,1
2014,Брчко Дистрикт БиХ,15 - 19,Број,2014,48
2014,BiH,13 - 14,Број,2014,4
2014,BiH,15 - 19,Број,2014,1342
2015,Федерација БиХ,13 - 14,Број,2015,3
2015,Федерација БиХ,15 - 19,Број,2015,948
2015,Република Српска,13 - 14,Број,2015,1
2015,Република Српска,15 - 19,Број,2015,311
2015,Брчко Дистрикт БиХ,13 - 14,Број,2015,1
2015,Брчко Дистрикт БиХ,15 - 19,Број,2015,55
2015,BiH,13 - 14,Број,2015,5
2015,BiH,15 - 19,Број,2015,1314
2016,Федерација БиХ,13 - 14,Број,2016,3
2016,Федерација БиХ,15 - 19,Број,2016,906
2016,Република Српска,13 - 14,Број,2016,1
2016,Република Српска,15 - 19,Број,2016,337
2016,Брчко Дистрикт БиХ,13 - 14,Број,2016,0
2016,Брчко Дистрикт БиХ,15 - 19,Број,2016,45
2016,BiH,13 - 14,Број,2016,4
2016,BiH,15 - 19,Број,2016,1288
2017,Федерација БиХ,13 - 14,Број,2017,6
2017,Федерација БиХ,15 - 19,Број,2017,734
2017,Република Српска,13 - 14,Број,2017,0
2017,Република Српска,15 - 19,Број,2017,280
2017,Брчко Дистрикт БиХ,13 - 14,Број,2017,4
2017,Брчко Дистрикт БиХ,15 - 19,Број,2017,50
2017,BiH,13 - 14,Број,2017,10
2017,BiH,15 - 19,Број,2017,1064
2018,Федерација БиХ,13 - 14,Број,2018,4
2018,Федерација БиХ,15 - 19,Број,2018,643
2018,Република Српска,13 - 14,Број,2018,1
2018,Република Српска,15 - 19,Број,2018,219
2018,Брчко Дистрикт БиХ,13 - 14,Број,2018,0
2018,Брчко Дистрикт БиХ,15 - 19,Број,2018,35
2018,BiH,13 - 14,Број,2018,5
2018,BiH,15 - 19,Број,2018,897
2019,Федерација БиХ,13 - 14,Број,2019,1
2019,Федерација БиХ,15 - 19,Број,2019,580
2019,Република Српска,13 - 14,Број,2019,1
2019,Република Српска,15 - 19,Број,2019,223
2019,Брчко Дистрикт БиХ,13 - 14,Број,2019,2
2019,Брчко Дистрикт БиХ,15 - 19,Број,2019,42
2019,BiH,13 - 14,Број,2019,4
2019,BiH,15 - 19,Број,2019,845
Година,Ентитет,Године,Мјерна јединица,Година,Вриједност
1997,Федерација БиХ,13 - 14,Број,1997,11
1997,Федерација БиХ,15 - 19,Број,1997,3128
1997,Република Српска,13 - 14,Број,1997,0
1997,Република Српска,15 - 19,Број,1997,0
1997,Брчко Дистрикт БиХ,13 - 14,Број,1997,0
1997,Брчко Дистрикт БиХ,15 - 19,Број,1997,0
1997,BiH,13 - 14,Број,1997,11
1997,BiH,15 - 19,Број,1997,3128
1998,Федерација БиХ,13 - 14,Број,1998,2
1998,Федерација БиХ,15 - 19,Број,1998,2395
1998,Република Српска,13 - 14,Број,1998,0
1998,Република Српска,15 - 19,Број,1998,796
1998,Брчко Дистрикт БиХ,13 - 14,Број,1998,0
1998,Брчко Дистрикт БиХ,15 - 19,Број,1998,0
1998,BiH,13 - 14,Број,1998,2
1998,BiH,15 - 19,Број,1998,3191
1999,Федерација БиХ,13 - 14,Број,1999,0
1999,Федерација БиХ,15 - 19,Број,1999,2073
1999,Република Српска,13 - 14,Број,1999,1
1999,Република Српска,15 - 19,Број,1999,907
1999,Брчко Дистрикт БиХ,13 - 14,Број,1999,0
1999,Брчко Дистрикт БиХ,15 - 19,Број,1999,0
1999,BiH,13 - 14,Број,1999,1
1999,BiH,15 - 19,Број,1999,2980
2000,Федерација БиХ,13 - 14,Број,2000,3
2000,Федерација БиХ,15 - 19,Број,2000,1806
2000,Република Српска,13 - 14,Број,2000,1
2000,Република Српска,15 - 19,Број,2000,722
2000,Брчко Дистрикт БиХ,13 - 14,Број,2000,0
2000,Брчко Дистрикт БиХ,15 - 19,Број,2000,0
2000,BiH,13 - 14,Број,2000,4
2000,BiH,15 - 19,Број,2000,2528
2001,Федерација БиХ,13 - 14,Број,2001,13
2001,Федерација БиХ,15 - 19,Број,2001,1679
2001,Република Српска,13 - 14,Број,2001,2
2001,Република Српска,15 - 19,Број,2001,938
2001,Брчко Дистрикт БиХ,13 - 14,Број,2001,0
2001,Брчко Дистрикт БиХ,15 - 19,Број,2001,0
2001,BiH,13 - 14,Број,2001,15
2001,BiH,15 - 19,Број,2001,2617
2002,Федерација БиХ,13 - 14,Број,2002,10
2002,Федерација БиХ,15 - 19,Број,2002,1561
2002,Република Српска,13 - 14,Број,2002,4
2002,Република Српска,15 - 19,Број,2002,787
2002,Брчко Дистрикт БиХ,13 - 14,Број,2002,0
