Year,Године,MARRIAGE_BIRTH,UNIT_MEASURE,Ентитет,Value
2005,28 - 19,out_of_marriage_birth,,BiH,3.0
2005,29 - 19,out_of_marriage_birth,,BiH,250.0
2005,30 - 19,unknown_marital_status_birth,,BiH,3.0
2005,31 - 19,unknown_marital_status_birth,,BiH,1348.0
2005,32 - 19,Укупно,,BiH,6.0
2005,33 - 19,Укупно,,BiH,2007.0
2006,30 - 19,unknown_marital_status_birth,,Федерација БиХ,4.0
2006,31 - 19,unknown_marital_status_birth,,Федерација БиХ,1399.0
2006,32 - 19,Укупно,,Федерација БиХ,4.0
2006,33 - 19,Укупно,,Федерација БиХ,1399.0
2006,27 - 19,in_marriage_birth,,Република Српска,356.0
2006,28 - 19,out_of_marriage_birth,,Република Српска,3.0
2006,29 - 19,out_of_marriage_birth,,Република Српска,230.0
2006,32 - 19,Укупно,,Република Српска,3.0
2006,33 - 19,Укупно,,Република Српска,586.0
2006,30 - 19,unknown_marital_status_birth,,Брчко Дистрикт БиХ,1.0
2006,31 - 19,unknown_marital_status_birth,,Брчко Дистрикт БиХ,57.0
2006,32 - 19,Укупно,,Брчко Дистрикт БиХ,1.0
2006,33 - 19,Укупно,,Брчко Дистрикт БиХ,57.0
2006,27 - 19,in_marriage_birth,,BiH,356.0
2006,28 - 19,out_of_marriage_birth,,BiH,3.0
2006,29 - 19,out_of_marriage_birth,,BiH,230.0
2006,30 - 19,unknown_marital_status_birth,,BiH,5.0
2006,31 - 19,unknown_marital_status_birth,,BiH,1456.0
2006,32 - 19,Укупно,,BiH,8.0
2006,33 - 19,Укупно,,BiH,2042.0
2007,30 - 19,unknown_marital_status_birth,,Федерација БиХ,2.0
2007,31 - 19,unknown_marital_status_birth,,Федерација БиХ,1357.0
2007,32 - 19,Укупно,,Федерација БиХ,2.0
2007,33 - 19,Укупно,,Федерација БиХ,1357.0
2007,27 - 19,in_marriage_birth,,Република Српска,362.0
2007,28 - 19,out_of_marriage_birth,,Република Српска,3.0
2007,29 - 19,out_of_marriage_birth,,Република Српска,195.0
2007,32 - 19,Укупно,,Република Српска,3.0
2007,33 - 19,Укупно,,Република Српска,557.0
2007,30 - 19,unknown_marital_status_birth,,Брчко Дистрикт БиХ,2.0
2007,31 - 19,unknown_marital_status_birth,,Брчко Дистрикт БиХ,57.0
2007,32 - 19,Укупно,,Брчко Дистрикт БиХ,2.0
2007,33 - 19,Укупно,,Брчко Дистрикт БиХ,57.0
2007,27 - 19,in_marriage_birth,,BiH,362.0
2007,28 - 19,out_of_marriage_birth,,BiH,3.0
2007,29 - 19,out_of_marriage_birth,,BiH,195.0
2007,30 - 19,unknown_marital_status_birth,,BiH,4.0
2007,31 - 19,unknown_marital_status_birth,,BiH,1414.0
2007,32 - 19,Укупно,,BiH,7.0
2007,33 - 19,Укупно,,BiH,1971.0
2008,30 - 19,unknown_marital_status_birth,,Федерација БиХ,2.0
2008,31 - 19,unknown_marital_status_birth,,Федерација БиХ,1507.0
2008,32 - 19,Укупно,,Федерација БиХ,2.0
2008,33 - 19,Укупно,,Федерација БиХ,1507.0
2008,27 - 19,in_marriage_birth,,Република Српска,327.0
2008,28 - 19,out_of_marriage_birth,,Република Српска,4.0
2008,29 - 19,out_of_marriage_birth,,Република Српска,209.0
2008,32 - 19,Укупно,,Република Српска,4.0
2008,33 - 19,Укупно,,Република Српска,536.0
2008,32 - 19,Укупно,,Брчко Дистрикт БиХ,7.0
2008,33 - 19,Укупно,,Брчко Дистрикт БиХ,53.0
2008,26 - 19,in_marriage_birth,,BiH,6.0
2008,27 - 19,in_marriage_birth,,BiH,361.0
2008,28 - 19,out_of_marriage_birth,,BiH,5.0
2008,29 - 19,out_of_marriage_birth,,BiH,228.0
2008,30 - 19,unknown_marital_status_birth,,BiH,2.0
2008,31 - 19,unknown_marital_status_birth,,BiH,1507.0
2008,32 - 19,Укупно,,BiH,13.0
2008,33 - 19,Укупно,,BiH,2096.0
2009,30 - 19,unknown_marital_status_birth,,Федерација БиХ,4.0
2009,31 - 19,unknown_marital_status_birth,,Федерација БиХ,1411.0
2009,32 - 19,Укупно,,Федерација БиХ,4.0
2009,33 - 19,Укупно,,Федерација БиХ,1411.0
2009,27 - 19,in_marriage_birth,,Република Српска,296.0
2009,28 - 19,out_of_marriage_birth,,Република Српска,3.0
2009,29 - 19,out_of_marriage_birth,,Република Српска,203.0
2009,32 - 19,Укупно,,Република Српска,3.0
2009,33 - 19,Укупно,,Република Српска,499.0
2009,26 - 19,in_marriage_birth,,Брчко Дистрикт БиХ,5.0
2009,27 - 19,in_marriage_birth,,Брчко Дистрикт БиХ,53.0
2009,29 - 19,out_of_marriage_birth,,Брчко Дистрикт БиХ,5.0
2009,32 - 19,Укупно,,Брчко Дистрикт БиХ,5.0
2009,33 - 19,Укупно,,Брчко Дистрикт БиХ,58.0
2009,26 - 19,in_marriage_birth,,BiH,5.0
2009,27 - 19,in_marriage_birth,,BiH,349.0
2009,28 - 19,out_of_marriage_birth,,BiH,3.0
2009,29 - 19,out_of_marriage_birth,,BiH,208.0
2009,30 - 19,unknown_marital_status_birth,,BiH,4.0
2009,31 - 19,unknown_marital_status_birth,,BiH,1411.0
2009,32 - 19,Укупно,,BiH,12.0
2009,33 - 19,Укупно,,BiH,1968.0
2010,30 - 19,unknown_marital_status_birth,,Федерација БиХ,5.0
2010,31 - 19,unknown_marital_status_birth,,Федерација БиХ,1285.0
2010,32 - 19,Укупно,,Федерација БиХ,5.0
2010,33 - 19,Укупно,,Федерација БиХ,1285.0
2010,27 - 19,in_marriage_birth,,Република Српска,252.0
2010,29 - 19,out_of_marriage_birth,,Република Српска,179.0
2010,31 - 19,unknown_marital_status_birth,,Република Српска,5.0
2010,33 - 19,Укупно,,Република Српска,436.0
2010,26 - 19,in_marriage_birth,,Брчко Дистрикт БиХ,2.0
2010,27 - 19,in_marriage_birth,,Брчко Дистрикт БиХ,43.0
2010,28 - 19,out_of_marriage_birth,,Брчко Дистрикт БиХ,1.0
2010,29 - 19,out_of_marriage_birth,,Брчко Дистрикт БиХ,21.0
2010,32 - 19,Укупно,,Брчко Дистрикт БиХ,3.0
2010,33 - 19,Укупно,,Брчко Дистрикт БиХ,64.0
2010,26 - 19,in_marriage_birth,,BiH,2.0
2010,27 - 19,in_marriage_birth,,BiH,295.0
2010,28 - 19,out_of_marriage_birth,,BiH,1.0
2010,29 - 19,out_of_marriage_birth,,BiH,200.0
2010,30 - 19,unknown_marital_status_birth,,BiH,5.0
2010,31 - 19,unknown_marital_status_birth,,BiH,1290.0
2010,32 - 19,Укупно,,BiH,8.0
2010,33 - 19,Укупно,,BiH,1785.0
2011,30 - 19,unknown_marital_status_birth,,Федерација БиХ,5.0
2011,31 - 19,unknown_marital_status_birth,,Федерација БиХ,1136.0
2011,32 - 19,Укупно,,Федерација БиХ,5.0
2011,33 - 19,Укупно,,Федерација БиХ,1136.0
2011,27 - 19,in_marriage_birth,,Република Српска,238.0
2011,29 - 19,out_of_marriage_birth,,Република Српска,169.0
2011,33 - 19,Укупно,,Република Српска,407.0
2011,30 - 19,unknown_marital_status_birth,,Брчко Дистрикт БиХ,4.0
2011,31 - 19,unknown_marital_status_birth,,Брчко Дистрикт БиХ,71.0
2011,32 - 19,Укупно,,Брчко Дистрикт БиХ,4.0
2011,33 - 19,Укупно,,Брчко Дистрикт БиХ,71.0
2011,27 - 19,in_marriage_birth,,BiH,238.0
2011,29 - 19,out_of_marriage_birth,,BiH,169.0
2011,30 - 19,unknown_marital_status_birth,,BiH,9.0
2011,31 - 19,unknown_marital_status_birth,,BiH,1207.0
2011,32 - 19,Укупно,,BiH,9.0
2011,33 - 19,Укупно,,BiH,1614.0
2012,27 - 19,in_marriage_birth,,Федерација БиХ,681.0
2012,28 - 19,out_of_marriage_birth,,Федерација БиХ,2.0
2012,29 - 19,out_of_marriage_birth,,Федерација БиХ,359.0
2012,32 - 19,Укупно,,Федерација БиХ,2.0
2012,33 - 19,Укупно,,Федерација БиХ,1040.0
2012,27 - 19,in_marriage_birth,,Република Српска,240.0
2012,28 - 19,out_of_marriage_birth,,Република Српска,1.0
2012,29 - 19,out_of_marriage_birth,,Република Српска,211.0
2012,31 - 19,unknown_marital_status_birth,,Република Српска,1.0
2012,32 - 19,Укупно,,Република Српска,1.0
2012,33 - 19,Укупно,,Република Српска,452.0
2012,26 - 19,in_marriage_birth,,Брчко Дистрикт БиХ,1.0
2012,27 - 19,in_marriage_birth,,Брчко Дистрикт БиХ,22.0
2012,28 - 19,out_of_marriage_birth,,Брчко Дистрикт БиХ,1.0
2012,29 - 19,out_of_marriage_birth,,Брчко Дистрикт БиХ,32.0
2012,32 - 19,Укупно,,Брчко Дистрикт БиХ,2.0
2012,33 - 19,Укупно,,Брчко Дистрикт БиХ,54.0
2012,26 - 19,in_marriage_birth,,BiH,1.0
2012,27 - 19,in_marriage_birth,,BiH,943.0
2012,28 - 19,out_of_marriage_birth,,BiH,4.0
2012,29 - 19,out_of_marriage_birth,,BiH,602.0
2012,31 - 19,unknown_marital_status_birth,,BiH,1.0
2012,32 - 19,Укупно,,BiH,5.0
2012,33 - 19,Укупно,,BiH,1546.0
2013,27 - 19,in_marriage_birth,,Федерација БиХ,592.0
2013,28 - 19,out_of_marriage_birth,,Федерација БиХ,4.0
2013,29 - 19,out_of_marriage_birth,,Федерација БиХ,358.0
2013,32 - 19,Укупно,,Федерација БиХ,4.0
2013,33 - 19,Укупно,,Федерација БиХ,950.0
2013,27 - 19,in_marriage_birth,,Република Српска,190.0
2013,29 - 19,out_of_marriage_birth,,Република Српска,186.0
2013,33 - 19,Укупно,,Република Српска,376.0
2013,27 - 19,in_marriage_birth,,Брчко Дистрикт БиХ,36.0
2013,29 - 19,out_of_marriage_birth,,Брчко Дистрикт БиХ,20.0
2013,32 - 19,Укупно,,Брчко Дистрикт БиХ,1.0
2013,33 - 19,Укупно,,Брчко Дистрикт БиХ,56.0
2013,27 - 19,in_marriage_birth,,BiH,818.0
2013,28 - 19,out_of_marriage_birth,,BiH,5.0
2013,29 - 19,out_of_marriage_birth,,BiH,564.0
2013,32 - 19,Укупно,,BiH,5.0
2013,33 - 19,Укупно,,BiH,1382.0
2014,27 - 19,in_marriage_birth,,Федерација БиХ,596.0
2014,28 - 19,out_of_marriage_birth,,Федерација БиХ,3.0
2014,29 - 19,out_of_marriage_birth,,Федерација БиХ,336.0
2014,32 - 19,Укупно,,Федерација БиХ,3.0
2014,33 - 19,Укупно,,Федерација БиХ,932.0
2014,27 - 19,in_marriage_birth,,Република Српска,207.0
2014,29 - 19,out_of_marriage_birth,,Република Српска,155.0
2014,33 - 19,Укупно,,Република Српска,362.0
2014,27 - 19,in_marriage_birth,,Брчко Дистрикт БиХ,35.0
2014,28 - 19,out_of_marriage_birth,,Брчко Дистрикт БиХ,1.0
2014,29 - 19,out_of_marriage_birth,,Брчко Дистрикт БиХ,13.0
2014,32 - 19,Укупно,,Брчко Дистрикт БиХ,1.0
2014,33 - 19,Укупно,,Брчко Дистрикт БиХ,48.0
2014,27 - 19,in_marriage_birth,,BiH,838.0
2014,28 - 19,out_of_marriage_birth,,BiH,4.0
2014,29 - 19,out_of_marriage_birth,,BiH,504.0
2014,32 - 19,Укупно,,BiH,4.0
2014,33 - 19,Укупно,,BiH,1342.0
2015,27 - 19,in_marriage_birth,,Федерација БиХ,611.0
2015,28 - 19,out_of_marriage_birth,,Федерација БиХ,3.0
2015,29 - 19,out_of_marriage_birth,,Федерација БиХ,337.0
2015,32 - 19,Укупно,,Федерација БиХ,3.0
2015,33 - 19,Укупно,,Федерација БиХ,948.0
2015,27 - 19,in_marriage_birth,,Република Српска,171.0
2015,28 - 19,out_of_marriage_birth,,Република Српска,1.0
2015,29 - 19,out_of_marriage_birth,,Република Српска,140.0
2015,32 - 19,Укупно,,Република Српска,1.0
2015,33 - 19,Укупно,,Република Српска,311.0
2015,26 - 19,in_marriage_birth,,Брчко Дистрикт БиХ,1.0
2015,27 - 19,in_marriage_birth,,Брчко Дистрикт БиХ,50.0
2015,29 - 19,out_of_marriage_birth,,Брчко Дистрикт БиХ,5.0
2015,32 - 19,Укупно,,Брчко Дистрикт БиХ,1.0
2015,33 - 19,Укупно,,Брчко Дистрикт БиХ,55.0
2015,26 - 19,in_marriage_birth,,BiH,1.0
2015,27 - 19,in_marriage_birth,,BiH,832.0
2015,28 - 19,out_of_marriage_birth,,BiH,4.0
2015,29 - 19,out_of_marriage_birth,,BiH,482.0
2015,32 - 19,Укупно,,BiH,5.0
2015,33 - 19,Укупно,,BiH,1314.0
2016,27 - 19,in_marriage_birth,,Федерација БиХ,563.0
2016,28 - 19,out_of_marriage_birth,,Федерација БиХ,3.0
2016,29 - 19,out_of_marriage_birth,,Федерација БиХ,343.0
2016,32 - 19,Укупно,,Федерација БиХ,3.0
2016,33 - 19,Укупно,,Федерација БиХ,906.0
2016,27 - 19,in_marriage_birth,,Република Српска,189.0
2016,28 - 19,out_of_marriage_birth,,Република Српска,1.0
2016,29 - 19,out_of_marriage_birth,,Република Српска,148.0
2016,32 - 19,Укупно,,Република Српска,1.0
2016,33 - 19,Укупно,,Република Српска,337.0
2016,27 - 19,in_marriage_birth,,Брчко Дистрикт БиХ,41.0
2016,29 - 19,out_of_marriage_birth,,Брчко Дистрикт БиХ,4.0
2016,33 - 19,Укупно,,Брчко Дистрикт БиХ,45.0
2016,27 - 19,in_marriage_birth,,BiH,793.0
2016,28 - 19,out_of_marriage_birth,,BiH,4.0
2016,29 - 19,out_of_marriage_birth,,BiH,495.0
2016,32 - 19,Укупно,,BiH,4.0
2016,33 - 19,Укупно,,BiH,1288.0
2017,30 - 19,unknown_marital_status_birth,,Федерација БиХ,6.0
2017,31 - 19,unknown_marital_status_birth,,Федерација БиХ,734.0
2017,32 - 19,Укупно,,Федерација БиХ,6.0
2017,33 - 19,Укупно,,Федерација БиХ,734.0
2017,27 - 19,in_marriage_birth,,Република Српска,170.0
2017,29 - 19,out_of_marriage_birth,,Република Српска,110.0
2017,33 - 19,Укупно,,Република Српска,280.0
2017,26 - 19,in_marriage_birth,,Брчко Дистрикт БиХ,4.0
2017,27 - 19,in_marriage_birth,,Брчко Дистрикт БиХ,36.0
2017,29 - 19,out_of_marriage_birth,,Брчко Дистрикт БиХ,14.0
2017,32 - 19,Укупно,,Брчко Дистрикт БиХ,4.0
2017,33 - 19,Укупно,,Брчко Дистрикт БиХ,50.0
2017,26 - 19,in_marriage_birth,,BiH,4.0
2017,27 - 19,in_marriage_birth,,BiH,206.0
2017,29 - 19,out_of_marriage_birth,,BiH,124.0
2017,30 - 19,unknown_marital_status_birth,,BiH,6.0
2017,31 - 19,unknown_marital_status_birth,,BiH,734.0
2017,32 - 19,Укупно,,BiH,10.0
2017,33 - 19,Укупно,,BiH,1064.0
2018,30 - 19,unknown_marital_status_birth,,Федерација БиХ,4.0
2018,31 - 19,unknown_marital_status_birth,,Федерација БиХ,643.0
2018,32 - 19,Укупно,,Федерација БиХ,4.0
2018,33 - 19,Укупно,,Федерација БиХ,643.0
2018,27 - 19,in_marriage_birth,,Република Српска,118.0
2018,28 - 19,out_of_marriage_birth,,Република Српска,1.0
2018,29 - 19,out_of_marriage_birth,,Република Српска,101.0
2018,32 - 19,Укупно,,Република Српска,1.0
2018,33 - 19,Укупно,,Република Српска,219.0
2018,27 - 19,in_marriage_birth,,Брчко Дистрикт БиХ,22.0
2018,29 - 19,out_of_marriage_birth,,Брчко Дистрикт БиХ,13.0
2018,33 - 19,Укупно,,Брчко Дистрикт БиХ,35.0
2018,27 - 19,in_marriage_birth,,BiH,140.0
2018,28 - 19,out_of_marriage_birth,,BiH,1.0
2018,29 - 19,out_of_marriage_birth,,BiH,114.0
2018,30 - 19,unknown_marital_status_birth,,BiH,4.0
2018,31 - 19,unknown_marital_status_birth,,BiH,643.0
2018,32 - 19,Укупно,,BiH,5.0
2018,33 - 19,Укупно,,BiH,897.0
2019,30 - 19,unknown_marital_status_birth,,Федерација БиХ,1.0
2019,31 - 19,unknown_marital_status_birth,,Федерација БиХ,580.0
2019,32 - 19,Укупно,,Федерација БиХ,1.0
2019,33 - 19,Укупно,,Федерација БиХ,580.0
2019,27 - 19,in_marriage_birth,,Република Српска,123.0
2019,28 - 19,out_of_marriage_birth,,Република Српска,1.0
2019,29 - 19,out_of_marriage_birth,,Република Српска,100.0
2019,32 - 19,Укупно,,Република Српска,1.0
2019,33 - 19,Укупно,,Република Српска,223.0
2019,26 - 19,in_marriage_birth,,Брчко Дистрикт БиХ,1.0
2019,27 - 19,in_marriage_birth,,Брчко Дистрикт БиХ,24.0
2019,28 - 19,out_of_marriage_birth,,Брчко Дистрикт БиХ,1.0
2019,29 - 19,out_of_marriage_birth,,Брчко Дистрикт БиХ,18.0
2019,32 - 19,Укупно,,Брчко Дистрикт БиХ,2.0
2019,33 - 19,Укупно,,Брчко Дистрикт БиХ,42.0
2019,26 - 19,in_marriage_birth,,BiH,1.0
2019,27 - 19,in_marriage_birth,,BiH,147.0
2019,28 - 19,out_of_marriage_birth,,BiH,2.0
2019,29 - 19,out_of_marriage_birth,,BiH,118.0
2019,30 - 19,unknown_marital_status_birth,,BiH,1.0
2019,31 - 19,unknown_marital_status_birth,,BiH,580.0
2019,32 - 19,Укупно,,BiH,4.0
2019,33 - 19,Укупно,,BiH,845.0
