Year,Spol,Entitet,UNIT_MEASURE,Value
1996,Žene,BiH,NO_PER_100_LIVE_BIRTHS,13.2
1997,Žene,BiH,NO_PER_100_LIVE_BIRTHS,10.0
1998,Žene,BiH,NO_PER_100_LIVE_BIRTHS,8.9
1999,Žene,BiH,NO_PER_100_LIVE_BIRTHS,9.1
2000,Žene,BiH,NO_PER_100_LIVE_BIRTHS,8.5
2001,Žene,BiH,NO_PER_100_LIVE_BIRTHS,7.0
2002,Žene,BiH,NO_PER_100_LIVE_BIRTHS,8.3
2003,Žene,BiH,NO_PER_100_LIVE_BIRTHS,6.7
2004,Žene,BiH,NO_PER_100_LIVE_BIRTHS,6.0
2005,Žene,BiH,NO_PER_100_LIVE_BIRTHS,5.9
2006,Žene,BiH,NO_PER_100_LIVE_BIRTHS,5.9
2007,Žene,BiH,NO_PER_100_LIVE_BIRTHS,6.1
2008,Žene,BiH,NO_PER_100_LIVE_BIRTHS,6.3
2009,Žene,BiH,NO_PER_100_LIVE_BIRTHS,6.5
2010,Žene,BiH,NO_PER_100_LIVE_BIRTHS,5.6
2011,Žene,BiH,NO_PER_100_LIVE_BIRTHS,4.8
2012,Žene,BiH,NO_PER_100_LIVE_BIRTHS,4.2
2013,Žene,BiH,NO_PER_100_LIVE_BIRTHS,4.8
2014,Žene,BiH,NO_PER_100_LIVE_BIRTHS,5.6
2015,Žene,BiH,NO_PER_100_LIVE_BIRTHS,6.1
2016,Žene,BiH,NO_PER_100_LIVE_BIRTHS,4.6
2017,Žene,BiH,NO_PER_100_LIVE_BIRTHS,6.3
2018,Žene,BiH,NO_PER_100_LIVE_BIRTHS,6.5
2019,Žene,BiH,NO_PER_100_LIVE_BIRTHS,6.5
1996,Oba spola,Federacija BiH,NO_PER_100_LIVE_BIRTHS,13.8
1997,Oba spola,Federacija BiH,NO_PER_100_LIVE_BIRTHS,13.0
1998,Oba spola,Federacija BiH,NO_PER_100_LIVE_BIRTHS,12.1
1999,Oba spola,Federacija BiH,NO_PER_100_LIVE_BIRTHS,11.2
2000,Oba spola,Federacija BiH,NO_PER_100_LIVE_BIRTHS,11.0
2001,Oba spola,Federacija BiH,NO_PER_100_LIVE_BIRTHS,8.9
2002,Oba spola,Federacija BiH,NO_PER_100_LIVE_BIRTHS,10.5
2003,Oba spola,Federacija BiH,NO_PER_100_LIVE_BIRTHS,8.7
2004,Oba spola,Federacija BiH,NO_PER_100_LIVE_BIRTHS,8.5
2005,Oba spola,Federacija BiH,NO_PER_100_LIVE_BIRTHS,8.8
2006,Oba spola,Federacija BiH,NO_PER_100_LIVE_BIRTHS,9.5
2007,Oba spola,Federacija BiH,NO_PER_100_LIVE_BIRTHS,8.9
2008,Oba spola,Federacija BiH,NO_PER_100_LIVE_BIRTHS,8.5
2009,Oba spola,Federacija BiH,NO_PER_100_LIVE_BIRTHS,7.6
2010,Oba spola,Federacija BiH,NO_PER_100_LIVE_BIRTHS,7.7
2011,Oba spola,Federacija BiH,NO_PER_100_LIVE_BIRTHS,6.6
2012,Oba spola,Federacija BiH,NO_PER_100_LIVE_BIRTHS,6.5
2013,Oba spola,Federacija BiH,NO_PER_100_LIVE_BIRTHS,7.3
2014,Oba spola,Federacija BiH,NO_PER_100_LIVE_BIRTHS,6.4
2015,Oba spola,Federacija BiH,NO_PER_100_LIVE_BIRTHS,8.0
2016,Oba spola,Federacija BiH,NO_PER_100_LIVE_BIRTHS,7.5
2017,Oba spola,Federacija BiH,NO_PER_100_LIVE_BIRTHS,8.2
2018,Oba spola,Federacija BiH,NO_PER_100_LIVE_BIRTHS,8.4
2019,Oba spola,Federacija BiH,NO_PER_100_LIVE_BIRTHS,9.3
1997,Muškarci,Federacija BiH,NO_PER_100_LIVE_BIRTHS,15.4
1998,Muškarci,Federacija BiH,NO_PER_100_LIVE_BIRTHS,14.4
1999,Muškarci,Federacija BiH,NO_PER_100_LIVE_BIRTHS,12.2
2000,Muškarci,Federacija BiH,NO_PER_100_LIVE_BIRTHS,12.5
2001,Muškarci,Federacija BiH,NO_PER_100_LIVE_BIRTHS,9.6
2002,Muškarci,Federacija BiH,NO_PER_100_LIVE_BIRTHS,11.6
2003,Muškarci,Federacija BiH,NO_PER_100_LIVE_BIRTHS,10.1
2004,Muškarci,Federacija BiH,NO_PER_100_LIVE_BIRTHS,9.3
2005,Muškarci,Federacija BiH,NO_PER_100_LIVE_BIRTHS,10.0
2006,Muškarci,Federacija BiH,NO_PER_100_LIVE_BIRTHS,11.3
2007,Muškarci,Federacija BiH,NO_PER_100_LIVE_BIRTHS,10.1
2008,Muškarci,Federacija BiH,NO_PER_100_LIVE_BIRTHS,9.4
2009,Muškarci,Federacija BiH,NO_PER_100_LIVE_BIRTHS,7.3
2010,Muškarci,Federacija BiH,NO_PER_100_LIVE_BIRTHS,9.1
2011,Muškarci,Federacija BiH,NO_PER_100_LIVE_BIRTHS,7.7
2012,Muškarci,Federacija BiH,NO_PER_100_LIVE_BIRTHS,7.6
2013,Muškarci,Federacija BiH,NO_PER_100_LIVE_BIRTHS,8.5
2014,Muškarci,Federacija BiH,NO_PER_100_LIVE_BIRTHS,6.2
2015,Muškarci,Federacija BiH,NO_PER_100_LIVE_BIRTHS,8.5
2016,Muškarci,Federacija BiH,NO_PER_100_LIVE_BIRTHS,8.5
2017,Muškarci,Federacija BiH,NO_PER_100_LIVE_BIRTHS,8.5
2018,Muškarci,Federacija BiH,NO_PER_100_LIVE_BIRTHS,8.3
2019,Muškarci,Federacija BiH,NO_PER_100_LIVE_BIRTHS,9.5
1997,Žene,Federacija BiH,NO_PER_100_LIVE_BIRTHS,10.3
1998,Žene,Federacija BiH,NO_PER_100_LIVE_BIRTHS,9.7
1999,Žene,Federacija BiH,NO_PER_100_LIVE_BIRTHS,10.1
2000,Žene,Federacija BiH,NO_PER_100_LIVE_BIRTHS,9.5
2001,Žene,Federacija BiH,NO_PER_100_LIVE_BIRTHS,8.2
2002,Žene,Federacija BiH,NO_PER_100_LIVE_BIRTHS,9.5
2003,Žene,Federacija BiH,NO_PER_100_LIVE_BIRTHS,7.2
2004,Žene,Federacija BiH,NO_PER_100_LIVE_BIRTHS,7.7
2005,Žene,Federacija BiH,NO_PER_100_LIVE_BIRTHS,7.6
2006,Žene,Federacija BiH,NO_PER_100_LIVE_BIRTHS,7.5
2007,Žene,Federacija BiH,NO_PER_100_LIVE_BIRTHS,7.6
2008,Žene,Federacija BiH,NO_PER_100_LIVE_BIRTHS,7.5
2009,Žene,Federacija BiH,NO_PER_100_LIVE_BIRTHS,7.8
2010,Žene,Federacija BiH,NO_PER_100_LIVE_BIRTHS,6.2
2011,Žene,Federacija BiH,NO_PER_100_LIVE_BIRTHS,5.5
2012,Žene,Federacija BiH,NO_PER_100_LIVE_BIRTHS,5.2
2013,Žene,Federacija BiH,NO_PER_100_LIVE_BIRTHS,6.2
2014,Žene,Federacija BiH,NO_PER_100_LIVE_BIRTHS,6.6
2015,Žene,Federacija BiH,NO_PER_100_LIVE_BIRTHS,7.4
2016,Žene,Federacija BiH,NO_PER_100_LIVE_BIRTHS,6.4
2017,Žene,Federacija BiH,NO_PER_100_LIVE_BIRTHS,7.8
2018,Žene,Federacija BiH,NO_PER_100_LIVE_BIRTHS,8.4
2019,Žene,Federacija BiH,NO_PER_100_LIVE_BIRTHS,9.0
1996,Oba spola,Republika Srpska,NO_PER_100_LIVE_BIRTHS,14.6
1997,Oba spola,Republika Srpska,NO_PER_100_LIVE_BIRTHS,11.3
1998,Oba spola,Republika Srpska,NO_PER_100_LIVE_BIRTHS,8.3
1999,Oba spola,Republika Srpska,NO_PER_100_LIVE_BIRTHS,8.2
2000,Oba spola,Republika Srpska,NO_PER_100_LIVE_BIRTHS,7.3
2001,Oba spola,Republika Srpska,NO_PER_100_LIVE_BIRTHS,5.3
2002,Oba spola,Republika Srpska,NO_PER_100_LIVE_BIRTHS,7.2
2003,Oba spola,Republika Srpska,NO_PER_100_LIVE_BIRTHS,6.1
2004,Oba spola,Republika Srpska,NO_PER_100_LIVE_BIRTHS,5.7
2005,Oba spola,Republika Srpska,NO_PER_100_LIVE_BIRTHS,3.6
2006,Oba spola,Republika Srpska,NO_PER_100_LIVE_BIRTHS,4.8
2007,Oba spola,Republika Srpska,NO_PER_100_LIVE_BIRTHS,3.8
2008,Oba spola,Republika Srpska,NO_PER_100_LIVE_BIRTHS,3.9
2009,Oba spola,Republika Srpska,NO_PER_100_LIVE_BIRTHS,4.8
2010,Oba spola,Republika Srpska,NO_PER_100_LIVE_BIRTHS,4.3
2011,Oba spola,Republika Srpska,NO_PER_100_LIVE_BIRTHS,4.5
2012,Oba spola,Republika Srpska,NO_PER_100_LIVE_BIRTHS,3.7
2013,Oba spola,Republika Srpska,NO_PER_100_LIVE_BIRTHS,3.5
2014,Oba spola,Republika Srpska,NO_PER_100_LIVE_BIRTHS,3.1
2015,Oba spola,Republika Srpska,NO_PER_100_LIVE_BIRTHS,2.8
2016,Oba spola,Republika Srpska,NO_PER_100_LIVE_BIRTHS,2.4
2017,Oba spola,Republika Srpska,NO_PER_100_LIVE_BIRTHS,2.8
2018,Oba spola,Republika Srpska,NO_PER_100_LIVE_BIRTHS,1.8
2019,Oba spola,Republika Srpska,NO_PER_100_LIVE_BIRTHS,1.6
1996,Muškarci,Republika Srpska,NO_PER_100_LIVE_BIRTHS,15.5
1997,Muškarci,Republika Srpska,NO_PER_100_LIVE_BIRTHS,13.0
1998,Muškarci,Republika Srpska,NO_PER_100_LIVE_BIRTHS,9.5
1999,Muškarci,Republika Srpska,NO_PER_100_LIVE_BIRTHS,9.2
2000,Muškarci,Republika Srpska,NO_PER_100_LIVE_BIRTHS,7.8
2001,Muškarci,Republika Srpska,NO_PER_100_LIVE_BIRTHS,5.8
2002,Muškarci,Republika Srpska,NO_PER_100_LIVE_BIRTHS,8.3
2003,Muškarci,Republika Srpska,NO_PER_100_LIVE_BIRTHS,5.9
2004,Muškarci,Republika Srpska,NO_PER_100_LIVE_BIRTHS,7.8
2005,Muškarci,Republika Srpska,NO_PER_100_LIVE_BIRTHS,3.8
2006,Muškarci,Republika Srpska,NO_PER_100_LIVE_BIRTHS,5.8
2007,Muškarci,Republika Srpska,NO_PER_100_LIVE_BIRTHS,3.5
2008,Muškarci,Republika Srpska,NO_PER_100_LIVE_BIRTHS,3.8
2009,Muškarci,Republika Srpska,NO_PER_100_LIVE_BIRTHS,5.2
2010,Muškarci,Republika Srpska,NO_PER_100_LIVE_BIRTHS,3.9
2011,Muškarci,Republika Srpska,NO_PER_100_LIVE_BIRTHS,5.2
2012,Muškarci,Republika Srpska,NO_PER_100_LIVE_BIRTHS,4.9
2013,Muškarci,Republika Srpska,NO_PER_100_LIVE_BIRTHS,4.3
2014,Muškarci,Republika Srpska,NO_PER_100_LIVE_BIRTHS,2.3
2015,Muškarci,Republika Srpska,NO_PER_100_LIVE_BIRTHS,1.9
2016,Muškarci,Republika Srpska,NO_PER_100_LIVE_BIRTHS,3.4
2017,Muškarci,Republika Srpska,NO_PER_100_LIVE_BIRTHS,2.7
2018,Muškarci,Republika Srpska,NO_PER_100_LIVE_BIRTHS,1.4
2019,Muškarci,Republika Srpska,NO_PER_100_LIVE_BIRTHS,1.4
1996,Žene,Republika Srpska,NO_PER_100_LIVE_BIRTHS,13.6
1997,Žene,Republika Srpska,NO_PER_100_LIVE_BIRTHS,9.6
1998,Žene,Republika Srpska,NO_PER_100_LIVE_BIRTHS,7.0
1999,Žene,Republika Srpska,NO_PER_100_LIVE_BIRTHS,7.2
2000,Žene,Republika Srpska,NO_PER_100_LIVE_BIRTHS,6.7
2001,Žene,Republika Srpska,NO_PER_100_LIVE_BIRTHS,4.8
2002,Žene,Republika Srpska,NO_PER_100_LIVE_BIRTHS,6.0
2003,Žene,Republika Srpska,NO_PER_100_LIVE_BIRTHS,6.3
2004,Žene,Republika Srpska,NO_PER_100_LIVE_BIRTHS,3.5
2005,Žene,Republika Srpska,NO_PER_100_LIVE_BIRTHS,3.4
2006,Žene,Republika Srpska,NO_PER_100_LIVE_BIRTHS,3.7
2007,Žene,Republika Srpska,NO_PER_100_LIVE_BIRTHS,4.1
2008,Žene,Republika Srpska,NO_PER_100_LIVE_BIRTHS,4.1
2009,Žene,Republika Srpska,NO_PER_100_LIVE_BIRTHS,4.4
2010,Žene,Republika Srpska,NO_PER_100_LIVE_BIRTHS,4.8
2011,Žene,Republika Srpska,NO_PER_100_LIVE_BIRTHS,3.7
2012,Žene,Republika Srpska,NO_PER_100_LIVE_BIRTHS,2.5
2013,Žene,Republika Srpska,NO_PER_100_LIVE_BIRTHS,2.6
2014,Žene,Republika Srpska,NO_PER_100_LIVE_BIRTHS,4.0
2015,Žene,Republika Srpska,NO_PER_100_LIVE_BIRTHS,3.8
2016,Žene,Republika Srpska,NO_PER_100_LIVE_BIRTHS,1.3
2017,Žene,Republika Srpska,NO_PER_100_LIVE_BIRTHS,2.9
2018,Žene,Republika Srpska,NO_PER_100_LIVE_BIRTHS,2.2
2019,Žene,Republika Srpska,NO_PER_100_LIVE_BIRTHS,1.8
2004,Oba spola,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2005,Oba spola,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2006,Oba spola,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2007,Oba spola,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2008,Oba spola,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2009,Oba spola,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2010,Oba spola,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2011,Oba spola,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2012,Oba spola,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2013,Oba spola,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2014,Oba spola,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2015,Oba spola,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2016,Oba spola,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2017,Oba spola,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2018,Oba spola,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2019,Oba spola,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2004,Muškarci,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2005,Muškarci,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2006,Muškarci,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2007,Muškarci,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2008,Muškarci,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2009,Muškarci,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2010,Muškarci,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2011,Muškarci,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2012,Muškarci,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2013,Muškarci,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2014,Muškarci,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2015,Muškarci,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2016,Muškarci,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2017,Muškarci,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2018,Muškarci,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2019,Muškarci,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2004,Žene,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2005,Žene,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2006,Žene,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2007,Žene,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2008,Žene,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2009,Žene,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2010,Žene,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2011,Žene,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2012,Žene,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2013,Žene,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2014,Žene,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2015,Žene,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2016,Žene,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2017,Žene,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2018,Žene,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
2019,Žene,Brčko Distrikt BiH,NO_PER_100_LIVE_BIRTHS,0.0
