Year,Spol,Test,UNIT_MEASURE,Value
2013,M,BiH,NO_PER_1000_LIVE_BIRTHS,6.9
2014,M,BiH,NO_PER_1000_LIVE_BIRTHS,4.7
2015,M,BiH,NO_PER_1000_LIVE_BIRTHS,6.1
2016,M,BiH,NO_PER_1000_LIVE_BIRTHS,7.1
2017,M,BiH,NO_PER_1000_LIVE_BIRTHS,6.7
2018,M,BiH,NO_PER_1000_LIVE_BIRTHS,6.0
2019,M,BiH,NO_PER_1000_LIVE_BIRTHS,6.9
1996,Ž,BiH,NO_PER_1000_LIVE_BIRTHS,13.2
1997,Ž,BiH,NO_PER_1000_LIVE_BIRTHS,10.0
1998,Ž,BiH,NO_PER_1000_LIVE_BIRTHS,8.9
1999,Ž,BiH,NO_PER_1000_LIVE_BIRTHS,9.1
2000,Ž,BiH,NO_PER_1000_LIVE_BIRTHS,8.5
2001,Ž,BiH,NO_PER_1000_LIVE_BIRTHS,7.0
2002,Ž,BiH,NO_PER_1000_LIVE_BIRTHS,8.3
2003,Ž,BiH,NO_PER_1000_LIVE_BIRTHS,6.7
2004,Ž,BiH,NO_PER_1000_LIVE_BIRTHS,6.0
2005,Ž,BiH,NO_PER_1000_LIVE_BIRTHS,5.9
2006,Ž,BiH,NO_PER_1000_LIVE_BIRTHS,5.9
2007,Ž,BiH,NO_PER_1000_LIVE_BIRTHS,6.1
2008,Ž,BiH,NO_PER_1000_LIVE_BIRTHS,6.3
2009,Ž,BiH,NO_PER_1000_LIVE_BIRTHS,6.5
2010,Ž,BiH,NO_PER_1000_LIVE_BIRTHS,5.6
2011,Ž,BiH,NO_PER_1000_LIVE_BIRTHS,4.8
2012,Ž,BiH,NO_PER_1000_LIVE_BIRTHS,4.2
2013,Ž,BiH,NO_PER_1000_LIVE_BIRTHS,4.8
2014,Ž,BiH,NO_PER_1000_LIVE_BIRTHS,5.6
2015,Ž,BiH,NO_PER_1000_LIVE_BIRTHS,6.1
2016,Ž,BiH,NO_PER_1000_LIVE_BIRTHS,4.6
2017,Ž,BiH,NO_PER_1000_LIVE_BIRTHS,6.3
2018,Ž,BiH,NO_PER_1000_LIVE_BIRTHS,6.5
2019,Ž,BiH,NO_PER_1000_LIVE_BIRTHS,6.5
1996,Oba spola,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,13.8
1997,Oba spola,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,13.0
1998,Oba spola,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,12.1
1999,Oba spola,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,11.2
2000,Oba spola,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,11.0
2001,Oba spola,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,8.9
2002,Oba spola,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,10.5
2003,Oba spola,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,8.7
2004,Oba spola,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,8.5
2005,Oba spola,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,8.8
2006,Oba spola,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,9.5
2007,Oba spola,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,8.9
2008,Oba spola,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,8.5
2009,Oba spola,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,7.6
2010,Oba spola,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,7.7
2011,Oba spola,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,6.6
2012,Oba spola,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,6.5
2013,Oba spola,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,7.3
2014,Oba spola,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,6.4
2015,Oba spola,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,8.0
2016,Oba spola,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,7.5
2017,Oba spola,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,8.2
2018,Oba spola,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,8.4
2019,Oba spola,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,9.3
1997,M,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,15.4
1998,M,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,14.4
1999,M,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,12.2
2000,M,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,12.5
2001,M,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,9.6
2002,M,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,11.6
2003,M,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,10.1
2004,M,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,9.3
2005,M,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,10.0
2006,M,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,11.3
2007,M,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,10.1
2008,M,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,9.4
2009,M,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,7.3
2010,M,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,9.1
2011,M,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,7.7
2012,M,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,7.6
2013,M,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,8.5
2014,M,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,6.2
2015,M,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,8.5
2016,M,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,8.5
2017,M,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,8.5
2018,M,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,8.3
2019,M,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,9.5
1997,Ž,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,10.3
1998,Ž,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,9.7
1999,Ž,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,10.1
2000,Ž,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,9.5
2001,Ž,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,8.2
2002,Ž,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,9.5
2003,Ž,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,7.2
2004,Ž,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,7.7
2005,Ž,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,7.6
2006,Ž,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,7.5
2007,Ž,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,7.6
2008,Ž,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,7.5
2009,Ž,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,7.8
2010,Ž,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,6.2
2011,Ž,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,5.5
2012,Ž,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,5.2
2013,Ž,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,6.2
2014,Ž,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,6.6
2015,Ž,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,7.4
2016,Ž,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,6.4
2017,Ž,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,7.8
2018,Ž,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,8.4
2019,Ž,Federacija BiH,NO_PER_1000_LIVE_BIRTHS,9.0
1996,Oba spola,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,14.6
1997,Oba spola,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,11.3
1998,Oba spola,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,8.3
1999,Oba spola,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,8.2
2000,Oba spola,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,7.3
2001,Oba spola,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,5.3
2002,Oba spola,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,7.2
2003,Oba spola,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,6.1
2004,Oba spola,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,5.7
2005,Oba spola,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,3.6
2006,Oba spola,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,4.8
2007,Oba spola,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,3.8
2008,Oba spola,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,3.9
2009,Oba spola,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,4.8
2010,Oba spola,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,4.3
2011,Oba spola,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,4.5
2012,Oba spola,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,3.7
2013,Oba spola,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,3.5
2014,Oba spola,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,3.1
2015,Oba spola,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,2.8
2016,Oba spola,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,2.4
2017,Oba spola,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,2.8
2018,Oba spola,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,1.8
2019,Oba spola,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,1.6
1996,M,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,15.5
1997,M,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,13.0
1998,M,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,9.5
1999,M,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,9.2
2000,M,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,7.8
2001,M,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,5.8
2002,M,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,8.3
2003,M,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,5.9
2004,M,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,7.8
2005,M,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,3.8
2006,M,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,5.8
2007,M,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,3.5
2008,M,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,3.8
2009,M,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,5.2
2010,M,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,3.9
2011,M,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,5.2
2012,M,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,4.9
2013,M,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,4.3
2014,M,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,2.3
2015,M,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,1.9
2016,M,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,3.4
2017,M,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,2.7
2018,M,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,1.4
2019,M,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,1.4
1996,Ž,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,13.6
1997,Ž,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,9.6
1998,Ž,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,7.0
1999,Ž,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,7.2
2000,Ž,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,6.7
2001,Ž,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,4.8
2002,Ž,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,6.0
2003,Ž,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,6.3
2004,Ž,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,3.5
2005,Ž,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,3.4
2006,Ž,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,3.7
2007,Ž,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,4.1
2008,Ž,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,4.1
2009,Ž,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,4.4
2010,Ž,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,4.8
2011,Ž,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,3.7
2012,Ž,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,2.5
2013,Ž,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,2.6
2014,Ž,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,4.0
2015,Ž,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,3.8
2016,Ž,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,1.3
2017,Ž,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,2.9
2018,Ž,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,2.2
2019,Ž,Republika Srpska,NO_PER_1000_LIVE_BIRTHS,1.8
2004,Oba spola,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2005,Oba spola,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2006,Oba spola,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2007,Oba spola,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2008,Oba spola,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2009,Oba spola,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2010,Oba spola,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2011,Oba spola,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2012,Oba spola,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2013,Oba spola,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2014,Oba spola,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2015,Oba spola,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2016,Oba spola,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2017,Oba spola,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2018,Oba spola,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2019,Oba spola,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2004,M,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2005,M,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2006,M,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2007,M,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2008,M,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2009,M,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2010,M,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2011,M,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2012,M,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2013,M,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2014,M,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2015,M,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2016,M,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2017,M,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2018,M,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2019,M,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2004,Ž,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2005,Ž,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2006,Ž,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2007,Ž,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2008,Ž,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2009,Ž,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2010,Ž,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2011,Ž,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2012,Ž,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2013,Ž,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2014,Ž,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2015,Ž,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2016,Ž,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2017,Ž,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2018,Ž,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
2019,Ž,Brčko distrikt BiH,NO_PER_1000_LIVE_BIRTHS,0.0
