Year,health_indicators,UNIT_MEASURE,Entity,Value
2002,number_of_new_cases_of_AIDS_clinically_diagnosed,NUMBER,FBiH,3.0
2002,number_of_new_cases_of_HIV,NUMBER,RS,4.0
2002,number_of_new_cases_of_HIV_per_100000_population,NUMBER,RS,0.33
2002,number_of_beds_in_hospitals,NUMBER,RS,3.985
2002,number_of_beds_in_hospitals_per_100000_population,NUMBER,RS,334.0
2002,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,RS,1.786
2002,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,NUMBER,RS,150.0
2002,number_of_general_practitioners,NUMBER,RS,313.0
2002,number_of_population_per_general_practitioner,NUMBER,RS,3.815
2003,number_of_new_cases_of_syphilis,NUMBER,BiH,5.0
2003,number_of_new_cases_of_AIDS_clinically_diagnosed,NUMBER,BiH,3.0
2003,number_of_new_cases_of_HIV,NUMBER,BiH,12.0
2003,number_of_beds_in_hospitals,NUMBER,BiH,3.881
2003,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,BiH,1.802
2003,number_of_general_practitioners,NUMBER,BiH,328.0
2003,number_of_new_cases_of_syphilis,NUMBER,FBiH,5.0
2003,number_of_new_cases_of_AIDS_clinically_diagnosed,NUMBER,FBiH,3.0
2003,number_of_new_cases_of_HIV,NUMBER,FBiH,8.0
2003,number_of_new_cases_of_HIV_per_100000_population,NUMBER,FBiH,0.34
2003,number_of_new_cases_of_HIV,NUMBER,RS,4.0
2003,number_of_new_cases_of_HIV_per_100000_population,NUMBER,RS,0.34
2003,number_of_beds_in_hospitals,NUMBER,RS,3.881
2003,number_of_beds_in_hospitals_per_100000_population,NUMBER,RS,325.0
2003,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,RS,1.802
2003,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,NUMBER,RS,151.0
2003,number_of_general_practitioners,NUMBER,RS,328.0
2003,number_of_population_per_general_practitioner,NUMBER,RS,3.636
2004,number_of_new_cases_of_syphilis,NUMBER,BiH,18.0
2004,number_of_new_cases_of_AIDS_clinically_diagnosed,NUMBER,BiH,3.0
2004,number_of_new_cases_of_HIV,NUMBER,BiH,11.0
2004,number_of_beds_in_hospitals,NUMBER,BiH,3.652
2004,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,BiH,1.838
2004,number_of_general_practitioners,NUMBER,BiH,359.0
2004,number_of_new_cases_of_syphilis,NUMBER,FBiH,18.0
2004,number_of_new_cases_of_AIDS_clinically_diagnosed,NUMBER,FBiH,3.0
2004,number_of_new_cases_of_HIV,NUMBER,FBiH,10.0
2004,number_of_new_cases_of_HIV_per_100000_population,NUMBER,FBiH,0.43
2004,number_of_new_cases_of_HIV,NUMBER,RS,1.0
2004,number_of_new_cases_of_HIV_per_100000_population,NUMBER,RS,0.08
2004,number_of_beds_in_hospitals,NUMBER,RS,3.652
2004,number_of_beds_in_hospitals_per_100000_population,NUMBER,RS,307.0
2004,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,RS,1.838
2004,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,NUMBER,RS,154.0
2004,number_of_general_practitioners,NUMBER,RS,359.0
2004,number_of_population_per_general_practitioner,NUMBER,RS,3.316
2005,number_of_new_cases_of_cervical_cancer,NUMBER,BiH,142.0
2005,number_of_new_cases_of_female_breast_cancer,NUMBER,BiH,351.0
2005,number_of_new_cases_of_syphilis,NUMBER,BiH,18.0
2005,number_of_new_cases_of_gonorrhea,NUMBER,BiH,3.0
2005,number_of_new_cases_of_AIDS_clinically_diagnosed,NUMBER,BiH,7.0
2005,number_of_new_cases_of_HIV,NUMBER,BiH,11.0
2005,number_of_beds_in_hospitals,NUMBER,BiH,3.804
2005,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,BiH,5.54
2005,number_of_general_practitioners,NUMBER,BiH,399.0
2005,number_of_midwives,NUMBER,BiH,421.0
2005,number_of_new_cases_of_syphilis,NUMBER,FBiH,9.0
2005,number_of_new_cases_of_AIDS_clinically_diagnosed,NUMBER,FBiH,4.0
2005,number_of_new_cases_of_HIV,NUMBER,FBiH,11.0
2005,number_of_new_cases_of_HIV_per_100000_population,NUMBER,FBiH,0.47
2005,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,FBiH,3.683
2005,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,NUMBER,FBiH,158.0
2005,total_population_(as_per_Public_Health_Institute_or_NSO_reports),NUMBER,FBiH,2328434.0
2005,male_population,NUMBER,FBiH,1101958.0
2005,female_population,NUMBER,FBiH,1226476.0
2005,number_of_new_cases_of_cervical_cancer,NUMBER,RS,142.0
2005,number_of_new_cases_of_cervical_cancer_per_100000_female_population,NUMBER,RS,19.12767047
2005,number_of_new_cases_of_female_breast_cancer,NUMBER,RS,351.0
2005,number_of_new_cases_of_female_breast_cancer_per_100000,NUMBER,RS,47.28036854
2005,number_of_new_cases_of_syphilis,NUMBER,RS,9.0
2005,number_of_new_cases_of_gonorrhea,NUMBER,RS,3.0
2005,number_of_new_cases_of_AIDS_clinically_diagnosed,NUMBER,RS,3.0
2005,number_of_beds_in_hospitals,NUMBER,RS,3804.0
2005,number_of_beds_in_hospitals_per_100000_population,NUMBER,RS,262.9946966
2005,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,RS,1857.0
2005,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,NUMBER,RS,128.3862123
2005,number_of_general_practitioners,NUMBER,RS,399.0
2005,number_of_population_per_general_practitioner,NUMBER,RS,3625.105263
2005,number_of_midwives,NUMBER,RS,421.0
2005,total_population_(as_per_Public_Health_Institute_or_NSO_reports),NUMBER,RS,1446417.0
2005,male_population,NUMBER,RS,704037.0
2005,female_population,NUMBER,RS,742380.0
2005,total_population_(as_per_Public_Health_Institute_or_NSO_reports),NUMBER,BD,83930.0
2005,male_population,NUMBER,BD,41785.0
2005,female_population,NUMBER,BD,42145.0
2006,number_of_new_cases_of_cervical_cancer,NUMBER,BiH,139.0
2006,number_of_new_cases_of_female_breast_cancer,NUMBER,BiH,331.0
2006,number_of_new_cases_of_syphilis,NUMBER,BiH,15.0
2006,number_of_new_cases_of_AIDS_clinically_diagnosed,NUMBER,BiH,3.0
2006,number_of_new_cases_of_HIV,NUMBER,BiH,17.0
2006,number_of_beds_in_hospitals,NUMBER,BiH,4017.0
2006,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,BiH,5684.0
2006,number_of_general_practitioners,NUMBER,BiH,467.0
2006,number_of_midwives,NUMBER,BiH,409.0
2006,number_of_new_cases_of_syphilis,NUMBER,FBiH,15.0
2006,number_of_new_cases_of_AIDS_clinically_diagnosed,NUMBER,FBiH,3.0
2006,number_of_new_cases_of_HIV,NUMBER,FBiH,12.0
2006,number_of_new_cases_of_HIV_per_100000_population,NUMBER,FBiH,0.516125036
2006,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,FBiH,3767.0
2006,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,NUMBER,FBiH,162.020251
2006,total_population_(as_per_Public_Health_Institute_or_NSO_reports),NUMBER,FBiH,2325018.0
2006,male_population,NUMBER,FBiH,1137682.0
2006,female_population,NUMBER,FBiH,1187336.0
2006,number_of_new_cases_of_cervical_cancer,NUMBER,RS,139.0
2006,number_of_new_cases_of_cervical_cancer_per_100000_female_population,NUMBER,RS,18.75866239
2006,number_of_new_cases_of_female_breast_cancer,NUMBER,RS,331.0
2006,number_of_new_cases_of_female_breast_cancer_per_100000,NUMBER,RS,44.66990827
2006,number_of_new_cases_of_HIV,NUMBER,RS,5.0
2006,number_of_new_cases_of_HIV_per_100000_population,NUMBER,RS,0.346330181
2006,number_of_beds_in_hospitals,NUMBER,RS,4017.0
2006,number_of_beds_in_hospitals_per_100000_population,NUMBER,RS,278.2416678
2006,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,RS,1917.0
2006,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,NUMBER,RS,132.7829916
2006,number_of_general_practitioners,NUMBER,RS,467.0
2006,number_of_population_per_general_practitioner,NUMBER,RS,3091.453961
2006,number_of_midwives,NUMBER,RS,409.0
2006,total_population_(as_per_Public_Health_Institute_or_NSO_reports),NUMBER,RS,1443709.0
2006,male_population,NUMBER,RS,702718.0
2006,female_population,NUMBER,RS,740991.0
2006,total_population_(as_per_Public_Health_Institute_or_NSO_reports),NUMBER,BD,84100.0
2006,male_population,NUMBER,BD,41866.0
2006,female_population,NUMBER,BD,42234.0
2007,number_of_new_cases_of_cervical_cancer,NUMBER,BiH,362.0
2007,number_of_new_cases_of_female_breast_cancer,NUMBER,BiH,918.0
2007,number_of_new_cases_of_syphilis,NUMBER,BiH,22.0
2007,number_of_new_cases_of_gonorrhea,NUMBER,BiH,3.0
2007,number_of_new_cases_of_AIDS_clinically_diagnosed,NUMBER,BiH,4.0
2007,number_of_new_cases_of_HIV,NUMBER,BiH,5.0
2007,number_of_beds_in_hospitals,NUMBER,BiH,12674.0
2007,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,BiH,5967.0
2007,number_of_general_practitioners,NUMBER,BiH,1037.0
2007,number_of_midwives,NUMBER,BiH,797.0
2007,number_of_new_cases_of_cervical_cancer,NUMBER,FBiH,178.0
2007,number_of_new_cases_of_cervical_cancer_per_100000_female_population,NUMBER,FBiH,14.9701606
2007,number_of_new_cases_of_female_breast_cancer,NUMBER,FBiH,521.0
2007,number_of_new_cases_of_female_breast_cancer_per_100000,NUMBER,FBiH,43.81715547
2007,number_of_new_cases_of_syphilis,NUMBER,FBiH,17.0
2007,number_of_new_cases_of_AIDS_clinically_diagnosed,NUMBER,FBiH,4.0
2007,number_of_new_cases_of_HIV,NUMBER,FBiH,4.0
2007,number_of_new_cases_of_HIV_per_100000_population,NUMBER,FBiH,0.171794813
2007,number_of_beds_in_hospitals,NUMBER,FBiH,8165.0
2007,number_of_beds_in_hospitals_per_100000_population,NUMBER,FBiH,350.6761629
2007,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,FBiH,3979.0
2007,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,NUMBER,FBiH,170.8928907
2007,number_of_general_practitioners,NUMBER,FBiH,500.0
2007,number_of_population_per_general_practitioner,NUMBER,FBiH,4656.718
2007,number_of_midwives,NUMBER,FBiH,797.0
2007,total_population_(as_per_Public_Health_Institute_or_NSO_reports),NUMBER,FBiH,2328359.0
2007,male_population,NUMBER,FBiH,1139327.0
2007,female_population,NUMBER,FBiH,1189032.0
2007,number_of_new_cases_of_cervical_cancer,NUMBER,RS,184.0
2007,number_of_new_cases_of_cervical_cancer_per_100000_female_population,NUMBER,RS,24.90124087
2007,number_of_new_cases_of_female_breast_cancer,NUMBER,RS,397.0
2007,number_of_new_cases_of_female_breast_cancer_per_100000,NUMBER,RS,53.72713383
2007,number_of_new_cases_of_syphilis,NUMBER,RS,5.0
2007,number_of_new_cases_of_gonorrhea,NUMBER,RS,3.0
2007,number_of_new_cases_of_HIV,NUMBER,RS,1.0
2007,number_of_new_cases_of_HIV_per_100000_population,NUMBER,RS,0.069460218
2007,number_of_beds_in_hospitals,NUMBER,RS,4509.0
2007,number_of_beds_in_hospitals_per_100000_population,NUMBER,RS,313.1961216
2007,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,RS,1988.0
2007,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,NUMBER,RS,138.0869128
2007,number_of_general_practitioners,NUMBER,RS,537.0
2007,number_of_population_per_general_practitioner,NUMBER,RS,2680.955307
2007,total_population_(as_per_Public_Health_Institute_or_NSO_reports),NUMBER,RS,1439673.0
2007,male_population,NUMBER,RS,700754.0
2007,female_population,NUMBER,RS,738919.0
2007,total_population_(as_per_Public_Health_Institute_or_NSO_reports),NUMBER,BD,84258.0
2007,male_population,NUMBER,BD,41943.0
2007,female_population,NUMBER,BD,42315.0
2008,number_of_new_cases_of_cervical_cancer,NUMBER,BiH,326.0
2008,number_of_new_cases_of_female_breast_cancer,NUMBER,BiH,852.0
2008,number_of_new_cases_of_syphilis,NUMBER,BiH,15.0
2008,number_of_new_cases_of_gonorrhea,NUMBER,BiH,4.0
2008,number_of_new_cases_of_AIDS_clinically_diagnosed,NUMBER,BiH,4.0
2008,number_of_new_cases_of_HIV,NUMBER,BiH,7.0
2008,number_of_caesarean_sections,NUMBER,BiH,4105.0
2008,number_of_beds_in_hospitals,NUMBER,BiH,12546.0
2008,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,BiH,6165.0
2008,number_of_general_practitioners,NUMBER,BiH,1083.0
2008,number_of_midwives,NUMBER,BiH,1235.0
2008,number_of_new_cases_of_cervical_cancer,NUMBER,FBiH,131.0
2008,number_of_new_cases_of_cervical_cancer_per_100000_female_population,NUMBER,FBiH,11.02287204
2008,number_of_new_cases_of_female_breast_cancer,NUMBER,FBiH,425.0
2008,number_of_new_cases_of_female_breast_cancer_per_100000,NUMBER,FBiH,35.76122608
2008,number_of_new_cases_of_syphilis,NUMBER,FBiH,11.0
2008,number_of_new_cases_of_AIDS_clinically_diagnosed,NUMBER,FBiH,4.0
2008,number_of_new_cases_of_HIV,NUMBER,FBiH,7.0
2008,number_of_new_cases_of_HIV_per_100000_population,NUMBER,FBiH,0.300791296
2008,number_of_caesarean_sections,NUMBER,FBiH,4105.0
2008,number_of_caesarean_sections_per_1000_live_births,NUMBER,FBiH,189.5
2008,number_of_beds_in_hospitals,NUMBER,FBiH,8091.0
2008,number_of_beds_in_hospitals_per_100000_population,NUMBER,FBiH,347.6717679
2008,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,FBiH,4117.0
2008,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,NUMBER,FBiH,176.9082522
2008,number_of_general_practitioners,NUMBER,FBiH,500.0
2008,number_of_population_per_general_practitioner,NUMBER,FBiH,4654.39
2008,number_of_midwives,NUMBER,FBiH,818.0
2008,total_population_(as_per_Public_Health_Institute_or_NSO_reports),NUMBER,FBiH,2327195.0
2008,male_population,NUMBER,FBiH,1138757.0
2008,female_population,NUMBER,FBiH,1188438.0
2008,number_of_new_cases_of_cervical_cancer,NUMBER,RS,195.0
2008,number_of_new_cases_of_cervical_cancer_per_100000_female_population,NUMBER,RS,26.43021339
2008,number_of_new_cases_of_female_breast_cancer,NUMBER,RS,427.0
2008,number_of_new_cases_of_female_breast_cancer_per_100000,NUMBER,RS,57.87539035
2008,number_of_new_cases_of_syphilis,NUMBER,RS,4.0
2008,number_of_new_cases_of_gonorrhea,NUMBER,RS,4.0
2008,number_of_beds_in_hospitals,NUMBER,RS,4455.0
2008,number_of_beds_in_hospitals_per_100000_population,NUMBER,RS,309.9180022
2008,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,RS,2048.0
2008,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,NUMBER,RS,142.4718448
2008,number_of_general_practitioners,NUMBER,RS,583.0
2008,number_of_population_per_general_practitioner,NUMBER,RS,2465.655232
2008,number_of_midwives,NUMBER,RS,417.0
2008,total_population_(as_per_Public_Health_Institute_or_NSO_reports),NUMBER,RS,1437477.0
2008,male_population,NUMBER,RS,699685.0
2008,female_population,NUMBER,RS,737792.0
2008,total_population_(as_per_Public_Health_Institute_or_NSO_reports),NUMBER,BD,84233.0
2008,male_population,NUMBER,BD,41897.0
2008,female_population,NUMBER,BD,42336.0
2009,number_of_new_cases_of_cervical_cancer,NUMBER,BiH,369.0
2009,number_of_new_cases_of_female_breast_cancer,NUMBER,BiH,963.0
2009,number_of_new_cases_of_syphilis,NUMBER,BiH,10.0
2009,number_of_new_cases_of_gonorrhea,NUMBER,BiH,5.0
2009,number_of_new_cases_of_AIDS_clinically_diagnosed,NUMBER,BiH,2.0
2009,number_of_new_cases_of_HIV,NUMBER,BiH,8.0
2009,number_of_caesarean_sections,NUMBER,BiH,3806.0
2009,number_of_beds_in_hospitals,NUMBER,BiH,12795.0
2009,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,BiH,6369.0
2009,number_of_general_practitioners,NUMBER,BiH,1156.0
2009,number_of_midwives,NUMBER,BiH,1226.0
2009,number_of_new_cases_of_cervical_cancer,NUMBER,FBiH,177.0
2009,number_of_new_cases_of_cervical_cancer_per_100000_female_population,NUMBER,FBiH,14.89272192
2009,number_of_new_cases_of_female_breast_cancer,NUMBER,FBiH,560.0
2009,number_of_new_cases_of_female_breast_cancer_per_100000,NUMBER,FBiH,47.11821624
2009,number_of_new_cases_of_syphilis,NUMBER,FBiH,5.0
2009,number_of_new_cases_of_AIDS_clinically_diagnosed,NUMBER,FBiH,2.0
2009,number_of_new_cases_of_HIV,NUMBER,FBiH,4.0
2009,number_of_new_cases_of_HIV_per_100000_population,NUMBER,FBiH,0.171871657
2009,number_of_caesarean_sections,NUMBER,FBiH,3806.0
2009,number_of_caesarean_sections_per_1000_live_births,NUMBER,FBiH,190.0
2009,number_of_beds_in_hospitals,NUMBER,FBiH,8409.0
2009,number_of_beds_in_hospitals_per_100000_population,NUMBER,FBiH,361.31719
2009,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,FBiH,4268.0
2009,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,NUMBER,FBiH,183.3870575
2009,number_of_general_practitioners,NUMBER,FBiH,527.0
2009,number_of_population_per_general_practitioner,NUMBER,FBiH,4416.163188
2009,number_of_midwives,NUMBER,FBiH,820.0
2009,total_population_(as_per_Public_Health_Institute_or_NSO_reports),NUMBER,FBiH,2327318.0
2009,male_population,NUMBER,FBiH,1138818.0
2009,female_population,NUMBER,FBiH,1188500.0
2009,number_of_new_cases_of_cervical_cancer,NUMBER,RS,192.0
2009,number_of_new_cases_of_cervical_cancer_per_100000_female_population,NUMBER,RS,26.06528267
2009,number_of_new_cases_of_female_breast_cancer,NUMBER,RS,403.0
2009,number_of_new_cases_of_female_breast_cancer_per_100000,NUMBER,RS,54.70994228
2009,number_of_new_cases_of_syphilis,NUMBER,RS,5.0
2009,number_of_new_cases_of_gonorrhea,NUMBER,RS,5.0
2009,number_of_new_cases_of_HIV,NUMBER,RS,4.0
2009,number_of_new_cases_of_HIV_per_100000_population,NUMBER,RS,0.278710879
2009,number_of_beds_in_hospitals,NUMBER,RS,4386.0
2009,number_of_beds_in_hospitals_per_100000_population,NUMBER,RS,305.6064784
2009,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,RS,2101.0
2009,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,NUMBER,RS,146.392889
2009,number_of_general_practitioners,NUMBER,RS,629.0
2009,number_of_population_per_general_practitioner,NUMBER,RS,2281.683625
2009,number_of_midwives,NUMBER,RS,406.0
2009,total_population_(as_per_Public_Health_Institute_or_NSO_reports),NUMBER,RS,1435179.0
2009,male_population,NUMBER,RS,698567.0
2009,female_population,NUMBER,RS,736612.0
2009,total_population_(as_per_Public_Health_Institute_or_NSO_reports),NUMBER,BD,84260.0
2009,male_population,NUMBER,BD,41830.0
2009,female_population,NUMBER,BD,42430.0
2010,number_of_new_cases_of_cervical_cancer,NUMBER,BiH,424.0
2010,number_of_new_cases_of_female_breast_cancer,NUMBER,BiH,876.0
2010,number_of_new_cases_of_syphilis,NUMBER,BiH,22.0
2010,number_of_new_cases_of_gonorrhea,NUMBER,BiH,4.0
2010,number_of_new_cases_of_AIDS_clinically_diagnosed,NUMBER,BiH,6.0
2010,number_of_new_cases_of_HIV,NUMBER,BiH,7.0
2010,number_of_caesarean_sections,NUMBER,BiH,3080.0
2010,number_of_beds_in_hospitals,NUMBER,BiH,12967.0
2010,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,BiH,6540.0
2010,number_of_general_practitioners,NUMBER,BiH,1209.0
2010,number_of_midwives,NUMBER,BiH,1226.0
2010,number_of_new_cases_of_cervical_cancer,NUMBER,FBiH,151.0
2010,number_of_new_cases_of_cervical_cancer_per_100000_female_population,NUMBER,FBiH,12.64888619
2010,number_of_new_cases_of_female_breast_cancer,NUMBER,FBiH,465.0
2010,number_of_new_cases_of_female_breast_cancer_per_100000,NUMBER,FBiH,38.95186806
2010,number_of_new_cases_of_syphilis,NUMBER,FBiH,7.0
2010,number_of_new_cases_of_AIDS_clinically_diagnosed,NUMBER,FBiH,3.0
2010,number_of_new_cases_of_HIV,NUMBER,FBiH,3.0
2010,number_of_new_cases_of_HIV_per_100000_population,NUMBER,FBiH,0.128333462
2010,number_of_caesarean_sections,NUMBER,FBiH,3080.0
2010,number_of_caesarean_sections_per_1000_live_births,NUMBER,FBiH,157.8
2010,number_of_beds_in_hospitals,NUMBER,FBiH,8597.0
2010,number_of_beds_in_hospitals_per_100000_population,NUMBER,FBiH,367.7609233
2010,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,FBiH,4355.0
2010,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,NUMBER,FBiH,186.2974085
2010,number_of_general_practitioners,NUMBER,FBiH,554.0
2010,number_of_population_per_general_practitioner,NUMBER,FBiH,4219.602888
2010,number_of_midwives,NUMBER,FBiH,831.0
2010,total_population_(as_per_Public_Health_Institute_or_NSO_reports),NUMBER,FBiH,2337660.0
2010,male_population,NUMBER,FBiH,1143879.0
2010,female_population,NUMBER,FBiH,1193781.0
2010,number_of_new_cases_of_cervical_cancer,NUMBER,RS,273.0
2010,number_of_new_cases_of_cervical_cancer_per_100000_female_population,NUMBER,RS,37.11690056
2010,number_of_new_cases_of_female_breast_cancer,NUMBER,RS,411.0
2010,number_of_new_cases_of_female_breast_cancer_per_100000,NUMBER,RS,55.87928986
2010,number_of_new_cases_of_syphilis,NUMBER,RS,15.0
2010,number_of_new_cases_of_gonorrhea,NUMBER,RS,4.0
2010,number_of_new_cases_of_AIDS_clinically_diagnosed,NUMBER,RS,3.0
2010,number_of_new_cases_of_HIV,NUMBER,RS,4.0
2010,number_of_new_cases_of_HIV_per_100000_population,NUMBER,RS,0.279127281
2010,number_of_caesarean_sections_per_1000_live_births,NUMBER,RS,204.9
2010,number_of_beds_in_hospitals,NUMBER,RS,4370.0
2010,number_of_beds_in_hospitals_per_100000_population,NUMBER,RS,304.9465541
2010,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,RS,2185.0
2010,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,NUMBER,RS,152.4732771
2010,number_of_general_practitioners,NUMBER,RS,655.0
2010,number_of_population_per_general_practitioner,NUMBER,RS,2187.844275
2010,number_of_midwives,NUMBER,RS,395.0
2010,total_population_(as_per_Public_Health_Institute_or_NSO_reports),NUMBER,RS,1433038.0
2010,male_population,NUMBER,RS,697524.0
2010,female_population,NUMBER,RS,735514.0
2010,total_population_(as_per_Public_Health_Institute_or_NSO_reports),NUMBER,BD,83995.0
2010,male_population,NUMBER,BD,41609.0
2010,female_population,NUMBER,BD,42386.0
2011,number_of_new_cases_of_cervical_cancer,NUMBER,BiH,299.0
2011,number_of_new_cases_of_female_breast_cancer,NUMBER,BiH,852.0
2011,number_of_new_cases_of_syphilis,NUMBER,BiH,30.0
2011,number_of_new_cases_of_gonorrhea,NUMBER,BiH,2.0
2011,number_of_new_cases_of_AIDS_clinically_diagnosed,NUMBER,BiH,7.0
2011,number_of_new_cases_of_HIV,NUMBER,BiH,25.0
2011,number_of_caesarean_sections,NUMBER,BiH,4598.0
2011,number_of_beds_in_hospitals,NUMBER,BiH,13001.0
2011,number_of_medical_doctors_providing_health_care_in_public_institutions,NUMBER,BiH,6729.0
2011,number_of_general_practitioners,NUMBER,BiH,1179.0
2011,number_of_midwives,NUMBER,BiH,1224.0
2011,number_of_new_cases_of_cervical_cancer,NUMBER,FBiH,123.0
2011,number_of_new_cases_of_cervical_cancer_per_100000_female_population,NUMBER,FBiH,10.31430972
2011,number_of_new_cases_of_female_breast_cancer,NUMBER,FBiH,419.0
2011,number_of_new_cases_of_female_breast_cancer_per_100000,NUMBER,FBiH,35.13573799
2011,number_of_new_cases_of_syphilis,NUMBER,FBiH,5.0
2011,number_of_new_cases_of_AIDS_clinically_diagnosed,NUMBER,FBiH,5.0
2011,number_of_new_cases_of_HIV,NUMBER,FBiH,20.0
2011,number_of_new_cases_of_HIV_per_100000_population,NUMBER,FBiH,0.855333216
2011,number_of_caesarean_sections,NUMBER,FBiH,4598.0
2011,number_of_caesarean_sections_per_1000_live_births,NUMBER,FBiH,217.3
