Year,UNIT_MEASURE,Type_of_institution,Spol,Value
2018,Broj,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,M,1682
2018,Broj,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,Ž,1094
2018,Broj,social_welfare_institutions_for_adults_with_disabilities,Oba spola,207
2018,Broj,social_welfare_institutions_for_adults_with_disabilities,M,116
2018,Broj,social_welfare_institutions_for_adults_with_disabilities,Ž,91
2018,Broj,social_welfare_institutions_for_adults,Oba spola,6284
2018,Broj,social_welfare_institutions_for_adults,M,2436
2018,Broj,social_welfare_institutions_for_adults,Ž,3848
2019,Broj,_T,Oba spola,11443
2019,Broj,_T,M,4968
2019,Broj,_T,Ž,6475
2019,Broj,homes_for_children_and_youth_without_parental_care,Oba spola,1121
2019,Broj,homes_for_children_and_youth_without_parental_care,M,607
2019,Broj,homes_for_children_and_youth_without_parental_care,Ž,514
2019,Broj,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,Oba spola,2586
2019,Broj,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,M,1538
2019,Broj,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,Ž,1048
2019,Broj,social_welfare_institutions_for_adults_with_disabilities,Oba spola,283
2019,Broj,social_welfare_institutions_for_adults_with_disabilities,M,168
2019,Broj,social_welfare_institutions_for_adults_with_disabilities,Ž,115
2019,Broj,social_welfare_institutions_for_adults,Oba spola,7453
2019,Broj,social_welfare_institutions_for_adults,M,2655
2019,Broj,social_welfare_institutions_for_adults,Ž,4798
2020,Broj,_T,Oba spola,10902
2020,Broj,_T,M,4687
2020,Broj,_T,Ž,6215
2020,Broj,homes_for_children_and_youth_without_parental_care,Oba spola,1103
2020,Broj,homes_for_children_and_youth_without_parental_care,M,590
2020,Broj,homes_for_children_and_youth_without_parental_care,Ž,513
2020,Broj,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,Oba spola,2434
2020,Broj,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,M,1448
2020,Broj,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,Ž,986
2020,Broj,social_welfare_institutions_for_adults_with_disabilities,Oba spola,282
2020,Broj,social_welfare_institutions_for_adults_with_disabilities,M,182
2020,Broj,social_welfare_institutions_for_adults_with_disabilities,Ž,100
2020,Broj,social_welfare_institutions_for_adults,Oba spola,7083
2020,Broj,social_welfare_institutions_for_adults,M,2467
2020,Broj,social_welfare_institutions_for_adults,Ž,4616
