Year,UNIT_MEASURE,Godine,FERTILITY_RATE,Value
2011,Broj,0-15,age_specific_fertility_rates,0.1
2012,Broj,0-15,age_specific_fertility_rates,0.0
2013,Broj,0-15,age_specific_fertility_rates,0.0
2014,Broj,0-15,age_specific_fertility_rates,0.0
2015,Broj,0-15,age_specific_fertility_rates,0.0
2016,Broj,0-15,age_specific_fertility_rates,0.0
2017,Broj,0-15,age_specific_fertility_rates,0.1
2018,Broj,0-15,age_specific_fertility_rates,0.1
2019,Broj,0-15,age_specific_fertility_rates,0.0
1996,Broj,15-19,age_specific_fertility_rates,30.7
1997,Broj,15-19,age_specific_fertility_rates,36.1
1998,Broj,15-19,age_specific_fertility_rates,26.2
1999,Broj,15-19,age_specific_fertility_rates,19.9
2000,Broj,15-19,age_specific_fertility_rates,16.6
2001,Broj,15-19,age_specific_fertility_rates,17.4
2002,Broj,15-19,age_specific_fertility_rates,18.7
2003,Broj,15-19,age_specific_fertility_rates,17.4
2004,Broj,15-19,age_specific_fertility_rates,17.2
2005,Broj,15-19,age_specific_fertility_rates,16.5
2006,Broj,15-19,age_specific_fertility_rates,16.4
2007,Broj,15-19,age_specific_fertility_rates,15.2
2008,Broj,15-19,age_specific_fertility_rates,15.8
2009,Broj,15-19,age_specific_fertility_rates,14.8
2010,Broj,15-19,age_specific_fertility_rates,13.5
2011,Broj,15-19,age_specific_fertility_rates,12.2
2012,Broj,15-19,age_specific_fertility_rates,12.3
2013,Broj,15-19,age_specific_fertility_rates,11.0
2014,Broj,15-19,age_specific_fertility_rates,10.7
2015,Broj,15-19,age_specific_fertility_rates,10.5
2016,Broj,15-19,age_specific_fertility_rates,11.0
2017,Broj,15-19,age_specific_fertility_rates,9.2
2018,Broj,15-19,age_specific_fertility_rates,9.5
2019,Broj,15-19,age_specific_fertility_rates,9.0
1996,Broj,20-24,age_specific_fertility_rates,107.6
1997,Broj,20-24,age_specific_fertility_rates,122.5
1998,Broj,20-24,age_specific_fertility_rates,113.4
1999,Broj,20-24,age_specific_fertility_rates,96.8
2000,Broj,20-24,age_specific_fertility_rates,89.6
2001,Broj,20-24,age_specific_fertility_rates,87.1
2002,Broj,20-24,age_specific_fertility_rates,83.1
2003,Broj,20-24,age_specific_fertility_rates,81.5
2004,Broj,20-24,age_specific_fertility_rates,81.1
2005,Broj,20-24,age_specific_fertility_rates,77.1
2006,Broj,20-24,age_specific_fertility_rates,73.4
2007,Broj,20-24,age_specific_fertility_rates,68.9
2008,Broj,20-24,age_specific_fertility_rates,66.7
2009,Broj,20-24,age_specific_fertility_rates,64.5
2010,Broj,20-24,age_specific_fertility_rates,59.1
2011,Broj,20-24,age_specific_fertility_rates,54.0
2012,Broj,20-24,age_specific_fertility_rates,59.0
2013,Broj,20-24,age_specific_fertility_rates,52.2
2014,Broj,20-24,age_specific_fertility_rates,48.6
2015,Broj,20-24,age_specific_fertility_rates,46.8
2016,Broj,20-24,age_specific_fertility_rates,55.6
2017,Broj,20-24,age_specific_fertility_rates,53.9
2018,Broj,20-24,age_specific_fertility_rates,51.8
2019,Broj,20-24,age_specific_fertility_rates,50.3
1996,Broj,25-29,age_specific_fertility_rates,96.9
1997,Broj,25-29,age_specific_fertility_rates,93.1
1998,Broj,25-29,age_specific_fertility_rates,91.1
1999,Broj,25-29,age_specific_fertility_rates,84.9
2000,Broj,25-29,age_specific_fertility_rates,82.7
2001,Broj,25-29,age_specific_fertility_rates,79.2
2002,Broj,25-29,age_specific_fertility_rates,76.1
2003,Broj,25-29,age_specific_fertility_rates,75.7
2004,Broj,25-29,age_specific_fertility_rates,76.6
2005,Broj,25-29,age_specific_fertility_rates,77.4
2006,Broj,25-29,age_specific_fertility_rates,76.1
2007,Broj,25-29,age_specific_fertility_rates,83.4
2008,Broj,25-29,age_specific_fertility_rates,86.7
2009,Broj,25-29,age_specific_fertility_rates,88.7
2010,Broj,25-29,age_specific_fertility_rates,85.8
2011,Broj,25-29,age_specific_fertility_rates,82.3
2012,Broj,25-29,age_specific_fertility_rates,97.7
2013,Broj,25-29,age_specific_fertility_rates,91.8
2014,Broj,25-29,age_specific_fertility_rates,88.8
2015,Broj,25-29,age_specific_fertility_rates,86.3
2016,Broj,25-29,age_specific_fertility_rates,80.5
2017,Broj,25-29,age_specific_fertility_rates,79.2
2018,Broj,25-29,age_specific_fertility_rates,81.3
2019,Broj,25-29,age_specific_fertility_rates,76.5
1996,Broj,30-34,age_specific_fertility_rates,59.9
1997,Broj,30-34,age_specific_fertility_rates,55.5
1998,Broj,30-34,age_specific_fertility_rates,51.4
1999,Broj,30-34,age_specific_fertility_rates,47.4
2000,Broj,30-34,age_specific_fertility_rates,44.1
2001,Broj,30-34,age_specific_fertility_rates,41.1
2002,Broj,30-34,age_specific_fertility_rates,45.0
2003,Broj,30-34,age_specific_fertility_rates,46.5
2004,Broj,30-34,age_specific_fertility_rates,46.0
2005,Broj,30-34,age_specific_fertility_rates,47.6
2006,Broj,30-34,age_specific_fertility_rates,49.0
2007,Broj,30-34,age_specific_fertility_rates,59.5
2008,Broj,30-34,age_specific_fertility_rates,62.0
2009,Broj,30-34,age_specific_fertility_rates,66.1
2010,Broj,30-34,age_specific_fertility_rates,66.5
2011,Broj,30-34,age_specific_fertility_rates,65.6
2012,Broj,30-34,age_specific_fertility_rates,70.0
2013,Broj,30-34,age_specific_fertility_rates,69.7
2014,Broj,30-34,age_specific_fertility_rates,71.9
2015,Broj,30-34,age_specific_fertility_rates,72.5
2016,Broj,30-34,age_specific_fertility_rates,70.2
2017,Broj,30-34,age_specific_fertility_rates,72.2
2018,Broj,30-34,age_specific_fertility_rates,70.2
2019,Broj,30-34,age_specific_fertility_rates,67.1
1996,Broj,35-39,age_specific_fertility_rates,28.4
1997,Broj,35-39,age_specific_fertility_rates,23.7
1998,Broj,35-39,age_specific_fertility_rates,23.5
1999,Broj,35-39,age_specific_fertility_rates,19.0
2000,Broj,35-39,age_specific_fertility_rates,18.6
2001,Broj,35-39,age_specific_fertility_rates,16.5
2002,Broj,35-39,age_specific_fertility_rates,18.3
2003,Broj,35-39,age_specific_fertility_rates,18.2
2004,Broj,35-39,age_specific_fertility_rates,18.7
2005,Broj,35-39,age_specific_fertility_rates,17.5
2006,Broj,35-39,age_specific_fertility_rates,16.8
2007,Broj,35-39,age_specific_fertility_rates,20.8
2008,Broj,35-39,age_specific_fertility_rates,21.5
2009,Broj,35-39,age_specific_fertility_rates,22.6
2010,Broj,35-39,age_specific_fertility_rates,24.2
2011,Broj,35-39,age_specific_fertility_rates,23.0
2012,Broj,35-39,age_specific_fertility_rates,25.8
2013,Broj,35-39,age_specific_fertility_rates,25.7
2014,Broj,35-39,age_specific_fertility_rates,26.9
2015,Broj,35-39,age_specific_fertility_rates,27.5
2016,Broj,35-39,age_specific_fertility_rates,29.0
2017,Broj,35-39,age_specific_fertility_rates,31.6
2018,Broj,35-39,age_specific_fertility_rates,31.5
2019,Broj,35-39,age_specific_fertility_rates,31.7
1996,Broj,40-44,age_specific_fertility_rates,5.3
1997,Broj,40-44,age_specific_fertility_rates,5.4
1998,Broj,40-44,age_specific_fertility_rates,5.5
1999,Broj,40-44,age_specific_fertility_rates,4.1
2000,Broj,40-44,age_specific_fertility_rates,4.0
2001,Broj,40-44,age_specific_fertility_rates,3.7
2002,Broj,40-44,age_specific_fertility_rates,4.1
2003,Broj,40-44,age_specific_fertility_rates,3.6
2004,Broj,40-44,age_specific_fertility_rates,3.7
2005,Broj,40-44,age_specific_fertility_rates,3.7
2006,Broj,40-44,age_specific_fertility_rates,3.4
2007,Broj,40-44,age_specific_fertility_rates,3.6
2008,Broj,40-44,age_specific_fertility_rates,4.0
2009,Broj,40-44,age_specific_fertility_rates,3.8
2010,Broj,40-44,age_specific_fertility_rates,3.9
2011,Broj,40-44,age_specific_fertility_rates,3.7
2012,Broj,40-44,age_specific_fertility_rates,4.7
2013,Broj,40-44,age_specific_fertility_rates,4.4
2014,Broj,40-44,age_specific_fertility_rates,4.6
2015,Broj,40-44,age_specific_fertility_rates,4.6
2016,Broj,40-44,age_specific_fertility_rates,5.2
2017,Broj,40-44,age_specific_fertility_rates,5.4
2018,Broj,40-44,age_specific_fertility_rates,5.8
2019,Broj,40-44,age_specific_fertility_rates,5.9
1996,Broj,45-49,age_specific_fertility_rates,0.5
1997,Broj,45-49,age_specific_fertility_rates,0.5
1998,Broj,45-49,age_specific_fertility_rates,0.5
1999,Broj,45-49,age_specific_fertility_rates,0.3
2000,Broj,45-49,age_specific_fertility_rates,0.2
2001,Broj,45-49,age_specific_fertility_rates,0.3
2002,Broj,45-49,age_specific_fertility_rates,0.2
2003,Broj,45-49,age_specific_fertility_rates,0.2
2004,Broj,45-49,age_specific_fertility_rates,0.2
2005,Broj,45-49,age_specific_fertility_rates,0.2
2006,Broj,45-49,age_specific_fertility_rates,0.2
2007,Broj,45-49,age_specific_fertility_rates,0.3
2008,Broj,45-49,age_specific_fertility_rates,0.2
2009,Broj,45-49,age_specific_fertility_rates,0.2
2010,Broj,45-49,age_specific_fertility_rates,0.2
2011,Broj,45-49,age_specific_fertility_rates,0.2
2012,Broj,45-49,age_specific_fertility_rates,0.2
2013,Broj,45-49,age_specific_fertility_rates,0.3
2014,Broj,45-49,age_specific_fertility_rates,0.3
2015,Broj,45-49,age_specific_fertility_rates,0.2
2016,Broj,45-49,age_specific_fertility_rates,0.2
2017,Broj,45-49,age_specific_fertility_rates,0.4
2018,Broj,45-49,age_specific_fertility_rates,0.4
2019,Broj,45-49,age_specific_fertility_rates,0.3
1996,Broj,50+,age_specific_fertility_rates,0.0
1997,Broj,50+,age_specific_fertility_rates,0.0
1998,Broj,50+,age_specific_fertility_rates,0.0
1999,Broj,50+,age_specific_fertility_rates,0.0
2000,Broj,50+,age_specific_fertility_rates,0.0
2001,Broj,50+,age_specific_fertility_rates,0.0
2002,Broj,50+,age_specific_fertility_rates,0.0
2003,Broj,50+,age_specific_fertility_rates,0.0
2004,Broj,50+,age_specific_fertility_rates,0.0
2005,Broj,50+,age_specific_fertility_rates,0.0
2006,Broj,50+,age_specific_fertility_rates,0.0
2007,Broj,50+,age_specific_fertility_rates,0.0
2008,Broj,50+,age_specific_fertility_rates,0.0
2009,Broj,50+,age_specific_fertility_rates,0.0
2010,Broj,50+,age_specific_fertility_rates,0.0
2011,Broj,50+,age_specific_fertility_rates,0.0
2012,Broj,50+,age_specific_fertility_rates,0.0
2013,Broj,50+,age_specific_fertility_rates,0.0
2014,Broj,50+,age_specific_fertility_rates,0.0
2015,Broj,50+,age_specific_fertility_rates,0.0
2016,Broj,50+,age_specific_fertility_rates,0.0
2017,Broj,50+,age_specific_fertility_rates,0.0
2018,Broj,50+,age_specific_fertility_rates,0.0
2019,Broj,50+,age_specific_fertility_rates,0.0
