Year,Spol,Uzrok smrti (prema šiframa bolesti po MKB-10),UNIT_MEASURE,Value
2001,Ž,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,12
2001,Ž,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,8
2001,Ž,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,197
2001,Ž,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,1
2001,Ž,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,79
2001,Ž,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,25
2001,Ž,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,1394
2001,Ž,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,249
2001,Ž,(V01-Y98) Vanjski uzroci smrtnosti,Broj,55
2001,Ž,(Z00-Z99) Faktori koji utječu na zdravstveno stanje i kontakt sa zdravstvenom službom,Broj,1
2001,Ž,Nepoznato,Broj,427
2001,Ž,Ukupno,Broj,14123
2002,Oba spola,(A00-B99) Zarazne i parazitarne bolesti,Broj,263
2002,Oba spola,"(C00-C97,D00-D48) Neoplazme",Broj,5288
2002,Oba spola,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,19
2002,Oba spola,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,862
2002,Oba spola,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,66
2002,Oba spola,(G00-G99) Bolesti nervnog sistema,Broj,157
2002,Oba spola,"(H00-H93) Bolesti oka, uha i adneksa",Broj,1
2002,Oba spola,(I00-I99) Bolesti cirkulacijskog sistema,Broj,16007
2002,Oba spola,(J00-J99) Bolesti respiratornog sistema,Broj,817
2002,Oba spola,(K00-K93) Bolesti digestivnog sistema,Broj,820
2002,Oba spola,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,17
2002,Oba spola,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,10
2002,Oba spola,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,219
2002,Oba spola,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,3
2002,Oba spola,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,226
2002,Oba spola,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,56
2002,Oba spola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,2983
2002,Oba spola,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,984
2002,Oba spola,(V01-Y98) Vanjski uzroci smrtnosti,Broj,242
2002,Oba spola,(Z00-Z99) Faktori koji utječu na zdravstveno stanje i kontakt sa zdravstvenom službom,Broj,1
2002,Oba spola,Nepoznato,Broj,1790
2002,Oba spola,Ukupno,Broj,30831
2002,M,(A00-B99) Zarazne i parazitarne bolesti,Broj,160
2002,M,"(C00-C97,D00-D48) Neoplazme",Broj,3201
2002,M,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,11
2002,M,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,300
2002,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,39
2002,M,(G00-G99) Bolesti nervnog sistema,Broj,87
2002,M,"(H00-H93) Bolesti oka, uha i adneksa",Broj,1
2002,M,(I00-I99) Bolesti cirkulacijskog sistema,Broj,7544
2002,M,(J00-J99) Bolesti respiratornog sistema,Broj,478
2002,M,(K00-K93) Bolesti digestivnog sistema,Broj,495
2002,M,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,3
2002,M,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,2
2002,M,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,120
2002,M,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,128
2002,M,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,32
2002,M,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,1535
2002,M,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,751
2002,M,(V01-Y98) Vanjski uzroci smrtnosti,Broj,180
2002,M,(Z00-Z99) Faktori koji utječu na zdravstveno stanje i kontakt sa zdravstvenom službom,Broj,1
2002,M,Nepoznato,Broj,965
2002,M,Ukupno,Broj,16033
2002,Ž,(A00-B99) Zarazne i parazitarne bolesti,Broj,103
2002,Ž,"(C00-C97,D00-D48) Neoplazme",Broj,2087
2002,Ž,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,8
2002,Ž,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,562
2002,Ž,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,27
2002,Ž,(G00-G99) Bolesti nervnog sistema,Broj,70
2002,Ž,(I00-I99) Bolesti cirkulacijskog sistema,Broj,8463
2002,Ž,(J00-J99) Bolesti respiratornog sistema,Broj,339
2002,Ž,(K00-K93) Bolesti digestivnog sistema,Broj,325
2002,Ž,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,14
2002,Ž,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,8
2002,Ž,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,99
2002,Ž,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,3
2002,Ž,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,98
2002,Ž,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,24
2002,Ž,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,1448
2002,Ž,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,233
2002,Ž,(V01-Y98) Vanjski uzroci smrtnosti,Broj,62
2002,Ž,Nepoznato,Broj,825
2002,Ž,Ukupno,Broj,14798
2003,Oba spola,"(C00-C97,D00-D48) Neoplazme",Broj,5771
2003,Oba spola,(I00-I99) Bolesti cirkulacijskog sistema,Broj,16990
2003,Oba spola,(J00-J99) Bolesti respiratornog sistema,Broj,876
2003,Oba spola,(K00-K93) Bolesti digestivnog sistema,Broj,810
2003,Oba spola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,3166
2003,Oba spola,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,950
2003,Oba spola,Nepoznato,Broj,770
2003,Oba spola,Ukupno,Broj,29333
2003,M,"(C00-C97,D00-D48) Neoplazme",Broj,3499
2003,M,(I00-I99) Bolesti cirkulacijskog sistema,Broj,8001
2003,M,(J00-J99) Bolesti respiratornog sistema,Broj,542
2003,M,(K00-K93) Bolesti digestivnog sistema,Broj,499
2003,M,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,1612
2003,M,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,706
2003,M,Nepoznato,Broj,424
2003,M,Ukupno,Broj,15283
2003,Ž,"(C00-C97,D00-D48) Neoplazme",Broj,2272
2003,Ž,(I00-I99) Bolesti cirkulacijskog sistema,Broj,8989
2003,Ž,(J00-J99) Bolesti respiratornog sistema,Broj,334
2003,Ž,(K00-K93) Bolesti digestivnog sistema,Broj,311
2003,Ž,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,1554
2003,Ž,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,244
2003,Ž,Nepoznato,Broj,346
2003,Ž,Ukupno,Broj,14050
2004,Oba spola,(A00-B99) Zarazne i parazitarne bolesti,Broj,255
2004,Oba spola,"(C00-C97,D00-D48) Neoplazme",Broj,5709
2004,Oba spola,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,31
2004,Oba spola,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,993
2004,Oba spola,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,104
2004,Oba spola,(G00-G99) Bolesti nervnog sistema,Broj,251
2004,Oba spola,(I00-I99) Bolesti cirkulacijskog sistema,Broj,17700
2004,Oba spola,(J00-J99) Bolesti respiratornog sistema,Broj,907
2004,Oba spola,(K00-K93) Bolesti digestivnog sistema,Broj,839
2004,Oba spola,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,11
2004,Oba spola,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,16
2004,Oba spola,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,467
2004,Oba spola,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,1
2004,Oba spola,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,163
2004,Oba spola,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,42
2004,Oba spola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,2723
2004,Oba spola,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,920
2004,Oba spola,(V01-Y98) Vanjski uzroci smrtnosti,Broj,273
2004,Oba spola,(Z00-Z99) Faktori koji utječu na zdravstveno stanje i kontakt sa zdravstvenom službom,Broj,1
2004,Oba spola,Nepoznato,Broj,1210
2004,Oba spola,Ukupno,Broj,32616
2004,M,(A00-B99) Zarazne i parazitarne bolesti,Broj,152
2004,M,"(C00-C97,D00-D48) Neoplazme",Broj,3398
2004,M,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,10
2004,M,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,377
2004,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,80
2004,M,(G00-G99) Bolesti nervnog sistema,Broj,126
2004,M,(I00-I99) Bolesti cirkulacijskog sistema,Broj,8262
2004,M,(J00-J99) Bolesti respiratornog sistema,Broj,551
2004,M,(K00-K93) Bolesti digestivnog sistema,Broj,498
2004,M,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,2
2004,M,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,9
2004,M,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,248
2004,M,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,101
2004,M,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,26
2004,M,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,1399
2004,M,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,691
2004,M,(V01-Y98) Vanjski uzroci smrtnosti,Broj,198
2004,M,(Z00-Z99) Faktori koji utječu na zdravstveno stanje i kontakt sa zdravstvenom službom,Broj,1
2004,M,Nepoznato,Broj,651
2004,M,Ukupno,Broj,16780
2004,Ž,(A00-B99) Zarazne i parazitarne bolesti,Broj,103
2004,Ž,"(C00-C97,D00-D48) Neoplazme",Broj,2311
2004,Ž,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,21
2004,Ž,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,616
2004,Ž,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,24
2004,Ž,(G00-G99) Bolesti nervnog sistema,Broj,125
2004,Ž,(I00-I99) Bolesti cirkulacijskog sistema,Broj,9438
2004,Ž,(J00-J99) Bolesti respiratornog sistema,Broj,356
2004,Ž,(K00-K93) Bolesti digestivnog sistema,Broj,341
2004,Ž,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,9
2004,Ž,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,7
2004,Ž,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,219
2004,Ž,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,1
2004,Ž,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,62
2004,Ž,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,16
2004,Ž,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,1324
2004,Ž,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,229
2004,Ž,(V01-Y98) Vanjski uzroci smrtnosti,Broj,75
2004,Ž,Nepoznato,Broj,559
2004,Ž,Ukupno,Broj,15836
2005,Oba spola,"(C00-C97,D00-D48) Neoplazme",Broj,6255
2005,Oba spola,(I00-I99) Bolesti cirkulacijskog sistema,Broj,17915
2005,Oba spola,(J00-J99) Bolesti respiratornog sistema,Broj,1242
2005,Oba spola,(K00-K93) Bolesti digestivnog sistema,Broj,818
2005,Oba spola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,2394
2005,Oba spola,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,952
2005,Oba spola,Ukupno,Broj,29576
2005,M,"(C00-C97,D00-D48) Neoplazme",Broj,3766
2005,M,(I00-I99) Bolesti cirkulacijskog sistema,Broj,8559
2005,M,(J00-J99) Bolesti respiratornog sistema,Broj,726
2005,M,(K00-K93) Bolesti digestivnog sistema,Broj,491
2005,M,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,1312
2005,M,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,718
2005,M,Ukupno,Broj,15572
2005,Ž,"(C00-C97,D00-D48) Neoplazme",Broj,2489
2005,Ž,(I00-I99) Bolesti cirkulacijskog sistema,Broj,9356
2005,Ž,(J00-J99) Bolesti respiratornog sistema,Broj,516
2005,Ž,(K00-K93) Bolesti digestivnog sistema,Broj,327
2005,Ž,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,1082
2005,Ž,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,234
2005,Ž,Ukupno,Broj,14004
2006,Oba spola,(A00-B99) Zarazne i parazitarne bolesti,Broj,237
2006,Oba spola,"(C00-C97,D00-D48) Neoplazme",Broj,6252
2006,Oba spola,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,20
2006,Oba spola,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,1537
2006,Oba spola,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,118
2006,Oba spola,(G00-G99) Bolesti nervnog sistema,Broj,298
2006,Oba spola,"(H00-H93) Bolesti oka, uha i adneksa",Broj,1
2006,Oba spola,(I00-I99) Bolesti cirkulacijskog sistema,Broj,16967
2006,Oba spola,(J00-J99) Bolesti respiratornog sistema,Broj,1132
2006,Oba spola,(K00-K93) Bolesti digestivnog sistema,Broj,826
2006,Oba spola,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,11
2006,Oba spola,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,16
2006,Oba spola,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,547
2006,Oba spola,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,3
2006,Oba spola,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,185
2006,Oba spola,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,56
2006,Oba spola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,2744
2006,Oba spola,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,1017
2006,Oba spola,(V01-Y98) Vanjski uzroci smrtnosti,Broj,212
2006,Oba spola,(Z00-Z99) Faktori koji utječu na zdravstveno stanje i kontakt sa zdravstvenom službom,Broj,1
2006,Oba spola,Nepoznato,Broj,1041
2006,Oba spola,Ukupno,Broj,33221
2006,M,(A00-B99) Zarazne i parazitarne bolesti,Broj,147
2006,M,"(C00-C97,D00-D48) Neoplazme",Broj,3697
2006,M,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,9
2006,M,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,598
2006,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,88
2006,M,(G00-G99) Bolesti nervnog sistema,Broj,174
2006,M,(I00-I99) Bolesti cirkulacijskog sistema,Broj,7941
2006,M,(J00-J99) Bolesti respiratornog sistema,Broj,677
2006,M,(K00-K93) Bolesti digestivnog sistema,Broj,493
2006,M,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,6
2006,M,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,3
2006,M,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,293
2006,M,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,118
2006,M,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,32
2006,M,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,1527
2006,M,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,775
2006,M,(V01-Y98) Vanjski uzroci smrtnosti,Broj,152
2006,M,Nepoznato,Broj,578
2006,M,Ukupno,Broj,17308
2006,Ž,(A00-B99) Zarazne i parazitarne bolesti,Broj,90
2006,Ž,"(C00-C97,D00-D48) Neoplazme",Broj,2555
2006,Ž,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,11
2006,Ž,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,939
2006,Ž,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,30
2006,Ž,(G00-G99) Bolesti nervnog sistema,Broj,124
2006,Ž,"(H00-H93) Bolesti oka, uha i adneksa",Broj,1
2006,Ž,(I00-I99) Bolesti cirkulacijskog sistema,Broj,9026
2006,Ž,(J00-J99) Bolesti respiratornog sistema,Broj,455
2006,Ž,(K00-K93) Bolesti digestivnog sistema,Broj,333
2006,Ž,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,5
2006,Ž,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,13
2006,Ž,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,254
2006,Ž,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,3
2006,Ž,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,67
2006,Ž,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,24
2006,Ž,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,1217
2006,Ž,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,242
2006,Ž,(V01-Y98) Vanjski uzroci smrtnosti,Broj,60
2006,Ž,(Z00-Z99) Faktori koji utječu na zdravstveno stanje i kontakt sa zdravstvenom službom,Broj,1
2006,Ž,Nepoznato,Broj,463
2006,Ž,Ukupno,Broj,15913
2007,Oba spola,(A00-B99) Zarazne i parazitarne bolesti,Broj,250
2007,Oba spola,"(C00-C97,D00-D48) Neoplazme",Broj,6713
2007,Oba spola,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,54
2007,Oba spola,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,1582
2007,Oba spola,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,162
