Year,Spol,Administrativna oblast,UNIT_MEASURE,Value
2005,Oba spola,Federacija BiH,Starosna dob,69.1
2006,Oba spola,Federacija BiH,Starosna dob,69.0
2007,Oba spola,Federacija BiH,Starosna dob,69.3
2008,Oba spola,Federacija BiH,Starosna dob,69.5
2009,Oba spola,Federacija BiH,Starosna dob,70.2
2010,Oba spola,Federacija BiH,Starosna dob,70.5
2011,Oba spola,Federacija BiH,Starosna dob,70.8
2012,Oba spola,Federacija BiH,Starosna dob,71.3
2013,Oba spola,Federacija BiH,Starosna dob,71.6
2014,Oba spola,Federacija BiH,Starosna dob,72.0
2015,Oba spola,Federacija BiH,Starosna dob,72.3
2016,Oba spola,Federacija BiH,Starosna dob,72.3
2017,Oba spola,Federacija BiH,Starosna dob,72.5
2018,Oba spola,Federacija BiH,Starosna dob,73.0
2019,Oba spola,Federacija BiH,Starosna dob,73.0
1997,M,Federacija BiH,Starosna dob,61.6
1998,M,Federacija BiH,Starosna dob,61.3
1999,M,Federacija BiH,Starosna dob,63.2
2000,M,Federacija BiH,Starosna dob,64.1
2001,M,Federacija BiH,Starosna dob,64.5
2002,M,Federacija BiH,Starosna dob,64.6
2003,M,Federacija BiH,Starosna dob,65.5
2004,M,Federacija BiH,Starosna dob,66.0
2005,M,Federacija BiH,Starosna dob,66.4
2006,M,Federacija BiH,Starosna dob,66.5
2007,M,Federacija BiH,Starosna dob,66.8
2008,M,Federacija BiH,Starosna dob,66.7
2009,M,Federacija BiH,Starosna dob,67.5
2010,M,Federacija BiH,Starosna dob,67.7
2011,M,Federacija BiH,Starosna dob,68.2
2012,M,Federacija BiH,Starosna dob,68.9
2013,M,Federacija BiH,Starosna dob,69.0
2014,M,Federacija BiH,Starosna dob,69.4
2015,M,Federacija BiH,Starosna dob,69.6
2016,M,Federacija BiH,Starosna dob,69.7
2017,M,Federacija BiH,Starosna dob,70.1
2018,M,Federacija BiH,Starosna dob,70.5
2019,M,Federacija BiH,Starosna dob,70.5
1997,Ž,Federacija BiH,Starosna dob,67.5
1998,Ž,Federacija BiH,Starosna dob,66.8
1999,Ž,Federacija BiH,Starosna dob,68.5
2000,Ž,Federacija BiH,Starosna dob,69.3
2001,Ž,Federacija BiH,Starosna dob,69.9
2002,Ž,Federacija BiH,Starosna dob,70.3
2003,Ž,Federacija BiH,Starosna dob,71.1
2004,Ž,Federacija BiH,Starosna dob,71.3
2005,Ž,Federacija BiH,Starosna dob,72.0
2006,Ž,Federacija BiH,Starosna dob,71.7
2007,Ž,Federacija BiH,Starosna dob,72.0
2008,Ž,Federacija BiH,Starosna dob,72.5
2009,Ž,Federacija BiH,Starosna dob,73.0
2010,Ž,Federacija BiH,Starosna dob,73.3
2011,Ž,Federacija BiH,Starosna dob,73.7
2012,Ž,Federacija BiH,Starosna dob,74.1
2013,Ž,Federacija BiH,Starosna dob,74.3
2014,Ž,Federacija BiH,Starosna dob,74.7
2015,Ž,Federacija BiH,Starosna dob,75.0
2016,Ž,Federacija BiH,Starosna dob,74.9
2017,Ž,Federacija BiH,Starosna dob,75.0
2018,Ž,Federacija BiH,Starosna dob,75.5
2019,Ž,Federacija BiH,Starosna dob,75.6
2010,Oba spola,Republika Srpska,Starosna dob,72.1
2011,Oba spola,Republika Srpska,Starosna dob,72.5
2012,Oba spola,Republika Srpska,Starosna dob,73.0
2013,Oba spola,Republika Srpska,Starosna dob,73.0
2014,Oba spola,Republika Srpska,Starosna dob,73.0
2015,Oba spola,Republika Srpska,Starosna dob,73.7
2016,Oba spola,Republika Srpska,Starosna dob,73.8
2017,Oba spola,Republika Srpska,Starosna dob,74.5
2018,Oba spola,Republika Srpska,Starosna dob,74.5
2019,Oba spola,Republika Srpska,Starosna dob,74.5
1998,M,Republika Srpska,Starosna dob,64.9
2000,M,Republika Srpska,Starosna dob,65.2
2001,M,Republika Srpska,Starosna dob,66.5
2002,M,Republika Srpska,Starosna dob,66.3
2003,M,Republika Srpska,Starosna dob,67.0
2004,M,Republika Srpska,Starosna dob,67.0
2005,M,Republika Srpska,Starosna dob,67.3
2006,M,Republika Srpska,Starosna dob,67.6
2007,M,Republika Srpska,Starosna dob,68.2
2008,M,Republika Srpska,Starosna dob,68.3
2009,M,Republika Srpska,Starosna dob,68.9
2010,M,Republika Srpska,Starosna dob,69.4
2011,M,Republika Srpska,Starosna dob,69.6
2012,M,Republika Srpska,Starosna dob,70.1
2013,M,Republika Srpska,Starosna dob,70.1
2014,M,Republika Srpska,Starosna dob,70.5
2015,M,Republika Srpska,Starosna dob,71.0
2016,M,Republika Srpska,Starosna dob,71.0
2017,M,Republika Srpska,Starosna dob,71.6
2018,M,Republika Srpska,Starosna dob,71.6
2019,Ž,Republika Srpska,Starosna dob,71.7
1998,Ž,Republika Srpska,Starosna dob,70.8
2000,Ž,Republika Srpska,Starosna dob,71.2
2001,Ž,Republika Srpska,Starosna dob,71.3
2002,Ž,Republika Srpska,Starosna dob,72.0
2003,Ž,Republika Srpska,Starosna dob,72.0
2004,Ž,Republika Srpska,Starosna dob,72.0
2005,Ž,Republika Srpska,Starosna dob,72.5
2006,Ž,Republika Srpska,Starosna dob,73.1
2007,Ž,Republika Srpska,Starosna dob,74.0
2008,Ž,Republika Srpska,Starosna dob,74.3
2009,Ž,Republika Srpska,Starosna dob,74.4
2010,Ž,Republika Srpska,Starosna dob,74.9
2011,Ž,Republika Srpska,Starosna dob,75.5
2012,Ž,Republika Srpska,Starosna dob,76.1
2013,Ž,Republika Srpska,Starosna dob,76.0
2014,Ž,Republika Srpska,Starosna dob,76.1
2015,Ž,Republika Srpska,Starosna dob,76.5
2016,Ž,Republika Srpska,Starosna dob,76.9
2017,Ž,Republika Srpska,Starosna dob,77.4
2018,Ž,Republika Srpska,Starosna dob,77.4
2019,Ž,Republika Srpska,Starosna dob,77.4
2004,Oba spola,Brčko distrikt BiH,Starosna dob,70.6
2005,Oba spola,Brčko distrikt BiH,Starosna dob,71.2
2006,Oba spola,Brčko distrikt BiH,Starosna dob,71.5
2007,Oba spola,Brčko distrikt BiH,Starosna dob,70.3
2008,Oba spola,Brčko distrikt BiH,Starosna dob,70.7
2009,Oba spola,Brčko distrikt BiH,Starosna dob,71.5
2010,Oba spola,Brčko distrikt BiH,Starosna dob,72.1
2011,Oba spola,Brčko distrikt BiH,Starosna dob,73.3
2012,Oba spola,Brčko distrikt BiH,Starosna dob,70.9
2013,Oba spola,Brčko distrikt BiH,Starosna dob,73.2
2014,Oba spola,Brčko distrikt BiH,Starosna dob,71.7
2015,Oba spola,Brčko distrikt BiH,Starosna dob,76.2
2016,Oba spola,Brčko distrikt BiH,Starosna dob,75.3
2017,Oba spola,Brčko distrikt BiH,Starosna dob,75.5
2018,Oba spola,Brčko distrikt BiH,Starosna dob,75.2
2019,Oba spola,Brčko distrikt BiH,Starosna dob,75.8
2004,M,Brčko distrikt BiH,Starosna dob,68.1
2005,M,Brčko distrikt BiH,Starosna dob,68.4
2006,M,Brčko distrikt BiH,Starosna dob,68.5
2007,M,Brčko distrikt BiH,Starosna dob,67.7
2008,M,Brčko distrikt BiH,Starosna dob,67.1
2009,M,Brčko distrikt BiH,Starosna dob,70.6
2010,M,Brčko distrikt BiH,Starosna dob,69.8
2011,M,Brčko distrikt BiH,Starosna dob,69.9
2012,M,Brčko distrikt BiH,Starosna dob,69.1
2013,M,Brčko distrikt BiH,Starosna dob,70.8
2014,M,Brčko distrikt BiH,Starosna dob,69.1
2015,M,Brčko distrikt BiH,Starosna dob,74.8
2016,M,Brčko distrikt BiH,Starosna dob,72.9
2017,M,Brčko distrikt BiH,Starosna dob,73.5
2018,M,Brčko distrikt BiH,Starosna dob,71.1
2019,M,Brčko distrikt BiH,Starosna dob,74.0
2004,Ž,Brčko distrikt BiH,Starosna dob,73.2
2005,Ž,Brčko distrikt BiH,Starosna dob,74.1
2006,Ž,Brčko distrikt BiH,Starosna dob,74.8
2007,Ž,Brčko distrikt BiH,Starosna dob,73.0
2008,Ž,Brčko distrikt BiH,Starosna dob,74.7
2009,Ž,Brčko distrikt BiH,Starosna dob,74.3
2010,Ž,Brčko distrikt BiH,Starosna dob,75.0
2011,Ž,Brčko distrikt BiH,Starosna dob,75.7
2012,Ž,Brčko distrikt BiH,Starosna dob,72.6
2013,Ž,Brčko distrikt BiH,Starosna dob,75.7
2014,Ž,Brčko distrikt BiH,Starosna dob,74.4
2015,Ž,Brčko distrikt BiH,Starosna dob,77.7
2016,Ž,Brčko distrikt BiH,Starosna dob,78.1
2017,Ž,Brčko distrikt BiH,Starosna dob,77.5
2018,Ž,Brčko distrikt BiH,Starosna dob,77.3
2019,Ž,Brčko distrikt BiH,Starosna dob,77.6
