Year,UNIT_MEASURE,Spol,Nivo obrazovanja,Value
1991,Broj,M,Bez obrazovanja,98420.0
1991,% od ukupno,M,Bez obrazovanja,2.94
1991,Broj,Ž,Bez obrazovanja,372762.0
1991,% od ukupno,Ž,Bez obrazovanja,11.13
1991,Broj,Oba spola,Specijalizacija nakon završene srednje škole,0.0
1991,% od ukupno,Oba spola,Specijalizacija nakon završene srednje škole,0.0
1991,Broj,M,Specijalizacija nakon završene srednje škole,0.0
1991,% od ukupno,M,Specijalizacija nakon završene srednje škole,0.0
1991,Broj,Ž,Specijalizacija nakon završene srednje škole,0.0
1991,% od ukupno,Ž,Specijalizacija nakon završene srednje škole,0.0
2013,Broj,Oba spola,Nepotpuno osnovno obrazovanje,274036.0
2013,% od ukupno,Oba spola,Nepotpuno osnovno obrazovanje,9.17
2013,Broj,M,Nepotpuno osnovno obrazovanje,83216.0
2013,% od ukupno,M,Nepotpuno osnovno obrazovanje,2.79
2013,Broj,Ž,Nepotpuno osnovno obrazovanje,190820.0
2013,% od ukupno,Ž,Nepotpuno osnovno obrazovanje,6.39
2013,Broj,Oba spola,Osnovna škola,640726.0
2013,% od ukupno,Oba spola,Osnovna škola,21.45
2013,Broj,M,Osnovna škola,274258.0
2013,% od ukupno,M,Osnovna škola,9.18
2013,Broj,Ž,Osnovna škola,366468.0
2013,% od ukupno,Ž,Osnovna škola,12.27
2013,Broj,Oba spola,Srednja škola,1525161.0
2013,% od ukupno,Oba spola,Srednja škola,51.05
2013,Broj,M,Srednja škola,864823.0
2013,% od ukupno,M,Srednja škola,28.95
2013,Broj,Ž,Srednja škola,660338.0
2013,% od ukupno,Ž,Srednja škola,22.1
2013,Broj,Oba spola,Visoko obrazovanje i prva godina fakulteta,94204.0
2013,% od ukupno,Oba spola,Visoko obrazovanje i prva godina fakulteta,3.15
2013,Broj,M,Visoko obrazovanje i prva godina fakulteta,51556.0
2013,% od ukupno,M,Visoko obrazovanje i prva godina fakulteta,1.73
2013,Broj,Ž,Visoko obrazovanje i prva godina fakulteta,42648.0
2013,% od ukupno,Ž,Visoko obrazovanje i prva godina fakulteta,1.43
2013,Broj,Oba spola,Napredne škole /fakultet /akademija /univerzitet,285622.0
2013,% od ukupno,Oba spola,Napredne škole /fakultet /akademija /univerzitet,9.56
2013,Broj,M,Napredne škole /fakultet /akademija /univerzitet,137543.0
2013,% od ukupno,M,Napredne škole /fakultet /akademija /univerzitet,4.6
2013,Broj,Ž,Napredne škole /fakultet /akademija /univerzitet,148079.0
2013,% od ukupno,Ž,Napredne škole /fakultet /akademija /univerzitet,4.96
2013,Broj,Oba spola,Bez obrazovanja,146078.0
2013,% od ukupno,Oba spola,Bez obrazovanja,4.89
2013,Broj,M,Bez obrazovanja,24021.0
2013,% od ukupno,M,Bez obrazovanja,0.8
2013,Broj,Ž,Bez obrazovanja,122057.0
2013,% od ukupno,Ž,Bez obrazovanja,4.09
2013,Broj,Oba spola,Specijalizacija nakon završene srednje škole,21613.0
2013,% od ukupno,Oba spola,Specijalizacija nakon završene srednje škole,0.72
2013,Broj,M,Specijalizacija nakon završene srednje škole,17877.0
2013,% od ukupno,M,Specijalizacija nakon završene srednje škole,0.6
2013,Broj,Ž,Specijalizacija nakon završene srednje škole,3736.0
2013,% od ukupno,Ž,Specijalizacija nakon završene srednje škole,0.13
