Year,Uzrok smrti (prema šiframa bolesti po MKB-10),UNIT_MEASURE,Value
2007,(A00-B99) Zarazne i parazitarne bolesti,Broj,6.51
2007,"(C00-C97,D00-D48) Neoplazme",Broj,175.0
2007,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,1.41
2007,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,41.0
2007,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,4.22
2007,(G00-G99) Bolesti nervnog sistema,Broj,8.0
2007,"(H00-H93) Bolesti oka, uha i adneksa",Broj,0.03
2007,(I00-I99) Bolesti cirkulacijskog sistema,Broj,482.0
2007,(J00-J99) Bolesti respiratornog sistema,Broj,29.8
2007,(K00-K93) Bolesti digestivnog sistema,Broj,24.0
2007,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,0.26
2007,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,1.0
2007,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,14.52
2007,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,3.46
2007,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,1.41
2007,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,57.76
2007,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,26.81
2007,(V01-Y98) Vanjski uzroci smrtnosti,Broj,6.95
2007,Nepoznato,Broj,28.01
2008,(A00-B99) Zarazne i parazitarne bolesti,Broj,7.16
2008,"(C00-C97,D00-D48) Neoplazme",Broj,175.0
2008,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,0.96
2008,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,41.0
2008,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,4.4
2008,(G00-G99) Bolesti nervnog sistema,Broj,7.0
2008,"(H00-H93) Bolesti oka, uha i adneksa",Broj,0.03
2008,(I00-I99) Bolesti cirkulacijskog sistema,Broj,468.0
2008,(J00-J99) Bolesti respiratornog sistema,Broj,26.94
2008,(K00-K93) Bolesti digestivnog sistema,Broj,22.0
2008,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,0.26
2008,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,1.0
2008,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,14.86
2008,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,3.54
2008,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,1.59
2008,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,52.79
2008,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,31.23
2008,(V01-Y98) Vanjski uzroci smrtnosti,Broj,0.05
2008,Nepoznato,Broj,27.04
2009,(A00-B99) Zarazne i parazitarne bolesti,Broj,7.47
2009,"(C00-C97,D00-D48) Neoplazme",Broj,181.0
2009,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,1.07
2009,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,52.0
2009,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,4.97
2009,(G00-G99) Bolesti nervnog sistema,Broj,8.0
2009,(I00-I99) Bolesti cirkulacijskog sistema,Broj,476.0
2009,(J00-J99) Bolesti respiratornog sistema,Broj,29.48
2009,(K00-K93) Bolesti digestivnog sistema,Broj,24.0
2009,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,0.23
2009,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,1.0
2009,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,15.3
2009,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,3.75
2009,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,1.59
2009,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,51.65
2009,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,32.68
2009,(V01-Y98) Vanjski uzroci smrtnosti,Broj,0.05
2009,(Z00-Z99) Faktori koji utječu na zdravstveno stanje i kontakt sa zdravstvenom službom,Broj,0.05
2009,Nepoznato,Broj,16.91
2010,(A00-B99) Zarazne i parazitarne bolesti,Broj,7.42
2010,"(C00-C97,D00-D48) Neoplazme",Broj,181.0
2010,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,1.17
2010,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,50.0
2010,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,4.45
2010,(G00-G99) Bolesti nervnog sistema,Broj,9.0
2010,"(H00-H93) Bolesti oka, uha i adneksa",Broj,0.05
2010,(I00-I99) Bolesti cirkulacijskog sistema,Broj,489.0
2010,(J00-J99) Bolesti respiratornog sistema,Broj,29.79
2010,(K00-K93) Bolesti digestivnog sistema,Broj,24.0
2010,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,0.36
2010,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,1.0
2010,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,15.01
2010,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,3.59
2010,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,1.64
2010,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,49.86
2010,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,29.07
2010,(V01-Y98) Vanjski uzroci smrtnosti,Broj,0.39
2010,Nepoznato,Broj,16.6
2011,(A00-B99) Zarazne i parazitarne bolesti,Broj,7.76
2011,"(C00-C97,D00-D48) Neoplazme",Broj,188.0
2011,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,1.54
2011,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,51.0
2011,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,4.19
2011,(G00-G99) Bolesti nervnog sistema,Broj,11.0
2011,(I00-I99) Bolesti cirkulacijskog sistema,Broj,481.0
2011,(J00-J99) Bolesti respiratornog sistema,Broj,33.36
2011,(K00-K93) Bolesti digestivnog sistema,Broj,23.0
2011,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,0.31
2011,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,1.0
2011,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,14.35
2011,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,3.07
2011,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,1.51
2011,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,43.36
2011,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,30.26
2011,(V01-Y98) Vanjski uzroci smrtnosti,Broj,0.36
2011,(Z00-Z99) Faktori koji utječu na zdravstveno stanje i kontakt sa zdravstvenom službom,Broj,0.03
2011,Nepoznato,Broj,18.1
2012,(A00-B99) Zarazne i parazitarne bolesti,Broj,8.97
2012,"(C00-C97,D00-D48) Neoplazme",Broj,198.0
2012,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,1.23
2012,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,50.0
2012,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,4.17
2012,(G00-G99) Bolesti nervnog sistema,Broj,11.0
2012,"(H00-H93) Bolesti oka, uha i adneksa",Broj,0.03
2012,(I00-I99) Bolesti cirkulacijskog sistema,Broj,502.0
2012,(J00-J99) Bolesti respiratornog sistema,Broj,33.0
2012,(K00-K93) Bolesti digestivnog sistema,Broj,25.0
2012,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,0.34
2012,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,1.0
2012,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,15.67
2012,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,2.89
2012,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,1.04
2012,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,31.47
2012,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,27.82
2012,Nepoznato,Broj,19.29
2013,(A00-B99) Zarazne i parazitarne bolesti,Broj,7.59
2013,"(C00-C97,D00-D48) Neoplazme",Broj,213.0
2013,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,1.42
2013,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,56.0
2013,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,5.44
2013,(G00-G99) Bolesti nervnog sistema,Broj,11.0
2013,(I00-I99) Bolesti cirkulacijskog sistema,Broj,515.0
2013,(J00-J99) Bolesti respiratornog sistema,Broj,40.44
2013,(K00-K93) Bolesti digestivnog sistema,Broj,27.0
2013,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,0.88
2013,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,2.0
2013,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,16.45
2013,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,2.86
2013,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,1.08
2013,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,59.67
2013,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,29.0
2013,(V01-Y98) Vanjski uzroci smrtnosti,Broj,0.11
2013,Nepoznato,Broj,22.15
2014,(A00-B99) Zarazne i parazitarne bolesti,Broj,8.25
2014,"(C00-C97,D00-D48) Neoplazme",Broj,222.0
2014,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,1.19
2014,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,64.0
2014,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,6.38
2014,(G00-G99) Bolesti nervnog sistema,Broj,11.0
2014,"(H00-H93) Bolesti oka, uha i adneksa",Broj,0.17
2014,(I00-I99) Bolesti cirkulacijskog sistema,Broj,509.0
2014,(J00-J99) Bolesti respiratornog sistema,Broj,39.96
2014,(K00-K93) Bolesti digestivnog sistema,Broj,27.0
2014,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,0.91
2014,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,2.0
2014,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,15.2
2014,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,2.41
2014,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,1.39
2014,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,63.56
2014,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,29.27
2014,(V01-Y98) Vanjski uzroci smrtnosti,Broj,0.48
2014,(Z00-Z99) Faktori koji utječu na zdravstveno stanje i kontakt sa zdravstvenom službom,Broj,0.03
2014,Nepoznato,Broj,16.73
2015,(A00-B99) Zarazne i parazitarne bolesti,Broj,10.52
2015,"(C00-C97,D00-D48) Neoplazme",Broj,226.0
2015,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,1.56
2015,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,58.0
2015,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,5.34
2015,(G00-G99) Bolesti nervnog sistema,Broj,13.0
2015,"(H00-H93) Bolesti oka, uha i adneksa",Broj,0.03
2015,(I00-I99) Bolesti cirkulacijskog sistema,Broj,560.0
2015,(J00-J99) Bolesti respiratornog sistema,Broj,48.83
2015,(K00-K93) Bolesti digestivnog sistema,Broj,28.0
2015,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,1.19
2015,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,2.0
2015,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,19.44
2015,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,3.58
2015,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,0.88
2015,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,59.64
2015,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,31.35
2015,(V01-Y98) Vanjski uzroci smrtnosti,Broj,0.23
2015,Nepoznato,Broj,15.38
2016,(A00-B99) Zarazne i parazitarne bolesti,Broj,11.73
2016,"(C00-C97,D00-D48) Neoplazme",Broj,221.0
2016,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,1.54
2016,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,56.0
2016,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,6.44
2016,(G00-G99) Bolesti nervnog sistema,Broj,11.0
2016,"(H00-H93) Bolesti oka, uha i adneksa",Broj,0.23
2016,(I00-I99) Bolesti cirkulacijskog sistema,Broj,540.0
2016,(J00-J99) Bolesti respiratornog sistema,Broj,42.35
2016,(K00-K93) Bolesti digestivnog sistema,Broj,31.0
2016,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,1.0
2016,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,1.0
2016,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,19.82
2016,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,3.33
2016,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,0.46
2016,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,49.27
2016,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,29.62
2016,(V01-Y98) Vanjski uzroci smrtnosti,Broj,0.4
2016,Nepoznato,Broj,15.52
2017,(A00-B99) Zarazne i parazitarne bolesti,Broj,11.27
2017,"(C00-C97,D00-D48) Neoplazme",Broj,232.0
2017,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,1.97
2017,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,62.0
2017,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,7.56
2017,(G00-G99) Bolesti nervnog sistema,Broj,11.0
2017,"(H00-H93) Bolesti oka, uha i adneksa",Broj,0.14
2017,(I00-I99) Bolesti cirkulacijskog sistema,Broj,548.0
2017,(J00-J99) Bolesti respiratornog sistema,Broj,45.06
2017,(K00-K93) Bolesti digestivnog sistema,Broj,29.0
2017,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,1.26
2017,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,1.0
2017,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,16.75
2017,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,3.88
2017,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,0.77
2017,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,65.47
2017,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,30.45
2017,(V01-Y98) Vanjski uzroci smrtnosti,Broj,0.43
2017,Nepoznato,Broj,15.7
2018,(A00-B99) Zarazne i parazitarne bolesti,Broj,12.67
2018,"(C00-C97,D00-D48) Neoplazme",Broj,225.0
2018,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,2.06
2018,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,60.0
2018,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,6.75
2018,(G00-G99) Bolesti nervnog sistema,Broj,10.0
2018,(I00-I99) Bolesti cirkulacijskog sistema,Broj,538.0
2018,(J00-J99) Bolesti respiratornog sistema,Broj,53.09
2018,(K00-K93) Bolesti digestivnog sistema,Broj,30.0
2018,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,1.14
2018,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,2.0
2018,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,18.05
2018,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,3.83
2018,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,0.74
2018,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,73.83
2018,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,29.03
2018,(V01-Y98) Vanjski uzroci smrtnosti,Broj,0.31
2018,(Z00-Z99) Faktori koji utječu na zdravstveno stanje i kontakt sa zdravstvenom službom,Broj,0.03
2018,Nepoznato,Broj,13.44
2001,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,0.03
2002,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,0.08
2004,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,0.03
2006,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,0.08
2007,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,0.03
2008,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,0.1
2009,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,0.03
2010,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,0.03
2011,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,0.05
2012,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,0.08
2015,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,0.03
2016,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,0.03
2018,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,0.03
