Year,Municipality,AGE,UNIT_MEASURE,Sex,Value
2013,Istočno Novo Sarajevo,Total,Number,M,38
2013,Jablanica,Total,Number,F,43
2013,Jablanica,Total,Number,Both sexes,1354
2013,Jablanica,Total,Number,M,718
2013,Jajce,Total,Number,F,636
2013,Jajce,Total,Number,Both sexes,4936
2013,Jajce,Total,Number,M,2528
2013,Jezero,Total,Number,F,2408
2013,Jezero,Total,Number,Both sexes,964
2013,Jezero,Total,Number,M,488
2013,Kakanj,Total,Number,F,476
2013,Kakanj,Total,Number,Both sexes,925
2013,Kakanj,Total,Number,M,470
2013,Kalesija,Total,Number,F,455
2013,Kalesija,Total,Number,Both sexes,2252
2013,Kalesija,Total,Number,M,1180
2013,Kalinovik,Total,Number,F,1072
2013,Kalinovik,Total,Number,Both sexes,1251
2013,Kalinovik,Total,Number,M,629
2013,Kiseljak,Total,Number,F,622
2013,Kiseljak,Total,Number,Both sexes,1572
2013,Kiseljak,Total,Number,M,806
2013,Kladanj,Total,Number,F,766
2013,Kladanj,Total,Number,Both sexes,5049
2013,Kladanj,Total,Number,M,2588
2013,Ključ,Total,Number,F,2461
2013,Ključ,Total,Number,Both sexes,2985
2013,Ključ,Total,Number,M,1485
2013,Kneževo,Total,Number,F,1500
2013,Kneževo,Total,Number,Both sexes,307
2013,Kneževo,Total,Number,M,173
2013,Konjic,Total,Number,F,134
2013,Konjic,Total,Number,Both sexes,1753
2013,Konjic,Total,Number,M,905
2013,Kostajnica,Total,Number,F,848
2013,Kostajnica,Total,Number,Both sexes,702
2013,Kostajnica,Total,Number,M,367
2013,Kotor Varoš,Total,Number,F,335
2013,Kotor Varoš,Total,Number,Both sexes,1001
2013,Kotor Varoš,Total,Number,M,528
2013,Kozarska Dubica,Total,Number,F,473
2013,Kozarska Dubica,Total,Number,Both sexes,1365
2013,Kozarska Dubica,Total,Number,M,710
2013,Kreševo,Total,Number,F,655
2013,Kreševo,Total,Number,Both sexes,1515
2013,Kreševo,Total,Number,M,791
2013,Krupa Na Uni,Total,Number,F,724
2013,Krupa Na Uni,Total,Number,Both sexes,3923
2013,Krupa Na Uni,Total,Number,M,2043
2013,Kupres - FBiH,Total,Number,F,1880
2013,Kupres - FBiH,Total,Number,Both sexes,725
2013,Kupres - FBiH,Total,Number,M,371
2013,Kupres - RS,Total,Number,F,354
2013,Kupres - RS,Total,Number,Both sexes,296
2013,Kupres - RS,Total,Number,M,150
2013,Laktaši,Total,Number,F,146
2013,Laktaši,Total,Number,Both sexes,97
2013,Laktaši,Total,Number,M,52
2013,Livno,Total,Number,F,45
2013,Livno,Total,Number,Both sexes,311
2013,Livno,Total,Number,M,161
2013,Lopare,Total,Number,F,150
2013,Lopare,Total,Number,Both sexes,940
2013,Lopare,Total,Number,M,479
2013,Lukavac,Total,Number,F,461
2013,Lukavac,Total,Number,Both sexes,238
2013,Lukavac,Total,Number,M,122
2013,Ljubinje,Total,Number,F,116
2013,Ljubinje,Total,Number,Both sexes,298
2013,Ljubinje,Total,Number,M,166
2013,Ljubuški,Total,Number,F,132
2013,Ljubuški,Total,Number,Both sexes,125
2013,Ljubuški,Total,Number,M,59
2013,Maglaj,Total,Number,F,66
2013,Maglaj,Total,Number,Both sexes,1126
2013,Maglaj,Total,Number,M,574
2013,Milići,Total,Number,F,552
2013,Milići,Total,Number,Both sexes,774
2013,Milići,Total,Number,M,410
2013,Modriča,Total,Number,F,364
2013,Modriča,Total,Number,Both sexes,508
2013,Modriča,Total,Number,M,269
2013,Mostar,Total,Number,F,239
2013,Mostar,Total,Number,Both sexes,174
2013,Mostar,Total,Number,M,88
2013,Mrkonjić Grad,Total,Number,F,86
2013,Mrkonjić Grad,Total,Number,Both sexes,1259
2013,Mrkonjić Grad,Total,Number,M,657
2013,Neum,Total,Number,F,602
2013,Neum,Total,Number,Both sexes,1551
2013,Neum,Total,Number,M,797
2013,Nevesinje,Total,Number,F,754
2013,Nevesinje,Total,Number,Both sexes,3206
2013,Nevesinje,Total,Number,M,1567
2013,Novi Grad,Total,Number,F,1639
2013,Novi Grad,Total,Number,Both sexes,2535
2013,Novi Grad,Total,Number,M,1308
2013,Sarajevo - Novi Grad,Total,Number,F,1227
2013,Sarajevo - Novi Grad,Total,Number,Both sexes,2897
2013,Sarajevo - Novi Grad,Total,Number,M,1519
2013,Novi Travnik,Total,Number,F,1378
2013,Novi Travnik,Total,Number,Both sexes,1155
2013,Novi Travnik,Total,Number,M,611
2013,Novo Goražde,Total,Number,F,544
2013,Novo Goražde,Total,Number,Both sexes,1653
2013,Novo Goražde,Total,Number,M,870
2013,Sarajevo - Novo Sarajevo,Total,Number,F,783
2013,Sarajevo - Novo Sarajevo,Total,Number,Both sexes,154
2013,Sarajevo - Novo Sarajevo,Total,Number,M,92
2013,Odžak,Total,Number,F,62
2013,Odžak,Total,Number,Both sexes,4537
2013,Odžak,Total,Number,M,2347
2013,Olovo,Total,Number,F,2190
2013,Olovo,Total,Number,Both sexes,1577
2013,Olovo,Total,Number,M,819
2013,Orašje,Total,Number,F,758
2013,Orašje,Total,Number,Both sexes,837
2013,Orašje,Total,Number,M,426
2013,Osmaci,Total,Number,F,411
2013,Osmaci,Total,Number,Both sexes,3
2013,Osmaci,Total,Number,M,1
2013,Oštra Luka,Total,Number,F,2
2013,Oštra Luka,Total,Number,Both sexes,10
2013,Oštra Luka,Total,Number,M,8
2013,Pale - FBiH,Total,Number,F,2
2013,Pale - FBiH,Total,Number,Both sexes,48
2013,Pale - FBiH,Total,Number,M,28
2013,Pale - RS,Total,Number,F,20
2013,Pale - RS,Total,Number,Both sexes,613
2013,Pale - RS,Total,Number,M,302
2013,Pelagićevo,Total,Number,F,311
2013,Pelagićevo,Total,Number,Both sexes,743
2013,Pelagićevo,Total,Number,M,375
2013,Petrovac,Total,Number,F,368
2013,Petrovac,Total,Number,Both sexes,1853
2013,Petrovac,Total,Number,M,1007
2013,Petrovo,Total,Number,F,846
2013,Petrovo,Total,Number,Both sexes,66
2013,Petrovo,Total,Number,M,37
2013,Posušje,Total,Number,F,29
2013,Posušje,Total,Number,Both sexes,2740
2013,Posušje,Total,Number,M,1362
2013,Prijedor,Total,Number,F,1378
2013,Prijedor,Total,Number,Both sexes,2617
2013,Prijedor,Total,Number,M,1356
2013,Prnjavor,Total,Number,F,1261
2013,Prnjavor,Total,Number,Both sexes,104
2013,Prnjavor,Total,Number,M,58
2013,Prozor,Total,Number,F,46
2013,Prozor,Total,Number,Both sexes,1426
2013,Prozor,Total,Number,M,712
2013,Ravno,Total,Number,F,714
2013,Ravno,Total,Number,Both sexes,934
2013,Ravno,Total,Number,M,488
2013,Ribnik,Total,Number,F,446
2013,Ribnik,Total,Number,Both sexes,1156
2013,Ribnik,Total,Number,M,588
2013,Rogatica,Total,Number,F,568
2013,Rogatica,Total,Number,Both sexes,588
2013,Rogatica,Total,Number,M,308
2013,Rudo,Total,Number,F,280
2013,Rudo,Total,Number,Both sexes,1503
2013,Rudo,Total,Number,M,797
2013,Sanski Most,Total,Number,F,706
2013,Sanski Most,Total,Number,Both sexes,336
2013,Sanski Most,Total,Number,M,177
2013,Sapna,Total,Number,F,159
2013,Sapna,Total,Number,Both sexes,1413
2013,Sapna,Total,Number,M,745
2013,Sokolac,Total,Number,F,668
2013,Sokolac,Total,Number,Both sexes,1202
2013,Sokolac,Total,Number,M,630
2013,Srbac,Total,Number,F,572
2013,Srbac,Total,Number,Both sexes,363
2013,Srbac,Total,Number,M,184
2013,Srebrenica,Total,Number,F,179
2013,Srebrenica,Total,Number,Both sexes,81
2013,Srebrenica,Total,Number,M,50
2013,Srebrenik,Total,Number,F,31
2013,Srebrenik,Total,Number,Both sexes,338
2013,Srebrenik,Total,Number,M,162
2013,Sarajevo - Stari Grad,Total,Number,F,176
2013,Sarajevo - Stari Grad,Total,Number,Both sexes,8
2013,Sarajevo - Stari Grad,Total,Number,M,5
2013,Stolac,Total,Number,F,3
2013,Stolac,Total,Number,Both sexes,2059
2013,Stolac,Total,Number,M,1073
2013,Šamac,Total,Number,F,986
2013,Šamac,Total,Number,Both sexes,2283
2013,Šamac,Total,Number,M,1217
2013,Šekovići,Total,Number,F,1066
2013,Šekovići,Total,Number,Both sexes,925
2013,Šekovići,Total,Number,M,474
2013,Šipovo,Total,Number,F,451
2013,Šipovo,Total,Number,Both sexes,2970
2013,Šipovo,Total,Number,M,1568
2013,Široki Brijeg,Total,Number,F,1402
2013,Široki Brijeg,Total,Number,Both sexes,215
2013,Široki Brijeg,Total,Number,M,117
2013,Teočak,Total,Number,F,98
2013,Teočak,Total,Number,Both sexes,1976
2013,Teočak,Total,Number,M,977
2013,Teslić,Total,Number,F,999
2013,Teslić,Total,Number,Both sexes,1563
2013,Teslić,Total,Number,M,782
2013,Tešanj,Total,Number,F,781
2013,Tešanj,Total,Number,Both sexes,843
2013,Tešanj,Total,Number,M,465
2013,Tomislavgrad,Total,Number,F,378
2013,Tomislavgrad,Total,Number,Both sexes,1490
2013,Tomislavgrad,Total,Number,M,739
2013,Travnik,Total,Number,F,751
2013,Travnik,Total,Number,Both sexes,6871
2013,Travnik,Total,Number,M,3429
2013,Trebinje,Total,Number,F,3442
2013,Trebinje,Total,Number,Both sexes,892
2013,Trebinje,Total,Number,M,465
2013,Trnovo - FBiH,Total,Number,F,427
2013,Trnovo - FBiH,Total,Number,Both sexes,278
2013,Trnovo - FBiH,Total,Number,M,140
2013,Trnovo - RS,Total,Number,F,138
2013,Trnovo - RS,Total,Number,Both sexes,718
2013,Trnovo - RS,Total,Number,M,367
2013,Tuzla,Total,Number,F,351
2013,Tuzla,Total,Number,Both sexes,1640
2013,Tuzla,Total,Number,M,862
2013,Ugljevik,Total,Number,F,778
2013,Ugljevik,Total,Number,Both sexes,6821
2013,Ugljevik,Total,Number,M,3353
2013,Usora,Total,Number,F,3468
2013,Usora,Total,Number,Both sexes,1804
2013,Usora,Total,Number,M,926
2013,Vareš,Total,Number,F,878
2013,Vareš,Total,Number,Both sexes,194
2013,Vareš,Total,Number,M,112
2013,Velika Kladuša,Total,Number,F,82
2013,Velika Kladuša,Total,Number,Both sexes,3789
2013,Velika Kladuša,Total,Number,M,1837
2013,Visoko,Total,Number,F,1952
2013,Visoko,Total,Number,Both sexes,1191
2013,Visoko,Total,Number,M,626
2013,Višegrad,Total,Number,F,565
2013,Višegrad,Total,Number,Both sexes,719
2013,Višegrad,Total,Number,M,399
2013,Vitez,Total,Number,F,320
2013,Vitez,Total,Number,Both sexes,1339
2013,Vitez,Total,Number,M,722
2013,Vlasenica,Total,Number,F,617
2013,Vlasenica,Total,Number,Both sexes,442
2013,Vlasenica,Total,Number,M,219
2013,Sarajevo - Vogošća,Total,Number,F,223
2013,Sarajevo - Vogošća,Total,Number,Both sexes,106
2013,Sarajevo - Vogošća,Total,Number,M,53
2013,Vukosavlje,Total,Number,F,53
2013,Vukosavlje,Total,Number,Both sexes,53
2013,Vukosavlje,Total,Number,M,33
2013,Zavidovići,Total,Number,F,20
2013,Zavidovići,Total,Number,Both sexes,1404
2013,Zavidovići,Total,Number,M,681
2013,Zenica,Total,Number,F,723
2013,Zenica,Total,Number,Both sexes,260
2013,Zenica,Total,Number,M,141
2013,Zvornik,Total,Number,F,119
2013,Zvornik,Total,Number,Both sexes,9
2013,Zvornik,Total,Number,M,6
2013,Žepče,Total,Number,F,3
2013,Žepče,Total,Number,Both sexes,363
2013,Žepče,Total,Number,M,187
2013,Živinice,Total,Number,F,176
2013,Živinice,Total,Number,Both sexes,1512
2013,Živinice,Total,Number,M,781
2013,Banja Luka,0-4,Number,F,731
2013,Banja Luka,0-4,Number,Both sexes,5504
2013,Banja Luka,0-4,Number,M,2819
2013,Banovići,0-4,Number,F,2685
2013,Banovići,0-4,Number,Both sexes,1952
2013,Banovići,0-4,Number,M,997
2013,Berkovići,0-4,Number,F,955
2013,Berkovići,0-4,Number,Both sexes,979
2013,Berkovići,0-4,Number,M,526
2013,Bihać,0-4,Number,F,453
2013,Bihać,0-4,Number,Both sexes,191
2013,Bihać,0-4,Number,M,101
2013,Bijeljina,0-4,Number,F,90
2013,Bijeljina,0-4,Number,Both sexes,295
2013,Bijeljina,0-4,Number,M,148
2013,Bileća,0-4,Number,F,147
2013,Bileća,0-4,Number,Both sexes,585
2013,Bileća,0-4,Number,M,287
2013,Bosanska Krupa,0-4,Number,F,298
2013,Bosanska Krupa,0-4,Number,Both sexes,453
2013,Bosanska Krupa,0-4,Number,M,232
2013,Bosanski Petrovac,0-4,Number,F,221
2013,Bosanski Petrovac,0-4,Number,Both sexes,2644
2013,Bosanski Petrovac,0-4,Number,M,1386
2013,Bosansko Grahovo,0-4,Number,F,1258
2013,Bosansko Grahovo,0-4,Number,Both sexes,927
2013,Bosansko Grahovo,0-4,Number,M,510
2013,Bratunac,0-4,Number,F,417
2013,Bratunac,0-4,Number,Both sexes,726
2013,Bratunac,0-4,Number,M,363
2013,Brčko,0-4,Number,F,363
2013,Brčko,0-4,Number,Both sexes,1009
2013,Brčko,0-4,Number,M,533
2013,Breza,0-4,Number,F,476
2013,Breza,0-4,Number,Both sexes,958
2013,Breza,0-4,Number,M,522
2013,Brod,0-4,Number,F,436
2013,Brod,0-4,Number,Both sexes,2915
2013,Brod,0-4,Number,M,1521
2013,Bugojno,0-4,Number,F,1394
2013,Bugojno,0-4,Number,Both sexes,2178
2013,Bugojno,0-4,Number,M,1097
2013,Busovača,0-4,Number,F,1081
2013,Busovača,0-4,Number,Both sexes,943
2013,Busovača,0-4,Number,M,473
2013,Bužim,0-4,Number,F,470
2013,Bužim,0-4,Number,Both sexes,952
2013,Bužim,0-4,Number,M,506
2013,Cazin,0-4,Number,F,446
2013,Cazin,0-4,Number,Both sexes,422
2013,Cazin,0-4,Number,M,203
2013,Sarajevo - Centar,0-4,Number,F,219
2013,Sarajevo - Centar,0-4,Number,Both sexes,586
2013,Sarajevo - Centar,0-4,Number,M,304
2013,Čajniče,0-4,Number,F,282
2013,Čajniče,0-4,Number,Both sexes,2243
2013,Čajniče,0-4,Number,M,1122
2013,Čapljina,0-4,Number,F,1121
2013,Čapljina,0-4,Number,Both sexes,589
2013,Čapljina,0-4,Number,M,297
2013,Čelić,0-4,Number,F,292
2013,Čelić,0-4,Number,Both sexes,2288
2013,Čelić,0-4,Number,M,1191
2013,Čelinac,0-4,Number,F,1097
2013,Čelinac,0-4,Number,Both sexes,3223
2013,Čelinac,0-4,Number,M,1603
2013,Čitluk,0-4,Number,F,1620
2013,Čitluk,0-4,Number,Both sexes,2189
2013,Čitluk,0-4,Number,M,1103
2013,Derventa,0-4,Number,F,1086
2013,Derventa,0-4,Number,Both sexes,3580
2013,Derventa,0-4,Number,M,1853
2013,Doboj,0-4,Number,F,1727
2013,Doboj,0-4,Number,Both sexes,1623
2013,Doboj,0-4,Number,M,864
2013,Doboj-Istok,0-4,Number,F,759
2013,Doboj-Istok,0-4,Number,Both sexes,68
2013,Doboj-Istok,0-4,Number,M,30
2013,Doboj-Jug,0-4,Number,F,38
2013,Doboj-Jug,0-4,Number,Both sexes,108
2013,Doboj-Jug,0-4,Number,M,63
2013,Dobretići,0-4,Number,F,45
2013,Dobretići,0-4,Number,Both sexes,7029
2013,Dobretići,0-4,Number,M,3516
2013,Domaljevac-Šamac,0-4,Number,F,3513
2013,Domaljevac-Šamac,0-4,Number,Both sexes,1041
2013,Domaljevac-Šamac,0-4,Number,M,544
2013,Donji Vakuf,0-4,Number,F,497
2013,Donji Vakuf,0-4,Number,Both sexes,469
2013,Donji Vakuf,0-4,Number,M,243
2013,Donji Žabar,0-4,Number,F,226
2013,Donji Žabar,0-4,Number,Both sexes,514
2013,Donji Žabar,0-4,Number,M,273
2013,Drvar,0-4,Number,F,241
2013,Drvar,0-4,Number,Both sexes,3097
2013,Drvar,0-4,Number,M,1605
2013,Foča - FBiH,0-4,Number,F,1492
2013,Foča - FBiH,0-4,Number,Both sexes,2752
2013,Foča - FBiH,0-4,Number,M,1392
2013,Foča - RS,0-4,Number,F,1360
2013,Foča - RS,0-4,Number,Both sexes,555
2013,Foča - RS,0-4,Number,M,310
2013,Fojnica,0-4,Number,F,245
2013,Fojnica,0-4,Number,Both sexes,1873
2013,Fojnica,0-4,Number,M,939
2013,Gacko,0-4,Number,F,934
2013,Gacko,0-4,Number,Both sexes,736
2013,Gacko,0-4,Number,M,363
2013,Glamoč,0-4,Number,F,373
2013,Glamoč,0-4,Number,Both sexes,1876
2013,Glamoč,0-4,Number,M,1007
2013,Goražde,0-4,Number,F,869
2013,Goražde,0-4,Number,Both sexes,294
2013,Goražde,0-4,Number,M,159
2013,Gornji Vakuf-Uskoplje,0-4,Number,F,135
2013,Gornji Vakuf-Uskoplje,0-4,Number,Both sexes,2503
2013,Gornji Vakuf-Uskoplje,0-4,Number,M,1294
2013,Gračanica,0-4,Number,F,1209
2013,Gračanica,0-4,Number,Both sexes,7463
2013,Gračanica,0-4,Number,M,3820
2013,Gradačac,0-4,Number,F,3643
2013,Gradačac,0-4,Number,Both sexes,3846
2013,Gradačac,0-4,Number,M,2056
2013,Gradiška,0-4,Number,F,1790
2013,Gradiška,0-4,Number,Both sexes,2134
2013,Gradiška,0-4,Number,M,1066
2013,Grude,0-4,Number,F,1068
2013,Grude,0-4,Number,Both sexes,4750
2013,Grude,0-4,Number,M,2448
2013,Sarajevo - Hadžići,0-4,Number,F,2302
2013,Sarajevo - Hadžići,0-4,Number,Both sexes,13183
2013,Sarajevo - Hadžići,0-4,Number,M,6474
2013,Han Pijesak,0-4,Number,F,6709
2013,Han Pijesak,0-4,Number,Both sexes,1806
2013,Han Pijesak,0-4,Number,M,991
2013,Sarajevo - Ilidža,0-4,Number,F,815
2013,Sarajevo - Ilidža,0-4,Number,Both sexes,102
2013,Sarajevo - Ilidža,0-4,Number,M,55
2013,Sarajevo - Ilijaš,0-4,Number,F,47
2013,Sarajevo - Ilijaš,0-4,Number,Both sexes,4061
2013,Sarajevo - Ilijaš,0-4,Number,M,2071
2013,Istočna Ilidža,0-4,Number,F,1990
2013,Istočna Ilidža,0-4,Number,Both sexes,7304
2013,Istočna Ilidža,0-4,Number,M,3608
2013,Istočni Drvar,0-4,Number,F,3696
2013,Istočni Drvar,0-4,Number,Both sexes,701
2013,Istočni Drvar,0-4,Number,M,398
2013,Istočni Mostar,0-4,Number,F,303
2013,Istočni Mostar,0-4,Number,Both sexes,1879
2013,Istočni Mostar,0-4,Number,M,960
2013,Istočni Stari Grad,0-4,Number,F,919
2013,Istočni Stari Grad,0-4,Number,Both sexes,378
2013,Istočni Stari Grad,0-4,Number,M,205
2013,Istočno Novo Sarajevo,0-4,Number,F,173
2013,Istočno Novo Sarajevo,0-4,Number,Both sexes,113
2013,Istočno Novo Sarajevo,0-4,Number,M,72
2013,Jablanica,0-4,Number,F,41
2013,Jablanica,0-4,Number,Both sexes,1656
2013,Jablanica,0-4,Number,M,852
2013,Jajce,0-4,Number,F,804
2013,Jajce,0-4,Number,Both sexes,5729
2013,Jajce,0-4,Number,M,2908
2013,Jezero,0-4,Number,F,2821
2013,Jezero,0-4,Number,Both sexes,1036
2013,Jezero,0-4,Number,M,531
2013,Kakanj,0-4,Number,F,505
2013,Kakanj,0-4,Number,Both sexes,1124
2013,Kakanj,0-4,Number,M,567
2013,Kalesija,0-4,Number,F,557
2013,Kalesija,0-4,Number,Both sexes,2365
2013,Kalesija,0-4,Number,M,1238
2013,Kalinovik,0-4,Number,F,1127
2013,Kalinovik,0-4,Number,Both sexes,1467
2013,Kalinovik,0-4,Number,M,790
2013,Kiseljak,0-4,Number,F,677
2013,Kiseljak,0-4,Number,Both sexes,1611
2013,Kiseljak,0-4,Number,M,878
2013,Kladanj,0-4,Number,F,733
2013,Kladanj,0-4,Number,Both sexes,5415
2013,Kladanj,0-4,Number,M,2802
2013,Ključ,0-4,Number,F,2613
2013,Ključ,0-4,Number,Both sexes,3995
2013,Ključ,0-4,Number,M,1905
2013,Kneževo,0-4,Number,F,2090
2013,Kneževo,0-4,Number,Both sexes,330
2013,Kneževo,0-4,Number,M,177
2013,Konjic,0-4,Number,F,153
2013,Konjic,0-4,Number,Both sexes,1734
2013,Konjic,0-4,Number,M,936
2013,Kostajnica,0-4,Number,F,798
2013,Kostajnica,0-4,Number,Both sexes,671
2013,Kostajnica,0-4,Number,M,349
2013,Kotor Varoš,0-4,Number,F,322
2013,Kotor Varoš,0-4,Number,Both sexes,1078
2013,Kotor Varoš,0-4,Number,M,546
2013,Kozarska Dubica,0-4,Number,F,532
2013,Kozarska Dubica,0-4,Number,Both sexes,1261
2013,Kozarska Dubica,0-4,Number,M,647
2013,Kreševo,0-4,Number,F,614
2013,Kreševo,0-4,Number,Both sexes,1807
2013,Kreševo,0-4,Number,M,925
2013,Krupa Na Uni,0-4,Number,F,882
2013,Krupa Na Uni,0-4,Number,Both sexes,4554
2013,Krupa Na Uni,0-4,Number,M,2367
2013,Kupres - FBiH,0-4,Number,F,2187
2013,Kupres - FBiH,0-4,Number,Both sexes,721
2013,Kupres - FBiH,0-4,Number,M,387
2013,Kupres - RS,0-4,Number,F,334
2013,Kupres - RS,0-4,Number,Both sexes,285
2013,Kupres - RS,0-4,Number,M,149
2013,Laktaši,0-4,Number,F,136
2013,Laktaši,0-4,Number,Both sexes,144
2013,Laktaši,0-4,Number,M,77
2013,Livno,0-4,Number,F,67
2013,Livno,0-4,Number,Both sexes,298
2013,Livno,0-4,Number,M,142
2013,Lopare,0-4,Number,F,156
2013,Lopare,0-4,Number,Both sexes,999
2013,Lopare,0-4,Number,M,561
2013,Lukavac,0-4,Number,F,438
2013,Lukavac,0-4,Number,Both sexes,214
2013,Lukavac,0-4,Number,M,115
2013,Ljubinje,0-4,Number,F,99
2013,Ljubinje,0-4,Number,Both sexes,348
2013,Ljubinje,0-4,Number,M,184
2013,Ljubuški,0-4,Number,F,164
2013,Ljubuški,0-4,Number,Both sexes,110
2013,Ljubuški,0-4,Number,M,62
2013,Maglaj,0-4,Number,F,48
2013,Maglaj,0-4,Number,Both sexes,1268
2013,Maglaj,0-4,Number,M,685
2013,Milići,0-4,Number,F,583
2013,Milići,0-4,Number,Both sexes,824
2013,Milići,0-4,Number,M,439
2013,Modriča,0-4,Number,F,385
2013,Modriča,0-4,Number,Both sexes,592
2013,Modriča,0-4,Number,M,314
2013,Mostar,0-4,Number,F,278
2013,Mostar,0-4,Number,Both sexes,193
2013,Mostar,0-4,Number,M,93
2013,Mrkonjić Grad,0-4,Number,F,100
2013,Mrkonjić Grad,0-4,Number,Both sexes,1450
2013,Mrkonjić Grad,0-4,Number,M,752
2013,Neum,0-4,Number,F,698
2013,Neum,0-4,Number,Both sexes,1501
2013,Neum,0-4,Number,M,763
2013,Nevesinje,0-4,Number,F,738
2013,Nevesinje,0-4,Number,Both sexes,3286
2013,Nevesinje,0-4,Number,M,1686
2013,Novi Grad,0-4,Number,F,1600
2013,Novi Grad,0-4,Number,Both sexes,2653
2013,Novi Grad,0-4,Number,M,1315
2013,Sarajevo - Novi Grad,0-4,Number,F,1338
2013,Sarajevo - Novi Grad,0-4,Number,Both sexes,3201
2013,Sarajevo - Novi Grad,0-4,Number,M,1669
2013,Novi Travnik,0-4,Number,F,1532
2013,Novi Travnik,0-4,Number,Both sexes,1064
2013,Novi Travnik,0-4,Number,M,550
2013,Novo Goražde,0-4,Number,F,514
2013,Novo Goražde,0-4,Number,Both sexes,1836
2013,Novo Goražde,0-4,Number,M,1004
2013,Sarajevo - Novo Sarajevo,0-4,Number,F,832
2013,Sarajevo - Novo Sarajevo,0-4,Number,Both sexes,204
2013,Sarajevo - Novo Sarajevo,0-4,Number,M,99
2013,Odžak,0-4,Number,F,105
2013,Odžak,0-4,Number,Both sexes,5189
2013,Odžak,0-4,Number,M,2577
2013,Olovo,0-4,Number,F,2612
2013,Olovo,0-4,Number,Both sexes,1441
2013,Olovo,0-4,Number,M,738
2013,Orašje,0-4,Number,F,703
2013,Orašje,0-4,Number,Both sexes,1072
2013,Orašje,0-4,Number,M,556
2013,Osmaci,0-4,Number,F,516
2013,Osmaci,0-4,Number,Both sexes,4
2013,Osmaci,0-4,Number,M,4
2013,Oštra Luka,0-4,Number,F,0
2013,Oštra Luka,0-4,Number,Both sexes,8
2013,Oštra Luka,0-4,Number,M,2
2013,Pale - FBiH,0-4,Number,F,6
2013,Pale - FBiH,0-4,Number,Both sexes,60
2013,Pale - FBiH,0-4,Number,M,40
2013,Pale - RS,0-4,Number,F,20
2013,Pale - RS,0-4,Number,Both sexes,754
2013,Pale - RS,0-4,Number,M,381
2013,Pelagićevo,0-4,Number,F,373
2013,Pelagićevo,0-4,Number,Both sexes,821
2013,Pelagićevo,0-4,Number,M,455
2013,Petrovac,0-4,Number,F,366
2013,Petrovac,0-4,Number,Both sexes,2020
2013,Petrovac,0-4,Number,M,1099
2013,Petrovo,0-4,Number,F,921
2013,Petrovo,0-4,Number,Both sexes,83
2013,Petrovo,0-4,Number,M,55
2013,Posušje,0-4,Number,F,28
2013,Posušje,0-4,Number,Both sexes,2882
2013,Posušje,0-4,Number,M,1480
2013,Prijedor,0-4,Number,F,1402
2013,Prijedor,0-4,Number,Both sexes,2638
2013,Prijedor,0-4,Number,M,1394
2013,Prnjavor,0-4,Number,F,1244
2013,Prnjavor,0-4,Number,Both sexes,132
2013,Prnjavor,0-4,Number,M,77
2013,Prozor,0-4,Number,F,55
2013,Prozor,0-4,Number,Both sexes,1523
2013,Prozor,0-4,Number,M,803
2013,Ravno,0-4,Number,F,720
2013,Ravno,0-4,Number,Both sexes,892
2013,Ravno,0-4,Number,M,445
2013,Ribnik,0-4,Number,F,447
2013,Ribnik,0-4,Number,Both sexes,1192
2013,Ribnik,0-4,Number,M,622
2013,Rogatica,0-4,Number,F,570
2013,Rogatica,0-4,Number,Both sexes,598
2013,Rogatica,0-4,Number,M,310
2013,Rudo,0-4,Number,F,288
2013,Rudo,0-4,Number,Both sexes,1636
2013,Rudo,0-4,Number,M,848
2013,Sanski Most,0-4,Number,F,788
2013,Sanski Most,0-4,Number,Both sexes,380
2013,Sanski Most,0-4,Number,M,198
2013,Sapna,0-4,Number,F,182
2013,Sapna,0-4,Number,Both sexes,1418
2013,Sapna,0-4,Number,M,742
2013,Sokolac,0-4,Number,F,676
2013,Sokolac,0-4,Number,Both sexes,1414
2013,Sokolac,0-4,Number,M,742
2013,Srbac,0-4,Number,F,672
2013,Srbac,0-4,Number,Both sexes,383
2013,Srbac,0-4,Number,M,192
2013,Srebrenica,0-4,Number,F,191
2013,Srebrenica,0-4,Number,Both sexes,66
2013,Srebrenica,0-4,Number,M,38
2013,Srebrenik,0-4,Number,F,28
2013,Srebrenik,0-4,Number,Both sexes,310
2013,Srebrenik,0-4,Number,M,153
2013,Sarajevo - Stari Grad,0-4,Number,F,157
2013,Sarajevo - Stari Grad,0-4,Number,Both sexes,8
2013,Sarajevo - Stari Grad,0-4,Number,M,6
2013,Stolac,0-4,Number,F,2
2013,Stolac,0-4,Number,Both sexes,2445
2013,Stolac,0-4,Number,M,1184
2013,Šamac,0-4,Number,F,1261
2013,Šamac,0-4,Number,Both sexes,2355
2013,Šamac,0-4,Number,M,1242
2013,Šekovići,0-4,Number,F,1113
2013,Šekovići,0-4,Number,Both sexes,881
2013,Šekovići,0-4,Number,M,459
2013,Šipovo,0-4,Number,F,422
2013,Šipovo,0-4,Number,Both sexes,3255
2013,Šipovo,0-4,Number,M,1704
2013,Široki Brijeg,0-4,Number,F,1551
2013,Široki Brijeg,0-4,Number,Both sexes,218
2013,Široki Brijeg,0-4,Number,M,110
2013,Teočak,0-4,Number,F,108
2013,Teočak,0-4,Number,Both sexes,1962
2013,Teočak,0-4,Number,M,967
2013,Teslić,0-4,Number,F,995
