Year,CAUSE_OF_DEATH,UNIT_MEASURE,Spol,Value
2001,neoplasms,Broj,Žene,2.059
2001,diseases_of_the_blood,Broj,Žene,13.0
2001,endocrine_metabolic_and_nutritional,Broj,Žene,427.0
2001,mental_and_behavioural_disorders,Broj,Žene,11.0
2001,diseases_of_the_nervous,Broj,Žene,82.0
2001,diseases_of_the_circulatory,Broj,Žene,8.385
2001,diseases_of_the_respiratory,Broj,Žene,311.0
2001,diseases_of_the_digestive,Broj,Žene,287.0
2001,diseases_of_the_skin,Broj,Žene,12.0
2001,diseases_of_the_musculoskeletal,Broj,Žene,8.0
2001,diseases_of_the_genitourinary,Broj,Žene,197.0
2001,pregnancy_childbirth_and_the,Broj,Žene,1.0
2001,certain_conditions_originating,Broj,Žene,79.0
2001,congenital_malformations_deformations,Broj,Žene,25.0
2001,symptoms_signs_and_abnormal,Broj,Žene,1394.0
2001,injuries_poisoning_and_consequences,Broj,Žene,249.0
2001,external_causes_of_mortality,Broj,Žene,55.0
2001,factors_influencing_health_status,Broj,Žene,1.0
2001,unknown,Broj,Žene,427.0
2001,Ukupno,Broj,Žene,14123.0
2002,infectious_and_parasitic,Broj,Oba spola,263.0
2002,neoplasms,Broj,Oba spola,5.288
2002,diseases_of_the_blood,Broj,Oba spola,19.0
2002,endocrine_metabolic_and_nutritional,Broj,Oba spola,862.0
2002,mental_and_behavioural_disorders,Broj,Oba spola,66.0
2002,diseases_of_the_nervous,Broj,Oba spola,157.0
2002,diseases_of_the_eye,Broj,Oba spola,1.0
2002,diseases_of_the_circulatory,Broj,Oba spola,16.007
2002,diseases_of_the_respiratory,Broj,Oba spola,817.0
2002,diseases_of_the_digestive,Broj,Oba spola,820.0
2002,diseases_of_the_skin,Broj,Oba spola,17.0
2002,diseases_of_the_musculoskeletal,Broj,Oba spola,10.0
2002,diseases_of_the_genitourinary,Broj,Oba spola,219.0
2002,pregnancy_childbirth_and_the,Broj,Oba spola,3.0
2002,certain_conditions_originating,Broj,Oba spola,226.0
2002,congenital_malformations_deformations,Broj,Oba spola,56.0
2002,symptoms_signs_and_abnormal,Broj,Oba spola,2983.0
2002,injuries_poisoning_and_consequences,Broj,Oba spola,984.0
2002,external_causes_of_mortality,Broj,Oba spola,242.0
2002,factors_influencing_health_status,Broj,Oba spola,1.0
2002,unknown,Broj,Oba spola,1790.0
2002,Ukupno,Broj,Oba spola,30831.0
2002,infectious_and_parasitic,Broj,Muškarci,160.0
2002,neoplasms,Broj,Muškarci,3.201
2002,diseases_of_the_blood,Broj,Muškarci,11.0
2002,endocrine_metabolic_and_nutritional,Broj,Muškarci,300.0
2002,mental_and_behavioural_disorders,Broj,Muškarci,39.0
2002,diseases_of_the_nervous,Broj,Muškarci,87.0
2002,diseases_of_the_eye,Broj,Muškarci,1.0
2002,diseases_of_the_circulatory,Broj,Muškarci,7.544
2002,diseases_of_the_respiratory,Broj,Muškarci,478.0
2002,diseases_of_the_digestive,Broj,Muškarci,495.0
2002,diseases_of_the_skin,Broj,Muškarci,3.0
2002,diseases_of_the_musculoskeletal,Broj,Muškarci,2.0
2002,diseases_of_the_genitourinary,Broj,Muškarci,120.0
2002,pregnancy_childbirth_and_the,Broj,Muškarci,0.0
2002,certain_conditions_originating,Broj,Muškarci,128.0
2002,congenital_malformations_deformations,Broj,Muškarci,32.0
2002,symptoms_signs_and_abnormal,Broj,Muškarci,1535.0
2002,injuries_poisoning_and_consequences,Broj,Muškarci,751.0
2002,external_causes_of_mortality,Broj,Muškarci,180.0
2002,factors_influencing_health_status,Broj,Muškarci,1.0
2002,unknown,Broj,Muškarci,965.0
2002,Ukupno,Broj,Muškarci,16033.0
2002,infectious_and_parasitic,Broj,Žene,103.0
2002,neoplasms,Broj,Žene,2.087
2002,diseases_of_the_blood,Broj,Žene,8.0
2002,endocrine_metabolic_and_nutritional,Broj,Žene,562.0
2002,mental_and_behavioural_disorders,Broj,Žene,27.0
2002,diseases_of_the_nervous,Broj,Žene,70.0
2002,diseases_of_the_circulatory,Broj,Žene,8.463
2002,diseases_of_the_respiratory,Broj,Žene,339.0
2002,diseases_of_the_digestive,Broj,Žene,325.0
2002,diseases_of_the_skin,Broj,Žene,14.0
2002,diseases_of_the_musculoskeletal,Broj,Žene,8.0
2002,diseases_of_the_genitourinary,Broj,Žene,99.0
2002,pregnancy_childbirth_and_the,Broj,Žene,3.0
2002,certain_conditions_originating,Broj,Žene,98.0
2002,congenital_malformations_deformations,Broj,Žene,24.0
2002,symptoms_signs_and_abnormal,Broj,Žene,1448.0
2002,injuries_poisoning_and_consequences,Broj,Žene,233.0
2002,external_causes_of_mortality,Broj,Žene,62.0
2002,unknown,Broj,Žene,825.0
2002,Ukupno,Broj,Žene,14798.0
2003,neoplasms,Broj,Oba spola,5.771
2003,diseases_of_the_circulatory,Broj,Oba spola,16.99
2003,diseases_of_the_respiratory,Broj,Oba spola,876.0
2003,diseases_of_the_digestive,Broj,Oba spola,810.0
2003,symptoms_signs_and_abnormal,Broj,Oba spola,3166.0
2003,injuries_poisoning_and_consequences,Broj,Oba spola,950.0
2003,unknown,Broj,Oba spola,770.0
2003,Ukupno,Broj,Oba spola,29333.0
2003,neoplasms,Broj,Muškarci,3.499
2003,diseases_of_the_circulatory,Broj,Muškarci,8.001
2003,diseases_of_the_respiratory,Broj,Muškarci,542.0
2003,diseases_of_the_digestive,Broj,Muškarci,499.0
2003,symptoms_signs_and_abnormal,Broj,Muškarci,1612.0
2003,injuries_poisoning_and_consequences,Broj,Muškarci,706.0
2003,unknown,Broj,Muškarci,424.0
2003,Ukupno,Broj,Muškarci,15283.0
2003,neoplasms,Broj,Žene,2.272
2003,diseases_of_the_circulatory,Broj,Žene,8.989
2003,diseases_of_the_respiratory,Broj,Žene,334.0
2003,diseases_of_the_digestive,Broj,Žene,311.0
2003,symptoms_signs_and_abnormal,Broj,Žene,1554.0
2003,injuries_poisoning_and_consequences,Broj,Žene,244.0
2003,unknown,Broj,Žene,346.0
2003,Ukupno,Broj,Žene,14050.0
2004,infectious_and_parasitic,Broj,Oba spola,255.0
2004,neoplasms,Broj,Oba spola,5.709
2004,diseases_of_the_blood,Broj,Oba spola,31.0
2004,endocrine_metabolic_and_nutritional,Broj,Oba spola,993.0
2004,mental_and_behavioural_disorders,Broj,Oba spola,104.0
2004,diseases_of_the_nervous,Broj,Oba spola,251.0
2004,diseases_of_the_circulatory,Broj,Oba spola,17.7
2004,diseases_of_the_respiratory,Broj,Oba spola,907.0
2004,diseases_of_the_digestive,Broj,Oba spola,839.0
2004,diseases_of_the_skin,Broj,Oba spola,11.0
2004,diseases_of_the_musculoskeletal,Broj,Oba spola,16.0
2004,diseases_of_the_genitourinary,Broj,Oba spola,467.0
2004,pregnancy_childbirth_and_the,Broj,Oba spola,1.0
2004,certain_conditions_originating,Broj,Oba spola,163.0
2004,congenital_malformations_deformations,Broj,Oba spola,42.0
2004,symptoms_signs_and_abnormal,Broj,Oba spola,2723.0
2004,injuries_poisoning_and_consequences,Broj,Oba spola,920.0
2004,external_causes_of_mortality,Broj,Oba spola,273.0
2004,factors_influencing_health_status,Broj,Oba spola,1.0
2004,unknown,Broj,Oba spola,1210.0
2004,Ukupno,Broj,Oba spola,32616.0
2004,infectious_and_parasitic,Broj,Muškarci,152.0
2004,neoplasms,Broj,Muškarci,3.398
2004,diseases_of_the_blood,Broj,Muškarci,10.0
2004,endocrine_metabolic_and_nutritional,Broj,Muškarci,377.0
2004,mental_and_behavioural_disorders,Broj,Muškarci,80.0
2004,diseases_of_the_nervous,Broj,Muškarci,126.0
2004,diseases_of_the_circulatory,Broj,Muškarci,8.262
2004,diseases_of_the_respiratory,Broj,Muškarci,551.0
2004,diseases_of_the_digestive,Broj,Muškarci,498.0
2004,diseases_of_the_skin,Broj,Muškarci,2.0
2004,diseases_of_the_musculoskeletal,Broj,Muškarci,9.0
2004,diseases_of_the_genitourinary,Broj,Muškarci,248.0
2004,certain_conditions_originating,Broj,Muškarci,101.0
2004,congenital_malformations_deformations,Broj,Muškarci,26.0
2004,symptoms_signs_and_abnormal,Broj,Muškarci,1399.0
2004,injuries_poisoning_and_consequences,Broj,Muškarci,691.0
2004,external_causes_of_mortality,Broj,Muškarci,198.0
2004,factors_influencing_health_status,Broj,Muškarci,1.0
2004,unknown,Broj,Muškarci,651.0
2004,Ukupno,Broj,Muškarci,16780.0
2004,infectious_and_parasitic,Broj,Žene,103.0
2004,neoplasms,Broj,Žene,2.311
2004,diseases_of_the_blood,Broj,Žene,21.0
2004,endocrine_metabolic_and_nutritional,Broj,Žene,616.0
2004,mental_and_behavioural_disorders,Broj,Žene,24.0
2004,diseases_of_the_nervous,Broj,Žene,125.0
2004,diseases_of_the_circulatory,Broj,Žene,9.438
2004,diseases_of_the_respiratory,Broj,Žene,356.0
2004,diseases_of_the_digestive,Broj,Žene,341.0
2004,diseases_of_the_skin,Broj,Žene,9.0
2004,diseases_of_the_musculoskeletal,Broj,Žene,7.0
2004,diseases_of_the_genitourinary,Broj,Žene,219.0
2004,pregnancy_childbirth_and_the,Broj,Žene,1.0
2004,certain_conditions_originating,Broj,Žene,62.0
2004,congenital_malformations_deformations,Broj,Žene,16.0
2004,symptoms_signs_and_abnormal,Broj,Žene,1324.0
2004,injuries_poisoning_and_consequences,Broj,Žene,229.0
2004,external_causes_of_mortality,Broj,Žene,75.0
2004,unknown,Broj,Žene,559.0
2004,Ukupno,Broj,Žene,15836.0
2005,neoplasms,Broj,Oba spola,6.255
2005,diseases_of_the_circulatory,Broj,Oba spola,17.915
2005,diseases_of_the_respiratory,Broj,Oba spola,1242.0
2005,diseases_of_the_digestive,Broj,Oba spola,818.0
2005,symptoms_signs_and_abnormal,Broj,Oba spola,2394.0
2005,injuries_poisoning_and_consequences,Broj,Oba spola,952.0
2005,Ukupno,Broj,Oba spola,29576.0
2005,neoplasms,Broj,Muškarci,3.766
2005,diseases_of_the_circulatory,Broj,Muškarci,8.559
2005,diseases_of_the_respiratory,Broj,Muškarci,726.0
2005,diseases_of_the_digestive,Broj,Muškarci,491.0
2005,symptoms_signs_and_abnormal,Broj,Muškarci,1312.0
2005,injuries_poisoning_and_consequences,Broj,Muškarci,718.0
2005,Ukupno,Broj,Muškarci,15572.0
2005,neoplasms,Broj,Žene,2.489
2005,diseases_of_the_circulatory,Broj,Žene,9.356
2005,diseases_of_the_respiratory,Broj,Žene,516.0
2005,diseases_of_the_digestive,Broj,Žene,327.0
2005,symptoms_signs_and_abnormal,Broj,Žene,1082.0
2005,injuries_poisoning_and_consequences,Broj,Žene,234.0
2005,Ukupno,Broj,Žene,14004.0
2006,infectious_and_parasitic,Broj,Oba spola,237.0
2006,neoplasms,Broj,Oba spola,6.252
2006,diseases_of_the_blood,Broj,Oba spola,20.0
2006,endocrine_metabolic_and_nutritional,Broj,Oba spola,1.537
2006,mental_and_behavioural_disorders,Broj,Oba spola,118.0
2006,diseases_of_the_nervous,Broj,Oba spola,298.0
2006,diseases_of_the_eye,Broj,Oba spola,1.0
2006,diseases_of_the_circulatory,Broj,Oba spola,16.967
2006,diseases_of_the_respiratory,Broj,Oba spola,1132.0
2006,diseases_of_the_digestive,Broj,Oba spola,826.0
2006,diseases_of_the_skin,Broj,Oba spola,11.0
2006,diseases_of_the_musculoskeletal,Broj,Oba spola,16.0
2006,diseases_of_the_genitourinary,Broj,Oba spola,547.0
2006,pregnancy_childbirth_and_the,Broj,Oba spola,3.0
2006,certain_conditions_originating,Broj,Oba spola,185.0
2006,congenital_malformations_deformations,Broj,Oba spola,56.0
2006,symptoms_signs_and_abnormal,Broj,Oba spola,2744.0
2006,injuries_poisoning_and_consequences,Broj,Oba spola,1017.0
2006,external_causes_of_mortality,Broj,Oba spola,212.0
2006,factors_influencing_health_status,Broj,Oba spola,1.0
2006,unknown,Broj,Oba spola,1041.0
2006,Ukupno,Broj,Oba spola,33221.0
2006,infectious_and_parasitic,Broj,Muškarci,147.0
2006,neoplasms,Broj,Muškarci,3.697
2006,diseases_of_the_blood,Broj,Muškarci,9.0
2006,endocrine_metabolic_and_nutritional,Broj,Muškarci,598.0
2006,mental_and_behavioural_disorders,Broj,Muškarci,88.0
2006,diseases_of_the_nervous,Broj,Muškarci,174.0
2006,diseases_of_the_circulatory,Broj,Muškarci,7.941
2006,diseases_of_the_respiratory,Broj,Muškarci,677.0
2006,diseases_of_the_digestive,Broj,Muškarci,493.0
2006,diseases_of_the_skin,Broj,Muškarci,6.0
2006,diseases_of_the_musculoskeletal,Broj,Muškarci,3.0
2006,diseases_of_the_genitourinary,Broj,Muškarci,293.0
2006,certain_conditions_originating,Broj,Muškarci,118.0
2006,congenital_malformations_deformations,Broj,Muškarci,32.0
2006,symptoms_signs_and_abnormal,Broj,Muškarci,1527.0
2006,injuries_poisoning_and_consequences,Broj,Muškarci,775.0
2006,external_causes_of_mortality,Broj,Muškarci,152.0
2006,unknown,Broj,Muškarci,578.0
2006,Ukupno,Broj,Muškarci,17308.0
2006,infectious_and_parasitic,Broj,Žene,90.0
2006,neoplasms,Broj,Žene,2.555
2006,diseases_of_the_blood,Broj,Žene,11.0
2006,endocrine_metabolic_and_nutritional,Broj,Žene,939.0
2006,mental_and_behavioural_disorders,Broj,Žene,30.0
2006,diseases_of_the_nervous,Broj,Žene,124.0
2006,diseases_of_the_eye,Broj,Žene,1.0
2006,diseases_of_the_circulatory,Broj,Žene,9.026
2006,diseases_of_the_respiratory,Broj,Žene,455.0
2006,diseases_of_the_digestive,Broj,Žene,333.0
2006,diseases_of_the_skin,Broj,Žene,5.0
2006,diseases_of_the_musculoskeletal,Broj,Žene,13.0
2006,diseases_of_the_genitourinary,Broj,Žene,254.0
2006,pregnancy_childbirth_and_the,Broj,Žene,3.0
2006,certain_conditions_originating,Broj,Žene,67.0
2006,congenital_malformations_deformations,Broj,Žene,24.0
2006,symptoms_signs_and_abnormal,Broj,Žene,1217.0
2006,injuries_poisoning_and_consequences,Broj,Žene,242.0
2006,external_causes_of_mortality,Broj,Žene,60.0
2006,factors_influencing_health_status,Broj,Žene,1.0
2006,unknown,Broj,Žene,463.0
2006,Ukupno,Broj,Žene,15913.0
2007,infectious_and_parasitic,Broj,Oba spola,250.0
2007,neoplasms,Broj,Oba spola,6.713
2007,diseases_of_the_blood,Broj,Oba spola,54.0
2007,endocrine_metabolic_and_nutritional,Broj,Oba spola,1.582
2007,mental_and_behavioural_disorders,Broj,Oba spola,162.0
2007,diseases_of_the_nervous,Broj,Oba spola,317.0
2007,diseases_of_the_eye,Broj,Oba spola,1.0
2007,diseases_of_the_circulatory,Broj,Oba spola,18.516
2007,diseases_of_the_respiratory,Broj,Oba spola,1145.0
2007,diseases_of_the_digestive,Broj,Oba spola,924.0
2007,diseases_of_the_skin,Broj,Oba spola,10.0
2007,diseases_of_the_musculoskeletal,Broj,Oba spola,32.0
2007,diseases_of_the_genitourinary,Broj,Oba spola,558.0
2007,pregnancy_childbirth_and_the,Broj,Oba spola,1.0
2007,certain_conditions_originating,Broj,Oba spola,133.0
2007,congenital_malformations_deformations,Broj,Oba spola,54.0
2007,symptoms_signs_and_abnormal,Broj,Oba spola,2219.0
2007,injuries_poisoning_and_consequences,Broj,Oba spola,1030.0
2007,external_causes_of_mortality,Broj,Oba spola,267.0
2007,unknown,Broj,Oba spola,1076.0
2007,Ukupno,Broj,Oba spola,35044.0
2007,infectious_and_parasitic,Broj,Muškarci,164.0
2007,neoplasms,Broj,Muškarci,3.983
2007,diseases_of_the_blood,Broj,Muškarci,22.0
2007,endocrine_metabolic_and_nutritional,Broj,Muškarci,609.0
2007,mental_and_behavioural_disorders,Broj,Muškarci,113.0
2007,diseases_of_the_nervous,Broj,Muškarci,161.0
2007,diseases_of_the_eye,Broj,Muškarci,1.0
2007,diseases_of_the_circulatory,Broj,Muškarci,8.697
2007,diseases_of_the_respiratory,Broj,Muškarci,664.0
2007,diseases_of_the_digestive,Broj,Muškarci,570.0
2007,diseases_of_the_skin,Broj,Muškarci,4.0
2007,diseases_of_the_musculoskeletal,Broj,Muškarci,9.0
2007,diseases_of_the_genitourinary,Broj,Muškarci,320.0
2007,pregnancy_childbirth_and_the,Broj,Muškarci,0.0
2007,certain_conditions_originating,Broj,Muškarci,79.0
2007,congenital_malformations_deformations,Broj,Muškarci,28.0
2007,symptoms_signs_and_abnormal,Broj,Muškarci,1143.0
2007,injuries_poisoning_and_consequences,Broj,Muškarci,766.0
2007,external_causes_of_mortality,Broj,Muškarci,199.0
2007,unknown,Broj,Muškarci,622.0
2007,Ukupno,Broj,Muškarci,18154.0
2007,infectious_and_parasitic,Broj,Žene,86.0
2007,neoplasms,Broj,Žene,2.73
2007,diseases_of_the_blood,Broj,Žene,32.0
2007,endocrine_metabolic_and_nutritional,Broj,Žene,973.0
2007,mental_and_behavioural_disorders,Broj,Žene,49.0
2007,diseases_of_the_nervous,Broj,Žene,156.0
2007,diseases_of_the_circulatory,Broj,Žene,9.819
2007,diseases_of_the_respiratory,Broj,Žene,481.0
2007,diseases_of_the_digestive,Broj,Žene,354.0
2007,diseases_of_the_skin,Broj,Žene,6.0
2007,diseases_of_the_musculoskeletal,Broj,Žene,23.0
2007,diseases_of_the_genitourinary,Broj,Žene,238.0
2007,pregnancy_childbirth_and_the,Broj,Žene,1.0
2007,certain_conditions_originating,Broj,Žene,54.0
2007,congenital_malformations_deformations,Broj,Žene,26.0
2007,symptoms_signs_and_abnormal,Broj,Žene,1076.0
2007,injuries_poisoning_and_consequences,Broj,Žene,264.0
2007,external_causes_of_mortality,Broj,Žene,68.0
2007,unknown,Broj,Žene,454.0
2007,Ukupno,Broj,Žene,16890.0
2008,infectious_and_parasitic,Broj,Oba spola,275.0
2008,neoplasms,Broj,Oba spola,6.734
2008,diseases_of_the_blood,Broj,Oba spola,37.0
2008,endocrine_metabolic_and_nutritional,Broj,Oba spola,1.563
2008,mental_and_behavioural_disorders,Broj,Oba spola,169.0
2008,diseases_of_the_nervous,Broj,Oba spola,287.0
2008,diseases_of_the_eye,Broj,Oba spola,1.0
2008,diseases_of_the_circulatory,Broj,Oba spola,17.988
2008,diseases_of_the_respiratory,Broj,Oba spola,1035.0
2008,diseases_of_the_digestive,Broj,Oba spola,846.0
2008,diseases_of_the_skin,Broj,Oba spola,10.0
2008,diseases_of_the_musculoskeletal,Broj,Oba spola,40.0
2008,diseases_of_the_genitourinary,Broj,Oba spola,571.0
2008,pregnancy_childbirth_and_the,Broj,Oba spola,4.0
2008,certain_conditions_originating,Broj,Oba spola,136.0
2008,congenital_malformations_deformations,Broj,Oba spola,61.0
2008,symptoms_signs_and_abnormal,Broj,Oba spola,2028.0
2008,injuries_poisoning_and_consequences,Broj,Oba spola,1200.0
2008,external_causes_of_mortality,Broj,Oba spola,2.0
2008,unknown,Broj,Oba spola,1039.0
2008,Ukupno,Broj,Oba spola,34026.0
2008,infectious_and_parasitic,Broj,Muškarci,170.0
2008,neoplasms,Broj,Muškarci,4.053
2008,diseases_of_the_blood,Broj,Muškarci,16.0
2008,endocrine_metabolic_and_nutritional,Broj,Muškarci,618.0
2008,mental_and_behavioural_disorders,Broj,Muškarci,127.0
2008,diseases_of_the_nervous,Broj,Muškarci,167.0
2008,diseases_of_the_circulatory,Broj,Muškarci,8.385
2008,diseases_of_the_respiratory,Broj,Muškarci,627.0
2008,diseases_of_the_digestive,Broj,Muškarci,512.0
2008,diseases_of_the_skin,Broj,Muškarci,3.0
2008,diseases_of_the_musculoskeletal,Broj,Muškarci,14.0
2008,diseases_of_the_genitourinary,Broj,Muškarci,306.0
2008,certain_conditions_originating,Broj,Muškarci,75.0
2008,congenital_malformations_deformations,Broj,Muškarci,32.0
2008,symptoms_signs_and_abnormal,Broj,Muškarci,1052.0
2008,injuries_poisoning_and_consequences,Broj,Muškarci,942.0
2008,external_causes_of_mortality,Broj,Muškarci,2.0
2008,unknown,Broj,Muškarci,586.0
2008,Ukupno,Broj,Muškarci,17687.0
2008,infectious_and_parasitic,Broj,Žene,105.0
2008,neoplasms,Broj,Žene,2.681
2008,diseases_of_the_blood,Broj,Žene,21.0
2008,endocrine_metabolic_and_nutritional,Broj,Žene,945.0
2008,mental_and_behavioural_disorders,Broj,Žene,42.0
2008,diseases_of_the_nervous,Broj,Žene,120.0
2008,diseases_of_the_eye,Broj,Žene,1.0
2008,diseases_of_the_circulatory,Broj,Žene,9.603
2008,diseases_of_the_respiratory,Broj,Žene,408.0
2008,diseases_of_the_digestive,Broj,Žene,334.0
2008,diseases_of_the_skin,Broj,Žene,7.0
2008,diseases_of_the_musculoskeletal,Broj,Žene,26.0
2008,diseases_of_the_genitourinary,Broj,Žene,265.0
2008,pregnancy_childbirth_and_the,Broj,Žene,4.0
2008,certain_conditions_originating,Broj,Žene,61.0
2008,congenital_malformations_deformations,Broj,Žene,29.0
2008,symptoms_signs_and_abnormal,Broj,Žene,976.0
2008,injuries_poisoning_and_consequences,Broj,Žene,258.0
2008,unknown,Broj,Žene,453.0
2008,Ukupno,Broj,Žene,16339.0
2009,infectious_and_parasitic,Broj,Oba spola,287.0
2009,neoplasms,Broj,Oba spola,6.97
2009,diseases_of_the_blood,Broj,Oba spola,41.0
2009,endocrine_metabolic_and_nutritional,Broj,Oba spola,1.999
2009,mental_and_behavioural_disorders,Broj,Oba spola,191.0
2009,diseases_of_the_nervous,Broj,Oba spola,319.0
2009,diseases_of_the_circulatory,Broj,Oba spola,18.295
2009,diseases_of_the_respiratory,Broj,Oba spola,1133.0
2009,diseases_of_the_digestive,Broj,Oba spola,936.0
2009,diseases_of_the_skin,Broj,Oba spola,9.0
2009,diseases_of_the_musculoskeletal,Broj,Oba spola,35.0
2009,diseases_of_the_genitourinary,Broj,Oba spola,588.0
2009,pregnancy_childbirth_and_the,Broj,Oba spola,1.0
2009,certain_conditions_originating,Broj,Oba spola,144.0
2009,congenital_malformations_deformations,Broj,Oba spola,61.0
2009,symptoms_signs_and_abnormal,Broj,Oba spola,1985.0
2009,injuries_poisoning_and_consequences,Broj,Oba spola,1256.0
2009,external_causes_of_mortality,Broj,Oba spola,2.0
2009,factors_influencing_health_status,Broj,Oba spola,2.0
2009,unknown,Broj,Oba spola,650.0
2009,Ukupno,Broj,Oba spola,34904.0
2009,infectious_and_parasitic,Broj,Muškarci,180.0
2009,neoplasms,Broj,Muškarci,4.118
2009,diseases_of_the_blood,Broj,Muškarci,17.0
2009,endocrine_metabolic_and_nutritional,Broj,Muškarci,766.0
2009,mental_and_behavioural_disorders,Broj,Muškarci,127.0
2009,diseases_of_the_nervous,Broj,Muškarci,167.0
2009,diseases_of_the_circulatory,Broj,Muškarci,8.586
2009,diseases_of_the_respiratory,Broj,Muškarci,644.0
2009,diseases_of_the_digestive,Broj,Muškarci,559.0
2009,diseases_of_the_skin,Broj,Muškarci,4.0
