Year,UNIT_MEASURE,FORM_OF_VIOLENCE,Administrative area,SURVEY_IMPLEMENTED_BY,Value
2019,% of total,,Federation of BiH,OSCE,1.0
2019,% of total,,Federation of BiH,OSCE,4.0
2019,% of total,,Federation of BiH,OSCE,2.0
2019,% of total,,Federation of BiH,OSCE,1.0
2019,% of total,,Federation of BiH,OSCE,0.5
2019,% of total,,Federation of BiH,OSCE,26.0
2019,% of total,,Federation of BiH,OSCE,9.0
2019,% of total,,Republika Srpska,OSCE,37.0
2019,% of total,,Republika Srpska,OSCE,9.0
2019,% of total,,Republika Srpska,OSCE,36.0
2019,% of total,,Republika Srpska,OSCE,9.0
2019,% of total,,Republika Srpska,OSCE,11.0
2019,% of total,,Republika Srpska,OSCE,3.0
2019,% of total,,Republika Srpska,OSCE,7.0
2019,% of total,,Republika Srpska,OSCE,7.0
2019,% of total,,Republika Srpska,OSCE,2.0
2019,% of total,,Republika Srpska,OSCE,3.0
2019,% of total,,Republika Srpska,OSCE,2.0
2019,% of total,,Republika Srpska,OSCE,0.2
2019,% of total,,Republika Srpska,OSCE,31.0
2019,% of total,,Republika Srpska,OSCE,14.0
2019,% of total,,Brčko District of BiH,OSCE,45.0
2019,% of total,,Brčko District of BiH,OSCE,43.0
2019,% of total,,Brčko District of BiH,OSCE,10.0
2019,% of total,,Brčko District of BiH,OSCE,5.0
2019,% of total,,Brčko District of BiH,OSCE,5.0
2019,% of total,,Brčko District of BiH,OSCE,1.0
2019,% of total,,Brčko District of BiH,OSCE,25.0
