Year,Entitet,UNIT_MEASURE,Spol,Value
2017,Federacija BiH,Starost,Muškarci,66.5
2018,Federacija BiH,Starost,Muškarci,66.8
2019,Federacija BiH,Starost,Muškarci,66.7
1961,Federacija BiH,Starost,Muškarci,67.5
1971,Federacija BiH,Starost,Muškarci,67.7
1981,Federacija BiH,Starost,Muškarci,68.2
1991,Federacija BiH,Starost,Muškarci,68.9
1996,Federacija BiH,Starost,Muškarci,69.0
1997,Federacija BiH,Starost,Muškarci,69.4
1998,Federacija BiH,Starost,Muškarci,69.6
1999,Federacija BiH,Starost,Muškarci,69.7
2000,Federacija BiH,Starost,Muškarci,70.1
2001,Federacija BiH,Starost,Muškarci,70.5
2002,Federacija BiH,Starost,Muškarci,70.5
2008,Federacija BiH,Starost,Žene,67.5
2009,Federacija BiH,Starost,Žene,66.8
2010,Federacija BiH,Starost,Žene,68.5
2011,Federacija BiH,Starost,Žene,69.3
2012,Federacija BiH,Starost,Žene,69.9
2013,Federacija BiH,Starost,Žene,70.3
2014,Federacija BiH,Starost,Žene,71.1
2015,Federacija BiH,Starost,Žene,71.3
2016,Federacija BiH,Starost,Žene,72.0
2017,Federacija BiH,Starost,Žene,71.7
2018,Federacija BiH,Starost,Žene,72.0
2019,Federacija BiH,Starost,Žene,72.5
2003,Federacija BiH,Starost,Žene,73.0
2004,Federacija BiH,Starost,Žene,73.3
2005,Federacija BiH,Starost,Žene,73.7
2006,Federacija BiH,Starost,Žene,74.1
2007,Federacija BiH,Starost,Žene,74.3
2008,Federacija BiH,Starost,Žene,74.7
2009,Federacija BiH,Starost,Žene,75.0
2010,Federacija BiH,Starost,Žene,74.9
2011,Federacija BiH,Starost,Žene,75.0
2012,Federacija BiH,Starost,Žene,75.5
2013,Federacija BiH,Starost,Žene,75.6
2010,Republika Srpska,Starost,Oba spola,72.1
2011,Republika Srpska,Starost,Oba spola,72.5
2012,Republika Srpska,Starost,Oba spola,73.0
2013,Republika Srpska,Starost,Oba spola,73.0
2014,Republika Srpska,Starost,Oba spola,73.0
2015,Republika Srpska,Starost,Oba spola,73.7
2016,Republika Srpska,Starost,Oba spola,73.8
2017,Republika Srpska,Starost,Oba spola,74.5
2018,Republika Srpska,Starost,Oba spola,74.5
2019,Republika Srpska,Starost,Oba spola,74.5
2009,Republika Srpska,Starost,Muškarci,64.9
2011,Republika Srpska,Starost,Muškarci,65.2
2012,Republika Srpska,Starost,Muškarci,66.5
2013,Republika Srpska,Starost,Muškarci,66.3
2014,Republika Srpska,Starost,Muškarci,67.0
2015,Republika Srpska,Starost,Muškarci,67.0
2016,Republika Srpska,Starost,Muškarci,67.3
2017,Republika Srpska,Starost,Muškarci,67.6
2018,Republika Srpska,Starost,Muškarci,68.2
2019,Republika Srpska,Starost,Muškarci,68.3
1961,Republika Srpska,Starost,Muškarci,68.9
1971,Republika Srpska,Starost,Muškarci,69.4
1981,Republika Srpska,Starost,Muškarci,69.6
1991,Republika Srpska,Starost,Muškarci,70.1
1996,Republika Srpska,Starost,Muškarci,70.1
1997,Republika Srpska,Starost,Muškarci,70.5
1998,Republika Srpska,Starost,Muškarci,71.0
1999,Republika Srpska,Starost,Muškarci,71.0
2000,Republika Srpska,Starost,Muškarci,71.6
2001,Republika Srpska,Starost,Muškarci,71.6
2002,Republika Srpska,Starost,Muškarci,71.7
2009,Republika Srpska,Starost,Žene,70.8
2011,Republika Srpska,Starost,Žene,71.2
2012,Republika Srpska,Starost,Žene,71.3
2013,Republika Srpska,Starost,Žene,72.0
2014,Republika Srpska,Starost,Žene,72.0
2015,Republika Srpska,Starost,Žene,72.0
2016,Republika Srpska,Starost,Žene,72.5
2017,Republika Srpska,Starost,Žene,73.1
2018,Republika Srpska,Starost,Žene,74.0
2019,Republika Srpska,Starost,Žene,74.3
2003,Republika Srpska,Starost,Žene,74.4
2004,Republika Srpska,Starost,Žene,74.9
2005,Republika Srpska,Starost,Žene,75.5
2006,Republika Srpska,Starost,Žene,76.1
2007,Republika Srpska,Starost,Žene,76.0
2008,Republika Srpska,Starost,Žene,76.1
2009,Republika Srpska,Starost,Žene,76.5
2010,Republika Srpska,Starost,Žene,76.9
2011,Republika Srpska,Starost,Žene,77.4
2012,Republika Srpska,Starost,Žene,77.4
2013,Republika Srpska,Starost,Žene,77.4
2004,Brčko Distrikt BiH,Starost,Oba spola,70.6
2005,Brčko Distrikt BiH,Starost,Oba spola,71.2
2006,Brčko Distrikt BiH,Starost,Oba spola,71.5
2007,Brčko Distrikt BiH,Starost,Oba spola,70.3
2008,Brčko Distrikt BiH,Starost,Oba spola,70.7
2009,Brčko Distrikt BiH,Starost,Oba spola,71.5
2010,Brčko Distrikt BiH,Starost,Oba spola,72.1
2011,Brčko Distrikt BiH,Starost,Oba spola,73.3
2012,Brčko Distrikt BiH,Starost,Oba spola,70.9
2013,Brčko Distrikt BiH,Starost,Oba spola,73.2
2014,Brčko Distrikt BiH,Starost,Oba spola,71.7
2015,Brčko Distrikt BiH,Starost,Oba spola,76.2
2016,Brčko Distrikt BiH,Starost,Oba spola,75.3
2017,Brčko Distrikt BiH,Starost,Oba spola,75.5
2018,Brčko Distrikt BiH,Starost,Oba spola,75.2
2019,Brčko Distrikt BiH,Starost,Oba spola,75.8
2015,Brčko Distrikt BiH,Starost,Muškarci,68.1
2016,Brčko Distrikt BiH,Starost,Muškarci,68.4
2017,Brčko Distrikt BiH,Starost,Muškarci,68.5
2018,Brčko Distrikt BiH,Starost,Muškarci,67.7
2019,Brčko Distrikt BiH,Starost,Muškarci,67.1
1961,Brčko Distrikt BiH,Starost,Muškarci,70.6
1971,Brčko Distrikt BiH,Starost,Muškarci,69.8
1981,Brčko Distrikt BiH,Starost,Muškarci,69.9
1991,Brčko Distrikt BiH,Starost,Muškarci,69.1
1996,Brčko Distrikt BiH,Starost,Muškarci,70.8
1997,Brčko Distrikt BiH,Starost,Muškarci,69.1
1998,Brčko Distrikt BiH,Starost,Muškarci,74.8
1999,Brčko Distrikt BiH,Starost,Muškarci,72.9
2000,Brčko Distrikt BiH,Starost,Muškarci,73.5
2001,Brčko Distrikt BiH,Starost,Muškarci,71.1
2002,Brčko Distrikt BiH,Starost,Muškarci,74.0
2015,Brčko Distrikt BiH,Starost,Žene,73.2
2016,Brčko Distrikt BiH,Starost,Žene,74.1
2017,Brčko Distrikt BiH,Starost,Žene,74.8
2018,Brčko Distrikt BiH,Starost,Žene,73.0
2019,Brčko Distrikt BiH,Starost,Žene,74.7
2003,Brčko Distrikt BiH,Starost,Žene,74.3
2004,Brčko Distrikt BiH,Starost,Žene,75.0
2005,Brčko Distrikt BiH,Starost,Žene,75.7
2006,Brčko Distrikt BiH,Starost,Žene,72.6
2007,Brčko Distrikt BiH,Starost,Žene,75.7
2008,Brčko Distrikt BiH,Starost,Žene,74.4
2009,Brčko Distrikt BiH,Starost,Žene,77.7
2010,Brčko Distrikt BiH,Starost,Žene,78.1
2011,Brčko Distrikt BiH,Starost,Žene,77.5
2012,Brčko Distrikt BiH,Starost,Žene,77.3
2013,Brčko Distrikt BiH,Starost,Žene,77.6
