Year,Administrative area,UNIT_MEASURE,Sex,Value
2009,Republika Srpska,Age,F,70.8
2011,Republika Srpska,Age,F,71.2
2012,Republika Srpska,Age,F,71.3
2013,Republika Srpska,Age,F,72.0
2014,Republika Srpska,Age,F,72.0
2015,Republika Srpska,Age,F,72.0
2016,Republika Srpska,Age,F,72.5
2017,Republika Srpska,Age,F,73.1
2018,Republika Srpska,Age,F,74.0
2019,Republika Srpska,Age,F,74.3
2003,Republika Srpska,Age,F,74.4
2004,Republika Srpska,Age,F,74.9
2005,Republika Srpska,Age,F,75.5
2006,Republika Srpska,Age,F,76.1
2007,Republika Srpska,Age,F,76.0
2008,Republika Srpska,Age,F,76.1
2009,Republika Srpska,Age,F,76.5
2010,Republika Srpska,Age,F,76.9
2011,Republika Srpska,Age,F,77.4
2012,Republika Srpska,Age,F,77.4
2013,Republika Srpska,Age,F,77.4
2004,Brčko District of BiH,Age,Both sexes,70.6
2005,Brčko District of BiH,Age,Both sexes,71.2
2006,Brčko District of BiH,Age,Both sexes,71.5
2007,Brčko District of BiH,Age,Both sexes,70.3
2008,Brčko District of BiH,Age,Both sexes,70.7
2009,Brčko District of BiH,Age,Both sexes,71.5
2010,Brčko District of BiH,Age,Both sexes,72.1
2011,Brčko District of BiH,Age,Both sexes,73.3
2012,Brčko District of BiH,Age,Both sexes,70.9
2013,Brčko District of BiH,Age,Both sexes,73.2
2014,Brčko District of BiH,Age,Both sexes,71.7
2015,Brčko District of BiH,Age,Both sexes,76.2
2016,Brčko District of BiH,Age,Both sexes,75.3
2017,Brčko District of BiH,Age,Both sexes,75.5
2018,Brčko District of BiH,Age,Both sexes,75.2
2019,Brčko District of BiH,Age,Both sexes,75.8
2015,Brčko District of BiH,Age,M,68.1
2016,Brčko District of BiH,Age,M,68.4
2017,Brčko District of BiH,Age,M,68.5
2018,Brčko District of BiH,Age,M,67.7
2019,Brčko District of BiH,Age,M,67.1
1961,Brčko District of BiH,Age,M,70.6
1971,Brčko District of BiH,Age,M,69.8
1981,Brčko District of BiH,Age,M,69.9
1991,Brčko District of BiH,Age,M,69.1
1996,Brčko District of BiH,Age,M,70.8
1997,Brčko District of BiH,Age,M,69.1
1998,Brčko District of BiH,Age,M,74.8
1999,Brčko District of BiH,Age,M,72.9
2000,Brčko District of BiH,Age,M,73.5
2001,Brčko District of BiH,Age,M,71.1
2002,Brčko District of BiH,Age,M,74.0
2015,Brčko District of BiH,Age,F,73.2
2016,Brčko District of BiH,Age,F,74.1
2017,Brčko District of BiH,Age,F,74.8
2018,Brčko District of BiH,Age,F,73.0
2019,Brčko District of BiH,Age,F,74.7
2003,Brčko District of BiH,Age,F,74.3
2004,Brčko District of BiH,Age,F,75.0
2005,Brčko District of BiH,Age,F,75.7
2006,Brčko District of BiH,Age,F,72.6
2007,Brčko District of BiH,Age,F,75.7
2008,Brčko District of BiH,Age,F,74.4
2009,Brčko District of BiH,Age,F,77.7
2010,Brčko District of BiH,Age,F,78.1
2011,Brčko District of BiH,Age,F,77.5
2012,Brčko District of BiH,Age,F,77.3
2013,Brčko District of BiH,Age,F,77.6
