Year,health_indicators,UNIT_MEASURE,Entitet,Value
2001,number_of_beds_in_hospitals,Broj,BiH,4.565
2001,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,BiH,1.731
2001,number_of_general_practitioners,Broj,BiH,324.0
2001,number_of_new_cases_of_HIV,Broj,Republika Srpska,5.0
2001,number_of_new_cases_of_HIV_per_100000_population,Broj,Republika Srpska,0.42
2001,number_of_beds_in_hospitals,Broj,Republika Srpska,4.565
2001,number_of_beds_in_hospitals_per_100000_population,Broj,Republika Srpska,382.0
2001,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,Republika Srpska,1.731
2001,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,Republika Srpska,145.0
2001,number_of_general_practitioners,Broj,Republika Srpska,324.0
2001,number_of_population_per_general_practitioner,Broj,Republika Srpska,3.689
2002,number_of_new_cases_of_syphilis,Broj,BiH,10.0
2002,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,BiH,3.0
2002,number_of_new_cases_of_HIV,Broj,BiH,4.0
2002,number_of_beds_in_hospitals,Broj,BiH,3.985
2002,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,BiH,1.786
2002,number_of_general_practitioners,Broj,BiH,313.0
2002,number_of_new_cases_of_syphilis,Broj,FBiH,10.0
2002,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,FBiH,3.0
2002,number_of_new_cases_of_HIV,Broj,Republika Srpska,4.0
2002,number_of_new_cases_of_HIV_per_100000_population,Broj,Republika Srpska,0.33
2002,number_of_beds_in_hospitals,Broj,Republika Srpska,3.985
2002,number_of_beds_in_hospitals_per_100000_population,Broj,Republika Srpska,334.0
2002,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,Republika Srpska,1.786
2002,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,Republika Srpska,150.0
2002,number_of_general_practitioners,Broj,Republika Srpska,313.0
2002,number_of_population_per_general_practitioner,Broj,Republika Srpska,3.815
2003,number_of_new_cases_of_syphilis,Broj,BiH,5.0
2003,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,BiH,3.0
2003,number_of_new_cases_of_HIV,Broj,BiH,12.0
2003,number_of_beds_in_hospitals,Broj,BiH,3.881
2003,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,BiH,1.802
2003,number_of_general_practitioners,Broj,BiH,328.0
2003,number_of_new_cases_of_syphilis,Broj,FBiH,5.0
2003,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,FBiH,3.0
2003,number_of_new_cases_of_HIV,Broj,FBiH,8.0
2003,number_of_new_cases_of_HIV_per_100000_population,Broj,FBiH,0.34
2003,number_of_new_cases_of_HIV,Broj,Republika Srpska,4.0
2003,number_of_new_cases_of_HIV_per_100000_population,Broj,Republika Srpska,0.34
2003,number_of_beds_in_hospitals,Broj,Republika Srpska,3.881
2003,number_of_beds_in_hospitals_per_100000_population,Broj,Republika Srpska,325.0
2003,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,Republika Srpska,1.802
2003,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,Republika Srpska,151.0
2003,number_of_general_practitioners,Broj,Republika Srpska,328.0
2003,number_of_population_per_general_practitioner,Broj,Republika Srpska,3.636
2004,number_of_new_cases_of_syphilis,Broj,BiH,18.0
2004,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,BiH,3.0
2004,number_of_new_cases_of_HIV,Broj,BiH,11.0
2004,number_of_beds_in_hospitals,Broj,BiH,3.652
2004,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,BiH,1.838
2004,number_of_general_practitioners,Broj,BiH,359.0
2004,number_of_new_cases_of_syphilis,Broj,FBiH,18.0
2004,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,FBiH,3.0
2004,number_of_new_cases_of_HIV,Broj,FBiH,10.0
2004,number_of_new_cases_of_HIV_per_100000_population,Broj,FBiH,0.43
2004,number_of_new_cases_of_HIV,Broj,Republika Srpska,1.0
2004,number_of_new_cases_of_HIV_per_100000_population,Broj,Republika Srpska,0.08
2004,number_of_beds_in_hospitals,Broj,Republika Srpska,3.652
2004,number_of_beds_in_hospitals_per_100000_population,Broj,Republika Srpska,307.0
2004,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,Republika Srpska,1.838
2004,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,Republika Srpska,154.0
2004,number_of_general_practitioners,Broj,Republika Srpska,359.0
2004,number_of_population_per_general_practitioner,Broj,Republika Srpska,3.316
2005,number_of_new_cases_of_cervical_cancer,Broj,BiH,142.0
2005,number_of_new_cases_of_female_breast_cancer,Broj,BiH,351.0
2005,number_of_new_cases_of_syphilis,Broj,BiH,18.0
2005,number_of_new_cases_of_gonorrhea,Broj,BiH,3.0
2005,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,BiH,7.0
2005,number_of_new_cases_of_HIV,Broj,BiH,11.0
2005,number_of_beds_in_hospitals,Broj,BiH,3.804
2005,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,BiH,5.54
2005,number_of_general_practitioners,Broj,BiH,399.0
2005,number_of_midwives,Broj,BiH,421.0
2005,number_of_new_cases_of_syphilis,Broj,FBiH,9.0
2005,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,FBiH,4.0
2005,number_of_new_cases_of_HIV,Broj,FBiH,11.0
2005,number_of_new_cases_of_HIV_per_100000_population,Broj,FBiH,0.47
2005,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,FBiH,3.683
2005,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,FBiH,158.0
2005,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,FBiH,2328434.0
2005,male_population,Broj,FBiH,1101958.0
2005,female_population,Broj,FBiH,1226476.0
2005,number_of_new_cases_of_cervical_cancer,Broj,Republika Srpska,142.0
2005,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Broj,Republika Srpska,19.12767047
2005,number_of_new_cases_of_female_breast_cancer,Broj,Republika Srpska,351.0
2005,number_of_new_cases_of_female_breast_cancer_per_100000,Broj,Republika Srpska,47.28036854
2005,number_of_new_cases_of_syphilis,Broj,Republika Srpska,9.0
2005,number_of_new_cases_of_gonorrhea,Broj,Republika Srpska,3.0
2005,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,Republika Srpska,3.0
2005,number_of_beds_in_hospitals,Broj,Republika Srpska,3804.0
2005,number_of_beds_in_hospitals_per_100000_population,Broj,Republika Srpska,262.9946966
2005,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,Republika Srpska,1857.0
2005,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,Republika Srpska,128.3862123
2005,number_of_general_practitioners,Broj,Republika Srpska,399.0
2005,number_of_population_per_general_practitioner,Broj,Republika Srpska,3625.105263
2005,number_of_midwives,Broj,Republika Srpska,421.0
2005,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,Republika Srpska,1446417.0
2005,male_population,Broj,Republika Srpska,704037.0
2005,female_population,Broj,Republika Srpska,742380.0
2005,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,Brčko Distrikt BiH,83930.0
2005,male_population,Broj,Brčko Distrikt BiH,41785.0
2005,female_population,Broj,Brčko Distrikt BiH,42145.0
2006,number_of_new_cases_of_cervical_cancer,Broj,BiH,139.0
2006,number_of_new_cases_of_female_breast_cancer,Broj,BiH,331.0
2006,number_of_new_cases_of_syphilis,Broj,BiH,15.0
2006,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,BiH,3.0
2006,number_of_new_cases_of_HIV,Broj,BiH,17.0
2006,number_of_beds_in_hospitals,Broj,BiH,4017.0
2006,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,BiH,5684.0
2006,number_of_general_practitioners,Broj,BiH,467.0
2006,number_of_midwives,Broj,BiH,409.0
2006,number_of_new_cases_of_syphilis,Broj,FBiH,15.0
2006,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,FBiH,3.0
2006,number_of_new_cases_of_HIV,Broj,FBiH,12.0
2006,number_of_new_cases_of_HIV_per_100000_population,Broj,FBiH,0.516125036
2006,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,FBiH,3767.0
2006,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,FBiH,162.020251
2006,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,FBiH,2325018.0
2006,male_population,Broj,FBiH,1137682.0
2006,female_population,Broj,FBiH,1187336.0
2006,number_of_new_cases_of_cervical_cancer,Broj,Republika Srpska,139.0
2006,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Broj,Republika Srpska,18.75866239
2006,number_of_new_cases_of_female_breast_cancer,Broj,Republika Srpska,331.0
2006,number_of_new_cases_of_female_breast_cancer_per_100000,Broj,Republika Srpska,44.66990827
2006,number_of_new_cases_of_HIV,Broj,Republika Srpska,5.0
2006,number_of_new_cases_of_HIV_per_100000_population,Broj,Republika Srpska,0.346330181
2006,number_of_beds_in_hospitals,Broj,Republika Srpska,4017.0
2006,number_of_beds_in_hospitals_per_100000_population,Broj,Republika Srpska,278.2416678
2006,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,Republika Srpska,1917.0
2006,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,Republika Srpska,132.7829916
2006,number_of_general_practitioners,Broj,Republika Srpska,467.0
2006,number_of_population_per_general_practitioner,Broj,Republika Srpska,3091.453961
2006,number_of_midwives,Broj,Republika Srpska,409.0
2006,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,Republika Srpska,1443709.0
2006,male_population,Broj,Republika Srpska,702718.0
2006,female_population,Broj,Republika Srpska,740991.0
2006,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,Brčko Distrikt BiH,84100.0
2006,male_population,Broj,Brčko Distrikt BiH,41866.0
2006,female_population,Broj,Brčko Distrikt BiH,42234.0
2007,number_of_new_cases_of_cervical_cancer,Broj,BiH,362.0
2007,number_of_new_cases_of_female_breast_cancer,Broj,BiH,918.0
2007,number_of_new_cases_of_syphilis,Broj,BiH,22.0
2007,number_of_new_cases_of_gonorrhea,Broj,BiH,3.0
2007,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,BiH,4.0
2007,number_of_new_cases_of_HIV,Broj,BiH,5.0
2007,number_of_beds_in_hospitals,Broj,BiH,12674.0
2007,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,BiH,5967.0
2007,number_of_general_practitioners,Broj,BiH,1037.0
2007,number_of_midwives,Broj,BiH,797.0
2007,number_of_new_cases_of_cervical_cancer,Broj,FBiH,178.0
2007,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Broj,FBiH,14.9701606
2007,number_of_new_cases_of_female_breast_cancer,Broj,FBiH,521.0
2007,number_of_new_cases_of_female_breast_cancer_per_100000,Broj,FBiH,43.81715547
2007,number_of_new_cases_of_syphilis,Broj,FBiH,17.0
2007,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,FBiH,4.0
2007,number_of_new_cases_of_HIV,Broj,FBiH,4.0
2007,number_of_new_cases_of_HIV_per_100000_population,Broj,FBiH,0.171794813
2007,number_of_beds_in_hospitals,Broj,FBiH,8165.0
2007,number_of_beds_in_hospitals_per_100000_population,Broj,FBiH,350.6761629
2007,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,FBiH,3979.0
2007,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,FBiH,170.8928907
2007,number_of_general_practitioners,Broj,FBiH,500.0
2007,number_of_population_per_general_practitioner,Broj,FBiH,4656.718
2007,number_of_midwives,Broj,FBiH,797.0
2007,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,FBiH,2328359.0
2007,male_population,Broj,FBiH,1139327.0
2007,female_population,Broj,FBiH,1189032.0
2007,number_of_new_cases_of_cervical_cancer,Broj,Republika Srpska,184.0
2007,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Broj,Republika Srpska,24.90124087
2007,number_of_new_cases_of_female_breast_cancer,Broj,Republika Srpska,397.0
2007,number_of_new_cases_of_female_breast_cancer_per_100000,Broj,Republika Srpska,53.72713383
2007,number_of_new_cases_of_syphilis,Broj,Republika Srpska,5.0
2007,number_of_new_cases_of_gonorrhea,Broj,Republika Srpska,3.0
2007,number_of_new_cases_of_HIV,Broj,Republika Srpska,1.0
2007,number_of_new_cases_of_HIV_per_100000_population,Broj,Republika Srpska,0.069460218
2007,number_of_beds_in_hospitals,Broj,Republika Srpska,4509.0
2007,number_of_beds_in_hospitals_per_100000_population,Broj,Republika Srpska,313.1961216
2007,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,Republika Srpska,1988.0
2007,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,Republika Srpska,138.0869128
2007,number_of_general_practitioners,Broj,Republika Srpska,537.0
2007,number_of_population_per_general_practitioner,Broj,Republika Srpska,2680.955307
2007,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,Republika Srpska,1439673.0
2007,male_population,Broj,Republika Srpska,700754.0
2007,female_population,Broj,Republika Srpska,738919.0
2007,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,Brčko Distrikt BiH,84258.0
2007,male_population,Broj,Brčko Distrikt BiH,41943.0
2007,female_population,Broj,Brčko Distrikt BiH,42315.0
2008,number_of_new_cases_of_cervical_cancer,Broj,BiH,326.0
2008,number_of_new_cases_of_female_breast_cancer,Broj,BiH,852.0
2008,number_of_new_cases_of_syphilis,Broj,BiH,15.0
2008,number_of_new_cases_of_gonorrhea,Broj,BiH,4.0
2008,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,BiH,4.0
2008,number_of_new_cases_of_HIV,Broj,BiH,7.0
2008,number_of_caesarean_sections,Broj,BiH,4105.0
2008,number_of_beds_in_hospitals,Broj,BiH,12546.0
2008,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,BiH,6165.0
2008,number_of_general_practitioners,Broj,BiH,1083.0
2008,number_of_midwives,Broj,BiH,1235.0
2008,number_of_new_cases_of_cervical_cancer,Broj,FBiH,131.0
2008,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Broj,FBiH,11.02287204
2008,number_of_new_cases_of_female_breast_cancer,Broj,FBiH,425.0
2008,number_of_new_cases_of_female_breast_cancer_per_100000,Broj,FBiH,35.76122608
2008,number_of_new_cases_of_syphilis,Broj,FBiH,11.0
2008,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,FBiH,4.0
2008,number_of_new_cases_of_HIV,Broj,FBiH,7.0
2008,number_of_new_cases_of_HIV_per_100000_population,Broj,FBiH,0.300791296
2008,number_of_caesarean_sections,Broj,FBiH,4105.0
2008,number_of_caesarean_sections_per_1000_live_births,Broj,FBiH,189.5
2008,number_of_beds_in_hospitals,Broj,FBiH,8091.0
2008,number_of_beds_in_hospitals_per_100000_population,Broj,FBiH,347.6717679
2008,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,FBiH,4117.0
2008,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,FBiH,176.9082522
2008,number_of_general_practitioners,Broj,FBiH,500.0
2008,number_of_population_per_general_practitioner,Broj,FBiH,4654.39
2008,number_of_midwives,Broj,FBiH,818.0
2008,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,FBiH,2327195.0
2008,male_population,Broj,FBiH,1138757.0
2008,female_population,Broj,FBiH,1188438.0
2008,number_of_new_cases_of_cervical_cancer,Broj,Republika Srpska,195.0
2008,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Broj,Republika Srpska,26.43021339
2008,number_of_new_cases_of_female_breast_cancer,Broj,Republika Srpska,427.0
2008,number_of_new_cases_of_female_breast_cancer_per_100000,Broj,Republika Srpska,57.87539035
2008,number_of_new_cases_of_syphilis,Broj,Republika Srpska,4.0
2008,number_of_new_cases_of_gonorrhea,Broj,Republika Srpska,4.0
2008,number_of_beds_in_hospitals,Broj,Republika Srpska,4455.0
2008,number_of_beds_in_hospitals_per_100000_population,Broj,Republika Srpska,309.9180022
2008,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,Republika Srpska,2048.0
2008,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,Republika Srpska,142.4718448
2008,number_of_general_practitioners,Broj,Republika Srpska,583.0
2008,number_of_population_per_general_practitioner,Broj,Republika Srpska,2465.655232
2008,number_of_midwives,Broj,Republika Srpska,417.0
2008,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,Republika Srpska,1437477.0
2008,male_population,Broj,Republika Srpska,699685.0
2008,female_population,Broj,Republika Srpska,737792.0
2008,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,Brčko Distrikt BiH,84233.0
2008,male_population,Broj,Brčko Distrikt BiH,41897.0
2008,female_population,Broj,Brčko Distrikt BiH,42336.0
2009,number_of_new_cases_of_cervical_cancer,Broj,BiH,369.0
2009,number_of_new_cases_of_female_breast_cancer,Broj,BiH,963.0
2009,number_of_new_cases_of_syphilis,Broj,BiH,10.0
2009,number_of_new_cases_of_gonorrhea,Broj,BiH,5.0
2009,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,BiH,2.0
2009,number_of_new_cases_of_HIV,Broj,BiH,8.0
2009,number_of_caesarean_sections,Broj,BiH,3806.0
2009,number_of_beds_in_hospitals,Broj,BiH,12795.0
2009,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,BiH,6369.0
2009,number_of_general_practitioners,Broj,BiH,1156.0
2009,number_of_midwives,Broj,BiH,1226.0
2009,number_of_new_cases_of_cervical_cancer,Broj,FBiH,177.0
2009,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Broj,FBiH,14.89272192
2009,number_of_new_cases_of_female_breast_cancer,Broj,FBiH,560.0
2009,number_of_new_cases_of_female_breast_cancer_per_100000,Broj,FBiH,47.11821624
2009,number_of_new_cases_of_syphilis,Broj,FBiH,5.0
2009,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,FBiH,2.0
2009,number_of_new_cases_of_HIV,Broj,FBiH,4.0
2009,number_of_new_cases_of_HIV_per_100000_population,Broj,FBiH,0.171871657
2009,number_of_caesarean_sections,Broj,FBiH,3806.0
2009,number_of_caesarean_sections_per_1000_live_births,Broj,FBiH,190.0
2009,number_of_beds_in_hospitals,Broj,FBiH,8409.0
2009,number_of_beds_in_hospitals_per_100000_population,Broj,FBiH,361.31719
2009,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,FBiH,4268.0
2009,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,FBiH,183.3870575
2009,number_of_general_practitioners,Broj,FBiH,527.0
2009,number_of_population_per_general_practitioner,Broj,FBiH,4416.163188
2009,number_of_midwives,Broj,FBiH,820.0
2009,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,FBiH,2327318.0
2009,male_population,Broj,FBiH,1138818.0
2009,female_population,Broj,FBiH,1188500.0
2009,number_of_new_cases_of_cervical_cancer,Broj,Republika Srpska,192.0
2009,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Broj,Republika Srpska,26.06528267
2009,number_of_new_cases_of_female_breast_cancer,Broj,Republika Srpska,403.0
2009,number_of_new_cases_of_female_breast_cancer_per_100000,Broj,Republika Srpska,54.70994228
2009,number_of_new_cases_of_syphilis,Broj,Republika Srpska,5.0
2009,number_of_new_cases_of_gonorrhea,Broj,Republika Srpska,5.0
2009,number_of_new_cases_of_HIV,Broj,Republika Srpska,4.0
2009,number_of_new_cases_of_HIV_per_100000_population,Broj,Republika Srpska,0.278710879
2009,number_of_beds_in_hospitals,Broj,Republika Srpska,4386.0
2009,number_of_beds_in_hospitals_per_100000_population,Broj,Republika Srpska,305.6064784
2009,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,Republika Srpska,2101.0
2009,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,Republika Srpska,146.392889
2009,number_of_general_practitioners,Broj,Republika Srpska,629.0
2009,number_of_population_per_general_practitioner,Broj,Republika Srpska,2281.683625
2009,number_of_midwives,Broj,Republika Srpska,406.0
2009,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,Republika Srpska,1435179.0
2009,male_population,Broj,Republika Srpska,698567.0
2009,female_population,Broj,Republika Srpska,736612.0
2009,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,Brčko Distrikt BiH,84260.0
2009,male_population,Broj,Brčko Distrikt BiH,41830.0
2009,female_population,Broj,Brčko Distrikt BiH,42430.0
2010,number_of_new_cases_of_cervical_cancer,Broj,BiH,424.0
2010,number_of_new_cases_of_female_breast_cancer,Broj,BiH,876.0
2010,number_of_new_cases_of_syphilis,Broj,BiH,22.0
2010,number_of_new_cases_of_gonorrhea,Broj,BiH,4.0
2010,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,BiH,6.0
2010,number_of_new_cases_of_HIV,Broj,BiH,7.0
2010,number_of_caesarean_sections,Broj,BiH,3080.0
2010,number_of_beds_in_hospitals,Broj,BiH,12967.0
2010,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,BiH,6540.0
2010,number_of_general_practitioners,Broj,BiH,1209.0
2010,number_of_midwives,Broj,BiH,1226.0
2010,number_of_new_cases_of_cervical_cancer,Broj,FBiH,151.0
2010,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Broj,FBiH,12.64888619
2010,number_of_new_cases_of_female_breast_cancer,Broj,FBiH,465.0
2010,number_of_new_cases_of_female_breast_cancer_per_100000,Broj,FBiH,38.95186806
2010,number_of_new_cases_of_syphilis,Broj,FBiH,7.0
2010,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,FBiH,3.0
2010,number_of_new_cases_of_HIV,Broj,FBiH,3.0
2010,number_of_new_cases_of_HIV_per_100000_population,Broj,FBiH,0.128333462
2010,number_of_caesarean_sections,Broj,FBiH,3080.0
2010,number_of_caesarean_sections_per_1000_live_births,Broj,FBiH,157.8
2010,number_of_beds_in_hospitals,Broj,FBiH,8597.0
2010,number_of_beds_in_hospitals_per_100000_population,Broj,FBiH,367.7609233
2010,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,FBiH,4355.0
2010,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,FBiH,186.2974085
2010,number_of_general_practitioners,Broj,FBiH,554.0
2010,number_of_population_per_general_practitioner,Broj,FBiH,4219.602888
2010,number_of_midwives,Broj,FBiH,831.0
2010,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,FBiH,2337660.0
2010,male_population,Broj,FBiH,1143879.0
2010,female_population,Broj,FBiH,1193781.0
2010,number_of_new_cases_of_cervical_cancer,Broj,Republika Srpska,273.0
2010,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Broj,Republika Srpska,37.11690056
2010,number_of_new_cases_of_female_breast_cancer,Broj,Republika Srpska,411.0
2010,number_of_new_cases_of_female_breast_cancer_per_100000,Broj,Republika Srpska,55.87928986
2010,number_of_new_cases_of_syphilis,Broj,Republika Srpska,15.0
2010,number_of_new_cases_of_gonorrhea,Broj,Republika Srpska,4.0
2010,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,Republika Srpska,3.0
2010,number_of_new_cases_of_HIV,Broj,Republika Srpska,4.0
2010,number_of_new_cases_of_HIV_per_100000_population,Broj,Republika Srpska,0.279127281
2010,number_of_caesarean_sections_per_1000_live_births,Broj,Republika Srpska,204.9
2010,number_of_beds_in_hospitals,Broj,Republika Srpska,4370.0
2010,number_of_beds_in_hospitals_per_100000_population,Broj,Republika Srpska,304.9465541
2010,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,Republika Srpska,2185.0
2010,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,Republika Srpska,152.4732771
2010,number_of_general_practitioners,Broj,Republika Srpska,655.0
2010,number_of_population_per_general_practitioner,Broj,Republika Srpska,2187.844275
2010,number_of_midwives,Broj,Republika Srpska,395.0
2010,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,Republika Srpska,1433038.0
2010,male_population,Broj,Republika Srpska,697524.0
2010,female_population,Broj,Republika Srpska,735514.0
2010,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Broj,Brčko Distrikt BiH,83995.0
2010,male_population,Broj,Brčko Distrikt BiH,41609.0
2010,female_population,Broj,Brčko Distrikt BiH,42386.0
2011,number_of_new_cases_of_cervical_cancer,Broj,BiH,299.0
2011,number_of_new_cases_of_female_breast_cancer,Broj,BiH,852.0
2011,number_of_new_cases_of_syphilis,Broj,BiH,30.0
2011,number_of_new_cases_of_gonorrhea,Broj,BiH,2.0
2011,number_of_new_cases_of_AIDS_clinically_diagnosed,Broj,BiH,7.0
2011,number_of_new_cases_of_HIV,Broj,BiH,25.0
2011,number_of_caesarean_sections,Broj,BiH,4598.0
2011,number_of_beds_in_hospitals,Broj,BiH,13001.0
2011,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,BiH,6729.0
2011,number_of_general_practitioners,Broj,BiH,1179.0
2011,number_of_midwives,Broj,BiH,1224.0
2011,number_of_new_cases_of_cervical_cancer,Broj,FBiH,123.0
2011,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Broj,FBiH,10.31430972
2011,number_of_new_cases_of_female_breast_cancer,Broj,FBiH,419.0
2011,number_of_new_cases_of_female_breast_cancer_per_100000,Broj,FBiH,35.13573799
2011,number_of_new_cases_of_syphilis,Broj,FBiH,5.0
