Year,UNIT_MEASURE,Пол,Административно подручје,Value
2002,NO_PER_1000_LIVE_BIRTHS,Оба пола,Република Српска,3.24
2003,NO_PER_1000_LIVE_BIRTHS,Оба пола,Република Српска,3.51
2004,NO_PER_1000_LIVE_BIRTHS,Оба пола,Република Српска,3.29
2005,NO_PER_1000_LIVE_BIRTHS,Оба пола,Република Српска,3.88
2006,NO_PER_1000_LIVE_BIRTHS,Оба пола,Република Српска,2.57
2007,NO_PER_1000_LIVE_BIRTHS,Оба пола,Република Српска,3.86
2008,NO_PER_1000_LIVE_BIRTHS,Оба пола,Република Српска,3.33
2009,NO_PER_1000_LIVE_BIRTHS,Оба пола,Република Српска,3.02
2010,NO_PER_1000_LIVE_BIRTHS,Оба пола,Република Српска,4.04
2011,NO_PER_1000_LIVE_BIRTHS,Оба пола,Република Српска,3.03
2012,NO_PER_1000_LIVE_BIRTHS,Оба пола,Република Српска,3.81
2013,NO_PER_1000_LIVE_BIRTHS,Оба пола,Република Српска,3.89
2014,NO_PER_1000_LIVE_BIRTHS,Оба пола,Република Српска,2.36
2015,NO_PER_1000_LIVE_BIRTHS,Оба пола,Република Српска,1.82
2016,NO_PER_1000_LIVE_BIRTHS,Оба пола,Република Српска,1.59
2017,NO_PER_1000_LIVE_BIRTHS,Оба пола,Република Српска,1.82
2018,NO_PER_1000_LIVE_BIRTHS,Оба пола,Република Српска,1.88
2019,NO_PER_1000_LIVE_BIRTHS,Оба пола,Република Српска,1.4
2004,NO_PER_1000_LIVE_BIRTHS,Оба пола,Брчко дистрикт БиХ,10.2
2005,NO_PER_1000_LIVE_BIRTHS,Оба пола,Брчко дистрикт БиХ,11.3
2006,NO_PER_1000_LIVE_BIRTHS,Оба пола,Брчко дистрикт БиХ,5.5
2007,NO_PER_1000_LIVE_BIRTHS,Оба пола,Брчко дистрикт БиХ,4.1
2008,NO_PER_1000_LIVE_BIRTHS,Оба пола,Брчко дистрикт БиХ,8.8
2009,NO_PER_1000_LIVE_BIRTHS,Оба пола,Брчко дистрикт БиХ,12.9
2010,NO_PER_1000_LIVE_BIRTHS,Оба пола,Брчко дистрикт БиХ,16.4
2011,NO_PER_1000_LIVE_BIRTHS,Оба пола,Брчко дистрикт БиХ,12.2
2012,NO_PER_1000_LIVE_BIRTHS,Оба пола,Брчко дистрикт БиХ,13.5
2013,NO_PER_1000_LIVE_BIRTHS,Оба пола,Брчко дистрикт БиХ,4.5
2014,NO_PER_1000_LIVE_BIRTHS,Оба пола,Брчко дистрикт БиХ,2.2
