Year,UNIT_MEASURE,Пол,Године,Административно подручје,Value
2013,Број,Ж,69,Федерација БиХ,8041
2013,Број,Ж,70,Федерација БиХ,8325
2013,Број,Ж,71,Федерација БиХ,9159
2013,Број,Ж,72,Федерација БиХ,9645
2013,Број,Ж,73,Федерација БиХ,10201
2013,Број,Ж,74,Федерација БиХ,9248
2013,Број,Ж,75,Федерација БиХ,9067
2013,Број,Ж,76,Федерација БиХ,8290
2013,Број,Ж,77,Федерација БиХ,7879
2013,Број,Ж,78,Федерација БиХ,7222
2013,Број,Ж,79,Федерација БиХ,6460
2013,Број,Ж,80,Федерација БиХ,5631
2013,Број,Ж,81,Федерација БиХ,5104
2013,Број,Ж,82,Федерација БиХ,4167
2013,Број,Ж,83,Федерација БиХ,3832
2013,Број,Ж,84,Федерација БиХ,3000
2013,Број,Ж,85+,Федерација БиХ,10790
2013,Број,Ж,Unknown,Федерација БиХ,0
2013,Број,Ж,Total,Федерација БиХ,1131227
2013,Број,Оба пола,0,Република Српска,10429
2013,Број,Оба пола,1,Република Српска,10772
2013,Број,Оба пола,2,Република Српска,10843
2013,Број,Оба пола,3,Република Српска,11419
2013,Број,Оба пола,4,Република Српска,11593
2013,Број,Оба пола,5,Република Српска,11423
2013,Број,Оба пола,6,Република Српска,11101
2013,Број,Оба пола,7,Република Српска,11156
2013,Број,Оба пола,8,Република Српска,11439
2013,Број,Оба пола,9,Република Српска,11497
2013,Број,Оба пола,10,Република Српска,11647
2013,Број,Оба пола,11,Република Српска,11856
2013,Број,Оба пола,12,Република Српска,12663
2013,Број,Оба пола,13,Република Српска,12738
2013,Број,Оба пола,14,Република Српска,13114
2013,Број,Оба пола,15,Република Српска,14028
2013,Број,Оба пола,16,Република Српска,15755
2013,Број,Оба пола,17,Република Српска,15004
2013,Број,Оба пола,18,Република Српска,15395
2013,Број,Оба пола,19,Република Српска,15356
2013,Број,Оба пола,20,Република Српска,12674
2013,Број,Оба пола,21,Република Српска,13765
2013,Број,Оба пола,22,Република Српска,15228
2013,Број,Оба пола,23,Република Српска,15159
2013,Број,Оба пола,24,Република Српска,15392
2013,Број,Оба пола,25,Република Српска,16111
2013,Број,Оба пола,26,Република Српска,16026
2013,Број,Оба пола,27,Република Српска,16257
2013,Број,Оба пола,28,Република Српска,16601
2013,Број,Оба пола,29,Република Српска,17391
2013,Број,Оба пола,30,Република Српска,17114
2013,Број,Оба пола,31,Република Српска,17339
2013,Број,Оба пола,32,Република Српска,17074
2013,Број,Оба пола,33,Република Српска,17163
2013,Број,Оба пола,34,Република Српска,16964
2013,Број,Оба пола,35,Република Српска,17055
2013,Број,Оба пола,36,Република Српска,17205
2013,Број,Оба пола,37,Република Српска,17747
2013,Број,Оба пола,38,Република Српска,16968
2013,Број,Оба пола,39,Република Српска,16470
2013,Број,Оба пола,40,Република Српска,16378
2013,Број,Оба пола,41,Република Српска,16692
2013,Број,Оба пола,42,Република Српска,15959
2013,Број,Оба пола,43,Република Српска,15159
2013,Број,Оба пола,44,Република Српска,15975
2013,Број,Оба пола,45,Република Српска,16366
2013,Број,Оба пола,46,Република Српска,17354
2013,Број,Оба пола,47,Република Српска,17644
2013,Број,Оба пола,48,Република Српска,18118
2013,Број,Оба пола,49,Република Српска,17764
2013,Број,Оба пола,50,Република Српска,18129
2013,Број,Оба пола,51,Република Српска,19279
2013,Број,Оба пола,52,Република Српска,19220
2013,Број,Оба пола,53,Република Српска,19247
2013,Број,Оба пола,54,Република Српска,20131
2013,Број,Оба пола,55,Република Српска,18809
2013,Број,Оба пола,56,Република Српска,18331
2013,Број,Оба пола,57,Република Српска,19518
2013,Број,Оба пола,58,Република Српска,20118
2013,Број,Оба пола,59,Република Српска,19897
2013,Број,Оба пола,60,Република Српска,20106
2013,Број,Оба пола,61,Република Српска,18842
2013,Број,Оба пола,62,Република Српска,16910
2013,Број,Оба пола,63,Република Српска,16983
2013,Број,Оба пола,64,Република Српска,16649
2013,Број,Оба пола,65,Република Српска,14404
2013,Број,Оба пола,66,Република Српска,15233
2013,Број,Оба пола,67,Република Српска,11899
2013,Број,Оба пола,68,Република Српска,9855
2013,Број,Оба пола,69,Република Српска,9879
2013,Број,Оба пола,70,Република Српска,9798
2013,Број,Оба пола,71,Република Српска,10268
2013,Број,Оба пола,72,Република Српска,11904
2013,Број,Оба пола,73,Република Српска,12421
2013,Број,Оба пола,74,Република Српска,11682
2013,Број,Оба пола,75,Република Српска,11369
2013,Број,Оба пола,76,Република Српска,10585
2013,Број,Оба пола,77,Република Српска,10014
2013,Број,Оба пола,78,Република Српска,8706
2013,Број,Оба пола,79,Република Српска,8117
2013,Број,Оба пола,80,Република Српска,6749
2013,Број,Оба пола,81,Република Српска,6055
2013,Број,Оба пола,82,Република Српска,4955
2013,Број,Оба пола,83,Република Српска,4658
2013,Број,Оба пола,84,Република Српска,3592
2013,Број,Оба пола,85+,Република Српска,11771
2013,Број,Оба пола,Unknown,Република Српска,0
2013,Број,Оба пола,Total,Република Српска,1228423
2013,Број,M,0,Република Српска,5330
2013,Број,M,1,Република Српска,5435
2013,Број,M,2,Република Српска,5617
2013,Број,M,3,Република Српска,5812
2013,Број,M,4,Република Српска,6053
2013,Број,M,5,Република Српска,5889
2013,Број,M,6,Република Српска,5619
2013,Број,M,7,Република Српска,5667
2013,Број,M,8,Република Српска,5903
2013,Број,M,9,Република Српска,5935
2013,Број,M,10,Република Српска,6009
2013,Број,M,11,Република Српска,6093
2013,Број,M,12,Република Српска,6516
2013,Број,M,13,Република Српска,6505
2013,Број,M,14,Република Српска,6626
2013,Број,M,15,Република Српска,7306
2013,Број,M,16,Република Српска,8099
2013,Број,M,17,Република Српска,7621
2013,Број,M,18,Република Српска,7885
2013,Број,M,19,Република Српска,7972
2013,Број,M,20,Република Српска,6576
2013,Број,M,21,Република Српска,7089
2013,Број,M,22,Република Српска,7914
2013,Број,M,23,Република Српска,7872
2013,Број,M,24,Република Српска,7801
2013,Број,M,25,Република Српска,8267
2013,Број,M,26,Република Српска,8234
2013,Број,M,27,Република Српска,8197
2013,Број,M,28,Република Српска,8623
2013,Број,M,29,Република Српска,8900
2013,Број,M,30,Република Српска,8788
2013,Број,M,31,Република Српска,8854
2013,Број,M,32,Република Српска,8715
2013,Број,M,33,Република Српска,8746
2013,Број,M,34,Република Српска,8644
2013,Број,M,35,Република Српска,8818
2013,Број,M,36,Република Српска,8821
2013,Број,M,37,Република Српска,9154
2013,Број,M,38,Република Српска,8748
2013,Број,M,39,Република Српска,8540
2013,Број,M,40,Република Српска,8485
2013,Број,M,41,Република Српска,8652
2013,Број,M,42,Република Српска,8241
2013,Број,M,43,Република Српска,7740
2013,Број,M,44,Република Српска,8229
2013,Број,M,45,Република Српска,8297
2013,Број,M,46,Република Српска,8826
2013,Број,M,47,Република Српска,8964
2013,Број,M,48,Република Српска,9100
2013,Број,M,49,Република Српска,8870
2013,Број,M,50,Република Српска,8995
2013,Број,M,51,Република Српска,9574
2013,Број,M,52,Република Српска,9575
2013,Број,M,53,Република Српска,9548
2013,Број,M,54,Република Српска,9833
2013,Број,M,55,Република Српска,9160
2013,Број,M,56,Република Српска,8931
2013,Број,M,57,Република Српска,9518
2013,Број,M,58,Република Српска,9803
2013,Број,M,59,Република Српска,9734
2013,Број,M,60,Република Српска,9704
2013,Број,M,61,Република Српска,8999
2013,Број,M,62,Република Српска,8098
2013,Број,M,63,Република Српска,8022
2013,Број,M,64,Република Српска,7849
2013,Број,M,65,Република Српска,6607
2013,Број,M,66,Република Српска,7031
2013,Број,M,67,Република Српска,5391
2013,Број,M,68,Република Српска,4414
2013,Број,M,69,Република Српска,4439
2013,Број,M,70,Република Српска,4144
2013,Број,M,71,Република Српска,4446
2013,Број,M,72,Република Српска,5149
2013,Број,M,73,Република Српска,5273
2013,Број,M,74,Република Српска,4938
2013,Број,M,75,Република Српска,4752
2013,Број,M,76,Република Српска,4366
2013,Број,M,77,Република Српска,3935
2013,Број,M,78,Република Српска,3377
2013,Број,M,79,Република Српска,3135
2013,Број,M,80,Република Српска,2568
2013,Број,M,81,Република Српска,2288
2013,Број,M,82,Република Српска,1859
2013,Број,M,83,Република Српска,1713
2013,Број,M,84,Република Српска,1335
2013,Број,M,85+,Република Српска,3927
2013,Број,M,Unknown,Република Српска,0
2013,Број,M,Total,Република Српска,603027
2013,Број,Ж,0,Република Српска,5099
2013,Број,Ж,1,Република Српска,5337
2013,Број,Ж,2,Република Српска,5226
2013,Број,Ж,3,Република Српска,5607
2013,Број,Ж,4,Република Српска,5540
2013,Број,Ж,5,Република Српска,5534
2013,Број,Ж,6,Република Српска,5482
2013,Број,Ж,7,Република Српска,5489
2013,Број,Ж,8,Република Српска,5536
2013,Број,Ж,9,Република Српска,5562
2013,Број,Ж,10,Република Српска,5638
2013,Број,Ж,11,Република Српска,5763
2013,Број,Ж,12,Република Српска,6147
2013,Број,Ж,13,Република Српска,6233
2013,Број,Ж,14,Република Српска,6488
2013,Број,Ж,15,Република Српска,6722
2013,Број,Ж,16,Република Српска,7656
2013,Број,Ж,17,Република Српска,7383
2013,Број,Ж,18,Република Српска,7510
2013,Број,Ж,19,Република Српска,7384
2013,Број,Ж,20,Република Српска,6098
2013,Број,Ж,21,Република Српска,6676
2013,Број,Ж,22,Република Српска,7314
2013,Број,Ж,23,Република Српска,7287
2013,Број,Ж,24,Република Српска,7591
2013,Број,Ж,25,Република Српска,7844
2013,Број,Ж,26,Република Српска,7792
2013,Број,Ж,27,Република Српска,8060
2013,Број,Ж,28,Република Српска,7978
2013,Број,Ж,29,Република Српска,8491
2013,Број,Ж,30,Република Српска,8326
2013,Број,Ж,31,Република Српска,8485
2013,Број,Ж,32,Република Српска,8359
2013,Број,Ж,33,Република Српска,8417
2013,Број,Ж,34,Република Српска,8320
2013,Број,Ж,35,Република Српска,8237
2013,Број,Ж,36,Република Српска,8384
2013,Број,Ж,37,Република Српска,8593
2013,Број,Ж,38,Република Српска,8220
2013,Број,Ж,39,Република Српска,7930
2013,Број,Ж,40,Република Српска,7893
2013,Број,Ж,41,Република Српска,8040
2013,Број,Ж,42,Република Српска,7718
2013,Број,Ж,43,Република Српска,7419
2013,Број,Ж,44,Република Српска,7746
2013,Број,Ж,45,Република Српска,8069
2013,Број,Ж,46,Република Српска,8528
2013,Број,Ж,47,Република Српска,8680
2013,Број,Ж,48,Република Српска,9018
2013,Број,Ж,49,Република Српска,8894
2013,Број,Ж,50,Република Српска,9134
2013,Број,Ж,51,Република Српска,9705
2013,Број,Ж,52,Република Српска,9645
2013,Број,Ж,53,Република Српска,9699
2013,Број,Ж,54,Република Српска,10298
2013,Број,Ж,55,Република Српска,9649
2013,Број,Ж,56,Република Српска,9400
2013,Број,Ж,57,Република Српска,10000
2013,Број,Ж,58,Република Српска,10315
2013,Број,Ж,59,Република Српска,10163
2013,Број,Ж,60,Република Српска,10402
2013,Број,Ж,61,Република Српска,9843
2013,Број,Ж,62,Република Српска,8812
2013,Број,Ж,63,Република Српска,8961
2013,Број,Ж,64,Република Српска,8800
2013,Број,Ж,65,Република Српска,7797
2013,Број,Ж,66,Република Српска,8202
2013,Број,Ж,67,Република Српска,6508
2013,Број,Ж,68,Република Српска,5441
2013,Број,Ж,69,Република Српска,5440
2013,Број,Ж,70,Република Српска,5654
2013,Број,Ж,71,Република Српска,5822
2013,Број,Ж,72,Република Српска,6755
2013,Број,Ж,73,Република Српска,7148
2013,Број,Ж,74,Република Српска,6744
2013,Број,Ж,75,Република Српска,6617
2013,Број,Ж,76,Република Српска,6219
2013,Број,Ж,77,Република Српска,6079
2013,Број,Ж,78,Република Српска,5329
2013,Број,Ж,79,Република Српска,4982
2013,Број,Ж,80,Република Српска,4181
2013,Број,Ж,81,Република Српска,3767
2013,Број,Ж,82,Република Српска,3096
2013,Број,Ж,83,Република Српска,2945
2013,Број,Ж,84,Република Српска,2257
2013,Број,Ж,85+,Република Српска,7844
2013,Број,Ж,Unknown,Република Српска,0
2013,Број,Ж,Total,Република Српска,625396
2013,Број,Оба пола,0,Брчко дистрикт БиХ,839
2013,Број,Оба пола,1,Брчко дистрикт БиХ,832
2013,Број,Оба пола,2,Брчко дистрикт БиХ,855
2013,Број,Оба пола,3,Брчко дистрикт БиХ,791
2013,Број,Оба пола,4,Брчко дистрикт БиХ,848
2013,Број,Оба пола,5,Брчко дистрикт БиХ,851
2013,Број,Оба пола,6,Брчко дистрикт БиХ,917
2013,Број,Оба пола,7,Брчко дистрикт БиХ,822
2013,Број,Оба пола,8,Брчко дистрикт БиХ,865
2013,Број,Оба пола,9,Брчко дистрикт БиХ,857
2013,Број,Оба пола,10,Брчко дистрикт БиХ,922
2013,Број,Оба пола,11,Брчко дистрикт БиХ,876
2013,Број,Оба пола,12,Брчко дистрикт БиХ,944
2013,Број,Оба пола,13,Брчко дистрикт БиХ,933
2013,Број,Оба пола,14,Брчко дистрикт БиХ,929
2013,Број,Оба пола,15,Брчко дистрикт БиХ,1072
2013,Број,Оба пола,16,Брчко дистрикт БиХ,1169
2013,Број,Оба пола,17,Брчко дистрикт БиХ,1113
2013,Број,Оба пола,18,Брчко дистрикт БиХ,1013
2013,Број,Оба пола,19,Брчко дистрикт БиХ,956
2013,Број,Оба пола,20,Брчко дистрикт БиХ,826
2013,Број,Оба пола,21,Брчко дистрикт БиХ,989
2013,Број,Оба пола,22,Брчко дистрикт БиХ,1056
2013,Број,Оба пола,23,Брчко дистрикт БиХ,1047
2013,Број,Оба пола,24,Брчко дистрикт БиХ,1018
2013,Број,Оба пола,25,Брчко дистрикт БиХ,1103
2013,Број,Оба пола,26,Брчко дистрикт БиХ,1113
2013,Број,Оба пола,27,Брчко дистрикт БиХ,1054
2013,Број,Оба пола,28,Брчко дистрикт БиХ,1235
2013,Број,Оба пола,29,Брчко дистрикт БиХ,1224
2013,Број,Оба пола,30,Брчко дистрикт БиХ,1230
2013,Број,Оба пола,31,Брчко дистрикт БиХ,1253
2013,Број,Оба пола,32,Брчко дистрикт БиХ,1154
2013,Број,Оба пола,33,Брчко дистрикт БиХ,1196
2013,Број,Оба пола,34,Брчко дистрикт БиХ,1158
2013,Број,Оба пола,35,Брчко дистрикт БиХ,1205
2013,Број,Оба пола,36,Брчко дистрикт БиХ,1176
2013,Број,Оба пола,37,Брчко дистрикт БиХ,1239
2013,Број,Оба пола,38,Брчко дистрикт БиХ,1207
2013,Број,Оба пола,39,Брчко дистрикт БиХ,1279
2013,Број,Оба пола,40,Брчко дистрикт БиХ,1256
2013,Број,Оба пола,41,Брчко дистрикт БиХ,1277
2013,Број,Оба пола,42,Брчко дистрикт БиХ,1160
2013,Број,Оба пола,43,Брчко дистрикт БиХ,1204
2013,Број,Оба пола,44,Брчко дистрикт БиХ,1248
2013,Број,Оба пола,45,Брчко дистрикт БиХ,1288
2013,Број,Оба пола,46,Брчко дистрикт БиХ,1301
2013,Број,Оба пола,47,Брчко дистрикт БиХ,1313
2013,Број,Оба пола,48,Брчко дистрикт БиХ,1404
2013,Број,Оба пола,49,Брчко дистрикт БиХ,1267
2013,Број,Оба пола,50,Брчко дистрикт БиХ,1317
2013,Број,Оба пола,51,Брчко дистрикт БиХ,1325
2013,Број,Оба пола,52,Брчко дистрикт БиХ,1362
2013,Број,Оба пола,53,Брчко дистрикт БиХ,1311
2013,Број,Оба пола,54,Брчко дистрикт БиХ,1258
2013,Број,Оба пола,55,Брчко дистрикт БиХ,1199
2013,Број,Оба пола,56,Брчко дистрикт БиХ,1110
2013,Број,Оба пола,57,Брчко дистрикт БиХ,1150
2013,Број,Оба пола,58,Брчко дистрикт БиХ,1167
2013,Број,Оба пола,59,Брчко дистрикт БиХ,1149
2013,Број,Оба пола,60,Брчко дистрикт БиХ,1100
2013,Број,Оба пола,61,Брчко дистрикт БиХ,1073
2013,Број,Оба пола,62,Брчко дистрикт БиХ,983
2013,Број,Оба пола,63,Брчко дистрикт БиХ,1052
2013,Број,Оба пола,64,Брчко дистрикт БиХ,940
2013,Број,Оба пола,65,Брчко дистрикт БиХ,899
