Year,Entitet,Spol,UNIT_MEASURE,Value
2004,Federacija BiH,Žene,%,24.2
2005,Federacija BiH,Žene,%,24.3
2006,Federacija BiH,Žene,%,24.3
2007,Federacija BiH,Žene,%,24.5
2008,Federacija BiH,Žene,%,24.6
2009,Federacija BiH,Žene,%,24.8
2010,Federacija BiH,Žene,%,24.9
2011,Federacija BiH,Žene,%,25.0
2012,Federacija BiH,Žene,%,25.2
2013,Federacija BiH,Žene,%,25.5
2014,Federacija BiH,Žene,%,25.2
2015,Federacija BiH,Žene,%,25.5
2016,Federacija BiH,Žene,%,25.4
2017,Federacija BiH,Žene,%,25.5
2018,Federacija BiH,Žene,%,25.8
2019,Federacija BiH,Žene,%,25.7
1998,Republika Srpska,Muškarci,%,28.6
2000,Republika Srpska,Muškarci,%,28.6
2003,Republika Srpska,Muškarci,%,28.3
2004,Republika Srpska,Muškarci,%,28.4
2005,Republika Srpska,Muškarci,%,28.6
2006,Republika Srpska,Muškarci,%,28.9
2007,Republika Srpska,Muškarci,%,28.9
2008,Republika Srpska,Muškarci,%,29.1
2009,Republika Srpska,Muškarci,%,29.1
2010,Republika Srpska,Muškarci,%,29.2
2011,Republika Srpska,Muškarci,%,29.5
2012,Republika Srpska,Muškarci,%,29.6
2013,Republika Srpska,Muškarci,%,29.9
2014,Republika Srpska,Muškarci,%,30.1
2015,Republika Srpska,Muškarci,%,30.0
2016,Republika Srpska,Muškarci,%,29.9
2017,Republika Srpska,Muškarci,%,30.2
2018,Republika Srpska,Muškarci,%,30.3
2019,Republika Srpska,Muškarci,%,30.2
1998,Republika Srpska,Žene,%,24.7
2000,Republika Srpska,Žene,%,24.9
2003,Republika Srpska,Žene,%,24.7
2004,Republika Srpska,Žene,%,24.8
2005,Republika Srpska,Žene,%,25.0
2006,Republika Srpska,Žene,%,25.3
2007,Republika Srpska,Žene,%,25.4
2008,Republika Srpska,Žene,%,25.4
2009,Republika Srpska,Žene,%,25.8
2010,Republika Srpska,Žene,%,25.9
2011,Republika Srpska,Žene,%,26.1
2012,Republika Srpska,Žene,%,26.3
2013,Republika Srpska,Žene,%,26.6
2014,Republika Srpska,Žene,%,26.7
2015,Republika Srpska,Žene,%,26.6
2016,Republika Srpska,Žene,%,26.7
2017,Republika Srpska,Žene,%,27.0
2018,Republika Srpska,Žene,%,27.3
2019,Republika Srpska,Žene,%,27.2
2004,Brčko Distrikt BiH,Muškarci,%,30.0
2005,Brčko Distrikt BiH,Muškarci,%,29.8
2006,Brčko Distrikt BiH,Muškarci,%,30.1
2007,Brčko Distrikt BiH,Muškarci,%,31.2
2008,Brčko Distrikt BiH,Muškarci,%,30.1
2009,Brčko Distrikt BiH,Muškarci,%,30.3
2010,Brčko Distrikt BiH,Muškarci,%,29.3
2011,Brčko Distrikt BiH,Muškarci,%,30.5
2012,Brčko Distrikt BiH,Muškarci,%,30.7
2013,Brčko Distrikt BiH,Muškarci,%,32.7
2014,Brčko Distrikt BiH,Muškarci,%,30.7
2015,Brčko Distrikt BiH,Muškarci,%,30.7
2016,Brčko Distrikt BiH,Muškarci,%,33.8
2017,Brčko Distrikt BiH,Muškarci,%,32.2
2018,Brčko Distrikt BiH,Muškarci,%,32.4
2019,Brčko Distrikt BiH,Muškarci,%,32.2
2004,Brčko Distrikt BiH,Žene,%,26.9
2005,Brčko Distrikt BiH,Žene,%,26.7
2006,Brčko Distrikt BiH,Žene,%,26.0
2007,Brčko Distrikt BiH,Žene,%,27.8
2008,Brčko Distrikt BiH,Žene,%,26.6
2009,Brčko Distrikt BiH,Žene,%,27.1
2010,Brčko Distrikt BiH,Žene,%,27.0
2011,Brčko Distrikt BiH,Žene,%,27.3
2012,Brčko Distrikt BiH,Žene,%,27.8
2013,Brčko Distrikt BiH,Žene,%,29.0
2014,Brčko Distrikt BiH,Žene,%,28.1
2015,Brčko Distrikt BiH,Žene,%,27.8
2016,Brčko Distrikt BiH,Žene,%,30.7
2017,Brčko Distrikt BiH,Žene,%,29.0
2018,Brčko Distrikt BiH,Žene,%,29.2
2019,Brčko Distrikt BiH,Žene,%,29.4
