Year,DIVORCES,UNIT_MEASURE,Entity,Value
2014,divorce_rate_(per_1,000_marriages),NUMBER,FBIH,110.2487064
2015,divorce_rate_(per_1,000_marriages),NUMBER,FBIH,115.7878508
2016,divorce_rate_(per_1,000_marriages),NUMBER,FBIH,112.9788898
2017,divorce_rate_(per_1,000_marriages),NUMBER,FBIH,132.7535786
2018,divorce_rate_(per_1,000_marriages),NUMBER,FBIH,139.5758365
2019,divorce_rate_(per_1,000_marriages),NUMBER,FBIH,136.3932822
1997,divorce_rate_(per_1,000_marriages),NUMBER,RS,95.07911163
1998,divorce_rate_(per_1,000_marriages),NUMBER,RS,102.1430559
1999,divorce_rate_(per_1,000_marriages),NUMBER,RS,93.50057013
2000,divorce_rate_(per_1,000_marriages),NUMBER,RS,92.64590421
2001,divorce_rate_(per_1,000_marriages),NUMBER,RS,115.6149882
2002,divorce_rate_(per_1,000_marriages),NUMBER,RS,117.2404258
2003,divorce_rate_(per_1,000_marriages),NUMBER,RS,109.9128379
2004,divorce_rate_(per_1,000_marriages),NUMBER,RS,89.17821644
2005,divorce_rate_(per_1,000_marriages),NUMBER,RS,105.8737151
2006,divorce_rate_(per_1,000_marriages),NUMBER,RS,76.67638484
2007,divorce_rate_(per_1,000_marriages),NUMBER,RS,84.026505
2008,divorce_rate_(per_1,000_marriages),NUMBER,RS,49.52351195
2009,divorce_rate_(per_1,000_marriages),NUMBER,RS,74.21301582
2010,divorce_rate_(per_1,000_marriages),NUMBER,RS,89.64799723
2011,divorce_rate_(per_1,000_marriages),NUMBER,RS,152.7059635
2012,divorce_rate_(per_1,000_marriages),NUMBER,RS,164.851671
2013,divorce_rate_(per_1,000_marriages),NUMBER,RS,192.427291
2014,divorce_rate_(per_1,000_marriages),NUMBER,RS,189.9364589
2015,divorce_rate_(per_1,000_marriages),NUMBER,RS,193.8931298
2016,divorce_rate_(per_1,000_marriages),NUMBER,RS,184.2531008
2017,divorce_rate_(per_1,000_marriages),NUMBER,RS,165.4350017
2018,divorce_rate_(per_1,000_marriages),NUMBER,RS,161.4146832
2019,divorce_rate_(per_1,000_marriages),NUMBER,RS,158.0212985
2002,divorce_rate_(per_1,000_marriages),NUMBER,BD,90.0621118
2003,divorce_rate_(per_1,000_marriages),NUMBER,BD,122.1374046
2004,divorce_rate_(per_1,000_marriages),NUMBER,BD,122.7621483
2005,divorce_rate_(per_1,000_marriages),NUMBER,BD,127.0553064
2006,divorce_rate_(per_1,000_marriages),NUMBER,BD,135.2154532
2007,divorce_rate_(per_1,000_marriages),NUMBER,BD,132.0224719
2008,divorce_rate_(per_1,000_marriages),NUMBER,BD,120.5882353
2009,divorce_rate_(per_1,000_marriages),NUMBER,BD,207.4626866
2010,divorce_rate_(per_1,000_marriages),NUMBER,BD,249.1909385
2011,divorce_rate_(per_1,000_marriages),NUMBER,BD,324.6329527
2012,divorce_rate_(per_1,000_marriages),NUMBER,BD,335.7041252
2013,divorce_rate_(per_1,000_marriages),NUMBER,BD,307.073955
2014,divorce_rate_(per_1,000_marriages),NUMBER,BD,378.5822021
2015,divorce_rate_(per_1,000_marriages),NUMBER,BD,464.1791045
2016,divorce_rate_(per_1,000_marriages),NUMBER,BD,442.5727412
2017,divorce_rate_(per_1,000_marriages),NUMBER,BD,410.8635097
2018,divorce_rate_(per_1,000_marriages),NUMBER,BD,471.5189873
2019,divorce_rate_(per_1,000_marriages),NUMBER,BD,312.1869783
1997,number_of_divorces,NUMBER,BiH,1835
1998,number_of_divorces,NUMBER,BiH,1964
1999,number_of_divorces,NUMBER,BiH,1995
2000,number_of_divorces,NUMBER,BiH,1929
2001,number_of_divorces,NUMBER,BiH,2126
2002,number_of_divorces,NUMBER,BiH,2272
2003,number_of_divorces,NUMBER,BiH,1918
2004,number_of_divorces,NUMBER,BiH,1523
2005,number_of_divorces,NUMBER,BiH,1763
2006,number_of_divorces,NUMBER,BiH,1659
2007,number_of_divorces,NUMBER,BiH,1826
2008,number_of_divorces,NUMBER,BiH,1369
2009,number_of_divorces,NUMBER,BiH,1402
2010,number_of_divorces,NUMBER,BiH,1676
2011,number_of_divorces,NUMBER,BiH,2309
2012,number_of_divorces,NUMBER,BiH,2294
2013,number_of_divorces,NUMBER,BiH,2609
2014,number_of_divorces,NUMBER,BiH,2686
2015,number_of_divorces,NUMBER,BiH,2963
2016,number_of_divorces,NUMBER,BiH,2773
2017,number_of_divorces,NUMBER,BiH,3022
2018,number_of_divorces,NUMBER,BiH,3091
2019,number_of_divorces,NUMBER,BiH,2790
1996,number_of_divorces,NUMBER,FBIH,378
1997,number_of_divorces,NUMBER,FBIH,1098
1998,number_of_divorces,NUMBER,FBIH,1163
1999,number_of_divorces,NUMBER,FBIH,1201
2000,number_of_divorces,NUMBER,FBIH,1180
2001,number_of_divorces,NUMBER,FBIH,1286
2002,number_of_divorces,NUMBER,FBIH,1424
2003,number_of_divorces,NUMBER,FBIH,1174
2004,number_of_divorces,NUMBER,FBIH,857
2005,number_of_divorces,NUMBER,FBIH,966
2006,number_of_divorces,NUMBER,FBIH,933
2007,number_of_divorces,NUMBER,FBIH,1031
2008,number_of_divorces,NUMBER,FBIH,938
2009,number_of_divorces,NUMBER,FBIH,805
2010,number_of_divorces,NUMBER,FBIH,994
2011,number_of_divorces,NUMBER,FBIH,1221
2012,number_of_divorces,NUMBER,FBIH,1176
2013,number_of_divorces,NUMBER,FBIH,1364
2014,number_of_divorces,NUMBER,FBIH,1321
2015,number_of_divorces,NUMBER,FBIH,1502
2016,number_of_divorces,NUMBER,FBIH,1445
2017,number_of_divorces,NUMBER,FBIH,1725
2018,number_of_divorces,NUMBER,FBIH,1823
2019,number_of_divorces,NUMBER,FBIH,1673
1997,number_of_divorces,NUMBER,RS,655
1998,number_of_divorces,NUMBER,RS,734
1999,number_of_divorces,NUMBER,RS,738
2000,number_of_divorces,NUMBER,RS,708
2001,number_of_divorces,NUMBER,RS,830
2002,number_of_divorces,NUMBER,RS,848
2003,number_of_divorces,NUMBER,RS,744
2004,number_of_divorces,NUMBER,RS,637
2005,number_of_divorces,NUMBER,RS,721
2006,number_of_divorces,NUMBER,RS,526
2007,number_of_divorces,NUMBER,RS,596
2008,number_of_divorces,NUMBER,RS,317
2009,number_of_divorces,NUMBER,RS,455
2010,number_of_divorces,NUMBER,RS,517
2011,number_of_divorces,NUMBER,RS,886
2012,number_of_divorces,NUMBER,RS,878
2013,number_of_divorces,NUMBER,RS,1052
2014,number_of_divorces,NUMBER,RS,1106
2015,number_of_divorces,NUMBER,RS,1143
2016,number_of_divorces,NUMBER,RS,1025
2017,number_of_divorces,NUMBER,RS,985
2018,number_of_divorces,NUMBER,RS,963
2019,number_of_divorces,NUMBER,RS,920
2002,number_of_divorces,NUMBER,BD,58
2003,number_of_divorces,NUMBER,BD,80
2004,number_of_divorces,NUMBER,BD,96
2005,number_of_divorces,NUMBER,BD,85
2006,number_of_divorces,NUMBER,BD,91
2007,number_of_divorces,NUMBER,BD,94
2008,number_of_divorces,NUMBER,BD,82
2009,number_of_divorces,NUMBER,BD,139
2010,number_of_divorces,NUMBER,BD,154
2011,number_of_divorces,NUMBER,BD,199
2012,number_of_divorces,NUMBER,BD,236
2013,number_of_divorces,NUMBER,BD,191
2014,number_of_divorces,NUMBER,BD,251
2015,number_of_divorces,NUMBER,BD,311
2016,number_of_divorces,NUMBER,BD,289
2017,number_of_divorces,NUMBER,BD,295
2018,number_of_divorces,NUMBER,BD,298
2019,number_of_divorces,NUMBER,BD,187
