SEX,CAUSE_OF_DEATH,Year,UNIT_MEASURE,Value
M,symptoms_signs_and_abnormal,2002,NUMBER,1535
M,injuries_poisoning_and_consequences,2002,NUMBER,751
M,external_causes_of_mortality,2002,NUMBER,180
M,factors_influencing_health_status,2002,NUMBER,1
M,unknown,2002,NUMBER,965
M,total,2002,NUMBER,16033
F,infectious_and_parasitic,2002,NUMBER,103
F,neoplasms,2002,NUMBER,2087
F,diseases_of_the_blood,2002,NUMBER,8
F,endocrine_metabolic_and_nutritional,2002,NUMBER,562
F,mental_and_behavioural_disorders,2002,NUMBER,27
F,diseases_of_the_nervous,2002,NUMBER,70
F,diseases_of_the_circulatory,2002,NUMBER,8463
F,diseases_of_the_respiratory,2002,NUMBER,339
F,diseases_of_the_digestive,2002,NUMBER,325
F,diseases_of_the_skin,2002,NUMBER,14
F,diseases_of_the_musculoskeletal,2002,NUMBER,8
F,diseases_of_the_genitourinary,2002,NUMBER,99
F,pregnancy_childbirth_and_the,2002,NUMBER,3
F,certain_conditions_originating,2002,NUMBER,98
F,congenital_malformations_deformations,2002,NUMBER,24
F,symptoms_signs_and_abnormal,2002,NUMBER,1448
F,injuries_poisoning_and_consequences,2002,NUMBER,233
F,external_causes_of_mortality,2002,NUMBER,62
F,unknown,2002,NUMBER,825
F,total,2002,NUMBER,14798
_T,neoplasms,2003,NUMBER,5771
_T,diseases_of_the_circulatory,2003,NUMBER,1699
_T,diseases_of_the_respiratory,2003,NUMBER,876
_T,diseases_of_the_digestive,2003,NUMBER,810
_T,symptoms_signs_and_abnormal,2003,NUMBER,3166
_T,injuries_poisoning_and_consequences,2003,NUMBER,950
_T,unknown,2003,NUMBER,770
_T,total,2003,NUMBER,29333
M,neoplasms,2003,NUMBER,3499
M,diseases_of_the_circulatory,2003,NUMBER,8001
M,diseases_of_the_respiratory,2003,NUMBER,542
M,diseases_of_the_digestive,2003,NUMBER,499
M,symptoms_signs_and_abnormal,2003,NUMBER,1612
M,injuries_poisoning_and_consequences,2003,NUMBER,706
M,unknown,2003,NUMBER,424
M,total,2003,NUMBER,15283
F,neoplasms,2003,NUMBER,2272
F,diseases_of_the_circulatory,2003,NUMBER,8989
F,diseases_of_the_respiratory,2003,NUMBER,334
F,diseases_of_the_digestive,2003,NUMBER,311
F,symptoms_signs_and_abnormal,2003,NUMBER,1554
F,injuries_poisoning_and_consequences,2003,NUMBER,244
F,unknown,2003,NUMBER,346
F,total,2003,NUMBER,14050
_T,infectious_and_parasitic,2004,NUMBER,255
_T,neoplasms,2004,NUMBER,5709
_T,diseases_of_the_blood,2004,NUMBER,31
_T,endocrine_metabolic_and_nutritional,2004,NUMBER,993
_T,mental_and_behavioural_disorders,2004,NUMBER,104
_T,diseases_of_the_nervous,2004,NUMBER,251
_T,diseases_of_the_circulatory,2004,NUMBER,177
_T,diseases_of_the_respiratory,2004,NUMBER,907
_T,diseases_of_the_digestive,2004,NUMBER,839
_T,diseases_of_the_skin,2004,NUMBER,11
_T,diseases_of_the_musculoskeletal,2004,NUMBER,16
_T,diseases_of_the_genitourinary,2004,NUMBER,467
_T,pregnancy_childbirth_and_the,2004,NUMBER,1
_T,certain_conditions_originating,2004,NUMBER,163
_T,congenital_malformations_deformations,2004,NUMBER,42
_T,symptoms_signs_and_abnormal,2004,NUMBER,2723
_T,injuries_poisoning_and_consequences,2004,NUMBER,920
_T,external_causes_of_mortality,2004,NUMBER,273
_T,factors_influencing_health_status,2004,NUMBER,1
_T,unknown,2004,NUMBER,1210
_T,total,2004,NUMBER,32616
M,infectious_and_parasitic,2004,NUMBER,152
M,neoplasms,2004,NUMBER,3398
M,diseases_of_the_blood,2004,NUMBER,10
M,endocrine_metabolic_and_nutritional,2004,NUMBER,377
M,mental_and_behavioural_disorders,2004,NUMBER,80
M,diseases_of_the_nervous,2004,NUMBER,126
M,diseases_of_the_circulatory,2004,NUMBER,8262
M,diseases_of_the_respiratory,2004,NUMBER,551
M,diseases_of_the_digestive,2004,NUMBER,498
M,diseases_of_the_skin,2004,NUMBER,2
M,diseases_of_the_musculoskeletal,2004,NUMBER,9
M,diseases_of_the_genitourinary,2004,NUMBER,248
M,certain_conditions_originating,2004,NUMBER,101
M,congenital_malformations_deformations,2004,NUMBER,26
M,symptoms_signs_and_abnormal,2004,NUMBER,1399
M,injuries_poisoning_and_consequences,2004,NUMBER,691
M,external_causes_of_mortality,2004,NUMBER,198
M,factors_influencing_health_status,2004,NUMBER,1
M,unknown,2004,NUMBER,651
M,total,2004,NUMBER,16780
F,infectious_and_parasitic,2004,NUMBER,103
F,neoplasms,2004,NUMBER,2311
F,diseases_of_the_blood,2004,NUMBER,21
F,endocrine_metabolic_and_nutritional,2004,NUMBER,616
F,mental_and_behavioural_disorders,2004,NUMBER,24
F,diseases_of_the_nervous,2004,NUMBER,125
F,diseases_of_the_circulatory,2004,NUMBER,9438
F,diseases_of_the_respiratory,2004,NUMBER,356
F,diseases_of_the_digestive,2004,NUMBER,341
F,diseases_of_the_skin,2004,NUMBER,9
F,diseases_of_the_musculoskeletal,2004,NUMBER,7
F,diseases_of_the_genitourinary,2004,NUMBER,219
F,pregnancy_childbirth_and_the,2004,NUMBER,1
F,certain_conditions_originating,2004,NUMBER,62
F,congenital_malformations_deformations,2004,NUMBER,16
F,symptoms_signs_and_abnormal,2004,NUMBER,1324
F,injuries_poisoning_and_consequences,2004,NUMBER,229
F,external_causes_of_mortality,2004,NUMBER,75
F,unknown,2004,NUMBER,559
F,total,2004,NUMBER,15836
_T,neoplasms,2005,NUMBER,6255
_T,diseases_of_the_circulatory,2005,NUMBER,17915
_T,diseases_of_the_respiratory,2005,NUMBER,1242
_T,diseases_of_the_digestive,2005,NUMBER,818
_T,symptoms_signs_and_abnormal,2005,NUMBER,2394
_T,injuries_poisoning_and_consequences,2005,NUMBER,952
_T,total,2005,NUMBER,29576
M,neoplasms,2005,NUMBER,3766
M,diseases_of_the_circulatory,2005,NUMBER,8559
M,diseases_of_the_respiratory,2005,NUMBER,726
M,diseases_of_the_digestive,2005,NUMBER,491
M,symptoms_signs_and_abnormal,2005,NUMBER,1312
M,injuries_poisoning_and_consequences,2005,NUMBER,718
M,total,2005,NUMBER,15572
F,neoplasms,2005,NUMBER,2489
F,diseases_of_the_circulatory,2005,NUMBER,9356
F,diseases_of_the_respiratory,2005,NUMBER,516
F,diseases_of_the_digestive,2005,NUMBER,327
F,symptoms_signs_and_abnormal,2005,NUMBER,1082
F,injuries_poisoning_and_consequences,2005,NUMBER,234
F,total,2005,NUMBER,14004
_T,infectious_and_parasitic,2006,NUMBER,237
_T,neoplasms,2006,NUMBER,6252
_T,diseases_of_the_blood,2006,NUMBER,20
_T,endocrine_metabolic_and_nutritional,2006,NUMBER,1537
_T,mental_and_behavioural_disorders,2006,NUMBER,118
_T,diseases_of_the_nervous,2006,NUMBER,298
_T,diseases_of_the_eye,2006,NUMBER,1
_T,diseases_of_the_circulatory,2006,NUMBER,16967
_T,diseases_of_the_respiratory,2006,NUMBER,1132
_T,diseases_of_the_digestive,2006,NUMBER,826
_T,diseases_of_the_skin,2006,NUMBER,11
_T,diseases_of_the_musculoskeletal,2006,NUMBER,16
_T,diseases_of_the_genitourinary,2006,NUMBER,547
_T,pregnancy_childbirth_and_the,2006,NUMBER,3
_T,certain_conditions_originating,2006,NUMBER,185
_T,congenital_malformations_deformations,2006,NUMBER,56
_T,symptoms_signs_and_abnormal,2006,NUMBER,2744
_T,injuries_poisoning_and_consequences,2006,NUMBER,1017
_T,external_causes_of_mortality,2006,NUMBER,212
_T,factors_influencing_health_status,2006,NUMBER,1
_T,unknown,2006,NUMBER,1041
_T,total,2006,NUMBER,33221
M,infectious_and_parasitic,2006,NUMBER,147
M,neoplasms,2006,NUMBER,3697
M,diseases_of_the_blood,2006,NUMBER,9
M,endocrine_metabolic_and_nutritional,2006,NUMBER,598
M,mental_and_behavioural_disorders,2006,NUMBER,88
M,diseases_of_the_nervous,2006,NUMBER,174
M,diseases_of_the_circulatory,2006,NUMBER,7941
M,diseases_of_the_respiratory,2006,NUMBER,677
M,diseases_of_the_digestive,2006,NUMBER,493
M,diseases_of_the_skin,2006,NUMBER,6
M,diseases_of_the_musculoskeletal,2006,NUMBER,3
M,diseases_of_the_genitourinary,2006,NUMBER,293
M,certain_conditions_originating,2006,NUMBER,118
M,congenital_malformations_deformations,2006,NUMBER,32
M,symptoms_signs_and_abnormal,2006,NUMBER,1527
M,injuries_poisoning_and_consequences,2006,NUMBER,775
M,external_causes_of_mortality,2006,NUMBER,152
M,unknown,2006,NUMBER,578
M,total,2006,NUMBER,17308
F,infectious_and_parasitic,2006,NUMBER,90
F,neoplasms,2006,NUMBER,2555
F,diseases_of_the_blood,2006,NUMBER,11
F,endocrine_metabolic_and_nutritional,2006,NUMBER,939
F,mental_and_behavioural_disorders,2006,NUMBER,30
F,diseases_of_the_nervous,2006,NUMBER,124
F,diseases_of_the_eye,2006,NUMBER,1
F,diseases_of_the_circulatory,2006,NUMBER,9026
F,diseases_of_the_respiratory,2006,NUMBER,455
F,diseases_of_the_digestive,2006,NUMBER,333
F,diseases_of_the_skin,2006,NUMBER,5
F,diseases_of_the_musculoskeletal,2006,NUMBER,13
F,diseases_of_the_genitourinary,2006,NUMBER,254
F,pregnancy_childbirth_and_the,2006,NUMBER,3
F,certain_conditions_originating,2006,NUMBER,67
F,congenital_malformations_deformations,2006,NUMBER,24
F,symptoms_signs_and_abnormal,2006,NUMBER,1217
F,injuries_poisoning_and_consequences,2006,NUMBER,242
F,external_causes_of_mortality,2006,NUMBER,60
F,factors_influencing_health_status,2006,NUMBER,1
F,unknown,2006,NUMBER,463
F,total,2006,NUMBER,15913
_T,infectious_and_parasitic,2007,NUMBER,250
_T,neoplasms,2007,NUMBER,6713
_T,diseases_of_the_blood,2007,NUMBER,54
_T,endocrine_metabolic_and_nutritional,2007,NUMBER,1582
_T,mental_and_behavioural_disorders,2007,NUMBER,162
_T,diseases_of_the_nervous,2007,NUMBER,317
_T,diseases_of_the_eye,2007,NUMBER,1
_T,diseases_of_the_circulatory,2007,NUMBER,18516
_T,diseases_of_the_respiratory,2007,NUMBER,1145
_T,diseases_of_the_digestive,2007,NUMBER,924
_T,diseases_of_the_skin,2007,NUMBER,10
_T,diseases_of_the_musculoskeletal,2007,NUMBER,32
_T,diseases_of_the_genitourinary,2007,NUMBER,558
_T,pregnancy_childbirth_and_the,2007,NUMBER,1
_T,certain_conditions_originating,2007,NUMBER,133
_T,congenital_malformations_deformations,2007,NUMBER,54
_T,symptoms_signs_and_abnormal,2007,NUMBER,2219
_T,injuries_poisoning_and_consequences,2007,NUMBER,1030
_T,external_causes_of_mortality,2007,NUMBER,267
_T,unknown,2007,NUMBER,1076
_T,total,2007,NUMBER,35044
M,infectious_and_parasitic,2007,NUMBER,164
M,neoplasms,2007,NUMBER,3983
M,diseases_of_the_blood,2007,NUMBER,22
M,endocrine_metabolic_and_nutritional,2007,NUMBER,609
M,mental_and_behavioural_disorders,2007,NUMBER,113
M,diseases_of_the_nervous,2007,NUMBER,161
M,diseases_of_the_eye,2007,NUMBER,1
M,diseases_of_the_circulatory,2007,NUMBER,8697
M,diseases_of_the_respiratory,2007,NUMBER,664
M,diseases_of_the_digestive,2007,NUMBER,570
M,diseases_of_the_skin,2007,NUMBER,4
M,diseases_of_the_musculoskeletal,2007,NUMBER,9
M,diseases_of_the_genitourinary,2007,NUMBER,320
M,pregnancy_childbirth_and_the,2007,NUMBER,0
M,certain_conditions_originating,2007,NUMBER,79
M,congenital_malformations_deformations,2007,NUMBER,28
M,symptoms_signs_and_abnormal,2007,NUMBER,1143
M,injuries_poisoning_and_consequences,2007,NUMBER,766
M,external_causes_of_mortality,2007,NUMBER,199
M,unknown,2007,NUMBER,622
M,total,2007,NUMBER,18154
F,infectious_and_parasitic,2007,NUMBER,86
F,neoplasms,2007,NUMBER,273
F,diseases_of_the_blood,2007,NUMBER,32
F,endocrine_metabolic_and_nutritional,2007,NUMBER,973
F,mental_and_behavioural_disorders,2007,NUMBER,49
F,diseases_of_the_nervous,2007,NUMBER,156
F,diseases_of_the_circulatory,2007,NUMBER,9819
F,diseases_of_the_respiratory,2007,NUMBER,481
F,diseases_of_the_digestive,2007,NUMBER,354
F,diseases_of_the_skin,2007,NUMBER,6
F,diseases_of_the_musculoskeletal,2007,NUMBER,23
F,diseases_of_the_genitourinary,2007,NUMBER,238
F,pregnancy_childbirth_and_the,2007,NUMBER,1
F,certain_conditions_originating,2007,NUMBER,54
F,congenital_malformations_deformations,2007,NUMBER,26
F,symptoms_signs_and_abnormal,2007,NUMBER,1076
F,injuries_poisoning_and_consequences,2007,NUMBER,264
F,external_causes_of_mortality,2007,NUMBER,68
F,unknown,2007,NUMBER,454
F,total,2007,NUMBER,16890
_T,infectious_and_parasitic,2008,NUMBER,275
_T,neoplasms,2008,NUMBER,6734
_T,diseases_of_the_blood,2008,NUMBER,37
_T,endocrine_metabolic_and_nutritional,2008,NUMBER,1563
_T,mental_and_behavioural_disorders,2008,NUMBER,169
_T,diseases_of_the_nervous,2008,NUMBER,287
_T,diseases_of_the_eye,2008,NUMBER,1
_T,diseases_of_the_circulatory,2008,NUMBER,17988
_T,diseases_of_the_respiratory,2008,NUMBER,1035
_T,diseases_of_the_digestive,2008,NUMBER,846
_T,diseases_of_the_skin,2008,NUMBER,10
_T,diseases_of_the_musculoskeletal,2008,NUMBER,40
_T,diseases_of_the_genitourinary,2008,NUMBER,571
_T,pregnancy_childbirth_and_the,2008,NUMBER,4
_T,certain_conditions_originating,2008,NUMBER,136
_T,congenital_malformations_deformations,2008,NUMBER,61
_T,symptoms_signs_and_abnormal,2008,NUMBER,2028
_T,injuries_poisoning_and_consequences,2008,NUMBER,1200
_T,external_causes_of_mortality,2008,NUMBER,2
_T,unknown,2008,NUMBER,1039
_T,total,2008,NUMBER,34026
M,infectious_and_parasitic,2008,NUMBER,170
M,neoplasms,2008,NUMBER,4053
M,diseases_of_the_blood,2008,NUMBER,16
M,endocrine_metabolic_and_nutritional,2008,NUMBER,618
M,mental_and_behavioural_disorders,2008,NUMBER,127
M,diseases_of_the_nervous,2008,NUMBER,167
M,diseases_of_the_circulatory,2008,NUMBER,8385
M,diseases_of_the_respiratory,2008,NUMBER,627
M,diseases_of_the_digestive,2008,NUMBER,512
M,diseases_of_the_skin,2008,NUMBER,3
M,diseases_of_the_musculoskeletal,2008,NUMBER,14
M,diseases_of_the_genitourinary,2008,NUMBER,306
M,certain_conditions_originating,2008,NUMBER,75
M,congenital_malformations_deformations,2008,NUMBER,32
M,symptoms_signs_and_abnormal,2008,NUMBER,1052
M,injuries_poisoning_and_consequences,2008,NUMBER,942
M,external_causes_of_mortality,2008,NUMBER,2
M,unknown,2008,NUMBER,586
M,total,2008,NUMBER,17687
F,infectious_and_parasitic,2008,NUMBER,105
F,neoplasms,2008,NUMBER,2681
F,diseases_of_the_blood,2008,NUMBER,21
F,endocrine_metabolic_and_nutritional,2008,NUMBER,945
F,mental_and_behavioural_disorders,2008,NUMBER,42
F,diseases_of_the_nervous,2008,NUMBER,120
F,diseases_of_the_eye,2008,NUMBER,1
F,diseases_of_the_circulatory,2008,NUMBER,9603
F,diseases_of_the_respiratory,2008,NUMBER,408
F,diseases_of_the_digestive,2008,NUMBER,334
F,diseases_of_the_skin,2008,NUMBER,7
F,diseases_of_the_musculoskeletal,2008,NUMBER,26
F,diseases_of_the_genitourinary,2008,NUMBER,265
F,pregnancy_childbirth_and_the,2008,NUMBER,4
F,certain_conditions_originating,2008,NUMBER,61
F,congenital_malformations_deformations,2008,NUMBER,29
F,symptoms_signs_and_abnormal,2008,NUMBER,976
F,injuries_poisoning_and_consequences,2008,NUMBER,258
F,unknown,2008,NUMBER,453
F,total,2008,NUMBER,16339
_T,infectious_and_parasitic,2009,NUMBER,287
_T,neoplasms,2009,NUMBER,697
_T,diseases_of_the_blood,2009,NUMBER,41
_T,endocrine_metabolic_and_nutritional,2009,NUMBER,1999
_T,mental_and_behavioural_disorders,2009,NUMBER,191
_T,diseases_of_the_nervous,2009,NUMBER,319
_T,diseases_of_the_circulatory,2009,NUMBER,18295
_T,diseases_of_the_respiratory,2009,NUMBER,1133
_T,diseases_of_the_digestive,2009,NUMBER,936
_T,diseases_of_the_skin,2009,NUMBER,9
_T,diseases_of_the_musculoskeletal,2009,NUMBER,35
_T,diseases_of_the_genitourinary,2009,NUMBER,588
_T,pregnancy_childbirth_and_the,2009,NUMBER,1
_T,certain_conditions_originating,2009,NUMBER,144
_T,congenital_malformations_deformations,2009,NUMBER,61
_T,symptoms_signs_and_abnormal,2009,NUMBER,1985
_T,injuries_poisoning_and_consequences,2009,NUMBER,1256
_T,external_causes_of_mortality,2009,NUMBER,2
_T,factors_influencing_health_status,2009,NUMBER,2
_T,unknown,2009,NUMBER,650
_T,total,2009,NUMBER,34904
M,infectious_and_parasitic,2009,NUMBER,180
M,neoplasms,2009,NUMBER,4118
M,diseases_of_the_blood,2009,NUMBER,17
M,endocrine_metabolic_and_nutritional,2009,NUMBER,766
M,mental_and_behavioural_disorders,2009,NUMBER,127
M,diseases_of_the_nervous,2009,NUMBER,167
M,diseases_of_the_circulatory,2009,NUMBER,8586
M,diseases_of_the_respiratory,2009,NUMBER,644
M,diseases_of_the_digestive,2009,NUMBER,559
M,diseases_of_the_skin,2009,NUMBER,4
M,diseases_of_the_musculoskeletal,2009,NUMBER,8
M,diseases_of_the_genitourinary,2009,NUMBER,299
M,certain_conditions_originating,2009,NUMBER,76
M,congenital_malformations_deformations,2009,NUMBER,31
M,symptoms_signs_and_abnormal,2009,NUMBER,1012
M,injuries_poisoning_and_consequences,2009,NUMBER,941
M,external_causes_of_mortality,2009,NUMBER,2
M,factors_influencing_health_status,2009,NUMBER,1
M,unknown,2009,NUMBER,346
M,total,2009,NUMBER,17884
F,infectious_and_parasitic,2009,NUMBER,107
F,neoplasms,2009,NUMBER,2852
F,diseases_of_the_blood,2009,NUMBER,24
F,endocrine_metabolic_and_nutritional,2009,NUMBER,1233
F,mental_and_behavioural_disorders,2009,NUMBER,64
F,diseases_of_the_nervous,2009,NUMBER,152
F,diseases_of_the_circulatory,2009,NUMBER,9709
F,diseases_of_the_respiratory,2009,NUMBER,489
F,diseases_of_the_digestive,2009,NUMBER,377
F,diseases_of_the_skin,2009,NUMBER,5
F,diseases_of_the_musculoskeletal,2009,NUMBER,27
F,diseases_of_the_genitourinary,2009,NUMBER,289
F,pregnancy_childbirth_and_the,2009,NUMBER,1
F,certain_conditions_originating,2009,NUMBER,68
F,congenital_malformations_deformations,2009,NUMBER,30
F,symptoms_signs_and_abnormal,2009,NUMBER,973
F,injuries_poisoning_and_consequences,2009,NUMBER,315
F,factors_influencing_health_status,2009,NUMBER,1
F,unknown,2009,NUMBER,304
F,total,2009,NUMBER,17020
_T,infectious_and_parasitic,2010,NUMBER,285
_T,neoplasms,2010,NUMBER,6973
_T,diseases_of_the_blood,2010,NUMBER,45
_T,endocrine_metabolic_and_nutritional,2010,NUMBER,1903
_T,mental_and_behavioural_disorders,2010,NUMBER,171
_T,diseases_of_the_nervous,2010,NUMBER,350
_T,diseases_of_the_eye,2010,NUMBER,2
_T,diseases_of_the_circulatory,2010,NUMBER,18805
_T,diseases_of_the_respiratory,2010,NUMBER,1145
_T,diseases_of_the_digestive,2010,NUMBER,918
_T,diseases_of_the_skin,2010,NUMBER,14
_T,diseases_of_the_musculoskeletal,2010,NUMBER,42
_T,diseases_of_the_genitourinary,2010,NUMBER,577
_T,pregnancy_childbirth_and_the,2010,NUMBER,1
_T,certain_conditions_originating,2010,NUMBER,138
_T,congenital_malformations_deformations,2010,NUMBER,63
_T,symptoms_signs_and_abnormal,2010,NUMBER,1916
_T,injuries_poisoning_and_consequences,2010,NUMBER,1117
_T,external_causes_of_mortality,2010,NUMBER,15
_T,factors_influencing_health_status,2010,NUMBER,0
_T,unknown,2010,NUMBER,638
_T,total,2010,NUMBER,35118
M,infectious_and_parasitic,2010,NUMBER,183
M,neoplasms,2010,NUMBER,4059
M,diseases_of_the_blood,2010,NUMBER,17
M,endocrine_metabolic_and_nutritional,2010,NUMBER,729
M,mental_and_behavioural_disorders,2010,NUMBER,118
M,diseases_of_the_nervous,2010,NUMBER,178
M,diseases_of_the_eye,2010,NUMBER,1
M,diseases_of_the_circulatory,2010,NUMBER,8699
M,diseases_of_the_respiratory,2010,NUMBER,681
M,diseases_of_the_digestive,2010,NUMBER,544
