Year,UNIT_MEASURE,TYPE_OF_DEPENDENCY_RATIO,SEX,Value
2065,%,total_support_ratio,M,115.81
2070,%,total_support_ratio,M,116.18
2018,%,young_age_support_ratio,M,20.55
2020,%,young_age_support_ratio,M,20.65
2025,%,young_age_support_ratio,M,20.34
2030,%,young_age_support_ratio,M,20.29
2035,%,young_age_support_ratio,M,19.98
2040,%,young_age_support_ratio,M,19.66
2045,%,young_age_support_ratio,M,19.82
2050,%,young_age_support_ratio,M,20.49
2055,%,young_age_support_ratio,M,21.30
2060,%,young_age_support_ratio,M,21.85
2065,%,young_age_support_ratio,M,22.23
2070,%,young_age_support_ratio,M,22.13
2018,%,old_age_support_ratio,M,23.78
2020,%,old_age_support_ratio,M,26.46
2025,%,old_age_support_ratio,M,33.64
2030,%,old_age_support_ratio,M,41.81
2035,%,old_age_support_ratio,M,49.00
2040,%,old_age_support_ratio,M,56.34
2045,%,old_age_support_ratio,M,64.52
2050,%,old_age_support_ratio,M,73.67
2055,%,old_age_support_ratio,M,82.36
2060,%,old_age_support_ratio,M,88.59
2065,%,old_age_support_ratio,M,93.58
2070,%,old_age_support_ratio,M,94.04
2018,%,older_persons_to_youth_ratio,M,115.71
2020,%,older_persons_to_youth_ratio,M,128.11
2025,%,older_persons_to_youth_ratio,M,165.41
2030,%,older_persons_to_youth_ratio,M,206.01
2035,%,older_persons_to_youth_ratio,M,245.28
2040,%,older_persons_to_youth_ratio,M,286.61
2045,%,older_persons_to_youth_ratio,M,325.51
2050,%,older_persons_to_youth_ratio,M,359.64
2055,%,older_persons_to_youth_ratio,M,386.67
2060,%,older_persons_to_youth_ratio,M,405.45
2065,%,older_persons_to_youth_ratio,M,420.87
2070,%,older_persons_to_youth_ratio,M,424.86
2018,%,total_support_ratio,F,44.32
2020,%,total_support_ratio,F,47.11
2025,%,total_support_ratio,F,53.97
2030,%,total_support_ratio,F,62.10
2035,%,total_support_ratio,F,68.98
2040,%,total_support_ratio,F,76.00
2045,%,total_support_ratio,F,84.34
2050,%,total_support_ratio,F,94.16
2055,%,total_support_ratio,F,103.66
2060,%,total_support_ratio,F,110.44
2065,%,total_support_ratio,F,115.81
2070,%,total_support_ratio,F,116.18
2018,%,young_age_support_ratio,F,20.55
2020,%,young_age_support_ratio,F,20.65
2025,%,young_age_support_ratio,F,20.34
2030,%,young_age_support_ratio,F,20.29
2035,%,young_age_support_ratio,F,19.98
2040,%,young_age_support_ratio,F,19.66
2045,%,young_age_support_ratio,F,19.82
2050,%,young_age_support_ratio,F,20.49
2055,%,young_age_support_ratio,F,21.30
2060,%,young_age_support_ratio,F,21.85
2065,%,young_age_support_ratio,F,22.23
2070,%,young_age_support_ratio,F,22.13
2018,%,old_age_support_ratio,F,23.78
2020,%,old_age_support_ratio,F,26.46
2025,%,old_age_support_ratio,F,33.64
2030,%,old_age_support_ratio,F,41.81
2035,%,old_age_support_ratio,F,49.00
2040,%,old_age_support_ratio,F,56.34
2045,%,old_age_support_ratio,F,64.52
2050,%,old_age_support_ratio,F,73.67
2055,%,old_age_support_ratio,F,82.36
2060,%,old_age_support_ratio,F,88.59
2065,%,old_age_support_ratio,F,93.58
2070,%,old_age_support_ratio,F,94.04
2018,%,older_persons_to_youth_ratio,F,115.71
2020,%,older_persons_to_youth_ratio,F,128.11
2025,%,older_persons_to_youth_ratio,F,165.41
2030,%,older_persons_to_youth_ratio,F,206.01
2035,%,older_persons_to_youth_ratio,F,245.28
2040,%,older_persons_to_youth_ratio,F,286.61
2045,%,older_persons_to_youth_ratio,F,325.51
2050,%,older_persons_to_youth_ratio,F,359.64
2055,%,older_persons_to_youth_ratio,F,386.67
2060,%,older_persons_to_youth_ratio,F,405.45
2065,%,older_persons_to_youth_ratio,F,420.87
2070,%,older_persons_to_youth_ratio,F,424.86
