Year,UNIT_MEASURE,Пол,Витална статистика,Value
2016,Број,M,Смртни случајеви,18542
2017,Број,M,Смртни случајеви,19186
2018,Број,M,Смртни случајеви,19007
2019,Број,M,Смртни случајеви,19787
1996,Број,Ж,Смртни случајеви,11200
1997,Број,Ж,Смртни случајеви,12691
1998,Број,Ж,Смртни случајеви,13376
1999,Број,Ж,Смртни случајеви,13476
2000,Број,Ж,Смртни случајеви,14424
2001,Број,Ж,Смртни случајеви,14123
2002,Број,Ж,Смртни случајеви,14508
2003,Број,Ж,Смртни случајеви,15167
2004,Број,Ж,Смртни случајеви,15836
2005,Број,Ж,Смртни случајеви,16384
2006,Број,Ж,Смртни случајеви,15913
2007,Број,Ж,Смртни случајеви,16890
2008,Број,Ж,Смртни случајеви,16339
2009,Број,Ж,Смртни случајеви,17020
2010,Број,Ж,Смртни случајеви,17218
2011,Број,Ж,Смртни случајеви,17063
2012,Број,Ж,Смртни случајеви,17381
2013,Број,Ж,Смртни случајеви,17445
2014,Број,Ж,Смртни случајеви,17620
2015,Број,Ж,Смртни случајеви,18931
2016,Број,Ж,Смртни случајеви,18029
2017,Број,Ж,Смртни случајеви,18793
2018,Број,Ж,Смртни случајеви,18737
2019,Број,Ж,Смртни случајеви,19042
1996,Број,Оба пола,Природно кретање,21442
1997,Број,Оба пола,Природно кретање,20522
1998,Број,Оба пола,Природно кретање,16328
1999,Број,Оба пола,Природно кретање,13827
2000,Број,Оба пола,Природно кретање,9081
2001,Број,Оба пола,Природно кретање,7392
2002,Број,Оба пола,Природно кретање,5432
2003,Број,Оба пола,Природно кретање,3477
2004,Број,Оба пола,Природно кретање,2535
2005,Број,Оба пола,Природно кретање,225
2006,Број,Оба пола,Природно кретање,812
2007,Број,Оба пола,Природно кретање,-1209
2008,Број,Оба пола,Природно кретање,150
2009,Број,Оба пола,Природно кретање,-354
2010,Број,Оба пола,Природно кретање,-1590
2011,Број,Оба пола,Природно кретање,-3217
2012,Број,Оба пола,Природно кретање,-3270
2013,Број,Оба пола,Природно кретање,-4978
2014,Број,Оба пола,Природно кретање,-5712
2015,Број,Оба пола,Природно кретање,-8380
2016,Број,Оба пола,Природно кретање,-6388
2017,Број,Оба пола,Природно кретање,-7779
2018,Број,Оба пола,Природно кретање,-8277
2019,Број,Оба пола,Природно кретање,-10469
