Year,Sex,Administrative area,UNIT_MEASURE,Value
2000,M,Republika Srpska,Age,28.6
2003,M,Republika Srpska,Age,28.3
2004,M,Republika Srpska,Age,28.4
2005,M,Republika Srpska,Age,28.6
2006,M,Republika Srpska,Age,28.9
2007,M,Republika Srpska,Age,28.9
2008,M,Republika Srpska,Age,29.1
2009,M,Republika Srpska,Age,29.1
2010,M,Republika Srpska,Age,29.2
2011,M,Republika Srpska,Age,29.5
2012,M,Republika Srpska,Age,29.6
2013,M,Republika Srpska,Age,29.9
2014,M,Republika Srpska,Age,30.1
2015,M,Republika Srpska,Age,30.0
2016,M,Republika Srpska,Age,29.9
2017,M,Republika Srpska,Age,30.2
2018,M,Republika Srpska,Age,30.3
2019,M,Republika Srpska,Age,30.2
1998,F,Republika Srpska,Age,24.7
2000,F,Republika Srpska,Age,24.9
2003,F,Republika Srpska,Age,24.7
2004,F,Republika Srpska,Age,24.8
2005,F,Republika Srpska,Age,25.0
2006,F,Republika Srpska,Age,25.3
2007,F,Republika Srpska,Age,25.4
2008,F,Republika Srpska,Age,25.4
2009,F,Republika Srpska,Age,25.8
2010,F,Republika Srpska,Age,25.9
2011,F,Republika Srpska,Age,26.1
2012,F,Republika Srpska,Age,26.3
2013,F,Republika Srpska,Age,26.6
2014,F,Republika Srpska,Age,26.7
2015,F,Republika Srpska,Age,26.6
2016,F,Republika Srpska,Age,26.7
2017,F,Republika Srpska,Age,27.0
2018,F,Republika Srpska,Age,27.3
2019,F,Republika Srpska,Age,27.2
2004,M,Brčko District of BiH,Age,30.0
2005,M,Brčko District of BiH,Age,29.8
2006,M,Brčko District of BiH,Age,30.1
2007,M,Brčko District of BiH,Age,31.2
2008,M,Brčko District of BiH,Age,30.1
2009,M,Brčko District of BiH,Age,30.3
2010,M,Brčko District of BiH,Age,29.3
2011,M,Brčko District of BiH,Age,30.5
2012,M,Brčko District of BiH,Age,30.7
2013,M,Brčko District of BiH,Age,32.7
2014,M,Brčko District of BiH,Age,30.7
2015,M,Brčko District of BiH,Age,30.7
2016,M,Brčko District of BiH,Age,33.8
2017,M,Brčko District of BiH,Age,32.2
2018,M,Brčko District of BiH,Age,32.4
2019,M,Brčko District of BiH,Age,32.2
2004,F,Brčko District of BiH,Age,26.9
2005,F,Brčko District of BiH,Age,26.7
2006,F,Brčko District of BiH,Age,26.0
2007,F,Brčko District of BiH,Age,27.8
2008,F,Brčko District of BiH,Age,26.6
2009,F,Brčko District of BiH,Age,27.1
2010,F,Brčko District of BiH,Age,27.0
2011,F,Brčko District of BiH,Age,27.3
2012,F,Brčko District of BiH,Age,27.8
2013,F,Brčko District of BiH,Age,29.0
2014,F,Brčko District of BiH,Age,28.1
2015,F,Brčko District of BiH,Age,27.8
2016,F,Brčko District of BiH,Age,30.7
2017,F,Brčko District of BiH,Age,29.0
2018,F,Brčko District of BiH,Age,29.2
2019,F,Brčko District of BiH,Age,29.4
