Year,UNIT_MEASURE,Administrative area,Sex,Value
1961,Age,Brčko District of BiH,M,70.6
1971,Age,Brčko District of BiH,M,69.8
1981,Age,Brčko District of BiH,M,69.9
1991,Age,Brčko District of BiH,M,69.1
1996,Age,Brčko District of BiH,M,70.8
1997,Age,Brčko District of BiH,M,69.1
1998,Age,Brčko District of BiH,M,74.8
1999,Age,Brčko District of BiH,M,72.9
2000,Age,Brčko District of BiH,M,73.5
2001,Age,Brčko District of BiH,M,71.1
2002,Age,Brčko District of BiH,M,74.0
2015,Age,Brčko District of BiH,F,73.2
2016,Age,Brčko District of BiH,F,74.1
2017,Age,Brčko District of BiH,F,74.8
2018,Age,Brčko District of BiH,F,73.0
2019,Age,Brčko District of BiH,F,74.7
2003,Age,Brčko District of BiH,F,74.3
2004,Age,Brčko District of BiH,F,75.0
2005,Age,Brčko District of BiH,F,75.7
2006,Age,Brčko District of BiH,F,72.6
2007,Age,Brčko District of BiH,F,75.7
2008,Age,Brčko District of BiH,F,74.4
2009,Age,Brčko District of BiH,F,77.7
2010,Age,Brčko District of BiH,F,78.1
2011,Age,Brčko District of BiH,F,77.5
2012,Age,Brčko District of BiH,F,77.3
2013,Age,Brčko District of BiH,F,77.6
