Year,UNIT_MEASURE,Sex,Administrative area,Value
2005,Number,M,Republika Srpska,20.0
2006,Number,M,Republika Srpska,20.0
2007,Number,M,Republika Srpska,23.0
2008,Number,M,Republika Srpska,20.0
2009,Number,M,Republika Srpska,21.0
2010,Number,M,Republika Srpska,23.0
2011,Number,M,Republika Srpska,12.0
2012,Number,M,Republika Srpska,24.0
2013,Number,M,Republika Srpska,17.0
2014,Number,M,Republika Srpska,13.0
2015,Number,M,Republika Srpska,8.0
2016,Number,M,Republika Srpska,5.0
2017,Number,M,Republika Srpska,10.0
2018,Number,M,Republika Srpska,11.0
2019,Number,M,Republika Srpska,4.0
1997,Number,F,Republika Srpska,39.0
1998,Number,F,Republika Srpska,37.0
1999,Number,F,Republika Srpska,31.0
2000,Number,F,Republika Srpska,25.0
2001,Number,F,Republika Srpska,39.0
2002,Number,F,Republika Srpska,23.0
2003,Number,F,Republika Srpska,20.0
2004,Number,F,Republika Srpska,16.0
2005,Number,F,Republika Srpska,20.0
2006,Number,F,Republika Srpska,7.0
2007,Number,F,Republika Srpska,16.0
2008,Number,F,Republika Srpska,14.0
2009,Number,F,Republika Srpska,11.0
2010,Number,F,Republika Srpska,18.0
2011,Number,F,Republika Srpska,17.0
2012,Number,F,Republika Srpska,14.0
2013,Number,F,Republika Srpska,20.0
2014,Number,F,Republika Srpska,9.0
2015,Number,F,Republika Srpska,9.0
2016,Number,F,Republika Srpska,10.0
2017,Number,F,Republika Srpska,7.0
2018,Number,F,Republika Srpska,7.0
2019,Number,F,Republika Srpska,9.0
1997,Number,Both sexes,Republika Srpska,77.0
1998,Number,Both sexes,Republika Srpska,56.0
1999,Number,Both sexes,Republika Srpska,70.0
2000,Number,Both sexes,Republika Srpska,52.0
2001,Number,Both sexes,Republika Srpska,77.0
2002,Number,Both sexes,Republika Srpska,40.0
2003,Number,Both sexes,Republika Srpska,37.0
2004,Number,Both sexes,Republika Srpska,35.0
2005,Number,Both sexes,Republika Srpska,40.0
2006,Number,Both sexes,Republika Srpska,27.0
2007,Number,Both sexes,Republika Srpska,39.0
2008,Number,Both sexes,Republika Srpska,34.0
2009,Number,Both sexes,Republika Srpska,32.0
2010,Number,Both sexes,Republika Srpska,41.0
2011,Number,Both sexes,Republika Srpska,29.0
2012,Number,Both sexes,Republika Srpska,38.0
2013,Number,Both sexes,Republika Srpska,37.0
2014,Number,Both sexes,Republika Srpska,22.0
2015,Number,Both sexes,Republika Srpska,17.0
2016,Number,Both sexes,Republika Srpska,15.0
2017,Number,Both sexes,Republika Srpska,17.0
2018,Number,Both sexes,Republika Srpska,18.0
2019,Number,Both sexes,Republika Srpska,13.0
2004,Number,M,Brčko District of BiH,4.0
2006,Number,M,Brčko District of BiH,1.0
2007,Number,M,Brčko District of BiH,1.0
2008,Number,M,Brčko District of BiH,3.0
2009,Number,M,Brčko District of BiH,6.0
2010,Number,M,Brčko District of BiH,4.0
2011,Number,M,Brčko District of BiH,5.0
2012,Number,M,Brčko District of BiH,4.0
2013,Number,M,Brčko District of BiH,1.0
2014,Number,M,Brčko District of BiH,1.0
2004,Number,F,Brčko District of BiH,6.0
2005,Number,F,Brčko District of BiH,11.0
2006,Number,F,Brčko District of BiH,4.0
2007,Number,F,Brčko District of BiH,3.0
2008,Number,F,Brčko District of BiH,5.0
2009,Number,F,Brčko District of BiH,6.0
2010,Number,F,Brčko District of BiH,11.0
2011,Number,F,Brčko District of BiH,6.0
2012,Number,F,Brčko District of BiH,9.0
2013,Number,F,Brčko District of BiH,3.0
2014,Number,F,Brčko District of BiH,1.0
2004,Number,Both sexes,Brčko District of BiH,10.0
2005,Number,Both sexes,Brčko District of BiH,11.0
2006,Number,Both sexes,Brčko District of BiH,5.0
2007,Number,Both sexes,Brčko District of BiH,4.0
2008,Number,Both sexes,Brčko District of BiH,8.0
2009,Number,Both sexes,Brčko District of BiH,12.0
2010,Number,Both sexes,Brčko District of BiH,15.0
2011,Number,Both sexes,Brčko District of BiH,11.0
2012,Number,Both sexes,Brčko District of BiH,13.0
2013,Number,Both sexes,Brčko District of BiH,4.0
2014,Number,Both sexes,Brčko District of BiH,2.0
