Year,UNIT_MEASURE,Municipality,Sex,AGE,Value
2013,Number,Bosanska Krupa,Both sexes,Oct-14,1612
2013,Number,Bosanska Krupa,M,Oct-14,846
2013,Number,Bosanska Krupa,F,Oct-14,766
2013,Number,Bosanski Petrovac,Both sexes,Oct-14,388
2013,Number,Bosanski Petrovac,M,Oct-14,208
2013,Number,Bosanski Petrovac,F,Oct-14,180
2013,Number,Bosansko Grahovo,Both sexes,Oct-14,67
2013,Number,Bosansko Grahovo,M,Oct-14,25
2013,Number,Bosansko Grahovo,F,Oct-14,42
2013,Number,Bratunac,Both sexes,Oct-14,1071
2013,Number,Bratunac,M,Oct-14,556
2013,Number,Bratunac,F,Oct-14,515
2013,Number,Brčko,Both sexes,Oct-14,4604
2013,Number,Brčko,M,Oct-14,2411
2013,Number,Brčko,F,Oct-14,2193
2013,Number,Breza,Both sexes,Oct-14,700
2013,Number,Breza,M,Oct-14,348
2013,Number,Breza,F,Oct-14,352
2013,Number,Brod,Both sexes,Oct-14,860
2013,Number,Brod,M,Oct-14,450
2013,Number,Brod,F,Oct-14,410
2013,Number,Bugojno,Both sexes,Oct-14,1874
2013,Number,Bugojno,M,Oct-14,946
2013,Number,Bugojno,F,Oct-14,928
2013,Number,Busovača,Both sexes,Oct-14,1137
2013,Number,Busovača,M,Oct-14,604
2013,Number,Busovača,F,Oct-14,533
2013,Number,Bužim,Both sexes,Oct-14,1469
2013,Number,Bužim,M,Oct-14,764
2013,Number,Bužim,F,Oct-14,705
2013,Number,Cazin,Both sexes,Oct-14,4356
2013,Number,Cazin,M,Oct-14,2241
2013,Number,Cazin,F,Oct-14,2115
2013,Number,Sarajevo - Centar,Both sexes,Oct-14,2392
2013,Number,Sarajevo - Centar,M,Oct-14,1222
2013,Number,Sarajevo - Centar,F,Oct-14,1170
2013,Number,Čajniče,Both sexes,Oct-14,234
2013,Number,Čajniče,M,Oct-14,130
2013,Number,Čajniče,F,Oct-14,104
2013,Number,Čapljina,Both sexes,Oct-14,1627
2013,Number,Čapljina,M,Oct-14,829
2013,Number,Čapljina,F,Oct-14,798
2013,Number,Čelić,Both sexes,Oct-14,687
2013,Number,Čelić,M,Oct-14,345
2013,Number,Čelić,F,Oct-14,342
2013,Number,Čelinac,Both sexes,Oct-14,818
2013,Number,Čelinac,M,Oct-14,431
2013,Number,Čelinac,F,Oct-14,387
2013,Number,Čitluk,Both sexes,Oct-14,1290
2013,Number,Čitluk,M,Oct-14,646
2013,Number,Čitluk,F,Oct-14,644
2013,Number,Derventa,Both sexes,Oct-14,1368
2013,Number,Derventa,M,Oct-14,682
2013,Number,Derventa,F,Oct-14,686
2013,Number,Doboj,Both sexes,Oct-14,3468
2013,Number,Doboj,M,Oct-14,1874
2013,Number,Doboj,F,Oct-14,1594
2013,Number,Doboj-Istok,Both sexes,Oct-14,607
2013,Number,Doboj-Istok,M,Oct-14,322
2013,Number,Doboj-Istok,F,Oct-14,285
2013,Number,Doboj-Jug,Both sexes,Oct-14,259
2013,Number,Doboj-Jug,M,Oct-14,130
2013,Number,Doboj-Jug,F,Oct-14,129
2013,Number,Dobretići,Both sexes,Oct-14,56
2013,Number,Dobretići,M,Oct-14,32
2013,Number,Dobretići,F,Oct-14,24
2013,Number,Domaljevac-Šamac,Both sexes,Oct-14,272
2013,Number,Domaljevac-Šamac,M,Oct-14,149
2013,Number,Domaljevac-Šamac,F,Oct-14,123
2013,Number,Donji Vakuf,Both sexes,Oct-14,958
2013,Number,Donji Vakuf,M,Oct-14,494
2013,Number,Donji Vakuf,F,Oct-14,464
2013,Number,Donji Žabar,Both sexes,Oct-14,231
2013,Number,Donji Žabar,M,Oct-14,116
2013,Number,Donji Žabar,F,Oct-14,115
2013,Number,Drvar,Both sexes,Oct-14,268
2013,Number,Drvar,M,Oct-14,147
2013,Number,Drvar,F,Oct-14,121
2013,Number,Foča - FBiH,Both sexes,Oct-14,85
2013,Number,Foča - FBiH,M,Oct-14,44
2013,Number,Foča - FBiH,F,Oct-14,41
2013,Number,Foča - RS,Both sexes,Oct-14,839
2013,Number,Foča - RS,M,Oct-14,415
2013,Number,Foča - RS,F,Oct-14,424
2013,Number,Fojnica,Both sexes,Oct-14,738
2013,Number,Fojnica,M,Oct-14,375
2013,Number,Fojnica,F,Oct-14,363
2013,Number,Gacko,Both sexes,Oct-14,552
2013,Number,Gacko,M,Oct-14,307
2013,Number,Gacko,F,Oct-14,245
2013,Number,Glamoč,Both sexes,Oct-14,177
2013,Number,Glamoč,M,Oct-14,102
2013,Number,Glamoč,F,Oct-14,75
2013,Number,Goražde,Both sexes,Oct-14,1086
2013,Number,Goražde,M,Oct-14,555
2013,Number,Goražde,F,Oct-14,531
2013,Number,Gornji Vakuf-Uskoplje,Both sexes,Oct-14,1350
2013,Number,Gornji Vakuf-Uskoplje,M,Oct-14,680
2013,Number,Gornji Vakuf-Uskoplje,F,Oct-14,670
2013,Number,Gračanica,Both sexes,Oct-14,2542
2013,Number,Gračanica,M,Oct-14,1307
2013,Number,Gračanica,F,Oct-14,1235
2013,Number,Gradačac,Both sexes,Oct-14,2398
2013,Number,Gradačac,M,Oct-14,1257
2013,Number,Gradačac,F,Oct-14,1141
2013,Number,Gradiška,Both sexes,Oct-14,2510
2013,Number,Gradiška,M,Oct-14,1263
2013,Number,Gradiška,F,Oct-14,1247
2013,Number,Grude,Both sexes,Oct-14,1096
2013,Number,Grude,M,Oct-14,537
2013,Number,Grude,F,Oct-14,559
2013,Number,Sarajevo - Hadžići,Both sexes,Oct-14,1385
2013,Number,Sarajevo - Hadžići,M,Oct-14,744
2013,Number,Sarajevo - Hadžići,F,Oct-14,641
2013,Number,Han Pijesak,Both sexes,Oct-14,137
2013,Number,Han Pijesak,M,Oct-14,70
2013,Number,Han Pijesak,F,Oct-14,67
2013,Number,Sarajevo - Ilidža,Both sexes,Oct-14,3675
2013,Number,Sarajevo - Ilidža,M,Oct-14,1877
2013,Number,Sarajevo - Ilidža,F,Oct-14,1798
2013,Number,Sarajevo - Ilijaš,Both sexes,Oct-14,1112
2013,Number,Sarajevo - Ilijaš,M,Oct-14,556
2013,Number,Sarajevo - Ilijaš,F,Oct-14,556
2013,Number,Istočna Ilidža,Both sexes,Oct-14,695
2013,Number,Istočna Ilidža,M,Oct-14,331
2013,Number,Istočna Ilidža,F,Oct-14,364
2013,Number,Istočni Drvar,Both sexes,Oct-14,2
2013,Number,Istočni Drvar,M,Oct-14,2
2013,Number,Istočni Drvar,F,Oct-14,0
2013,Number,Istočni Mostar,Both sexes,Oct-14,14
2013,Number,Istočni Mostar,M,Oct-14,9
2013,Number,Istočni Mostar,F,Oct-14,5
2013,Number,Istočni Stari Grad,Both sexes,Oct-14,31
2013,Number,Istočni Stari Grad,M,Oct-14,18
2013,Number,Istočni Stari Grad,F,Oct-14,13
2013,Number,Istočno Novo Sarajevo,Both sexes,Oct-14,504
2013,Number,Istočno Novo Sarajevo,M,Oct-14,250
2013,Number,Istočno Novo Sarajevo,F,Oct-14,254
2013,Number,Jablanica,Both sexes,Oct-14,471
2013,Number,Jablanica,M,Oct-14,241
2013,Number,Jablanica,F,Oct-14,230
2013,Number,Jajce,Both sexes,Oct-14,1651
2013,Number,Jajce,M,Oct-14,847
2013,Number,Jajce,F,Oct-14,804
2013,Number,Jezero,Both sexes,Oct-14,66
2013,Number,Jezero,M,Oct-14,37
2013,Number,Jezero,F,Oct-14,29
2013,Number,Kakanj,Both sexes,Oct-14,2211
2013,Number,Kakanj,M,Oct-14,1112
2013,Number,Kakanj,F,Oct-14,1099
2013,Number,Kalesija,Both sexes,Oct-14,2073
2013,Number,Kalesija,M,Oct-14,1078
2013,Number,Kalesija,F,Oct-14,995
2013,Number,Kalinovik,Both sexes,Oct-14,79
2013,Number,Kalinovik,M,Oct-14,25
2013,Number,Kalinovik,F,Oct-14,54
2013,Number,Kiseljak,Both sexes,Oct-14,1284
2013,Number,Kiseljak,M,Oct-14,674
2013,Number,Kiseljak,F,Oct-14,610
2013,Number,Kladanj,Both sexes,Oct-14,712
2013,Number,Kladanj,M,Oct-14,354
2013,Number,Kladanj,F,Oct-14,358
2013,Number,Ključ,Both sexes,Oct-14,986
2013,Number,Ključ,M,Oct-14,504
2013,Number,Ključ,F,Oct-14,482
2013,Number,Kneževo,Both sexes,Oct-14,560
2013,Number,Kneževo,M,Oct-14,283
2013,Number,Kneževo,F,Oct-14,277
2013,Number,Konjic,Both sexes,Oct-14,1390
2013,Number,Konjic,M,Oct-14,707
2013,Number,Konjic,F,Oct-14,683
2013,Number,Kostajnica,Both sexes,Oct-14,255
2013,Number,Kostajnica,M,Oct-14,133
2013,Number,Kostajnica,F,Oct-14,122
2013,Number,Kotor Varoš,Both sexes,Oct-14,1247
2013,Number,Kotor Varoš,M,Oct-14,648
2013,Number,Kotor Varoš,F,Oct-14,599
2013,Number,Kozarska Dubica,Both sexes,Oct-14,932
2013,Number,Kozarska Dubica,M,Oct-14,482
2013,Number,Kozarska Dubica,F,Oct-14,450
2013,Number,Kreševo,Both sexes,Oct-14,294
2013,Number,Kreševo,M,Oct-14,158
2013,Number,Kreševo,F,Oct-14,136
2013,Number,Krupa Na Uni,Both sexes,Oct-14,76
2013,Number,Krupa Na Uni,M,Oct-14,34
2013,Number,Krupa Na Uni,F,Oct-14,42
2013,Number,Kupres - FBiH,Both sexes,Oct-14,315
2013,Number,Kupres - FBiH,M,Oct-14,155
2013,Number,Kupres - FBiH,F,Oct-14,160
2013,Number,Kupres - RS,Both sexes,Oct-14,14
2013,Number,Kupres - RS,M,Oct-14,8
2013,Number,Kupres - RS,F,Oct-14,6
2013,Number,Laktaši,Both sexes,Oct-14,1940
2013,Number,Laktaši,M,Oct-14,1005
2013,Number,Laktaši,F,Oct-14,935
2013,Number,Livno,Both sexes,Oct-14,1790
2013,Number,Livno,M,Oct-14,905
2013,Number,Livno,F,Oct-14,885
2013,Number,Lopare,Both sexes,Oct-14,734
2013,Number,Lopare,M,Oct-14,393
2013,Number,Lopare,F,Oct-14,341
2013,Number,Lukavac,Both sexes,Oct-14,2162
2013,Number,Lukavac,M,Oct-14,1110
2013,Number,Lukavac,F,Oct-14,1052
2013,Number,Ljubinje,Both sexes,Oct-14,184
2013,Number,Ljubinje,M,Oct-14,101
2013,Number,Ljubinje,F,Oct-14,83
2013,Number,Ljubuški,Both sexes,Oct-14,1850
2013,Number,Ljubuški,M,Oct-14,971
2013,Number,Ljubuški,F,Oct-14,879
2013,Number,Maglaj,Both sexes,Oct-14,1302
2013,Number,Maglaj,M,Oct-14,687
2013,Number,Maglaj,F,Oct-14,615
2013,Number,Milići,Both sexes,Oct-14,580
2013,Number,Milići,M,Oct-14,306
2013,Number,Milići,F,Oct-14,274
2013,Number,Modriča,Both sexes,Oct-14,1391
2013,Number,Modriča,M,Oct-14,700
2013,Number,Modriča,F,Oct-14,691
2013,Number,Mostar,Both sexes,Oct-14,5481
2013,Number,Mostar,M,Oct-14,2777
2013,Number,Mostar,F,Oct-14,2704
2013,Number,Mrkonjić Grad,Both sexes,Oct-14,871
2013,Number,Mrkonjić Grad,M,Oct-14,408
2013,Number,Mrkonjić Grad,F,Oct-14,463
2013,Number,Neum,Both sexes,Oct-14,282
2013,Number,Neum,M,Oct-14,138
2013,Number,Neum,F,Oct-14,144
2013,Number,Nevesinje,Both sexes,Oct-14,741
2013,Number,Nevesinje,M,Oct-14,367
2013,Number,Nevesinje,F,Oct-14,374
2013,Number,Novi Grad,Both sexes,Oct-14,1309
2013,Number,Novi Grad,M,Oct-14,710
2013,Number,Novi Grad,F,Oct-14,599
2013,Number,Sarajevo - Novi Grad,Both sexes,Oct-14,5961
2013,Number,Sarajevo - Novi Grad,M,Oct-14,3067
2013,Number,Sarajevo - Novi Grad,F,Oct-14,2894
2013,Number,Novi Travnik,Both sexes,Oct-14,1491
2013,Number,Novi Travnik,M,Oct-14,773
2013,Number,Novi Travnik,F,Oct-14,718
2013,Number,Novo Goražde,Both sexes,Oct-14,100
2013,Number,Novo Goražde,M,Oct-14,46
2013,Number,Novo Goražde,F,Oct-14,54
2013,Number,Sarajevo - Novo Sarajevo,Both sexes,Oct-14,2837
2013,Number,Sarajevo - Novo Sarajevo,M,Oct-14,1493
2013,Number,Sarajevo - Novo Sarajevo,F,Oct-14,1344
2013,Number,Odžak,Both sexes,Oct-14,1036
2013,Number,Odžak,M,Oct-14,530
2013,Number,Odžak,F,Oct-14,506
2013,Number,Olovo,Both sexes,Oct-14,496
2013,Number,Olovo,M,Oct-14,245
2013,Number,Olovo,F,Oct-14,251
2013,Number,Orašje,Both sexes,Oct-14,1158
2013,Number,Orašje,M,Oct-14,644
2013,Number,Orašje,F,Oct-14,514
2013,Number,Osmaci,Both sexes,Oct-14,340
2013,Number,Osmaci,M,Oct-14,170
2013,Number,Osmaci,F,Oct-14,170
2013,Number,Oštra Luka,Both sexes,Oct-14,166
2013,Number,Oštra Luka,M,Oct-14,90
2013,Number,Oštra Luka,F,Oct-14,76
2013,Number,Pale - FBiH,Both sexes,Oct-14,59
2013,Number,Pale - FBiH,M,Oct-14,36
2013,Number,Pale - FBiH,F,Oct-14,23
2013,Number,Pale - RS,Both sexes,Oct-14,1031
2013,Number,Pale - RS,M,Oct-14,557
2013,Number,Pale - RS,F,Oct-14,474
2013,Number,Pelagićevo,Both sexes,Oct-14,240
2013,Number,Pelagićevo,M,Oct-14,117
2013,Number,Pelagićevo,F,Oct-14,123
2013,Number,Petrovac,Both sexes,Oct-14,23
2013,Number,Petrovac,M,Oct-14,11
2013,Number,Petrovac,F,Oct-14,12
2013,Number,Petrovo,Both sexes,Oct-14,263
2013,Number,Petrovo,M,Oct-14,123
2013,Number,Petrovo,F,Oct-14,140
2013,Number,Posušje,Both sexes,Oct-14,1447
2013,Number,Posušje,M,Oct-14,707
2013,Number,Posušje,F,Oct-14,740
2013,Number,Prijedor,Both sexes,Oct-14,4194
2013,Number,Prijedor,M,Oct-14,2133
2013,Number,Prijedor,F,Oct-14,2061
2013,Number,Prnjavor,Both sexes,Oct-14,1930
2013,Number,Prnjavor,M,Oct-14,977
2013,Number,Prnjavor,F,Oct-14,953
2013,Number,Prozor,Both sexes,Oct-14,974
2013,Number,Prozor,M,Oct-14,502
2013,Number,Prozor,F,Oct-14,472
2013,Number,Ravno,Both sexes,Oct-14,155
2013,Number,Ravno,M,Oct-14,74
2013,Number,Ravno,F,Oct-14,81
2013,Number,Ribnik,Both sexes,Oct-14,316
2013,Number,Ribnik,M,Oct-14,157
2013,Number,Ribnik,F,Oct-14,159
2013,Number,Rogatica,Both sexes,Oct-14,462
2013,Number,Rogatica,M,Oct-14,229
2013,Number,Rogatica,F,Oct-14,233
2013,Number,Rudo,Both sexes,Oct-14,353
2013,Number,Rudo,M,Oct-14,187
2013,Number,Rudo,F,Oct-14,166
2013,Number,Sanski Most,Both sexes,Oct-14,2473
2013,Number,Sanski Most,M,Oct-14,1271
2013,Number,Sanski Most,F,Oct-14,1202
2013,Number,Sapna,Both sexes,Oct-14,722
2013,Number,Sapna,M,Oct-14,372
2013,Number,Sapna,F,Oct-14,350
2013,Number,Sokolac,Both sexes,Oct-14,561
2013,Number,Sokolac,M,Oct-14,295
2013,Number,Sokolac,F,Oct-14,266
2013,Number,Srbac,Both sexes,Oct-14,921
2013,Number,Srbac,M,Oct-14,482
2013,Number,Srbac,F,Oct-14,439
2013,Number,Srebrenica,Both sexes,Oct-14,650
2013,Number,Srebrenica,M,Oct-14,353
2013,Number,Srebrenica,F,Oct-14,297
2013,Number,Srebrenik,Both sexes,Oct-14,2308
2013,Number,Srebrenik,M,Oct-14,1190
2013,Number,Srebrenik,F,Oct-14,1118
2013,Number,Sarajevo - Stari Grad,Both sexes,Oct-14,1781
2013,Number,Sarajevo - Stari Grad,M,Oct-14,927
2013,Number,Sarajevo - Stari Grad,F,Oct-14,854
2013,Number,Stolac,Both sexes,Oct-14,906
2013,Number,Stolac,M,Oct-14,456
2013,Number,Stolac,F,Oct-14,450
2013,Number,Šamac,Both sexes,Oct-14,815
2013,Number,Šamac,M,Oct-14,418
2013,Number,Šamac,F,Oct-14,397
2013,Number,Šekovići,Both sexes,Oct-14,327
2013,Number,Šekovići,M,Oct-14,177
2013,Number,Šekovići,F,Oct-14,150
2013,Number,Šipovo,Both sexes,Oct-14,569
2013,Number,Šipovo,M,Oct-14,283
2013,Number,Šipovo,F,Oct-14,286
2013,Number,Široki Brijeg,Both sexes,Oct-14,1923
2013,Number,Široki Brijeg,M,Oct-14,961
2013,Number,Široki Brijeg,F,Oct-14,962
2013,Number,Teočak,Both sexes,Oct-14,446
2013,Number,Teočak,M,Oct-14,213
2013,Number,Teočak,F,Oct-14,233
2013,Number,Teslić,Both sexes,Oct-14,2132
2013,Number,Teslić,M,Oct-14,1060
2013,Number,Teslić,F,Oct-14,1072
2013,Number,Tešanj,Both sexes,Oct-14,2826
2013,Number,Tešanj,M,Oct-14,1449
2013,Number,Tešanj,F,Oct-14,1377
2013,Number,Tomislavgrad,Both sexes,Oct-14,1968
2013,Number,Tomislavgrad,M,Oct-14,1021
2013,Number,Tomislavgrad,F,Oct-14,947
2013,Number,Travnik,Both sexes,Oct-14,3346
2013,Number,Travnik,M,Oct-14,1719
2013,Number,Travnik,F,Oct-14,1627
2013,Number,Trebinje,Both sexes,Oct-14,1545
2013,Number,Trebinje,M,Oct-14,796
2013,Number,Trebinje,F,Oct-14,749
2013,Number,Trnovo - FBiH,Both sexes,Oct-14,49
2013,Number,Trnovo - FBiH,M,Oct-14,28
2013,Number,Trnovo - FBiH,F,Oct-14,21
2013,Number,Trnovo - RS,Both sexes,Oct-14,75
2013,Number,Trnovo - RS,M,Oct-14,43
2013,Number,Trnovo - RS,F,Oct-14,32
2013,Number,Tuzla,Both sexes,Oct-14,4816
2013,Number,Tuzla,M,Oct-14,2408
2013,Number,Tuzla,F,Oct-14,2408
2013,Number,Ugljevik,Both sexes,Oct-14,820
2013,Number,Ugljevik,M,Oct-14,403
2013,Number,Ugljevik,F,Oct-14,417
2013,Number,Usora,Both sexes,Oct-14,349
2013,Number,Usora,M,Oct-14,177
2013,Number,Usora,F,Oct-14,172
2013,Number,Vareš,Both sexes,Oct-14,379
2013,Number,Vareš,M,Oct-14,205
2013,Number,Vareš,F,Oct-14,174
2013,Number,Velika Kladuša,Both sexes,Oct-14,2773
2013,Number,Velika Kladuša,M,Oct-14,1405
2013,Number,Velika Kladuša,F,Oct-14,1368
2013,Number,Visoko,Both sexes,Oct-14,2324
2013,Number,Visoko,M,Oct-14,1229
2013,Number,Visoko,F,Oct-14,1095
2013,Number,Višegrad,Both sexes,Oct-14,488
2013,Number,Višegrad,M,Oct-14,249
2013,Number,Višegrad,F,Oct-14,239
2013,Number,Vitez,Both sexes,Oct-14,1751
2013,Number,Vitez,M,Oct-14,865
2013,Number,Vitez,F,Oct-14,886
2013,Number,Vlasenica,Both sexes,Oct-14,585
2013,Number,Vlasenica,M,Oct-14,314
2013,Number,Vlasenica,F,Oct-14,271
2013,Number,Sarajevo - Vogošća,Both sexes,Oct-14,1354
2013,Number,Sarajevo - Vogošća,M,Oct-14,693
2013,Number,Sarajevo - Vogošća,F,Oct-14,661
2013,Number,Vukosavlje,Both sexes,Oct-14,267
2013,Number,Vukosavlje,M,Oct-14,133
2013,Number,Vukosavlje,F,Oct-14,134
2013,Number,Zavidovići,Both sexes,Oct-14,2073
2013,Number,Zavidovići,M,Oct-14,1061
2013,Number,Zavidovići,F,Oct-14,1012
2013,Number,Zenica,Both sexes,Oct-14,6044
2013,Number,Zenica,M,Oct-14,3048
2013,Number,Zenica,F,Oct-14,2996
2013,Number,Zvornik,Both sexes,Oct-14,3202
2013,Number,Zvornik,M,Oct-14,1612
2013,Number,Zvornik,F,Oct-14,1590
2013,Number,Žepče,Both sexes,Oct-14,1964
2013,Number,Žepče,M,Oct-14,977
2013,Number,Žepče,F,Oct-14,987
2013,Number,Živinice,Both sexes,Oct-14,3333
2013,Number,Živinice,M,Oct-14,1681
2013,Number,Živinice,F,Oct-14,1652
2013,Number,Banja Luka,Both sexes,15-19,10550
2013,Number,Banja Luka,M,15-19,5360
2013,Number,Banja Luka,F,15-19,5190
2013,Number,Banovići,Both sexes,15-19,1687
2013,Number,Banovići,M,15-19,850
2013,Number,Banovići,F,15-19,837
2013,Number,Berkovići,Both sexes,15-19,104
2013,Number,Berkovići,M,15-19,52
2013,Number,Berkovići,F,15-19,52
2013,Number,Bihać,Both sexes,15-19,4434
2013,Number,Bihać,M,15-19,2303
2013,Number,Bihać,F,15-19,2131
2013,Number,Bijeljina,Both sexes,15-19,6427
2013,Number,Bijeljina,M,15-19,3361
2013,Number,Bijeljina,F,15-19,3066
2013,Number,Bileća,Both sexes,15-19,782
2013,Number,Bileća,M,15-19,438
2013,Number,Bileća,F,15-19,344
2013,Number,Bosanska Krupa,Both sexes,15-19,2034
2013,Number,Bosanska Krupa,M,15-19,1051
2013,Number,Bosanska Krupa,F,15-19,983
2013,Number,Bosanski Petrovac,Both sexes,15-19,440
2013,Number,Bosanski Petrovac,M,15-19,244
2013,Number,Bosanski Petrovac,F,15-19,196
2013,Number,Bosansko Grahovo,Both sexes,15-19,63
2013,Number,Bosansko Grahovo,M,15-19,29
2013,Number,Bosansko Grahovo,F,15-19,34
2013,Number,Bratunac,Both sexes,15-19,1315
2013,Number,Bratunac,M,15-19,691
2013,Number,Bratunac,F,15-19,624
2013,Number,Brčko,Both sexes,15-19,5323
2013,Number,Brčko,M,15-19,2719
2013,Number,Brčko,F,15-19,2604
2013,Number,Breza,Both sexes,15-19,889
2013,Number,Breza,M,15-19,451
2013,Number,Breza,F,15-19,438
2013,Number,Brod,Both sexes,15-19,1014
2013,Number,Brod,M,15-19,532
2013,Number,Brod,F,15-19,482
2013,Number,Bugojno,Both sexes,15-19,2480
2013,Number,Bugojno,M,15-19,1292
2013,Number,Bugojno,F,15-19,1188
2013,Number,Busovača,Both sexes,15-19,1408
2013,Number,Busovača,M,15-19,709
2013,Number,Busovača,F,15-19,699
2013,Number,Bužim,Both sexes,15-19,1893
2013,Number,Bužim,M,15-19,988
2013,Number,Bužim,F,15-19,905
2013,Number,Cazin,Both sexes,15-19,4948
2013,Number,Cazin,M,15-19,2507
2013,Number,Cazin,F,15-19,2441
2013,Number,Sarajevo - Centar,Both sexes,15-19,3158
2013,Number,Sarajevo - Centar,M,15-19,1568
2013,Number,Sarajevo - Centar,F,15-19,1590
2013,Number,Čajniče,Both sexes,15-19,317
2013,Number,Čajniče,M,15-19,176
2013,Number,Čajniče,F,15-19,141
2013,Number,Čapljina,Both sexes,15-19,1991
2013,Number,Čapljina,M,15-19,1006
2013,Number,Čapljina,F,15-19,985
2013,Number,Čelić,Both sexes,15-19,817
2013,Number,Čelić,M,15-19,428
2013,Number,Čelić,F,15-19,389
2013,Number,Čelinac,Both sexes,15-19,1130
2013,Number,Čelinac,M,15-19,575
2013,Number,Čelinac,F,15-19,555
2013,Number,Čitluk,Both sexes,15-19,1427
2013,Number,Čitluk,M,15-19,751
2013,Number,Čitluk,F,15-19,676
2013,Number,Derventa,Both sexes,15-19,1696
2013,Number,Derventa,M,15-19,874
2013,Number,Derventa,F,15-19,822
2013,Number,Doboj,Both sexes,15-19,4201
2013,Number,Doboj,M,15-19,2100
2013,Number,Doboj,F,15-19,2101
2013,Number,Doboj-Istok,Both sexes,15-19,751
2013,Number,Doboj-Istok,M,15-19,375
2013,Number,Doboj-Istok,F,15-19,376
2013,Number,Doboj-Jug,Both sexes,15-19,328
2013,Number,Doboj-Jug,M,15-19,172
2013,Number,Doboj-Jug,F,15-19,156
2013,Number,Dobretići,Both sexes,15-19,51
2013,Number,Dobretići,M,15-19,27
2013,Number,Dobretići,F,15-19,24
2013,Number,Domaljevac-Šamac,Both sexes,15-19,356
2013,Number,Domaljevac-Šamac,M,15-19,175
2013,Number,Domaljevac-Šamac,F,15-19,181
2013,Number,Donji Vakuf,Both sexes,15-19,1299
2013,Number,Donji Vakuf,M,15-19,670
2013,Number,Donji Vakuf,F,15-19,629
2013,Number,Donji Žabar,Both sexes,15-19,237
2013,Number,Donji Žabar,M,15-19,116
2013,Number,Donji Žabar,F,15-19,121
2013,Number,Drvar,Both sexes,15-19,320
2013,Number,Drvar,M,15-19,170
2013,Number,Drvar,F,15-19,150
2013,Number,Foča - FBiH,Both sexes,15-19,121
2013,Number,Foča - FBiH,M,15-19,65
2013,Number,Foča - FBiH,F,15-19,56
2013,Number,Foča - RS,Both sexes,15-19,1124
2013,Number,Foča - RS,M,15-19,592
2013,Number,Foča - RS,F,15-19,532
2013,Number,Fojnica,Both sexes,15-19,904
2013,Number,Fojnica,M,15-19,434
2013,Number,Fojnica,F,15-19,470
2013,Number,Gacko,Both sexes,15-19,651
2013,Number,Gacko,M,15-19,328
2013,Number,Gacko,F,15-19,323
2013,Number,Glamoč,Both sexes,15-19,188
2013,Number,Glamoč,M,15-19,87
2013,Number,Glamoč,F,15-19,101
2013,Number,Goražde,Both sexes,15-19,1543
2013,Number,Goražde,M,15-19,803
2013,Number,Goražde,F,15-19,740
2013,Number,Gornji Vakuf-Uskoplje,Both sexes,15-19,1694
2013,Number,Gornji Vakuf-Uskoplje,M,15-19,879
2013,Number,Gornji Vakuf-Uskoplje,F,15-19,815
2013,Number,Gračanica,Both sexes,15-19,3313
2013,Number,Gračanica,M,15-19,1674
2013,Number,Gračanica,F,15-19,1639
2013,Number,Gradačac,Both sexes,15-19,3118
2013,Number,Gradačac,M,15-19,1577
2013,Number,Gradačac,F,15-19,1541
2013,Number,Gradiška,Both sexes,15-19,3288
2013,Number,Gradiška,M,15-19,1688
2013,Number,Gradiška,F,15-19,1600
2013,Number,Grude,Both sexes,15-19,1264
2013,Number,Grude,M,15-19,641
2013,Number,Grude,F,15-19,623
2013,Number,Sarajevo - Hadžići,Both sexes,15-19,1818
2013,Number,Sarajevo - Hadžići,M,15-19,991
2013,Number,Sarajevo - Hadžići,F,15-19,827
2013,Number,Han Pijesak,Both sexes,15-19,218
2013,Number,Han Pijesak,M,15-19,89
2013,Number,Han Pijesak,F,15-19,129
2013,Number,Sarajevo - Ilidža,Both sexes,15-19,4839
2013,Number,Sarajevo - Ilidža,M,15-19,2519
2013,Number,Sarajevo - Ilidža,F,15-19,2320
2013,Number,Sarajevo - Ilijaš,Both sexes,15-19,1440
2013,Number,Sarajevo - Ilijaš,M,15-19,723
2013,Number,Sarajevo - Ilijaš,F,15-19,717
2013,Number,Istočna Ilidža,Both sexes,15-19,823
2013,Number,Istočna Ilidža,M,15-19,416
2013,Number,Istočna Ilidža,F,15-19,407
2013,Number,Istočni Drvar,Both sexes,15-19,3
2013,Number,Istočni Drvar,M,15-19,2
2013,Number,Istočni Drvar,F,15-19,1
2013,Number,Istočni Mostar,Both sexes,15-19,14
2013,Number,Istočni Mostar,M,15-19,9
2013,Number,Istočni Mostar,F,15-19,5
2013,Number,Istočni Stari Grad,Both sexes,15-19,49
2013,Number,Istočni Stari Grad,M,15-19,23
2013,Number,Istočni Stari Grad,F,15-19,26
2013,Number,Istočno Novo Sarajevo,Both sexes,15-19,617
2013,Number,Istočno Novo Sarajevo,M,15-19,316
2013,Number,Istočno Novo Sarajevo,F,15-19,301
2013,Number,Jablanica,Both sexes,15-19,681
2013,Number,Jablanica,M,15-19,338
2013,Number,Jablanica,F,15-19,343
2013,Number,Jajce,Both sexes,15-19,1878
2013,Number,Jajce,M,15-19,970
2013,Number,Jajce,F,15-19,908
2013,Number,Jezero,Both sexes,15-19,88
2013,Number,Jezero,M,15-19,45
2013,Number,Jezero,F,15-19,43
2013,Number,Kakanj,Both sexes,15-19,2929
2013,Number,Kakanj,M,15-19,1508
2013,Number,Kakanj,F,15-19,1421
