Year,Cause of death (as per ICD-10 codes),UNIT_MEASURE,Sex,Value
2000,(J00-J99) Diseases of the respiratory system,Number,M,464
2000,(K00-K93) Diseases of the digestive system,Number,M,518
2000,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,M,1484
2000,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,M,812
2000,Total,Number,M,14232
2000,"(C00-C97,D00-D48) Neoplasms",Number,F,1978
2000,(I00-I99) Diseases of the circulatory system,Number,F,8473
2000,(J00-J99) Diseases of the respiratory system,Number,F,341
2000,(K00-K93) Diseases of the digestive system,Number,F,330
2000,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,F,1376
2000,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,F,279
2000,Total,Number,F,12777
2001,(A00-B99) Infectious and parasitic diseases,Number,Both sexes,257
2001,"(C00-C97,D00-D48) Neoplasms",Number,Both sexes,5347
2001,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,Both sexes,20
2001,(E00-E90) Endocrine metabolic and nutritional diseases,Number,Both sexes,667
2001,(F00-F99) Mental and behavioural disorders,Number,Both sexes,48
2001,(G00-G99) Diseases of the nervous system,Number,Both sexes,161
2001,"(H00-H93) Diseases of the eye, ear and adnexa",Number,Both sexes,1
2001,(I00-I99) Diseases of the circulatory system,Number,Both sexes,16328
2001,(J00-J99) Diseases of the respiratory system,Number,Both sexes,745
2001,(K00-K93) Diseases of the digestive system,Number,Both sexes,827
2001,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,Both sexes,17
2001,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,Both sexes,14
2001,(N00-N99) Diseases of the genitourinary system,Number,Both sexes,397
2001,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,Both sexes,1
2001,(P00-P96) Certain conditions originating in the perinatal period,Number,Both sexes,188
2001,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,Both sexes,43
2001,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,Both sexes,3031
2001,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,Both sexes,1017
2001,(V01-Y98) External causes of mortality,Number,Both sexes,261
2001,(Z00-Z99) Factors influencing health status and contract with health services,Number,Both sexes,1
2001,Unknown,Number,Both sexes,954
2001,Total,Number,Both sexes,30325
2001,(A00-B99) Infectious and parasitic diseases,Number,M,157
2001,"(C00-C97,D00-D48) Neoplasms",Number,M,3288
2001,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,M,7
2001,(E00-E90) Endocrine metabolic and nutritional diseases,Number,M,240
2001,(F00-F99) Mental and behavioural disorders,Number,M,37
2001,(G00-G99) Diseases of the nervous system,Number,M,79
2001,"(H00-H93) Diseases of the eye, ear and adnexa",Number,M,1
2001,(I00-I99) Diseases of the circulatory system,Number,M,7943
2001,(J00-J99) Diseases of the respiratory system,Number,M,434
2001,(K00-K93) Diseases of the digestive system,Number,M,540
2001,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,M,5
2001,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,M,6
2001,(N00-N99) Diseases of the genitourinary system,Number,M,200
2001,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,M,0
2001,(P00-P96) Certain conditions originating in the perinatal period,Number,M,109
2001,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,M,18
2001,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,M,1637
2001,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,M,768
2001,(V01-Y98) External causes of mortality,Number,M,206
2001,Unknown,Number,M,527
2001,Total,Number,M,16202
2001,(A00-B99) Infectious and parasitic diseases,Number,F,100
2001,"(C00-C97,D00-D48) Neoplasms",Number,F,2059
2001,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,F,13
2001,(E00-E90) Endocrine metabolic and nutritional diseases,Number,F,427
2001,(F00-F99) Mental and behavioural disorders,Number,F,11
2001,(G00-G99) Diseases of the nervous system,Number,F,82
2001,(I00-I99) Diseases of the circulatory system,Number,F,8385
2001,(J00-J99) Diseases of the respiratory system,Number,F,311
2001,(K00-K93) Diseases of the digestive system,Number,F,287
2001,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,F,12
2001,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,F,8
2001,(N00-N99) Diseases of the genitourinary system,Number,F,197
2001,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,F,1
2001,(P00-P96) Certain conditions originating in the perinatal period,Number,F,79
2001,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,F,25
2001,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,F,1394
2001,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,F,249
2001,(V01-Y98) External causes of mortality,Number,F,55
2001,(Z00-Z99) Factors influencing health status and contract with health services,Number,F,1
2001,Unknown,Number,F,427
2001,Total,Number,F,14123
2002,(A00-B99) Infectious and parasitic diseases,Number,Both sexes,263
2002,"(C00-C97,D00-D48) Neoplasms",Number,Both sexes,5288
2002,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,Both sexes,19
2002,(E00-E90) Endocrine metabolic and nutritional diseases,Number,Both sexes,862
2002,(F00-F99) Mental and behavioural disorders,Number,Both sexes,66
2002,(G00-G99) Diseases of the nervous system,Number,Both sexes,157
2002,"(H00-H93) Diseases of the eye, ear and adnexa",Number,Both sexes,1
2002,(I00-I99) Diseases of the circulatory system,Number,Both sexes,16007
2002,(J00-J99) Diseases of the respiratory system,Number,Both sexes,817
2002,(K00-K93) Diseases of the digestive system,Number,Both sexes,820
2002,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,Both sexes,17
2002,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,Both sexes,10
2002,(N00-N99) Diseases of the genitourinary system,Number,Both sexes,219
2002,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,Both sexes,3
2002,(P00-P96) Certain conditions originating in the perinatal period,Number,Both sexes,226
2002,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,Both sexes,56
2002,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,Both sexes,2983
2002,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,Both sexes,984
2002,(V01-Y98) External causes of mortality,Number,Both sexes,242
2002,(Z00-Z99) Factors influencing health status and contract with health services,Number,Both sexes,1
2002,Unknown,Number,Both sexes,1790
2002,Total,Number,Both sexes,30831
2002,(A00-B99) Infectious and parasitic diseases,Number,M,160
2002,"(C00-C97,D00-D48) Neoplasms",Number,M,3201
2002,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,M,11
2002,(E00-E90) Endocrine metabolic and nutritional diseases,Number,M,300
2002,(F00-F99) Mental and behavioural disorders,Number,M,39
2002,(G00-G99) Diseases of the nervous system,Number,M,87
2002,"(H00-H93) Diseases of the eye, ear and adnexa",Number,M,1
2002,(I00-I99) Diseases of the circulatory system,Number,M,7544
2002,(J00-J99) Diseases of the respiratory system,Number,M,478
2002,(K00-K93) Diseases of the digestive system,Number,M,495
2002,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,M,3
2002,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,M,2
2002,(N00-N99) Diseases of the genitourinary system,Number,M,120
2002,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,M,0
2002,(P00-P96) Certain conditions originating in the perinatal period,Number,M,128
2002,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,M,32
2002,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,M,1535
2002,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,M,751
2002,(V01-Y98) External causes of mortality,Number,M,180
2002,(Z00-Z99) Factors influencing health status and contract with health services,Number,M,1
2002,Unknown,Number,M,965
2002,Total,Number,M,16033
2002,(A00-B99) Infectious and parasitic diseases,Number,F,103
2002,"(C00-C97,D00-D48) Neoplasms",Number,F,2087
2002,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,F,8
2002,(E00-E90) Endocrine metabolic and nutritional diseases,Number,F,562
2002,(F00-F99) Mental and behavioural disorders,Number,F,27
2002,(G00-G99) Diseases of the nervous system,Number,F,70
2002,(I00-I99) Diseases of the circulatory system,Number,F,8463
2002,(J00-J99) Diseases of the respiratory system,Number,F,339
2002,(K00-K93) Diseases of the digestive system,Number,F,325
2002,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,F,14
2002,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,F,8
2002,(N00-N99) Diseases of the genitourinary system,Number,F,99
2002,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,F,3
2002,(P00-P96) Certain conditions originating in the perinatal period,Number,F,98
2002,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,F,24
2002,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,F,1448
2002,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,F,233
2002,(V01-Y98) External causes of mortality,Number,F,62
2002,Unknown,Number,F,825
2002,Total,Number,F,14798
2003,"(C00-C97,D00-D48) Neoplasms",Number,Both sexes,5771
2003,(I00-I99) Diseases of the circulatory system,Number,Both sexes,1699
2003,(J00-J99) Diseases of the respiratory system,Number,Both sexes,876
2003,(K00-K93) Diseases of the digestive system,Number,Both sexes,810
2003,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,Both sexes,3166
2003,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,Both sexes,950
2003,Unknown,Number,Both sexes,770
2003,Total,Number,Both sexes,29333
2003,"(C00-C97,D00-D48) Neoplasms",Number,M,3499
2003,(I00-I99) Diseases of the circulatory system,Number,M,8001
2003,(J00-J99) Diseases of the respiratory system,Number,M,542
2003,(K00-K93) Diseases of the digestive system,Number,M,499
2003,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,M,1612
2003,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,M,706
2003,Unknown,Number,M,424
2003,Total,Number,M,15283
2003,"(C00-C97,D00-D48) Neoplasms",Number,F,2272
2003,(I00-I99) Diseases of the circulatory system,Number,F,8989
2003,(J00-J99) Diseases of the respiratory system,Number,F,334
2003,(K00-K93) Diseases of the digestive system,Number,F,311
2003,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,F,1554
2003,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,F,244
2003,Unknown,Number,F,346
2003,Total,Number,F,14050
2004,(A00-B99) Infectious and parasitic diseases,Number,Both sexes,255
2004,"(C00-C97,D00-D48) Neoplasms",Number,Both sexes,5709
2004,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,Both sexes,31
2004,(E00-E90) Endocrine metabolic and nutritional diseases,Number,Both sexes,993
2004,(F00-F99) Mental and behavioural disorders,Number,Both sexes,104
2004,(G00-G99) Diseases of the nervous system,Number,Both sexes,251
2004,(I00-I99) Diseases of the circulatory system,Number,Both sexes,177
2004,(J00-J99) Diseases of the respiratory system,Number,Both sexes,907
2004,(K00-K93) Diseases of the digestive system,Number,Both sexes,839
2004,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,Both sexes,11
2004,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,Both sexes,16
2004,(N00-N99) Diseases of the genitourinary system,Number,Both sexes,467
2004,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,Both sexes,1
2004,(P00-P96) Certain conditions originating in the perinatal period,Number,Both sexes,163
2004,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,Both sexes,42
2004,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,Both sexes,2723
2004,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,Both sexes,920
2004,(V01-Y98) External causes of mortality,Number,Both sexes,273
2004,(Z00-Z99) Factors influencing health status and contract with health services,Number,Both sexes,1
2004,Unknown,Number,Both sexes,1210
2004,Total,Number,Both sexes,32616
2004,(A00-B99) Infectious and parasitic diseases,Number,M,152
2004,"(C00-C97,D00-D48) Neoplasms",Number,M,3398
2004,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,M,10
2004,(E00-E90) Endocrine metabolic and nutritional diseases,Number,M,377
2004,(F00-F99) Mental and behavioural disorders,Number,M,80
2004,(G00-G99) Diseases of the nervous system,Number,M,126
2004,(I00-I99) Diseases of the circulatory system,Number,M,8262
2004,(J00-J99) Diseases of the respiratory system,Number,M,551
2004,(K00-K93) Diseases of the digestive system,Number,M,498
2004,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,M,2
2004,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,M,9
2004,(N00-N99) Diseases of the genitourinary system,Number,M,248
2004,(P00-P96) Certain conditions originating in the perinatal period,Number,M,101
2004,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,M,26
2004,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,M,1399
2004,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,M,691
2004,(V01-Y98) External causes of mortality,Number,M,198
2004,(Z00-Z99) Factors influencing health status and contract with health services,Number,M,1
2004,Unknown,Number,M,651
2004,Total,Number,M,16780
2004,(A00-B99) Infectious and parasitic diseases,Number,F,103
2004,"(C00-C97,D00-D48) Neoplasms",Number,F,2311
2004,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,F,21
2004,(E00-E90) Endocrine metabolic and nutritional diseases,Number,F,616
2004,(F00-F99) Mental and behavioural disorders,Number,F,24
2004,(G00-G99) Diseases of the nervous system,Number,F,125
2004,(I00-I99) Diseases of the circulatory system,Number,F,9438
2004,(J00-J99) Diseases of the respiratory system,Number,F,356
2004,(K00-K93) Diseases of the digestive system,Number,F,341
2004,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,F,9
2004,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,F,7
2004,(N00-N99) Diseases of the genitourinary system,Number,F,219
2004,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,F,1
2004,(P00-P96) Certain conditions originating in the perinatal period,Number,F,62
2004,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,F,16
2004,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,F,1324
2004,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,F,229
2004,(V01-Y98) External causes of mortality,Number,F,75
2004,Unknown,Number,F,559
2004,Total,Number,F,15836
2005,"(C00-C97,D00-D48) Neoplasms",Number,Both sexes,6255
2005,(I00-I99) Diseases of the circulatory system,Number,Both sexes,17915
2005,(J00-J99) Diseases of the respiratory system,Number,Both sexes,1242
2005,(K00-K93) Diseases of the digestive system,Number,Both sexes,818
2005,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,Both sexes,2394
2005,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,Both sexes,952
2005,Total,Number,Both sexes,29576
2005,"(C00-C97,D00-D48) Neoplasms",Number,M,3766
2005,(I00-I99) Diseases of the circulatory system,Number,M,8559
2005,(J00-J99) Diseases of the respiratory system,Number,M,726
2005,(K00-K93) Diseases of the digestive system,Number,M,491
2005,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,M,1312
2005,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,M,718
2005,Total,Number,M,15572
2005,"(C00-C97,D00-D48) Neoplasms",Number,F,2489
2005,(I00-I99) Diseases of the circulatory system,Number,F,9356
2005,(J00-J99) Diseases of the respiratory system,Number,F,516
2005,(K00-K93) Diseases of the digestive system,Number,F,327
2005,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,F,1082
2005,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,F,234
2005,Total,Number,F,14004
2006,(A00-B99) Infectious and parasitic diseases,Number,Both sexes,237
2006,"(C00-C97,D00-D48) Neoplasms",Number,Both sexes,6252
2006,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,Both sexes,20
2006,(E00-E90) Endocrine metabolic and nutritional diseases,Number,Both sexes,1537
2006,(F00-F99) Mental and behavioural disorders,Number,Both sexes,118
2006,(G00-G99) Diseases of the nervous system,Number,Both sexes,298
2006,"(H00-H93) Diseases of the eye, ear and adnexa",Number,Both sexes,1
2006,(I00-I99) Diseases of the circulatory system,Number,Both sexes,16967
2006,(J00-J99) Diseases of the respiratory system,Number,Both sexes,1132
2006,(K00-K93) Diseases of the digestive system,Number,Both sexes,826
2006,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,Both sexes,11
2006,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,Both sexes,16
2006,(N00-N99) Diseases of the genitourinary system,Number,Both sexes,547
2006,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,Both sexes,3
2006,(P00-P96) Certain conditions originating in the perinatal period,Number,Both sexes,185
2006,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,Both sexes,56
2006,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,Both sexes,2744
2006,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,Both sexes,1017
2006,(V01-Y98) External causes of mortality,Number,Both sexes,212
2006,(Z00-Z99) Factors influencing health status and contract with health services,Number,Both sexes,1
2006,Unknown,Number,Both sexes,1041
2006,Total,Number,Both sexes,33221
2006,(A00-B99) Infectious and parasitic diseases,Number,M,147
2006,"(C00-C97,D00-D48) Neoplasms",Number,M,3697
2006,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,M,9
2006,(E00-E90) Endocrine metabolic and nutritional diseases,Number,M,598
2006,(F00-F99) Mental and behavioural disorders,Number,M,88
2006,(G00-G99) Diseases of the nervous system,Number,M,174
2006,(I00-I99) Diseases of the circulatory system,Number,M,7941
2006,(J00-J99) Diseases of the respiratory system,Number,M,677
2006,(K00-K93) Diseases of the digestive system,Number,M,493
2006,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,M,6
2006,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,M,3
2006,(N00-N99) Diseases of the genitourinary system,Number,M,293
2006,(P00-P96) Certain conditions originating in the perinatal period,Number,M,118
2006,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,M,32
2006,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,M,1527
2006,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,M,775
2006,(V01-Y98) External causes of mortality,Number,M,152
2006,Unknown,Number,M,578
2006,Total,Number,M,17308
2006,(A00-B99) Infectious and parasitic diseases,Number,F,90
2006,"(C00-C97,D00-D48) Neoplasms",Number,F,2555
2006,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,F,11
2006,(E00-E90) Endocrine metabolic and nutritional diseases,Number,F,939
2006,(F00-F99) Mental and behavioural disorders,Number,F,30
2006,(G00-G99) Diseases of the nervous system,Number,F,124
2006,"(H00-H93) Diseases of the eye, ear and adnexa",Number,F,1
2006,(I00-I99) Diseases of the circulatory system,Number,F,9026
2006,(J00-J99) Diseases of the respiratory system,Number,F,455
2006,(K00-K93) Diseases of the digestive system,Number,F,333
2006,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,F,5
2006,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,F,13
2006,(N00-N99) Diseases of the genitourinary system,Number,F,254
2006,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,F,3
2006,(P00-P96) Certain conditions originating in the perinatal period,Number,F,67
2006,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,F,24
2006,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,F,1217
2006,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,F,242
2006,(V01-Y98) External causes of mortality,Number,F,60
2006,(Z00-Z99) Factors influencing health status and contract with health services,Number,F,1
2006,Unknown,Number,F,463
2006,Total,Number,F,15913
2007,(A00-B99) Infectious and parasitic diseases,Number,Both sexes,250
2007,"(C00-C97,D00-D48) Neoplasms",Number,Both sexes,6713
2007,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,Both sexes,54
2007,(E00-E90) Endocrine metabolic and nutritional diseases,Number,Both sexes,1582
2007,(F00-F99) Mental and behavioural disorders,Number,Both sexes,162
2007,(G00-G99) Diseases of the nervous system,Number,Both sexes,317
2007,"(H00-H93) Diseases of the eye, ear and adnexa",Number,Both sexes,1
2007,(I00-I99) Diseases of the circulatory system,Number,Both sexes,18516
2007,(J00-J99) Diseases of the respiratory system,Number,Both sexes,1145
2007,(K00-K93) Diseases of the digestive system,Number,Both sexes,924
2007,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,Both sexes,10
2007,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,Both sexes,32
2007,(N00-N99) Diseases of the genitourinary system,Number,Both sexes,558
2007,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,Both sexes,1
2007,(P00-P96) Certain conditions originating in the perinatal period,Number,Both sexes,133
2007,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,Both sexes,54
2007,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,Both sexes,2219
2007,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,Both sexes,1030
2007,(V01-Y98) External causes of mortality,Number,Both sexes,267
2007,Unknown,Number,Both sexes,1076
2007,Total,Number,Both sexes,35044
2007,(A00-B99) Infectious and parasitic diseases,Number,M,164
2007,"(C00-C97,D00-D48) Neoplasms",Number,M,3983
2007,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,M,22
2007,(E00-E90) Endocrine metabolic and nutritional diseases,Number,M,609
2007,(F00-F99) Mental and behavioural disorders,Number,M,113
2007,(G00-G99) Diseases of the nervous system,Number,M,161
2007,"(H00-H93) Diseases of the eye, ear and adnexa",Number,M,1
2007,(I00-I99) Diseases of the circulatory system,Number,M,8697
2007,(J00-J99) Diseases of the respiratory system,Number,M,664
2007,(K00-K93) Diseases of the digestive system,Number,M,570
2007,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,M,4
2007,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,M,9
2007,(N00-N99) Diseases of the genitourinary system,Number,M,320
2007,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,M,0
2007,(P00-P96) Certain conditions originating in the perinatal period,Number,M,79
2007,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,M,28
2007,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,M,1143
2007,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,M,766
2007,(V01-Y98) External causes of mortality,Number,M,199
2007,Unknown,Number,M,622
2007,Total,Number,M,18154
2007,(A00-B99) Infectious and parasitic diseases,Number,F,86
2007,"(C00-C97,D00-D48) Neoplasms",Number,F,273
2007,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,F,32
2007,(E00-E90) Endocrine metabolic and nutritional diseases,Number,F,973
2007,(F00-F99) Mental and behavioural disorders,Number,F,49
2007,(G00-G99) Diseases of the nervous system,Number,F,156
2007,(I00-I99) Diseases of the circulatory system,Number,F,9819
2007,(J00-J99) Diseases of the respiratory system,Number,F,481
2007,(K00-K93) Diseases of the digestive system,Number,F,354
2007,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,F,6
2007,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,F,23
2007,(N00-N99) Diseases of the genitourinary system,Number,F,238
2007,"(O00-O99) Pregnancy, childbirth and the puerperium",Number,F,1
2007,(P00-P96) Certain conditions originating in the perinatal period,Number,F,54
2007,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",Number,F,26
2007,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Number,F,1076
2007,"(S00-T98) Injuries, poisoning and consequences of external causes",Number,F,264
2007,(V01-Y98) External causes of mortality,Number,F,68
2007,Unknown,Number,F,454
2007,Total,Number,F,16890
2008,(A00-B99) Infectious and parasitic diseases,Number,Both sexes,275
2008,"(C00-C97,D00-D48) Neoplasms",Number,Both sexes,6734
2008,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",Number,Both sexes,37
2008,(E00-E90) Endocrine metabolic and nutritional diseases,Number,Both sexes,1563
2008,(F00-F99) Mental and behavioural disorders,Number,Both sexes,169
2008,(G00-G99) Diseases of the nervous system,Number,Both sexes,287
2008,"(H00-H93) Diseases of the eye, ear and adnexa",Number,Both sexes,1
2008,(I00-I99) Diseases of the circulatory system,Number,Both sexes,17988
2008,(J00-J99) Diseases of the respiratory system,Number,Both sexes,1035
2008,(K00-K93) Diseases of the digestive system,Number,Both sexes,846
2008,(L00-L99) Diseases of the skin and subcutaneous tissue,Number,Both sexes,10
2008,(M00-M99) Diseases of the musculoskeletal system and connective tissue,Number,Both sexes,40
