Year,UNIT_MEASURE,school_year_beginning,Type_of_school,Sex,Value
2013,Number,2018/2019,technical_schools,F,33458
2013,Number,2019/2020,technical_schools,F,32816
2013,Number,2020/2021,technical_schools,F,32429
2013,Number,2011/2012,art_schools,F,857
2013,Number,2012/2013,art_schools,F,875
2013,Number,2013/2014,art_schools,F,864
2013,Number,2014/2015,art_schools,F,779
2013,Number,2015/2016,art_schools,F,745
2013,Number,2016/2017,art_schools,F,749
2013,Number,2017/2018,art_schools,F,722
2013,Number,2018/2019,art_schools,F,719
2013,Number,2019/2020,art_schools,F,736
2013,Number,2020/2021,art_schools,F,740
2013,Number,2011/2012,religion_schools,F,1006
2013,Number,2012/2013,religion_schools,F,1128
2013,Number,2013/2014,religion_schools,F,1109
2013,Number,2014/2015,religion_schools,F,1116
2013,Number,2015/2016,religion_schools,F,1119
2013,Number,2016/2017,religion_schools,F,1128
2013,Number,2017/2018,religion_schools,F,1188
2013,Number,2018/2019,religion_schools,F,1170
2013,Number,2019/2020,religion_schools,F,1144
2013,Number,2020/2021,religion_schools,F,1169
2013,Number,2011/2012,vocational_schools,F,10692
2013,Number,2012/2013,vocational_schools,F,10105
2013,Number,2013/2014,vocational_schools,F,8582
2013,Number,2014/2015,vocational_schools,F,7375
2013,Number,2015/2016,vocational_schools,F,7058
2013,Number,2016/2017,vocational_schools,F,6896
2013,Number,2017/2018,vocational_schools,F,6527
2013,Number,2018/2019,vocational_schools,F,6143
2013,Number,2019/2020,vocational_schools,F,5742
2013,Number,2020/2021,vocational_schools,F,5466
2013,Number,2011/2012,high_schools_for_children_with_special_needs,F,152
2013,Number,2012/2013,high_schools_for_children_with_special_needs,F,159
2013,Number,2013/2014,high_schools_for_children_with_special_needs,F,150
2013,Number,2014/2015,high_schools_for_children_with_special_needs,F,138
2013,Number,2015/2016,high_schools_for_children_with_special_needs,F,155
2013,Number,2016/2017,high_schools_for_children_with_special_needs,F,148
2013,Number,2017/2018,high_schools_for_children_with_special_needs,F,146
2013,Number,2018/2019,high_schools_for_children_with_special_needs,F,127
2013,Number,2019/2020,high_schools_for_children_with_special_needs,F,112
2013,Number,2020/2021,high_schools_for_children_with_special_needs,F,116
