Year,UNIT_MEASURE,Sex,AGE,Municipality,Value
2013,Number,F,0-4,Kozarska Dubica,392
2013,Number,Both sexes,0-4,Kreševo,240
2013,Number,M,0-4,Kreševo,127
2013,Number,F,0-4,Kreševo,113
2013,Number,Both sexes,0-4,Krupa Na Uni,49
2013,Number,M,0-4,Krupa Na Uni,27
2013,Number,F,0-4,Krupa Na Uni,22
2013,Number,Both sexes,0-4,Kupres - FBIH,164
2013,Number,M,0-4,Kupres - FBIH,86
2013,Number,F,0-4,Kupres - FBIH,78
2013,Number,Both sexes,0-4,Kupres - RS,6
2013,Number,M,0-4,Kupres - RS,6
2013,Number,Both sexes,0-4,Laktaši,1687
2013,Number,M,0-4,Laktaši,855
2013,Number,F,0-4,Laktaši,832
2013,Number,Both sexes,0-4,Livno,1334
2013,Number,M,0-4,Livno,686
2013,Number,F,0-4,Livno,648
2013,Number,Both sexes,0-4,Lopare,517
2013,Number,M,0-4,Lopare,255
2013,Number,F,0-4,Lopare,262
2013,Number,Both sexes,0-4,Lukavac,1968
2013,Number,M,0-4,Lukavac,1019
2013,Number,F,0-4,Lukavac,949
2013,Number,Both sexes,0-4,Ljubinje,155
2013,Number,M,0-4,Ljubinje,73
2013,Number,F,0-4,Ljubinje,82
2013,Number,Both sexes,0-4,Ljubuški,1352
2013,Number,M,0-4,Ljubuški,683
2013,Number,F,0-4,Ljubuški,669
2013,Number,Both sexes,0-4,Maglaj,1215
2013,Number,M,0-4,Maglaj,633
2013,Number,F,0-4,Maglaj,582
2013,Number,Both sexes,0-4,Milići,489
2013,Number,M,0-4,Milići,247
2013,Number,F,0-4,Milići,242
2013,Number,Both sexes,0-4,Modriča,1001
2013,Number,M,0-4,Modriča,514
2013,Number,F,0-4,Modriča,487
2013,Number,Both sexes,0-4,Mostar,5335
2013,Number,M,0-4,Mostar,2750
2013,Number,F,0-4,Mostar,2585
2013,Number,Both sexes,0-4,Mrkonjić Grad,681
2013,Number,M,0-4,Mrkonjić Grad,337
2013,Number,F,0-4,Mrkonjić Grad,344
2013,Number,Both sexes,0-4,Neum,206
2013,Number,M,0-4,Neum,105
2013,Number,F,0-4,Neum,101
2013,Number,Both sexes,0-4,Nevesinje,561
2013,Number,M,0-4,Nevesinje,301
2013,Number,F,0-4,Nevesinje,260
2013,Number,Both sexes,0-4,Novi Grad,981
2013,Number,M,0-4,Novi Grad,496
2013,Number,F,0-4,Novi Grad,485
2013,Number,Both sexes,0-4,Sarajevo - Novi Grad,6754
2013,Number,M,0-4,Sarajevo - Novi Grad,3488
2013,Number,F,0-4,Sarajevo - Novi Grad,3266
2013,Number,Both sexes,0-4,Novi Travnik,1318
2013,Number,M,0-4,Novi Travnik,685
2013,Number,F,0-4,Novi Travnik,633
2013,Number,Both sexes,0-4,Novo Goražde,103
2013,Number,M,0-4,Novo Goražde,50
2013,Number,F,0-4,Novo Goražde,53
2013,Number,Both sexes,0-4,Sarajevo - Novo Sarajevo,3295
2013,Number,M,0-4,Sarajevo - Novo Sarajevo,1645
2013,Number,F,0-4,Sarajevo - Novo Sarajevo,1650
2013,Number,Both sexes,0-4,Odžak,693
2013,Number,M,0-4,Odžak,344
2013,Number,F,0-4,Odžak,349
2013,Number,Both sexes,0-4,Olovo,417
2013,Number,M,0-4,Olovo,224
2013,Number,F,0-4,Olovo,193
2013,Number,Both sexes,0-4,Orašje,726
2013,Number,M,0-4,Orašje,369
2013,Number,F,0-4,Orašje,357
2013,Number,Both sexes,0-4,Osmaci,275
2013,Number,M,0-4,Osmaci,148
2013,Number,F,0-4,Osmaci,127
2013,Number,Both sexes,0-4,Oštra Luka,107
2013,Number,M,0-4,Oštra Luka,55
2013,Number,F,0-4,Oštra Luka,52
2013,Number,Both sexes,0-4,Pale - FBIH,35
2013,Number,M,0-4,Pale - FBIH,18
2013,Number,F,0-4,Pale - FBIH,17
2013,Number,Both sexes,0-4,Pale - RS,904
2013,Number,M,0-4,Pale - RS,462
2013,Number,F,0-4,Pale - RS,442
2013,Number,Both sexes,0-4,Pelagićevo,133
2013,Number,M,0-4,Pelagićevo,65
2013,Number,F,0-4,Pelagićevo,68
2013,Number,Both sexes,0-4,Petrovac,13
2013,Number,M,0-4,Petrovac,8
2013,Number,F,0-4,Petrovac,5
2013,Number,Both sexes,0-4,Petrovo,264
2013,Number,M,0-4,Petrovo,146
2013,Number,F,0-4,Petrovo,118
2013,Number,Both sexes,0-4,Posušje,1237
2013,Number,M,0-4,Posušje,642
2013,Number,F,0-4,Posušje,595
2013,Number,Both sexes,0-4,Prijedor,3468
2013,Number,M,0-4,Prijedor,1805
2013,Number,F,0-4,Prijedor,1663
2013,Number,Both sexes,0-4,Prnjavor,1600
2013,Number,M,0-4,Prnjavor,812
2013,Number,F,0-4,Prnjavor,788
2013,Number,Both sexes,0-4,Prozor,687
2013,Number,M,0-4,Prozor,341
2013,Number,F,0-4,Prozor,346
2013,Number,Both sexes,0-4,Ravno,118
2013,Number,M,0-4,Ravno,60
2013,Number,F,0-4,Ravno,58
2013,Number,Both sexes,0-4,Ribnik,245
2013,Number,M,0-4,Ribnik,121
2013,Number,F,0-4,Ribnik,124
2013,Number,Both sexes,0-4,Rogatica,514
2013,Number,M,0-4,Rogatica,252
2013,Number,F,0-4,Rogatica,262
2013,Number,Both sexes,0-4,Rudo,289
2013,Number,M,0-4,Rudo,153
2013,Number,F,0-4,Rudo,136
2013,Number,Both sexes,0-4,Sanski Most,1681
2013,Number,M,0-4,Sanski Most,850
2013,Number,F,0-4,Sanski Most,831
2013,Number,Both sexes,0-4,Sapna,651
2013,Number,M,0-4,Sapna,321
2013,Number,F,0-4,Sapna,330
2013,Number,Both sexes,0-4,Sokolac,508
2013,Number,M,0-4,Sokolac,264
2013,Number,F,0-4,Sokolac,244
2013,Number,Both sexes,0-4,Srbac,836
2013,Number,M,0-4,Srbac,412
2013,Number,F,0-4,Srbac,424
2013,Number,Both sexes,0-4,Srebrenica,526
2013,Number,M,0-4,Srebrenica,265
2013,Number,F,0-4,Srebrenica,261
2013,Number,Both sexes,0-4,Srebrenik,2214
2013,Number,M,0-4,Srebrenik,1129
2013,Number,F,0-4,Srebrenik,1085
2013,Number,Both sexes,0-4,Sarajevo - Stari Grad,1623
2013,Number,M,0-4,Sarajevo - Stari Grad,835
2013,Number,F,0-4,Sarajevo - Stari Grad,788
2013,Number,Both sexes,0-4,Stolac,650
2013,Number,M,0-4,Stolac,337
2013,Number,F,0-4,Stolac,313
2013,Number,Both sexes,0-4,Šamac,584
2013,Number,M,0-4,Šamac,289
2013,Number,F,0-4,Šamac,295
2013,Number,Both sexes,0-4,Šekovići,249
2013,Number,M,0-4,Šekovići,130
2013,Number,F,0-4,Šekovići,119
2013,Number,Both sexes,0-4,Šipovo,431
2013,Number,M,0-4,Šipovo,234
2013,Number,F,0-4,Šipovo,197
2013,Number,Both sexes,0-4,Široki Brijeg,1623
2013,Number,M,0-4,Široki Brijeg,861
2013,Number,F,0-4,Široki Brijeg,762
2013,Number,Both sexes,0-4,Teočak,351
2013,Number,M,0-4,Teočak,192
2013,Number,F,0-4,Teočak,159
2013,Number,Both sexes,0-4,Teslić,1969
2013,Number,M,0-4,Teslić,1048
2013,Number,F,0-4,Teslić,921
2013,Number,Both sexes,0-4,Tešanj,2689
2013,Number,M,0-4,Tešanj,1388
2013,Number,F,0-4,Tešanj,1301
2013,Number,Both sexes,0-4,Tomislavgrad,1490
2013,Number,M,0-4,Tomislavgrad,755
2013,Number,F,0-4,Tomislavgrad,735
2013,Number,Both sexes,0-4,Travnik,2797
2013,Number,M,0-4,Travnik,1463
2013,Number,F,0-4,Travnik,1334
2013,Number,Both sexes,0-4,Trebinje,1415
2013,Number,M,0-4,Trebinje,753
2013,Number,F,0-4,Trebinje,662
2013,Number,Both sexes,0-4,Trnovo - FBIH,40
2013,Number,M,0-4,Trnovo - FBIH,12
2013,Number,F,0-4,Trnovo - FBIH,28
2013,Number,Both sexes,0-4,Trnovo - RS,66
2013,Number,M,0-4,Trnovo - RS,30
2013,Number,F,0-4,Trnovo - RS,36
2013,Number,Both sexes,0-4,Tuzla,5105
2013,Number,M,0-4,Tuzla,2666
2013,Number,F,0-4,Tuzla,2439
2013,Number,Both sexes,0-4,Ugljevik,675
2013,Number,M,0-4,Ugljevik,368
2013,Number,F,0-4,Ugljevik,307
2013,Number,Both sexes,0-4,Usora,251
2013,Number,M,0-4,Usora,121
2013,Number,F,0-4,Usora,130
2013,Number,Both sexes,0-4,Vareš,256
2013,Number,M,0-4,Vareš,128
2013,Number,F,0-4,Vareš,128
2013,Number,Both sexes,0-4,Velika Kladuša,2756
2013,Number,M,0-4,Velika Kladuša,1433
2013,Number,F,0-4,Velika Kladuša,1323
2013,Number,Both sexes,0-4,Visoko,2309
2013,Number,M,0-4,Visoko,1178
2013,Number,F,0-4,Visoko,1131
2013,Number,Both sexes,0-4,Višegrad,344
2013,Number,M,0-4,Višegrad,164
2013,Number,F,0-4,Višegrad,180
2013,Number,Both sexes,0-4,Vitez,1447
2013,Number,M,0-4,Vitez,757
2013,Number,F,0-4,Vitez,690
2013,Number,Both sexes,0-4,Vlasenica,499
2013,Number,M,0-4,Vlasenica,268
2013,Number,F,0-4,Vlasenica,231
2013,Number,Both sexes,0-4,Sarajevo - Vogošća,1600
2013,Number,M,0-4,Sarajevo - Vogošća,837
2013,Number,F,0-4,Sarajevo - Vogošća,763
2013,Number,Both sexes,0-4,Vukosavlje,207
2013,Number,M,0-4,Vukosavlje,107
2013,Number,F,0-4,Vukosavlje,100
2013,Number,Both sexes,0-4,Zavidovići,2005
2013,Number,M,0-4,Zavidovići,1013
2013,Number,F,0-4,Zavidovići,992
2013,Number,Both sexes,0-4,Zenica,6072
2013,Number,M,0-4,Zenica,3104
2013,Number,F,0-4,Zenica,2968
2013,Number,Both sexes,0-4,Zvornik,3061
2013,Number,M,0-4,Zvornik,1545
2013,Number,F,0-4,Zvornik,1516
2013,Number,Both sexes,0-4,Žepče,1657
2013,Number,M,0-4,Žepče,878
2013,Number,F,0-4,Žepče,779
2013,Number,Both sexes,0-4,Živinice,3389
2013,Number,M,0-4,Živinice,1778
2013,Number,F,0-4,Živinice,1611
2013,Number,Both sexes,5-9,Banja Luka,8736
2013,Number,M,5-9,Banja Luka,4460
2013,Number,F,5-9,Banja Luka,4276
2013,Number,Both sexes,5-9,Banovići,1212
2013,Number,M,5-9,Banovići,623
2013,Number,F,5-9,Banovići,589
2013,Number,Both sexes,5-9,Berkovići,130
2013,Number,M,5-9,Berkovići,73
2013,Number,F,5-9,Berkovići,57
2013,Number,Both sexes,5-9,Bihać,2806
2013,Number,M,5-9,Bihać,1416
2013,Number,F,5-9,Bihać,1390
2013,Number,Both sexes,5-9,Bijeljina,5136
2013,Number,M,5-9,Bijeljina,2659
2013,Number,F,5-9,Bijeljina,2477
2013,Number,Both sexes,5-9,Bileća,483
2013,Number,M,5-9,Bileća,263
2013,Number,F,5-9,Bileća,220
2013,Number,Both sexes,5-9,Bosanska Krupa,1495
2013,Number,M,5-9,Bosanska Krupa,748
2013,Number,F,5-9,Bosanska Krupa,747
2013,Number,Both sexes,5-9,Bosanski Petrovac,324
2013,Number,M,5-9,Bosanski Petrovac,158
2013,Number,F,5-9,Bosanski Petrovac,166
2013,Number,Both sexes,5-9,Bosansko Grahovo,49
2013,Number,M,5-9,Bosansko Grahovo,29
2013,Number,F,5-9,Bosansko Grahovo,20
2013,Number,Both sexes,5-9,Bratunac,1096
2013,Number,M,5-9,Bratunac,559
2013,Number,F,5-9,Bratunac,537
2013,Number,Both sexes,5-9,Brčko,4312
2013,Number,M,5-9,Brčko,2235
2013,Number,F,5-9,Brčko,2077
2013,Number,Both sexes,5-9,Breza,661
2013,Number,M,5-9,Breza,343
2013,Number,F,5-9,Breza,318
2013,Number,Both sexes,5-9,Brod,731
2013,Number,M,5-9,Brod,392
2013,Number,F,5-9,Brod,339
2013,Number,Both sexes,5-9,Bugojno,1681
2013,Number,M,5-9,Bugojno,893
2013,Number,F,5-9,Bugojno,788
2013,Number,Both sexes,5-9,Busovača,1079
2013,Number,M,5-9,Busovača,573
2013,Number,F,5-9,Busovača,506
2013,Number,Both sexes,5-9,Bužim,1345
2013,Number,M,5-9,Bužim,675
2013,Number,F,5-9,Bužim,670
2013,Number,Both sexes,5-9,Cazin,4192
2013,Number,M,5-9,Cazin,2147
2013,Number,F,5-9,Cazin,2045
2013,Number,Both sexes,5-9,Sarajevo - Centar,2432
2013,Number,M,5-9,Sarajevo - Centar,1271
2013,Number,F,5-9,Sarajevo - Centar,1161
2013,Number,Both sexes,5-9,Čajniče,212
2013,Number,M,5-9,Čajniče,99
2013,Number,F,5-9,Čajniče,113
2013,Number,Both sexes,5-9,Čapljina,1359
2013,Number,M,5-9,Čapljina,703
2013,Number,F,5-9,Čapljina,656
2013,Number,Both sexes,5-9,Čelić,573
2013,Number,M,5-9,Čelić,287
2013,Number,F,5-9,Čelić,286
2013,Number,Both sexes,5-9,Čelinac,741
2013,Number,M,5-9,Čelinac,382
2013,Number,F,5-9,Čelinac,359
2013,Number,Both sexes,5-9,Čitluk,1090
2013,Number,M,5-9,Čitluk,550
2013,Number,F,5-9,Čitluk,540
2013,Number,Both sexes,5-9,Derventa,1223
2013,Number,M,5-9,Derventa,637
2013,Number,F,5-9,Derventa,586
2013,Number,Both sexes,5-9,Doboj,3311
2013,Number,M,5-9,Doboj,1647
2013,Number,F,5-9,Doboj,1664
2013,Number,Both sexes,5-9,Doboj-Istok,570
2013,Number,M,5-9,Doboj-Istok,291
2013,Number,F,5-9,Doboj-Istok,279
2013,Number,Both sexes,5-9,Doboj-Jug,288
2013,Number,M,5-9,Doboj-Jug,155
2013,Number,F,5-9,Doboj-Jug,133
2013,Number,Both sexes,5-9,Dobretići,54
2013,Number,M,5-9,Dobretići,30
2013,Number,F,5-9,Dobretići,24
2013,Number,Both sexes,5-9,Domaljevac-Šamac,237
2013,Number,M,5-9,Domaljevac-Šamac,109
2013,Number,F,5-9,Domaljevac-Šamac,128
2013,Number,Both sexes,5-9,Donji Vakuf,861
2013,Number,M,5-9,Donji Vakuf,426
2013,Number,F,5-9,Donji Vakuf,435
2013,Number,Both sexes,5-9,Donji Žabar,185
2013,Number,M,5-9,Donji Žabar,103
2013,Number,F,5-9,Donji Žabar,82
2013,Number,Both sexes,5-9,Drvar,250
2013,Number,M,5-9,Drvar,130
2013,Number,F,5-9,Drvar,120
2013,Number,Both sexes,5-9,Foča - FBIH,71
2013,Number,M,5-9,Foča - FBIH,37
2013,Number,F,5-9,Foča - FBIH,34
2013,Number,Both sexes,5-9,Foča - RS,755
2013,Number,M,5-9,Foča - RS,393
2013,Number,F,5-9,Foča - RS,362
2013,Number,Both sexes,5-9,Fojnica,635
2013,Number,M,5-9,Fojnica,331
2013,Number,F,5-9,Fojnica,304
2013,Number,Both sexes,5-9,Gacko,443
2013,Number,M,5-9,Gacko,240
2013,Number,F,5-9,Gacko,203
2013,Number,Both sexes,5-9,Glamoč,181
2013,Number,M,5-9,Glamoč,101
2013,Number,F,5-9,Glamoč,80
2013,Number,Both sexes,5-9,Goražde,845
2013,Number,M,5-9,Goražde,458
2013,Number,F,5-9,Goražde,387
2013,Number,Both sexes,5-9,Gornji Vakuf-Uskoplje,1231
2013,Number,M,5-9,Gornji Vakuf-Uskoplje,619
2013,Number,F,5-9,Gornji Vakuf-Uskoplje,612
2013,Number,Both sexes,5-9,Gračanica,2518
2013,Number,M,5-9,Gračanica,1287
2013,Number,F,5-9,Gračanica,1231
2013,Number,Both sexes,5-9,Gradačac,2243
2013,Number,M,5-9,Gradačac,1188
2013,Number,F,5-9,Gradačac,1055
2013,Number,Both sexes,5-9,Gradiška,2295
2013,Number,M,5-9,Gradiška,1168
2013,Number,F,5-9,Gradiška,1127
2013,Number,Both sexes,5-9,Grude,952
2013,Number,M,5-9,Grude,482
2013,Number,F,5-9,Grude,470
2013,Number,Both sexes,5-9,Sarajevo - Hadžići,1339
2013,Number,M,5-9,Sarajevo - Hadžići,704
2013,Number,F,5-9,Sarajevo - Hadžići,635
2013,Number,Both sexes,5-9,Han Pijesak,130
2013,Number,M,5-9,Han Pijesak,67
2013,Number,F,5-9,Han Pijesak,63
2013,Number,Both sexes,5-9,Sarajevo - Ilidža,3664
2013,Number,M,5-9,Sarajevo - Ilidža,1896
2013,Number,F,5-9,Sarajevo - Ilidža,1768
2013,Number,Both sexes,5-9,Sarajevo - Ilijaš,1128
2013,Number,M,5-9,Sarajevo - Ilijaš,564
2013,Number,F,5-9,Sarajevo - Ilijaš,564
2013,Number,Both sexes,5-9,Istočna Ilidža,683
2013,Number,M,5-9,Istočna Ilidža,325
2013,Number,F,5-9,Istočna Ilidža,358
2013,Number,Both sexes,5-9,Istočni Drvar,1
2013,Number,M,5-9,Istočni Drvar,1
2013,Number,F,5-9,Istočni Drvar,0
2013,Number,Both sexes,5-9,Istočni Mostar,16
2013,Number,M,5-9,Istočni Mostar,7
2013,Number,F,5-9,Istočni Mostar,9
