Year,UNIT_MEASURE,AGE,Fertility rate,Value
2008,Number,25-29,Age specific fertility rates,86.7
2009,Number,25-29,Age specific fertility rates,88.7
2010,Number,25-29,Age specific fertility rates,85.8
2011,Number,25-29,Age specific fertility rates,82.3
2012,Number,25-29,Age specific fertility rates,97.7
2013,Number,25-29,Age specific fertility rates,91.8
2014,Number,25-29,Age specific fertility rates,88.8
2015,Number,25-29,Age specific fertility rates,86.3
2016,Number,25-29,Age specific fertility rates,80.5
2017,Number,25-29,Age specific fertility rates,79.2
2018,Number,25-29,Age specific fertility rates,81.3
2019,Number,25-29,Age specific fertility rates,76.5
1996,Number,30-34,Age specific fertility rates,59.9
1997,Number,30-34,Age specific fertility rates,55.5
1998,Number,30-34,Age specific fertility rates,51.4
1999,Number,30-34,Age specific fertility rates,47.4
2000,Number,30-34,Age specific fertility rates,44.1
2001,Number,30-34,Age specific fertility rates,41.1
2002,Number,30-34,Age specific fertility rates,45.0
2003,Number,30-34,Age specific fertility rates,46.5
2004,Number,30-34,Age specific fertility rates,46.0
2005,Number,30-34,Age specific fertility rates,47.6
2006,Number,30-34,Age specific fertility rates,49.0
2007,Number,30-34,Age specific fertility rates,59.5
2008,Number,30-34,Age specific fertility rates,62.0
2009,Number,30-34,Age specific fertility rates,66.1
2010,Number,30-34,Age specific fertility rates,66.5
2011,Number,30-34,Age specific fertility rates,65.6
2012,Number,30-34,Age specific fertility rates,70.0
2013,Number,30-34,Age specific fertility rates,69.7
2014,Number,30-34,Age specific fertility rates,71.9
2015,Number,30-34,Age specific fertility rates,72.5
2016,Number,30-34,Age specific fertility rates,70.2
2017,Number,30-34,Age specific fertility rates,72.2
2018,Number,30-34,Age specific fertility rates,70.2
2019,Number,30-34,Age specific fertility rates,67.1
1996,Number,35-39,Age specific fertility rates,28.4
1997,Number,35-39,Age specific fertility rates,23.7
1998,Number,35-39,Age specific fertility rates,23.5
1999,Number,35-39,Age specific fertility rates,19.0
2000,Number,35-39,Age specific fertility rates,18.6
2001,Number,35-39,Age specific fertility rates,16.5
2002,Number,35-39,Age specific fertility rates,18.3
2003,Number,35-39,Age specific fertility rates,18.2
2004,Number,35-39,Age specific fertility rates,18.7
2005,Number,35-39,Age specific fertility rates,17.5
2006,Number,35-39,Age specific fertility rates,16.8
2007,Number,35-39,Age specific fertility rates,20.8
2008,Number,35-39,Age specific fertility rates,21.5
2009,Number,35-39,Age specific fertility rates,22.6
2010,Number,35-39,Age specific fertility rates,24.2
2011,Number,35-39,Age specific fertility rates,23.0
2012,Number,35-39,Age specific fertility rates,25.8
2013,Number,35-39,Age specific fertility rates,25.7
2014,Number,35-39,Age specific fertility rates,26.9
2015,Number,35-39,Age specific fertility rates,27.5
2016,Number,35-39,Age specific fertility rates,29.0
2017,Number,35-39,Age specific fertility rates,31.6
2018,Number,35-39,Age specific fertility rates,31.5
2019,Number,35-39,Age specific fertility rates,31.7
1996,Number,40-44,Age specific fertility rates,5.3
1997,Number,40-44,Age specific fertility rates,5.4
1998,Number,40-44,Age specific fertility rates,5.5
1999,Number,40-44,Age specific fertility rates,4.1
2000,Number,40-44,Age specific fertility rates,4.0
2001,Number,40-44,Age specific fertility rates,3.7
2002,Number,40-44,Age specific fertility rates,4.1
2003,Number,40-44,Age specific fertility rates,3.6
2004,Number,40-44,Age specific fertility rates,3.7
2005,Number,40-44,Age specific fertility rates,3.7
2006,Number,40-44,Age specific fertility rates,3.4
2007,Number,40-44,Age specific fertility rates,3.6
2008,Number,40-44,Age specific fertility rates,4.0
2009,Number,40-44,Age specific fertility rates,3.8
2010,Number,40-44,Age specific fertility rates,3.9
2011,Number,40-44,Age specific fertility rates,3.7
2012,Number,40-44,Age specific fertility rates,4.7
2013,Number,40-44,Age specific fertility rates,4.4
2014,Number,40-44,Age specific fertility rates,4.6
2015,Number,40-44,Age specific fertility rates,4.6
2016,Number,40-44,Age specific fertility rates,5.2
2017,Number,40-44,Age specific fertility rates,5.4
2018,Number,40-44,Age specific fertility rates,5.8
2019,Number,40-44,Age specific fertility rates,5.9
1996,Number,45-49,Age specific fertility rates,0.5
1997,Number,45-49,Age specific fertility rates,0.5
1998,Number,45-49,Age specific fertility rates,0.5
1999,Number,45-49,Age specific fertility rates,0.3
2000,Number,45-49,Age specific fertility rates,0.2
2001,Number,45-49,Age specific fertility rates,0.3
2002,Number,45-49,Age specific fertility rates,0.2
2003,Number,45-49,Age specific fertility rates,0.2
2004,Number,45-49,Age specific fertility rates,0.2
2005,Number,45-49,Age specific fertility rates,0.2
2006,Number,45-49,Age specific fertility rates,0.2
2007,Number,45-49,Age specific fertility rates,0.3
2008,Number,45-49,Age specific fertility rates,0.2
2009,Number,45-49,Age specific fertility rates,0.2
2010,Number,45-49,Age specific fertility rates,0.2
2011,Number,45-49,Age specific fertility rates,0.2
2012,Number,45-49,Age specific fertility rates,0.2
2013,Number,45-49,Age specific fertility rates,0.3
2014,Number,45-49,Age specific fertility rates,0.3
2015,Number,45-49,Age specific fertility rates,0.2
2016,Number,45-49,Age specific fertility rates,0.2
2017,Number,45-49,Age specific fertility rates,0.4
2018,Number,45-49,Age specific fertility rates,0.4
2019,Number,45-49,Age specific fertility rates,0.3
1996,Number,50+,Age specific fertility rates,0.0
1997,Number,50+,Age specific fertility rates,0.0
1998,Number,50+,Age specific fertility rates,0.0
1999,Number,50+,Age specific fertility rates,0.0
2000,Number,50+,Age specific fertility rates,0.0
2001,Number,50+,Age specific fertility rates,0.0
2002,Number,50+,Age specific fertility rates,0.0
2003,Number,50+,Age specific fertility rates,0.0
2004,Number,50+,Age specific fertility rates,0.0
2005,Number,50+,Age specific fertility rates,0.0
2006,Number,50+,Age specific fertility rates,0.0
2007,Number,50+,Age specific fertility rates,0.0
2008,Number,50+,Age specific fertility rates,0.0
2009,Number,50+,Age specific fertility rates,0.0
2010,Number,50+,Age specific fertility rates,0.0
2011,Number,50+,Age specific fertility rates,0.0
2012,Number,50+,Age specific fertility rates,0.0
2013,Number,50+,Age specific fertility rates,0.0
2014,Number,50+,Age specific fertility rates,0.0
2015,Number,50+,Age specific fertility rates,0.0
2016,Number,50+,Age specific fertility rates,0.0
2017,Number,50+,Age specific fertility rates,0.0
2018,Number,50+,Age specific fertility rates,0.0
2019,Number,50+,Age specific fertility rates,0.0
