Year,Пол,Узрок смрти (према шифрама болести по МКБ-10),UNIT_MEASURE,Value
2001,Ж,"„(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора“",Број,249
2001,Ж,„(В01-Y98) Спољни узроци смртности“,Број,55
2001,Ж,„(З00-З99) Фактори који утичу на здравствено стање и контакт са здравственом службом“,Број,1
2001,Ж,Непознато,Број,427
2001,Ж,Укупно,Број,14123
2002,Оба пола,„(А00-Б99) Заразне и паразитарне болести“,Број,263
2002,Оба пола,"„(Ц00-Ц97,Д00-Д48) Неоплазме“",Број,5288
2002,Оба пола,"„(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система“",Број,19
2002,Оба пола,"„(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма“",Број,862
2002,Оба пола,„(Ф00-Ф99) Душевни поремећаји и поремећаји понашања“,Број,66
2002,Оба пола,„(Г00-Г99) Болести нервног система“,Број,157
2002,Оба пола,"„(Х00-Х93) Болести ока, уха и аднекса""",Број,1
2002,Оба пола,„(И00-И99) Болести циркулацијског система“,Број,16007
2002,Оба пола,„(Ј00-Ј99) Болести респираторног система“,Број,817
2002,Оба пола,„(К00-К93) Болести дигестивног система“,Број,820
2002,Оба пола,„(Л00-Л99) Болести коже и поткожног ткива“,Број,17
2002,Оба пола,„(М00-М99) Болести мускулоскелетног система и везивног ткива“,Број,10
2002,Оба пола,„(Н00-Н99) Болести генитално-уринарног система“,Број,219
2002,Оба пола,"„(О00-О99) Трудноћа, порођај и постпорођајни период“",Број,3
2002,Оба пола,„(П00-П96) Одређена стања настала у перинаталном периоду“,Број,226
2002,Оба пола,"„(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности“",Број,56
2002,Оба пола,"„(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани“",Број,2983
2002,Оба пола,"„(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора“",Број,984
2002,Оба пола,„(В01-Y98) Спољни узроци смртности“,Број,242
2002,Оба пола,„(З00-З99) Фактори који утичу на здравствено стање и контакт са здравственом службом“,Број,1
2002,Оба пола,Непознато,Број,1790
2002,Оба пола,Укупно,Број,30831
2002,M,„(А00-Б99) Заразне и паразитарне болести“,Број,160
2002,M,"„(Ц00-Ц97,Д00-Д48) Неоплазме“",Број,3201
2002,M,"„(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система“",Број,11
2002,M,"„(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма“",Број,300
2002,M,„(Ф00-Ф99) Душевни поремећаји и поремећаји понашања“,Број,39
2002,M,„(Г00-Г99) Болести нервног система“,Број,87
2002,M,"„(Х00-Х93) Болести ока, уха и аднекса""",Број,1
2002,M,„(И00-И99) Болести циркулацијског система“,Број,7544
2002,M,„(Ј00-Ј99) Болести респираторног система“,Број,478
2002,M,„(К00-К93) Болести дигестивног система“,Број,495
2002,M,„(Л00-Л99) Болести коже и поткожног ткива“,Број,3
2002,M,„(М00-М99) Болести мускулоскелетног система и везивног ткива“,Број,2
2002,M,„(Н00-Н99) Болести генитално-уринарног система“,Број,120
2002,M,„(П00-П96) Одређена стања настала у перинаталном периоду“,Број,128
2002,M,"„(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности“",Број,32
2002,M,"„(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани“",Број,1535
2002,M,"„(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора“",Број,751
2002,M,„(В01-Y98) Спољни узроци смртности“,Број,180
2002,M,„(З00-З99) Фактори који утичу на здравствено стање и контакт са здравственом службом“,Број,1
2002,M,Непознато,Број,965
2002,M,Укупно,Број,16033
2002,Ж,„(А00-Б99) Заразне и паразитарне болести“,Број,103
2002,Ж,"„(Ц00-Ц97,Д00-Д48) Неоплазме“",Број,2087
2002,Ж,"„(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система“",Број,8
2002,Ж,"„(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма“",Број,562
2002,Ж,„(Ф00-Ф99) Душевни поремећаји и поремећаји понашања“,Број,27
2002,Ж,„(Г00-Г99) Болести нервног система“,Број,70
2002,Ж,„(И00-И99) Болести циркулацијског система“,Број,8463
2002,Ж,„(Ј00-Ј99) Болести респираторног система“,Број,339
2002,Ж,„(К00-К93) Болести дигестивног система“,Број,325
2002,Ж,„(Л00-Л99) Болести коже и поткожног ткива“,Број,14
2002,Ж,„(М00-М99) Болести мускулоскелетног система и везивног ткива“,Број,8
2002,Ж,„(Н00-Н99) Болести генитално-уринарног система“,Број,99
2002,Ж,"„(О00-О99) Трудноћа, порођај и постпорођајни период“",Број,3
2002,Ж,„(П00-П96) Одређена стања настала у перинаталном периоду“,Број,98
2002,Ж,"„(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности“",Број,24
2002,Ж,"„(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани“",Број,1448
2002,Ж,"„(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора“",Број,233
2002,Ж,„(В01-Y98) Спољни узроци смртности“,Број,62
2002,Ж,Непознато,Број,825
2002,Ж,Укупно,Број,14798
2003,Оба пола,"„(Ц00-Ц97,Д00-Д48) Неоплазме“",Број,5771
2003,Оба пола,„(И00-И99) Болести циркулацијског система“,Број,16990
2003,Оба пола,„(Ј00-Ј99) Болести респираторног система“,Број,876
2003,Оба пола,„(К00-К93) Болести дигестивног система“,Број,810
2003,Оба пола,"„(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани“",Број,3166
2003,Оба пола,"„(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора“",Број,950
2003,Оба пола,Непознато,Број,770
2003,Оба пола,Укупно,Број,29333
2003,M,"„(Ц00-Ц97,Д00-Д48) Неоплазме“",Број,3499
2003,M,„(И00-И99) Болести циркулацијског система“,Број,8001
2003,M,„(Ј00-Ј99) Болести респираторног система“,Број,542
2003,M,„(К00-К93) Болести дигестивног система“,Број,499
2003,M,"„(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани“",Број,1612
2003,M,"„(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора“",Број,706
2003,M,Непознато,Број,424
2003,M,Укупно,Број,15283
2003,Ж,"„(Ц00-Ц97,Д00-Д48) Неоплазме“",Број,2272
2003,Ж,„(И00-И99) Болести циркулацијског система“,Број,8989
2003,Ж,„(Ј00-Ј99) Болести респираторног система“,Број,334
2003,Ж,„(К00-К93) Болести дигестивног система“,Број,311
2003,Ж,"„(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани“",Број,1554
2003,Ж,"„(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора“",Број,244
2003,Ж,Непознато,Број,346
2003,Ж,Укупно,Број,14050
2004,Оба пола,„(А00-Б99) Заразне и паразитарне болести“,Број,255
2004,Оба пола,"„(Ц00-Ц97,Д00-Д48) Неоплазме“",Број,5709
2004,Оба пола,"„(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система“",Број,31
2004,Оба пола,"„(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма“",Број,993
2004,Оба пола,„(Ф00-Ф99) Душевни поремећаји и поремећаји понашања“,Број,104
2004,Оба пола,„(Г00-Г99) Болести нервног система“,Број,251
2004,Оба пола,„(И00-И99) Болести циркулацијског система“,Број,17700
2004,Оба пола,„(Ј00-Ј99) Болести респираторног система“,Број,907
2004,Оба пола,„(К00-К93) Болести дигестивног система“,Број,839
2004,Оба пола,„(Л00-Л99) Болести коже и поткожног ткива“,Број,11
2004,Оба пола,„(М00-М99) Болести мускулоскелетног система и везивног ткива“,Број,16
2004,Оба пола,„(Н00-Н99) Болести генитално-уринарног система“,Број,467
2004,Оба пола,"„(О00-О99) Трудноћа, порођај и постпорођајни период“",Број,1
2004,Оба пола,„(П00-П96) Одређена стања настала у перинаталном периоду“,Број,163
2004,Оба пола,"„(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности“",Број,42
2004,Оба пола,"„(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани“",Број,2723
2004,Оба пола,"„(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора“",Број,920
2004,Оба пола,„(В01-Y98) Спољни узроци смртности“,Број,273
2004,Оба пола,„(З00-З99) Фактори који утичу на здравствено стање и контакт са здравственом службом“,Број,1
2004,Оба пола,Непознато,Број,1210
2004,Оба пола,Укупно,Број,32616
2004,M,„(А00-Б99) Заразне и паразитарне болести“,Број,152
2004,M,"„(Ц00-Ц97,Д00-Д48) Неоплазме“",Број,3398
2004,M,"„(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система“",Број,10
2004,M,"„(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма“",Број,377
2004,M,„(Ф00-Ф99) Душевни поремећаји и поремећаји понашања“,Број,80
2004,M,„(Г00-Г99) Болести нервног система“,Број,126
2004,M,„(И00-И99) Болести циркулацијског система“,Број,8262
2004,M,„(Ј00-Ј99) Болести респираторног система“,Број,551
2004,M,„(К00-К93) Болести дигестивног система“,Број,498
2004,M,„(Л00-Л99) Болести коже и поткожног ткива“,Број,2
2004,M,„(М00-М99) Болести мускулоскелетног система и везивног ткива“,Број,9
2004,M,„(Н00-Н99) Болести генитално-уринарног система“,Број,248
2004,M,„(П00-П96) Одређена стања настала у перинаталном периоду“,Број,101
2004,M,"„(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности“",Број,26
2004,M,"„(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани“",Број,1399
2004,M,"„(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора“",Број,691
2004,M,„(В01-Y98) Спољни узроци смртности“,Број,198
2004,M,„(З00-З99) Фактори који утичу на здравствено стање и контакт са здравственом службом“,Број,1
2004,M,Непознато,Број,651
2004,M,Укупно,Број,16780
2004,Ж,„(А00-Б99) Заразне и паразитарне болести“,Број,103
2004,Ж,"„(Ц00-Ц97,Д00-Д48) Неоплазме“",Број,2311
2004,Ж,"„(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система“",Број,21
2004,Ж,"„(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма“",Број,616
2004,Ж,„(Ф00-Ф99) Душевни поремећаји и поремећаји понашања“,Број,24
2004,Ж,„(Г00-Г99) Болести нервног система“,Број,125
2004,Ж,„(И00-И99) Болести циркулацијског система“,Број,9438
2004,Ж,„(Ј00-Ј99) Болести респираторног система“,Број,356
2004,Ж,„(К00-К93) Болести дигестивног система“,Број,341
2004,Ж,„(Л00-Л99) Болести коже и поткожног ткива“,Број,9
2004,Ж,„(М00-М99) Болести мускулоскелетног система и везивног ткива“,Број,7
2004,Ж,„(Н00-Н99) Болести генитално-уринарног система“,Број,219
2004,Ж,"„(О00-О99) Трудноћа, порођај и постпорођајни период“",Број,1
2004,Ж,„(П00-П96) Одређена стања настала у перинаталном периоду“,Број,62
2004,Ж,"„(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности“",Број,16
2004,Ж,"„(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани“",Број,1324
2004,Ж,"„(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора“",Број,229
2004,Ж,„(В01-Y98) Спољни узроци смртности“,Број,75
2004,Ж,Непознато,Број,559
2004,Ж,Укупно,Број,15836
2005,Оба пола,"„(Ц00-Ц97,Д00-Д48) Неоплазме“",Број,6255
2005,Оба пола,„(И00-И99) Болести циркулацијског система“,Број,17915
2005,Оба пола,„(Ј00-Ј99) Болести респираторног система“,Број,1242
2005,Оба пола,„(К00-К93) Болести дигестивног система“,Број,818
2005,Оба пола,"„(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани“",Број,2394
2005,Оба пола,"„(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора“",Број,952
2005,Оба пола,Укупно,Број,29576
2005,M,"„(Ц00-Ц97,Д00-Д48) Неоплазме“",Број,3766
2005,M,„(И00-И99) Болести циркулацијског система“,Број,8559
2005,M,„(Ј00-Ј99) Болести респираторног система“,Број,726
2005,M,„(К00-К93) Болести дигестивног система“,Број,491
2005,M,"„(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани“",Број,1312
2005,M,"„(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора“",Број,718
2005,M,Укупно,Број,15572
2005,Ж,"„(Ц00-Ц97,Д00-Д48) Неоплазме“",Број,2489
2005,Ж,„(И00-И99) Болести циркулацијског система“,Број,9356
2005,Ж,„(Ј00-Ј99) Болести респираторног система“,Број,516
2005,Ж,„(К00-К93) Болести дигестивног система“,Број,327
2005,Ж,"„(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани“",Број,1082
2005,Ж,"„(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора“",Број,234
2005,Ж,Укупно,Број,14004
2006,Оба пола,„(А00-Б99) Заразне и паразитарне болести“,Број,237
2006,Оба пола,"„(Ц00-Ц97,Д00-Д48) Неоплазме“",Број,6252
2006,Оба пола,"„(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система“",Број,20
2006,Оба пола,"„(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма“",Број,1537
2006,Оба пола,„(Ф00-Ф99) Душевни поремећаји и поремећаји понашања“,Број,118
2006,Оба пола,„(Г00-Г99) Болести нервног система“,Број,298
2006,Оба пола,"„(Х00-Х93) Болести ока, уха и аднекса""",Број,1
2006,Оба пола,„(И00-И99) Болести циркулацијског система“,Број,16967
2006,Оба пола,„(Ј00-Ј99) Болести респираторног система“,Број,1132
2006,Оба пола,„(К00-К93) Болести дигестивног система“,Број,826
2006,Оба пола,„(Л00-Л99) Болести коже и поткожног ткива“,Број,11
2006,Оба пола,„(М00-М99) Болести мускулоскелетног система и везивног ткива“,Број,16
2006,Оба пола,„(Н00-Н99) Болести генитално-уринарног система“,Број,547
2006,Оба пола,"„(О00-О99) Трудноћа, порођај и постпорођајни период“",Број,3
2006,Оба пола,„(П00-П96) Одређена стања настала у перинаталном периоду“,Број,185
2006,Оба пола,"„(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности“",Број,56
2006,Оба пола,"„(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани“",Број,2744
2006,Оба пола,"„(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора“",Број,1017
2006,Оба пола,„(В01-Y98) Спољни узроци смртности“,Број,212
2006,Оба пола,„(З00-З99) Фактори који утичу на здравствено стање и контакт са здравственом службом“,Број,1
2006,Оба пола,Непознато,Број,1041
2006,Оба пола,Укупно,Број,33221
2006,M,„(А00-Б99) Заразне и паразитарне болести“,Број,147
2006,M,"„(Ц00-Ц97,Д00-Д48) Неоплазме“",Број,3697
2006,M,"„(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система“",Број,9
2006,M,"„(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма“",Број,598
2006,M,„(Ф00-Ф99) Душевни поремећаји и поремећаји понашања“,Број,88
2006,M,„(Г00-Г99) Болести нервног система“,Број,174
2006,M,„(И00-И99) Болести циркулацијског система“,Број,7941
2006,M,„(Ј00-Ј99) Болести респираторног система“,Број,677
2006,M,„(К00-К93) Болести дигестивног система“,Број,493
2006,M,„(Л00-Л99) Болести коже и поткожног ткива“,Број,6
2006,M,„(М00-М99) Болести мускулоскелетног система и везивног ткива“,Број,3
2006,M,„(Н00-Н99) Болести генитално-уринарног система“,Број,293
2006,M,„(П00-П96) Одређена стања настала у перинаталном периоду“,Број,118
2006,M,"„(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности“",Број,32
2006,M,"„(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани“",Број,1527
2006,M,"„(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора“",Број,775
2006,M,„(В01-Y98) Спољни узроци смртности“,Број,152
2006,M,Непознато,Број,578
2006,M,Укупно,Број,17308
2006,Ж,„(А00-Б99) Заразне и паразитарне болести“,Број,90
2006,Ж,"„(Ц00-Ц97,Д00-Д48) Неоплазме“",Број,2555
2006,Ж,"„(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система“",Број,11
2006,Ж,"„(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма“",Број,939
2006,Ж,„(Ф00-Ф99) Душевни поремећаји и поремећаји понашања“,Број,30
2006,Ж,„(Г00-Г99) Болести нервног система“,Број,124
2006,Ж,"„(Х00-Х93) Болести ока, уха и аднекса""",Број,1
2006,Ж,„(И00-И99) Болести циркулацијског система“,Број,9026
2006,Ж,„(Ј00-Ј99) Болести респираторног система“,Број,455
2006,Ж,„(К00-К93) Болести дигестивног система“,Број,333
2006,Ж,„(Л00-Л99) Болести коже и поткожног ткива“,Број,5
2006,Ж,„(М00-М99) Болести мускулоскелетног система и везивног ткива“,Број,13
2006,Ж,„(Н00-Н99) Болести генитално-уринарног система“,Број,254
2006,Ж,"„(О00-О99) Трудноћа, порођај и постпорођајни период“",Број,3
2006,Ж,„(П00-П96) Одређена стања настала у перинаталном периоду“,Број,67
2006,Ж,"„(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности“",Број,24
2006,Ж,"„(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани“",Број,1217
2006,Ж,"„(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора“",Број,242
2006,Ж,„(В01-Y98) Спољни узроци смртности“,Број,60
2006,Ж,„(З00-З99) Фактори који утичу на здравствено стање и контакт са здравственом службом“,Број,1
2006,Ж,Непознато,Број,463
2006,Ж,Укупно,Број,15913
2007,Оба пола,„(А00-Б99) Заразне и паразитарне болести“,Број,250
2007,Оба пола,"„(Ц00-Ц97,Д00-Д48) Неоплазме“",Број,6713
2007,Оба пола,"„(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система“",Број,54
2007,Оба пола,"„(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма“",Број,1582
2007,Оба пола,„(Ф00-Ф99) Душевни поремећаји и поремећаји понашања“,Број,162
2007,Оба пола,„(Г00-Г99) Болести нервног система“,Број,317
2007,Оба пола,"„(Х00-Х93) Болести ока, уха и аднекса""",Број,1
2007,Оба пола,„(И00-И99) Болести циркулацијског система“,Број,18516
2007,Оба пола,„(Ј00-Ј99) Болести респираторног система“,Број,1145
2007,Оба пола,„(К00-К93) Болести дигестивног система“,Број,924
2007,Оба пола,„(Л00-Л99) Болести коже и поткожног ткива“,Број,10
2007,Оба пола,„(М00-М99) Болести мускулоскелетног система и везивног ткива“,Број,32
2007,Оба пола,„(Н00-Н99) Болести генитално-уринарног система“,Број,558
2007,Оба пола,"„(О00-О99) Трудноћа, порођај и постпорођајни период“",Број,1
2007,Оба пола,„(П00-П96) Одређена стања настала у перинаталном периоду“,Број,133
2007,Оба пола,"„(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности“",Број,54
2007,Оба пола,"„(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани“",Број,2219
2007,Оба пола,"„(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора“",Број,1030
2007,Оба пола,„(В01-Y98) Спољни узроци смртности“,Број,267
2007,Оба пола,Непознато,Број,1076
2007,Оба пола,Укупно,Број,35044
