Year,UNIT_MEASURE,UNIT_MEASUREMENT,Spol,Value
2040,%,Total Support Ratio,Žene,76.0
2045,%,Total Support Ratio,Žene,84.34
2050,%,Total Support Ratio,Žene,94.16
2055,%,Total Support Ratio,Žene,103.66
2060,%,Total Support Ratio,Žene,110.44
2065,%,Total Support Ratio,Žene,115.81
2070,%,Total Support Ratio,Žene,116.18
2018,%,Young-age support ratio,Žene,20.55
2020,%,Young-age support ratio,Žene,20.65
2025,%,Young-age support ratio,Žene,20.34
2030,%,Young-age support ratio,Žene,20.29
2035,%,Young-age support ratio,Žene,19.98
2040,%,Young-age support ratio,Žene,19.66
2045,%,Young-age support ratio,Žene,19.82
2050,%,Young-age support ratio,Žene,20.49
2055,%,Young-age support ratio,Žene,21.3
2060,%,Young-age support ratio,Žene,21.85
2065,%,Young-age support ratio,Žene,22.23
2070,%,Young-age support ratio,Žene,22.13
2018,%,Old-age support ratio,Žene,23.78
2020,%,Old-age support ratio,Žene,26.46
2025,%,Old-age support ratio,Žene,33.64
2030,%,Old-age support ratio,Žene,41.81
2035,%,Old-age support ratio,Žene,49.0
2040,%,Old-age support ratio,Žene,56.34
2045,%,Old-age support ratio,Žene,64.52
2050,%,Old-age support ratio,Žene,73.67
2055,%,Old-age support ratio,Žene,82.36
2060,%,Old-age support ratio,Žene,88.59
2065,%,Old-age support ratio,Žene,93.58
2070,%,Old-age support ratio,Žene,94.04
2018,%,Older persons to youth ratio,Žene,115.71
2020,%,Older persons to youth ratio,Žene,128.11
2025,%,Older persons to youth ratio,Žene,165.41
2030,%,Older persons to youth ratio,Žene,206.01
2035,%,Older persons to youth ratio,Žene,245.28
2040,%,Older persons to youth ratio,Žene,286.61
2045,%,Older persons to youth ratio,Žene,325.51
2050,%,Older persons to youth ratio,Žene,359.64
2055,%,Older persons to youth ratio,Žene,386.67
2060,%,Older persons to youth ratio,Žene,405.45
2065,%,Older persons to youth ratio,Žene,420.87
2070,%,Older persons to youth ratio,Žene,424.86
