Year,UNIT_MEASURE,AGE,FERTILITY_RATE,Value
2011,NUMBER,20-24,age_specific_fertility_rates,54.0
2012,NUMBER,20-24,age_specific_fertility_rates,59.0
2013,NUMBER,20-24,age_specific_fertility_rates,52.2
2014,NUMBER,20-24,age_specific_fertility_rates,48.6
2015,NUMBER,20-24,age_specific_fertility_rates,46.8
2016,NUMBER,20-24,age_specific_fertility_rates,55.6
2017,NUMBER,20-24,age_specific_fertility_rates,53.9
2018,NUMBER,20-24,age_specific_fertility_rates,51.8
2019,NUMBER,20-24,age_specific_fertility_rates,50.3
1996,NUMBER,25-29,age_specific_fertility_rates,96.9
1997,NUMBER,25-29,age_specific_fertility_rates,93.1
1998,NUMBER,25-29,age_specific_fertility_rates,91.1
1999,NUMBER,25-29,age_specific_fertility_rates,84.9
2000,NUMBER,25-29,age_specific_fertility_rates,82.7
2001,NUMBER,25-29,age_specific_fertility_rates,79.2
2002,NUMBER,25-29,age_specific_fertility_rates,76.1
2003,NUMBER,25-29,age_specific_fertility_rates,75.7
2004,NUMBER,25-29,age_specific_fertility_rates,76.6
2005,NUMBER,25-29,age_specific_fertility_rates,77.4
2006,NUMBER,25-29,age_specific_fertility_rates,76.1
2007,NUMBER,25-29,age_specific_fertility_rates,83.4
2008,NUMBER,25-29,age_specific_fertility_rates,86.7
2009,NUMBER,25-29,age_specific_fertility_rates,88.7
2010,NUMBER,25-29,age_specific_fertility_rates,85.8
2011,NUMBER,25-29,age_specific_fertility_rates,82.3
2012,NUMBER,25-29,age_specific_fertility_rates,97.7
2013,NUMBER,25-29,age_specific_fertility_rates,91.8
2014,NUMBER,25-29,age_specific_fertility_rates,88.8
2015,NUMBER,25-29,age_specific_fertility_rates,86.3
2016,NUMBER,25-29,age_specific_fertility_rates,80.5
2017,NUMBER,25-29,age_specific_fertility_rates,79.2
2018,NUMBER,25-29,age_specific_fertility_rates,81.3
2019,NUMBER,25-29,age_specific_fertility_rates,76.5
1996,NUMBER,30-34,age_specific_fertility_rates,59.9
1997,NUMBER,30-34,age_specific_fertility_rates,55.5
1998,NUMBER,30-34,age_specific_fertility_rates,51.4
1999,NUMBER,30-34,age_specific_fertility_rates,47.4
2000,NUMBER,30-34,age_specific_fertility_rates,44.1
2001,NUMBER,30-34,age_specific_fertility_rates,41.1
2002,NUMBER,30-34,age_specific_fertility_rates,45.0
2003,NUMBER,30-34,age_specific_fertility_rates,46.5
2004,NUMBER,30-34,age_specific_fertility_rates,46.0
2005,NUMBER,30-34,age_specific_fertility_rates,47.6
2006,NUMBER,30-34,age_specific_fertility_rates,49.0
2007,NUMBER,30-34,age_specific_fertility_rates,59.5
2008,NUMBER,30-34,age_specific_fertility_rates,62.0
2009,NUMBER,30-34,age_specific_fertility_rates,66.1
2010,NUMBER,30-34,age_specific_fertility_rates,66.5
2011,NUMBER,30-34,age_specific_fertility_rates,65.6
2012,NUMBER,30-34,age_specific_fertility_rates,70.0
2013,NUMBER,30-34,age_specific_fertility_rates,69.7
2014,NUMBER,30-34,age_specific_fertility_rates,71.9
2015,NUMBER,30-34,age_specific_fertility_rates,72.5
2016,NUMBER,30-34,age_specific_fertility_rates,70.2
2017,NUMBER,30-34,age_specific_fertility_rates,72.2
2018,NUMBER,30-34,age_specific_fertility_rates,70.2
2019,NUMBER,30-34,age_specific_fertility_rates,67.1
1996,NUMBER,35-39,age_specific_fertility_rates,28.4
1997,NUMBER,35-39,age_specific_fertility_rates,23.7
1998,NUMBER,35-39,age_specific_fertility_rates,23.5
1999,NUMBER,35-39,age_specific_fertility_rates,19.0
2000,NUMBER,35-39,age_specific_fertility_rates,18.6
2001,NUMBER,35-39,age_specific_fertility_rates,16.5
2002,NUMBER,35-39,age_specific_fertility_rates,18.3
2003,NUMBER,35-39,age_specific_fertility_rates,18.2
2004,NUMBER,35-39,age_specific_fertility_rates,18.7
2005,NUMBER,35-39,age_specific_fertility_rates,17.5
2006,NUMBER,35-39,age_specific_fertility_rates,16.8
2007,NUMBER,35-39,age_specific_fertility_rates,20.8
2008,NUMBER,35-39,age_specific_fertility_rates,21.5
2009,NUMBER,35-39,age_specific_fertility_rates,22.6
2010,NUMBER,35-39,age_specific_fertility_rates,24.2
2011,NUMBER,35-39,age_specific_fertility_rates,23.0
2012,NUMBER,35-39,age_specific_fertility_rates,25.8
2013,NUMBER,35-39,age_specific_fertility_rates,25.7
2014,NUMBER,35-39,age_specific_fertility_rates,26.9
2015,NUMBER,35-39,age_specific_fertility_rates,27.5
2016,NUMBER,35-39,age_specific_fertility_rates,29.0
2017,NUMBER,35-39,age_specific_fertility_rates,31.6
2018,NUMBER,35-39,age_specific_fertility_rates,31.5
2019,NUMBER,35-39,age_specific_fertility_rates,31.7
1996,NUMBER,40-44,age_specific_fertility_rates,5.3
1997,NUMBER,40-44,age_specific_fertility_rates,5.4
1998,NUMBER,40-44,age_specific_fertility_rates,5.5
1999,NUMBER,40-44,age_specific_fertility_rates,4.1
2000,NUMBER,40-44,age_specific_fertility_rates,4.0
2001,NUMBER,40-44,age_specific_fertility_rates,3.7
2002,NUMBER,40-44,age_specific_fertility_rates,4.1
2003,NUMBER,40-44,age_specific_fertility_rates,3.6
2004,NUMBER,40-44,age_specific_fertility_rates,3.7
2005,NUMBER,40-44,age_specific_fertility_rates,3.7
2006,NUMBER,40-44,age_specific_fertility_rates,3.4
2007,NUMBER,40-44,age_specific_fertility_rates,3.6
2008,NUMBER,40-44,age_specific_fertility_rates,4.0
2009,NUMBER,40-44,age_specific_fertility_rates,3.8
2010,NUMBER,40-44,age_specific_fertility_rates,3.9
2011,NUMBER,40-44,age_specific_fertility_rates,3.7
2012,NUMBER,40-44,age_specific_fertility_rates,4.7
2013,NUMBER,40-44,age_specific_fertility_rates,4.4
2014,NUMBER,40-44,age_specific_fertility_rates,4.6
2015,NUMBER,40-44,age_specific_fertility_rates,4.6
2016,NUMBER,40-44,age_specific_fertility_rates,5.2
2017,NUMBER,40-44,age_specific_fertility_rates,5.4
2018,NUMBER,40-44,age_specific_fertility_rates,5.8
2019,NUMBER,40-44,age_specific_fertility_rates,5.9
1996,NUMBER,45-49,age_specific_fertility_rates,0.5
1997,NUMBER,45-49,age_specific_fertility_rates,0.5
1998,NUMBER,45-49,age_specific_fertility_rates,0.5
1999,NUMBER,45-49,age_specific_fertility_rates,0.3
2000,NUMBER,45-49,age_specific_fertility_rates,0.2
2001,NUMBER,45-49,age_specific_fertility_rates,0.3
2002,NUMBER,45-49,age_specific_fertility_rates,0.2
2003,NUMBER,45-49,age_specific_fertility_rates,0.2
2004,NUMBER,45-49,age_specific_fertility_rates,0.2
2005,NUMBER,45-49,age_specific_fertility_rates,0.2
2006,NUMBER,45-49,age_specific_fertility_rates,0.2
2007,NUMBER,45-49,age_specific_fertility_rates,0.3
2008,NUMBER,45-49,age_specific_fertility_rates,0.2
2009,NUMBER,45-49,age_specific_fertility_rates,0.2
2010,NUMBER,45-49,age_specific_fertility_rates,0.2
2011,NUMBER,45-49,age_specific_fertility_rates,0.2
2012,NUMBER,45-49,age_specific_fertility_rates,0.2
2013,NUMBER,45-49,age_specific_fertility_rates,0.3
2014,NUMBER,45-49,age_specific_fertility_rates,0.3
2015,NUMBER,45-49,age_specific_fertility_rates,0.2
2016,NUMBER,45-49,age_specific_fertility_rates,0.2
2017,NUMBER,45-49,age_specific_fertility_rates,0.4
2018,NUMBER,45-49,age_specific_fertility_rates,0.4
2019,NUMBER,45-49,age_specific_fertility_rates,0.3
1996,NUMBER,50+,age_specific_fertility_rates,0.0
1997,NUMBER,50+,age_specific_fertility_rates,0.0
1998,NUMBER,50+,age_specific_fertility_rates,0.0
1999,NUMBER,50+,age_specific_fertility_rates,0.0
2000,NUMBER,50+,age_specific_fertility_rates,0.0
2001,NUMBER,50+,age_specific_fertility_rates,0.0
2002,NUMBER,50+,age_specific_fertility_rates,0.0
2003,NUMBER,50+,age_specific_fertility_rates,0.0
2004,NUMBER,50+,age_specific_fertility_rates,0.0
2005,NUMBER,50+,age_specific_fertility_rates,0.0
2006,NUMBER,50+,age_specific_fertility_rates,0.0
2007,NUMBER,50+,age_specific_fertility_rates,0.0
2008,NUMBER,50+,age_specific_fertility_rates,0.0
2009,NUMBER,50+,age_specific_fertility_rates,0.0
2010,NUMBER,50+,age_specific_fertility_rates,0.0
2011,NUMBER,50+,age_specific_fertility_rates,0.0
2012,NUMBER,50+,age_specific_fertility_rates,0.0
2013,NUMBER,50+,age_specific_fertility_rates,0.0
2014,NUMBER,50+,age_specific_fertility_rates,0.0
2015,NUMBER,50+,age_specific_fertility_rates,0.0
2016,NUMBER,50+,age_specific_fertility_rates,0.0
2017,NUMBER,50+,age_specific_fertility_rates,0.0
2018,NUMBER,50+,age_specific_fertility_rates,0.0
2019,NUMBER,50+,age_specific_fertility_rates,0.0
