Year,CAUSE_OF_DEATH,UNIT_MEASURE,Value
2010,diseases_of_the_blood,NUMBER,1.17
2010,endocrine_metabolic_and_nutritional,NUMBER,50.0
2010,mental_and_behavioural_disorders,NUMBER,4.45
2010,diseases_of_the_nervous,NUMBER,9.0
2010,diseases_of_the_eye,NUMBER,0.05
2010,diseases_of_the_circulatory,NUMBER,489.0
2010,diseases_of_the_respiratory,NUMBER,29.79
2010,diseases_of_the_digestive,NUMBER,24.0
2010,diseases_of_the_skin,NUMBER,0.36
2010,diseases_of_the_musculoskeletal,NUMBER,1.0
2010,diseases_of_the_genitourinary,NUMBER,15.01
2010,certain_conditions_originating,NUMBER,3.59
2010,congenital_malformations_deformations,NUMBER,1.64
2010,symptoms_signs_and_abnormal,NUMBER,49.86
2010,injuries_poisoning_and_consequences,NUMBER,29.07
2010,external_causes_of_mortality,NUMBER,0.39
2010,unknown,NUMBER,16.6
2011,infectious_and_parasitic,NUMBER,7.76
2011,neoplasms,NUMBER,188.0
2011,diseases_of_the_blood,NUMBER,1.54
2011,endocrine_metabolic_and_nutritional,NUMBER,51.0
2011,mental_and_behavioural_disorders,NUMBER,4.19
2011,diseases_of_the_nervous,NUMBER,11.0
2011,diseases_of_the_circulatory,NUMBER,481.0
2011,diseases_of_the_respiratory,NUMBER,33.36
2011,diseases_of_the_digestive,NUMBER,23.0
2011,diseases_of_the_skin,NUMBER,0.31
2011,diseases_of_the_musculoskeletal,NUMBER,1.0
2011,diseases_of_the_genitourinary,NUMBER,14.35
2011,certain_conditions_originating,NUMBER,3.07
2011,congenital_malformations_deformations,NUMBER,1.51
2011,symptoms_signs_and_abnormal,NUMBER,43.36
2011,injuries_poisoning_and_consequences,NUMBER,30.26
2011,external_causes_of_mortality,NUMBER,0.36
2011,factors_influencing_health_status,NUMBER,0.03
2011,unknown,NUMBER,18.1
2012,infectious_and_parasitic,NUMBER,8.97
2012,neoplasms,NUMBER,198.0
2012,diseases_of_the_blood,NUMBER,1.23
2012,endocrine_metabolic_and_nutritional,NUMBER,50.0
2012,mental_and_behavioural_disorders,NUMBER,4.17
2012,diseases_of_the_nervous,NUMBER,11.0
2012,diseases_of_the_eye,NUMBER,0.03
2012,diseases_of_the_circulatory,NUMBER,502.0
2012,diseases_of_the_respiratory,NUMBER,33.0
2012,diseases_of_the_digestive,NUMBER,25.0
2012,diseases_of_the_skin,NUMBER,0.34
2012,diseases_of_the_musculoskeletal,NUMBER,1.0
2012,diseases_of_the_genitourinary,NUMBER,15.67
2012,certain_conditions_originating,NUMBER,2.89
2012,congenital_malformations_deformations,NUMBER,1.04
2012,symptoms_signs_and_abnormal,NUMBER,31.47
2012,injuries_poisoning_and_consequences,NUMBER,27.82
2012,unknown,NUMBER,19.29
2013,infectious_and_parasitic,NUMBER,7.59
2013,neoplasms,NUMBER,213.0
2013,diseases_of_the_blood,NUMBER,1.42
2013,endocrine_metabolic_and_nutritional,NUMBER,56.0
2013,mental_and_behavioural_disorders,NUMBER,5.44
2013,diseases_of_the_nervous,NUMBER,11.0
2013,diseases_of_the_circulatory,NUMBER,515.0
2013,diseases_of_the_respiratory,NUMBER,40.44
2013,diseases_of_the_digestive,NUMBER,27.0
2013,diseases_of_the_skin,NUMBER,0.88
2013,diseases_of_the_musculoskeletal,NUMBER,2.0
2013,diseases_of_the_genitourinary,NUMBER,16.45
2013,certain_conditions_originating,NUMBER,2.86
2013,congenital_malformations_deformations,NUMBER,1.08
2013,symptoms_signs_and_abnormal,NUMBER,59.67
2013,injuries_poisoning_and_consequences,NUMBER,29.0
2013,external_causes_of_mortality,NUMBER,0.11
2013,unknown,NUMBER,22.15
2014,infectious_and_parasitic,NUMBER,8.25
2014,neoplasms,NUMBER,222.0
2014,diseases_of_the_blood,NUMBER,1.19
2014,endocrine_metabolic_and_nutritional,NUMBER,64.0
2014,mental_and_behavioural_disorders,NUMBER,6.38
2014,diseases_of_the_nervous,NUMBER,11.0
2014,diseases_of_the_eye,NUMBER,0.17
2014,diseases_of_the_circulatory,NUMBER,509.0
2014,diseases_of_the_respiratory,NUMBER,39.96
2014,diseases_of_the_digestive,NUMBER,27.0
2014,diseases_of_the_skin,NUMBER,0.91
2014,diseases_of_the_musculoskeletal,NUMBER,2.0
2014,diseases_of_the_genitourinary,NUMBER,15.2
2014,certain_conditions_originating,NUMBER,2.41
2014,congenital_malformations_deformations,NUMBER,1.39
2014,symptoms_signs_and_abnormal,NUMBER,63.56
2014,injuries_poisoning_and_consequences,NUMBER,29.27
2014,external_causes_of_mortality,NUMBER,0.48
2014,factors_influencing_health_status,NUMBER,0.03
2014,unknown,NUMBER,16.73
2015,infectious_and_parasitic,NUMBER,10.52
2015,neoplasms,NUMBER,226.0
2015,diseases_of_the_blood,NUMBER,1.56
2015,endocrine_metabolic_and_nutritional,NUMBER,58.0
2015,mental_and_behavioural_disorders,NUMBER,5.34
2015,diseases_of_the_nervous,NUMBER,13.0
2015,diseases_of_the_eye,NUMBER,0.03
2015,diseases_of_the_circulatory,NUMBER,560.0
2015,diseases_of_the_respiratory,NUMBER,48.83
2015,diseases_of_the_digestive,NUMBER,28.0
2015,diseases_of_the_skin,NUMBER,1.19
2015,diseases_of_the_musculoskeletal,NUMBER,2.0
2015,diseases_of_the_genitourinary,NUMBER,19.44
2015,certain_conditions_originating,NUMBER,3.58
2015,congenital_malformations_deformations,NUMBER,0.88
2015,symptoms_signs_and_abnormal,NUMBER,59.64
2015,injuries_poisoning_and_consequences,NUMBER,31.35
2015,external_causes_of_mortality,NUMBER,0.23
2015,unknown,NUMBER,15.38
2016,infectious_and_parasitic,NUMBER,11.73
2016,neoplasms,NUMBER,221.0
2016,diseases_of_the_blood,NUMBER,1.54
2016,endocrine_metabolic_and_nutritional,NUMBER,56.0
2016,mental_and_behavioural_disorders,NUMBER,6.44
2016,diseases_of_the_nervous,NUMBER,11.0
2016,diseases_of_the_eye,NUMBER,0.23
2016,diseases_of_the_circulatory,NUMBER,540.0
2016,diseases_of_the_respiratory,NUMBER,42.35
2016,diseases_of_the_digestive,NUMBER,31.0
2016,diseases_of_the_skin,NUMBER,1.0
2016,diseases_of_the_musculoskeletal,NUMBER,1.0
2016,diseases_of_the_genitourinary,NUMBER,19.82
2016,certain_conditions_originating,NUMBER,3.33
2016,congenital_malformations_deformations,NUMBER,0.46
2016,symptoms_signs_and_abnormal,NUMBER,49.27
2016,injuries_poisoning_and_consequences,NUMBER,29.62
2016,external_causes_of_mortality,NUMBER,0.4
2016,unknown,NUMBER,15.52
2017,infectious_and_parasitic,NUMBER,11.27
2017,neoplasms,NUMBER,232.0
2017,diseases_of_the_blood,NUMBER,1.97
2017,endocrine_metabolic_and_nutritional,NUMBER,62.0
2017,mental_and_behavioural_disorders,NUMBER,7.56
2017,diseases_of_the_nervous,NUMBER,11.0
2017,diseases_of_the_eye,NUMBER,0.14
2017,diseases_of_the_circulatory,NUMBER,548.0
2017,diseases_of_the_respiratory,NUMBER,45.06
2017,diseases_of_the_digestive,NUMBER,29.0
2017,diseases_of_the_skin,NUMBER,1.26
2017,diseases_of_the_musculoskeletal,NUMBER,1.0
2017,diseases_of_the_genitourinary,NUMBER,16.75
2017,certain_conditions_originating,NUMBER,3.88
2017,congenital_malformations_deformations,NUMBER,0.77
2017,symptoms_signs_and_abnormal,NUMBER,65.47
2017,injuries_poisoning_and_consequences,NUMBER,30.45
2017,external_causes_of_mortality,NUMBER,0.43
2017,unknown,NUMBER,15.7
2018,infectious_and_parasitic,NUMBER,12.67
2018,neoplasms,NUMBER,225.0
2018,diseases_of_the_blood,NUMBER,2.06
2018,endocrine_metabolic_and_nutritional,NUMBER,60.0
2018,mental_and_behavioural_disorders,NUMBER,6.75
2018,diseases_of_the_nervous,NUMBER,10.0
2018,diseases_of_the_circulatory,NUMBER,538.0
2018,diseases_of_the_respiratory,NUMBER,53.09
2018,diseases_of_the_digestive,NUMBER,30.0
2018,diseases_of_the_skin,NUMBER,1.14
2018,diseases_of_the_musculoskeletal,NUMBER,2.0
2018,diseases_of_the_genitourinary,NUMBER,18.05
2018,certain_conditions_originating,NUMBER,3.83
2018,congenital_malformations_deformations,NUMBER,0.74
2018,symptoms_signs_and_abnormal,NUMBER,73.83
2018,injuries_poisoning_and_consequences,NUMBER,29.03
2018,external_causes_of_mortality,NUMBER,0.31
2018,factors_influencing_health_status,NUMBER,0.03
2018,unknown,NUMBER,13.44
2001,pregnancy_childbirth_and_the,NUMBER,0.03
2002,pregnancy_childbirth_and_the,NUMBER,0.08
2004,pregnancy_childbirth_and_the,NUMBER,0.03
2006,pregnancy_childbirth_and_the,NUMBER,0.08
2007,pregnancy_childbirth_and_the,NUMBER,0.03
2008,pregnancy_childbirth_and_the,NUMBER,0.1
2009,pregnancy_childbirth_and_the,NUMBER,0.03
2010,pregnancy_childbirth_and_the,NUMBER,0.03
2011,pregnancy_childbirth_and_the,NUMBER,0.05
2012,pregnancy_childbirth_and_the,NUMBER,0.08
2015,pregnancy_childbirth_and_the,NUMBER,0.03
2016,pregnancy_childbirth_and_the,NUMBER,0.03
2018,pregnancy_childbirth_and_the,NUMBER,0.03
