Year,UNIT_MEASURE,AGE,SEX,Municipality,Value
2013,NUMBER,0-4,_T,Čapljina,1233
2013,NUMBER,0-4,_T,Čelić,475
2013,NUMBER,0-4,_T,Čelinac,769
2013,NUMBER,0-4,_T,Čitluk,1002
2013,NUMBER,0-4,_T,Derventa,1170
2013,NUMBER,0-4,_T,Doboj,3330
2013,NUMBER,0-4,_T,Doboj-Istok,541
2013,NUMBER,0-4,_T,Doboj-Jug,235
2013,NUMBER,0-4,_T,Dobretići,30
2013,NUMBER,0-4,_T,Domaljevac-Šamac,163
2013,NUMBER,0-4,_T,Donji Vakuf,680
2013,NUMBER,0-4,_T,Donji Žabar,145
2013,NUMBER,0-4,_T,Drvar,210
2013,NUMBER,0-4,_T,Foča - FBIH,85
2013,NUMBER,0-4,_T,Foča - RS,644
2013,NUMBER,0-4,_T,Fojnica,557
2013,NUMBER,0-4,_T,Gacko,419
2013,NUMBER,0-4,_T,Glamoč,145
2013,NUMBER,0-4,_T,Goražde,978
2013,NUMBER,0-4,_T,Gornji Vakuf-Uskoplje,1072
2013,NUMBER,0-4,_T,Gračanica,2600
2013,NUMBER,0-4,_T,Gradačac,2100
2013,NUMBER,0-4,_T,Gradiška,2092
2013,NUMBER,0-4,_T,Grude,805
2013,NUMBER,0-4,_T,Sarajevo - Hadžići,1380
2013,NUMBER,0-4,_T,Han Pijesak,134
2013,NUMBER,0-4,_T,Sarajevo - Ilidža,3915
2013,NUMBER,0-4,_T,Sarajevo - Ilijaš,1085
2013,NUMBER,0-4,_T,Istočna Ilidža,649
2013,NUMBER,0-4,_T,Istočni Mostar,7
2013,NUMBER,0-4,_T,Istočni Stari Grad,40
2013,NUMBER,0-4,_T,Istočno Novo Sarajevo,625
2013,NUMBER,0-4,_T,Jablanica,440
2013,NUMBER,0-4,_T,Jajce,1311
2013,NUMBER,0-4,_T,Jezero,44
2013,NUMBER,0-4,_T,Kakanj,2102
2013,NUMBER,0-4,_T,Kalesija,1841
2013,NUMBER,0-4,_T,Kalinovik,52
2013,NUMBER,0-4,_T,Kiseljak,1082
2013,NUMBER,0-4,_T,Kladanj,606
2013,NUMBER,0-4,_T,Ključ,699
2013,NUMBER,0-4,_T,Kneževo,406
2013,NUMBER,0-4,_T,Konjic,1046
2013,NUMBER,0-4,_T,Kostajnica,222
2013,NUMBER,0-4,_T,Kotor Varoš,922
2013,NUMBER,0-4,_T,Kozarska Dubica,800
2013,NUMBER,0-4,_T,Kreševo,240
2013,NUMBER,0-4,_T,Krupa Na Uni,49
2013,NUMBER,0-4,_T,Kupres - FBIH,164
2013,NUMBER,0-4,_T,Kupres - RS,6
2013,NUMBER,0-4,_T,Laktaši,1687
2013,NUMBER,0-4,_T,Livno,1334
2013,NUMBER,0-4,_T,Lopare,517
2013,NUMBER,0-4,_T,Lukavac,1968
2013,NUMBER,0-4,_T,Ljubinje,155
2013,NUMBER,0-4,_T,Ljubuški,1352
2013,NUMBER,0-4,_T,Maglaj,1215
2013,NUMBER,0-4,_T,Milići,489
2013,NUMBER,0-4,_T,Modriča,1001
2013,NUMBER,0-4,_T,Mostar,5335
2013,NUMBER,0-4,_T,Mrkonjić Grad,681
2013,NUMBER,0-4,_T,Neum,206
2013,NUMBER,0-4,_T,Nevesinje,561
2013,NUMBER,0-4,_T,Novi Grad,981
2013,NUMBER,0-4,_T,Sarajevo - Novi Grad,6754
2013,NUMBER,0-4,_T,Novi Travnik,1318
2013,NUMBER,0-4,_T,Novo Goražde,103
2013,NUMBER,0-4,_T,Sarajevo - Novo Sarajevo,3295
2013,NUMBER,0-4,_T,Odžak,693
2013,NUMBER,0-4,_T,Olovo,417
2013,NUMBER,0-4,_T,Orašje,726
2013,NUMBER,0-4,_T,Osmaci,275
2013,NUMBER,0-4,_T,Oštra Luka,107
2013,NUMBER,0-4,_T,Pale - FBIH,35
2013,NUMBER,0-4,_T,Pale - RS,904
2013,NUMBER,0-4,_T,Pelagićevo,133
2013,NUMBER,0-4,_T,Petrovac,13
2013,NUMBER,0-4,_T,Petrovo,264
2013,NUMBER,0-4,_T,Posušje,1237
2013,NUMBER,0-4,_T,Prijedor,3468
2013,NUMBER,0-4,_T,Prnjavor,1600
2013,NUMBER,0-4,_T,Prozor,687
2013,NUMBER,0-4,_T,Ravno,118
2013,NUMBER,0-4,_T,Ribnik,245
2013,NUMBER,0-4,_T,Rogatica,514
2013,NUMBER,0-4,_T,Rudo,289
2013,NUMBER,0-4,_T,Sanski Most,1681
2013,NUMBER,0-4,_T,Sapna,651
2013,NUMBER,0-4,_T,Sokolac,508
2013,NUMBER,0-4,_T,Srbac,836
2013,NUMBER,0-4,_T,Srebrenica,526
2013,NUMBER,0-4,_T,Srebrenik,2214
2013,NUMBER,0-4,_T,Sarajevo - Stari Grad,1623
2013,NUMBER,0-4,_T,Stolac,650
2013,NUMBER,0-4,_T,Šamac,584
2013,NUMBER,0-4,_T,Šekovići,249
2013,NUMBER,0-4,_T,Šipovo,431
2013,NUMBER,0-4,_T,Široki Brijeg,1623
2013,NUMBER,0-4,_T,Teočak,351
2013,NUMBER,0-4,_T,Teslić,1969
2013,NUMBER,0-4,_T,Tešanj,2689
2013,NUMBER,0-4,_T,Tomislavgrad,1490
2013,NUMBER,0-4,_T,Travnik,2797
2013,NUMBER,0-4,_T,Trebinje,1415
2013,NUMBER,0-4,_T,Trnovo - FBIH,40
2013,NUMBER,0-4,_T,Trnovo - RS,66
2013,NUMBER,0-4,_T,Tuzla,5105
2013,NUMBER,0-4,_T,Ugljevik,675
2013,NUMBER,0-4,_T,Usora,251
2013,NUMBER,0-4,_T,Vareš,256
2013,NUMBER,0-4,_T,Velika Kladuša,2756
2013,NUMBER,0-4,_T,Visoko,2309
2013,NUMBER,0-4,_T,Višegrad,344
2013,NUMBER,0-4,_T,Vitez,1447
2013,NUMBER,0-4,_T,Vlasenica,499
2013,NUMBER,0-4,_T,Sarajevo - Vogošća,1600
2013,NUMBER,0-4,_T,Vukosavlje,207
2013,NUMBER,0-4,_T,Zavidovići,2005
2013,NUMBER,0-4,_T,Zenica,6072
2013,NUMBER,0-4,_T,Zvornik,3061
2013,NUMBER,0-4,_T,Žepče,1657
2013,NUMBER,0-4,_T,Živinice,3389
2013,NUMBER,5-9,_T,Banja Luka,8736
2013,NUMBER,5-9,_T,Banovići,1212
2013,NUMBER,5-9,_T,Berkovići,130
2013,NUMBER,5-9,_T,Bihać,2806
2013,NUMBER,5-9,_T,Bijeljina,5136
2013,NUMBER,5-9,_T,Bileća,483
2013,NUMBER,5-9,_T,Bosanska Krupa,1495
2013,NUMBER,5-9,_T,Bosanski Petrovac,324
2013,NUMBER,5-9,_T,Bosansko Grahovo,49
2013,NUMBER,5-9,_T,Bratunac,1096
2013,NUMBER,5-9,_T,Brčko,4312
2013,NUMBER,5-9,_T,Breza,661
2013,NUMBER,5-9,_T,Brod,731
2013,NUMBER,5-9,_T,Bugojno,1681
2013,NUMBER,5-9,_T,Busovača,1079
2013,NUMBER,5-9,_T,Bužim,1345
2013,NUMBER,5-9,_T,Cazin,4192
2013,NUMBER,5-9,_T,Sarajevo - Centar,2432
2013,NUMBER,5-9,_T,Čajniče,212
2013,NUMBER,5-9,_T,Čapljina,1359
2013,NUMBER,5-9,_T,Čelić,573
2013,NUMBER,5-9,_T,Čelinac,741
2013,NUMBER,5-9,_T,Čitluk,1090
2013,NUMBER,5-9,_T,Derventa,1223
2013,NUMBER,5-9,_T,Doboj,3311
2013,NUMBER,5-9,_T,Doboj-Istok,570
2013,NUMBER,5-9,_T,Doboj-Jug,288
2013,NUMBER,5-9,_T,Dobretići,54
2013,NUMBER,5-9,_T,Domaljevac-Šamac,237
2013,NUMBER,5-9,_T,Donji Vakuf,861
2013,NUMBER,5-9,_T,Donji Žabar,185
2013,NUMBER,5-9,_T,Drvar,250
2013,NUMBER,5-9,_T,Foča - FBIH,71
2013,NUMBER,5-9,_T,Foča - RS,755
2013,NUMBER,5-9,_T,Fojnica,635
2013,NUMBER,5-9,_T,Gacko,443
2013,NUMBER,5-9,_T,Glamoč,181
2013,NUMBER,5-9,_T,Goražde,845
2013,NUMBER,5-9,_T,Gornji Vakuf-Uskoplje,1231
2013,NUMBER,5-9,_T,Gračanica,2518
2013,NUMBER,5-9,_T,Gradačac,2243
2013,NUMBER,5-9,_T,Gradiška,2295
2013,NUMBER,5-9,_T,Grude,952
2013,NUMBER,5-9,_T,Sarajevo - Hadžići,1339
2013,NUMBER,5-9,_T,Han Pijesak,130
2013,NUMBER,5-9,_T,Sarajevo - Ilidža,3664
2013,NUMBER,5-9,_T,Sarajevo - Ilijaš,1128
2013,NUMBER,5-9,_T,Istočna Ilidža,683
2013,NUMBER,5-9,_T,Istočni Drvar,1
2013,NUMBER,5-9,_T,Istočni Mostar,16
2013,NUMBER,Total,F,Banja Luka,95894
2013,NUMBER,Total,F,Banovići,11381
2013,NUMBER,Total,F,Berkovići,1055
2013,NUMBER,Total,F,Bihać,29220
2013,NUMBER,Total,F,Bijeljina,54888
2013,NUMBER,Total,F,Bileća,5353
2013,NUMBER,Total,F,Bosanska Krupa,12997
2013,NUMBER,Total,F,Bosanski Petrovac,3650
2013,NUMBER,Total,F,Bosansko Grahovo,1162
2013,NUMBER,Total,F,Bratunac,10249
2013,NUMBER,Total,F,Brčko,42266
2013,NUMBER,Total,F,Breza,7216
2013,NUMBER,Total,F,Brod,8476
2013,NUMBER,Total,F,Bugojno,15835
2013,NUMBER,Total,F,Busovača,8776
2013,NUMBER,Total,F,Bužim,9455
2013,NUMBER,Total,F,Cazin,33077
2013,NUMBER,Total,F,Sarajevo - Centar,29812
2013,NUMBER,Total,F,Čajniče,2421
2013,NUMBER,Total,F,Čapljina,13210
2013,NUMBER,Total,F,Čelić,5246
2013,NUMBER,Total,F,Čelinac,7820
2013,NUMBER,Total,F,Čitluk,9203
2013,NUMBER,Total,F,Derventa,14007
2013,NUMBER,Total,F,Doboj,36525
2013,NUMBER,Total,F,Doboj-Istok,5187
2013,NUMBER,Total,F,Doboj-Jug,2072
2013,NUMBER,Total,F,Dobretići,724
2013,NUMBER,Total,F,Domaljevac-Šamac,2398
2013,NUMBER,Total,F,Donji Vakuf,7063
2013,NUMBER,Total,F,Donji Žabar,1889
2013,NUMBER,Total,F,Drvar,3563
2013,NUMBER,Total,F,Foča - FBIH,935
2013,NUMBER,Total,F,Foča - RS,9052
2013,NUMBER,Total,F,Fojnica,6159
2013,NUMBER,Total,F,Gacko,4434
2013,NUMBER,Total,F,Glamoč,1897
2013,NUMBER,Total,F,Goražde,10734
2013,NUMBER,Total,F,Gornji Vakuf-Uskoplje,10401
2013,NUMBER,Total,F,Gračanica,23579
2013,NUMBER,Total,F,Gradačac,20106
2013,NUMBER,Total,F,Gradiška,26456
2013,NUMBER,Total,F,Grude,8687
2013,NUMBER,Total,F,Sarajevo - Hadžići,11977
2013,NUMBER,Total,F,Han Pijesak,1863
2013,NUMBER,Total,F,Sarajevo - Ilidža,34371
2013,NUMBER,Total,F,Sarajevo - Ilijaš,10222
2013,NUMBER,Total,F,Istočna Ilidža,7694
2013,NUMBER,Total,F,Istočni Drvar,26
2013,NUMBER,Total,F,Istočni Mostar,115
2013,NUMBER,Total,F,Istočni Stari Grad,571
2013,NUMBER,Total,F,Istočno Novo Sarajevo,5584
2013,NUMBER,Total,F,Jablanica,5084
2013,NUMBER,Total,F,Jajce,13402
2013,NUMBER,Total,F,Jezero,543
2013,NUMBER,Total,F,Kakanj,18790
2013,NUMBER,Total,F,Kalesija,16456
2013,NUMBER,Total,F,Kalinovik,1042
2013,NUMBER,Total,F,Kiseljak,10437
2013,NUMBER,Total,F,Kladanj,6240
2013,NUMBER,Total,F,Ključ,8379
2013,NUMBER,Total,F,Kneževo,4901
2013,NUMBER,Total,F,Konjic,12788
2013,NUMBER,Total,F,Kostajnica,3010
2013,NUMBER,Total,F,Kotor Varoš,9892
2013,NUMBER,Total,F,Kozarska Dubica,11008
2013,NUMBER,Total,F,Kreševo,2676
2013,NUMBER,Total,F,Krupa Na Uni,735
2013,NUMBER,Total,F,Kupres - FBIH,2516
2013,NUMBER,Total,F,Kupres - RS,140
2013,NUMBER,Total,F,Laktaši,17646
2013,NUMBER,Total,F,Livno,17109
2013,NUMBER,Total,F,Lopare,7608
2013,NUMBER,Total,F,Lukavac,22734
2013,NUMBER,Total,F,Ljubinje,1786
2013,NUMBER,Total,F,Ljubuški,14162
2013,NUMBER,Total,F,Maglaj,11716
2013,NUMBER,Total,F,Milići,5643
2013,NUMBER,Total,F,Modriča,13159
2013,NUMBER,Total,F,Mostar,54587
2013,NUMBER,Total,F,Mrkonjić Grad,8575
2013,NUMBER,Total,F,Neum,2309
2013,NUMBER,Total,F,Nevesinje,6499
2013,NUMBER,Total,F,Novi Grad,13521
2013,NUMBER,Total,F,Sarajevo - Novi Grad,62818
2013,NUMBER,Total,F,Novi Travnik,11970
2013,NUMBER,Total,F,Novo Goražde,1499
2013,NUMBER,Total,F,Sarajevo - Novo Sarajevo,35234
2013,NUMBER,Total,F,Odžak,9448
2013,NUMBER,Total,F,Olovo,5091
2013,NUMBER,Total,F,Orašje,9802
2013,NUMBER,Total,F,Osmaci,2951
2013,NUMBER,Total,F,Oštra Luka,1346
2013,NUMBER,Total,F,Pale - FBIH,448
2013,NUMBER,Total,F,Pale - RS,10871
2013,NUMBER,Total,F,Pelagićevo,2611
2013,NUMBER,Total,F,Petrovac,189
2013,NUMBER,Total,F,Petrovo,3350
2013,NUMBER,Total,F,Posušje,10190
2013,NUMBER,Total,F,Prijedor,45534
2013,NUMBER,Total,F,Prnjavor,18384
2013,NUMBER,Total,F,Prozor,7070
2013,NUMBER,Total,F,Ravno,1562
2013,NUMBER,Total,F,Ribnik,3039
2013,NUMBER,Total,F,Rogatica,5453
2013,NUMBER,Total,F,Rudo,3913
2013,NUMBER,Total,F,Sanski Most,20649
2013,NUMBER,Total,F,Sapna,5439
2013,NUMBER,Total,F,Sokolac,6102
2013,NUMBER,Total,F,Srbac,8964
2013,NUMBER,Total,F,Srebrenica,6807
2013,NUMBER,Total,F,Srebrenik,20330
2013,NUMBER,Total,F,Sarajevo - Stari Grad,19494
2013,NUMBER,Total,F,Stolac,7176
2013,NUMBER,Total,F,Šamac,8888
2013,NUMBER,Total,F,Šekovići,3401
2013,NUMBER,Total,F,Šipovo,5072
2013,NUMBER,Total,F,Široki Brijeg,14548
2013,NUMBER,Total,F,Teočak,3657
2013,NUMBER,Total,F,Teslić,19857
2013,NUMBER,Total,F,Tešanj,21687
2013,NUMBER,Total,F,Tomislavgrad,15537
2013,NUMBER,Total,F,Travnik,26908
2013,NUMBER,Total,F,Trebinje,14947
2013,NUMBER,Total,F,Trnovo - FBIH,767
2013,NUMBER,Total,F,Trnovo - RS,1061
2013,NUMBER,Total,F,Tuzla,58234
2013,NUMBER,Total,F,Ugljevik,7773
2013,NUMBER,Total,F,Usora,3337
2013,NUMBER,Total,F,Vareš,4519
2013,NUMBER,Total,F,Velika Kladuša,20530
2013,NUMBER,Total,F,Visoko,20233
2013,NUMBER,Total,F,Višegrad,5562
2013,NUMBER,Total,F,Vitez,13069
2013,NUMBER,Total,F,Vlasenica,5829
2013,NUMBER,Total,F,Sarajevo - Vogošća,13737
2013,NUMBER,Total,F,Vukosavlje,2327
2013,NUMBER,Total,F,Zavidovići,18105
2013,NUMBER,Total,F,Zenica,56003
2013,NUMBER,Total,F,Zvornik,29586
2013,NUMBER,Total,F,Žepče,14884
2013,NUMBER,Total,F,Živinice,29051
2013,NUMBER,0-4,F,Banja Luka,4712
2013,NUMBER,0-4,F,Banovići,592
2013,NUMBER,0-4,F,Berkovići,48
2013,NUMBER,0-4,F,Bihać,1291
2013,NUMBER,0-4,F,Bijeljina,2443
2013,NUMBER,0-4,F,Bileća,232
2013,NUMBER,0-4,F,Bosanska Krupa,688
2013,NUMBER,0-4,F,Bosanski Petrovac,123
2013,NUMBER,0-4,F,Bosansko Grahovo,30
2013,NUMBER,0-4,F,Bratunac,439
2013,NUMBER,0-4,F,Brčko,1987
2013,NUMBER,0-4,F,Breza,350
2013,NUMBER,0-4,F,Brod,369
2013,NUMBER,0-4,F,Bugojno,698
2013,NUMBER,0-4,F,Busovača,467
2013,NUMBER,0-4,F,Bužim,673
2013,NUMBER,0-4,F,Cazin,1890
2013,NUMBER,0-4,F,Sarajevo - Centar,1280
2013,NUMBER,0-4,F,Čajniče,100
2013,NUMBER,0-4,F,Čapljina,605
2013,NUMBER,0-4,F,Čelić,246
2013,NUMBER,0-4,F,Čelinac,370
2013,NUMBER,0-4,F,Čitluk,522
2013,NUMBER,0-4,F,Derventa,590
2013,NUMBER,0-4,F,Doboj,1635
2013,NUMBER,0-4,F,Doboj-Istok,249
2013,NUMBER,0-4,F,Doboj-Jug,115
2013,NUMBER,0-4,F,Dobretići,12
2013,NUMBER,0-4,F,Domaljevac-Šamac,74
2013,NUMBER,0-4,F,Donji Vakuf,342
2013,NUMBER,0-4,F,Donji Žabar,75
2013,NUMBER,0-4,F,Drvar,104
2013,NUMBER,0-4,F,Foča - FBIH,35
2013,NUMBER,0-4,F,Foča - RS,277
2013,NUMBER,0-4,F,Fojnica,263
2013,NUMBER,0-4,F,Gacko,213
2013,NUMBER,0-4,F,Glamoč,68
2013,NUMBER,0-4,F,Goražde,465
2013,NUMBER,0-4,F,Gornji Vakuf-Uskoplje,513
2013,NUMBER,0-4,F,Gračanica,1324
2013,NUMBER,0-4,F,Gradačac,1040
2013,NUMBER,0-4,F,Gradiška,1048
2013,NUMBER,0-4,F,Grude,396
2013,NUMBER,0-4,F,Sarajevo - Hadžići,698
2013,NUMBER,0-4,F,Han Pijesak,62
2013,NUMBER,0-4,F,Sarajevo - Ilidža,1902
2013,NUMBER,0-4,F,Sarajevo - Ilijaš,529
2013,NUMBER,0-4,F,Istočna Ilidža,307
2013,NUMBER,0-4,F,Istočni Mostar,3
2013,NUMBER,0-4,F,Istočni Stari Grad,17
2013,NUMBER,0-4,F,Istočno Novo Sarajevo,325
2013,NUMBER,0-4,F,Jablanica,209
2013,NUMBER,0-4,F,Jajce,639
2013,NUMBER,0-4,F,Jezero,22
2013,NUMBER,0-4,F,Kakanj,972
2013,NUMBER,0-4,F,Kalesija,905
2013,NUMBER,0-4,F,Kalinovik,27
2013,NUMBER,0-4,F,Kiseljak,551
2013,NUMBER,0-4,F,Kladanj,270
2013,NUMBER,0-4,F,Ključ,357
2013,NUMBER,0-4,F,Kneževo,193
2013,NUMBER,0-4,F,Konjic,530
2013,NUMBER,0-4,F,Kostajnica,119
2013,NUMBER,0-4,F,Kotor Varoš,444
2013,NUMBER,0-4,F,Kozarska Dubica,392
2013,NUMBER,0-4,F,Kreševo,113
2013,NUMBER,0-4,F,Krupa Na Uni,22
2013,NUMBER,0-4,F,Kupres - FBIH,78
2013,NUMBER,0-4,F,Laktaši,832
2013,NUMBER,0-4,F,Livno,648
2013,NUMBER,0-4,F,Lopare,262
2013,NUMBER,0-4,F,Lukavac,949
2013,NUMBER,0-4,F,Ljubinje,82
2013,NUMBER,0-4,F,Ljubuški,669
2013,NUMBER,0-4,F,Maglaj,582
2013,NUMBER,0-4,F,Milići,242
2013,NUMBER,0-4,F,Modriča,487
2013,NUMBER,0-4,F,Mostar,2585
2013,NUMBER,0-4,F,Mrkonjić Grad,344
2013,NUMBER,0-4,F,Neum,101
2013,NUMBER,0-4,F,Nevesinje,260
2013,NUMBER,0-4,F,Novi Grad,485
2013,NUMBER,0-4,F,Sarajevo - Novi Grad,3266
2013,NUMBER,0-4,F,Novi Travnik,633
2013,NUMBER,0-4,F,Novo Goražde,53
2013,NUMBER,0-4,F,Sarajevo - Novo Sarajevo,1650
