Year,UNIT_MEASURE,AGE,Value
2019,children_pre_woman,20-24,50.3
1996,children_pre_woman,25-29,96.9
1997,children_pre_woman,25-29,93.1
1998,children_pre_woman,25-29,91.1
1999,children_pre_woman,25-29,84.9
2000,children_pre_woman,25-29,82.7
2001,children_pre_woman,25-29,79.2
2002,children_pre_woman,25-29,76.1
2003,children_pre_woman,25-29,75.7
2004,children_pre_woman,25-29,76.6
2005,children_pre_woman,25-29,77.4
2006,children_pre_woman,25-29,76.1
2007,children_pre_woman,25-29,83.4
2008,children_pre_woman,25-29,86.7
2009,children_pre_woman,25-29,88.7
2010,children_pre_woman,25-29,85.8
2011,children_pre_woman,25-29,82.3
2012,children_pre_woman,25-29,97.7
2013,children_pre_woman,25-29,91.8
2014,children_pre_woman,25-29,88.8
2015,children_pre_woman,25-29,86.3
2016,children_pre_woman,25-29,80.5
2017,children_pre_woman,25-29,79.2
2018,children_pre_woman,25-29,81.3
2019,children_pre_woman,25-29,76.5
1996,children_pre_woman,30-34,59.9
1997,children_pre_woman,30-34,55.5
1998,children_pre_woman,30-34,51.4
1999,children_pre_woman,30-34,47.4
2000,children_pre_woman,30-34,44.1
2001,children_pre_woman,30-34,41.1
2002,children_pre_woman,30-34,45.0
2003,children_pre_woman,30-34,46.5
2004,children_pre_woman,30-34,46.0
2005,children_pre_woman,30-34,47.6
2006,children_pre_woman,30-34,49.0
2007,children_pre_woman,30-34,59.5
2008,children_pre_woman,30-34,62.0
2009,children_pre_woman,30-34,66.1
2010,children_pre_woman,30-34,66.5
2011,children_pre_woman,30-34,65.6
2012,children_pre_woman,30-34,70.0
2013,children_pre_woman,30-34,69.7
2014,children_pre_woman,30-34,71.9
2015,children_pre_woman,30-34,72.5
2016,children_pre_woman,30-34,70.2
2017,children_pre_woman,30-34,72.2
2018,children_pre_woman,30-34,70.2
2019,children_pre_woman,30-34,67.1
1996,children_pre_woman,35-39,28.4
1997,children_pre_woman,35-39,23.7
1998,children_pre_woman,35-39,23.5
1999,children_pre_woman,35-39,19.0
2000,children_pre_woman,35-39,18.6
2001,children_pre_woman,35-39,16.5
2002,children_pre_woman,35-39,18.3
2003,children_pre_woman,35-39,18.2
2004,children_pre_woman,35-39,18.7
2005,children_pre_woman,35-39,17.5
2006,children_pre_woman,35-39,16.8
2007,children_pre_woman,35-39,20.8
2008,children_pre_woman,35-39,21.5
2009,children_pre_woman,35-39,22.6
2010,children_pre_woman,35-39,24.2
2011,children_pre_woman,35-39,23.0
2012,children_pre_woman,35-39,25.8
2013,children_pre_woman,35-39,25.7
2014,children_pre_woman,35-39,26.9
2015,children_pre_woman,35-39,27.5
2016,children_pre_woman,35-39,29.0
2017,children_pre_woman,35-39,31.6
2018,children_pre_woman,35-39,31.5
2019,children_pre_woman,35-39,31.7
1996,children_pre_woman,40-44,5.3
1997,children_pre_woman,40-44,5.4
1998,children_pre_woman,40-44,5.5
1999,children_pre_woman,40-44,4.1
2000,children_pre_woman,40-44,4.0
2001,children_pre_woman,40-44,3.7
2002,children_pre_woman,40-44,4.1
2003,children_pre_woman,40-44,3.6
2004,children_pre_woman,40-44,3.7
2005,children_pre_woman,40-44,3.7
2006,children_pre_woman,40-44,3.4
2007,children_pre_woman,40-44,3.6
2008,children_pre_woman,40-44,4.0
2009,children_pre_woman,40-44,3.8
2010,children_pre_woman,40-44,3.9
2011,children_pre_woman,40-44,3.7
2012,children_pre_woman,40-44,4.7
2013,children_pre_woman,40-44,4.4
2014,children_pre_woman,40-44,4.6
2015,children_pre_woman,40-44,4.6
2016,children_pre_woman,40-44,5.2
2017,children_pre_woman,40-44,5.4
2018,children_pre_woman,40-44,5.8
2019,children_pre_woman,40-44,5.9
1996,children_pre_woman,45-49,0.5
1997,children_pre_woman,45-49,0.5
1998,children_pre_woman,45-49,0.5
1999,children_pre_woman,45-49,0.3
2000,children_pre_woman,45-49,0.2
2001,children_pre_woman,45-49,0.3
2002,children_pre_woman,45-49,0.2
2003,children_pre_woman,45-49,0.2
2004,children_pre_woman,45-49,0.2
2005,children_pre_woman,45-49,0.2
2006,children_pre_woman,45-49,0.2
2007,children_pre_woman,45-49,0.3
2008,children_pre_woman,45-49,0.2
2009,children_pre_woman,45-49,0.2
2010,children_pre_woman,45-49,0.2
2011,children_pre_woman,45-49,0.2
2012,children_pre_woman,45-49,0.2
2013,children_pre_woman,45-49,0.3
2014,children_pre_woman,45-49,0.3
2015,children_pre_woman,45-49,0.2
2016,children_pre_woman,45-49,0.2
2017,children_pre_woman,45-49,0.4
2018,children_pre_woman,45-49,0.4
2019,children_pre_woman,45-49,0.3
1996,children_pre_woman,50+,0.0
1997,children_pre_woman,50+,0.0
1998,children_pre_woman,50+,0.0
1999,children_pre_woman,50+,0.0
2000,children_pre_woman,50+,0.0
2001,children_pre_woman,50+,0.0
2002,children_pre_woman,50+,0.0
2003,children_pre_woman,50+,0.0
2004,children_pre_woman,50+,0.0
2005,children_pre_woman,50+,0.0
2006,children_pre_woman,50+,0.0
2007,children_pre_woman,50+,0.0
2008,children_pre_woman,50+,0.0
2009,children_pre_woman,50+,0.0
2010,children_pre_woman,50+,0.0
2011,children_pre_woman,50+,0.0
2012,children_pre_woman,50+,0.0
2013,children_pre_woman,50+,0.0
2014,children_pre_woman,50+,0.0
2015,children_pre_woman,50+,0.0
2016,children_pre_woman,50+,0.0
2017,children_pre_woman,50+,0.0
2018,children_pre_woman,50+,0.0
2019,children_pre_woman,50+,0.0
