Year,UNIT_MEASURE,SEX,UNIT_MEASUREMENT,Value
2055,%,M,older_persons_to_youth_ratio,386.67
2060,%,M,older_persons_to_youth_ratio,405.45
2065,%,M,older_persons_to_youth_ratio,420.87
2070,%,M,older_persons_to_youth_ratio,424.86
2018,%,F,total_support_ratio,44.32
2020,%,F,total_support_ratio,47.11
2025,%,F,total_support_ratio,53.97
2030,%,F,total_support_ratio,62.1
2035,%,F,total_support_ratio,68.98
2040,%,F,total_support_ratio,76.0
2045,%,F,total_support_ratio,84.34
2050,%,F,total_support_ratio,94.16
2055,%,F,total_support_ratio,103.66
2060,%,F,total_support_ratio,110.44
2065,%,F,total_support_ratio,115.81
2070,%,F,total_support_ratio,116.18
2018,%,F,young_age_support_ratio,20.55
2020,%,F,young_age_support_ratio,20.65
2025,%,F,young_age_support_ratio,20.34
2030,%,F,young_age_support_ratio,20.29
2035,%,F,young_age_support_ratio,19.98
2040,%,F,young_age_support_ratio,19.66
2045,%,F,young_age_support_ratio,19.82
2050,%,F,young_age_support_ratio,20.49
2055,%,F,young_age_support_ratio,21.3
2060,%,F,young_age_support_ratio,21.85
2065,%,F,young_age_support_ratio,22.23
2070,%,F,young_age_support_ratio,22.13
2018,%,F,old_age_support_ratio,23.78
2020,%,F,old_age_support_ratio,26.46
2025,%,F,old_age_support_ratio,33.64
2030,%,F,old_age_support_ratio,41.81
2035,%,F,old_age_support_ratio,49.0
2040,%,F,old_age_support_ratio,56.34
2045,%,F,old_age_support_ratio,64.52
2050,%,F,old_age_support_ratio,73.67
2055,%,F,old_age_support_ratio,82.36
2060,%,F,old_age_support_ratio,88.59
2065,%,F,old_age_support_ratio,93.58
2070,%,F,old_age_support_ratio,94.04
2018,%,F,older_persons_to_youth_ratio,115.71
2020,%,F,older_persons_to_youth_ratio,128.11
2025,%,F,older_persons_to_youth_ratio,165.41
2030,%,F,older_persons_to_youth_ratio,206.01
2035,%,F,older_persons_to_youth_ratio,245.28
2040,%,F,older_persons_to_youth_ratio,286.61
2045,%,F,older_persons_to_youth_ratio,325.51
2050,%,F,older_persons_to_youth_ratio,359.64
2055,%,F,older_persons_to_youth_ratio,386.67
2060,%,F,older_persons_to_youth_ratio,405.45
2065,%,F,older_persons_to_youth_ratio,420.87
2070,%,F,older_persons_to_youth_ratio,424.86
