Year,UNIT_MEASURE,AGE,SEX,ACTIVITY_RATES,Value
2006,_%,15+,_T,inactive_as_of_working,56.9
2006,_%,15 - 24,_T,inactive_as_of_working,66.6
2006,_%,25 - 49,_T,inactive_as_of_working,34.0
2006,_%,50 - 64,_T,inactive_as_of_working,63.4
2006,_%,65+,_T,inactive_as_of_working,94.3
2006,_%,15 - 64,_T,inactive_as_of_working,48.7
2006,_%,15+,M,inactive_as_of_working,48.7
2006,_%,15 - 24,M,inactive_as_of_working,43.8
2006,_%,25 - 49,M,inactive_as_of_working,59.9
2006,_%,50 - 64,M,inactive_as_of_working,18.1
2006,_%,65+,M,inactive_as_of_working,46.6
2006,_%,15 - 64,M,inactive_as_of_working,92.0
2006,_%,15+,F,inactive_as_of_working,34.5
2006,_%,15 - 24,F,inactive_as_of_working,69.2
2006,_%,25 - 49,F,inactive_as_of_working,73.7
2006,_%,50 - 64,F,inactive_as_of_working,50.0
2006,_%,65+,F,inactive_as_of_working,77.9
2006,_%,15 - 64,F,inactive_as_of_working,96.0
2006,_%,15+,F,inactive_as_of_working,62.6
2007,_%,15+,_T,active_labour_force,43.9
2007,_%,15 - 24,_T,active_labour_force,33.4
2007,_%,25 - 49,_T,active_labour_force,67.0
2007,_%,50 - 64,_T,active_labour_force,38.9
2007,_%,65+,_T,active_labour_force,5.9
2007,_%,15 - 64,_T,active_labour_force,52.2
2007,_%,15+,M,active_labour_force,57.7
2007,_%,15 - 24,M,active_labour_force,40.8
2007,_%,25 - 49,M,active_labour_force,84.0
2007,_%,50 - 64,M,active_labour_force,55.4
2007,_%,65+,M,active_labour_force,9.0
2007,_%,15 - 64,M,active_labour_force,67.0
2007,_%,15+,F,active_labour_force,31.0
2007,_%,15 - 24,F,active_labour_force,25.7
2007,_%,25 - 49,F,active_labour_force,50.2
2007,_%,50 - 64,F,active_labour_force,23.7
2007,_%,65+,F,active_labour_force,3.6
2007,_%,15 - 64,F,active_labour_force,37.8
2007,_%,15+,_T,employed_as_of_working,31.2
2007,_%,15 - 24,_T,employed_as_of_working,13.9
2007,_%,25 - 49,_T,employed_as_of_working,48.8
2007,_%,50 - 64,_T,employed_as_of_working,31.9
2007,_%,65+,_T,employed_as_of_working,5.7
2007,_%,15 - 64,_T,employed_as_of_working,36.8
2007,_%,15+,M,employed_as_of_working,42.3
2007,_%,15 - 24,M,employed_as_of_working,18.1
2007,_%,25 - 49,M,employed_as_of_working,63.6
2007,_%,50 - 64,M,employed_as_of_working,45.2
2007,_%,65+,M,employed_as_of_working,8.6
2007,_%,15 - 64,M,employed_as_of_working,48.7
2007,_%,15+,F,employed_as_of_working,20.8
2007,_%,15 - 24,F,employed_as_of_working,9.5
2007,_%,25 - 49,F,employed_as_of_working,34.2
2007,_%,50 - 64,F,employed_as_of_working,19.7
2007,_%,65+,F,employed_as_of_working,3.6
2007,_%,15 - 64,F,employed_as_of_working,25.0
2007,_%,15+,_T,unemployed_as_of_working,12.7
2007,_%,15 - 24,_T,unemployed_as_of_working,19.5
2007,_%,25 - 49,_T,unemployed_as_of_working,18.2
2007,_%,50 - 64,_T,unemployed_as_of_working,6.9
2007,_%,65+,_T,unemployed_as_of_working,0.2
2007,_%,15 - 64,_T,unemployed_as_of_working,15.5
2007,_%,15+,M,unemployed_as_of_working,15.4
2007,_%,15 - 24,M,unemployed_as_of_working,22.7
2007,_%,25 - 49,M,unemployed_as_of_working,20.4
2007,_%,50 - 64,M,unemployed_as_of_working,10.2
2007,_%,65+,M,unemployed_as_of_working,0.3
2007,_%,15 - 64,M,unemployed_as_of_working,18.3
2007,_%,15+,F,unemployed_as_of_working,10.2
2007,_%,15 - 24,F,unemployed_as_of_working,16.2
2007,_%,25 - 49,F,unemployed_as_of_working,16.0
2007,_%,50 - 64,F,unemployed_as_of_working,3.9
2007,_%,65+,F,unemployed_as_of_working,0.0
2007,_%,15+,_T,unemployed_as_of_working,12.7
2007,_%,15+,_T,unemployed_as_of_labour,29.0
2007,_%,15 - 24,_T,unemployed_as_of_labour,58.4
2007,_%,25 - 49,_T,unemployed_as_of_labour,27.1
2007,_%,50 - 64,_T,unemployed_as_of_labour,17.8
2007,_%,65+,_T,unemployed_as_of_labour,0.0
2007,_%,15 - 64,_T,unemployed_as_of_labour,29.6
2007,_%,15+,M,unemployed_as_of_labour,26.7
2007,_%,15 - 24,M,unemployed_as_of_labour,55.6
2007,_%,25 - 49,M,unemployed_as_of_labour,24.3
2007,_%,50 - 64,M,unemployed_as_of_labour,18.4
2007,_%,65+,M,unemployed_as_of_labour,0.0
2007,_%,15 - 64,M,unemployed_as_of_labour,27.3
2007,_%,15+,F,unemployed_as_of_labour,32.9
2007,_%,15 - 24,F,unemployed_as_of_labour,63.1
2007,_%,25 - 49,F,unemployed_as_of_labour,31.9
2007,_%,50 - 64,F,unemployed_as_of_labour,16.6
2007,_%,65+,F,unemployed_as_of_labour,0.0
2007,_%,15 - 64,F,unemployed_as_of_labour,33.7
2007,_%,15+,_T,inactive_as_of_working,56.1
2007,_%,15 - 24,_T,inactive_as_of_working,66.6
2007,_%,25 - 49,_T,inactive_as_of_working,33.0
2007,_%,50 - 64,_T,inactive_as_of_working,61.1
2007,_%,65+,_T,inactive_as_of_working,94.1
2007,_%,15 - 64,_T,inactive_as_of_working,47.8
2007,_%,15+,M,inactive_as_of_working,42.3
2007,_%,15 - 24,M,inactive_as_of_working,59.2
2007,_%,25 - 49,M,inactive_as_of_working,16.0
2007,_%,50 - 64,M,inactive_as_of_working,44.6
2007,_%,65+,M,inactive_as_of_working,91.0
2007,_%,15 - 64,M,inactive_as_of_working,33.0
2007,_%,15+,F,inactive_as_of_working,69.0
2007,_%,15 - 24,F,inactive_as_of_working,74.3
2007,_%,25 - 49,F,inactive_as_of_working,49.8
2007,_%,50 - 64,F,inactive_as_of_working,76.3
2007,_%,65+,F,inactive_as_of_working,96.4
2007,_%,15 - 64,F,inactive_as_of_working,62.2
2008,_%,15+,_T,active_labour_force,43.9
2008,_%,15 - 24,_T,active_labour_force,33.2
2008,_%,25 - 49,_T,active_labour_force,68.6
2008,_%,50 - 64,_T,active_labour_force,40.5
2008,_%,65+,_T,active_labour_force,5.4
2008,_%,15 - 64,_T,active_labour_force,53.5
2008,_%,15+,M,active_labour_force,57.1
2008,_%,15 - 24,M,active_labour_force,40.0
2008,_%,25 - 49,M,active_labour_force,85.1
2008,_%,50 - 64,M,active_labour_force,57.2
2008,_%,65+,M,active_labour_force,8.3
2008,_%,15 - 64,M,active_labour_force,67.7
2008,_%,15+,F,active_labour_force,31.6
2008,_%,15 - 24,F,active_labour_force,25.6
2008,_%,25 - 49,F,active_labour_force,52.4
2008,_%,50 - 64,F,active_labour_force,25.7
2008,_%,65+,F,active_labour_force,3.2
2008,_%,15 - 64,F,active_labour_force,39.5
2008,_%,15+,_T,employed_as_of_working,33.6
2008,_%,15 - 24,_T,employed_as_of_working,17.4
2008,_%,25 - 49,_T,employed_as_of_working,53.4
2008,_%,50 - 64,_T,employed_as_of_working,34.4
2008,_%,65+,_T,employed_as_of_working,5.4
2008,_%,15 - 64,_T,employed_as_of_working,40.7
2008,_%,15+,M,employed_as_of_working,44.9
2008,_%,15 - 24,M,employed_as_of_working,22.1
2008,_%,25 - 49,M,employed_as_of_working,68.8
2008,_%,50 - 64,M,employed_as_of_working,47.9
2008,_%,65+,M,employed_as_of_working,8.2
2008,_%,15 - 64,M,employed_as_of_working,52.9
2008,_%,15+,F,employed_as_of_working,23.1
2008,_%,15 - 24,F,employed_as_of_working,12.2
2008,_%,25 - 49,F,employed_as_of_working,38.4
2008,_%,50 - 64,F,employed_as_of_working,22.4
2008,_%,65+,F,employed_as_of_working,3.2
2008,_%,15 - 64,F,employed_as_of_working,28.7
2008,_%,15+,_T,unemployed_as_of_working,10.3
2008,_%,15 - 24,_T,unemployed_as_of_working,15.8
2008,_%,25 - 49,_T,unemployed_as_of_working,15.1
2008,_%,50 - 64,_T,unemployed_as_of_working,6.2
2008,_%,65+,_T,unemployed_as_of_working,0.0
2008,_%,15 - 64,_T,unemployed_as_of_working,12.8
2008,_%,15+,M,unemployed_as_of_working,12.2
2008,_%,15 - 24,M,unemployed_as_of_working,17.9
2008,_%,25 - 49,M,unemployed_as_of_working,16.3
2008,_%,50 - 64,M,unemployed_as_of_working,9.3
2008,_%,65+,M,unemployed_as_of_working,0.1
2008,_%,15 - 64,M,unemployed_as_of_working,14.9
2008,_%,15+,F,unemployed_as_of_working,8.5
2008,_%,15 - 24,F,unemployed_as_of_working,13.4
2008,_%,25 - 49,F,unemployed_as_of_working,14.0
2008,_%,50 - 64,F,unemployed_as_of_working,3.3
2008,_%,65+,F,unemployed_as_of_working,0.0
2008,_%,15+,_T,unemployed_as_of_working,10.8
2008,_%,15+,_T,unemployed_as_of_labour,23.4
2008,_%,15 - 24,_T,unemployed_as_of_labour,47.5
2008,_%,25 - 49,_T,unemployed_as_of_labour,22.1
2008,_%,50 - 64,_T,unemployed_as_of_labour,15.2
2008,_%,65+,_T,unemployed_as_of_labour,0.0
2008,_%,15 - 64,_T,unemployed_as_of_labour,24.0
2008,_%,15+,M,unemployed_as_of_labour,21.4
2008,_%,15 - 24,M,unemployed_as_of_labour,44.8
2008,_%,25 - 49,M,unemployed_as_of_labour,19.2
2008,_%,50 - 64,M,unemployed_as_of_labour,16.3
2008,_%,65+,M,unemployed_as_of_labour,0.0
2008,_%,15 - 64,M,unemployed_as_of_labour,21.9
2008,_%,15+,F,unemployed_as_of_labour,26.8
2008,_%,15 - 24,F,unemployed_as_of_labour,52.3
2008,_%,25 - 49,F,unemployed_as_of_labour,26.7
2008,_%,50 - 64,F,unemployed_as_of_labour,13.0
2008,_%,65+,F,unemployed_as_of_labour,0.0
2008,_%,15 - 64,F,unemployed_as_of_labour,27.4
2008,_%,15+,_T,inactive_as_of_working,56.1
2008,_%,15 - 24,_T,inactive_as_of_working,66.8
2008,_%,25 - 49,_T,inactive_as_of_working,31.4
2008,_%,50 - 64,_T,inactive_as_of_working,59.5
2008,_%,65+,_T,inactive_as_of_working,94.6
2008,_%,15 - 64,_T,inactive_as_of_working,46.5
2008,_%,15+,M,inactive_as_of_working,42.9
2008,_%,15 - 24,M,inactive_as_of_working,60.0
2008,_%,25 - 49,M,inactive_as_of_working,14.9
2008,_%,50 - 64,M,inactive_as_of_working,42.8
2008,_%,65+,M,inactive_as_of_working,91.7
2008,_%,15 - 64,M,inactive_as_of_working,32.3
2008,_%,15+,F,inactive_as_of_working,68.4
2008,_%,15 - 24,F,inactive_as_of_working,74.4
2008,_%,25 - 49,F,inactive_as_of_working,47.6
2008,_%,50 - 64,F,inactive_as_of_working,74.3
2008,_%,65+,F,inactive_as_of_working,96.8
2008,_%,15 - 64,F,inactive_as_of_working,60.5
2009,_%,15+,_T,active_labour_force,43.6
2009,_%,15 - 24,_T,active_labour_force,32.6
2009,_%,25 - 49,_T,active_labour_force,69.1
2009,_%,50 - 64,_T,active_labour_force,40.8
2009,_%,65+,_T,active_labour_force,4.2
2009,_%,15 - 64,_T,active_labour_force,53.2
2009,_%,15+,M,active_labour_force,56.2
2009,_%,15 - 24,M,active_labour_force,40.4
2009,_%,25 - 49,M,active_labour_force,85.2
2009,_%,50 - 64,M,active_labour_force,55.3
2009,_%,65+,M,active_labour_force,5.6
2009,_%,15 - 64,M,active_labour_force,67.0
2009,_%,15+,F,active_labour_force,31.9
2009,_%,15 - 24,F,active_labour_force,24.3
2009,_%,25 - 49,F,active_labour_force,53.2
2009,_%,50 - 64,F,active_labour_force,27.6
2009,_%,65+,F,active_labour_force,3.1
2009,_%,15 - 64,F,active_labour_force,39.7
2009,_%,15+,_T,employed_as_of_working,33.1
2009,_%,15 - 24,_T,employed_as_of_working,16.7
2009,_%,25 - 49,_T,employed_as_of_working,53.5
2009,_%,50 - 64,_T,employed_as_of_working,34.0
2009,_%,65+,_T,employed_as_of_working,4.2
2009,_%,15 - 64,_T,employed_as_of_working,40.1
2009,_%,15+,M,employed_as_of_working,43.2
2009,_%,15 - 24,M,employed_as_of_working,21.7
2009,_%,25 - 49,M,employed_as_of_working,67.4
2009,_%,50 - 64,M,employed_as_of_working,45.4
2009,_%,65+,M,employed_as_of_working,5.6
2009,_%,15 - 64,M,employed_as_of_working,51.3
2009,_%,15+,F,employed_as_of_working,23.7
2009,_%,15 - 24,F,employed_as_of_working,11.5
2009,_%,25 - 49,F,employed_as_of_working,39.9
2009,_%,50 - 64,F,employed_as_of_working,23.6
2009,_%,65+,F,employed_as_of_working,3.1
2009,_%,15 - 64,F,employed_as_of_working,29.3
2009,_%,15+,_T,unemployed_as_of_working,10.5
2009,_%,15 - 24,_T,unemployed_as_of_working,15.9
2009,_%,25 - 49,_T,unemployed_as_of_working,15.6
2009,_%,50 - 64,_T,unemployed_as_of_working,6.8
2009,_%,65+,_T,unemployed_as_of_working,0.0
2009,_%,15 - 64,_T,unemployed_as_of_working,13.0
2009,_%,15+,M,unemployed_as_of_working,13.0
2009,_%,15 - 24,M,unemployed_as_of_working,18.8
2009,_%,25 - 49,M,unemployed_as_of_working,17.8
2009,_%,50 - 64,M,unemployed_as_of_working,9.9
2009,_%,65+,M,unemployed_as_of_working,0.0
2009,_%,15 - 64,M,unemployed_as_of_working,15.8
2009,_%,15+,F,unemployed_as_of_working,8.2
2009,_%,15 - 24,F,unemployed_as_of_working,12.8
2009,_%,25 - 49,F,unemployed_as_of_working,13.4
2009,_%,50 - 64,F,unemployed_as_of_working,4.0
2009,_%,65+,F,unemployed_as_of_working,0.0
2009,_%,15+,_T,unemployed_as_of_working,10.4
2009,_%,15+,_T,unemployed_as_of_labour,24.1
2009,_%,15 - 24,_T,unemployed_as_of_labour,48.7
2009,_%,25 - 49,_T,unemployed_as_of_labour,22.5
2009,_%,50 - 64,_T,unemployed_as_of_labour,16.7
2009,_%,65+,_T,unemployed_as_of_labour,0.0
2009,_%,15 - 64,_T,unemployed_as_of_labour,24.5
2009,_%,15+,M,unemployed_as_of_labour,23.1
2009,_%,15 - 24,M,unemployed_as_of_labour,46.4
2009,_%,25 - 49,M,unemployed_as_of_labour,20.9
2009,_%,50 - 64,M,unemployed_as_of_labour,18.0
2009,_%,65+,M,unemployed_as_of_labour,0.0
2009,_%,15 - 64,M,unemployed_as_of_labour,23.5
2009,_%,15+,F,unemployed_as_of_labour,25.6
2009,_%,15 - 24,F,unemployed_as_of_labour,52.7
2009,_%,25 - 49,F,unemployed_as_of_labour,25.1
2009,_%,50 - 64,F,unemployed_as_of_labour,14.2
2009,_%,65+,F,unemployed_as_of_labour,0.0
2009,_%,15 - 64,F,unemployed_as_of_labour,26.2
2009,_%,15+,_T,inactive_as_of_working,56.4
2009,_%,15 - 24,_T,inactive_as_of_working,67.4
2009,_%,25 - 49,_T,inactive_as_of_working,30.9
2009,_%,50 - 64,_T,inactive_as_of_working,59.2
2009,_%,65+,_T,inactive_as_of_working,95.8
2009,_%,15 - 64,_T,inactive_as_of_working,46.8
2009,_%,15+,M,inactive_as_of_working,43.8
2009,_%,15 - 24,M,inactive_as_of_working,59.6
2009,_%,25 - 49,M,inactive_as_of_working,14.8
2009,_%,50 - 64,M,inactive_as_of_working,44.7
2009,_%,65+,M,inactive_as_of_working,94.4
2009,_%,15 - 64,M,inactive_as_of_working,33.0
2009,_%,15+,F,inactive_as_of_working,68.1
2009,_%,15 - 24,F,inactive_as_of_working,75.7
2009,_%,25 - 49,F,inactive_as_of_working,46.8
2009,_%,50 - 64,F,inactive_as_of_working,72.4
2009,_%,65+,F,inactive_as_of_working,96.9
2009,_%,15 - 64,F,inactive_as_of_working,60.3
2010,_%,15+,_T,active_labour_force,44.6
2010,_%,15 - 24,_T,active_labour_force,33.0
2010,_%,25 - 49,_T,active_labour_force,70.6
2010,_%,50 - 64,_T,active_labour_force,40.5
2010,_%,65+,_T,active_labour_force,4.6
2010,_%,15 - 64,_T,active_labour_force,54.0
2010,_%,15+,M,active_labour_force,56.7
2010,_%,15 - 24,M,active_labour_force,39.7
2010,_%,25 - 49,M,active_labour_force,85.3
2010,_%,50 - 64,M,active_labour_force,54.5
2010,_%,65+,M,active_labour_force,6.3
2010,_%,15 - 64,M,active_labour_force,67.1
2010,_%,15+,F,active_labour_force,33.2
2010,_%,15 - 24,F,active_labour_force,25.9
2010,_%,25 - 49,F,active_labour_force,55.6
2010,_%,50 - 64,F,active_labour_force,28.0
2010,_%,65+,F,active_labour_force,3.3
2010,_%,15 - 64,F,active_labour_force,41.1
2010,_%,15+,_T,employed_as_of_working,32.5
2010,_%,15 - 24,_T,employed_as_of_working,14.0
2010,_%,25 - 49,_T,employed_as_of_working,52.5
2010,_%,50 - 64,_T,employed_as_of_working,33.3
2010,_%,65+,_T,employed_as_of_working,4.6
2010,_%,15 - 64,_T,employed_as_of_working,39.0
2010,_%,15+,M,employed_as_of_working,42.2
2010,_%,15 - 24,M,employed_as_of_working,17.8
2010,_%,25 - 49,M,employed_as_of_working,65.6
2010,_%,50 - 64,M,employed_as_of_working,44.1
2010,_%,65+,M,employed_as_of_working,6.3
2010,_%,15 - 64,M,employed_as_of_working,49.6
2010,_%,15+,F,employed_as_of_working,23.3
2010,_%,15 - 24,F,employed_as_of_working,10.0
2010,_%,25 - 49,F,employed_as_of_working,39.2
2010,_%,50 - 64,F,employed_as_of_working,23.6
2010,_%,65+,F,employed_as_of_working,3.2
2010,_%,15 - 64,F,employed_as_of_working,28.6
2010,_%,15+,_T,unemployed_as_of_working,12.1
2010,_%,15 - 24,_T,unemployed_as_of_working,19.0
2010,_%,25 - 49,_T,unemployed_as_of_working,18.1
2010,_%,50 - 64,_T,unemployed_as_of_working,7.2
2010,_%,65+,_T,unemployed_as_of_working,0.1
2010,_%,15 - 64,_T,unemployed_as_of_working,15.0
2010,_%,15+,M,unemployed_as_of_working,14.5
2010,_%,15 - 24,M,unemployed_as_of_working,21.9
2010,_%,25 - 49,M,unemployed_as_of_working,19.7
2010,_%,50 - 64,M,unemployed_as_of_working,10.4
2010,_%,65+,M,unemployed_as_of_working,0.0
2010,_%,15 - 64,M,unemployed_as_of_working,17.5
2010,_%,15+,F,unemployed_as_of_working,9.9
2010,_%,15 - 24,F,unemployed_as_of_working,15.9
2010,_%,25 - 49,F,unemployed_as_of_working,16.4
2010,_%,50 - 64,F,unemployed_as_of_working,4.4
2010,_%,65+,F,unemployed_as_of_working,0.1
2010,_%,15+,_T,unemployed_as_of_working,12.5
2010,_%,15+,_T,unemployed_as_of_labour,27.2
2010,_%,15 - 24,_T,unemployed_as_of_labour,57.5
2010,_%,25 - 49,_T,unemployed_as_of_labour,25.6
2010,_%,50 - 64,_T,unemployed_as_of_labour,17.8
2010,_%,65+,_T,unemployed_as_of_labour,0.0
2010,_%,15 - 64,_T,unemployed_as_of_labour,27.7
2010,_%,15+,M,unemployed_as_of_labour,25.6
2010,_%,15 - 24,M,unemployed_as_of_labour,55.1
2010,_%,25 - 49,M,unemployed_as_of_labour,23.1
2010,_%,50 - 64,M,unemployed_as_of_labour,19.0
2010,_%,65+,M,unemployed_as_of_labour,0.0
2010,_%,15 - 64,M,unemployed_as_of_labour,26.1
2010,_%,15+,F,unemployed_as_of_labour,29.9
2010,_%,15 - 24,F,unemployed_as_of_labour,61.3
2010,_%,25 - 49,F,unemployed_as_of_labour,29.5
2010,_%,50 - 64,F,unemployed_as_of_labour,15.8
2010,_%,65+,F,unemployed_as_of_labour,0.0
2010,_%,15 - 64,F,unemployed_as_of_labour,30.4
2010,_%,15+,_T,inactive_as_of_working,55.4
2010,_%,15 - 24,_T,inactive_as_of_working,67.0
2010,_%,25 - 49,_T,inactive_as_of_working,29.4
2010,_%,50 - 64,_T,inactive_as_of_working,59.5
2010,_%,65+,_T,inactive_as_of_working,95.4
2010,_%,15 - 64,_T,inactive_as_of_working,46.0
2010,_%,15+,M,inactive_as_of_working,43.3
2010,_%,15 - 24,M,inactive_as_of_working,60.3
2010,_%,25 - 49,M,inactive_as_of_working,14.7
2010,_%,50 - 64,M,inactive_as_of_working,45.5
2010,_%,65+,M,inactive_as_of_working,93.7
2010,_%,15 - 64,M,inactive_as_of_working,32.9
2010,_%,15+,F,inactive_as_of_working,66.8
2010,_%,15 - 24,F,inactive_as_of_working,74.1
2010,_%,25 - 49,F,inactive_as_of_working,44.4
2010,_%,50 - 64,F,inactive_as_of_working,72.0
2010,_%,65+,F,inactive_as_of_working,96.7
2010,_%,15 - 64,F,inactive_as_of_working,58.9
2011,_%,15+,_T,active_labour_force,44.0
2011,_%,15 - 24,_T,active_labour_force,31.4
2011,_%,25 - 49,_T,active_labour_force,70.6
2011,_%,50 - 64,_T,active_labour_force,41.2
2011,_%,65+,_T,active_labour_force,3.6
2011,_%,15 - 64,_T,active_labour_force,53.8
2011,_%,15+,M,active_labour_force,44.0
2011,_%,15 - 24,M,active_labour_force,31.4
2011,_%,25 - 49,M,active_labour_force,70.6
2011,_%,50 - 64,M,active_labour_force,41.2
2011,_%,65+,M,active_labour_force,3.6
2011,_%,15 - 64,M,active_labour_force,53.8
2011,_%,15+,F,active_labour_force,44.0
2011,_%,15 - 24,F,active_labour_force,31.4
2011,_%,25 - 49,F,active_labour_force,70.6
2011,_%,50 - 64,F,active_labour_force,41.2
2011,_%,65+,F,active_labour_force,3.6
2011,_%,15 - 64,F,active_labour_force,53.8
2011,_%,15+,_T,employed_as_of_working,31.9
2011,_%,15 - 24,_T,employed_as_of_working,13.2
2011,_%,25 - 49,_T,employed_as_of_working,52.1
2011,_%,50 - 64,_T,employed_as_of_working,33.6
2011,_%,65+,_T,employed_as_of_working,3.6
2011,_%,15 - 64,_T,employed_as_of_working,38.7
2011,_%,15+,M,employed_as_of_working,41.3
2011,_%,15 - 24,M,employed_as_of_working,16.9
2011,_%,25 - 49,M,employed_as_of_working,64.5
2011,_%,50 - 64,M,employed_as_of_working,43.7
2011,_%,65+,M,employed_as_of_working,4.9
2011,_%,15 - 64,M,employed_as_of_working,48.7
2011,_%,15+,F,employed_as_of_working,23.0
2011,_%,15 - 24,F,employed_as_of_working,9.2
2011,_%,25 - 49,F,employed_as_of_working,39.0
2011,_%,50 - 64,F,employed_as_of_working,24.6
2011,_%,65+,F,employed_as_of_working,2.6
2011,_%,15 - 64,F,employed_as_of_working,28.7
2011,_%,15+,_T,unemployed_as_of_working,12.1
2011,_%,15 - 24,_T,unemployed_as_of_working,18.2
2011,_%,25 - 49,_T,unemployed_as_of_working,18.5
2011,_%,50 - 64,_T,unemployed_as_of_working,7.7
2011,_%,65+,_T,unemployed_as_of_working,0.0
2011,_%,15 - 64,_T,unemployed_as_of_working,15.1
2011,_%,15+,M,unemployed_as_of_working,2.7
2011,_%,15 - 24,M,unemployed_as_of_working,14.5
2011,_%,25 - 49,M,unemployed_as_of_working,6.0
2011,_%,50 - 64,M,unemployed_as_of_working,-2.5
2011,_%,65+,M,unemployed_as_of_working,-1.3
2011,_%,15 - 64,M,unemployed_as_of_working,5.0
2011,_%,15+,F,unemployed_as_of_working,21.0
2011,_%,15 - 24,F,unemployed_as_of_working,22.1
2011,_%,25 - 49,F,unemployed_as_of_working,31.6
2011,_%,50 - 64,F,unemployed_as_of_working,16.6
2011,_%,65+,F,unemployed_as_of_working,1.0
2011,_%,15+,_T,unemployed_as_of_working,25.1
2011,_%,15+,_T,unemployed_as_of_labour,27.6
2011,_%,15 - 24,_T,unemployed_as_of_labour,57.9
2011,_%,25 - 49,_T,unemployed_as_of_labour,26.2
2011,_%,50 - 64,_T,unemployed_as_of_labour,18.6
2011,_%,65+,_T,unemployed_as_of_labour,0.0
2011,_%,15 - 64,_T,unemployed_as_of_labour,28.0
2011,_%,15+,M,unemployed_as_of_labour,26.1
2011,_%,15 - 24,M,unemployed_as_of_labour,56.4
2011,_%,25 - 49,M,unemployed_as_of_labour,23.7
