Year,Health indicators,UNIT_MEASURE,Administrative area,Value
2004,Number of new cases of HIV,Number,Republika Srpska,1.0
2004,"Number of new cases of HIV per 100,000 population",Number,Republika Srpska,0.08
2004,Number of beds in hospitals,Number,Republika Srpska,3.652
2004,"Number of beds in hospitals per 100,000 population",Number,Republika Srpska,307.0
2004,Number of medical doctors providing health care in public institutions,Number,Republika Srpska,1.838
2004,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,Republika Srpska,154.0
2004,Number of general practitioners,Number,Republika Srpska,359.0
2004,Number of population per general practitioner,Number,Republika Srpska,3.316
2005,Number of new cases of cervical cancer,Number,BiH,142.0
2005,Number of new cases of female breast cancer,Number,BiH,351.0
2005,Number of new cases of syphilis,Number,BiH,18.0
2005,Number of new cases of gonorrhea,Number,BiH,3.0
2005,Number of new cases of AIDS clinically diagnosed,Number,BiH,7.0
2005,Number of new cases of HIV,Number,BiH,11.0
2005,Number of beds in hospitals,Number,BiH,3.804
2005,Number of medical doctors providing health care in public institutions,Number,BiH,5.54
2005,Number of general practitioners,Number,BiH,399.0
2005,Number of midwives,Number,BiH,421.0
2005,Number of new cases of syphilis,Number,FBiH,9.0
2005,Number of new cases of AIDS clinically diagnosed,Number,FBiH,4.0
2005,Number of new cases of HIV,Number,FBiH,11.0
2005,"Number of new cases of HIV per 100,000 population",Number,FBiH,0.47
2005,Number of medical doctors providing health care in public institutions,Number,FBiH,3.683
2005,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,FBiH,158.0
2005,Total population (as per Public Health Institute or NSO reports),Number,FBiH,2328434.0
2005,Male population,Number,FBiH,1101958.0
2005,Female population,Number,FBiH,1226476.0
2005,Number of new cases of cervical cancer,Number,Republika Srpska,142.0
2005,"Number of new cases of female breast cancer per 100,000 female population",Number,Republika Srpska,19.12767047
2005,Number of new cases of female breast cancer,Number,Republika Srpska,351.0
2005,"Number of new cases of female breast cancer per 100,000 female population",Number,Republika Srpska,47.28036854
2005,Number of new cases of syphilis,Number,Republika Srpska,9.0
2005,Number of new cases of gonorrhea,Number,Republika Srpska,3.0
2005,Number of new cases of AIDS clinically diagnosed,Number,Republika Srpska,3.0
2005,Number of beds in hospitals,Number,Republika Srpska,3804.0
2005,"Number of beds in hospitals per 100,000 population",Number,Republika Srpska,262.9946966
2005,Number of medical doctors providing health care in public institutions,Number,Republika Srpska,1857.0
2005,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,Republika Srpska,128.3862123
2005,Number of general practitioners,Number,Republika Srpska,399.0
2005,Number of population per general practitioner,Number,Republika Srpska,3625.105263
2005,Number of midwives,Number,Republika Srpska,421.0
2005,Total population (as per Public Health Institute or NSO reports),Number,Republika Srpska,1446417.0
2005,Male population,Number,Republika Srpska,704037.0
2005,Female population,Number,Republika Srpska,742380.0
2005,Total population (as per Public Health Institute or NSO reports),Number,Brčko District of BiH,83930.0
2005,Male population,Number,Brčko District of BiH,41785.0
2005,Female population,Number,Brčko District of BiH,42145.0
2006,Number of new cases of cervical cancer,Number,BiH,139.0
2006,Number of new cases of female breast cancer,Number,BiH,331.0
2006,Number of new cases of syphilis,Number,BiH,15.0
2006,Number of new cases of AIDS clinically diagnosed,Number,BiH,3.0
2006,Number of new cases of HIV,Number,BiH,17.0
2006,Number of beds in hospitals,Number,BiH,4017.0
2006,Number of medical doctors providing health care in public institutions,Number,BiH,5684.0
2006,Number of general practitioners,Number,BiH,467.0
2006,Number of midwives,Number,BiH,409.0
2006,Number of new cases of syphilis,Number,FBiH,15.0
2006,Number of new cases of AIDS clinically diagnosed,Number,FBiH,3.0
2006,Number of new cases of HIV,Number,FBiH,12.0
2006,"Number of new cases of HIV per 100,000 population",Number,FBiH,0.516125036
2006,Number of medical doctors providing health care in public institutions,Number,FBiH,3767.0
2006,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,FBiH,162.020251
2006,Total population (as per Public Health Institute or NSO reports),Number,FBiH,2325018.0
2006,Male population,Number,FBiH,1137682.0
2006,Female population,Number,FBiH,1187336.0
2006,Number of new cases of cervical cancer,Number,Republika Srpska,139.0
2006,"Number of new cases of female breast cancer per 100,000 female population",Number,Republika Srpska,18.75866239
2006,Number of new cases of female breast cancer,Number,Republika Srpska,331.0
2006,"Number of new cases of female breast cancer per 100,000 female population",Number,Republika Srpska,44.66990827
2006,Number of new cases of HIV,Number,Republika Srpska,5.0
2006,"Number of new cases of HIV per 100,000 population",Number,Republika Srpska,0.346330181
2006,Number of beds in hospitals,Number,Republika Srpska,4017.0
2006,"Number of beds in hospitals per 100,000 population",Number,Republika Srpska,278.2416678
2006,Number of medical doctors providing health care in public institutions,Number,Republika Srpska,1917.0
2006,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,Republika Srpska,132.7829916
2006,Number of general practitioners,Number,Republika Srpska,467.0
2006,Number of population per general practitioner,Number,Republika Srpska,3091.453961
2006,Number of midwives,Number,Republika Srpska,409.0
2006,Total population (as per Public Health Institute or NSO reports),Number,Republika Srpska,1443709.0
2006,Male population,Number,Republika Srpska,702718.0
2006,Female population,Number,Republika Srpska,740991.0
2006,Total population (as per Public Health Institute or NSO reports),Number,Brčko District of BiH,84100.0
2006,Male population,Number,Brčko District of BiH,41866.0
2006,Female population,Number,Brčko District of BiH,42234.0
2007,Number of new cases of cervical cancer,Number,BiH,362.0
2007,Number of new cases of female breast cancer,Number,BiH,918.0
2007,Number of new cases of syphilis,Number,BiH,22.0
2007,Number of new cases of gonorrhea,Number,BiH,3.0
2007,Number of new cases of AIDS clinically diagnosed,Number,BiH,4.0
2007,Number of new cases of HIV,Number,BiH,5.0
2007,Number of beds in hospitals,Number,BiH,12674.0
2007,Number of medical doctors providing health care in public institutions,Number,BiH,5967.0
2007,Number of general practitioners,Number,BiH,1037.0
2007,Number of midwives,Number,BiH,797.0
2007,Number of new cases of cervical cancer,Number,FBiH,178.0
2007,"Number of new cases of female breast cancer per 100,000 female population",Number,FBiH,14.9701606
2007,Number of new cases of female breast cancer,Number,FBiH,521.0
2007,"Number of new cases of female breast cancer per 100,000 female population",Number,FBiH,43.81715547
2007,Number of new cases of syphilis,Number,FBiH,17.0
2007,Number of new cases of AIDS clinically diagnosed,Number,FBiH,4.0
2007,Number of new cases of HIV,Number,FBiH,4.0
2007,"Number of new cases of HIV per 100,000 population",Number,FBiH,0.171794813
2007,Number of beds in hospitals,Number,FBiH,8165.0
2007,"Number of beds in hospitals per 100,000 population",Number,FBiH,350.6761629
2007,Number of medical doctors providing health care in public institutions,Number,FBiH,3979.0
2007,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,FBiH,170.8928907
2007,Number of general practitioners,Number,FBiH,500.0
2007,Number of population per general practitioner,Number,FBiH,4656.718
2007,Number of midwives,Number,FBiH,797.0
2007,Total population (as per Public Health Institute or NSO reports),Number,FBiH,2328359.0
2007,Male population,Number,FBiH,1139327.0
2007,Female population,Number,FBiH,1189032.0
2007,Number of new cases of cervical cancer,Number,Republika Srpska,184.0
2007,"Number of new cases of female breast cancer per 100,000 female population",Number,Republika Srpska,24.90124087
2007,Number of new cases of female breast cancer,Number,Republika Srpska,397.0
2007,"Number of new cases of female breast cancer per 100,000 female population",Number,Republika Srpska,53.72713383
2007,Number of new cases of syphilis,Number,Republika Srpska,5.0
2007,Number of new cases of gonorrhea,Number,Republika Srpska,3.0
2007,Number of new cases of HIV,Number,Republika Srpska,1.0
2007,"Number of new cases of HIV per 100,000 population",Number,Republika Srpska,0.069460218
2007,Number of beds in hospitals,Number,Republika Srpska,4509.0
2007,"Number of beds in hospitals per 100,000 population",Number,Republika Srpska,313.1961216
2007,Number of medical doctors providing health care in public institutions,Number,Republika Srpska,1988.0
2007,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,Republika Srpska,138.0869128
2007,Number of general practitioners,Number,Republika Srpska,537.0
2007,Number of population per general practitioner,Number,Republika Srpska,2680.955307
2007,Total population (as per Public Health Institute or NSO reports),Number,Republika Srpska,1439673.0
2007,Male population,Number,Republika Srpska,700754.0
2007,Female population,Number,Republika Srpska,738919.0
2007,Total population (as per Public Health Institute or NSO reports),Number,Brčko District of BiH,84258.0
2007,Male population,Number,Brčko District of BiH,41943.0
2007,Female population,Number,Brčko District of BiH,42315.0
2008,Number of new cases of cervical cancer,Number,BiH,326.0
2008,Number of new cases of female breast cancer,Number,BiH,852.0
2008,Number of new cases of syphilis,Number,BiH,15.0
2008,Number of new cases of gonorrhea,Number,BiH,4.0
2008,Number of new cases of AIDS clinically diagnosed,Number,BiH,4.0
2008,Number of new cases of HIV,Number,BiH,7.0
2008,Number of caesarean sections,Number,BiH,4105.0
2008,Number of beds in hospitals,Number,BiH,12546.0
2008,Number of medical doctors providing health care in public institutions,Number,BiH,6165.0
2008,Number of general practitioners,Number,BiH,1083.0
2008,Number of midwives,Number,BiH,1235.0
2008,Number of new cases of cervical cancer,Number,FBiH,131.0
2008,"Number of new cases of female breast cancer per 100,000 female population",Number,FBiH,11.02287204
2008,Number of new cases of female breast cancer,Number,FBiH,425.0
2008,"Number of new cases of female breast cancer per 100,000 female population",Number,FBiH,35.76122608
2008,Number of new cases of syphilis,Number,FBiH,11.0
2008,Number of new cases of AIDS clinically diagnosed,Number,FBiH,4.0
2008,Number of new cases of HIV,Number,FBiH,7.0
2008,"Number of new cases of HIV per 100,000 population",Number,FBiH,0.300791296
2008,Number of caesarean sections,Number,FBiH,4105.0
2008,"Number of caesarean sections per 1,000 live births",Number,FBiH,189.5
2008,Number of beds in hospitals,Number,FBiH,8091.0
2008,"Number of beds in hospitals per 100,000 population",Number,FBiH,347.6717679
2008,Number of medical doctors providing health care in public institutions,Number,FBiH,4117.0
2008,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,FBiH,176.9082522
2008,Number of general practitioners,Number,FBiH,500.0
2008,Number of population per general practitioner,Number,FBiH,4654.39
2008,Number of midwives,Number,FBiH,818.0
2008,Total population (as per Public Health Institute or NSO reports),Number,FBiH,2327195.0
2008,Male population,Number,FBiH,1138757.0
2008,Female population,Number,FBiH,1188438.0
2008,Number of new cases of cervical cancer,Number,Republika Srpska,195.0
2008,"Number of new cases of female breast cancer per 100,000 female population",Number,Republika Srpska,26.43021339
2008,Number of new cases of female breast cancer,Number,Republika Srpska,427.0
2008,"Number of new cases of female breast cancer per 100,000 female population",Number,Republika Srpska,57.87539035
2008,Number of new cases of syphilis,Number,Republika Srpska,4.0
2008,Number of new cases of gonorrhea,Number,Republika Srpska,4.0
2008,Number of beds in hospitals,Number,Republika Srpska,4455.0
2008,"Number of beds in hospitals per 100,000 population",Number,Republika Srpska,309.9180022
2008,Number of medical doctors providing health care in public institutions,Number,Republika Srpska,2048.0
2008,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,Republika Srpska,142.4718448
2008,Number of general practitioners,Number,Republika Srpska,583.0
2008,Number of population per general practitioner,Number,Republika Srpska,2465.655232
2008,Number of midwives,Number,Republika Srpska,417.0
2008,Total population (as per Public Health Institute or NSO reports),Number,Republika Srpska,1437477.0
2008,Male population,Number,Republika Srpska,699685.0
2008,Female population,Number,Republika Srpska,737792.0
2008,Total population (as per Public Health Institute or NSO reports),Number,Brčko District of BiH,84233.0
2008,Male population,Number,Brčko District of BiH,41897.0
2008,Female population,Number,Brčko District of BiH,42336.0
2009,Number of new cases of cervical cancer,Number,BiH,369.0
2009,Number of new cases of female breast cancer,Number,BiH,963.0
2009,Number of new cases of syphilis,Number,BiH,10.0
2009,Number of new cases of gonorrhea,Number,BiH,5.0
2009,Number of new cases of AIDS clinically diagnosed,Number,BiH,2.0
2009,Number of new cases of HIV,Number,BiH,8.0
2009,Number of caesarean sections,Number,BiH,3806.0
2009,Number of beds in hospitals,Number,BiH,12795.0
2009,Number of medical doctors providing health care in public institutions,Number,BiH,6369.0
2009,Number of general practitioners,Number,BiH,1156.0
2009,Number of midwives,Number,BiH,1226.0
2009,Number of new cases of cervical cancer,Number,FBiH,177.0
2009,"Number of new cases of female breast cancer per 100,000 female population",Number,FBiH,14.89272192
2009,Number of new cases of female breast cancer,Number,FBiH,560.0
2009,"Number of new cases of female breast cancer per 100,000 female population",Number,FBiH,47.11821624
2009,Number of new cases of syphilis,Number,FBiH,5.0
2009,Number of new cases of AIDS clinically diagnosed,Number,FBiH,2.0
2009,Number of new cases of HIV,Number,FBiH,4.0
2009,"Number of new cases of HIV per 100,000 population",Number,FBiH,0.171871657
2009,Number of caesarean sections,Number,FBiH,3806.0
2009,"Number of caesarean sections per 1,000 live births",Number,FBiH,190.0
2009,Number of beds in hospitals,Number,FBiH,8409.0
2009,"Number of beds in hospitals per 100,000 population",Number,FBiH,361.31719
2009,Number of medical doctors providing health care in public institutions,Number,FBiH,4268.0
2009,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,FBiH,183.3870575
2009,Number of general practitioners,Number,FBiH,527.0
2009,Number of population per general practitioner,Number,FBiH,4416.163188
2009,Number of midwives,Number,FBiH,820.0
2009,Total population (as per Public Health Institute or NSO reports),Number,FBiH,2327318.0
2009,Male population,Number,FBiH,1138818.0
2009,Female population,Number,FBiH,1188500.0
2009,Number of new cases of cervical cancer,Number,Republika Srpska,192.0
2009,"Number of new cases of female breast cancer per 100,000 female population",Number,Republika Srpska,26.06528267
2009,Number of new cases of female breast cancer,Number,Republika Srpska,403.0
2009,"Number of new cases of female breast cancer per 100,000 female population",Number,Republika Srpska,54.70994228
2009,Number of new cases of syphilis,Number,Republika Srpska,5.0
2009,Number of new cases of gonorrhea,Number,Republika Srpska,5.0
2009,Number of new cases of HIV,Number,Republika Srpska,4.0
2009,"Number of new cases of HIV per 100,000 population",Number,Republika Srpska,0.278710879
2009,Number of beds in hospitals,Number,Republika Srpska,4386.0
2009,"Number of beds in hospitals per 100,000 population",Number,Republika Srpska,305.6064784
2009,Number of medical doctors providing health care in public institutions,Number,Republika Srpska,2101.0
2009,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,Republika Srpska,146.392889
2009,Number of general practitioners,Number,Republika Srpska,629.0
2009,Number of population per general practitioner,Number,Republika Srpska,2281.683625
2009,Number of midwives,Number,Republika Srpska,406.0
2009,Total population (as per Public Health Institute or NSO reports),Number,Republika Srpska,1435179.0
2009,Male population,Number,Republika Srpska,698567.0
2009,Female population,Number,Republika Srpska,736612.0
2009,Total population (as per Public Health Institute or NSO reports),Number,Brčko District of BiH,84260.0
2009,Male population,Number,Brčko District of BiH,41830.0
2009,Female population,Number,Brčko District of BiH,42430.0
2010,Number of new cases of cervical cancer,Number,BiH,424.0
2010,Number of new cases of female breast cancer,Number,BiH,876.0
2010,Number of new cases of syphilis,Number,BiH,22.0
2010,Number of new cases of gonorrhea,Number,BiH,4.0
2010,Number of new cases of AIDS clinically diagnosed,Number,BiH,6.0
2010,Number of new cases of HIV,Number,BiH,7.0
2010,Number of caesarean sections,Number,BiH,3080.0
2010,Number of beds in hospitals,Number,BiH,12967.0
2010,Number of medical doctors providing health care in public institutions,Number,BiH,6540.0
2010,Number of general practitioners,Number,BiH,1209.0
2010,Number of midwives,Number,BiH,1226.0
2010,Number of new cases of cervical cancer,Number,FBiH,151.0
2010,"Number of new cases of female breast cancer per 100,000 female population",Number,FBiH,12.64888619
2010,Number of new cases of female breast cancer,Number,FBiH,465.0
2010,"Number of new cases of female breast cancer per 100,000 female population",Number,FBiH,38.95186806
2010,Number of new cases of syphilis,Number,FBiH,7.0
2010,Number of new cases of AIDS clinically diagnosed,Number,FBiH,3.0
2010,Number of new cases of HIV,Number,FBiH,3.0
2010,"Number of new cases of HIV per 100,000 population",Number,FBiH,0.128333462
2010,Number of caesarean sections,Number,FBiH,3080.0
2010,"Number of caesarean sections per 1,000 live births",Number,FBiH,157.8
2010,Number of beds in hospitals,Number,FBiH,8597.0
2010,"Number of beds in hospitals per 100,000 population",Number,FBiH,367.7609233
2010,Number of medical doctors providing health care in public institutions,Number,FBiH,4355.0
2010,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,FBiH,186.2974085
2010,Number of general practitioners,Number,FBiH,554.0
2010,Number of population per general practitioner,Number,FBiH,4219.602888
2010,Number of midwives,Number,FBiH,831.0
2010,Total population (as per Public Health Institute or NSO reports),Number,FBiH,2337660.0
2010,Male population,Number,FBiH,1143879.0
2010,Female population,Number,FBiH,1193781.0
2010,Number of new cases of cervical cancer,Number,Republika Srpska,273.0
2010,"Number of new cases of female breast cancer per 100,000 female population",Number,Republika Srpska,37.11690056
2010,Number of new cases of female breast cancer,Number,Republika Srpska,411.0
2010,"Number of new cases of female breast cancer per 100,000 female population",Number,Republika Srpska,55.87928986
2010,Number of new cases of syphilis,Number,Republika Srpska,15.0
2010,Number of new cases of gonorrhea,Number,Republika Srpska,4.0
2010,Number of new cases of AIDS clinically diagnosed,Number,Republika Srpska,3.0
2010,Number of new cases of HIV,Number,Republika Srpska,4.0
2010,"Number of new cases of HIV per 100,000 population",Number,Republika Srpska,0.279127281
2010,"Number of caesarean sections per 1,000 live births",Number,Republika Srpska,204.9
2010,Number of beds in hospitals,Number,Republika Srpska,4370.0
2010,"Number of beds in hospitals per 100,000 population",Number,Republika Srpska,304.9465541
2010,Number of medical doctors providing health care in public institutions,Number,Republika Srpska,2185.0
2010,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,Republika Srpska,152.4732771
2010,Number of general practitioners,Number,Republika Srpska,655.0
2010,Number of population per general practitioner,Number,Republika Srpska,2187.844275
2010,Number of midwives,Number,Republika Srpska,395.0
2010,Total population (as per Public Health Institute or NSO reports),Number,Republika Srpska,1433038.0
2010,Male population,Number,Republika Srpska,697524.0
2010,Female population,Number,Republika Srpska,735514.0
2010,Total population (as per Public Health Institute or NSO reports),Number,Brčko District of BiH,83995.0
2010,Male population,Number,Brčko District of BiH,41609.0
2010,Female population,Number,Brčko District of BiH,42386.0
2011,Number of new cases of cervical cancer,Number,BiH,299.0
2011,Number of new cases of female breast cancer,Number,BiH,852.0
2011,Number of new cases of syphilis,Number,BiH,30.0
2011,Number of new cases of gonorrhea,Number,BiH,2.0
2011,Number of new cases of AIDS clinically diagnosed,Number,BiH,7.0
2011,Number of new cases of HIV,Number,BiH,25.0
2011,Number of caesarean sections,Number,BiH,4598.0
2011,Number of beds in hospitals,Number,BiH,13001.0
2011,Number of medical doctors providing health care in public institutions,Number,BiH,6729.0
2011,Number of general practitioners,Number,BiH,1179.0
2011,Number of midwives,Number,BiH,1224.0
2011,Number of new cases of cervical cancer,Number,FBiH,123.0
2011,"Number of new cases of female breast cancer per 100,000 female population",Number,FBiH,10.31430972
2011,Number of new cases of female breast cancer,Number,FBiH,419.0
2011,"Number of new cases of female breast cancer per 100,000 female population",Number,FBiH,35.13573799
2011,Number of new cases of syphilis,Number,FBiH,5.0
2011,Number of new cases of AIDS clinically diagnosed,Number,FBiH,5.0
2011,Number of new cases of HIV,Number,FBiH,20.0
2011,"Number of new cases of HIV per 100,000 population",Number,FBiH,0.855333216
2011,Number of caesarean sections,Number,FBiH,4598.0
2011,"Number of caesarean sections per 1,000 live births",Number,FBiH,217.3
2011,Number of beds in hospitals,Number,FBiH,8598.0
2011,"Number of beds in hospitals per 100,000 population",Number,FBiH,367.7077497
2011,Number of medical doctors providing health care in public institutions,Number,FBiH,4443.0
2011,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,FBiH,190.012274
2011,Number of general practitioners,Number,FBiH,516.0
2011,Number of population per general practitioner,Number,FBiH,4531.531008
2011,Number of midwives,Number,FBiH,834.0
2011,Total population (as per Public Health Institute or NSO reports),Number,FBiH,2338270.0
2011,Male population,Number,FBiH,1145752.0
2011,Female population,Number,FBiH,1192518.0
2011,Number of new cases of cervical cancer,Number,Republika Srpska,176.0
2011,"Number of new cases of female breast cancer per 100,000 female population",Number,Republika Srpska,23.98525997
2011,Number of new cases of female breast cancer,Number,Republika Srpska,433.0
2011,"Number of new cases of female breast cancer per 100,000 female population",Number,Republika Srpska,59.00919072
2011,Number of new cases of syphilis,Number,Republika Srpska,25.0
2011,Number of new cases of gonorrhea,Number,Republika Srpska,2.0
2011,Number of new cases of AIDS clinically diagnosed,Number,Republika Srpska,2.0
2011,Number of new cases of HIV,Number,Republika Srpska,5.0
2011,"Number of new cases of HIV per 100,000 population",Number,Republika Srpska,0.349731546
2011,"Number of caesarean sections per 1,000 live births",Number,Republika Srpska,218.3
2011,Number of beds in hospitals,Number,Republika Srpska,4403.0
2011,"Number of beds in hospitals per 100,000 population",Number,Republika Srpska,307.9735995
2011,Number of medical doctors providing health care in public institutions,Number,Republika Srpska,2286.0
2011,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,Republika Srpska,159.8972629
2011,Number of general practitioners,Number,Republika Srpska,663.0
2011,Number of population per general practitioner,Number,Republika Srpska,2156.361991
2011,Number of midwives,Number,Republika Srpska,390.0
2011,Total population (as per Public Health Institute or NSO reports),Number,Republika Srpska,1429668.0
2011,Male population,Number,Republika Srpska,695884.0
2011,Female population,Number,Republika Srpska,733784.0
2011,Total population (as per Public Health Institute or NSO reports),Number,Brčko District of BiH,83723.0
2011,Male population,Number,Brčko District of BiH,41441.0
2011,Female population,Number,Brčko District of BiH,42282.0
2012,Number of new cases of cervical cancer,Number,BiH,174.0
2012,Number of new cases of female breast cancer,Number,BiH,488.0
2012,Number of new cases of syphilis,Number,BiH,18.0
2012,Number of new cases of gonorrhea,Number,BiH,4.0
2012,Number of new cases of AIDS clinically diagnosed,Number,BiH,4.0
2012,Number of new cases of HIV,Number,BiH,25.0
2012,Number of caesarean sections,Number,BiH,4823.0
2012,Number of beds in hospitals,Number,BiH,13107.0
2012,Number of medical doctors providing health care in public institutions,Number,BiH,6874.0
2012,Number of general practitioners,Number,BiH,1274.0
2012,Number of midwives,Number,BiH,1244.0
2012,Number of new cases of cervical cancer,Number,FBiH,174.0
2012,"Number of new cases of female breast cancer per 100,000 female population",Number,FBiH,14.77548899
2012,Number of new cases of female breast cancer,Number,FBiH,488.0
2012,"Number of new cases of female breast cancer per 100,000 female population",Number,FBiH,41.43930246
2012,Number of new cases of syphilis,Number,FBiH,6.0
2012,Number of new cases of AIDS clinically diagnosed,Number,FBiH,3.0
2012,Number of new cases of HIV,Number,FBiH,17.0
2012,"Number of new cases of HIV per 100,000 population",Number,FBiH,0.727031057
2012,Number of caesarean sections,Number,FBiH,4823.0
2012,"Number of caesarean sections per 1,000 live births",Number,FBiH,232.3
2012,Number of beds in hospitals,Number,FBiH,8549.0
2012,"Number of beds in hospitals per 100,000 population",Number,FBiH,365.6110888
2012,Number of medical doctors providing health care in public institutions,Number,FBiH,4519.0
2012,"Number of medical doctors providing health care in public institutions per 100,000 population",Number,FBiH,193.2619617
