Year,AGE,MARRIAGE_BIRTH,UNIT_MEASURE,Entity,Value
2002,27 - 19,in_marriage_birth,,RS,585.0
2002,28 - 19,out_of_marriage_birth,,RS,4.0
2002,29 - 19,out_of_marriage_birth,,RS,202.0
2002,32 - 19,total,,RS,4.0
2002,33 - 19,total,,RS,787.0
2002,27 - 19,in_marriage_birth,,BiH,585.0
2002,28 - 19,out_of_marriage_birth,,BiH,4.0
2002,29 - 19,out_of_marriage_birth,,BiH,202.0
2002,30 - 19,unknown_marital_status_birth,,BiH,10.0
2002,31 - 19,unknown_marital_status_birth,,BiH,1561.0
2002,32 - 19,total,,BiH,14.0
2002,33 - 19,total,,BiH,2348.0
2003,30 - 19,unknown_marital_status_birth,,FBIH,9.0
2003,31 - 19,unknown_marital_status_birth,,FBIH,1457.0
2003,32 - 19,total,,FBIH,9.0
2003,33 - 19,total,,FBIH,1457.0
2003,27 - 19,in_marriage_birth,,RS,459.0
2003,29 - 19,out_of_marriage_birth,,RS,229.0
2003,33 - 19,total,,RS,688.0
2003,27 - 19,in_marriage_birth,,BiH,459.0
2003,29 - 19,out_of_marriage_birth,,BiH,229.0
2003,30 - 19,unknown_marital_status_birth,,BiH,9.0
2003,31 - 19,unknown_marital_status_birth,,BiH,1457.0
2003,32 - 19,total,,BiH,9.0
2003,33 - 19,total,,BiH,2145.0
2004,30 - 19,unknown_marital_status_birth,,FBIH,7.0
2004,31 - 19,unknown_marital_status_birth,,FBIH,1396.0
2004,32 - 19,total,,FBIH,7.0
2004,33 - 19,total,,FBIH,1396.0
2004,26 - 19,in_marriage_birth,,RS,1.0
2004,27 - 19,in_marriage_birth,,RS,477.0
2004,28 - 19,out_of_marriage_birth,,RS,3.0
2004,29 - 19,out_of_marriage_birth,,RS,220.0
2004,32 - 19,total,,RS,4.0
2004,33 - 19,total,,RS,697.0
2004,32 - 19,unknown_marital_status_birth,,BD,1.0
2004,33 - 19,unknown_marital_status_birth,,BD,43.0
2004,32 - 19,total,,BD,1.0
2004,33 - 19,total,,BD,43.0
2004,26 - 19,in_marriage_birth,,BiH,1.0
2004,27 - 19,in_marriage_birth,,BiH,477.0
2004,28 - 19,out_of_marriage_birth,,BiH,3.0
2004,29 - 19,out_of_marriage_birth,,BiH,220.0
2004,30 - 19,unknown_marital_status_birth,,BiH,8.0
2004,31 - 19,unknown_marital_status_birth,,BiH,1439.0
2004,32 - 19,total,,BiH,12.0
2004,33 - 19,total,,BiH,2136.0
2005,30 - 19,unknown_marital_status_birth,,FBIH,2.0
2005,31 - 19,unknown_marital_status_birth,,FBIH,1296.0
2005,32 - 19,total,,FBIH,2.0
2005,33 - 19,total,,FBIH,1296.0
2005,27 - 19,in_marriage_birth,,RS,409.0
2005,29 - 19,out_of_marriage_birth,,RS,250.0
2005,32 - 19,total,,RS,3.0
2005,33 - 19,total,,RS,659.0
2005,30 - 19,unknown_marital_status_birth,,BD,1.0
2005,31 - 19,unknown_marital_status_birth,,BD,52.0
2005,32 - 19,total,,BD,1.0
2005,33 - 19,total,,BD,52.0
2005,27 - 19,in_marriage_birth,,BiH,409.0
2005,28 - 19,out_of_marriage_birth,,BiH,3.0
2005,29 - 19,out_of_marriage_birth,,BiH,250.0
2005,30 - 19,unknown_marital_status_birth,,BiH,3.0
2005,31 - 19,unknown_marital_status_birth,,BiH,1348.0
2005,32 - 19,total,,BiH,6.0
2005,33 - 19,total,,BiH,2007.0
2006,30 - 19,unknown_marital_status_birth,,FBIH,4.0
2006,31 - 19,unknown_marital_status_birth,,FBIH,1399.0
2006,32 - 19,total,,FBIH,4.0
2006,33 - 19,total,,FBIH,1399.0
2006,27 - 19,in_marriage_birth,,RS,356.0
2006,28 - 19,out_of_marriage_birth,,RS,3.0
2006,29 - 19,out_of_marriage_birth,,RS,230.0
2006,32 - 19,total,,RS,3.0
2006,33 - 19,total,,RS,586.0
2006,30 - 19,unknown_marital_status_birth,,BD,1.0
2006,31 - 19,unknown_marital_status_birth,,BD,57.0
2006,32 - 19,total,,BD,1.0
2006,33 - 19,total,,BD,57.0
2006,27 - 19,in_marriage_birth,,BiH,356.0
2006,28 - 19,out_of_marriage_birth,,BiH,3.0
2006,29 - 19,out_of_marriage_birth,,BiH,230.0
2006,30 - 19,unknown_marital_status_birth,,BiH,5.0
2006,31 - 19,unknown_marital_status_birth,,BiH,1456.0
2006,32 - 19,total,,BiH,8.0
2006,33 - 19,total,,BiH,2042.0
2007,30 - 19,unknown_marital_status_birth,,FBIH,2.0
2007,31 - 19,unknown_marital_status_birth,,FBIH,1357.0
2007,32 - 19,total,,FBIH,2.0
2007,33 - 19,total,,FBIH,1357.0
2007,27 - 19,in_marriage_birth,,RS,362.0
2007,28 - 19,out_of_marriage_birth,,RS,3.0
2007,29 - 19,out_of_marriage_birth,,RS,195.0
2007,32 - 19,total,,RS,3.0
2007,33 - 19,total,,RS,557.0
2007,30 - 19,unknown_marital_status_birth,,BD,2.0
2007,31 - 19,unknown_marital_status_birth,,BD,57.0
2007,32 - 19,total,,BD,2.0
2007,33 - 19,total,,BD,57.0
2007,27 - 19,in_marriage_birth,,BiH,362.0
2007,28 - 19,out_of_marriage_birth,,BiH,3.0
2007,29 - 19,out_of_marriage_birth,,BiH,195.0
2007,30 - 19,unknown_marital_status_birth,,BiH,4.0
2007,31 - 19,unknown_marital_status_birth,,BiH,1414.0
2007,32 - 19,total,,BiH,7.0
2007,33 - 19,total,,BiH,1971.0
2008,30 - 19,unknown_marital_status_birth,,FBIH,2.0
2008,31 - 19,unknown_marital_status_birth,,FBIH,1507.0
2008,32 - 19,total,,FBIH,2.0
2008,33 - 19,total,,FBIH,1507.0
2008,27 - 19,in_marriage_birth,,RS,327.0
2008,28 - 19,out_of_marriage_birth,,RS,4.0
2008,29 - 19,out_of_marriage_birth,,RS,209.0
2008,32 - 19,total,,RS,4.0
2008,33 - 19,total,,RS,536.0
2008,32 - 19,total,,BD,7.0
2008,33 - 19,total,,BD,53.0
2008,26 - 19,in_marriage_birth,,BiH,6.0
2008,27 - 19,in_marriage_birth,,BiH,361.0
2008,28 - 19,out_of_marriage_birth,,BiH,5.0
2008,29 - 19,out_of_marriage_birth,,BiH,228.0
2008,30 - 19,unknown_marital_status_birth,,BiH,2.0
2008,31 - 19,unknown_marital_status_birth,,BiH,1507.0
2008,32 - 19,total,,BiH,13.0
2008,33 - 19,total,,BiH,2096.0
2009,30 - 19,unknown_marital_status_birth,,FBIH,4.0
2009,31 - 19,unknown_marital_status_birth,,FBIH,1411.0
2009,32 - 19,total,,FBIH,4.0
2009,33 - 19,total,,FBIH,1411.0
2009,27 - 19,in_marriage_birth,,RS,296.0
2009,28 - 19,out_of_marriage_birth,,RS,3.0
2009,29 - 19,out_of_marriage_birth,,RS,203.0
2009,32 - 19,total,,RS,3.0
2009,33 - 19,total,,RS,499.0
2009,26 - 19,in_marriage_birth,,BD,5.0
2009,27 - 19,in_marriage_birth,,BD,53.0
2009,29 - 19,out_of_marriage_birth,,BD,5.0
2009,32 - 19,total,,BD,5.0
2009,33 - 19,total,,BD,58.0
2009,26 - 19,in_marriage_birth,,BiH,5.0
2009,27 - 19,in_marriage_birth,,BiH,349.0
2009,28 - 19,out_of_marriage_birth,,BiH,3.0
2009,29 - 19,out_of_marriage_birth,,BiH,208.0
2009,30 - 19,unknown_marital_status_birth,,BiH,4.0
2009,31 - 19,unknown_marital_status_birth,,BiH,1411.0
2009,32 - 19,total,,BiH,12.0
2009,33 - 19,total,,BiH,1968.0
2010,30 - 19,unknown_marital_status_birth,,FBIH,5.0
2010,31 - 19,unknown_marital_status_birth,,FBIH,1285.0
2010,32 - 19,total,,FBIH,5.0
2010,33 - 19,total,,FBIH,1285.0
2010,27 - 19,in_marriage_birth,,RS,252.0
2010,29 - 19,out_of_marriage_birth,,RS,179.0
2010,31 - 19,unknown_marital_status_birth,,RS,5.0
2010,33 - 19,total,,RS,436.0
2010,26 - 19,in_marriage_birth,,BD,2.0
2010,27 - 19,in_marriage_birth,,BD,43.0
2010,28 - 19,out_of_marriage_birth,,BD,1.0
2010,29 - 19,out_of_marriage_birth,,BD,21.0
2010,32 - 19,total,,BD,3.0
2010,33 - 19,total,,BD,64.0
2010,26 - 19,in_marriage_birth,,BiH,2.0
2010,27 - 19,in_marriage_birth,,BiH,295.0
2010,28 - 19,out_of_marriage_birth,,BiH,1.0
2010,29 - 19,out_of_marriage_birth,,BiH,200.0
2010,30 - 19,unknown_marital_status_birth,,BiH,5.0
2010,31 - 19,unknown_marital_status_birth,,BiH,1290.0
2010,32 - 19,total,,BiH,8.0
2010,33 - 19,total,,BiH,1785.0
2011,30 - 19,unknown_marital_status_birth,,FBIH,5.0
2011,31 - 19,unknown_marital_status_birth,,FBIH,1136.0
2011,32 - 19,total,,FBIH,5.0
2011,33 - 19,total,,FBIH,1136.0
2011,27 - 19,in_marriage_birth,,RS,238.0
2011,29 - 19,out_of_marriage_birth,,RS,169.0
2011,33 - 19,total,,RS,407.0
2011,30 - 19,unknown_marital_status_birth,,BD,4.0
2011,31 - 19,unknown_marital_status_birth,,BD,71.0
2011,32 - 19,total,,BD,4.0
2011,33 - 19,total,,BD,71.0
2011,27 - 19,in_marriage_birth,,BiH,238.0
2011,29 - 19,out_of_marriage_birth,,BiH,169.0
2011,30 - 19,unknown_marital_status_birth,,BiH,9.0
2011,31 - 19,unknown_marital_status_birth,,BiH,1207.0
2011,32 - 19,total,,BiH,9.0
2011,33 - 19,total,,BiH,1614.0
2012,27 - 19,in_marriage_birth,,FBIH,681.0
2012,28 - 19,out_of_marriage_birth,,FBIH,2.0
2012,29 - 19,out_of_marriage_birth,,FBIH,359.0
2012,32 - 19,total,,FBIH,2.0
2012,33 - 19,total,,FBIH,1040.0
2012,27 - 19,in_marriage_birth,,RS,240.0
2012,28 - 19,out_of_marriage_birth,,RS,1.0
2012,29 - 19,out_of_marriage_birth,,RS,211.0
2012,31 - 19,unknown_marital_status_birth,,RS,1.0
2012,32 - 19,total,,RS,1.0
2012,33 - 19,total,,RS,452.0
2012,26 - 19,in_marriage_birth,,BD,1.0
2012,27 - 19,in_marriage_birth,,BD,22.0
2012,28 - 19,out_of_marriage_birth,,BD,1.0
2012,29 - 19,out_of_marriage_birth,,BD,32.0
2012,32 - 19,total,,BD,2.0
2012,33 - 19,total,,BD,54.0
2012,26 - 19,in_marriage_birth,,BiH,1.0
2012,27 - 19,in_marriage_birth,,BiH,943.0
2012,28 - 19,out_of_marriage_birth,,BiH,4.0
2012,29 - 19,out_of_marriage_birth,,BiH,602.0
2012,31 - 19,unknown_marital_status_birth,,BiH,1.0
2012,32 - 19,total,,BiH,5.0
2012,33 - 19,total,,BiH,1546.0
2013,27 - 19,in_marriage_birth,,FBIH,592.0
2013,28 - 19,out_of_marriage_birth,,FBIH,4.0
2013,29 - 19,out_of_marriage_birth,,FBIH,358.0
2013,32 - 19,total,,FBIH,4.0
2013,33 - 19,total,,FBIH,950.0
2013,27 - 19,in_marriage_birth,,RS,190.0
2013,29 - 19,out_of_marriage_birth,,RS,186.0
2013,33 - 19,total,,RS,376.0
2013,27 - 19,in_marriage_birth,,BD,36.0
2013,29 - 19,out_of_marriage_birth,,BD,20.0
2013,32 - 19,total,,BD,1.0
2013,33 - 19,total,,BD,56.0
2013,27 - 19,in_marriage_birth,,BiH,818.0
2013,28 - 19,out_of_marriage_birth,,BiH,5.0
2013,29 - 19,out_of_marriage_birth,,BiH,564.0
2013,32 - 19,total,,BiH,5.0
2013,33 - 19,total,,BiH,1382.0
2014,27 - 19,in_marriage_birth,,FBIH,596.0
2014,28 - 19,out_of_marriage_birth,,FBIH,3.0
2014,29 - 19,out_of_marriage_birth,,FBIH,336.0
2014,32 - 19,total,,FBIH,3.0
2014,33 - 19,total,,FBIH,932.0
2014,27 - 19,in_marriage_birth,,RS,207.0
2014,29 - 19,out_of_marriage_birth,,RS,155.0
2014,33 - 19,total,,RS,362.0
2014,27 - 19,in_marriage_birth,,BD,35.0
2014,28 - 19,out_of_marriage_birth,,BD,1.0
2014,29 - 19,out_of_marriage_birth,,BD,13.0
2014,32 - 19,total,,BD,1.0
2014,33 - 19,total,,BD,48.0
2014,27 - 19,in_marriage_birth,,BiH,838.0
2014,28 - 19,out_of_marriage_birth,,BiH,4.0
2014,29 - 19,out_of_marriage_birth,,BiH,504.0
2014,32 - 19,total,,BiH,4.0
2014,33 - 19,total,,BiH,1342.0
2015,27 - 19,in_marriage_birth,,FBIH,611.0
2015,28 - 19,out_of_marriage_birth,,FBIH,3.0
2015,29 - 19,out_of_marriage_birth,,FBIH,337.0
2015,32 - 19,total,,FBIH,3.0
2015,33 - 19,total,,FBIH,948.0
2015,27 - 19,in_marriage_birth,,RS,171.0
2015,28 - 19,out_of_marriage_birth,,RS,1.0
2015,29 - 19,out_of_marriage_birth,,RS,140.0
2015,32 - 19,total,,RS,1.0
2015,33 - 19,total,,RS,311.0
2015,26 - 19,in_marriage_birth,,BD,1.0
2015,27 - 19,in_marriage_birth,,BD,50.0
2015,29 - 19,out_of_marriage_birth,,BD,5.0
2015,32 - 19,total,,BD,1.0
2015,33 - 19,total,,BD,55.0
2015,26 - 19,in_marriage_birth,,BiH,1.0
2015,27 - 19,in_marriage_birth,,BiH,832.0
2015,28 - 19,out_of_marriage_birth,,BiH,4.0
2015,29 - 19,out_of_marriage_birth,,BiH,482.0
2015,32 - 19,total,,BiH,5.0
2015,33 - 19,total,,BiH,1314.0
2016,27 - 19,in_marriage_birth,,FBIH,563.0
2016,28 - 19,out_of_marriage_birth,,FBIH,3.0
2016,29 - 19,out_of_marriage_birth,,FBIH,343.0
2016,32 - 19,total,,FBIH,3.0
2016,33 - 19,total,,FBIH,906.0
2016,27 - 19,in_marriage_birth,,RS,189.0
2016,28 - 19,out_of_marriage_birth,,RS,1.0
2016,29 - 19,out_of_marriage_birth,,RS,148.0
2016,32 - 19,total,,RS,1.0
2016,33 - 19,total,,RS,337.0
2016,27 - 19,in_marriage_birth,,BD,41.0
2016,29 - 19,out_of_marriage_birth,,BD,4.0
2016,33 - 19,total,,BD,45.0
2016,27 - 19,in_marriage_birth,,BiH,793.0
2016,28 - 19,out_of_marriage_birth,,BiH,4.0
2016,29 - 19,out_of_marriage_birth,,BiH,495.0
2016,32 - 19,total,,BiH,4.0
2016,33 - 19,total,,BiH,1288.0
2017,30 - 19,unknown_marital_status_birth,,FBIH,6.0
2017,31 - 19,unknown_marital_status_birth,,FBIH,734.0
2017,32 - 19,total,,FBIH,6.0
2017,33 - 19,total,,FBIH,734.0
2017,27 - 19,in_marriage_birth,,RS,170.0
2017,29 - 19,out_of_marriage_birth,,RS,110.0
2017,33 - 19,total,,RS,280.0
2017,26 - 19,in_marriage_birth,,BD,4.0
2017,27 - 19,in_marriage_birth,,BD,36.0
2017,29 - 19,out_of_marriage_birth,,BD,14.0
2017,32 - 19,total,,BD,4.0
2017,33 - 19,total,,BD,50.0
2017,26 - 19,in_marriage_birth,,BiH,4.0
2017,27 - 19,in_marriage_birth,,BiH,206.0
2017,29 - 19,out_of_marriage_birth,,BiH,124.0
2017,30 - 19,unknown_marital_status_birth,,BiH,6.0
2017,31 - 19,unknown_marital_status_birth,,BiH,734.0
2017,32 - 19,total,,BiH,10.0
2017,33 - 19,total,,BiH,1064.0
2018,30 - 19,unknown_marital_status_birth,,FBIH,4.0
2018,31 - 19,unknown_marital_status_birth,,FBIH,643.0
2018,32 - 19,total,,FBIH,4.0
2018,33 - 19,total,,FBIH,643.0
2018,27 - 19,in_marriage_birth,,RS,118.0
2018,28 - 19,out_of_marriage_birth,,RS,1.0
2018,29 - 19,out_of_marriage_birth,,RS,101.0
2018,32 - 19,total,,RS,1.0
2018,33 - 19,total,,RS,219.0
2018,27 - 19,in_marriage_birth,,BD,22.0
2018,29 - 19,out_of_marriage_birth,,BD,13.0
2018,33 - 19,total,,BD,35.0
2018,27 - 19,in_marriage_birth,,BiH,140.0
2018,28 - 19,out_of_marriage_birth,,BiH,1.0
2018,29 - 19,out_of_marriage_birth,,BiH,114.0
2018,30 - 19,unknown_marital_status_birth,,BiH,4.0
2018,31 - 19,unknown_marital_status_birth,,BiH,643.0
2018,32 - 19,total,,BiH,5.0
2018,33 - 19,total,,BiH,897.0
2019,30 - 19,unknown_marital_status_birth,,FBIH,1.0
2019,31 - 19,unknown_marital_status_birth,,FBIH,580.0
2019,32 - 19,total,,FBIH,1.0
2019,33 - 19,total,,FBIH,580.0
2019,27 - 19,in_marriage_birth,,RS,123.0
2019,28 - 19,out_of_marriage_birth,,RS,1.0
2019,29 - 19,out_of_marriage_birth,,RS,100.0
2019,32 - 19,total,,RS,1.0
2019,33 - 19,total,,RS,223.0
2019,26 - 19,in_marriage_birth,,BD,1.0
2019,27 - 19,in_marriage_birth,,BD,24.0
2019,28 - 19,out_of_marriage_birth,,BD,1.0
2019,29 - 19,out_of_marriage_birth,,BD,18.0
2019,32 - 19,total,,BD,2.0
2019,33 - 19,total,,BD,42.0
2019,26 - 19,in_marriage_birth,,BiH,1.0
2019,27 - 19,in_marriage_birth,,BiH,147.0
2019,28 - 19,out_of_marriage_birth,,BiH,2.0
2019,29 - 19,out_of_marriage_birth,,BiH,118.0
2019,30 - 19,unknown_marital_status_birth,,BiH,1.0
2019,31 - 19,unknown_marital_status_birth,,BiH,580.0
2019,32 - 19,total,,BiH,4.0
2019,33 - 19,total,,BiH,845.0
