Year,health_indicators,UNIT_MEASURE,Ентитет,Value
2004,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,BiH,1.838
2004,number_of_general_practitioners,Број,BiH,359.0
2004,number_of_new_cases_of_syphilis,Број,FBiH,18.0
2004,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,FBiH,3.0
2004,number_of_new_cases_of_HIV,Број,FBiH,10.0
2004,number_of_new_cases_of_HIV_per_100000_population,Број,FBiH,0.43
2004,number_of_new_cases_of_HIV,Број,Република Српска,1.0
2004,number_of_new_cases_of_HIV_per_100000_population,Број,Република Српска,0.08
2004,number_of_beds_in_hospitals,Број,Република Српска,3.652
2004,number_of_beds_in_hospitals_per_100000_population,Број,Република Српска,307.0
2004,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,Република Српска,1.838
2004,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,Република Српска,154.0
2004,number_of_general_practitioners,Број,Република Српска,359.0
2004,number_of_population_per_general_practitioner,Број,Република Српска,3.316
2005,number_of_new_cases_of_cervical_cancer,Број,BiH,142.0
2005,number_of_new_cases_of_female_breast_cancer,Број,BiH,351.0
2005,number_of_new_cases_of_syphilis,Број,BiH,18.0
2005,number_of_new_cases_of_gonorrhea,Број,BiH,3.0
2005,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,BiH,7.0
2005,number_of_new_cases_of_HIV,Број,BiH,11.0
2005,number_of_beds_in_hospitals,Број,BiH,3.804
2005,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,BiH,5.54
2005,number_of_general_practitioners,Број,BiH,399.0
2005,number_of_midwives,Број,BiH,421.0
2005,number_of_new_cases_of_syphilis,Број,FBiH,9.0
2005,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,FBiH,4.0
2005,number_of_new_cases_of_HIV,Број,FBiH,11.0
2005,number_of_new_cases_of_HIV_per_100000_population,Број,FBiH,0.47
2005,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,FBiH,3.683
2005,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,FBiH,158.0
2005,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,FBiH,2328434.0
2005,male_population,Број,FBiH,1101958.0
2005,female_population,Број,FBiH,1226476.0
2005,number_of_new_cases_of_cervical_cancer,Број,Република Српска,142.0
2005,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Број,Република Српска,19.12767047
2005,number_of_new_cases_of_female_breast_cancer,Број,Република Српска,351.0
2005,number_of_new_cases_of_female_breast_cancer_per_100000,Број,Република Српска,47.28036854
2005,number_of_new_cases_of_syphilis,Број,Република Српска,9.0
2005,number_of_new_cases_of_gonorrhea,Број,Република Српска,3.0
2005,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,Република Српска,3.0
2005,number_of_beds_in_hospitals,Број,Република Српска,3804.0
2005,number_of_beds_in_hospitals_per_100000_population,Број,Република Српска,262.9946966
2005,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,Република Српска,1857.0
2005,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,Република Српска,128.3862123
2005,number_of_general_practitioners,Број,Република Српска,399.0
2005,number_of_population_per_general_practitioner,Број,Република Српска,3625.105263
2005,number_of_midwives,Број,Република Српска,421.0
2005,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Република Српска,1446417.0
2005,male_population,Број,Република Српска,704037.0
2005,female_population,Број,Република Српска,742380.0
2005,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Брчко Дистрикт БиХ,83930.0
2005,male_population,Број,Брчко Дистрикт БиХ,41785.0
2005,female_population,Број,Брчко Дистрикт БиХ,42145.0
2006,number_of_new_cases_of_cervical_cancer,Број,BiH,139.0
2006,number_of_new_cases_of_female_breast_cancer,Број,BiH,331.0
2006,number_of_new_cases_of_syphilis,Број,BiH,15.0
2006,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,BiH,3.0
2006,number_of_new_cases_of_HIV,Број,BiH,17.0
2006,number_of_beds_in_hospitals,Број,BiH,4017.0
2006,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,BiH,5684.0
2006,number_of_general_practitioners,Број,BiH,467.0
2006,number_of_midwives,Број,BiH,409.0
2006,number_of_new_cases_of_syphilis,Број,FBiH,15.0
2006,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,FBiH,3.0
2006,number_of_new_cases_of_HIV,Број,FBiH,12.0
2006,number_of_new_cases_of_HIV_per_100000_population,Број,FBiH,0.516125036
2006,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,FBiH,3767.0
2006,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,FBiH,162.020251
2006,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,FBiH,2325018.0
2006,male_population,Број,FBiH,1137682.0
2006,female_population,Број,FBiH,1187336.0
2006,number_of_new_cases_of_cervical_cancer,Број,Република Српска,139.0
2006,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Број,Република Српска,18.75866239
2006,number_of_new_cases_of_female_breast_cancer,Број,Република Српска,331.0
2006,number_of_new_cases_of_female_breast_cancer_per_100000,Број,Република Српска,44.66990827
2006,number_of_new_cases_of_HIV,Број,Република Српска,5.0
2006,number_of_new_cases_of_HIV_per_100000_population,Број,Република Српска,0.346330181
2006,number_of_beds_in_hospitals,Број,Република Српска,4017.0
2006,number_of_beds_in_hospitals_per_100000_population,Број,Република Српска,278.2416678
2006,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,Република Српска,1917.0
2006,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,Република Српска,132.7829916
2006,number_of_general_practitioners,Број,Република Српска,467.0
2006,number_of_population_per_general_practitioner,Број,Република Српска,3091.453961
2006,number_of_midwives,Број,Република Српска,409.0
2006,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Република Српска,1443709.0
2006,male_population,Број,Република Српска,702718.0
2006,female_population,Број,Република Српска,740991.0
2006,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Брчко Дистрикт БиХ,84100.0
2006,male_population,Број,Брчко Дистрикт БиХ,41866.0
2006,female_population,Број,Брчко Дистрикт БиХ,42234.0
2007,number_of_new_cases_of_cervical_cancer,Број,BiH,362.0
2007,number_of_new_cases_of_female_breast_cancer,Број,BiH,918.0
2007,number_of_new_cases_of_syphilis,Број,BiH,22.0
2007,number_of_new_cases_of_gonorrhea,Број,BiH,3.0
2007,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,BiH,4.0
2007,number_of_new_cases_of_HIV,Број,BiH,5.0
2007,number_of_beds_in_hospitals,Број,BiH,12674.0
2007,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,BiH,5967.0
2007,number_of_general_practitioners,Број,BiH,1037.0
2007,number_of_midwives,Број,BiH,797.0
2007,number_of_new_cases_of_cervical_cancer,Број,FBiH,178.0
2007,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Број,FBiH,14.9701606
2007,number_of_new_cases_of_female_breast_cancer,Број,FBiH,521.0
2007,number_of_new_cases_of_female_breast_cancer_per_100000,Број,FBiH,43.81715547
2007,number_of_new_cases_of_syphilis,Број,FBiH,17.0
2007,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,FBiH,4.0
2007,number_of_new_cases_of_HIV,Број,FBiH,4.0
2007,number_of_new_cases_of_HIV_per_100000_population,Број,FBiH,0.171794813
2007,number_of_beds_in_hospitals,Број,FBiH,8165.0
2007,number_of_beds_in_hospitals_per_100000_population,Број,FBiH,350.6761629
2007,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,FBiH,3979.0
2007,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,FBiH,170.8928907
2007,number_of_general_practitioners,Број,FBiH,500.0
2007,number_of_population_per_general_practitioner,Број,FBiH,4656.718
2007,number_of_midwives,Број,FBiH,797.0
2007,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,FBiH,2328359.0
2007,male_population,Број,FBiH,1139327.0
2007,female_population,Број,FBiH,1189032.0
2007,number_of_new_cases_of_cervical_cancer,Број,Република Српска,184.0
2007,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Број,Република Српска,24.90124087
2007,number_of_new_cases_of_female_breast_cancer,Број,Република Српска,397.0
2007,number_of_new_cases_of_female_breast_cancer_per_100000,Број,Република Српска,53.72713383
2007,number_of_new_cases_of_syphilis,Број,Република Српска,5.0
2007,number_of_new_cases_of_gonorrhea,Број,Република Српска,3.0
2007,number_of_new_cases_of_HIV,Број,Република Српска,1.0
2007,number_of_new_cases_of_HIV_per_100000_population,Број,Република Српска,0.069460218
2007,number_of_beds_in_hospitals,Број,Република Српска,4509.0
2007,number_of_beds_in_hospitals_per_100000_population,Број,Република Српска,313.1961216
2007,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,Република Српска,1988.0
2007,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,Република Српска,138.0869128
2007,number_of_general_practitioners,Број,Република Српска,537.0
2007,number_of_population_per_general_practitioner,Број,Република Српска,2680.955307
2007,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Република Српска,1439673.0
2007,male_population,Број,Република Српска,700754.0
2007,female_population,Број,Република Српска,738919.0
2007,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Брчко Дистрикт БиХ,84258.0
2007,male_population,Број,Брчко Дистрикт БиХ,41943.0
2007,female_population,Број,Брчко Дистрикт БиХ,42315.0
2008,number_of_new_cases_of_cervical_cancer,Број,BiH,326.0
2008,number_of_new_cases_of_female_breast_cancer,Број,BiH,852.0
2008,number_of_new_cases_of_syphilis,Број,BiH,15.0
2008,number_of_new_cases_of_gonorrhea,Број,BiH,4.0
2008,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,BiH,4.0
2008,number_of_new_cases_of_HIV,Број,BiH,7.0
2008,number_of_caesarean_sections,Број,BiH,4105.0
2008,number_of_beds_in_hospitals,Број,BiH,12546.0
2008,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,BiH,6165.0
2008,number_of_general_practitioners,Број,BiH,1083.0
2008,number_of_midwives,Број,BiH,1235.0
2008,number_of_new_cases_of_cervical_cancer,Број,FBiH,131.0
2008,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Број,FBiH,11.02287204
2008,number_of_new_cases_of_female_breast_cancer,Број,FBiH,425.0
2008,number_of_new_cases_of_female_breast_cancer_per_100000,Број,FBiH,35.76122608
2008,number_of_new_cases_of_syphilis,Број,FBiH,11.0
2008,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,FBiH,4.0
2008,number_of_new_cases_of_HIV,Број,FBiH,7.0
2008,number_of_new_cases_of_HIV_per_100000_population,Број,FBiH,0.300791296
2008,number_of_caesarean_sections,Број,FBiH,4105.0
2008,number_of_caesarean_sections_per_1000_live_births,Број,FBiH,189.5
2008,number_of_beds_in_hospitals,Број,FBiH,8091.0
2008,number_of_beds_in_hospitals_per_100000_population,Број,FBiH,347.6717679
2008,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,FBiH,4117.0
2008,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,FBiH,176.9082522
2008,number_of_general_practitioners,Број,FBiH,500.0
2008,number_of_population_per_general_practitioner,Број,FBiH,4654.39
2008,number_of_midwives,Број,FBiH,818.0
2008,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,FBiH,2327195.0
2008,male_population,Број,FBiH,1138757.0
2008,female_population,Број,FBiH,1188438.0
2008,number_of_new_cases_of_cervical_cancer,Број,Република Српска,195.0
2008,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Број,Република Српска,26.43021339
2008,number_of_new_cases_of_female_breast_cancer,Број,Република Српска,427.0
2008,number_of_new_cases_of_female_breast_cancer_per_100000,Број,Република Српска,57.87539035
2008,number_of_new_cases_of_syphilis,Број,Република Српска,4.0
2008,number_of_new_cases_of_gonorrhea,Број,Република Српска,4.0
2008,number_of_beds_in_hospitals,Број,Република Српска,4455.0
2008,number_of_beds_in_hospitals_per_100000_population,Број,Република Српска,309.9180022
2008,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,Република Српска,2048.0
2008,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,Република Српска,142.4718448
2008,number_of_general_practitioners,Број,Република Српска,583.0
2008,number_of_population_per_general_practitioner,Број,Република Српска,2465.655232
2008,number_of_midwives,Број,Република Српска,417.0
2008,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Република Српска,1437477.0
2008,male_population,Број,Република Српска,699685.0
2008,female_population,Број,Република Српска,737792.0
2008,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Брчко Дистрикт БиХ,84233.0
2008,male_population,Број,Брчко Дистрикт БиХ,41897.0
2008,female_population,Број,Брчко Дистрикт БиХ,42336.0
2009,number_of_new_cases_of_cervical_cancer,Број,BiH,369.0
2009,number_of_new_cases_of_female_breast_cancer,Број,BiH,963.0
2009,number_of_new_cases_of_syphilis,Број,BiH,10.0
2009,number_of_new_cases_of_gonorrhea,Број,BiH,5.0
2009,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,BiH,2.0
2009,number_of_new_cases_of_HIV,Број,BiH,8.0
2009,number_of_caesarean_sections,Број,BiH,3806.0
2009,number_of_beds_in_hospitals,Број,BiH,12795.0
2009,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,BiH,6369.0
2009,number_of_general_practitioners,Број,BiH,1156.0
2009,number_of_midwives,Број,BiH,1226.0
2009,number_of_new_cases_of_cervical_cancer,Број,FBiH,177.0
2009,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Број,FBiH,14.89272192
2009,number_of_new_cases_of_female_breast_cancer,Број,FBiH,560.0
2009,number_of_new_cases_of_female_breast_cancer_per_100000,Број,FBiH,47.11821624
2009,number_of_new_cases_of_syphilis,Број,FBiH,5.0
2009,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,FBiH,2.0
2009,number_of_new_cases_of_HIV,Број,FBiH,4.0
2009,number_of_new_cases_of_HIV_per_100000_population,Број,FBiH,0.171871657
2009,number_of_caesarean_sections,Број,FBiH,3806.0
2009,number_of_caesarean_sections_per_1000_live_births,Број,FBiH,190.0
2009,number_of_beds_in_hospitals,Број,FBiH,8409.0
2009,number_of_beds_in_hospitals_per_100000_population,Број,FBiH,361.31719
2009,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,FBiH,4268.0
2009,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,FBiH,183.3870575
2009,number_of_general_practitioners,Број,FBiH,527.0
2009,number_of_population_per_general_practitioner,Број,FBiH,4416.163188
2009,number_of_midwives,Број,FBiH,820.0
2009,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,FBiH,2327318.0
2009,male_population,Број,FBiH,1138818.0
2009,female_population,Број,FBiH,1188500.0
2009,number_of_new_cases_of_cervical_cancer,Број,Република Српска,192.0
2009,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Број,Република Српска,26.06528267
2009,number_of_new_cases_of_female_breast_cancer,Број,Република Српска,403.0
2009,number_of_new_cases_of_female_breast_cancer_per_100000,Број,Република Српска,54.70994228
2009,number_of_new_cases_of_syphilis,Број,Република Српска,5.0
2009,number_of_new_cases_of_gonorrhea,Број,Република Српска,5.0
2009,number_of_new_cases_of_HIV,Број,Република Српска,4.0
2009,number_of_new_cases_of_HIV_per_100000_population,Број,Република Српска,0.278710879
2009,number_of_beds_in_hospitals,Број,Република Српска,4386.0
2009,number_of_beds_in_hospitals_per_100000_population,Број,Република Српска,305.6064784
2009,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,Република Српска,2101.0
2009,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,Република Српска,146.392889
2009,number_of_general_practitioners,Број,Република Српска,629.0
2009,number_of_population_per_general_practitioner,Број,Република Српска,2281.683625
2009,number_of_midwives,Број,Република Српска,406.0
2009,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Република Српска,1435179.0
2009,male_population,Број,Република Српска,698567.0
2009,female_population,Број,Република Српска,736612.0
2009,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Брчко Дистрикт БиХ,84260.0
2009,male_population,Број,Брчко Дистрикт БиХ,41830.0
2009,female_population,Број,Брчко Дистрикт БиХ,42430.0
2010,number_of_new_cases_of_cervical_cancer,Број,BiH,424.0
2010,number_of_new_cases_of_female_breast_cancer,Број,BiH,876.0
2010,number_of_new_cases_of_syphilis,Број,BiH,22.0
2010,number_of_new_cases_of_gonorrhea,Број,BiH,4.0
2010,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,BiH,6.0
2010,number_of_new_cases_of_HIV,Број,BiH,7.0
2010,number_of_caesarean_sections,Број,BiH,3080.0
2010,number_of_beds_in_hospitals,Број,BiH,12967.0
2010,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,BiH,6540.0
2010,number_of_general_practitioners,Број,BiH,1209.0
2010,number_of_midwives,Број,BiH,1226.0
2010,number_of_new_cases_of_cervical_cancer,Број,FBiH,151.0
2010,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Број,FBiH,12.64888619
2010,number_of_new_cases_of_female_breast_cancer,Број,FBiH,465.0
2010,number_of_new_cases_of_female_breast_cancer_per_100000,Број,FBiH,38.95186806
2010,number_of_new_cases_of_syphilis,Број,FBiH,7.0
2010,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,FBiH,3.0
2010,number_of_new_cases_of_HIV,Број,FBiH,3.0
2010,number_of_new_cases_of_HIV_per_100000_population,Број,FBiH,0.128333462
2010,number_of_caesarean_sections,Број,FBiH,3080.0
2010,number_of_caesarean_sections_per_1000_live_births,Број,FBiH,157.8
2010,number_of_beds_in_hospitals,Број,FBiH,8597.0
2010,number_of_beds_in_hospitals_per_100000_population,Број,FBiH,367.7609233
2010,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,FBiH,4355.0
2010,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,FBiH,186.2974085
2010,number_of_general_practitioners,Број,FBiH,554.0
2010,number_of_population_per_general_practitioner,Број,FBiH,4219.602888
2010,number_of_midwives,Број,FBiH,831.0
2010,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,FBiH,2337660.0
2010,male_population,Број,FBiH,1143879.0
2010,female_population,Број,FBiH,1193781.0
2010,number_of_new_cases_of_cervical_cancer,Број,Република Српска,273.0
2010,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Број,Република Српска,37.11690056
2010,number_of_new_cases_of_female_breast_cancer,Број,Република Српска,411.0
2010,number_of_new_cases_of_female_breast_cancer_per_100000,Број,Република Српска,55.87928986
2010,number_of_new_cases_of_syphilis,Број,Република Српска,15.0
2010,number_of_new_cases_of_gonorrhea,Број,Република Српска,4.0
2010,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,Република Српска,3.0
2010,number_of_new_cases_of_HIV,Број,Република Српска,4.0
2010,number_of_new_cases_of_HIV_per_100000_population,Број,Република Српска,0.279127281
2010,number_of_caesarean_sections_per_1000_live_births,Број,Република Српска,204.9
2010,number_of_beds_in_hospitals,Број,Република Српска,4370.0
2010,number_of_beds_in_hospitals_per_100000_population,Број,Република Српска,304.9465541
2010,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,Република Српска,2185.0
2010,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,Република Српска,152.4732771
2010,number_of_general_practitioners,Број,Република Српска,655.0
2010,number_of_population_per_general_practitioner,Број,Република Српска,2187.844275
2010,number_of_midwives,Број,Република Српска,395.0
2010,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Република Српска,1433038.0
2010,male_population,Број,Република Српска,697524.0
2010,female_population,Број,Република Српска,735514.0
2010,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,Брчко Дистрикт БиХ,83995.0
2010,male_population,Број,Брчко Дистрикт БиХ,41609.0
2010,female_population,Број,Брчко Дистрикт БиХ,42386.0
2011,number_of_new_cases_of_cervical_cancer,Број,BiH,299.0
2011,number_of_new_cases_of_female_breast_cancer,Број,BiH,852.0
2011,number_of_new_cases_of_syphilis,Број,BiH,30.0
2011,number_of_new_cases_of_gonorrhea,Број,BiH,2.0
2011,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,BiH,7.0
2011,number_of_new_cases_of_HIV,Број,BiH,25.0
2011,number_of_caesarean_sections,Број,BiH,4598.0
2011,number_of_beds_in_hospitals,Број,BiH,13001.0
2011,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,BiH,6729.0
2011,number_of_general_practitioners,Број,BiH,1179.0
2011,number_of_midwives,Број,BiH,1224.0
2011,number_of_new_cases_of_cervical_cancer,Број,FBiH,123.0
2011,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Број,FBiH,10.31430972
2011,number_of_new_cases_of_female_breast_cancer,Број,FBiH,419.0
2011,number_of_new_cases_of_female_breast_cancer_per_100000,Број,FBiH,35.13573799
2011,number_of_new_cases_of_syphilis,Број,FBiH,5.0
2011,number_of_new_cases_of_AIDS_clinically_diagnosed,Број,FBiH,5.0
2011,number_of_new_cases_of_HIV,Број,FBiH,20.0
2011,number_of_new_cases_of_HIV_per_100000_population,Број,FBiH,0.855333216
2011,number_of_caesarean_sections,Број,FBiH,4598.0
2011,number_of_caesarean_sections_per_1000_live_births,Број,FBiH,217.3
2011,number_of_beds_in_hospitals,Број,FBiH,8598.0
2011,number_of_beds_in_hospitals_per_100000_population,Број,FBiH,367.7077497
2011,number_of_medical_doctors_providing_health_care_in_public_institutions,Број,FBiH,4443.0
2011,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Број,FBiH,190.012274
2011,number_of_general_practitioners,Број,FBiH,516.0
2011,number_of_population_per_general_practitioner,Број,FBiH,4531.531008
2011,number_of_midwives,Број,FBiH,834.0
2011,total_population_(as_per_Public_Health_Institute_or_NSO_reports),Број,FBiH,2338270.0
2011,male_population,Број,FBiH,1145752.0
2011,female_population,Број,FBiH,1192518.0
2011,number_of_new_cases_of_cervical_cancer,Број,Република Српска,176.0
2011,number_of_new_cases_of_cervical_cancer_per_100000_female_population,Број,Република Српска,23.98525997
2011,number_of_new_cases_of_female_breast_cancer,Број,Република Српска,433.0
2011,number_of_new_cases_of_female_breast_cancer_per_100000,Број,Република Српска,59.00919072
