Year,CAUSE_OF_DEATH,UNIT_MEASURE,Value
2005,injuries_poisoning_and_consequences,Број,24.77
2005,neoplasms,Број,3.14
2005,diseases_of_the_circulatory,Број,10.19
2005,diseases_of_the_respiratory,Број,512.0
2005,diseases_of_the_digestive,Број,390.0
2005,symptoms_signs_and_abnormal,Број,62.3
2005,injuries_poisoning_and_consequences,Број,24.77
2006,infectious_and_parasitic,Број,6.17
2006,neoplasms,Број,163.0
2006,diseases_of_the_blood,Број,0.52
2006,endocrine_metabolic_and_nutritional,Број,40.0
2006,mental_and_behavioural_disorders,Број,3.07
2006,diseases_of_the_nervous,Број,8.0
2006,diseases_of_the_eye,Број,0.03
2006,diseases_of_the_circulatory,Број,442.0
2006,diseases_of_the_respiratory,Број,29.46
2006,diseases_of_the_digestive,Број,21.0
2006,diseases_of_the_skin,Број,0.29
2006,diseases_of_the_genitourinary,Број,14.23
2006,certain_conditions_originating,Број,4.81
2006,congenital_malformations_deformations,Број,1.46
2006,symptoms_signs_and_abnormal,Број,71.4
2006,injuries_poisoning_and_consequences,Број,26.46
2006,external_causes_of_mortality,Број,5.52
2006,factors_influencing_health_status,Број,0.03
2006,unknown,Број,27.09
2007,infectious_and_parasitic,Број,6.51
2007,neoplasms,Број,175.0
2007,diseases_of_the_blood,Број,1.41
2007,endocrine_metabolic_and_nutritional,Број,41.0
2007,mental_and_behavioural_disorders,Број,4.22
2007,diseases_of_the_nervous,Број,8.0
2007,diseases_of_the_eye,Број,0.03
2007,diseases_of_the_circulatory,Број,482.0
2007,diseases_of_the_respiratory,Број,29.8
2007,diseases_of_the_digestive,Број,24.0
2007,diseases_of_the_skin,Број,0.26
2007,diseases_of_the_musculoskeletal,Број,1.0
2007,diseases_of_the_genitourinary,Број,14.52
2007,certain_conditions_originating,Број,3.46
2007,congenital_malformations_deformations,Број,1.41
2007,symptoms_signs_and_abnormal,Број,57.76
2007,injuries_poisoning_and_consequences,Број,26.81
2007,external_causes_of_mortality,Број,6.95
2007,unknown,Број,28.01
2008,infectious_and_parasitic,Број,7.16
2008,neoplasms,Број,175.0
2008,diseases_of_the_blood,Број,0.96
2008,endocrine_metabolic_and_nutritional,Број,41.0
2008,mental_and_behavioural_disorders,Број,4.4
2008,diseases_of_the_nervous,Број,7.0
2008,diseases_of_the_eye,Број,0.03
2008,diseases_of_the_circulatory,Број,468.0
2008,diseases_of_the_respiratory,Број,26.94
2008,diseases_of_the_digestive,Број,22.0
2008,diseases_of_the_skin,Број,0.26
2008,diseases_of_the_musculoskeletal,Број,1.0
2008,diseases_of_the_genitourinary,Број,14.86
2008,certain_conditions_originating,Број,3.54
2008,congenital_malformations_deformations,Број,1.59
2008,symptoms_signs_and_abnormal,Број,52.79
2008,injuries_poisoning_and_consequences,Број,31.23
2008,external_causes_of_mortality,Број,0.05
2008,unknown,Број,27.04
2009,infectious_and_parasitic,Број,7.47
2009,neoplasms,Број,181.0
2009,diseases_of_the_blood,Број,1.07
2009,endocrine_metabolic_and_nutritional,Број,52.0
2009,mental_and_behavioural_disorders,Број,4.97
2009,diseases_of_the_nervous,Број,8.0
2009,diseases_of_the_circulatory,Број,476.0
2009,diseases_of_the_respiratory,Број,29.48
2009,diseases_of_the_digestive,Број,24.0
2009,diseases_of_the_skin,Број,0.23
2009,diseases_of_the_musculoskeletal,Број,1.0
2009,diseases_of_the_genitourinary,Број,15.3
2009,certain_conditions_originating,Број,3.75
2009,congenital_malformations_deformations,Број,1.59
2009,symptoms_signs_and_abnormal,Број,51.65
2009,injuries_poisoning_and_consequences,Број,32.68
2009,external_causes_of_mortality,Број,0.05
2009,factors_influencing_health_status,Број,0.05
2009,unknown,Број,16.91
2010,infectious_and_parasitic,Број,7.42
2010,neoplasms,Број,181.0
2010,diseases_of_the_blood,Број,1.17
2010,endocrine_metabolic_and_nutritional,Број,50.0
2010,mental_and_behavioural_disorders,Број,4.45
2010,diseases_of_the_nervous,Број,9.0
2010,diseases_of_the_eye,Број,0.05
2010,diseases_of_the_circulatory,Број,489.0
2010,diseases_of_the_respiratory,Број,29.79
2010,diseases_of_the_digestive,Број,24.0
2010,diseases_of_the_skin,Број,0.36
2010,diseases_of_the_musculoskeletal,Број,1.0
2010,diseases_of_the_genitourinary,Број,15.01
2010,certain_conditions_originating,Број,3.59
2010,congenital_malformations_deformations,Број,1.64
2010,symptoms_signs_and_abnormal,Број,49.86
2010,injuries_poisoning_and_consequences,Број,29.07
2010,external_causes_of_mortality,Број,0.39
2010,unknown,Број,16.6
2011,infectious_and_parasitic,Број,7.76
2011,neoplasms,Број,188.0
2011,diseases_of_the_blood,Број,1.54
2011,endocrine_metabolic_and_nutritional,Број,51.0
2011,mental_and_behavioural_disorders,Број,4.19
2011,diseases_of_the_nervous,Број,11.0
2011,diseases_of_the_circulatory,Број,481.0
2011,diseases_of_the_respiratory,Број,33.36
2011,diseases_of_the_digestive,Број,23.0
2011,diseases_of_the_skin,Број,0.31
2011,diseases_of_the_musculoskeletal,Број,1.0
2011,diseases_of_the_genitourinary,Број,14.35
2011,certain_conditions_originating,Број,3.07
2011,congenital_malformations_deformations,Број,1.51
2011,symptoms_signs_and_abnormal,Број,43.36
2011,injuries_poisoning_and_consequences,Број,30.26
2011,external_causes_of_mortality,Број,0.36
2011,factors_influencing_health_status,Број,0.03
2011,unknown,Број,18.1
2012,infectious_and_parasitic,Број,8.97
2012,neoplasms,Број,198.0
2012,diseases_of_the_blood,Број,1.23
2012,endocrine_metabolic_and_nutritional,Број,50.0
2012,mental_and_behavioural_disorders,Број,4.17
2012,diseases_of_the_nervous,Број,11.0
2012,diseases_of_the_eye,Број,0.03
2012,diseases_of_the_circulatory,Број,502.0
2012,diseases_of_the_respiratory,Број,33.0
2012,diseases_of_the_digestive,Број,25.0
2012,diseases_of_the_skin,Број,0.34
2012,diseases_of_the_musculoskeletal,Број,1.0
2012,diseases_of_the_genitourinary,Број,15.67
2012,certain_conditions_originating,Број,2.89
2012,congenital_malformations_deformations,Број,1.04
2012,symptoms_signs_and_abnormal,Број,31.47
2012,injuries_poisoning_and_consequences,Број,27.82
2012,unknown,Број,19.29
2013,infectious_and_parasitic,Број,7.59
2013,neoplasms,Број,213.0
2013,diseases_of_the_blood,Број,1.42
2013,endocrine_metabolic_and_nutritional,Број,56.0
2013,mental_and_behavioural_disorders,Број,5.44
2013,diseases_of_the_nervous,Број,11.0
2013,diseases_of_the_circulatory,Број,515.0
2013,diseases_of_the_respiratory,Број,40.44
2013,diseases_of_the_digestive,Број,27.0
2013,diseases_of_the_skin,Број,0.88
2013,diseases_of_the_musculoskeletal,Број,2.0
2013,diseases_of_the_genitourinary,Број,16.45
2013,certain_conditions_originating,Број,2.86
2013,congenital_malformations_deformations,Број,1.08
2013,symptoms_signs_and_abnormal,Број,59.67
2013,injuries_poisoning_and_consequences,Број,29.0
2013,external_causes_of_mortality,Број,0.11
2013,unknown,Број,22.15
2014,infectious_and_parasitic,Број,8.25
2014,neoplasms,Број,222.0
2014,diseases_of_the_blood,Број,1.19
2014,endocrine_metabolic_and_nutritional,Број,64.0
2014,mental_and_behavioural_disorders,Број,6.38
2014,diseases_of_the_nervous,Број,11.0
2014,diseases_of_the_eye,Број,0.17
2014,diseases_of_the_circulatory,Број,509.0
2014,diseases_of_the_respiratory,Број,39.96
2014,diseases_of_the_digestive,Број,27.0
2014,diseases_of_the_skin,Број,0.91
2014,diseases_of_the_musculoskeletal,Број,2.0
2014,diseases_of_the_genitourinary,Број,15.2
2014,certain_conditions_originating,Број,2.41
2014,congenital_malformations_deformations,Број,1.39
2014,symptoms_signs_and_abnormal,Број,63.56
2014,injuries_poisoning_and_consequences,Број,29.27
2014,external_causes_of_mortality,Број,0.48
2014,factors_influencing_health_status,Број,0.03
2014,unknown,Број,16.73
2015,infectious_and_parasitic,Број,10.52
2015,neoplasms,Број,226.0
2015,diseases_of_the_blood,Број,1.56
2015,endocrine_metabolic_and_nutritional,Број,58.0
2015,mental_and_behavioural_disorders,Број,5.34
2015,diseases_of_the_nervous,Број,13.0
2015,diseases_of_the_eye,Број,0.03
2015,diseases_of_the_circulatory,Број,560.0
2015,diseases_of_the_respiratory,Број,48.83
2015,diseases_of_the_digestive,Број,28.0
2015,diseases_of_the_skin,Број,1.19
2015,diseases_of_the_musculoskeletal,Број,2.0
2015,diseases_of_the_genitourinary,Број,19.44
2015,certain_conditions_originating,Број,3.58
2015,congenital_malformations_deformations,Број,0.88
2015,symptoms_signs_and_abnormal,Број,59.64
2015,injuries_poisoning_and_consequences,Број,31.35
2015,external_causes_of_mortality,Број,0.23
2015,unknown,Број,15.38
2016,infectious_and_parasitic,Број,11.73
2016,neoplasms,Број,221.0
2016,diseases_of_the_blood,Број,1.54
2016,endocrine_metabolic_and_nutritional,Број,56.0
2016,mental_and_behavioural_disorders,Број,6.44
2016,diseases_of_the_nervous,Број,11.0
2016,diseases_of_the_eye,Број,0.23
2016,diseases_of_the_circulatory,Број,540.0
2016,diseases_of_the_respiratory,Број,42.35
2016,diseases_of_the_digestive,Број,31.0
2016,diseases_of_the_skin,Број,1.0
2016,diseases_of_the_musculoskeletal,Број,1.0
2016,diseases_of_the_genitourinary,Број,19.82
2016,certain_conditions_originating,Број,3.33
2016,congenital_malformations_deformations,Број,0.46
2016,symptoms_signs_and_abnormal,Број,49.27
2016,injuries_poisoning_and_consequences,Број,29.62
2016,external_causes_of_mortality,Број,0.4
2016,unknown,Број,15.52
2017,infectious_and_parasitic,Број,11.27
2017,neoplasms,Број,232.0
2017,diseases_of_the_blood,Број,1.97
2017,endocrine_metabolic_and_nutritional,Број,62.0
2017,mental_and_behavioural_disorders,Број,7.56
2017,diseases_of_the_nervous,Број,11.0
2017,diseases_of_the_eye,Број,0.14
2017,diseases_of_the_circulatory,Број,548.0
2017,diseases_of_the_respiratory,Број,45.06
2017,diseases_of_the_digestive,Број,29.0
2017,diseases_of_the_skin,Број,1.26
2017,diseases_of_the_musculoskeletal,Број,1.0
2017,diseases_of_the_genitourinary,Број,16.75
2017,certain_conditions_originating,Број,3.88
2017,congenital_malformations_deformations,Број,0.77
2017,symptoms_signs_and_abnormal,Број,65.47
2017,injuries_poisoning_and_consequences,Број,30.45
2017,external_causes_of_mortality,Број,0.43
2017,unknown,Број,15.7
2018,infectious_and_parasitic,Број,12.67
2018,neoplasms,Број,225.0
2018,diseases_of_the_blood,Број,2.06
2018,endocrine_metabolic_and_nutritional,Број,60.0
2018,mental_and_behavioural_disorders,Број,6.75
2018,diseases_of_the_nervous,Број,10.0
2018,diseases_of_the_circulatory,Број,538.0
2018,diseases_of_the_respiratory,Број,53.09
2018,diseases_of_the_digestive,Број,30.0
2018,diseases_of_the_skin,Број,1.14
2018,diseases_of_the_musculoskeletal,Број,2.0
2018,diseases_of_the_genitourinary,Број,18.05
2018,certain_conditions_originating,Број,3.83
2018,congenital_malformations_deformations,Број,0.74
2018,symptoms_signs_and_abnormal,Број,73.83
2018,injuries_poisoning_and_consequences,Број,29.03
2018,external_causes_of_mortality,Број,0.31
2018,factors_influencing_health_status,Број,0.03
2018,unknown,Број,13.44
2001,pregnancy_childbirth_and_the,Број,0.03
2002,pregnancy_childbirth_and_the,Број,0.08
2004,pregnancy_childbirth_and_the,Број,0.03
2006,pregnancy_childbirth_and_the,Број,0.08
2007,pregnancy_childbirth_and_the,Број,0.03
2008,pregnancy_childbirth_and_the,Број,0.1
2009,pregnancy_childbirth_and_the,Број,0.03
2010,pregnancy_childbirth_and_the,Број,0.03
2011,pregnancy_childbirth_and_the,Број,0.05
2012,pregnancy_childbirth_and_the,Број,0.08
2015,pregnancy_childbirth_and_the,Број,0.03
2016,pregnancy_childbirth_and_the,Број,0.03
2018,pregnancy_childbirth_and_the,Број,0.03
