Year,UNIT_MEASURE,TYPE_OF_DEPENDENCY_RATIO,SPOL,Value
2065,%,total_support_ratio,Ž,115.81
2070,%,total_support_ratio,Ž,116.18
2018,%,young_age_support_ratio,Ž,20.55
2020,%,young_age_support_ratio,Ž,20.65
2025,%,young_age_support_ratio,Ž,20.34
2030,%,young_age_support_ratio,Ž,20.29
2035,%,young_age_support_ratio,Ž,19.98
2040,%,young_age_support_ratio,Ž,19.66
2045,%,young_age_support_ratio,Ž,19.82
2050,%,young_age_support_ratio,Ž,20.49
2055,%,young_age_support_ratio,Ž,21.3
2060,%,young_age_support_ratio,Ž,21.85
2065,%,young_age_support_ratio,Ž,22.23
2070,%,young_age_support_ratio,Ž,22.13
2018,%,old_age_support_ratio,Ž,23.78
2020,%,old_age_support_ratio,Ž,26.46
2025,%,old_age_support_ratio,Ž,33.64
2030,%,old_age_support_ratio,Ž,41.81
2035,%,old_age_support_ratio,Ž,49.0
2040,%,old_age_support_ratio,Ž,56.34
2045,%,old_age_support_ratio,Ž,64.52
2050,%,old_age_support_ratio,Ž,73.67
2055,%,old_age_support_ratio,Ž,82.36
2060,%,old_age_support_ratio,Ž,88.59
2065,%,old_age_support_ratio,Ž,93.58
2070,%,old_age_support_ratio,Ž,94.04
2018,%,older_persons_to_youth_ratio,Ž,115.71
2020,%,older_persons_to_youth_ratio,Ž,128.11
2025,%,older_persons_to_youth_ratio,Ž,165.41
2030,%,older_persons_to_youth_ratio,Ž,206.01
2035,%,older_persons_to_youth_ratio,Ž,245.28
2040,%,older_persons_to_youth_ratio,Ž,286.61
2045,%,older_persons_to_youth_ratio,Ž,325.51
2050,%,older_persons_to_youth_ratio,Ž,359.64
2055,%,older_persons_to_youth_ratio,Ž,386.67
2060,%,older_persons_to_youth_ratio,Ž,405.45
2065,%,older_persons_to_youth_ratio,Ž,420.87
2070,%,older_persons_to_youth_ratio,Ž,424.86
