Year,CAUSE_OF_DEATH,UNIT_MEASURE,Sex,Value
2005,injuries_poisoning_and_consequences,Number,Both sexes,952.0
2005,total,Number,Both sexes,29576.0
2005,neoplasms,Number,M,3.766
2005,diseases_of_the_circulatory,Number,M,8.559
2005,diseases_of_the_respiratory,Number,M,726.0
2005,diseases_of_the_digestive,Number,M,491.0
2005,symptoms_signs_and_abnormal,Number,M,1312.0
2005,injuries_poisoning_and_consequences,Number,M,718.0
2005,total,Number,M,15572.0
2005,neoplasms,Number,F,2.489
2005,diseases_of_the_circulatory,Number,F,9.356
2005,diseases_of_the_respiratory,Number,F,516.0
2005,diseases_of_the_digestive,Number,F,327.0
2005,symptoms_signs_and_abnormal,Number,F,1082.0
2005,injuries_poisoning_and_consequences,Number,F,234.0
2005,total,Number,F,14004.0
2006,infectious_and_parasitic,Number,Both sexes,237.0
2006,neoplasms,Number,Both sexes,6.252
2006,diseases_of_the_blood,Number,Both sexes,20.0
2006,endocrine_metabolic_and_nutritional,Number,Both sexes,1.537
2006,mental_and_behavioural_disorders,Number,Both sexes,118.0
2006,diseases_of_the_nervous,Number,Both sexes,298.0
2006,diseases_of_the_eye,Number,Both sexes,1.0
2006,diseases_of_the_circulatory,Number,Both sexes,16.967
2006,diseases_of_the_respiratory,Number,Both sexes,1132.0
2006,diseases_of_the_digestive,Number,Both sexes,826.0
2006,diseases_of_the_skin,Number,Both sexes,11.0
2006,diseases_of_the_musculoskeletal,Number,Both sexes,16.0
2006,diseases_of_the_genitourinary,Number,Both sexes,547.0
2006,pregnancy_childbirth_and_the,Number,Both sexes,3.0
2006,certain_conditions_originating,Number,Both sexes,185.0
2006,congenital_malformations_deformations,Number,Both sexes,56.0
2006,symptoms_signs_and_abnormal,Number,Both sexes,2744.0
2006,injuries_poisoning_and_consequences,Number,Both sexes,1017.0
2006,external_causes_of_mortality,Number,Both sexes,212.0
2006,factors_influencing_health_status,Number,Both sexes,1.0
2006,unknown,Number,Both sexes,1041.0
2006,total,Number,Both sexes,33221.0
2006,infectious_and_parasitic,Number,M,147.0
2006,neoplasms,Number,M,3.697
2006,diseases_of_the_blood,Number,M,9.0
2006,endocrine_metabolic_and_nutritional,Number,M,598.0
2006,mental_and_behavioural_disorders,Number,M,88.0
2006,diseases_of_the_nervous,Number,M,174.0
2006,diseases_of_the_circulatory,Number,M,7.941
2006,diseases_of_the_respiratory,Number,M,677.0
2006,diseases_of_the_digestive,Number,M,493.0
2006,diseases_of_the_skin,Number,M,6.0
2006,diseases_of_the_musculoskeletal,Number,M,3.0
2006,diseases_of_the_genitourinary,Number,M,293.0
2006,certain_conditions_originating,Number,M,118.0
2006,congenital_malformations_deformations,Number,M,32.0
2006,symptoms_signs_and_abnormal,Number,M,1527.0
2006,injuries_poisoning_and_consequences,Number,M,775.0
2006,external_causes_of_mortality,Number,M,152.0
2006,unknown,Number,M,578.0
2006,total,Number,M,17308.0
2006,infectious_and_parasitic,Number,F,90.0
2006,neoplasms,Number,F,2.555
2006,diseases_of_the_blood,Number,F,11.0
2006,endocrine_metabolic_and_nutritional,Number,F,939.0
2006,mental_and_behavioural_disorders,Number,F,30.0
2006,diseases_of_the_nervous,Number,F,124.0
2006,diseases_of_the_eye,Number,F,1.0
2006,diseases_of_the_circulatory,Number,F,9.026
2006,diseases_of_the_respiratory,Number,F,455.0
2006,diseases_of_the_digestive,Number,F,333.0
2006,diseases_of_the_skin,Number,F,5.0
2006,diseases_of_the_musculoskeletal,Number,F,13.0
2006,diseases_of_the_genitourinary,Number,F,254.0
2006,pregnancy_childbirth_and_the,Number,F,3.0
2006,certain_conditions_originating,Number,F,67.0
2006,congenital_malformations_deformations,Number,F,24.0
2006,symptoms_signs_and_abnormal,Number,F,1217.0
2006,injuries_poisoning_and_consequences,Number,F,242.0
2006,external_causes_of_mortality,Number,F,60.0
2006,factors_influencing_health_status,Number,F,1.0
2006,unknown,Number,F,463.0
2006,total,Number,F,15913.0
2007,infectious_and_parasitic,Number,Both sexes,250.0
2007,neoplasms,Number,Both sexes,6.713
2007,diseases_of_the_blood,Number,Both sexes,54.0
2007,endocrine_metabolic_and_nutritional,Number,Both sexes,1.582
2007,mental_and_behavioural_disorders,Number,Both sexes,162.0
2007,diseases_of_the_nervous,Number,Both sexes,317.0
2007,diseases_of_the_eye,Number,Both sexes,1.0
2007,diseases_of_the_circulatory,Number,Both sexes,18.516
2007,diseases_of_the_respiratory,Number,Both sexes,1145.0
2007,diseases_of_the_digestive,Number,Both sexes,924.0
2007,diseases_of_the_skin,Number,Both sexes,10.0
2007,diseases_of_the_musculoskeletal,Number,Both sexes,32.0
2007,diseases_of_the_genitourinary,Number,Both sexes,558.0
2007,pregnancy_childbirth_and_the,Number,Both sexes,1.0
2007,certain_conditions_originating,Number,Both sexes,133.0
2007,congenital_malformations_deformations,Number,Both sexes,54.0
2007,symptoms_signs_and_abnormal,Number,Both sexes,2219.0
2007,injuries_poisoning_and_consequences,Number,Both sexes,1030.0
2007,external_causes_of_mortality,Number,Both sexes,267.0
2007,unknown,Number,Both sexes,1076.0
2007,total,Number,Both sexes,35044.0
2007,infectious_and_parasitic,Number,M,164.0
2007,neoplasms,Number,M,3.983
2007,diseases_of_the_blood,Number,M,22.0
2007,endocrine_metabolic_and_nutritional,Number,M,609.0
2007,mental_and_behavioural_disorders,Number,M,113.0
2007,diseases_of_the_nervous,Number,M,161.0
2007,diseases_of_the_eye,Number,M,1.0
2007,diseases_of_the_circulatory,Number,M,8.697
2007,diseases_of_the_respiratory,Number,M,664.0
2007,diseases_of_the_digestive,Number,M,570.0
2007,diseases_of_the_skin,Number,M,4.0
2007,diseases_of_the_musculoskeletal,Number,M,9.0
2007,diseases_of_the_genitourinary,Number,M,320.0
2007,pregnancy_childbirth_and_the,Number,M,0.0
2007,certain_conditions_originating,Number,M,79.0
2007,congenital_malformations_deformations,Number,M,28.0
2007,symptoms_signs_and_abnormal,Number,M,1143.0
2007,injuries_poisoning_and_consequences,Number,M,766.0
2007,external_causes_of_mortality,Number,M,199.0
2007,unknown,Number,M,622.0
2007,total,Number,M,18154.0
2007,infectious_and_parasitic,Number,F,86.0
2007,neoplasms,Number,F,2.73
2007,diseases_of_the_blood,Number,F,32.0
2007,endocrine_metabolic_and_nutritional,Number,F,973.0
2007,mental_and_behavioural_disorders,Number,F,49.0
2007,diseases_of_the_nervous,Number,F,156.0
2007,diseases_of_the_circulatory,Number,F,9.819
2007,diseases_of_the_respiratory,Number,F,481.0
2007,diseases_of_the_digestive,Number,F,354.0
2007,diseases_of_the_skin,Number,F,6.0
2007,diseases_of_the_musculoskeletal,Number,F,23.0
2007,diseases_of_the_genitourinary,Number,F,238.0
2007,pregnancy_childbirth_and_the,Number,F,1.0
2007,certain_conditions_originating,Number,F,54.0
2007,congenital_malformations_deformations,Number,F,26.0
2007,symptoms_signs_and_abnormal,Number,F,1076.0
2007,injuries_poisoning_and_consequences,Number,F,264.0
2007,external_causes_of_mortality,Number,F,68.0
2007,unknown,Number,F,454.0
2007,total,Number,F,16890.0
2008,infectious_and_parasitic,Number,Both sexes,275.0
2008,neoplasms,Number,Both sexes,6.734
2008,diseases_of_the_blood,Number,Both sexes,37.0
2008,endocrine_metabolic_and_nutritional,Number,Both sexes,1.563
2008,mental_and_behavioural_disorders,Number,Both sexes,169.0
2008,diseases_of_the_nervous,Number,Both sexes,287.0
2008,diseases_of_the_eye,Number,Both sexes,1.0
2008,diseases_of_the_circulatory,Number,Both sexes,17.988
2008,diseases_of_the_respiratory,Number,Both sexes,1035.0
2008,diseases_of_the_digestive,Number,Both sexes,846.0
2008,diseases_of_the_skin,Number,Both sexes,10.0
2008,diseases_of_the_musculoskeletal,Number,Both sexes,40.0
2008,diseases_of_the_genitourinary,Number,Both sexes,571.0
2008,pregnancy_childbirth_and_the,Number,Both sexes,4.0
2008,certain_conditions_originating,Number,Both sexes,136.0
2008,congenital_malformations_deformations,Number,Both sexes,61.0
2008,symptoms_signs_and_abnormal,Number,Both sexes,2028.0
2008,injuries_poisoning_and_consequences,Number,Both sexes,1200.0
2008,external_causes_of_mortality,Number,Both sexes,2.0
2008,unknown,Number,Both sexes,1039.0
2008,total,Number,Both sexes,34026.0
2008,infectious_and_parasitic,Number,M,170.0
2008,neoplasms,Number,M,4.053
2008,diseases_of_the_blood,Number,M,16.0
2008,endocrine_metabolic_and_nutritional,Number,M,618.0
2008,mental_and_behavioural_disorders,Number,M,127.0
2008,diseases_of_the_nervous,Number,M,167.0
2008,diseases_of_the_circulatory,Number,M,8.385
2008,diseases_of_the_respiratory,Number,M,627.0
2008,diseases_of_the_digestive,Number,M,512.0
2008,diseases_of_the_skin,Number,M,3.0
2008,diseases_of_the_musculoskeletal,Number,M,14.0
2008,diseases_of_the_genitourinary,Number,M,306.0
2008,certain_conditions_originating,Number,M,75.0
2008,congenital_malformations_deformations,Number,M,32.0
2008,symptoms_signs_and_abnormal,Number,M,1052.0
2008,injuries_poisoning_and_consequences,Number,M,942.0
2008,external_causes_of_mortality,Number,M,2.0
2008,unknown,Number,M,586.0
2008,total,Number,M,17687.0
2008,infectious_and_parasitic,Number,F,105.0
2008,neoplasms,Number,F,2.681
2008,diseases_of_the_blood,Number,F,21.0
2008,endocrine_metabolic_and_nutritional,Number,F,945.0
2008,mental_and_behavioural_disorders,Number,F,42.0
2008,diseases_of_the_nervous,Number,F,120.0
2008,diseases_of_the_eye,Number,F,1.0
2008,diseases_of_the_circulatory,Number,F,9.603
2008,diseases_of_the_respiratory,Number,F,408.0
2008,diseases_of_the_digestive,Number,F,334.0
2008,diseases_of_the_skin,Number,F,7.0
2008,diseases_of_the_musculoskeletal,Number,F,26.0
2008,diseases_of_the_genitourinary,Number,F,265.0
2008,pregnancy_childbirth_and_the,Number,F,4.0
2008,certain_conditions_originating,Number,F,61.0
2008,congenital_malformations_deformations,Number,F,29.0
2008,symptoms_signs_and_abnormal,Number,F,976.0
2008,injuries_poisoning_and_consequences,Number,F,258.0
2008,unknown,Number,F,453.0
2008,total,Number,F,16339.0
2009,infectious_and_parasitic,Number,Both sexes,287.0
2009,neoplasms,Number,Both sexes,6.97
2009,diseases_of_the_blood,Number,Both sexes,41.0
2009,endocrine_metabolic_and_nutritional,Number,Both sexes,1.999
2009,mental_and_behavioural_disorders,Number,Both sexes,191.0
2009,diseases_of_the_nervous,Number,Both sexes,319.0
2009,diseases_of_the_circulatory,Number,Both sexes,18.295
2009,diseases_of_the_respiratory,Number,Both sexes,1133.0
2009,diseases_of_the_digestive,Number,Both sexes,936.0
2009,diseases_of_the_skin,Number,Both sexes,9.0
2009,diseases_of_the_musculoskeletal,Number,Both sexes,35.0
2009,diseases_of_the_genitourinary,Number,Both sexes,588.0
2009,pregnancy_childbirth_and_the,Number,Both sexes,1.0
2009,certain_conditions_originating,Number,Both sexes,144.0
2009,congenital_malformations_deformations,Number,Both sexes,61.0
2009,symptoms_signs_and_abnormal,Number,Both sexes,1985.0
2009,injuries_poisoning_and_consequences,Number,Both sexes,1256.0
2009,external_causes_of_mortality,Number,Both sexes,2.0
2009,factors_influencing_health_status,Number,Both sexes,2.0
2009,unknown,Number,Both sexes,650.0
2009,total,Number,Both sexes,34904.0
2009,infectious_and_parasitic,Number,M,180.0
2009,neoplasms,Number,M,4.118
2009,diseases_of_the_blood,Number,M,17.0
2009,endocrine_metabolic_and_nutritional,Number,M,766.0
2009,mental_and_behavioural_disorders,Number,M,127.0
2009,diseases_of_the_nervous,Number,M,167.0
2009,diseases_of_the_circulatory,Number,M,8.586
2009,diseases_of_the_respiratory,Number,M,644.0
2009,diseases_of_the_digestive,Number,M,559.0
2009,diseases_of_the_skin,Number,M,4.0
2009,diseases_of_the_musculoskeletal,Number,M,8.0
2009,diseases_of_the_genitourinary,Number,M,299.0
2009,certain_conditions_originating,Number,M,76.0
2009,congenital_malformations_deformations,Number,M,31.0
2009,symptoms_signs_and_abnormal,Number,M,1012.0
2009,injuries_poisoning_and_consequences,Number,M,941.0
2009,external_causes_of_mortality,Number,M,2.0
2009,factors_influencing_health_status,Number,M,1.0
2009,unknown,Number,M,346.0
2009,total,Number,M,17884.0
2009,infectious_and_parasitic,Number,F,107.0
2009,neoplasms,Number,F,2.852
2009,diseases_of_the_blood,Number,F,24.0
2009,endocrine_metabolic_and_nutritional,Number,F,1.233
2009,mental_and_behavioural_disorders,Number,F,64.0
2009,diseases_of_the_nervous,Number,F,152.0
2009,diseases_of_the_circulatory,Number,F,9.709
2009,diseases_of_the_respiratory,Number,F,489.0
2009,diseases_of_the_digestive,Number,F,377.0
2009,diseases_of_the_skin,Number,F,5.0
2009,diseases_of_the_musculoskeletal,Number,F,27.0
2009,diseases_of_the_genitourinary,Number,F,289.0
2009,pregnancy_childbirth_and_the,Number,F,1.0
2009,certain_conditions_originating,Number,F,68.0
2009,congenital_malformations_deformations,Number,F,30.0
2009,symptoms_signs_and_abnormal,Number,F,973.0
2009,injuries_poisoning_and_consequences,Number,F,315.0
2009,factors_influencing_health_status,Number,F,1.0
2009,unknown,Number,F,304.0
2009,total,Number,F,17020.0
2010,infectious_and_parasitic,Number,Both sexes,285.0
2010,neoplasms,Number,Both sexes,6.973
2010,diseases_of_the_blood,Number,Both sexes,45.0
2010,endocrine_metabolic_and_nutritional,Number,Both sexes,1.903
2010,mental_and_behavioural_disorders,Number,Both sexes,171.0
2010,diseases_of_the_nervous,Number,Both sexes,350.0
2010,diseases_of_the_eye,Number,Both sexes,2.0
2010,diseases_of_the_circulatory,Number,Both sexes,18.805
2010,diseases_of_the_respiratory,Number,Both sexes,1145.0
2010,diseases_of_the_digestive,Number,Both sexes,918.0
2010,diseases_of_the_skin,Number,Both sexes,14.0
2010,diseases_of_the_musculoskeletal,Number,Both sexes,42.0
2010,diseases_of_the_genitourinary,Number,Both sexes,577.0
2010,pregnancy_childbirth_and_the,Number,Both sexes,1.0
2010,certain_conditions_originating,Number,Both sexes,138.0
2010,congenital_malformations_deformations,Number,Both sexes,63.0
2010,symptoms_signs_and_abnormal,Number,Both sexes,1916.0
2010,injuries_poisoning_and_consequences,Number,Both sexes,1117.0
2010,external_causes_of_mortality,Number,Both sexes,15.0
2010,factors_influencing_health_status,Number,Both sexes,0.0
2010,unknown,Number,Both sexes,638.0
2010,total,Number,Both sexes,35118.0
2010,infectious_and_parasitic,Number,M,183.0
2010,neoplasms,Number,M,4.059
2010,diseases_of_the_blood,Number,M,17.0
2010,endocrine_metabolic_and_nutritional,Number,M,729.0
2010,mental_and_behavioural_disorders,Number,M,118.0
2010,diseases_of_the_nervous,Number,M,178.0
2010,diseases_of_the_eye,Number,M,1.0
2010,diseases_of_the_circulatory,Number,M,8.699
2010,diseases_of_the_respiratory,Number,M,681.0
2010,diseases_of_the_digestive,Number,M,544.0
2010,diseases_of_the_skin,Number,M,5.0
