Year,SEX,CAUSE_OF_DEATH,UNIT_MEASURE,Value
2001,M,diseases_of_the_circulatory,NUMBER,7943
2001,M,diseases_of_the_respiratory,NUMBER,434
2001,M,diseases_of_the_digestive,NUMBER,540
2001,M,diseases_of_the_skin,NUMBER,5
2001,M,diseases_of_the_musculoskeletal,NUMBER,6
2001,M,diseases_of_the_genitourinary,NUMBER,200
2001,M,certain_conditions_originating,NUMBER,109
2001,M,congenital_malformations_deformations,NUMBER,18
2001,M,symptoms_signs_and_abnormal,NUMBER,1637
2001,M,injuries_poisoning_and_consequences,NUMBER,768
2001,M,external_causes_of_mortality,NUMBER,206
2001,M,unknown,NUMBER,527
2001,M,total,NUMBER,16202
2001,F,infectious_and_parasitic,NUMBER,100
2001,F,neoplasms,NUMBER,2059
2001,F,diseases_of_the_blood,NUMBER,13
2001,F,endocrine_metabolic_and_nutritional,NUMBER,427
2001,F,mental_and_behavioural_disorders,NUMBER,11
2001,F,diseases_of_the_nervous,NUMBER,82
2001,F,diseases_of_the_circulatory,NUMBER,8385
2001,F,diseases_of_the_respiratory,NUMBER,311
2001,F,diseases_of_the_digestive,NUMBER,287
2001,F,diseases_of_the_skin,NUMBER,12
2001,F,diseases_of_the_musculoskeletal,NUMBER,8
2001,F,diseases_of_the_genitourinary,NUMBER,197
2001,F,pregnancy_childbirth_and_the,NUMBER,1
2001,F,certain_conditions_originating,NUMBER,79
2001,F,congenital_malformations_deformations,NUMBER,25
2001,F,symptoms_signs_and_abnormal,NUMBER,1394
2001,F,injuries_poisoning_and_consequences,NUMBER,249
2001,F,external_causes_of_mortality,NUMBER,55
2001,F,factors_influencing_health_status,NUMBER,1
2001,F,unknown,NUMBER,427
2001,F,total,NUMBER,14123
2002,_T,infectious_and_parasitic,NUMBER,263
2002,_T,neoplasms,NUMBER,5288
2002,_T,diseases_of_the_blood,NUMBER,19
2002,_T,endocrine_metabolic_and_nutritional,NUMBER,862
2002,_T,mental_and_behavioural_disorders,NUMBER,66
2002,_T,diseases_of_the_nervous,NUMBER,157
2002,_T,diseases_of_the_eye,NUMBER,1
2002,_T,diseases_of_the_circulatory,NUMBER,16007
2002,_T,diseases_of_the_respiratory,NUMBER,817
2002,_T,diseases_of_the_digestive,NUMBER,820
2002,_T,diseases_of_the_skin,NUMBER,17
2002,_T,diseases_of_the_musculoskeletal,NUMBER,10
2002,_T,diseases_of_the_genitourinary,NUMBER,219
2002,_T,pregnancy_childbirth_and_the,NUMBER,3
2002,_T,certain_conditions_originating,NUMBER,226
2002,_T,congenital_malformations_deformations,NUMBER,56
2002,_T,symptoms_signs_and_abnormal,NUMBER,2983
2002,_T,injuries_poisoning_and_consequences,NUMBER,984
2002,_T,external_causes_of_mortality,NUMBER,242
2002,_T,factors_influencing_health_status,NUMBER,1
2002,_T,unknown,NUMBER,1790
2002,_T,total,NUMBER,30831
2002,M,infectious_and_parasitic,NUMBER,160
2002,M,neoplasms,NUMBER,3201
2002,M,diseases_of_the_blood,NUMBER,11
2002,M,endocrine_metabolic_and_nutritional,NUMBER,300
2002,M,mental_and_behavioural_disorders,NUMBER,39
2002,M,diseases_of_the_nervous,NUMBER,87
2002,M,diseases_of_the_eye,NUMBER,1
2002,M,diseases_of_the_circulatory,NUMBER,7544
2002,M,diseases_of_the_respiratory,NUMBER,478
2002,M,diseases_of_the_digestive,NUMBER,495
2002,M,diseases_of_the_skin,NUMBER,3
2002,M,diseases_of_the_musculoskeletal,NUMBER,2
2002,M,diseases_of_the_genitourinary,NUMBER,120
2002,M,certain_conditions_originating,NUMBER,128
2002,M,congenital_malformations_deformations,NUMBER,32
2002,M,symptoms_signs_and_abnormal,NUMBER,1535
2002,M,injuries_poisoning_and_consequences,NUMBER,751
2002,M,external_causes_of_mortality,NUMBER,180
2002,M,factors_influencing_health_status,NUMBER,1
2002,M,unknown,NUMBER,965
2002,M,total,NUMBER,16033
2002,F,infectious_and_parasitic,NUMBER,103
2002,F,neoplasms,NUMBER,2087
2002,F,diseases_of_the_blood,NUMBER,8
2002,F,endocrine_metabolic_and_nutritional,NUMBER,562
2002,F,mental_and_behavioural_disorders,NUMBER,27
2002,F,diseases_of_the_nervous,NUMBER,70
2002,F,diseases_of_the_circulatory,NUMBER,8463
2002,F,diseases_of_the_respiratory,NUMBER,339
2002,F,diseases_of_the_digestive,NUMBER,325
2002,F,diseases_of_the_skin,NUMBER,14
2002,F,diseases_of_the_musculoskeletal,NUMBER,8
2002,F,diseases_of_the_genitourinary,NUMBER,99
2002,F,pregnancy_childbirth_and_the,NUMBER,3
2002,F,certain_conditions_originating,NUMBER,98
2002,F,congenital_malformations_deformations,NUMBER,24
2002,F,symptoms_signs_and_abnormal,NUMBER,1448
2002,F,injuries_poisoning_and_consequences,NUMBER,233
2002,F,external_causes_of_mortality,NUMBER,62
2002,F,unknown,NUMBER,825
2002,F,total,NUMBER,14798
2003,_T,neoplasms,NUMBER,5771
2003,_T,diseases_of_the_circulatory,NUMBER,16990
2003,_T,diseases_of_the_respiratory,NUMBER,876
2003,_T,diseases_of_the_digestive,NUMBER,810
2003,_T,symptoms_signs_and_abnormal,NUMBER,3166
2003,_T,injuries_poisoning_and_consequences,NUMBER,950
2003,_T,unknown,NUMBER,770
2003,_T,total,NUMBER,29333
2003,M,neoplasms,NUMBER,3499
2003,M,diseases_of_the_circulatory,NUMBER,8001
2003,M,diseases_of_the_respiratory,NUMBER,542
2003,M,diseases_of_the_digestive,NUMBER,499
2003,M,symptoms_signs_and_abnormal,NUMBER,1612
2003,M,injuries_poisoning_and_consequences,NUMBER,706
2003,M,unknown,NUMBER,424
2003,M,total,NUMBER,15283
2003,F,neoplasms,NUMBER,2272
2003,F,diseases_of_the_circulatory,NUMBER,8989
2003,F,diseases_of_the_respiratory,NUMBER,334
2003,F,diseases_of_the_digestive,NUMBER,311
2003,F,symptoms_signs_and_abnormal,NUMBER,1554
2003,F,injuries_poisoning_and_consequences,NUMBER,244
2003,F,unknown,NUMBER,346
2003,F,total,NUMBER,14050
2004,_T,infectious_and_parasitic,NUMBER,255
2004,_T,neoplasms,NUMBER,5709
2004,_T,diseases_of_the_blood,NUMBER,31
2004,_T,endocrine_metabolic_and_nutritional,NUMBER,993
2004,_T,mental_and_behavioural_disorders,NUMBER,104
2004,_T,diseases_of_the_nervous,NUMBER,251
2004,_T,diseases_of_the_circulatory,NUMBER,17700
2004,_T,diseases_of_the_respiratory,NUMBER,907
2004,_T,diseases_of_the_digestive,NUMBER,839
2004,_T,diseases_of_the_skin,NUMBER,11
2004,_T,diseases_of_the_musculoskeletal,NUMBER,16
2004,_T,diseases_of_the_genitourinary,NUMBER,467
2004,_T,pregnancy_childbirth_and_the,NUMBER,1
2004,_T,certain_conditions_originating,NUMBER,163
2004,_T,congenital_malformations_deformations,NUMBER,42
2004,_T,symptoms_signs_and_abnormal,NUMBER,2723
2004,_T,injuries_poisoning_and_consequences,NUMBER,920
2004,_T,external_causes_of_mortality,NUMBER,273
2004,_T,factors_influencing_health_status,NUMBER,1
2004,_T,unknown,NUMBER,1210
2004,_T,total,NUMBER,32616
2004,M,infectious_and_parasitic,NUMBER,152
2004,M,neoplasms,NUMBER,3398
2004,M,diseases_of_the_blood,NUMBER,10
2004,M,endocrine_metabolic_and_nutritional,NUMBER,377
2004,M,mental_and_behavioural_disorders,NUMBER,80
2004,M,diseases_of_the_nervous,NUMBER,126
2004,M,diseases_of_the_circulatory,NUMBER,8262
2004,M,diseases_of_the_respiratory,NUMBER,551
2004,M,diseases_of_the_digestive,NUMBER,498
2004,M,diseases_of_the_skin,NUMBER,2
2004,M,diseases_of_the_musculoskeletal,NUMBER,9
2004,M,diseases_of_the_genitourinary,NUMBER,248
2004,M,certain_conditions_originating,NUMBER,101
2004,M,congenital_malformations_deformations,NUMBER,26
2004,M,symptoms_signs_and_abnormal,NUMBER,1399
2004,M,injuries_poisoning_and_consequences,NUMBER,691
2004,M,external_causes_of_mortality,NUMBER,198
2004,M,factors_influencing_health_status,NUMBER,1
2004,M,unknown,NUMBER,651
2004,M,total,NUMBER,16780
2004,F,infectious_and_parasitic,NUMBER,103
2004,F,neoplasms,NUMBER,2311
2004,F,diseases_of_the_blood,NUMBER,21
2004,F,endocrine_metabolic_and_nutritional,NUMBER,616
2004,F,mental_and_behavioural_disorders,NUMBER,24
2004,F,diseases_of_the_nervous,NUMBER,125
2004,F,diseases_of_the_circulatory,NUMBER,9438
2004,F,diseases_of_the_respiratory,NUMBER,356
2004,F,diseases_of_the_digestive,NUMBER,341
2004,F,diseases_of_the_skin,NUMBER,9
2004,F,diseases_of_the_musculoskeletal,NUMBER,7
2004,F,diseases_of_the_genitourinary,NUMBER,219
2004,F,pregnancy_childbirth_and_the,NUMBER,1
2004,F,certain_conditions_originating,NUMBER,62
2004,F,congenital_malformations_deformations,NUMBER,16
2004,F,symptoms_signs_and_abnormal,NUMBER,1324
2004,F,injuries_poisoning_and_consequences,NUMBER,229
2004,F,external_causes_of_mortality,NUMBER,75
2004,F,unknown,NUMBER,559
2004,F,total,NUMBER,15836
2005,_T,neoplasms,NUMBER,6255
2005,_T,diseases_of_the_circulatory,NUMBER,17915
2005,_T,diseases_of_the_respiratory,NUMBER,1242
2005,_T,diseases_of_the_digestive,NUMBER,818
2005,_T,symptoms_signs_and_abnormal,NUMBER,2394
2005,_T,injuries_poisoning_and_consequences,NUMBER,952
2005,_T,total,NUMBER,29576
2005,M,neoplasms,NUMBER,3766
2005,M,diseases_of_the_circulatory,NUMBER,8559
2005,M,diseases_of_the_respiratory,NUMBER,726
2005,M,diseases_of_the_digestive,NUMBER,491
2005,M,symptoms_signs_and_abnormal,NUMBER,1312
2005,M,injuries_poisoning_and_consequences,NUMBER,718
2005,M,total,NUMBER,15572
2005,F,neoplasms,NUMBER,2489
2005,F,diseases_of_the_circulatory,NUMBER,9356
2005,F,diseases_of_the_respiratory,NUMBER,516
2005,F,diseases_of_the_digestive,NUMBER,327
2005,F,symptoms_signs_and_abnormal,NUMBER,1082
2005,F,injuries_poisoning_and_consequences,NUMBER,234
2005,F,total,NUMBER,14004
2006,_T,infectious_and_parasitic,NUMBER,237
2006,_T,neoplasms,NUMBER,6252
2006,_T,diseases_of_the_blood,NUMBER,20
2006,_T,endocrine_metabolic_and_nutritional,NUMBER,1537
2006,_T,mental_and_behavioural_disorders,NUMBER,118
2006,_T,diseases_of_the_nervous,NUMBER,298
2006,_T,diseases_of_the_eye,NUMBER,1
2006,_T,diseases_of_the_circulatory,NUMBER,16967
2006,_T,diseases_of_the_respiratory,NUMBER,1132
2006,_T,diseases_of_the_digestive,NUMBER,826
2006,_T,diseases_of_the_skin,NUMBER,11
2006,_T,diseases_of_the_musculoskeletal,NUMBER,16
2006,_T,diseases_of_the_genitourinary,NUMBER,547
2006,_T,pregnancy_childbirth_and_the,NUMBER,3
2006,_T,certain_conditions_originating,NUMBER,185
2006,_T,congenital_malformations_deformations,NUMBER,56
2006,_T,symptoms_signs_and_abnormal,NUMBER,2744
2006,_T,injuries_poisoning_and_consequences,NUMBER,1017
2006,_T,external_causes_of_mortality,NUMBER,212
2006,_T,factors_influencing_health_status,NUMBER,1
2006,_T,unknown,NUMBER,1041
2006,_T,total,NUMBER,33221
2006,M,infectious_and_parasitic,NUMBER,147
2006,M,neoplasms,NUMBER,3697
2006,M,diseases_of_the_blood,NUMBER,9
2006,M,endocrine_metabolic_and_nutritional,NUMBER,598
2006,M,mental_and_behavioural_disorders,NUMBER,88
2006,M,diseases_of_the_nervous,NUMBER,174
2006,M,diseases_of_the_circulatory,NUMBER,7941
2006,M,diseases_of_the_respiratory,NUMBER,677
2006,M,diseases_of_the_digestive,NUMBER,493
2006,M,diseases_of_the_skin,NUMBER,6
2006,M,diseases_of_the_musculoskeletal,NUMBER,3
2006,M,diseases_of_the_genitourinary,NUMBER,293
2006,M,certain_conditions_originating,NUMBER,118
2006,M,congenital_malformations_deformations,NUMBER,32
2006,M,symptoms_signs_and_abnormal,NUMBER,1527
2006,M,injuries_poisoning_and_consequences,NUMBER,775
2006,M,external_causes_of_mortality,NUMBER,152
2006,M,unknown,NUMBER,578
2006,M,total,NUMBER,17308
2006,F,infectious_and_parasitic,NUMBER,90
2006,F,neoplasms,NUMBER,2555
2006,F,diseases_of_the_blood,NUMBER,11
2006,F,endocrine_metabolic_and_nutritional,NUMBER,939
2006,F,mental_and_behavioural_disorders,NUMBER,30
2006,F,diseases_of_the_nervous,NUMBER,124
2006,F,diseases_of_the_eye,NUMBER,1
2006,F,diseases_of_the_circulatory,NUMBER,9026
2006,F,diseases_of_the_respiratory,NUMBER,455
2006,F,diseases_of_the_digestive,NUMBER,333
2006,F,diseases_of_the_skin,NUMBER,5
2006,F,diseases_of_the_musculoskeletal,NUMBER,13
2006,F,diseases_of_the_genitourinary,NUMBER,254
2006,F,pregnancy_childbirth_and_the,NUMBER,3
2006,F,certain_conditions_originating,NUMBER,67
2006,F,congenital_malformations_deformations,NUMBER,24
2006,F,symptoms_signs_and_abnormal,NUMBER,1217
2006,F,injuries_poisoning_and_consequences,NUMBER,242
2006,F,external_causes_of_mortality,NUMBER,60
2006,F,factors_influencing_health_status,NUMBER,1
2006,F,unknown,NUMBER,463
2006,F,total,NUMBER,15913
2007,_T,infectious_and_parasitic,NUMBER,250
2007,_T,neoplasms,NUMBER,6713
2007,_T,diseases_of_the_blood,NUMBER,54
2007,_T,endocrine_metabolic_and_nutritional,NUMBER,1582
2007,_T,mental_and_behavioural_disorders,NUMBER,162
2007,_T,diseases_of_the_nervous,NUMBER,317
2007,_T,diseases_of_the_eye,NUMBER,1
2007,_T,diseases_of_the_circulatory,NUMBER,18516
2007,_T,diseases_of_the_respiratory,NUMBER,1145
2007,_T,diseases_of_the_digestive,NUMBER,924
2007,_T,diseases_of_the_skin,NUMBER,10
2007,_T,diseases_of_the_musculoskeletal,NUMBER,32
2007,_T,diseases_of_the_genitourinary,NUMBER,558
2007,_T,pregnancy_childbirth_and_the,NUMBER,1
2007,_T,certain_conditions_originating,NUMBER,133
2007,_T,congenital_malformations_deformations,NUMBER,54
2007,_T,symptoms_signs_and_abnormal,NUMBER,2219
2007,_T,injuries_poisoning_and_consequences,NUMBER,1030
2007,_T,external_causes_of_mortality,NUMBER,267
2007,_T,unknown,NUMBER,1076
2007,_T,total,NUMBER,35044
2007,M,infectious_and_parasitic,NUMBER,164
2007,M,neoplasms,NUMBER,3983
2007,M,diseases_of_the_blood,NUMBER,22
2007,M,endocrine_metabolic_and_nutritional,NUMBER,609
2007,M,mental_and_behavioural_disorders,NUMBER,113
2007,M,diseases_of_the_nervous,NUMBER,161
2007,M,diseases_of_the_eye,NUMBER,1
2007,M,diseases_of_the_circulatory,NUMBER,8697
2007,M,diseases_of_the_respiratory,NUMBER,664
2007,M,diseases_of_the_digestive,NUMBER,570
2007,M,diseases_of_the_skin,NUMBER,4
2007,M,diseases_of_the_musculoskeletal,NUMBER,9
2007,M,diseases_of_the_genitourinary,NUMBER,320
2007,M,certain_conditions_originating,NUMBER,79
2007,M,congenital_malformations_deformations,NUMBER,28
2007,M,symptoms_signs_and_abnormal,NUMBER,1143
2007,M,injuries_poisoning_and_consequences,NUMBER,766
2007,M,external_causes_of_mortality,NUMBER,199
2007,M,unknown,NUMBER,622
2007,M,total,NUMBER,18154
2007,F,infectious_and_parasitic,NUMBER,86
2007,F,neoplasms,NUMBER,2730
2007,F,diseases_of_the_blood,NUMBER,32
2007,F,endocrine_metabolic_and_nutritional,NUMBER,973
2007,F,mental_and_behavioural_disorders,NUMBER,49
2007,F,diseases_of_the_nervous,NUMBER,156
2007,F,diseases_of_the_circulatory,NUMBER,9819
2007,F,diseases_of_the_respiratory,NUMBER,481
2007,F,diseases_of_the_digestive,NUMBER,354
2007,F,diseases_of_the_skin,NUMBER,6
2007,F,diseases_of_the_musculoskeletal,NUMBER,23
2007,F,diseases_of_the_genitourinary,NUMBER,238
2007,F,pregnancy_childbirth_and_the,NUMBER,1
2007,F,certain_conditions_originating,NUMBER,54
2007,F,congenital_malformations_deformations,NUMBER,26
2007,F,symptoms_signs_and_abnormal,NUMBER,1076
2007,F,injuries_poisoning_and_consequences,NUMBER,264
2007,F,external_causes_of_mortality,NUMBER,68
2007,F,unknown,NUMBER,454
2007,F,total,NUMBER,16890
2008,_T,infectious_and_parasitic,NUMBER,275
2008,_T,neoplasms,NUMBER,6734
2008,_T,diseases_of_the_blood,NUMBER,37
2008,_T,endocrine_metabolic_and_nutritional,NUMBER,1563
2008,_T,mental_and_behavioural_disorders,NUMBER,169
2008,_T,diseases_of_the_nervous,NUMBER,287
2008,_T,diseases_of_the_eye,NUMBER,1
2008,_T,diseases_of_the_circulatory,NUMBER,17988
2008,_T,diseases_of_the_respiratory,NUMBER,1035
2008,_T,diseases_of_the_digestive,NUMBER,846
2008,_T,diseases_of_the_skin,NUMBER,10
2008,_T,diseases_of_the_musculoskeletal,NUMBER,40
2008,_T,diseases_of_the_genitourinary,NUMBER,571
2008,_T,pregnancy_childbirth_and_the,NUMBER,4
2008,_T,certain_conditions_originating,NUMBER,136
2008,_T,congenital_malformations_deformations,NUMBER,61
2008,_T,symptoms_signs_and_abnormal,NUMBER,2028
2008,_T,injuries_poisoning_and_consequences,NUMBER,1200
2008,_T,external_causes_of_mortality,NUMBER,2
2008,_T,unknown,NUMBER,1039
2008,_T,total,NUMBER,34026
2008,M,infectious_and_parasitic,NUMBER,170
2008,M,neoplasms,NUMBER,4053
2008,M,diseases_of_the_blood,NUMBER,16
2008,M,endocrine_metabolic_and_nutritional,NUMBER,618
2008,M,mental_and_behavioural_disorders,NUMBER,127
2008,M,diseases_of_the_nervous,NUMBER,167
2008,M,diseases_of_the_circulatory,NUMBER,8385
2008,M,diseases_of_the_respiratory,NUMBER,627
2008,M,diseases_of_the_digestive,NUMBER,512
2008,M,diseases_of_the_skin,NUMBER,3
2008,M,diseases_of_the_musculoskeletal,NUMBER,14
2008,M,diseases_of_the_genitourinary,NUMBER,306
2008,M,certain_conditions_originating,NUMBER,75
2008,M,congenital_malformations_deformations,NUMBER,32
2008,M,symptoms_signs_and_abnormal,NUMBER,1052
2008,M,injuries_poisoning_and_consequences,NUMBER,942
2008,M,external_causes_of_mortality,NUMBER,2
2008,M,unknown,NUMBER,586
2008,M,total,NUMBER,17687
2008,F,infectious_and_parasitic,NUMBER,105
2008,F,neoplasms,NUMBER,2681
2008,F,diseases_of_the_blood,NUMBER,21
2008,F,endocrine_metabolic_and_nutritional,NUMBER,945
2008,F,mental_and_behavioural_disorders,NUMBER,42
2008,F,diseases_of_the_nervous,NUMBER,120
2008,F,diseases_of_the_eye,NUMBER,1
2008,F,diseases_of_the_circulatory,NUMBER,9603
2008,F,diseases_of_the_respiratory,NUMBER,408
2008,F,diseases_of_the_digestive,NUMBER,334
2008,F,diseases_of_the_skin,NUMBER,7
2008,F,diseases_of_the_musculoskeletal,NUMBER,26
2008,F,diseases_of_the_genitourinary,NUMBER,265
2008,F,pregnancy_childbirth_and_the,NUMBER,4
2008,F,certain_conditions_originating,NUMBER,61
2008,F,congenital_malformations_deformations,NUMBER,29
2008,F,symptoms_signs_and_abnormal,NUMBER,976
2008,F,injuries_poisoning_and_consequences,NUMBER,258
2008,F,unknown,NUMBER,453
2008,F,total,NUMBER,16339
2009,_T,infectious_and_parasitic,NUMBER,287
2009,_T,neoplasms,NUMBER,6970
2009,_T,diseases_of_the_blood,NUMBER,41
2009,_T,endocrine_metabolic_and_nutritional,NUMBER,1999
2009,_T,mental_and_behavioural_disorders,NUMBER,191
2009,_T,diseases_of_the_nervous,NUMBER,319
2009,_T,diseases_of_the_circulatory,NUMBER,18295
2009,_T,diseases_of_the_respiratory,NUMBER,1133
2009,_T,diseases_of_the_digestive,NUMBER,936
2009,_T,diseases_of_the_skin,NUMBER,9
2009,_T,diseases_of_the_musculoskeletal,NUMBER,35
2009,_T,diseases_of_the_genitourinary,NUMBER,588
2009,_T,pregnancy_childbirth_and_the,NUMBER,1
2009,_T,certain_conditions_originating,NUMBER,144
2009,_T,congenital_malformations_deformations,NUMBER,61
2009,_T,symptoms_signs_and_abnormal,NUMBER,1985
2009,_T,injuries_poisoning_and_consequences,NUMBER,1256
2009,_T,external_causes_of_mortality,NUMBER,2
2009,_T,factors_influencing_health_status,NUMBER,2
2009,_T,unknown,NUMBER,650
2009,_T,total,NUMBER,34904
2009,M,infectious_and_parasitic,NUMBER,180
2009,M,neoplasms,NUMBER,4118
2009,M,diseases_of_the_blood,NUMBER,17
2009,M,endocrine_metabolic_and_nutritional,NUMBER,766
2009,M,mental_and_behavioural_disorders,NUMBER,127
2009,M,diseases_of_the_nervous,NUMBER,167
2009,M,diseases_of_the_circulatory,NUMBER,8586
2009,M,diseases_of_the_respiratory,NUMBER,644
2009,M,diseases_of_the_digestive,NUMBER,559
2009,M,diseases_of_the_skin,NUMBER,4
2009,M,diseases_of_the_musculoskeletal,NUMBER,8
2009,M,diseases_of_the_genitourinary,NUMBER,299
2009,M,certain_conditions_originating,NUMBER,76
2009,M,congenital_malformations_deformations,NUMBER,31
2009,M,symptoms_signs_and_abnormal,NUMBER,1012
2009,M,injuries_poisoning_and_consequences,NUMBER,941
2009,M,external_causes_of_mortality,NUMBER,2
2009,M,factors_influencing_health_status,NUMBER,1
2009,M,unknown,NUMBER,346
2009,M,total,NUMBER,17884
2009,F,infectious_and_parasitic,NUMBER,107
2009,F,neoplasms,NUMBER,2852
2009,F,diseases_of_the_blood,NUMBER,24
2009,F,endocrine_metabolic_and_nutritional,NUMBER,1233
2009,F,mental_and_behavioural_disorders,NUMBER,64
2009,F,diseases_of_the_nervous,NUMBER,152
2009,F,diseases_of_the_circulatory,NUMBER,9709
2009,F,diseases_of_the_respiratory,NUMBER,489
2009,F,diseases_of_the_digestive,NUMBER,377
2009,F,diseases_of_the_skin,NUMBER,5
2009,F,diseases_of_the_musculoskeletal,NUMBER,27
2009,F,diseases_of_the_genitourinary,NUMBER,289
2009,F,pregnancy_childbirth_and_the,NUMBER,1
2009,F,certain_conditions_originating,NUMBER,68
2009,F,congenital_malformations_deformations,NUMBER,30
2009,F,symptoms_signs_and_abnormal,NUMBER,973
2009,F,injuries_poisoning_and_consequences,NUMBER,315
2009,F,factors_influencing_health_status,NUMBER,1
2009,F,unknown,NUMBER,304
2009,F,total,NUMBER,17020
2010,_T,infectious_and_parasitic,NUMBER,285
2010,_T,neoplasms,NUMBER,6973
2010,_T,diseases_of_the_blood,NUMBER,45
2010,_T,endocrine_metabolic_and_nutritional,NUMBER,1903
2010,_T,mental_and_behavioural_disorders,NUMBER,171
2010,_T,diseases_of_the_nervous,NUMBER,350
2010,_T,diseases_of_the_eye,NUMBER,2
2010,_T,diseases_of_the_circulatory,NUMBER,18805
2010,_T,diseases_of_the_respiratory,NUMBER,1145
2010,_T,diseases_of_the_digestive,NUMBER,918
2010,_T,diseases_of_the_skin,NUMBER,14
2010,_T,diseases_of_the_musculoskeletal,NUMBER,42
2010,_T,diseases_of_the_genitourinary,NUMBER,577
2010,_T,pregnancy_childbirth_and_the,NUMBER,1
2010,_T,certain_conditions_originating,NUMBER,138
2010,_T,congenital_malformations_deformations,NUMBER,63
2010,_T,symptoms_signs_and_abnormal,NUMBER,1916
2010,_T,injuries_poisoning_and_consequences,NUMBER,1117
2010,_T,external_causes_of_mortality,NUMBER,15
2010,_T,unknown,NUMBER,638
2010,_T,total,NUMBER,35118
2010,M,infectious_and_parasitic,NUMBER,183
2010,M,neoplasms,NUMBER,4059
2010,M,diseases_of_the_blood,NUMBER,17
2010,M,endocrine_metabolic_and_nutritional,NUMBER,729
2010,M,mental_and_behavioural_disorders,NUMBER,118
2010,M,diseases_of_the_nervous,NUMBER,178
2010,M,diseases_of_the_eye,NUMBER,1
2010,M,diseases_of_the_circulatory,NUMBER,8699
2010,M,diseases_of_the_respiratory,NUMBER,681
2010,M,diseases_of_the_digestive,NUMBER,544
2010,M,diseases_of_the_skin,NUMBER,5
2010,M,diseases_of_the_musculoskeletal,NUMBER,16
2010,M,diseases_of_the_genitourinary,NUMBER,296
2010,M,certain_conditions_originating,NUMBER,76
