Year,DIVORCES,UNIT_MEASURE,Entitet,Value
number_of_divorces,NUMBER,Republika Srpska,721,
number_of_divorces,NUMBER,Republika Srpska,526,
number_of_divorces,NUMBER,Republika Srpska,596,
number_of_divorces,NUMBER,Republika Srpska,317,
number_of_divorces,NUMBER,Republika Srpska,455,
number_of_divorces,NUMBER,Republika Srpska,517,
number_of_divorces,NUMBER,Republika Srpska,886,
number_of_divorces,NUMBER,Republika Srpska,878,
number_of_divorces,NUMBER,Republika Srpska,1052,
number_of_divorces,NUMBER,Republika Srpska,1106,
number_of_divorces,NUMBER,Republika Srpska,1143,
number_of_divorces,NUMBER,Republika Srpska,1025,
number_of_divorces,NUMBER,Republika Srpska,985,
number_of_divorces,NUMBER,Republika Srpska,963,
number_of_divorces,NUMBER,Republika Srpska,920,
number_of_divorces,NUMBER,Brčko Distrikt BiH,58,
number_of_divorces,NUMBER,Brčko Distrikt BiH,80,
number_of_divorces,NUMBER,Brčko Distrikt BiH,96,
number_of_divorces,NUMBER,Brčko Distrikt BiH,85,
number_of_divorces,NUMBER,Brčko Distrikt BiH,91,
number_of_divorces,NUMBER,Brčko Distrikt BiH,94,
number_of_divorces,NUMBER,Brčko Distrikt BiH,82,
number_of_divorces,NUMBER,Brčko Distrikt BiH,139,
number_of_divorces,NUMBER,Brčko Distrikt BiH,154,
number_of_divorces,NUMBER,Brčko Distrikt BiH,199,
number_of_divorces,NUMBER,Brčko Distrikt BiH,236,
number_of_divorces,NUMBER,Brčko Distrikt BiH,191,
number_of_divorces,NUMBER,Brčko Distrikt BiH,251,
number_of_divorces,NUMBER,Brčko Distrikt BiH,311,
number_of_divorces,NUMBER,Brčko Distrikt BiH,289,
number_of_divorces,NUMBER,Brčko Distrikt BiH,295,
number_of_divorces,NUMBER,Brčko Distrikt BiH,298,
number_of_divorces,NUMBER,Brčko Distrikt BiH,187,
