Year,UNIT_MEASURE,AGE,Fertility rate,Value
1998,children_pre_woman,20-24,Age specific fertility rates,113.4
1999,children_pre_woman,20-24,Age specific fertility rates,96.8
2000,children_pre_woman,20-24,Age specific fertility rates,89.6
2001,children_pre_woman,20-24,Age specific fertility rates,87.1
2002,children_pre_woman,20-24,Age specific fertility rates,83.1
2003,children_pre_woman,20-24,Age specific fertility rates,81.5
2004,children_pre_woman,20-24,Age specific fertility rates,81.1
2005,children_pre_woman,20-24,Age specific fertility rates,77.1
2006,children_pre_woman,20-24,Age specific fertility rates,73.4
2007,children_pre_woman,20-24,Age specific fertility rates,68.9
2008,children_pre_woman,20-24,Age specific fertility rates,66.7
2009,children_pre_woman,20-24,Age specific fertility rates,64.5
2010,children_pre_woman,20-24,Age specific fertility rates,59.1
2011,children_pre_woman,20-24,Age specific fertility rates,54.0
2012,children_pre_woman,20-24,Age specific fertility rates,59.0
2013,children_pre_woman,20-24,Age specific fertility rates,52.2
2014,children_pre_woman,20-24,Age specific fertility rates,48.6
2015,children_pre_woman,20-24,Age specific fertility rates,46.8
2016,children_pre_woman,20-24,Age specific fertility rates,55.6
2017,children_pre_woman,20-24,Age specific fertility rates,53.9
2018,children_pre_woman,20-24,Age specific fertility rates,51.8
2019,children_pre_woman,20-24,Age specific fertility rates,50.3
1996,children_pre_woman,25-29,Age specific fertility rates,96.9
1997,children_pre_woman,25-29,Age specific fertility rates,93.1
1998,children_pre_woman,25-29,Age specific fertility rates,91.1
1999,children_pre_woman,25-29,Age specific fertility rates,84.9
2000,children_pre_woman,25-29,Age specific fertility rates,82.7
2001,children_pre_woman,25-29,Age specific fertility rates,79.2
2002,children_pre_woman,25-29,Age specific fertility rates,76.1
2003,children_pre_woman,25-29,Age specific fertility rates,75.7
2004,children_pre_woman,25-29,Age specific fertility rates,76.6
2005,children_pre_woman,25-29,Age specific fertility rates,77.4
2006,children_pre_woman,25-29,Age specific fertility rates,76.1
2007,children_pre_woman,25-29,Age specific fertility rates,83.4
2008,children_pre_woman,25-29,Age specific fertility rates,86.7
2009,children_pre_woman,25-29,Age specific fertility rates,88.7
2010,children_pre_woman,25-29,Age specific fertility rates,85.8
2011,children_pre_woman,25-29,Age specific fertility rates,82.3
2012,children_pre_woman,25-29,Age specific fertility rates,97.7
2013,children_pre_woman,25-29,Age specific fertility rates,91.8
2014,children_pre_woman,25-29,Age specific fertility rates,88.8
2015,children_pre_woman,25-29,Age specific fertility rates,86.3
2016,children_pre_woman,25-29,Age specific fertility rates,80.5
2017,children_pre_woman,25-29,Age specific fertility rates,79.2
2018,children_pre_woman,25-29,Age specific fertility rates,81.3
2019,children_pre_woman,25-29,Age specific fertility rates,76.5
1996,children_pre_woman,30-34,Age specific fertility rates,59.9
1997,children_pre_woman,30-34,Age specific fertility rates,55.5
1998,children_pre_woman,30-34,Age specific fertility rates,51.4
1999,children_pre_woman,30-34,Age specific fertility rates,47.4
2000,children_pre_woman,30-34,Age specific fertility rates,44.1
2001,children_pre_woman,30-34,Age specific fertility rates,41.1
2002,children_pre_woman,30-34,Age specific fertility rates,45.0
2003,children_pre_woman,30-34,Age specific fertility rates,46.5
2004,children_pre_woman,30-34,Age specific fertility rates,46.0
2005,children_pre_woman,30-34,Age specific fertility rates,47.6
2006,children_pre_woman,30-34,Age specific fertility rates,49.0
2007,children_pre_woman,30-34,Age specific fertility rates,59.5
2008,children_pre_woman,30-34,Age specific fertility rates,62.0
2009,children_pre_woman,30-34,Age specific fertility rates,66.1
2010,children_pre_woman,30-34,Age specific fertility rates,66.5
2011,children_pre_woman,30-34,Age specific fertility rates,65.6
2012,children_pre_woman,30-34,Age specific fertility rates,70.0
2013,children_pre_woman,30-34,Age specific fertility rates,69.7
2014,children_pre_woman,30-34,Age specific fertility rates,71.9
2015,children_pre_woman,30-34,Age specific fertility rates,72.5
2016,children_pre_woman,30-34,Age specific fertility rates,70.2
2017,children_pre_woman,30-34,Age specific fertility rates,72.2
2018,children_pre_woman,30-34,Age specific fertility rates,70.2
2019,children_pre_woman,30-34,Age specific fertility rates,67.1
1996,children_pre_woman,35-39,Age specific fertility rates,28.4
1997,children_pre_woman,35-39,Age specific fertility rates,23.7
1998,children_pre_woman,35-39,Age specific fertility rates,23.5
1999,children_pre_woman,35-39,Age specific fertility rates,19.0
2000,children_pre_woman,35-39,Age specific fertility rates,18.6
2001,children_pre_woman,35-39,Age specific fertility rates,16.5
2002,children_pre_woman,35-39,Age specific fertility rates,18.3
2003,children_pre_woman,35-39,Age specific fertility rates,18.2
2004,children_pre_woman,35-39,Age specific fertility rates,18.7
2005,children_pre_woman,35-39,Age specific fertility rates,17.5
2006,children_pre_woman,35-39,Age specific fertility rates,16.8
2007,children_pre_woman,35-39,Age specific fertility rates,20.8
2008,children_pre_woman,35-39,Age specific fertility rates,21.5
2009,children_pre_woman,35-39,Age specific fertility rates,22.6
2010,children_pre_woman,35-39,Age specific fertility rates,24.2
2011,children_pre_woman,35-39,Age specific fertility rates,23.0
2012,children_pre_woman,35-39,Age specific fertility rates,25.8
2013,children_pre_woman,35-39,Age specific fertility rates,25.7
2014,children_pre_woman,35-39,Age specific fertility rates,26.9
2015,children_pre_woman,35-39,Age specific fertility rates,27.5
2016,children_pre_woman,35-39,Age specific fertility rates,29.0
2017,children_pre_woman,35-39,Age specific fertility rates,31.6
2018,children_pre_woman,35-39,Age specific fertility rates,31.5
2019,children_pre_woman,35-39,Age specific fertility rates,31.7
1996,children_pre_woman,40-44,Age specific fertility rates,5.3
1997,children_pre_woman,40-44,Age specific fertility rates,5.4
1998,children_pre_woman,40-44,Age specific fertility rates,5.5
1999,children_pre_woman,40-44,Age specific fertility rates,4.1
2000,children_pre_woman,40-44,Age specific fertility rates,4.0
2001,children_pre_woman,40-44,Age specific fertility rates,3.7
2002,children_pre_woman,40-44,Age specific fertility rates,4.1
2003,children_pre_woman,40-44,Age specific fertility rates,3.6
2004,children_pre_woman,40-44,Age specific fertility rates,3.7
2005,children_pre_woman,40-44,Age specific fertility rates,3.7
2006,children_pre_woman,40-44,Age specific fertility rates,3.4
2007,children_pre_woman,40-44,Age specific fertility rates,3.6
2008,children_pre_woman,40-44,Age specific fertility rates,4.0
2009,children_pre_woman,40-44,Age specific fertility rates,3.8
2010,children_pre_woman,40-44,Age specific fertility rates,3.9
2011,children_pre_woman,40-44,Age specific fertility rates,3.7
2012,children_pre_woman,40-44,Age specific fertility rates,4.7
2013,children_pre_woman,40-44,Age specific fertility rates,4.4
2014,children_pre_woman,40-44,Age specific fertility rates,4.6
2015,children_pre_woman,40-44,Age specific fertility rates,4.6
2016,children_pre_woman,40-44,Age specific fertility rates,5.2
2017,children_pre_woman,40-44,Age specific fertility rates,5.4
2018,children_pre_woman,40-44,Age specific fertility rates,5.8
2019,children_pre_woman,40-44,Age specific fertility rates,5.9
1996,children_pre_woman,45-49,Age specific fertility rates,0.5
1997,children_pre_woman,45-49,Age specific fertility rates,0.5
1998,children_pre_woman,45-49,Age specific fertility rates,0.5
1999,children_pre_woman,45-49,Age specific fertility rates,0.3
2000,children_pre_woman,45-49,Age specific fertility rates,0.2
2001,children_pre_woman,45-49,Age specific fertility rates,0.3
2002,children_pre_woman,45-49,Age specific fertility rates,0.2
2003,children_pre_woman,45-49,Age specific fertility rates,0.2
2004,children_pre_woman,45-49,Age specific fertility rates,0.2
2005,children_pre_woman,45-49,Age specific fertility rates,0.2
2006,children_pre_woman,45-49,Age specific fertility rates,0.2
2007,children_pre_woman,45-49,Age specific fertility rates,0.3
2008,children_pre_woman,45-49,Age specific fertility rates,0.2
2009,children_pre_woman,45-49,Age specific fertility rates,0.2
2010,children_pre_woman,45-49,Age specific fertility rates,0.2
2011,children_pre_woman,45-49,Age specific fertility rates,0.2
2012,children_pre_woman,45-49,Age specific fertility rates,0.2
2013,children_pre_woman,45-49,Age specific fertility rates,0.3
2014,children_pre_woman,45-49,Age specific fertility rates,0.3
2015,children_pre_woman,45-49,Age specific fertility rates,0.2
2016,children_pre_woman,45-49,Age specific fertility rates,0.2
2017,children_pre_woman,45-49,Age specific fertility rates,0.4
2018,children_pre_woman,45-49,Age specific fertility rates,0.4
2019,children_pre_woman,45-49,Age specific fertility rates,0.3
1996,children_pre_woman,50+,Age specific fertility rates,0.0
1997,children_pre_woman,50+,Age specific fertility rates,0.0
1998,children_pre_woman,50+,Age specific fertility rates,0.0
1999,children_pre_woman,50+,Age specific fertility rates,0.0
2000,children_pre_woman,50+,Age specific fertility rates,0.0
2001,children_pre_woman,50+,Age specific fertility rates,0.0
2002,children_pre_woman,50+,Age specific fertility rates,0.0
2003,children_pre_woman,50+,Age specific fertility rates,0.0
2004,children_pre_woman,50+,Age specific fertility rates,0.0
2005,children_pre_woman,50+,Age specific fertility rates,0.0
2006,children_pre_woman,50+,Age specific fertility rates,0.0
2007,children_pre_woman,50+,Age specific fertility rates,0.0
2008,children_pre_woman,50+,Age specific fertility rates,0.0
2009,children_pre_woman,50+,Age specific fertility rates,0.0
2010,children_pre_woman,50+,Age specific fertility rates,0.0
2011,children_pre_woman,50+,Age specific fertility rates,0.0
2012,children_pre_woman,50+,Age specific fertility rates,0.0
2013,children_pre_woman,50+,Age specific fertility rates,0.0
2014,children_pre_woman,50+,Age specific fertility rates,0.0
2015,children_pre_woman,50+,Age specific fertility rates,0.0
2016,children_pre_woman,50+,Age specific fertility rates,0.0
2017,children_pre_woman,50+,Age specific fertility rates,0.0
2018,children_pre_woman,50+,Age specific fertility rates,0.0
2019,children_pre_woman,50+,Age specific fertility rates,0.0
