Year,UNIT_MEASURE,Spol,Godine,Value
2010,%,Oba spola,65+,4.6
2010,%,Oba spola,15 - 64,54.0
2010,%,Muškarci,15+,56.7
2010,%,Muškarci,15 - 24,39.7
2010,%,Muškarci,25 - 49,85.3
2010,%,Muškarci,50 - 64,54.5
2010,%,Muškarci,65+,6.3
2010,%,Muškarci,15 - 64,67.1
2010,%,Žene,15+,33.2
2010,%,Žene,15 - 24,25.9
2010,%,Žene,25 - 49,55.6
2010,%,Žene,50 - 64,28.0
2010,%,Žene,65+,3.3
2010,%,Žene,15 - 64,41.1
2011,%,Oba spola,15+,44.0
2011,%,Oba spola,15 - 24,31.4
2011,%,Oba spola,25 - 49,70.6
2011,%,Oba spola,50 - 64,41.2
2011,%,Oba spola,65+,3.6
2011,%,Oba spola,15 - 64,53.8
2011,%,Muškarci,15+,55.9
2011,%,Muškarci,15 - 24,38.8
2011,%,Muškarci,25 - 49,84.5
2011,%,Muškarci,50 - 64,54.1
2011,%,Muškarci,65+,4.9
2011,%,Muškarci,15 - 64,66.3
2011,%,Žene,15+,32.8
2011,%,Žene,15 - 24,23.3
2011,%,Žene,25 - 49,55.9
2011,%,Žene,50 - 64,29.8
2011,%,Žene,65+,2.7
2011,%,Žene,15 - 64,41.2
2012,%,Oba spola,15+,44.0
2012,%,Oba spola,15 - 24,29.4
2012,%,Oba spola,25 - 49,71.6
2012,%,Oba spola,50 - 64,42.1
2012,%,Oba spola,65+,5.0
2012,%,Oba spola,15 - 64,53.9
2012,%,Muškarci,15+,56.4
2012,%,Muškarci,15 - 24,37.7
2012,%,Muškarci,25 - 49,85.5
2012,%,Muškarci,50 - 64,56.2
2012,%,Muškarci,65+,7.0
2012,%,Muškarci,15 - 64,67.0
2012,%,Žene,15+,32.6
2012,%,Žene,15 - 24,20.9
2012,%,Žene,25 - 49,57.3
2012,%,Žene,50 - 64,29.2
2012,%,Žene,65+,3.4
2012,%,Žene,15 - 64,41.0
2013,%,Oba spola,15+,43.6
2013,%,Oba spola,15 - 24,28.3
2013,%,Oba spola,25 - 49,71.9
2013,%,Oba spola,50 - 64,42.1
2013,%,Oba spola,65+,4.2
2013,%,Oba spola,15 - 64,53.5
2013,%,Muškarci,15+,55.3
2013,%,Muškarci,15 - 24,36.3
2013,%,Muškarci,25 - 49,85.3
2013,%,Muškarci,50 - 64,55.5
2013,%,Muškarci,65+,6.2
2013,%,Muškarci,15 - 64,65.7
2013,%,Žene,15+,32.5
2013,%,Žene,15 - 24,19.4
2013,%,Žene,25 - 49,58.1
2013,%,Žene,50 - 64,29.6
2013,%,Žene,65+,2.7
2013,%,Žene,15 - 64,41.0
2014,%,Oba spola,15+,43.7
2014,%,Oba spola,15 - 24,29.3
2014,%,Oba spola,25 - 49,73.2
2014,%,Oba spola,50 - 64,42.1
2014,%,Oba spola,65+,4.7
2014,%,Oba spola,15 - 64,54.2
2014,%,Muškarci,15+,55.0
2014,%,Muškarci,15 - 24,34.6
2014,%,Muškarci,25 - 49,85.9
2014,%,Muškarci,50 - 64,56.1
2014,%,Muškarci,65+,6.8
2014,%,Muškarci,15 - 64,65.9
2014,%,Žene,15+,33.0
2014,%,Žene,15 - 24,23.3
2014,%,Žene,25 - 49,60.0
2014,%,Žene,50 - 64,29.5
2014,%,Žene,65+,3.1
2014,%,Žene,15 - 64,42.4
2015,%,Oba spola,15+,44.1
2015,%,Oba spola,15 - 24,32.2
2015,%,Oba spola,25 - 49,73.6
2015,%,Oba spola,50 - 64,41.7
2015,%,Oba spola,65+,4.3
2015,%,Oba spola,15 - 64,54.6
2015,%,Muškarci,15+,55.1
2015,%,Muškarci,15 - 24,38.9
2015,%,Muškarci,25 - 49,87.1
2015,%,Muškarci,50 - 64,53.7
2015,%,Muškarci,65+,6.0
2015,%,Muškarci,15 - 64,66.2
2015,%,Žene,15+,33.5
2015,%,Žene,15 - 24,24.5
2015,%,Žene,25 - 49,59.8
2015,%,Žene,50 - 64,30.5
2015,%,Žene,65+,3.0
2015,%,Žene,15 - 64,42.9
2016,%,Oba spola,15+,43.1
2016,%,Oba spola,15 - 24,30.2
2016,%,Oba spola,25 - 49,73.2
2016,%,Oba spola,50 - 64,43.7
2016,%,Oba spola,65+,4.1
2016,%,Oba spola,15 - 64,54.2
2016,%,Muškarci,15+,54.9
2016,%,Muškarci,15 - 24,38.1
2016,%,Muškarci,25 - 49,86.0
2016,%,Muškarci,50 - 64,57.4
2016,%,Muškarci,65+,6.0
2016,%,Muškarci,15 - 64,66.2
2016,%,Žene,15+,32.1
2016,%,Žene,15 - 24,21.3
2016,%,Žene,25 - 49,60.0
2016,%,Žene,50 - 64,30.6
2016,%,Žene,65+,2.7
2016,%,Žene,15 - 64,41.9
2017,%,Oba spola,15+,42.6
2017,%,Oba spola,15 - 24,32.5
2017,%,Oba spola,25 - 49,73.5
2017,%,Oba spola,50 - 64,43.6
2017,%,Oba spola,65+,5.2
2017,%,Oba spola,15 - 64,54.5
2017,%,Muškarci,15+,53.3
2017,%,Muškarci,15 - 24,40.2
2017,%,Muškarci,25 - 49,86.5
2017,%,Muškarci,50 - 64,56.4
2017,%,Muškarci,65+,6.9
2017,%,Muškarci,15 - 64,66.1
2017,%,Žene,15+,32.4
2017,%,Žene,15 - 24,23.4
2017,%,Žene,25 - 49,60.3
2017,%,Žene,50 - 64,31.6
2017,%,Žene,65+,3.9
2017,%,Žene,15 - 64,42.7
2018,%,Oba spola,15+,42.1
2018,%,Oba spola,15 - 24,32.3
2018,%,Oba spola,25 - 49,73.0
2018,%,Oba spola,50 - 64,44.6
2018,%,Oba spola,65+,4.7
2018,%,Oba spola,15 - 64,54.2
2018,%,Muškarci,15+,53.2
2018,%,Muškarci,15 - 24,40.4
2018,%,Muškarci,25 - 49,86.8
2018,%,Muškarci,50 - 64,57.3
2018,%,Muškarci,65+,6.2
2018,%,Muškarci,15 - 64,66.4
2018,%,Žene,15+,31.4
2018,%,Žene,15 - 24,23.1
2018,%,Žene,25 - 49,58.9
2018,%,Žene,50 - 64,32.3
2018,%,Žene,65+,3.6
2018,%,Žene,15 - 64,41.8
2019,%,Oba spola,15+,42.1
2019,%,Oba spola,15 - 24,35.4
2019,%,Oba spola,25 - 49,73.4
2019,%,Oba spola,50 - 64,46.7
2019,%,Oba spola,65+,6.9
2019,%,Oba spola,15 - 64,55.5
2019,%,Muškarci,15+,51.7
2019,%,Muškarci,15 - 24,39.8
2019,%,Muškarci,25 - 49,85.6
2019,%,Muškarci,50 - 64,60.1
2019,%,Muškarci,65+,8.8
2019,%,Muškarci,15 - 64,66.4
2019,%,Žene,15+,32.9
2019,%,Žene,15 - 24,29.9
2019,%,Žene,25 - 49,61.1
2019,%,Žene,50 - 64,34.1
2019,%,Žene,65+,5.3
2019,%,Žene,15 - 64,44.4
