Year,UNIT_MEASURE,Entitet,Spol,Value
2011,Starost,Republika Srpska,Muškarci,65.2
2012,Starost,Republika Srpska,Muškarci,66.5
2013,Starost,Republika Srpska,Muškarci,66.3
2014,Starost,Republika Srpska,Muškarci,67.0
2015,Starost,Republika Srpska,Muškarci,67.0
2016,Starost,Republika Srpska,Muškarci,67.3
2017,Starost,Republika Srpska,Muškarci,67.6
2018,Starost,Republika Srpska,Muškarci,68.2
2019,Starost,Republika Srpska,Muškarci,68.3
1961,Starost,Republika Srpska,Muškarci,68.9
1971,Starost,Republika Srpska,Muškarci,69.4
1981,Starost,Republika Srpska,Muškarci,69.6
1991,Starost,Republika Srpska,Muškarci,70.1
1996,Starost,Republika Srpska,Muškarci,70.1
1997,Starost,Republika Srpska,Muškarci,70.5
1998,Starost,Republika Srpska,Muškarci,71.0
1999,Starost,Republika Srpska,Muškarci,71.0
2000,Starost,Republika Srpska,Muškarci,71.6
2001,Starost,Republika Srpska,Muškarci,71.6
2002,Starost,Republika Srpska,Muškarci,71.7
2009,Starost,Republika Srpska,Žene,70.8
2011,Starost,Republika Srpska,Žene,71.2
2012,Starost,Republika Srpska,Žene,71.3
2013,Starost,Republika Srpska,Žene,72.0
2014,Starost,Republika Srpska,Žene,72.0
2015,Starost,Republika Srpska,Žene,72.0
2016,Starost,Republika Srpska,Žene,72.5
2017,Starost,Republika Srpska,Žene,73.1
2018,Starost,Republika Srpska,Žene,74.0
2019,Starost,Republika Srpska,Žene,74.3
2003,Starost,Republika Srpska,Žene,74.4
2004,Starost,Republika Srpska,Žene,74.9
2005,Starost,Republika Srpska,Žene,75.5
2006,Starost,Republika Srpska,Žene,76.1
2007,Starost,Republika Srpska,Žene,76.0
2008,Starost,Republika Srpska,Žene,76.1
2009,Starost,Republika Srpska,Žene,76.5
2010,Starost,Republika Srpska,Žene,76.9
2011,Starost,Republika Srpska,Žene,77.4
2012,Starost,Republika Srpska,Žene,77.4
2013,Starost,Republika Srpska,Žene,77.4
2004,Starost,Brčko Distrikt BiH,Oba spola,70.6
2005,Starost,Brčko Distrikt BiH,Oba spola,71.2
2006,Starost,Brčko Distrikt BiH,Oba spola,71.5
2007,Starost,Brčko Distrikt BiH,Oba spola,70.3
2008,Starost,Brčko Distrikt BiH,Oba spola,70.7
2009,Starost,Brčko Distrikt BiH,Oba spola,71.5
2010,Starost,Brčko Distrikt BiH,Oba spola,72.1
2011,Starost,Brčko Distrikt BiH,Oba spola,73.3
2012,Starost,Brčko Distrikt BiH,Oba spola,70.9
2013,Starost,Brčko Distrikt BiH,Oba spola,73.2
2014,Starost,Brčko Distrikt BiH,Oba spola,71.7
2015,Starost,Brčko Distrikt BiH,Oba spola,76.2
2016,Starost,Brčko Distrikt BiH,Oba spola,75.3
2017,Starost,Brčko Distrikt BiH,Oba spola,75.5
2018,Starost,Brčko Distrikt BiH,Oba spola,75.2
2019,Starost,Brčko Distrikt BiH,Oba spola,75.8
2015,Starost,Brčko Distrikt BiH,Muškarci,68.1
2016,Starost,Brčko Distrikt BiH,Muškarci,68.4
2017,Starost,Brčko Distrikt BiH,Muškarci,68.5
2018,Starost,Brčko Distrikt BiH,Muškarci,67.7
2019,Starost,Brčko Distrikt BiH,Muškarci,67.1
1961,Starost,Brčko Distrikt BiH,Muškarci,70.6
1971,Starost,Brčko Distrikt BiH,Muškarci,69.8
1981,Starost,Brčko Distrikt BiH,Muškarci,69.9
1991,Starost,Brčko Distrikt BiH,Muškarci,69.1
1996,Starost,Brčko Distrikt BiH,Muškarci,70.8
1997,Starost,Brčko Distrikt BiH,Muškarci,69.1
1998,Starost,Brčko Distrikt BiH,Muškarci,74.8
1999,Starost,Brčko Distrikt BiH,Muškarci,72.9
2000,Starost,Brčko Distrikt BiH,Muškarci,73.5
2001,Starost,Brčko Distrikt BiH,Muškarci,71.1
2002,Starost,Brčko Distrikt BiH,Muškarci,74.0
2015,Starost,Brčko Distrikt BiH,Žene,73.2
2016,Starost,Brčko Distrikt BiH,Žene,74.1
2017,Starost,Brčko Distrikt BiH,Žene,74.8
2018,Starost,Brčko Distrikt BiH,Žene,73.0
2019,Starost,Brčko Distrikt BiH,Žene,74.7
2003,Starost,Brčko Distrikt BiH,Žene,74.3
2004,Starost,Brčko Distrikt BiH,Žene,75.0
2005,Starost,Brčko Distrikt BiH,Žene,75.7
2006,Starost,Brčko Distrikt BiH,Žene,72.6
2007,Starost,Brčko Distrikt BiH,Žene,75.7
2008,Starost,Brčko Distrikt BiH,Žene,74.4
2009,Starost,Brčko Distrikt BiH,Žene,77.7
2010,Starost,Brčko Distrikt BiH,Žene,78.1
2011,Starost,Brčko Distrikt BiH,Žene,77.5
2012,Starost,Brčko Distrikt BiH,Žene,77.3
2013,Starost,Brčko Distrikt BiH,Žene,77.6
