Year,UNIT_MEASURE,Spol,Entitet,BIRTHS,Value
2001,Broj,Oba spola,Federacija BiH,DEATHS,"16,756"
2002,Broj,Oba spola,Federacija BiH,DEATHS,"16,988"
2003,Broj,Oba spola,Federacija BiH,DEATHS,"18,049"
2004,Broj,Oba spola,Federacija BiH,DEATHS,"18,122"
2005,Broj,Oba spola,Federacija BiH,DEATHS,"19,099"
2006,Broj,Oba spola,Federacija BiH,DEATHS,"18,497"
2007,Broj,Oba spola,Federacija BiH,DEATHS,"19,280"
2008,Broj,Oba spola,Federacija BiH,DEATHS,"19,306"
2009,Broj,Oba spola,Federacija BiH,DEATHS,"19,829"
2010,Broj,Oba spola,Federacija BiH,DEATHS,"20,256"
2011,Broj,Oba spola,Federacija BiH,DEATHS,"19,979"
2012,Broj,Oba spola,Federacija BiH,DEATHS,"20,621"
2013,Broj,Oba spola,Federacija BiH,DEATHS,"20,269"
2014,Broj,Oba spola,Federacija BiH,DEATHS,"20,030"
2015,Broj,Oba spola,Federacija BiH,DEATHS,"21,474"
2016,Broj,Oba spola,Federacija BiH,DEATHS,"21,105"
2017,Broj,Oba spola,Federacija BiH,DEATHS,"21,689"
2018,Broj,Oba spola,Federacija BiH,DEATHS,"21,442"
2019,Broj,Oba spola,Federacija BiH,DEATHS,"22,024"
1997,Broj,Oba spola,Federacija BiH,NATURAL_CHANGE,"14,703"
1998,Broj,Oba spola,Federacija BiH,NATURAL_CHANGE,"15,311"
1999,Broj,Oba spola,Federacija BiH,NATURAL_CHANGE,"15,516"
2000,Broj,Oba spola,Federacija BiH,NATURAL_CHANGE,"16,985"
2001,Broj,Oba spola,Federacija BiH,NATURAL_CHANGE,"16,756"
2002,Broj,Oba spola,Federacija BiH,NATURAL_CHANGE,"16,988"
2003,Broj,Oba spola,Federacija BiH,NATURAL_CHANGE,"18,049"
2004,Broj,Oba spola,Federacija BiH,NATURAL_CHANGE,"18,122"
2005,Broj,Oba spola,Federacija BiH,NATURAL_CHANGE,"19,099"
2006,Broj,Oba spola,Federacija BiH,NATURAL_CHANGE,"18,497"
2007,Broj,Oba spola,Federacija BiH,NATURAL_CHANGE,"19,280"
2008,Broj,Oba spola,Federacija BiH,NATURAL_CHANGE,"19,306"
2009,Broj,Oba spola,Federacija BiH,NATURAL_CHANGE,"19,829"
2010,Broj,Oba spola,Federacija BiH,NATURAL_CHANGE,"20,256"
2011,Broj,Oba spola,Federacija BiH,NATURAL_CHANGE,"19,979"
2012,Broj,Oba spola,Federacija BiH,NATURAL_CHANGE,"20,621"
2013,Broj,Oba spola,Federacija BiH,NATURAL_CHANGE,"20,269"
2014,Broj,Oba spola,Federacija BiH,NATURAL_CHANGE,"20,030"
2015,Broj,Oba spola,Federacija BiH,NATURAL_CHANGE,"21,474"
2016,Broj,Oba spola,Federacija BiH,NATURAL_CHANGE,"21,105"
2017,Broj,Oba spola,Federacija BiH,NATURAL_CHANGE,"21,689"
2018,Broj,Oba spola,Federacija BiH,NATURAL_CHANGE,"21,442"
2019,Broj,Oba spola,Federacija BiH,NATURAL_CHANGE,"22,024"
